"meeting_date","project_id","title","borough","lead_agency","secondary_agency","public_private","project_type","construction_type","result","review_cycles","previous_year_submission"
"2022-12-12T00:00:00.000","21876","Installation of rooftop mechanical equipment and an exhaust fan, Engine Company 22, 159 East 85th Street, Manhattan","Manhattan","FDNY",,"Public","Building systems & Modifications","Installation of specific elements","Commented",,
"2022-12-12T00:00:00.000","22961","Reconstruction of Berry Playground, South Third Street between Berry Street and Bedford Avenue, Brooklyn","Brooklyn","DPR",,"Public","Landscape architecture","Reconstruction","Commented",,
"2022-12-12T00:00:00.000","22860","Reconstruction of the plaza and pavilion, Poe Park, East 192nd Street and the Grand Concourse, Bronx","Bronx","DPR",,"Public","Landscape architecture","Reconstruction","Commented",,
"2022-12-12T00:00:00.000","22933","Reconstruction of South Rochdale Playground, adjacent to P.S. 80, 134th Road and 173rd Street, Jamaica, Queens","Queens","DPR",,"Public","Architecture","Reconstruction","Commented",,
"2022-12-12T00:00:00.000","22113","Construction of Bushwick Inlet Park as part of the Greenpoint and Williamsburg waterfront, Phase III, Kent Avenue between North 9th Street and North 15th Street, Brooklyn","Brooklyn","DPR",,"Public","Landscape architecture","Construction","Commented",,
"2022-12-12T00:00:00.000","22176","Design of prototypical pipe bollards for installation citywide","Citywide","DOT",,"Public","Street furniture","Master plan/Prototype","Approved per delegation","1",
"2022-12-12T00:00:00.000","22960","Reconstruction of Rolph Henry Playground, New York Avenue and Clarkson Avenue, Brooklyn","Brooklyn","DPR",,"Public","Landscape architecture","Reconstruction","Commented",,
"2022-12-12T00:00:00.000","20411","Rehabilitation of a comfort station, St. Mary's Park, 450 St. Ann’s Avenue, St. Ann's Avenue at East 145th Street, Bronx","Bronx","DPR",,"Public","Architecture","Rehabilitation","Commented",,
"2022-12-12T00:00:00.000","22964","Reconstruction of Dyckman Marina, Fort Washington Park Greenway and Route 9A at Dyckman Street, Inwood Hill Park, Manhattan","Manhattan","DPR",,"Public and Private","Landscape architecture","Reconstruction","Commented",,
"2022-12-12T00:00:00.000","22893","Reconstruction of Chief Dennis L. Devlin Park (formerly Olmstead Triangle), Olmstead Avenue, Cross Bronx Service Road, and Ellis Avenue, Bronx","Bronx","DPR",,"Public","Landscape architecture","Reconstruction","Approved","2",
"2022-12-12T00:00:00.000","21542","Replacement of a roof and rehabilitation of a façade, Engine Company 303, 104-12 Princeton Street, Jamaica, Queens","Queens","FDNY",,"Public","Building systems & Modifications","Rehabilitation","Commented",,
"2022-12-12T00:00:00.000","22946","Installation of a rooftop tank, Flushing Community Library, 41-17 Main Street, Flushing, Queens","Queens","DDC","QL","Public","Building systems & Modifications","Installation of specific elements","Approved per delegation","1",
"2022-12-12T00:00:00.000","22270","Restoration and relocation of The River that Flows Two Ways by Wopo Holup, The Battery, south of State Street and Battery Place, Manhattan","Manhattan","EDC","DPR","Public","Artwork","Restoration","Approved","1",
"2022-12-12T00:00:00.000","22956","Reconstruction of the 233rd Street Pump Station, Bronx River Parkway southbound on-ramp, south of East 233rd Street, Bronx","Bronx","DEP","DPR","Public","Architecture","Reconstruction","Approved","1",
"2022-12-12T00:00:00.000","22954","Installation of an electrical box, vent post, and access hatches, Melvin Avenue Pump Station, Melvin Avenue and Wild Avenue, Staten Island","Staten Island","DEP",,"Public","Architecture","Installation of specific elements","Approved","1",
"2022-12-12T00:00:00.000","22958","Reconstruction of Detective Omar Edwards Park, East 124th Street between Second Avenue and Third Avenue, Manhattan","Manhattan","DPR",,"Public","Landscape architecture","Reconstruction","Approved","1",
"2022-11-07T00:00:00.000","20740","Construction of two residential buildings (Buildings 2 and 3) as part of the rehabilitation of the Bedford Union Armory, 1555 Bedford Avenue, Brooklyn","Brooklyn","EDC",,"Public","Architecture","Construction","Commented",,
"2022-11-07T00:00:00.000","22496","Temporary installation of Fearless Girl by Kristen Visbal, Broad Street between Wall Street and Exchange Place, Manhattan","Manhattan","DOT",,"Public","Artwork","Installation of specific elements","Commented",,
"2022-11-07T00:00:00.000","22936","Installation of an ADA ramp, 25th Police Precinct, 120 East 119th Street, Manhattan","Manhattan","NYPD",,"Public","Building systems & Modifications","Installation of specific elements","Approved per delegation","1",
"2022-11-07T00:00:00.000","22926","Installation of streetscape improvements, King Street between Greenwich Street and Hudson Street, Manhattan","Manhattan","DOT",,"Public","Landscape architecture","Installation of specific elements","Commented",,
"2022-11-07T00:00:00.000","22860","Reconstruction of the plaza and pavilion, Poe Park, East 192nd Street and the Grand Concourse, Bronx","Bronx","DPR",,"Public","Landscape architecture","Reconstruction","Approved with conditions","3",
"2022-11-07T00:00:00.000","22929","Construction of a skate park and adjacent site work, Power Playground, Avenue N, Utica Avenue, Avenue O, and East 49th Street, Brooklyn","Brooklyn","DPR",,"Public","Landscape architecture","Construction","Approved","1",
"2022-11-07T00:00:00.000","21951","Construction of a gate, East River Science Park (Alexandria Center for Life Science), 500 East 30th Street at First Avenue and East 29th Street, Manhattan","Manhattan","EDC",,"Public and Private","Architecture","Construction","Commented",,
"2022-11-07T00:00:00.000","22258","Reconstruction of a dog run, Madison Square Park, Fifth Avenue between 24th Street and 25th Street, Manhattan","Manhattan","DPR",,"Public","Landscape architecture","Reconstruction","Commented",,
"2022-11-07T00:00:00.000","22916","Renovation of the Borough Park Library, 1265 43rd Street, Brooklyn","Brooklyn","DDC","BPL","Public","Architecture","Renovation","Approved with conditions","1",
"2022-11-07T00:00:00.000","22928","Installation of an access hatch, vents, and signage, Engine Company 319, 78-11 67th Road, Middle Village, Queens","Queens","DDC","FDNY","Public","Building systems & Modifications","Installation of specific elements","Approved per delegation","1",
"2022-11-07T00:00:00.000","21516","Reconstruction of Sunners Playground, Avenue H between Kings Highway and East 49th Street, Brooklyn","Brooklyn","DPR",,"Public","Landscape architecture","Reconstruction","Approved per delegation","1",
"2022-11-07T00:00:00.000","22917","Construction of a connection chamber as part of the Kensico-Eastview Connection Project, Catskill-Delaware Ultraviolet Treatment Facility, 10 Walker Road, Town of Mount Pleasant, Westchester County","Upstate","DEP",,"Public","Architecture","Construction","Approved","1",
"2022-11-07T00:00:00.000","18613","Reconstruction of a playground and athletic courts, Wakefield Playground, adjacent to P.S. 16,  East 239th Street, Matilda Avenue, East 240th Street, and Carpenter Avenue, Bronx","Bronx","DPR",,"Public","Architecture","Reconstruction","Commented",,
"2022-11-07T00:00:00.000","22937","Reconstruction of Daniel Boone Playground, West Farms Road, Boone Avenue, and Sheridan Boulevard, Bronx","Bronx","DPR",,"Public","Landscape architecture","Reconstruction","Approved","1",
"2022-11-07T00:00:00.000","22915","Installation of Waves by Andrea Belag, Engine Company 268/Ladder Company 137, 116-11 Beach Channel Drive, Rockaway Park, Queens","Queens","DCLA%","DDC","Public","Artwork","Installation of specific elements","Approved","1",
"2022-11-07T00:00:00.000","22938","Construction of a comfort station, Waters Edge Playground, Cross Island Park, Waters Edge Drive and 24th Avenue, Bayside, Queens","Queens","DPR",,"Public","Architecture","Construction","Approved","1",
"2022-11-07T00:00:00.000","22940","Design of a comfort station for installation citywide","Citywide","DPR",,"Public","Architecture","Master plan/Prototype","Commented",,
"2022-11-07T00:00:00.000","21275","Construction of Hudson Park and Boulevard, Phase IIA, 10th Avenue and 11th Avenue from 36th Street to 37th Street, Manhattan","Manhattan","EDC","DOT","Public","Landscape architecture","Construction","Commented",,
"2022-11-07T00:00:00.000","22941","Installation of a trash enclosure, 414 West 45th Street, Manhattan","Manhattan","DOT",,"Private","Building systems & Modifications","Installation of specific elements","Withdrawn",,
"2022-11-07T00:00:00.000","22919","Construction of a maintenance and operations facility and adjacent site work, Orchard Beach, between Park Drive and the Promenade, Pelham Bay Park, Bronx","Bronx","DDC","DPR","Public","Architecture","Construction","Approved","1",
"2022-11-07T00:00:00.000","22943","Repair of a roof, Arthur Ave Retail Market, 2344 Arthur Avenue, Bronx","Bronx","EDC",,"Public","Building systems & Modifications","Rehabilitation","Approved per delegation","1",
"2022-11-07T00:00:00.000","17096","Reconstruction of the Riverside Skate Park, Riverside Park and West 108th Street, Manhattan","Manhattan","DPR",,"Public","Landscape architecture","Reconstruction","Commented",,
"2022-11-07T00:00:00.000","21883","Rehabilitation of Gerritsen Beach Branch Library, 2808 Gerritsen Avenue, Brooklyn","Brooklyn","DDC","BPL","Public","Architecture","Rehabilitation","Commented",,
"2022-11-07T00:00:00.000","22922","Renovation of the Red Hook Library and adjacent site work, 7 Wolcott Street, Brooklyn","Brooklyn","EDC","BPL","Public","Architecture","Renovation","Approved","1",
"2022-11-07T00:00:00.000","22913","Reconstruction of Baisley Park Community Library, 117-11 Sutphin Boulevard, South Jamaica, Queens","Queens","DDC","QL","Public","Architecture","Reconstruction","Approved with conditions","1",
"2022-11-07T00:00:00.000","22189","Installation of security bollards, Carnegie Hall, 881 Seventh Avenue, West 57th Street and Seventh Avenue, Manhattan","Manhattan","DOT","DCLA","Public","Street furniture","Installation of specific elements","Commented",,
"2022-11-07T00:00:00.000","22017","Construction of the North Tower and reconstruction of open spaces, East River Science Park (Alexandria Center for Life Science), 500 East 30th Street between First Avenue, the FDR Drive, East 28th Street, and East 30th Street, Manhattan","Manhattan","EDC",,"Private","Architecture","Construction","Approved with conditions","2",
"2022-11-07T00:00:00.000","22935","Installation of a rooftop fill port, NYPD Troop E, 2801 Brighton Third Street, Brooklyn","Brooklyn","NYPD",,"Public","Building systems & Modifications","Installation of specific elements","Approved per delegation","1",
"2022-11-07T00:00:00.000","22918","Construction of driveway, paths, and adjacent site work, Orchard Beach Maintenance and Operations facility, between Park Drive and the Promenade, Pelham Bay Park, Bronx","Bronx","DDC","DPR","Public","Landscape architecture","Construction","Approved with conditions","1",
"2022-11-07T00:00:00.000","22914","Installation of a rooftop mechanical unit, 198 East 161st Street, Bronx","Bronx","DCAS",,"Public","Building systems & Modifications","Installation of specific elements","Approved per delegation","1",
"2022-11-07T00:00:00.000","22895","Inscription for Gate of the Exonerated, northern perimeter Central Park entrance at 110th Street between Central Park West and Fifth Avenue, Central Park, Manhattan","Manhattan","DPR","CPC","Public","Signage","Installation of specific elements","Withdrawn",,
"2022-11-07T00:00:00.000","22927","Installation of an access hatch, vents, and signage, Engine Company 308/Battalion 51, 107-12 Lefferts Boulevard, South Richmond Hill, Queens","Queens","DDC","FDNY","Public","Building systems & Modifications","Installation of specific elements","Approved per delegation","1",
"2022-11-07T00:00:00.000","22934","Reconstruction of the ballfields, Brigadier General Charles Young Playground, Lenox Avenue, West 145th Street, Harlem River Drive, and West 143rd Street, Manhattan","Manhattan","DPR",,"Public","Landscape architecture","Reconstruction","Approved","1",
"2022-11-07T00:00:00.000","22907","Installation of electric vehicle chargers for the municipal fleet citywide","Citywide","DCAS",,"Public","Street furniture","Installation of specific elements","Approved","1",
"2022-11-07T00:00:00.000","22920","Removal of a distinctive sidewalk adjacent to Livonia Park, Powell Street, Livonia Avenue, and Junius Street, Brooklyn","Brooklyn","DOT","DPR","Private","Distinctive sidewalks","Removal","Approved","1",
"2022-11-07T00:00:00.000","22931","Reconstruction of a staircase, Ewen Park, Johnson Avenue and 231st Street, Bronx","Bronx","DPR",,"Public","Street furniture","Reconstruction","Approved with conditions","1",
"2022-11-07T00:00:00.000","22781","Construction of the Gelada and Nubian Ibex Breeding and Management Complex and adjacent site work, Bronx Zoo, 2300 Southern Boulevard, Bronx","Bronx","DCLA","DPR","Public","Architecture","Construction","Approved","2",
"2022-11-07T00:00:00.000","17311","Replication and conservation of Fame, part of the Louis J. Heintz Memorial (1905) by Pierre Fietu, Joyce Kilmer Park, East 164th Street, Walton Avenue and Grand Concourse, Bronx","Bronx","DPR",,"Public","Artwork","Conservation","Commented",,
"2022-11-07T00:00:00.000","22175","Construction of a cafe addition, storage building, and adjacent site work, McCarren Park House, McCarren Park, between Lorimer Street, Bedford Avenue, and Driggs Avenue, Brooklyn","Brooklyn","DPR",,"Public and Private","Architecture","Construction","Commented",,
"2022-11-07T00:00:00.000","22818","Construction of an amphitheater as part of East Side Coastal Resiliency (ESCR), Jackson Street, Cherry Street, and the FDR Drive, East River Park, Manhattan","Manhattan","DDC","DPR/DEP/DOT","Public","Architecture","Construction","Commented",,
"2022-11-07T00:00:00.000","22930","Construction of stairs and a ramp, Bronx Park, Waring Avenue between Bronx River Parkway and Bronx Park East, Bronx","Bronx","DPR",,"Public","Street furniture","Construction","Approved","1",
"2022-11-07T00:00:00.000","22939","Installation of a modular comfort station and adjacent site work, Discovery Playground, Fort Washington Park, Henry Hudson Parkway near West 163rd Street, Manhattan","Manhattan","DPR",,"Public","Architecture","Installation of specific elements","Approved","1",
"2022-11-07T00:00:00.000","22592","Construction of a pier, esplanade, and a maintenance and operations building, Tompkinsville Pier, Murray Hulbert Avenue south of Hannah Street at the Stapleton Waterfront, Staten Island","Staten Island","EDC","DPR/DOT","Public","Architecture","Construction","Commented",,
"2022-11-07T00:00:00.000","22924","Installation of security bollards, Central UTA Satmar School for Boys, 762 Wythe Avenue, Rutledge Street and Penn Street, Brooklyn","Brooklyn","DOT",,"Public","Street furniture","Installation of specific elements","Approved with conditions","1",
"2022-11-07T00:00:00.000","22783","Reconstruction of a pier shed and head house for film studios and adjacent site work, Pier 94, 711 12th Avenue between West 52nd Street and West 55th Street, Hudson River, Manhattan","Manhattan","EDC",,"Public and Private","Architecture","Reconstruction","Commented",,
"2022-11-07T00:00:00.000","22944","Reconstruction of Shore Road Bridge, Hutchinson River between Shore Road, Bronx Parkway, and Pelham Parkway, Bronx","Bronx","DOT",,"Public","Bridge","Reconstruction","Commented",,
"2022-11-07T00:00:00.000","17138","Construction of a prototypical comfort station and adjacent site work, Greencroft Playground, Greencroft Avenue between Ainsworth Avenue and Redgrave Avenue, Staten Island","Staten Island","DPR",,"Public","Architecture","Construction","Commented",,
"2022-11-07T00:00:00.000","22754","Reconstruction of the bulkhead and installation of a guardrail, Front Avenue at 2nd Street (formerly Pier D), Brooklyn Navy Yard Industrial Park, Brooklyn","Brooklyn","BNYDC",,"Public","Landscape architecture","Reconstruction","Approved per delegation","1",
"2022-11-07T00:00:00.000","22932","Reconstruction of Josephine Caminiti Playground (formerly Corona playground), Corona Avenue, Alstyne Avenue, and 102nd Street, Corona, Queens","Queens","DPR",,"Public","Landscape architecture","Reconstruction","Approved with conditions","1",
"2022-11-07T00:00:00.000","22942","Completed plaque installation as part of the loan of the Theodore Roosevelt Monument (1940) by James Earle Fraser to the Theodore Roosevelt Presidential Library, Medora, North Dakota","Manhattan","DPR",,"Public and Private","Artwork","Installation of specific elements","Approved","1",
"2022-11-07T00:00:00.000","22923","Installation of ADA ramps and stairs, Rose M. Singer Center, Buildings B, D, and J, 19-19 Hazen Street, Rikers Island, Bronx","Bronx","DOC",,"Public","Building systems & Modifications","Installation of specific elements","Approved per delegation","1",
"2022-11-07T00:00:00.000","22921","Construction of a headhouse as part of the Owls Head combined sewer overflow (CSO) facility, Gowanus Canal, 2nd Avenue and 6th Street, Brooklyn","Brooklyn","DEP",,"Public","Architecture","Construction","Commented",,
"2022-11-07T00:00:00.000","17222","Rehabilitation of the Remsen Avenue Yard building, 855 Remsen Avenue, Brooklyn","Brooklyn","DDC","DEP","Public","Architecture","Rehabilitation","Commented",,
"2022-11-07T00:00:00.000","22925","Installation of security bollards, Walt Disney Project Galaxy, 310 Hudson Street, Vandam Street, Varick Street, and Spring Street, Manhattan","Manhattan","DOT",,"Public","Street furniture","Installation of specific elements","Approved","1",
"2022-11-07T00:00:00.000","22945","Construction of an environmental learning center (Solar 2), 24-20 FDR Drive at Peter Cooper Road, Manhattan","Manhattan","EDC",,"Public","Architecture","Construction","Approved","1",
"2022-11-07T00:00:00.000","22933","Reconstruction of South Rochdale Playground, adjacent to P.S. 80, 134th Road and 173rd Street, Jamaica, Queens","Queens","DPR",,"Public","Landscape architecture","Reconstruction","Approved with conditions","1",
"2022-10-11T00:00:00.000","22864","Construction of an electrical building, relocation of West Lake Drive, and adjacent site work as part of the Kensico-Eastview Connection Project, 19 Westlake Drive, Mount Pleasant, Westchester County","Upstate","DEP",,"Public","Architecture","Construction","Approved","2",
"2022-10-11T00:00:00.000","22890","Construction of an adult fitness area, Shoelace Park, Bronx Boulevard between East 211th Street and East 229th Street, Bronx","Bronx","DPR",,"Public","Landscape architecture","Construction","Approved","1",
"2022-10-11T00:00:00.000","16191","Reconstruction of Agnes Haywood Playground, Barnes Avenue between East 215th Street and East 216th Street, Bronx","Bronx","DPR",,"Public","Landscape architecture","Reconstruction","Commented",,
"2022-10-11T00:00:00.000","18624","Reconstruction of the esplanade Harlem River Greenway as part of the Manhattan Waterfront Greenway, Harlem River Drive between East 125th Street and East 132nd Street, Manhattan","Manhattan","EDC","DPR","Public","Landscape architecture","Reconstruction","Commented",,
"2022-10-11T00:00:00.000","22906","Installation of security booth and gate, Randall's Island Fire Training Academy, 9 Reilly Boulevard, Randall's Island, Manhattan","Manhattan","FDNY",,"Public","Street furniture","Installation of specific elements","Approved","1",
"2022-10-11T00:00:00.000","22866","Installation of signage as part of a park-wide signage system, Pier 97, between West 57th Street and West 59th Street, Manhattan","Manhattan","DPR","HRPT","Public","Signage","Installation of specific elements","Approved with conditions","2",
"2022-10-11T00:00:00.000","22888","Reconstruction of Lemon Creek Playground, Johnston Terrace and Seguine Avenue, Staten Island","Staten Island","DPR",,"Public","Landscape architecture","Reconstruction","Approved with conditions","1",
"2022-10-11T00:00:00.000","20455","Construction of a plaza, Morrison Avenue between Westchester Avenue and Harrold Place, Bronx","Bronx","DDC","DOT","Public","Landscape architecture","Construction","Commented",,
"2022-10-11T00:00:00.000","22900","Reconstruction of Anibal Aviles Playground, West 108th Street between Amsterdam Avenue and Columbus Avenue, Manhattan","Manhattan","DPR",,"Public","Landscape architecture","Reconstruction","Approved","1",
"2022-10-11T00:00:00.000","10626","Installation of a flagpole and adjacent site work, Asser Levy Park, Sea Breeze Avenue, West Fifth Street and Surf Avenue, Brooklyn","Brooklyn","DPR",,"Public","Landscape architecture","Installation of specific elements","Commented",,
"2022-10-11T00:00:00.000","22912","Installation of rooftop equipment, Headworks Building, Port Richmond Wastewater Resource Recovery Facility, 1801 Richmond Terrace, Staten Island","Staten Island","DEP",,"Public","Building systems & Modifications","Installation of specific elements","Approved","1",
"2022-10-11T00:00:00.000","22901","Reconstruction of the Hamilton Fish Recreation Center auxiliary structures and adjacent site work, Pitt Street between Stanton Street and East Houston Street, Hamilton Fish Park, Manhattan","Manhattan","DPR",,"Public","Landscape architecture","Reconstruction","Approved","1",
"2022-10-11T00:00:00.000","22839","Reconstruction of the plaza, Queens Civil Court, 89-11 Sutphin Boulevard, Jamaica, Queens","Queens","DDC","DCAS","Public","Landscape architecture","Reconstruction","Commented",,
"2022-10-11T00:00:00.000","22713","Installation of rooftop photovoltaic panels, Five Borough Automotive Repair Facility (5Boro), 20 Bronx Shore Road, Randall's Island, Manhattan","Manhattan","DPR",,"Public","Building systems & Modifications","Installation of specific elements","Commented",,
"2022-10-11T00:00:00.000","21088","Design of a wayfinding and environmental graphics system, Brooklyn Navy Yard Industrial Park, Brooklyn","Brooklyn","BNYDC",,"Public and Private","Signage","Master plan/Prototype","Commented",,
"2022-10-11T00:00:00.000","17277","Construction of an electrical enclosure and junction box, Van Brunt Pumping Station, Reed Street between Van Brunt Street and Conover Street, Brooklyn","Brooklyn","DEP","DOT","Public","Building systems & Modifications","Construction","Commented",,
"2022-10-11T00:00:00.000","22894","Design of a master plan for the Staten Island Shoreline, as part of the South Shore coastal storm risk management plan, East and South Shore between Fort Wadsworth and Great Kills National Park, Staten Island","Staten Island","DPR",,"Public","Landscape architecture","Master plan/Prototype","Commented",,
