"fiscal_year","system_code","location_code","location_name","beds","managed_by_name","location_type_description","location_category_description","grades_text","grades_final_text","open_date","status_descriptions","primary_building_code","primary_address_line_1","state_code","x_coordinate","y_coordinate","longitude","latitude","community_district","council_district","census_tract","borough_block_lot","nta","nta_name","principal_name","principal_title","principal_phone_number","fax_number","geographical_district_code","administrative_district_code","administrative_district_name","community_school_sup_name","tier_3_support_location_name","tier_3_support_leader_name","tier_2_support_location_name","highschool_network_location","highschool_network_name","highschool_network","community_district_1","police_precinct"
"2020","13K011","K011","P.S. 011 Purvis J. Behan","331300010011","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05","1958-07-01T00:00:00.000","Open","K011","419 WAVERLY AVENUE","NY","993710","189169","-73.96589","40.685896","302","35","19900","3019620010","BK69","Clinton Hill","Abidemi Hope","Principal","718-638-2661","718-622-3028","13","13","COMMUNITY SCHOOL DISTRICT 13","SAMUELS, KAMAR","NYCDOE Borough Office - Brooklyn North","NULL","School Support Team 3- Brooklyn North","NULL","NULL","NULL","302","88"
"2020","17K012","K012","Dr. Jacqueline Peek-Davis School","331700010012","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05","1993-07-01T00:00:00.000","Open","K012","430 HOWARD AVENUE","NY","1006415","184524","-73.920095","40.673124","316","41","36300","3014570032","BK79","Ocean Hill","SHAMIKA WATSON","I.A. Principal","718-953-4569","718-953-4428","23","17","COMMUNITY SCHOOL DISTRICT 17","ELLIS, CLARENCE","NYCDOE Borough Office - Brooklyn South","Mauriciere de Govia","School Support Team 2- Brooklyn South","NULL","NULL","NULL","316","73"
"2020","19K013","K013","P.S. 013 Roberto Clemente","331900010013","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05","1975-07-01T00:00:00.000","Open","K013","557 PENNSYLVANIA AVENUE","NY","1013844","181232","-73.893328","40.664067","305","42","112600","3038230001","BK85","East New York (Pennsylvania Ave)","Maxine Cameron","Principal","718-498-3717","718-345-2396","19","19","COMMUNITY SCHOOL DISTRICT 19","THOMAS MCBRYDE JR","NYCDOE Borough Office - Brooklyn North","NULL","School Support Team 6- Brooklyn North","NULL","NULL","NULL","305","75"
"2020","22K014","K014","J.H.S. 014 Shell Bank","332200010014","DOE","General Academic","Junior High-Intermediate-Middle","06,07,08,SE","06,07,08","1952-07-01T00:00:00.000","Open","K014","2424 BATCHELDER STREET","NY","1001439","155413","-73.938107","40.593232","315","48","59600","3074240001","BK17","Sheepshead Bay-Gerritsen Beach-Manhattan Beach","Teri Ahearn","I.A. Principal","718-743-0220","718-769-8632","22","22","COMMUNITY SCHOOL DISTRICT 22","BOVE, JULIA","NYCDOE Borough Office - Brooklyn South","Mauriciere de Govia","School Support Team 6- Brooklyn South","NULL","NULL","NULL","315","61"
"2020","20K314","K314","PS 314 Luis Munoz Marin","332000010314","DOE","General Academic","Elementary","SE","PK,0K,01,02,03,04,05","1992-02-14T00:00:00.000","Closed","K314","330 59 STREET","NY","978978","173219","-74.019","40.6422","307","38","7400","3008620012","BK32","Sunset Park West","MR. DAVID WEINER","Principal","718-492-0087","718-492-9431","20","20","COMMUNITY SCHOOL DISTRICT 20","Karina Costantino","NULL","NULL","NULL","NULL","NULL","NULL","307","72"
"2020","15K015","K015","P.S. 015 Patrick F. Daly","331500010015","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05","1968-07-01T00:00:00.000","Open","K015","71 SULLIVAN STREET","NY","980959","185957","-74.011864","40.677085","306","38","5300","3005660001","BK33","Carroll Gardens-Columbia Street-Red Hook","PEGGY WYNS MADISON","Principal","718-330-9280","718-596-2576","15","15","COMMUNITY SCHOOL DISTRICT 15","SKOP, ANITA","NYCDOE Borough Office - Brooklyn North","NULL","School Support Team 5- Brooklyn North","NULL","NULL","NULL","306","76"
"2020","14K016","K016","P.S. 016 Leonard Dunkly","331400010016","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05","1918-07-01T00:00:00.000","Open","K016","157 WILSON STREET","NY","994772","196519","-73.962049","40.706069","301","33","53500","3021770001","BK72","Williamsburg","MARY RENNY","Principal","718-782-5352","718-486-8447","14","14","COMMUNITY SCHOOL DISTRICT 14","WINNICKI, ALICJA","NYCDOE Borough Office - Brooklyn North","NULL","School Support Team 4- Brooklyn North","NULL","NULL","NULL","301","90"
"2020","14K017","K017","P.S. 017 Henry D. Woodworth","331400010017","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05","1921-07-01T00:00:00.000","Open","K017","208 NORTH  5 STREET","NY","996087","199871","-73.9573","40.715268","301","34","51900","3023450001","BK73","North Side-South Side","ROBERT MARCHI","Principal","718-387-2929","718-302-2311","14","14","COMMUNITY SCHOOL DISTRICT 14","WINNICKI, ALICJA","NYCDOE Borough Office - Brooklyn North","NULL","School Support Team 4- Brooklyn North","NULL","NULL","NULL","301","94"
"2020","14K018","K018","P.S. 018 Edward Bush","331400010018","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05","1916-07-01T00:00:00.000","Open","K018","101 MAUJER STREET","NY","999028","198274","-73.946695","40.71088","301","34","50300","3027870001","BK90","East Williamsburg","Alison Alexander","Principal","718-387-3241","718-599-7744","14","14","COMMUNITY SCHOOL DISTRICT 14","WINNICKI, ALICJA","NYCDOE Borough Office - Brooklyn North","NULL","School Support Team 4- Brooklyn North","NULL","NULL","NULL","301","90"
"2020","14K019","K019","P.S. 019 Roberto Clemente","331400010019","DOE","General Academic","Elementary","05,SE","0K,01,02,03,04,05","1911-07-01T00:00:00.000","Closed","K019","325 SOUTH  3 STREET","NY","996815","197991","-73.954678","40.710107","301","34","52700","3024230001","BK73","North Side-South Side","Angela Olden Camiolo","PRINCIPAL","718-387-7820","718-782-2446","14","14","COMMUNITY SCHOOL DISTRICT 14","WINNICKI, ALICJA","NULL","NULL","NULL","NULL","NULL","NULL","301","90"
"2020","13K020","K020","P.S. 020 Clinton Hill","331300010020","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05","1951-07-01T00:00:00.000","Open","K020","225 ADELPHI STREET","NY","992321","190934","-73.970896","40.690742","302","35","18300","3020910003","BK68","Fort Greene","Lena Barbera","Principal","718-834-6744","718-243-0712","13","13","COMMUNITY SCHOOL DISTRICT 13","SAMUELS, KAMAR","NYCDOE Borough Office - Brooklyn North","NULL","School Support Team 3- Brooklyn North","NULL","NULL","NULL","302","88"
"2020","16K021","K021","P.S. 021 Crispus Attucks","331600010021","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05","1956-07-01T00:00:00.000","Open","K021","180 CHAUNCEY STREET","NY","1004588","187155","-73.926673","40.68035","303","36","38100","3016920017","BK61","Crown Heights North","Leslie Frazier","Principal","718-493-9681","718-953-3980","16","16","COMMUNITY SCHOOL DISTRICT 16","MARTIN, YOLANDA","NYCDOE Borough Office - Brooklyn North","NULL","School Support Team 7- Brooklyn North","NULL","NULL","NULL","303","81"
"2020","17K022","K022","P.S. 022","331700010022","DOE","General Academic","Elementary","05,SE","0K,01,02,03,04,05","1996-07-01T00:00:00.000","Closed","K022","443 ST MARKS AVENUE","NY","995319","185965","-73.960093","40.6771","308","35","30500","3011480050","BK61","Crown Heights North","CARLEN PADMORE-GATEAU","PRINCIPAL","718-857-4503","718-857-4464","17","17","COMMUNITY SCHOOL DISTRICT 17","SIMMONS, BUFFIE","NULL","NULL","NULL","NULL","NULL","NULL","308","77"
"2020","14K023","K023","P.S. 023 Carter G. Woodson","331400010023","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05","1966-07-01T00:00:00.000","Open","K023","545 WILLOUGHBY AVENUE","NY","998876","192295","-73.947256","40.69447","303","36","25901","3017590013","BK75","Bedford","Joseph Mattina","Principal","718-387-0375","718-302-2312","14","14","COMMUNITY SCHOOL DISTRICT 14","WINNICKI, ALICJA","NYCDOE Borough Office - Brooklyn North","NULL","School Support Team 4- Brooklyn North","NULL","NULL","NULL","303","79"
"2020","15K024","K024","P.S. 024","331500010024","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05","1997-07-01T00:00:00.000","Open","K024","427 38 STREET","NY","982992","177121","-74.004533","40.652832","307","38","8400","3007010001","BK32","Sunset Park West","JACQUELINE NIKOVIC","Principal","718-832-9366","718-832-9360","15","15","COMMUNITY SCHOOL DISTRICT 15","SKOP, ANITA","NYCDOE Borough Office - Brooklyn North","NULL","School Support Team 5- Brooklyn North","NULL","NULL","NULL","307","72"
"2020","16K025","K025","P.S. 025 Eubie Blake School","331600010025","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05","1942-07-01T00:00:00.000","Open","K025","787 LAFAYETTE AVENUE","NY","1000681","191204","-73.940749","40.691472","303","36","28100","3017870014","BK35","Stuyvesant Heights","ANITA COLEY","Principal","718-574-2336","718-455-5838","16","16","COMMUNITY SCHOOL DISTRICT 16","MARTIN, YOLANDA","NYCDOE Borough Office - Brooklyn North","NULL","School Support Team 7- Brooklyn North","NULL","NULL","NULL","303","79"
"2020","16K026","K026","P.S. 026 Jesse Owens","331600010026","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05","1956-07-01T00:00:00.000","Open","K026","1014 LAFAYETTE AVENUE","NY","1003152","191221","-73.9317","40.6921","303","36","29100","3016160001","BK35","Stuyvesant Heights","Cynthia Celestine","Principal","718-919-5707","718-574-2803","16","16","COMMUNITY SCHOOL DISTRICT 16","MARTIN, YOLANDA","NYCDOE Borough Office - Brooklyn North","NULL","School Support Team 7- Brooklyn North","NULL","NULL","NULL","303","81"
"2020","16K026","K026","P.S. 026 Jesse Owens","331600010026","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05","1956-07-01T00:00:00.000","Open","K026","1014 LAFAYETTE AVENUE","NY","1003152","191221","-73.9317","40.6921","303","36","29100","3016160001","BK35","Stuyvesant Heights","Cynthia Celestine","Principal","718-919-5707","718-574-2803","16","16","COMMUNITY SCHOOL DISTRICT 16","MARTIN, YOLANDA","NYCDOE Borough Office - Brooklyn North","NULL","School Support Team 7- Brooklyn North","NULL","NULL","NULL","303","81"
"2020","15K027","K027","Agnes Y. Humphrey School for Leadership","331500010027","DOE","General Academic","K-12 all grades","05,08,09,SE","PK,0K,01,02,03,04,05,06,07,08","1890-07-01 00:00:00.000","Closed","K027","27 HUNTINGTON STREET","NY","982821","186259","-74.005151","40.677914","306","38","5900","3005250001","BK33","Carroll Gardens-Columbia Street-Red Hook","WINSTON HAMANN","I.A. PRINCIPAL","718-330-9285","718-596-4889","15","15","COMMUNITY SCHOOL DISTRICT 15","SKOP, ANITA","NULL","NULL","NULL","NULL","NULL","NULL","306","76"
"2020","16K028","K028","P.S. 028 The Warren Prep Academy","331600010028","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05","1913-07-01T00:00:00.000","Open","K040","265 RALPH AVENUE","NY","1006134","187116","-73.921099","40.680239","303","41","37900","3015180001","BK35","Stuyvesant Heights","Judith James","Principal","718-467-2865","718-953-4189","16","16","COMMUNITY SCHOOL DISTRICT 16","MARTIN, YOLANDA","NYCDOE Borough Office - Brooklyn North","NULL","School Support Team 7- Brooklyn North","NULL","NULL","NULL","303","81"
"2020","15K029","K029","P.S. 029 John M. Harrigan","331500010029","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,06,SE","PK,0K,01,02,03,04,05","1921-07-01T00:00:00.000","Open","K029","425 HENRY STREET","NY","984958","189512","-73.997447","40.686843","306","39","4500","3003110001","BK33","Carroll Gardens-Columbia Street-Red Hook","Rebecca Fagin","Principal","718-330-9277","718-596-1887","15","15","COMMUNITY SCHOOL DISTRICT 15","SKOP, ANITA","NYCDOE Borough Office - Brooklyn North","NULL","School Support Team 5- Brooklyn North","NULL","NULL","NULL","306","76"
"2020","20K030","K030","P.S./I.S. 30 Mary White Ovington","332000010030","DOE","General Academic","K-8","0K,01,02,03,04,05,06,07,08,SE","0K,01,02,03,04,05,06,07,08","1997-09-11T00:00:00.000","Open","K331","7002 4TH AVENUE","NY","977441","170105","-74.02395","40.633598","310","43","6800","3058910048","BK31","Bay Ridge","Carol Heeraman","Principal","718-491-8440","718-491-8445","20","20","COMMUNITY SCHOOL DISTRICT 20","COSTANTINO, KARINA","NYCDOE Borough Office - Brooklyn South","Mauriciere de Govia","School Support Team 4- Brooklyn South","NULL","NULL","NULL","310","68"
"2020","14K031","K031","P.S. 031 Samuel F. Dupont","331400010031","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05","1900-07-01T00:00:00.000","Open","K031","75 MESEROLE AVENUE","NY","996961","204135","-73.954139","40.72697","301","33","56100","3025950001","BK76","Greenpoint","MARY SCARLATO","Principal","718-383-8998","718-383-5652","14","14","COMMUNITY SCHOOL DISTRICT 14","WINNICKI, ALICJA","NYCDOE Borough Office - Brooklyn North","NULL","School Support Team 4- Brooklyn North","NULL","NULL","NULL","301","94"
"2020","15K032","K032","P.S. 032 Samuel Mills Sprole","331500010032","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,06,SE","PK,0K,01,02,03,04,05","1951-07-01T00:00:00.000","Open","K032","317 HOYT STREET","NY","986707","187077","-73.991141","40.680159","306","39","7500","3004370001","BK33","Carroll Gardens-Columbia Street-Red Hook","DENISE WATSON","Principal","718-222-6400","718-222-6405","15","15","COMMUNITY SCHOOL DISTRICT 15","SKOP, ANITA","NYCDOE Borough Office - Brooklyn North","NULL","School Support Team 5- Brooklyn North","NULL","NULL","NULL","306","76"
"2020","14K033","K033","JHS 033 Mark Hopkins","331400010033","DOE","General Academic","Junior High-Intermediate-Middle","8","06,07,08","1957-07-01T00:00:00.000","Closed","K033","70 TOMPKINS AVENUE","NY","999050","193242","-73.9466","40.6971","303","36","25700","3017430018","BK75","Bedford","Marissa Burson-Flateau","Principal","718-782-9500","718-387-3011","14","14","COMMUNITY SCHOOL DISTRICT 14","James Quail","NULL","NULL","NULL","NULL","NULL","NULL","303","79"
"2020","14K034","K034","P.S. 034 Oliver H. Perry","331400010034","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05","1867-07-01 00:00:00.000","Open","K034","131 NORMAN AVENUE","NY","998176","203920","-73.949756","40.726378","301","33","57300","3026220028","BK76","Greenpoint","Carmen Asselta","Principal","718-389-5842","718-389-0356","14","14","COMMUNITY SCHOOL DISTRICT 14","WINNICKI, ALICJA","NYCDOE Borough Office - Brooklyn North","NULL","School Support Team 4- Brooklyn North","NULL","NULL","NULL","301","94"
"2020","16K035","K035","M.S. 035 Stephen Decatur","331600010035","DOE","General Academic","Junior High-Intermediate-Middle","06,07,08,SE","06,07,08","1926-07-01T00:00:00.000","Open","K035","272 MACDONOUGH STREET","NY","1002031","187582","-73.935891","40.681528","303","36","27300","3016740011","BK35","Stuyvesant Heights","JACQUELINE CHARLES","Principal","718-574-2345","718-452-1273","16","16","COMMUNITY SCHOOL DISTRICT 16","MARTIN, YOLANDA","NYCDOE Borough Office - Brooklyn North","NULL","School Support Team 7- Brooklyn North","NULL","NULL","NULL","303","81"
"2020","75K036","K036","P.S. 36","307500013036","DOE","Special Education","K-12 all grades","PK,0K,01,02,03,04,05,06,07,08,09,10,11,12,SE","01,02,03,04,05,06,07,08,09,10,11,12,SE","1989-06-26T00:00:00.000","Open","K857","2045 LINDEN BOULEVARD","NY","1015547","179922","-73.887195","40.660465","305","42","110400","3043270024","BK82","East New York","Kevin Lenahan","Principal","718-272-6483","718-272-6287","19","75","CITYWIDE SPECIAL EDUCATION","LOUISSAINT, KETLER","D75 CITYWIDE BCO","Tillman Roberto","Children First Network 751","NULL","NULL","NULL","305","75"
"2020","84K037","K037","Beginning with Children Charter School II","331400861021","Charter","General Academic","K-8","0K,01,02,03,04,05,06,07,08","0K,01,02,03,04,05,06,07,08","2012-07-01T00:00:00.000","Open","K071","215 HEYWARD STREET","NY","997197","195765","-73.953304","40.703996","301","33","52900","3022270001","BK72","Williamsburg","Mike Ferrara/Yvette Ferrara","Principal","718-302-7700","NULL","14","84","OFFICE OF CHARTER SCHOOLS","NULL","NULL","NULL","NULL","NULL","NULL","NULL","301","90"
"2020","15K038","K038","P.S. 038 The Pacific","331500010038","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,06,SE","PK,0K,01,02,03,04,05","1965-07-01T00:00:00.000","Open","K038","450 PACIFIC STREET","NY","989013","188821","-73.982826","40.684945","302","33","3900","3001910001","BK38","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","PASCALE PRADEL","I.A. Principal","718-330-9305","718-802-9542","15","15","COMMUNITY SCHOOL DISTRICT 15","SKOP, ANITA","NYCDOE Borough Office - Brooklyn North","NULL","School Support Team 5- Brooklyn North","NULL","NULL","NULL","302","84"
"2020","15K039","K039","P.S. 039 Henry Bristow","331500010039","DOE","General Academic","Elementary","0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05","1877-07-01 00:00:00.000","Open","K039","417 6 AVENUE","NY","988991","182882","-73.982909","40.668644","306","39","15300","3010000001","BK37","Park Slope-Gowanus","SARA PANAG","Acting Principal","718-330-9310","718-832-2010","15","15","COMMUNITY SCHOOL DISTRICT 15","SKOP, ANITA","NYCDOE Borough Office - Brooklyn North","NULL","School Support Team 5- Brooklyn North","NULL","NULL","NULL","306","78"
"2020","16K040","K040","P.S. 040 George W. Carver","331600010040","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05","1965-07-01T00:00:00.000","Open","K040","265 RALPH AVENUE","NY","1006134","187116","-73.921099","40.680239","303","41","37900","3015180001","BK35","Stuyvesant Heights","Louise Antoine","Principal","718-574-2353","718-453-0686","16","16","COMMUNITY SCHOOL DISTRICT 16","MARTIN, YOLANDA","NYCDOE Borough Office - Brooklyn North","NULL","School Support Team 4- Brooklyn North","NULL","NULL","NULL","303","81"
"2020","23K041","K041","P.S. 041 Francis White","332300010041","DOE","General Academic","K-8","0K,01,02,03,04,05,06,07,08,SE","0K,01,02,03,04,05,06,07,08","1965-07-01T00:00:00.000","Open","K041","411 THATFORD AVENUE","NY","1010073","179912","-73.906925","40.660455","316","42","91800","3036040001","BK81","Brownsville","SHONELLE HALL","Principal","718-495-7732","718-346-2141","23","23","COMMUNITY SCHOOL DISTRICT 23","PATE, MIATHERESA","NYCDOE Borough Office - Brooklyn North","NULL","School Support Team 7- Brooklyn North","NULL","NULL","NULL","316","73"
"2020","23K041","K041","P.S. 041 Francis White","332300010041","DOE","General Academic","K-8","0K,01,02,03,04,05,06,07,08,SE","0K,01,02,03,04,05,06,07,08","1965-07-01T00:00:00.000","Open","K041","411 THATFORD AVENUE","NY","1010073","179912","-73.906925","40.660455","316","42","91800","3036040001","BK81","Brownsville","SHONELLE HALL","Principal","718-495-7732","718-346-2141","23","23","COMMUNITY SCHOOL DISTRICT 23","PATE, MIATHERESA","NYCDOE Borough Office - Brooklyn North","NULL","School Support Team 7- Brooklyn North","NULL","NULL","NULL","316","73"
"2020","13K044","K044","P.S. 044 Marcus Garvey","331300010044","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05","1951-07-01T00:00:00.000","Open","K044","432 MONROE STREET","NY","1000652","189288","-73.940859","40.686213","303","36","27700","3018210001","BK35","Stuyvesant Heights","Roxanne James","Principal","718-834-6939","718-574-8501","13","13","COMMUNITY SCHOOL DISTRICT 13","SAMUELS, KAMAR","NYCDOE Borough Office - Brooklyn North","NULL","School Support Team 3- Brooklyn North","NULL","NULL","NULL","303","79"
"2020","32K045","K045","P.S./I.S. 045 Horace E. Greene","333200010045","DOE","General Academic","K-8","PK,0K,01,02,03,04,05,06,07,08,SE","0K,01,02,03,04,05,06,07,08,SE","1966-07-01T00:00:00.000","Open","K045","84 SCHAEFER STREET","NY","1009091","189372","-73.91043","40.686424","304","37","40100","3034270011","BK78","Bushwick South","NADINE MARSHALL","I.A. Principal","718-642-5360","718-574-1043","32","32","COMMUNITY SCHOOL DISTRICT 32","GORSKI, SHEILA","NYCDOE Borough Office - Brooklyn North","NULL","School Support Team 2- Brooklyn North","NULL","NULL","NULL","304","83"
"2020","13K046","K046","P.S. 046 Edward C. Blum","331300010046","DOE","General Academic","Elementary","PK,0K,01,02,03,04,05,06,SE","PK,0K,01,02,03,04,05","1960-07-01T00:00:00.000","Open","K046","100 CLERMONT AVENUE","NY","992113","192314","-73.971644","40.69453","302","35","18700","3020450011","BK68","Fort Greene","MARIA GUZMAN","Principal","718-834-7694","718-243-0726","13","13","COMMUNITY SCHOOL DISTRICT 13","SAMUELS, KAMAR","NYCDOE Borough Office - Brooklyn North","NULL","School Support Team 3- Brooklyn North","NULL","NULL","NULL","302","88"
