"extract_run_date","randomized_id","ccrb_received_year","days_between_incident_date","case_type","complaint_received_place","complaint_received_mode","borough_of_incident","patrol_borough_of_incident","reason_for_initial_contact"
"2018-05-25T00:00:00.000","61","2000","11","IAB","CCRB","On-line website","Manhattan","Manhattan South",
"2018-05-25T00:00:00.000","62","2000","0","OCD","CCRB","Phone","Manhattan","Other","Other"
"2018-05-25T00:00:00.000","63","2000","1","OCD","CCRB","Phone","Manhattan","Other","Other"
"2018-05-25T00:00:00.000","64","2000","0","OCD","Precinct","In-person","Staten Island","Staten Island","Parking violation"
"2018-05-25T00:00:00.000","65","2000","0","CCRB","Precinct","In-person","Brooklyn","Brooklyn North","PD suspected C/V of violation/crime - street"
"2018-05-25T00:00:00.000","66","2000","4","OCD","Precinct","In-person","Manhattan","Manhattan North",
"2018-05-25T00:00:00.000","67","2000","1","OCD","Precinct","In-person","Brooklyn","Brooklyn South","C/V at PCT to file complaint of crime"
"2018-05-25T00:00:00.000","68","2000","23","OCD","IAB","In-person","Queens","Other","C/V telephoned PCT"
"2018-05-25T00:00:00.000","69","2000","0","CCRB","Precinct","In-person","Manhattan","Manhattan North","PD suspected C/V of violation/crime - street"
"2018-05-25T00:00:00.000","70","2000","2","OCD","Precinct","In-person","Brooklyn","Brooklyn South",
"2018-05-25T00:00:00.000","71","2000","0","CCRB","CCRB","Phone","Manhattan","Manhattan North",
"2018-05-25T00:00:00.000","72","2000","2","CCRB","Precinct","Phone","Staten Island","Staten Island","PD suspected C/V of violation/crime - street"
"2018-05-25T00:00:00.000","73","2000","10","OCD","CCRB","Phone","Brooklyn","Brooklyn South","PD suspected C/V of violation/crime - street"
"2018-05-25T00:00:00.000","74","2000","29","OCD","CCRB","Mail","Queens","Queens South",
"2018-05-25T00:00:00.000","75","2000","0","OCD","Precinct","Phone","Brooklyn","Brooklyn North",
"2018-05-25T00:00:00.000","76","2000","0","OCD","Precinct","Phone",,"Other",
"2018-05-25T00:00:00.000","77","2000","1","CCRB","CCRB","Phone","Bronx","Bronx","Other"
"2018-05-25T00:00:00.000","78","2000","0","OCD","CCRB","Phone","Brooklyn","Brooklyn North",
"2018-05-25T00:00:00.000","79","2000","22","CCRB","IAB","Phone","Bronx","Bronx","Other"
"2018-05-25T00:00:00.000","80","2000","9","CCRB","IAB","Phone","Manhattan","Manhattan South","Report-dispute"
"2018-05-25T00:00:00.000","81","2000","32","CCRB","IAB","Phone","Manhattan","Manhattan South",
"2018-05-25T00:00:00.000","82","2000","147","OCD","CCRB","In-person","Brooklyn","Brooklyn South",
"2018-05-25T00:00:00.000","83","2000","9","CCRB","IAB","In-person","Brooklyn","Brooklyn North","Other"
"2018-05-25T00:00:00.000","84","2000","5","OCD","CCRB","Phone","Manhattan","Manhattan South","C/V telephoned PCT"
"2018-05-25T00:00:00.000","85","2000","9","CCRB","IAB","Phone","Bronx","Bronx","Execution of search warrant"
"2018-05-25T00:00:00.000","86","2000","11","CCRB","IAB","Mail","Brooklyn","Brooklyn North","Execution of arrest/bench warrant"
"2018-05-25T00:00:00.000","87","2000","28","CCRB","IAB","Mail",,"Queens North","Other"
"2018-05-25T00:00:00.000","88","2000","4","OCD","CCRB","Phone","Brooklyn","Brooklyn North",
"2018-05-25T00:00:00.000","89","2000","9","CCRB","IAB","Phone","Manhattan","Manhattan North","Other"
"2018-05-25T00:00:00.000","90","2000","1","OCD","CCRB","Phone","Manhattan","Manhattan North","Report-dispute"
"2018-05-25T00:00:00.000","91","2000","12","OCD","CCRB","Phone","Brooklyn","Brooklyn South","C/V requested investigation of crime"
"2018-05-25T00:00:00.000","92","2000","1","OCD","CCRB","Phone","Bronx","Bronx","Report-dispute"
"2018-05-25T00:00:00.000","93","2000","8","OCD","Precinct","Phone","Queens","Manhattan South","Other"
"2018-05-25T00:00:00.000","94","2000","3","OCD","Other NYPD unit","In-person","Bronx","Bronx","Parking violation"
"2018-05-25T00:00:00.000","95","2000","1","OCD","Precinct","Phone","Brooklyn","Brooklyn North",
"2018-05-25T00:00:00.000","96","2000","15","OCD","CCRB","Phone","Brooklyn","Brooklyn South","Report-noise/disturbance"
"2018-05-25T00:00:00.000","97","2000","0","CCRB","CCRB","Phone","Brooklyn","Brooklyn South","Other"
"2018-05-25T00:00:00.000","98","2000","3","OCD","CCRB","Phone","Bronx","Bronx","Other"
"2018-05-25T00:00:00.000","99","2000","0","OCD","CCRB","Phone","Queens","Other","Other"
"2018-05-25T00:00:00.000","100","2000","1","OCD","CCRB","Phone","Manhattan","Manhattan North","Traffic accident"
"2018-05-25T00:00:00.000","101","2000","2","CCRB","CCRB","Phone","Brooklyn","Brooklyn North","Report-dispute"
"2018-05-25T00:00:00.000","102","2000","19","CCRB","CCRB","Phone","Manhattan","Manhattan South","PD suspected C/V of violation/crime - bldg"
"2018-05-25T00:00:00.000","103","2000","31","CCRB","IAB","Phone","Manhattan","Other","Other"
"2018-05-25T00:00:00.000","104","2000","0","OCD","CCRB","Phone","Queens","Queens South","Report-dispute"
"2018-05-25T00:00:00.000","105","2000","0","OCD","Other NYPD unit","Phone","Manhattan","Manhattan South","Other"
"2018-05-25T00:00:00.000","106","2000","1353","OCD","Other NYPD unit","Phone","Queens","Queens South","Aided case"
"2018-05-25T00:00:00.000","107","2000","26","OCD","CCRB","Call Processing System",,"Other",
"2018-05-25T00:00:00.000","108","2000","328","CCRB","CCRB","In-person","Manhattan","Other",
"2018-05-25T00:00:00.000","109","2000","12","CCRB","IAB","Mail","Brooklyn","Brooklyn North","Report of other crime"
"2018-05-25T00:00:00.000","110","2000","17","CCRB","CCRB","Phone","Brooklyn","Brooklyn North","Report-gun possession/shots fired"
"2018-05-25T00:00:00.000","111","2000","5","CCRB","IAB","Phone","Bronx","Bronx",
"2018-05-25T00:00:00.000","112","2000","72","OCD","CCRB","Phone","Staten Island","Staten Island","Traffic accident"
"2018-05-25T00:00:00.000","113","2000","19","OCD","CCRB","Phone","Bronx","Bronx",
"2018-05-25T00:00:00.000","114","2000","78","CCRB","Precinct","Phone","Bronx","Bronx",
"2018-05-25T00:00:00.000","115","2000","1","OCD","CCRB","Phone","Manhattan","Manhattan South","Other"
"2018-05-25T00:00:00.000","116","2000","2","OCD","CCRB","Phone","Brooklyn","Brooklyn North","Traffic accident"
"2018-05-25T00:00:00.000","117","2000","10","CCRB","IAB","Phone","Brooklyn","Brooklyn South","Other"
"2018-05-25T00:00:00.000","118","2000","1","OCD","CCRB","Call Processing System","Manhattan","Manhattan North",
"2018-05-25T00:00:00.000","119","2000","0","OCD","Precinct","Phone","Brooklyn","Brooklyn South","Traffic accident"
"2018-05-25T00:00:00.000","120","2000","2","OCD","CCRB","Phone","Brooklyn","Other","PD suspected C/V of violation/crime - bldg"
"2018-05-25T00:00:00.000","121","2000","1","OCD","Other NYPD unit","Phone","Bronx","Bronx",
"2018-05-25T00:00:00.000","122","2000","28","CCRB","Other NYPD unit","Phone","Staten Island","Staten Island","Other"
"2018-05-25T00:00:00.000","123","2000","9","OCD","Precinct","Mail","Manhattan","Other","Moving violation"
"2018-05-25T00:00:00.000","124","2000","0","OCD","Precinct","Phone","Brooklyn","Brooklyn South","Traffic accident"
"2018-05-25T00:00:00.000","125","2000","10","CCRB","Precinct","In-person","Staten Island","Staten Island","Other"
"2018-05-25T00:00:00.000","126","2000","1","OCD","Precinct","In-person","Manhattan","Manhattan North","Parking violation"
"2018-05-25T00:00:00.000","127","2000","130","OCD","CCRB","Call Processing System","Brooklyn","Brooklyn North","Other"
"2018-05-25T00:00:00.000","128","2000","0","CCRB","CCRB","Phone","Queens","Other","Other"
"2018-05-25T00:00:00.000","129","2000","0","OCD","CCRB","Phone","Brooklyn","Brooklyn North",
"2018-05-25T00:00:00.000","130","2000","24","OCD","Precinct","Mail","Manhattan","Manhattan North","Report-dispute"
"2018-05-25T00:00:00.000","131","2000","8","CCRB","IAB","Mail","Manhattan","Manhattan South","Report-possession/sale of narcotics"
"2018-05-25T00:00:00.000","132","2000","0","REFERRAL","CCRB","Phone","Queens","Other","Report-dispute"
"2018-05-25T00:00:00.000","133","2000","2","CCRB","CCRB","Phone","Brooklyn","Brooklyn South","Report-possession/sale of narcotics"
"2018-05-25T00:00:00.000","134","2000","9","OCD","IAB","Phone","Manhattan","Manhattan North",
"2018-05-25T00:00:00.000","135","2000","1","CCRB","IAB","Phone","Brooklyn","Brooklyn North","Report of other crime"
"2018-05-25T00:00:00.000","136","2000","19","CCRB","IAB","Phone","Queens","Queens North",
"2018-05-25T00:00:00.000","137","2000","59","CCRB","CCRB","Phone","Brooklyn","Brooklyn North","Other"
"2018-05-25T00:00:00.000","138","2000","4","CCRB","IAB","Mail","Manhattan","Manhattan North","Report-possession/sale of narcotics"
"2018-05-25T00:00:00.000","139","2000","12","CCRB","IAB","Mail","Manhattan","Manhattan North","PD suspected C/V of violation/crime - street"
"2018-05-25T00:00:00.000","140","2000","1","OCD","CCRB","Phone","Staten Island","Staten Island","Other"
"2018-05-25T00:00:00.000","141","2000","9","OCD","IAB","Phone","Brooklyn","Brooklyn North",
"2018-05-25T00:00:00.000","142","2000","1","CCRB","CCRB","Phone","Queens","Queens South","Report-possession/sale of narcotics"
"2018-05-25T00:00:00.000","143","2000","21","OCD","CCRB","Phone","Brooklyn","Brooklyn South","C/V telephoned PCT"
"2018-05-25T00:00:00.000","144","2000","12","CCRB","IAB","Mail","Bronx","Bronx",
"2018-05-25T00:00:00.000","145","2000","287","CCRB","IAB","Phone","Manhattan","Manhattan South","PD suspected C/V of violation/crime - street"
"2018-05-25T00:00:00.000","146","2000","0","OCD","CCRB","Phone","Manhattan","Other","Other"
"2018-05-25T00:00:00.000","147","2000","0","OCD","CCRB","Phone","Manhattan","Manhattan North","Other"
"2018-05-25T00:00:00.000","148","2000","35","OCD","CCRB","Mail","Manhattan","Other","Other"
"2018-05-25T00:00:00.000","149","2000","153","IAB","CCRB","Phone","Manhattan","Manhattan North",
"2018-05-25T00:00:00.000","150","2000","0","CCRB","Precinct","In-person","Manhattan","Manhattan North","Other"
"2018-05-25T00:00:00.000","151","2000","124","OCD","CCRB","Phone","Manhattan","Other",
"2018-05-25T00:00:00.000","152","2000","0","IAB","CCRB","Phone","Brooklyn","Brooklyn South","Other"
"2018-05-25T00:00:00.000","153","2000","25","CCRB","IAB","Phone","Bronx","Bronx","Report-dispute"
"2018-05-25T00:00:00.000","154","2000","37","CCRB","IAB","Phone","Brooklyn","Brooklyn North","Parking violation"
"2018-05-25T00:00:00.000","155","2000","0","CCRB","CCRB","Call Processing System","Brooklyn","Brooklyn North","Other"
"2018-05-25T00:00:00.000","156","2000","1","CCRB","Precinct","Phone","Queens","Queens South","Moving violation"
"2018-05-25T00:00:00.000","157","2000","1","CCRB","CCRB","Phone","Bronx","Bronx",
"2018-05-25T00:00:00.000","158","2000","8","CCRB","Precinct","Phone","Queens","Queens South","Other"
"2018-05-25T00:00:00.000","159","2000","3","CCRB","IAB","Phone","Staten Island","Staten Island","Other"
"2018-05-25T00:00:00.000","160","2000","1","OCD","CCRB","Phone","Bronx","Bronx",
"2018-05-25T00:00:00.000","161","2000","2","OCD","Precinct","In-person","Manhattan","Manhattan North","Parking violation"
"2018-05-25T00:00:00.000","162","2000","0","OCD","Precinct","Phone","Queens","Queens South",
"2018-05-25T00:00:00.000","163","2000","1","OCD","CCRB","Call Processing System","Bronx","Bronx","Other"
"2018-05-25T00:00:00.000","164","2000","0","CCRB","CCRB","Phone","Manhattan","Manhattan South","C/V requested info from officer"
"2018-05-25T00:00:00.000","165","2000","1","OCD","CCRB","Phone","Manhattan","Other","Other"
"2018-05-25T00:00:00.000","166","2000","0","OCD","Other NYPD unit","Phone","Manhattan","Manhattan South","Parking violation"
"2018-05-25T00:00:00.000","167","2000","13","OCD","IAB","Mail","Manhattan","Manhattan North","Other"
"2018-05-25T00:00:00.000","168","2000","35","REFERRAL","CCRB","Mail","Manhattan","Manhattan North","Moving violation"
"2018-05-25T00:00:00.000","169","2000","3","CCRB","IAB","Phone","Brooklyn","Brooklyn South","Report-dispute"
"2018-05-25T00:00:00.000","170","2000","12","OCD","IAB","Mail","Brooklyn","Brooklyn South","Report-dispute"
"2018-05-25T00:00:00.000","171","2000","14","CCRB","CCRB","Mail","Bronx","Bronx","Parking violation"
"2018-05-25T00:00:00.000","172","2000","15","CCRB","CCRB","Phone","Queens","Queens South","PD suspected C/V of violation/crime - street"
"2018-05-25T00:00:00.000","173","2000","1","CCRB","CCRB","Phone","Brooklyn","Brooklyn South","Other"
"2018-05-25T00:00:00.000","174","2000","10","CCRB","IAB","Mail","Brooklyn","Brooklyn North","PD suspected C/V of violation/crime - bldg"
"2018-05-25T00:00:00.000","175","2000","18","CCRB","IAB","Phone","Brooklyn","Brooklyn North","EDP aided case"
"2018-05-25T00:00:00.000","176","2000","0","CCRB","Precinct","Phone","Manhattan","Manhattan South",
"2018-05-25T00:00:00.000","177","2000","0","REFERRAL","CCRB","Phone","Staten Island","Other","Other"
"2018-05-25T00:00:00.000","178","2000","9","OCD","IAB","Mail","Brooklyn","Brooklyn North",
"2018-05-25T00:00:00.000","179","2000","0","OCD","CCRB","Phone","Manhattan","Manhattan South","Moving violation"
"2018-05-25T00:00:00.000","180","2000","20","CCRB","CCRB","Mail","Bronx","Bronx","Other violation of VTL"
"2018-05-25T00:00:00.000","181","2000","1","CCRB","CCRB","Call Processing System","Brooklyn","Brooklyn South","Demonstration/protest"
"2018-05-25T00:00:00.000","182","2000","0","CCRB","CCRB","Phone","Bronx","Other","Other"
"2018-05-25T00:00:00.000","183","2000","293","CCRB","CCRB","On-line website","Manhattan","Manhattan North","Other"
"2018-05-25T00:00:00.000","184","2000","22","CCRB","IAB","In-person","Manhattan","Manhattan North","Other"
"2018-05-25T00:00:00.000","185","2000","13","CCRB","IAB","Phone","Manhattan","Manhattan South",
"2018-05-25T00:00:00.000","186","2000","5","OCD","Precinct","Phone","Queens","Queens South",
"2018-05-25T00:00:00.000","187","2000","0","OCD","Precinct","In-person","Manhattan","Manhattan South",
"2018-05-25T00:00:00.000","188","2000","0","OCD","Precinct","Phone","Queens","Queens South","Other"
"2018-05-25T00:00:00.000","189","2000","11","OCD","CCRB","Phone","Bronx","Bronx","Report-dispute"
"2018-05-25T00:00:00.000","190","2000","477","OCD","CCRB","Mail",,"Other",
"2018-05-25T00:00:00.000","191","2000","13","CCRB","IAB","Mail","Outside NYC","Other","Other"
"2018-05-25T00:00:00.000","192","2000","2","OCD","CCRB","Call Processing System","Manhattan","Other","Report of other crime"
"2018-05-25T00:00:00.000","193","2000","10","CCRB","Other","Phone","Manhattan","Manhattan South","Other"
"2018-05-25T00:00:00.000","194","2000","0","CCRB","Precinct","Phone","Bronx","Bronx","PD suspected C/V of violation/crime - street"
"2018-05-25T00:00:00.000","195","2000","8","CCRB","IAB","Mail","Bronx","Bronx","PD auto checkpoint"
"2018-05-25T00:00:00.000","196","2000","1","CCRB","CCRB","Phone","Brooklyn","Brooklyn North","PD suspected C/V of violation/crime - street"
"2018-05-25T00:00:00.000","197","2000","2","OCD","Precinct","In-person","Brooklyn","Brooklyn South",
"2018-05-25T00:00:00.000","432","2000","2","OCD","CCRB","Phone","Queens","Queens North",
"2018-05-25T00:00:00.000","198","2000","17","CCRB","IAB","Mail","Brooklyn","Brooklyn South","PD suspected C/V of violation/crime - street"
"2018-05-25T00:00:00.000","199","2000","5","REFERRAL","CCRB","Phone","Manhattan","Manhattan North",
"2018-05-25T00:00:00.000","200","2000","9","OCD","IAB","Phone","Queens","Other",
"2018-05-25T00:00:00.000","201","2000","2","CCRB","Precinct","In-person","Brooklyn","Brooklyn South","Parking violation"
"2018-05-25T00:00:00.000","202","2000","11","CCRB","CCRB","Phone","Manhattan","Manhattan South","PD suspected C/V of violation/crime - street"
"2018-05-25T00:00:00.000","203","2000","22","CCRB","Precinct","Phone","Staten Island","Staten Island","Report-gun possession/shots fired"
"2018-05-25T00:00:00.000","204","2000","20","CCRB","IAB","Phone","Brooklyn","Brooklyn North","Report of other crime"
"2018-05-25T00:00:00.000","205","2000","0","REFERRAL","Precinct","In-person","Brooklyn","Brooklyn South","PD suspected C/V of violation/crime - street"
"2018-05-25T00:00:00.000","206","2000","12","CCRB","CCRB","On-line website","Bronx","Bronx","PD suspected C/V of violation/crime - street"
"2018-05-25T00:00:00.000","207","2000","3","OCD","Precinct","Phone","Brooklyn","Brooklyn North","Traffic accident"
"2018-05-25T00:00:00.000","208","2000","6","CCRB","IAB","Phone","Brooklyn","Brooklyn South","Traffic accident"
"2018-05-25T00:00:00.000","209","2000","13","OCD","CCRB","Phone","Manhattan","Other","Traffic accident"
"2018-05-25T00:00:00.000","210","2000","67","OCD","CCRB","In-person","Bronx","Other",
"2018-05-25T00:00:00.000","211","2000","9","CCRB","IAB","Phone","Brooklyn","Brooklyn South","Other"
"2018-05-25T00:00:00.000","212","2000","5","OCD","CCRB","Call Processing System","Brooklyn","Other","Report of other crime"
"2018-05-25T00:00:00.000","213","2000","5","OCD","CCRB","Phone","Bronx","Bronx","Report-dispute"
"2018-05-25T00:00:00.000","214","2000","1","CCRB","Precinct","In-person","Manhattan","Manhattan North","Parking violation"
"2018-05-25T00:00:00.000","215","2000","25","OCD","CCRB","Phone","Brooklyn","Brooklyn South","Report of other crime"
"2018-05-25T00:00:00.000","216","2000","9","CCRB","Precinct","In-person","Manhattan","Manhattan North",
"2018-05-25T00:00:00.000","217","2000","0","OCD","Precinct","In-person","Bronx","Bronx","Moving violation"
"2018-05-25T00:00:00.000","218","2000","1","CCRB","Precinct","Phone",,"Other",
"2018-05-25T00:00:00.000","219","2000","2","OCD","Precinct","Phone","Queens","Queens North","Report-dispute"
"2018-05-25T00:00:00.000","220","2000","0","OCD","CCRB","Phone","Queens","Queens North","Other"
"2018-05-25T00:00:00.000","221","2000","8","OCD","IAB","Mail","Queens","Queens South","Other"
"2018-05-25T00:00:00.000","222","2000","8","CCRB","IAB","Phone","Manhattan","Manhattan South","Moving violation"
"2018-05-25T00:00:00.000","223","2000","1","OCD","CCRB","Phone","Brooklyn","Other","Other"
"2018-05-25T00:00:00.000","224","2000","10","OCD","IAB","Phone","Staten Island","Staten Island","Other"
"2018-05-25T00:00:00.000","225","2000","20","OCD","IAB","Mail","Brooklyn","Other","PD suspected C/V of violation/crime - street"
"2018-05-25T00:00:00.000","226","2000","8","OCD","Precinct","In-person","Manhattan","Manhattan North",
"2018-05-25T00:00:00.000","227","2000","0","OCD","CCRB","Phone","Brooklyn","Brooklyn South","Parking violation"
"2018-05-25T00:00:00.000","228","2000","7","CCRB","Other NYPD unit","Phone","Brooklyn","Brooklyn South","Report-possession/sale of narcotics"
"2018-05-25T00:00:00.000","229","2000","0","OCD","CCRB","Phone","Queens","Other","PD suspected C/V of violation/crime - street"
"2018-05-25T00:00:00.000","230","2000","1","OCD","CCRB","Call Processing System","Brooklyn","Brooklyn North","C/V requested investigation of crime"
"2018-05-25T00:00:00.000","231","2000","3","CCRB","CCRB","Call Processing System","Brooklyn","Brooklyn North","Other"
"2018-05-25T00:00:00.000","232","2000","0","OCD","Precinct","Phone","Manhattan","Manhattan South",
"2018-05-25T00:00:00.000","233","2000","54","OCD","IAB","Mail","Manhattan","Manhattan South",
"2018-05-25T00:00:00.000","234","2000","21","IAB","IAB","Phone","Queens","Queens South","Other"
"2018-05-25T00:00:00.000","235","2000","0","IAB","CCRB","Phone","Queens","Queens North","Traffic accident"
"2018-05-25T00:00:00.000","590","2000","0","OCD","CCRB","Phone","Manhattan","Queens South","Other"
"2018-05-25T00:00:00.000","236","2000","0","OCD","CCRB","Phone","Staten Island","Staten Island","Report-noise/disturbance"
"2018-05-25T00:00:00.000","237","2000","0","CCRB","Precinct","Phone","Queens","Queens North","Other"
"2018-05-25T00:00:00.000","238","2000","110","OCD","CCRB","Mail","Manhattan","Manhattan North","Report of other crime"
"2018-05-25T00:00:00.000","239","2000","13","OCD","IAB","Phone","Bronx","Bronx",
"2018-05-25T00:00:00.000","240","2000","47","CCRB","CCRB","Phone","Brooklyn","Brooklyn North","Other"
"2018-05-25T00:00:00.000","241","2000","0","OCD","CCRB","Phone","Brooklyn","Brooklyn South",
"2018-05-25T00:00:00.000","242","2000","-361","CCRB","CCRB","Mail","Brooklyn","Brooklyn South","Traffic accident"
"2018-05-25T00:00:00.000","243","2000","13","CCRB","IAB","Phone","Queens","Queens North","Other"
"2018-05-25T00:00:00.000","244","2000","147","OCD","CCRB","Phone","Staten Island","Staten Island",
"2018-05-25T00:00:00.000","245","2000","20","CCRB","IAB","Phone","Bronx","Bronx","Report-dispute"
"2018-05-25T00:00:00.000","246","2000","1","CCRB","Precinct","In-person","Bronx","Bronx","Other"
"2018-05-25T00:00:00.000","247","2000","0","CCRB","CCRB","Phone","Brooklyn","Brooklyn North","Report-dispute"
"2018-05-25T00:00:00.000","248","2000","3","OCD","CCRB","Phone","Bronx","Bronx","Moving violation"
"2018-05-25T00:00:00.000","249","2000","0","OCD","CCRB","Phone","Manhattan","Other","Parking violation"
