"borough","site_number","ad","ed"
"4","Q0248","27","79"
"2","X0104","78","66"
"1","10176","73","32"
"1","M0287","71","97"
"4","11189","30","47"
"3","B0317","42","30"
"1","M0317","69","82"
"3","B0071","41","27"
"1","M0072","69","47"
"1","M0078","73","31"
"1","M0212","75","79"
"4","10203","30","45"
"1","11529","67","18"
"1","10176","73","28"
"4","Q0149","40","60"
"4","10134","34","19"
"1","M0135","69","91"
"3","11251","44","68"
"2","11496","78","65"
"5","10634","62","76"
"3","B0317","42","28"
"2","X0015","77","77"
"5","11647","62","12"
"1","11587","66","57"
"3","11566","57","98"
"1","11481","75","78"
"3","B0191","53","84"
"1","11743","74","62"
"1","11457","73","25"
"3","11591","57","44"
"1","11592","65","43"
"2","X0023","86","67"
"1","11457","73","26"
"1","M0078","73","44"
"2","11689","81","42"
"2","X0201","77","73"
"5","S0071","61","70"
"1","10465","75","101"
"3","B0363","46","62"
"4","Q0116","33","74"
"1","M0093","72","18"
"4","Q0210","38","62"
"1","10176","73","34"
"4","10135","27","81"
"1","11457","76","92"
"2","X0205","79","89"
"3","10052","64","76"
"1","11518","70","101"
"4","Q0109","33","76"
"4","Q0113","37","86"
"4","Q0166","37","83"
"2","X0091","77","80"
"3","10052","51","77"
"3","11445","54","89"
"2","X0071","86","2"
"5","S0045","63","83"
"5","11647","62","82"
"1","M0018","73","98"
"4","10201","35","65"
"4","Q0012","29","74"
"3","B0172","46","73"
"1","M0198","75","43"
"1","M0018","73","97"
"5","S0029","62","84"
"1","11620","72","88"
"1","M0082","72","83"
"4","11528","37","60"
"4","Q0099","28","80"
"3","11621","42","52"
"2","X0066","87","96"
"5","10596","62","80"
"1","M0012","65","94"
"4","11687","24","58"
"4","11681","37","54"
"4","11041","40","57"
"1","M0051","70","111"
"2","X0032","80","33"
"4","Q0032","27","87"
"2","X0108","77","29"
"3","B0375","47","30"
"3","B0278","59","80"
"4","10509","29","32"
"3","B0396","52","122"
"3","B0149","51","85"
"3","B0216","52","91"
"3","10123","48","72"
"3","B0225","43","80"
"2","X0082","87","100"
"3","11148","47","42"
"2","11467","87","49"
"3","B0086","47","9"
"1","10438","69","105"
"1","11604","70","8"
"2","X0079","87","64"
"4","Q0090","26","23"
"2","X0066","87","30"
"2","X0076","87","5"
"2","X0066","87","53"
"4","10135","40","55"
"4","00063","23","77"
"1","11474","71","93"
"2","X0042","87","47"
"3","10967","55","97"
"1","11690","65","26"
"1","11457","73","42"
"1","11609","71","77"
"1","11604","70","10"
"1","11161","72","70"
"2","X0133","80","94"
"4","11611","27","35"
"1","M0152","75","100"
"1","11609","71","76"
"1","11609","71","80"
"1","11482","70","73"
"3","B0314","64","85"
"2","X0066","87","25"
"3","B0020","59","87"
"4","11611","27","31"
"2","11151","83","12"
"2","11467","87","50"
"1","11609","71","79"
"1","M0169","71","98"
"1","10205","74","89"
"1","11609","71","78"
"1","11486","70","75"
"1","11161","72","65"
"1","11485","74","86"
"1","10131","74","90"
"3","11175","47","73"
"1","11485","74","84"
"2","11466","87","60"
"1","10176","73","48"
"3","B0262","51","6"
"2","X0155","83","79"
"3","10580","50","65"
"2","X0051","87","19"
"1","11457","73","46"
"1","M0177","73","59"
"2","10097","79","54"
"2","X0051","87","20"
"4","Q0088","29","10"
"1","11620","72","35"
"3","B0058","46","42"
"3","11492","58","3"
"4","11742","23","53"
"3","B0333","54","33"
"4","10590","32","42"
"4","00063","23","78"
"1","11263","71","34"
"2","X0131","84","37"
"3","11612","48","63"
"3","11386","57","3"
"1","10237","72","74"
"4","Q0250","24","18"
"1","10148","68","100"
"1","11615","75","91"
"1","M0032","68","38"
"1","11620","72","27"
"1","11615","75","90"
"4","11742","23","54"
"3","B0260","56","90"
"4","Q0082","25","73"
"2","X0101","80","32"
"2","X0051","80","9"
"1","M0014","67","39"
"1","M0178","74","76"
"1","M0177","73","51"
"3","11605","55","48"
"5","11617","63","29"
"1","11615","75","88"
"3","11433","55","54"
"1","M0290","65","50"
"1","11743","74","53"
"2","X0051","80","12"
"3","B0071","41","43"
"2","X0017","80","88"
"1","M0032","68","24"
"1","M0249","65","48"
"2","X0051","87","17"
"1","11620","72","25"
"2","X0110","80","70"
"3","11608","56","82"
"2","11373","82","57"
"1","11457","73","45"
"2","X0205","79","53"
"1","11615","73","43"
"1","M0014","67","40"
"3","11521","42","66"
"1","M0177","73","55"
"2","10066","86","47"
"3","11612","48","57"
"1","M0177","76","9"
"1","11620","72","24"
"1","10463","75","51"
"1","M0064","68","28"
"2","X0155","83","83"
"1","10405","70","11"
"3","11612","42","61"
"2","X0051","80","10"
"1","10405","70","20"
"1","11532","68","96"
"3","11250","42","36"
"1","M0049","67","64"
"2","10544","81","14"
"2","X0131","84","35"
"3","11610","57","97"
"2","X0150","84","55"
"1","10405","70","15"
"2","X0155","83","82"
"1","M0178","74","72"
"3","B0336","60","24"
"1","11620","72","34"
"5","11617","63","30"
"3","11621","41","53"
"2","X0069","86","45"
"1","11609","71","75"
"3","11608","56","57"
"3","11610","57","32"
"3","B0087","57","38"
"3","11612","48","64"
"3","11605","60","6"
"1","M0177","73","52"
"1","10237","72","75"
"2","11373","82","56"
"3","11386","57","2"
"2","X0051","80","13"
"2","X0051","87","18"
"3","10580","50","71"
"1","11622","69","99"
"1","11620","72","30"
"1","M0177","73","54"
"3","11612","48","56"
"1","M0177","73","57"
"3","B0048","45","79"
"3","B0349","47","16"
"3","11386","57","1"
"3","11621","41","52"
"1","M0049","67","63"
"4","Q0016","31","81"
"3","11605","55","46"
"4","Q0202","26","78"
"2","10346","77","20"
"1","00016","66","20"
"1","11487","67","85"
"1","10405","70","18"
"4","Q0303","35","16"
"2","X0131","84","34"
"4","Q0117","26","81"
"1","11642","68","45"
"5","10008","62","75"
"4","10864","36","77"
"4","11182","36","76"
"1","M0018","76","97"
"4","Q0073","25","70"
"1","M0326","69","21"
"3","B0262","49","2"
"3","B0113","50","97"
"4","Q0228","27","40"
"4","11628","37","79"
"1","11634","73","66"
"3","00038","58","56"
"1","00025","68","92"
"1","M0041","67","31"
"3","00048","41","83"
"3","00039","41","35"
"2","00030","82","34"
"1","00012","67","90"
"1","00007","66","27"
"3","11624","52","13"
"1","00013","66","81"
"1","00025","68","93"
"1","00016","66","28"
"3","11624","52","14"
"3","00043","48","42"
"3","B0011","52","11"
"4","00056","28","47"
"4","00062","28","34"
"1","11532","68","34"
"3","00038","58","11"
"3","00046","47","33"
"5","00067","61","37"
"1","11532","68","59"
"4","00062","27","72"
"1","00009","74","2"
"1","11119","67","19"
"5","00067","61","38"
"3","00048","41","88"
"3","00050","45","21"
"3","00039","41","75"
"1","00012","69","2"
"1","00013","66","79"
"3","00048","41","87"
"4","00063","23","74"
"1","00016","66","29"
"3","10580","50","105"
"1","00012","69","3"
"1","00009","74","3"
"1","00009","74","5"
"2","00036","80","42"
"3","00048","41","82"
"4","00062","27","19"
"3","00048","41","85"
"3","00050","47","51"
"1","00012","69","4"
"1","00012","69","1"
"3","00050","45","35"
"1","00012","69","5"
"1","00019","75","37"
"5","00067","63","61"
"3","00048","41","44"
"4","00062","27","20"
"3","00038","58","52"
"3","00046","47","32"
"1","00001","76","87"
"1","00028","71","86"
"3","00049","52","54"
"4","00063","23","76"
"3","00050","45","32"
"3","00050","45","33"
"1","00012","69","10"
"1","00001","76","98"
"1","00028","72","73"
"4","00063","23","81"
"3","00050","45","34"
"1","00025","68","78"
"1","11482","70","70"
"3","00049","52","53"
"3","00049","52","55"
"1","00028","72","57"
"1","00013","66","80"
"1","M0169","72","78"
"4","00060","28","43"
"3","00045","55","35"
"4","00062","28","24"
"1","M0169","72","8"
"1","M0313","74","93"
"3","00039","41","10"
"3","00038","58","8"
"3","00048","41","89"
"1","11532","68","57"
"3","11734","47","8"
"1","00025","68","77"
"3","00039","41","77"
"3","00038","58","10"
"4","00062","28","28"
"3","00048","41","86"
"3","00039","41","76"
"1","00012","69","7"
"4","00063","23","73"
"4","00062","28","33"
"1","00007","66","30"
"3","00049","52","52"
"3","00039","41","78"
"3","11624","52","16"
"5","00067","61","39"
"3","B0131","42","55"
"4","00063","23","41"
"1","00012","69","6"
"5","11626","63","18"
"1","10520","69","102"
"4","00063","23","72"
"3","10674","47","61"
"4","00060","28","49"
"3","11624","52","15"
"4","00063","23","82"
"1","00028","72","58"
"3","00050","45","55"
"4","00060","28","44"
"1","10523","69","101"
"1","00028","72","47"
"3","00049","52","56"
"1","00013","66","82"
"1","11532","70","1"
"5","11626","63","19"
"1","00028","72","64"
"3","00043","48","47"
"4","00063","23","80"
"3","00043","48","46"
"1","00007","66","31"
"1","00028","72","49"
"4","00063","23","40"
"1","00028","72","61"
"1","M0231","67","7"
"4","00056","28","31"
"2","00030","82","37"
"1","00028","72","59"
"3","00039","41","80"
"1","M0032","68","29"
"5","00067","61","40"
"4","00058","39","52"
"1","00012","69","11"
"1","00012","69","9"
"3","B0212","52","12"
"1","00028","72","60"
"4","00058","39","9"
"4","00058","39","1"
"3","00046","47","49"
"1","00009","74","4"
"1","00028","72","48"
"3","00046","47","48"
"3","00046","47","47"
"3","11625","52","10"
"1","00016","66","25"
"4","00060","27","46"
"3","00038","55","95"
"4","00060","28","48"
"1","00012","67","72"
"3","10580","50","68"
"3","00046","47","66"
"4","00062","27","70"
"3","00038","58","54"
"3","B0225","43","81"
"4","Q0130","29","78"
"1","M0152","67","36"
"1","11529","67","108"
"3","B0312","52","125"
"4","Q0130","31","83"
"3","B0046","56","81"
"1","M0082","72","82"
"1","11690","65","28"
"2","X0108","77","25"
"3","B0362","43","47"
"1","M0212","75","73"
"3","11629","56","35"
"4","Q0124","36","81"
"2","X0032","80","35"
"1","10401","76","101"
"4","11668","37","75"
"3","B0294","52","111"
"1","M0254","72","97"
"4","10735","24","87"
"4","10560","26","79"
"4","Q0180","37","82"
"3","B0133","44","92"
"3","10048","46","12"
"5","10596","62","81"
"4","11182","30","78"
"1","M0044","67","66"
"3","10253","51","83"
"4","11597","38","43"
"4","Q0264","38","67"
"1","M0019","66","93"
"1","M0073","65","99"
"1","M0326","67","114"
"5","10010","63","87"
"3","B0197","46","2"
"3","B0396","51","84"
"3","B0390","59","81"
"4","Q0073","27","30"
"1","11399","66","100"
"3","11752","54","41"
"2","X0035","77","12"
"4","11652","37","49"
"3","11450","55","79"
"4","11686","31","57"
"4","11597","38","20"
"3","B0161","46","28"
"3","11621","42","53"
"5","11645","62","60"
"3","B0058","47","71"
"3","11420","51","75"
"3","B0340","54","84"
"5","S0062","64","65"
"1","10279","75","115"
"3","B0010","55","22"
"4","11158","38","71"
"4","11371","35","66"
"3","10681","43","70"
"3","B0187","52","108"
"3","11535","57","106"
"2","X0052","77","17"
"2","11574","82","46"
"1","M0145","72","89"
"2","X0076","87","6"
"4","Q0296","23","20"
"3","B0022","58","84"
"3","10470","54","88"
"3","10052","51","76"
"4","Q0232","30","75"
"1","11685","68","88"
"4","10608","34","67"
"1","M0129","76","47"
"1","10463","75","29"
"4","Q0063","40","56"
"5","S0072","62","32"
"3","B0348","64","98"
"4","10844","25","15"
"4","11597","38","42"
"2","X0156","81","30"
"3","10053","54","85"
"1","10434","75","74"
"3","B0131","42","78"
"3","10551","57","96"
"5","11645","62","65"
"5","S0062","64","69"
"5","10010","64","67"
"2","X0067","86","71"
"4","11164","33","16"
"4","Q0128","30","79"
"5","S0048","62","74"
"1","M0064","68","104"
"3","11644","55","69"
"4","Q0051","27","89"
"1","M0171","76","99"
"3","11449","64","93"
"2","X0082","87","58"
"3","00046","47","70"
"4","Q0011","31","80"
"3","B0375","47","69"
"4","Q0296","31","30"
"3","10450","57","104"
"2","X0025","77","78"
"1","10612","65","29"
"2","X0178","85","41"
"3","B0042","49","65"
"2","X0178","84","85"
"1","M0152","67","59"
"1","10522","69","108"
"3","B0104","42","80"
"1","M0015","68","108"
"3","11410","51","86"
"2","X0168","84","47"
"2","X0137","80","95"
"2","X0062","87","36"
"2","X0082","87","59"
"3","B0167","46","81"
"2","X0133","80","75"
"1","10099","75","111"
"1","11634","73","105"
"1","M0198","75","112"
"1","10547","66","104"
"2","X0156","81","29"
"4","Q0045","36","12"
"1","M0224","76","103"
"3","11629","56","28"
"4","Q0109","24","91"
"1","M0152","67","107"
"4","Q0299","28","89"
"2","X0223","78","70"
"2","X0071","86","10"
"1","11692","65","19"
"1","11683","76","67"
"1","11692","65","25"
"4","Q0047","32","82"
"1","11263","71","105"
"4","11632","35","33"
"3","B0074","54","53"
"1","11518","70","48"
"2","X0183","78","69"
"5","11201","63","82"
"4","11371","34","73"
"4","10608","34","68"
"3","B0346","56","89"
"3","11621","42","62"
"3","B0135","55","19"
"1","M0191","74","106"
"2","X0133","80","80"
"1","11263","71","95"
"1","10222","66","99"
"4","Q0084","32","84"
"4","Q0023","33","70"
"2","X0133","80","78"
"2","11689","81","39"
"1","11485","74","103"
"1","10463","75","34"
"1","11634","73","64"
"3","10788","46","7"
"3","11412","43","83"
"3","B0185","51","78"
"3","B0363","46","75"
"4","Q0271","33","75"
"1","10139","74","97"
"2","X0035","77","14"
"1","M0248","70","97"
"3","11630","57","77"
"1","10007","66","22"
"2","X0156","81","31"
"3","B0384","45","77"
"1","M0078","68","111"
"2","10071","84","84"
"3","B0365","43","5"
"1","M0093","72","90"
"5","S0026","64","2"
"3","B0172","46","44"
"2","11676","82","38"
"1","M0152","67","58"
"3","B0177","43","63"
"4","Q0225","28","55"
"5","10298","63","78"
"4","11528","37","42"
"1","11634","73","62"
"4","11688","32","1"
"3","B0245","46","20"
"2","X0133","81","99"
"5","10010","64","68"
"1","11530","71","102"
"3","11374","60","91"
"3","11427","53","82"
"4","Q0025","23","91"
"2","10075","84","59"
"1","10405","70","5"
"5","S0001","61","60"
"2","X0098","78","56"
"3","00038","58","85"
"4","11637","37","81"
"1","M0143","70","103"
"3","B0301","49","70"
"1","00019","75","104"
"4","Q0249","36","83"
"2","X0032","80","36"
"1","M0144","67","104"
"4","Q0073","25","69"
"3","B0331","43","86"
"4","11388","32","25"
"1","10520","70","104"
"2","X0008","77","1"
"2","11682","79","79"
"3","11478","55","8"
"1","00016","66","48"
"3","B0369","55","11"
"3","B0110","44","88"
"1","M0111","74","102"
"4","Q0239","25","60"
"1","10548","66","97"
"1","M0018","76","95"
"3","B0003","52","49"
"3","11229","43","87"
"3","B0117","56","7"
"1","M0012","65","82"
"4","Q0228","27","41"
"2","X0028","87","97"
"4","Q0023","33","68"
"5","11647","62","13"
"4","11653","30","54"
"1","11474","71","108"
"2","X0017","80","29"
"2","X0034","83","15"
"2","X0082","87","55"
"1","10943","69","109"
"1","11508","72","95"
"2","10075","84","58"
"4","11164","33","17"
"4","Q0098","25","71"
"5","11647","62","14"
"1","M0073","65","73"
"3","11450","55","67"
"2","10346","86","68"
"1","M0064","68","101"
"3","B0386","42","76"
"3","B0003","52","50"
"4","Q0092","29","75"
"1","10569","69","106"
"1","M0067","68","113"
"4","10134","34","12"
"1","M0215","70","105"
"3","B0374","60","90"
"2","11689","81","40"
"1","10759","74","107"
"4","Q0048","40","58"
"4","11110","29","7"
"5","S0032","62","85"
"2","X0178","85","42"
"2","X0205","79","57"
"2","X0168","84","69"
"4","11636","35","29"
"1","11220","67","109"
"1","10726","67","103"
"3","B0074","54","48"
"2","X0062","85","83"
"1","M0245","66","96"
"4","Q0007","23","88"
"3","B0147","59","43"
"3","B0305","44","83"
"1","10222","66","105"
"4","Q0096","33","77"
"3","B0212","52","120"
"4","11110","24","90"
"4","11597","38","44"
"2","X0133","80","81"
"1","M0018","76","94"
"1","M0255","72","93"
"1","11485","74","95"
"1","M0026","69","97"
"1","M0248","70","96"
"3","11248","55","17"
"3","B0197","46","3"
"5","11595","63","11"
"4","11654","23","69"
"2","X0111","81","3"
"3","B0195","52","97"
"4","11686","31","86"
"1","11263","71","101"
"3","B0131","42","79"
"1","M0037","75","113"
"4","Q0100","26","80"
"3","11621","41","54"
"4","Q0294","38","68"
"1","M0144","75","96"
"1","M0050","76","100"
"2","X0191","79","55"
"2","X0062","87","35"
"5","11648","62","63"
"3","10984","41","99"
"1","M0121","70","98"
"1","M0082","72","85"
"4","Q0239","27","84"
"1","11532","68","109"
"4","11688","32","2"
"3","10785","57","99"
"3","B0266","49","68"
"3","B0337","43","65"
"2","X0071","86","65"
"3","11417","58","86"
"3","B0317","42","27"
"2","X0133","80","91"
"4","Q0023","33","71"
"5","10341","61","74"
"4","Q0136","26","84"
"1","10518","68","115"
"1","M0169","71","99"
"4","11186","38","66"
"1","11481","75","70"
"2","X0111","81","5"
"1","M0259","72","86"
"2","X0052","77","38"
"4","Q0301","34","65"
"5","10006","64","56"
"5","11441","61","6"
"1","11261","72","92"
"3","11414","57","6"
"3","B0258","57","101"
"1","M0248","70","95"
"1","10432","67","105"
"5","10010","64","64"
"1","M0177","76","102"
"1","10404","75","108"
"3","B0074","54","47"
"5","11639","63","7"
"5","S0031","63","80"
"1","M0317","70","2"
"5","10010","62","87"
"1","M0144","75","98"
"1","M0012","65","84"
"1","11657","74","24"
"4","11655","38","40"
"3","B0177","43","60"
"3","B0365","42","9"
"5","11505","61","79"
"5","11646","61","76"
"5","00067","61","72"
"5","10010","63","88"
"5","11171","61","75"
"3","B0001","44","89"
"4","Q0288","24","57"
"4","11110","29","8"
"3","B0369","55","12"
"1","11690","65","21"
"3","11118","59","32"
"5","10010","64","70"
"3","B0136","54","87"
"1","M0234","73","96"
"3","B0016","56","86"
"2","X0205","79","84"
"2","X0008","77","68"
"3","11624","52","102"
"4","11687","32","14"
"4","Q0213","37","48"
"3","B0387","42","25"
"4","Q0088","29","9"
"4","Q0296","23","19"
"4","Q0262","27","88"
"2","X0143","83","37"
"4","11655","24","70"
"3","11644","55","68"
"1","10759","73","106"
"1","00019","75","106"
"3","B0158","46","82"
"4","10203","34","71"
"1","M0178","74","73"
"1","11690","65","20"
"4","Q0098","25","75"
"1","10139","74","96"
"2","X0024","85","84"
"4","11388","32","28"
"4","Q0301","34","18"
"2","X0066","87","51"
"2","X0225","82","16"
"2","X0133","80","79"
"5","11441","61","78"
"5","S0001","61","73"
"3","11621","41","55"
"2","11682","79","71"
"5","S0052","61","57"
"2","X0081","86","72"
"2","X0093","78","47"
"1","11641","70","102"
"2","11631","80","76"
"3","10254","50","95"
"4","11652","37","50"
"3","11150","44","82"
"5","S0006","61","71"
"1","00016","66","102"
"5","11639","63","85"
"5","S0045","63","68"
"2","X0224","84","64"
"3","11231","57","93"
"3","B0250","43","82"
"3","11630","52","72"
"1","M0082","71","106"
"4","11636","35","22"
"3","B0242","51","82"
"3","B0314","64","92"
"5","S0026","64","58"
"1","11685","68","89"
"4","Q0128","37","88"
"2","00030","82","35"
"4","Q0057","31","84"
"1","11634","73","63"
"4","10203","30","77"
"4","11636","35","21"
"4","Q0249","36","47"
"2","X0178","85","85"
"4","11681","37","67"
"3","10984","41","96"
"2","10090","79","88"
"3","10217","41","92"
"2","11689","81","45"
