"open_data_crash_id","crash_date","crash_time","crash_police_precinct","crash_borough","total_non_severe_injuries","total_severe_injuries","total_fatalities","latitude","longitude","on_street","cross_street","address","highway_reference_marker","zipcode","similar_fatalities_severe","similar_fatalities_all","community_board","council_district","bin","bbl","census_tract_2020_","neighborhood_tabulation_area_nta_2020_"
"4497144","2022-01-20T00:00:00.000","13:30","46","Bronx","0","1","0","40.8451770","-73.9141700","JEROME AVENUE","CROSS BRONX EXPRESSWAY",,,,"0","0",,,,,,
"4496987","2022-01-20T00:00:00.000","13:40","43","Bronx","0","1","0","40.8341260","-73.8524600",,,"2167       WESTCHESTER AVENUE",,,"0","0","209","18","2029019","2039350008","222","BX0904"
"4505655","2022-01-20T00:00:00.000","20:55","40","Bronx","0","1","0","40.8214950","-73.9183040",,,"304        EAST 156 STREET",,,"0","0","201","17","2093923","2024130001","67","BX0102"
"4496251","2022-01-21T00:00:00.000","08:22","41","Bronx","0","1","0","40.8123700","-73.9004060",,,"651        TIMPSON PLACE",,,"0","1","202","17","2000000","2026030203","83","BX0202"
"4496973","2022-01-21T00:00:00.000","10:04","43","Bronx","0","1","0",,,"BRUCKNER EXPRESSWAY RAMP",,,"278IX1MR04L1",,"0","0",,,,,,
"4498598","2022-01-23T00:00:00.000","11:30","44","Bronx","0","1","0","40.8360180","-73.9243000","WEST 167 STREET","ANDERSON AVENUE",,,,"0","1",,,,,,
"4496780","2022-01-23T00:00:00.000","18:45","44","Bronx","0","1","0","40.8357240","-73.9212900","EAST 167 STREET",,,,,"0","0",,,,,,
"4497221","2022-01-24T00:00:00.000","08:29","44","Bronx","0","1","0","40.8408780","-73.9047700","WEBSTER AVENUE","CLAY AVENUE",,,,"0","1",,,,,,
"4497407","2022-01-25T00:00:00.000","16:20","46","Bronx","0","1","0","40.8589860","-73.8938200","WEBSTER AVENUE","EAST 187 STREET",,,,"0","0",,,,,,
"4498791","2022-01-25T00:00:00.000","21:20","48","Bronx","0","1","0","40.8368950","-73.8736000","BRONX RIVER PARKWAY","EAST 177 STREET",,,,"0","7",,,,,,
"4497897","2022-01-26T00:00:00.000","16:42","47","Bronx","0","1","0","40.8915400","-73.8498460","EDENWALD AVENUE",,,,,"0","0",,,,,,
"4498023","2022-01-27T00:00:00.000","12:13","49","Bronx","0","1","0","40.8597300","-73.8559700","LACONIA AVENUE","ASTOR AVENUE",,,,"0","0",,,,,,
"4497858","2022-01-27T00:00:00.000","12:14","50","Bronx","1","1","0","40.8851700","-73.9073300","WEST 235 STREET",,,,,"1","1",,,,,,
"4498030","2022-01-27T00:00:00.000","17:17","43","Bronx","0","1","0","40.8207300","-73.8677900",,,"1686       LAFAYETTE AVENUE",,,"0","0","209","18","2092687","2035910001","2001","BX0902"
"4498220","2022-01-27T00:00:00.000","19:00","44","Bronx","0","1","0","40.8278120","-73.9259340","EAST 161 STREET",,,,,"0","5",,,,,,
"4498643","2022-01-28T00:00:00.000","18:00","45","Bronx","1","1","0","40.8374100","-73.8475950","ZEREGA AVENUE","TRATMAN AVENUE",,,,"0","0",,,,,,
"4499156","2022-01-29T00:00:00.000","00:08","40","Bronx","0","1","0",,,"MAJOR DEEGAN EXPRESSWAY RAMP",,,,,"0","0",,,,,,
"4498384","2022-01-29T00:00:00.000","18:15","40","Bronx","0","1","0","40.8161200","-73.9266360","EAST 144 STREET","PARK AVENUE",,,,"0","1",,,,,,
"4498594","2022-01-30T00:00:00.000","04:23","44","Bronx","0","1","0","40.8436400","-73.9130400","EAST MOUNT EDEN AVENUE","WALTON AVENUE",,,,"0","0",,,,,,
"4499109","2022-02-01T00:00:00.000","09:09","43","Bronx","0","1","0","40.8240800","-73.8429000","ZEREGA AVENUE","LAFAYETTE AVENUE",,,,"0","0",,,,,,
"4499184","2022-02-01T00:00:00.000","11:50","52","Bronx","0","1","0","40.8636470","-73.8918000","EAST 193 STREET","MARION AVENUE",,,,"0","0",,,,,,
"4499339","2022-02-02T00:00:00.000","05:25","44","Bronx","0","1","0","40.8335400","-73.9203700","WALTON AVENUE",,,,,"0","0",,,,,,
"4499593","2022-02-03T00:00:00.000","01:12","48","Bronx","2","1","0","40.8589860","-73.8938200","EAST 187 STREET","WEBSTER AVENUE",,,,"0","2",,,,,,
,,,,,,,,,,,,,,,,,"305","37","3092587","3041370021","1174","BK0501"
"4500696","2022-02-03T00:00:00.000","22:02","41","Bronx","1","1","0","40.8113300","-73.9007800","BRUCKNER BOULEVARD","AUSTIN PLACE",,,,"0","1",,,,,,
"4499968","2022-02-04T00:00:00.000","00:54","45","Bronx","0","0","1",,,"SCHLEY AVENUE","CROSS BRONX EXPRESSWAY EXTENSION",,,,"0","0",,,,,,
"4500700","2022-02-05T00:00:00.000","03:30","43","Bronx","0","1","0","40.8351700","-73.8668000","CROSS BRONX EXPY",,,"95IX1M22034",,"0","2",,,,,,
"4500302","2022-02-06T00:00:00.000","04:50","48","Bronx","3","1","0","40.8439940","-73.8975200","CROSS BRONX EXPRESSWAY","3 AVENUE",,,,"2","15",,,,,,
"4500886","2022-02-06T00:00:00.000","05:13","52","Bronx","0","0","1","40.8579700","-73.8727200","BRONX RIVER PARKWAY",,,"907HX1M12025",,"0","2",,,,,,
"4500906","2022-02-06T00:00:00.000","14:16","44","Bronx","2","1","0","40.8335880","-73.9149800","EAST 167 STREET","GRANT AVENUE",,,,"0","0",,,,,,
"4501245","2022-02-08T00:00:00.000","08:28","44","Bronx","0","1","0","40.8438220","-73.9275000","MAJOR DEEGAN EXPRESSWAY",,,"87IX1M12034",,"0","0",,,,,,
"4502502","2022-02-09T00:00:00.000","19:45","44","Bronx","1","1","0","40.8449170","-73.9263840","CROSS BRONX EXPY",,,"95IX1M21001",,"0","7",,,,,,
"4503917","2022-02-09T00:00:00.000","21:55","40","Bronx","0","1","0","40.8175540","-73.9309500","MAJOR DEEGAN EXPRESSWAY",,,"87IX1M12016",,"0","0",,,,,,
"4501626","2022-02-09T00:00:00.000","23:05","45","Bronx","1","1","0","40.8749920","-73.8184600","HUTCHINSON RIVER PARKWAY",,,"908AX1M11034",,"0","2",,,,,,
"4502503","2022-02-10T00:00:00.000","18:41","44","Bronx","0","1","0","40.8309100","-73.9204700","EAST 165 STREET",,,,,"0","1",,,,,,
"4502389","2022-02-11T00:00:00.000","07:35","42","Bronx","0","1","0",,,"EAST 163 STREET","WASHINGTON AVENUE",,,,"0","1",,,,,,
"4502127","2022-02-11T00:00:00.000","10:26","48","Bronx","0","1","0","40.8588500","-73.8859560","EAST FORDHAM ROAD","HOFFMAN STREET",,,,"1","1",,,,,,
"4502048","2022-02-11T00:00:00.000","16:20","45","Bronx","0","1","0","40.8175930","-73.8205700","MILES AVENUE","SWINTON AVENUE",,,,"0","0",,,,,,
"4502523","2022-02-11T00:00:00.000","19:27","44","Bronx","0","1","0","40.8401760","-73.9252800","OGDEN AVENUE",,,,,"0","1",,,,,,
"4502561","2022-02-11T00:00:00.000","20:38","44","Bronx","1","1","0",,,"GERARD AVENUE","EAST 149 STREET",,,,"0","1",,,,,,
"4503529","2022-02-11T00:00:00.000","23:30","44","Bronx","0","1","0","40.8221780","-73.9309000",,,"610        EXTERIOR STREET",,,"0","0","204","8","2119100","2023570035","6301","BX0401"
"4501955","2022-02-12T00:00:00.000","03:01","52","Bronx","0","1","0","40.8551200","-73.8722150","BRONX RIVER PARKWAY",,,"907HX1M12023",,"0","3",,,,,,
"4502781","2022-02-12T00:00:00.000","16:25","44","Bronx","0","1","0","40.8339400","-73.9087000","WEBSTER AVENUE",,,,,"0","5",,,,,,
"4502570","2022-02-12T00:00:00.000","18:03","48","Bronx","0","1","0","40.8584180","-73.8851400","EAST FORDHAM ROAD","ARTHUR AVENUE",,,,"0","0",,,,,,
"4502350","2022-02-13T00:00:00.000","18:58","46","Bronx","0","0","1","40.8454300","-73.9139900","JEROME AVENUE",,,,,"0","2",,,,,,
"4504450","2022-02-14T00:00:00.000","00:55","40","Bronx","0","1","0","40.8054900","-73.9103100","EAST 140 STREET","BRUCKNER BOULEVARD",,,,"0","7",,,,,,
"4503038","2022-02-15T00:00:00.000","14:45","44","Bronx","0","1","0","40.8309800","-73.9144300",,,"1110       COLLEGE AVENUE",,,"0","0","204","16","2002252","2024340004","175","BX0401"
"4504715","2022-02-17T00:00:00.000","20:29","47","Bronx","0","1","0","40.8776320","-73.8673860","WILLETT AVENUE","EAST GUN HILL ROAD",,,,"0","0",,,,,,
"4503668","2022-02-17T00:00:00.000","20:40","40","Bronx","0","1","0","40.8201700","-73.9159100","MELROSE AVENUE","EAST 155 STREET",,,,"0","0",,,,,,
"4503846","2022-02-17T00:00:00.000","21:00","49","Bronx","1","1","0","40.8450400","-73.8714800","BRONX RIVER PARKWAY",,,"907HX1M11016",,"0","0",,,,,,
"4503656","2022-02-18T00:00:00.000","02:25","45","Bronx","0","1","0",,,"HUTCHINSON RIVER PARKWAY",,,"908AX1M22034",,"0","0",,,,,,
"4504677","2022-02-21T00:00:00.000","15:43","42","Bronx","0","1","0","40.8362300","-73.9074100","WEBSTER AVENUE",,,,,"0","0",,,,,,
"4505525","2022-02-22T00:00:00.000","18:43","50","Bronx","0","1","0","40.8856800","-73.9071900",,,"3515       RIVERDALE AVENUE",,,"0","0","208","11","2084143","2057910414","295","BX0803"
"4505028","2022-02-22T00:00:00.000","18:58","46","Bronx","0","1","0","40.8519360","-73.9107800","WEST TREMONT AVENUE",,,,,"0","0",,,,,,
"4504956","2022-02-22T00:00:00.000","20:20","43","Bronx","0","1","0","40.8238900","-73.8746100",,,"1600       BRUCKNER BOULEVARD",,,"0","0","209","18","2094831","2036530050","28","BX0901"
"4505640","2022-02-23T00:00:00.000","15:03","50","Bronx","0","1","0","40.8823360","-73.8916400","SEDGWICK AVENUE","HILLMAN AVENUE",,,,"0","1",,,,,,
"4507385","2022-02-23T00:00:00.000","20:12","50","Bronx","0","1","0","40.8795930","-73.9061700",,,"238        WEST 231 STREET",,,"0","0","208","11","2083154","2057030192","289","BX0802"
"4505688","2022-02-25T00:00:00.000","23:49","43","Bronx","0","2","2","40.8360900","-73.8703900","CROSS BRONX EXPY",,,"95IX1M22032",,"0","25",,,,,,
"4505899","2022-02-26T00:00:00.000","01:55","44","Bronx","1","1","0","40.8312900","-73.9290400","WEST 162 STREET","WOODYCREST AVENUE",,,,"0","0",,,,,,
"4506232","2022-02-26T00:00:00.000","08:58","41","Bronx","0","1","0",,,"WHITLOCK AVENUE","WESTCHESTER AVENUE",,,,"0","2",,,,,,
"4506208","2022-02-27T00:00:00.000","21:50","45","Bronx","1","1","0","40.8355500","-73.8481600",,,"2300       WESTCHESTER AVENUE",,,"0","0","210","18","2087040","2038340081","96","BX1001"
"4506420","2022-02-28T00:00:00.000","06:11","41","Bronx","0","0","1",,,"FOOD CENTER DRIVE","AVENUE F",,,,"0","0",,,,,,
"4506975","2022-02-28T00:00:00.000","17:50","44","Bronx","0","1","0","40.8412740","-73.9176200","JEROME AVENUE","MACOMBS ROAD",,,,"0","0",,,,,,
"4506501","2022-03-01T00:00:00.000","03:40","46","Bronx","0","1","0",,,"FEATHERBED LANE",,,,,"0","0",,,,,,
"4507505","2022-03-01T00:00:00.000","06:50","50","Bronx","0","1","0",,,"MAJOR DEEGAN EXPRESSWAY","VAN CORTLANDT PARK South",,,,"0","0",,,,,,
"4506607","2022-03-01T00:00:00.000","11:00","45","Bronx","1","3","0",,,"PARK DRIVE",,,,,"0","0",,,,,,
"4506945","2022-03-02T00:00:00.000","21:20","44","Bronx","0","2","0","40.8387200","-73.9137800","GRAND CONCOURSE","EAST 170 STREET",,,,"0","0",,,,,,
"4507514","2022-03-05T00:00:00.000","09:24","50","Bronx","0","1","0",,,"W gun hill road","Mosholu parkway",,,,"0","0",,,,,,
"4507598","2022-03-05T00:00:00.000","17:21","42","Bronx","0","1","0","40.8289500","-73.8919100",,,"1211       SOUTHERN BOULEVARD",,,"0","0","203","17","2113777","2029750037","125","BX0303"
"4510670","2022-03-06T00:00:00.000","20:00","42","Bronx","0","1","0","40.8258100","-73.9070360","EAST 165 STREET","BOSTON ROAD",,,,"0","0",,,,,,
"4508269","2022-03-07T00:00:00.000","11:46","45","Bronx","0","0","1","40.8656850","-73.8234250","HUTCHINSON RIVER PARKWAY EAST","EINSTEIN LOOP",,,,"0","2",,,,,,
"4508188","2022-03-07T00:00:00.000","15:00","44","Bronx","0","1","0","40.8331200","-73.9121550","FINDLAY AVENUE","EAST 168 STREET",,,,"0","0",,,,,,
"4509611","2022-03-07T00:00:00.000","16:20","44","Bronx","0","1","0","40.8413470","-73.9169000","JEROME AVENUE",,,,,"0","0",,,,,,
"4509950","2022-03-09T00:00:00.000","10:00","43","Bronx","0","1","0","40.8396150","-73.8619000",,,"1562       UNIONPORT ROAD",,,"0","1","209","18","2096673","2039447501","21001","BX0904"
"4508982","2022-03-09T00:00:00.000","21:05","49","Bronx","0","1","0","40.8444860","-73.8462450","SILVER STREET","WILLIAMSBRIDGE ROAD",,,,"0","3",,,,,,
"4509139","2022-03-09T00:00:00.000","23:10","41","Bronx","0","1","0","40.8267860","-73.8929440","EAST 169 STREET","EAST 167 STREET",,,,"0","0",,,,,,
"4509211","2022-03-10T00:00:00.000","02:30","43","Bronx","0","1","0","40.8336220","-73.8608400",,,"29         GRANT CIRCLE",,,"0","0","209","18","2096601","2039297501","21602","BX0904"
"4509038","2022-03-10T00:00:00.000","05:59","40","Bronx","0","1","0","40.8214840","-73.9121800","EAST 158 STREET","3 AVENUE",,,,"0","2",,,,,,
"4509285","2022-03-11T00:00:00.000","08:05","43","Bronx","0","1","0","40.8306240","-73.8758500",,,"1245       STRATFORD AVENUE",,,"0","0","209","17","2025350","2037760056","54","BX0901"
"4511209","2022-03-11T00:00:00.000","11:10","52","Bronx","0","1","0","40.8701600","-73.8909900","EAST 198 STREET","GRAND CONCOURSE",,,,"0","4",,,,,,
"4509401","2022-03-12T00:00:00.000","06:51","44","Bronx","0","1","0","40.8412500","-73.9094000","TELLER AVENUE","MORRIS AVENUE",,,,"0","1",,,,,,
"4510052","2022-03-12T00:00:00.000","17:40","44","Bronx","0","1","0","40.8398800","-73.9167940","EAST 170 STREET",,,,,"0","1",,,,,,
"4509841","2022-03-13T00:00:00.000","23:00","45","Bronx","0","1","0","40.8203740","-73.8180160",,,"4001       EAST TREMONT AVENUE",,,"0","1","210","13","2077284","2054450035","130","BX1002"
"4510502","2022-03-14T00:00:00.000","22:06","47","Bronx","0","0","1","40.9038900","-73.8513900","RICHARDSON AVENUE",,,,,"0","0",,,,,,
"4512050","2022-03-15T00:00:00.000","11:00","48","Bronx","1","1","0","40.8436780","-73.8942600","CROSS BRONX EXPY",,,"95IX1M22018",,"1","6",,,,,,
"4511208","2022-03-15T00:00:00.000","21:50","52","Bronx","0","1","0","40.8786430","-73.8716050","WEBSTER AVENUE",,,,,"2","4",,,,,,
"4511045","2022-03-16T00:00:00.000","07:05","50","Bronx","0","1","0","40.8787400","-73.9018250",,,"3138       BAILEY AVENUE",,,"0","0","208","14","2015929","2032610038","277","BX0801"
"4516231","2022-03-17T00:00:00.000","07:50","40","Bronx","1","1","0",,,"BRUCKNER EXPRESSWAY","MAJOR DEEGAN EXPRESSWAY",,,,"0","0",,,,,,
"4511399","2022-03-18T00:00:00.000","05:15","41","Bronx","0","1","0","40.8151320","-73.8864440",,,"710        HUNTS POINT AVENUE",,,"0","1","202","17","2006562","2027630248","11701","BX0201"
"4512494","2022-03-18T00:00:00.000","13:05","45","Bronx","0","1","0","40.8343540","-73.8501740","WESTCHESTER AVENUE",,,,,"0","0",,,,,,
"4511580","2022-03-18T00:00:00.000","14:14","40","Bronx","0","1","0","40.8093720","-73.9291800","MAJOR DEEGAN EXPRESSWAY",,,"87IX1M11010",,"0","0",,,,,,
"4511930","2022-03-18T00:00:00.000","17:02","41","Bronx","0","1","0","40.8185920","-73.9000300","LONGWOOD AVENUE",,,,,"0","0",,,,,,
"4512162","2022-03-19T00:00:00.000","22:26","42","Bronx","0","1","0","40.8233340","-73.9057400","TRINITY AVENUE","EAST 163 STREET",,,,"0","0",,,,,,
"4513283","2022-03-19T00:00:00.000","23:45","46","Bronx","0","1","0","40.8491500","-73.9173360","UNIVERSITY AVENUE","WEST 176 STREET",,,,"0","2",,,,,,
"4512427","2022-03-20T00:00:00.000","15:12","46","Bronx","0","1","0","40.8602640","-73.9016400","WALTON AVENUE",,,,,"0","2",,,,,,
"4512173","2022-03-20T00:00:00.000","17:35","46","Bronx","0","1","0","40.8476800","-73.9123700","EAST 175 STREET","JEROME AVENUE",,,,"0","0",,,,,,
"4513220","2022-03-24T00:00:00.000","17:05","48","Bronx","1","1","0","40.8417240","-73.8836900",,,"922        EAST TREMONT AVENUE",,,"0","0","206","15","2010702","2029920043","359","BX0601"
"4513395","2022-03-24T00:00:00.000","22:34","48","Bronx","0","0","1","40.8585430","-73.8809740","SOUTHERN BOULEVARD","CROTONA AVENUE",,,,"0","0",,,,,,
"4513323","2022-03-25T00:00:00.000","06:39","41","Bronx","0","1","0","40.8073900","-73.8808060","DRAKE STREET",,,,,"0","0",,,,,,
"4514693","2022-03-25T00:00:00.000","15:10","46","Bronx","0","1","0","40.8504750","-73.9154360","UNIVERSITY AVENUE","WEST TREMONT AVENUE",,,,"0","3",,,,,,
"4514744","2022-03-25T00:00:00.000","18:35","44","Bronx","0","1","0","40.8305360","-73.9157100","MORRIS AVENUE",,,,,"0","0",,,,,,
"4514202","2022-03-26T00:00:00.000","15:45","43","Bronx","0","2","0","40.8339650","-73.8629000","WHITE PLAINS ROAD","CROSS BRONX EXPRESSWAY",,,,"0","0",,,,,,
"4514786","2022-03-26T00:00:00.000","19:03","50","Bronx","0","1","0","40.8780000","-73.9040800","MAJOR DEEGAN EXPRESSWAY",,,"87IX1M12060",,"0","0",,,,,,
"4514489","2022-03-28T00:00:00.000","11:50","48","Bronx","0","1","0","40.8411870","-73.8859700","SOUTHERN BOULEVARD","FAIRMOUNT PLACE",,,,"0","0",,,,,,
"4517010","2022-03-28T00:00:00.000","18:50","50","Bronx","0","1","0","40.8883820","-73.9087500",,,"523        WEST 238 STREET",,,"0","0","208","11","2084187","2057970213","295","BX0803"
"4491088","2022-01-01T00:00:00.000","04:35","84","Brooklyn","2","1","0",,,"BROOKLYN BRIDGE",,,,,"0","0",,,,,,
"4493781","2022-01-02T00:00:00.000","00:47","77","Brooklyn","1","1","0","40.6709940","-73.9549600","BEDFORD AVENUE",,,,,"0","0",,,,,,
"4491806","2022-01-03T00:00:00.000","18:25","61","Brooklyn","0","1","0","40.5865360","-73.9464340","VOORHIES AVENUE","DOOLEY STREET",,,,"0","0",,,,,,
"4491817","2022-01-04T00:00:00.000","00:42","94","Brooklyn","0","1","1","40.7208300","-73.9381400","MORGAN AVENUE","DIVISION PLACE",,,,"0","0",,,,,,
"4492477","2022-01-04T00:00:00.000","13:00","81","Brooklyn","0","2","0","40.6772000","-73.9266100","ATLANTIC AVENUE","SUYDAM PLACE",,,,"0","0",,,,,,
"4492006","2022-01-04T00:00:00.000","13:55","73","Brooklyn","0","2","0","40.6647900","-73.9153200","BLAKE AVENUE","STRAUSS STREET",,,,"0","2",,,,,,
"4492002","2022-01-04T00:00:00.000","19:21","60","Brooklyn","0","0","1","40.5803800","-73.9676060","OCEAN PARKWAY","NEPTUNE AVENUE",,,,"0","0",,,,,,
"4492508","2022-01-05T00:00:00.000","23:38","79","Brooklyn","0","1","0","40.6836470","-73.9468800","MARCY AVENUE","JEFFERSON AVENUE",,,,"0","0",,,,,,
"4492805","2022-01-06T00:00:00.000","02:20","71","Brooklyn","0","1","0","40.6692500","-73.9394400","EASTERN PARKWAY",,,,,"0","4",,,,,,
"4493490","2022-01-06T00:00:00.000","18:40","75","Brooklyn","0","1","0","40.6747860","-73.8762000","PITKIN AVENUE",,,,,"0","0",,,,,,
"4493522","2022-01-07T00:00:00.000","02:42","75","Brooklyn","0","1","0","40.6718900","-73.8958740","PITKIN AVENUE",,,,,"0","0",,,,,,
"4493256","2022-01-08T00:00:00.000","03:16","94","Brooklyn","0","1","0","40.7202380","-73.9444100","HUMBOLDT STREET","MEEKER AVENUE",,,,"0","2",,,,,,
"4497887","2022-01-09T00:00:00.000","03:54","81","Brooklyn","0","2","0","40.6796800","-73.9366300",,,"1600       FULTON STREET",,,"0","1","303","36","3397047","3016990027","271","BK0302"
"4493922","2022-01-10T00:00:00.000","08:54","70","Brooklyn","0","1","0","40.6317060","-73.9464900","FLATBUSH AVENUE","AVENUE H",,,,"0","1",,,,,,
"4494572","2022-01-10T00:00:00.000","20:30","90","Brooklyn","0","1","0","40.7052840","-73.9428900",,,"103        GRAHAM AVENUE",,,"0","0","301","34","3071346","3030790028","505","BK0104"
"4493800","2022-01-11T00:00:00.000","15:00","61","Brooklyn","2","2","0","40.5908500","-73.9477900","AVENUE Y","EAST 22 STREET",,,,"0","0",,,,,,
"4493867","2022-01-11T00:00:00.000","16:48","90","Brooklyn","0","1","0","40.7082750","-73.9387500",,,"7          BUSHWICK PLACE",,,"0","0","301","34","3325825","3030560074","485","BK0104"
"4494007","2022-01-12T00:00:00.000","07:01","75","Brooklyn","0","1","0","40.6628700","-73.8935550",,,"579        PENNSYLVANIA AVENUE",,,"0","0","305","42","3085563","3038400024","1128","BK0503"
"4495508","2022-01-13T00:00:00.000","13:48","81","Brooklyn","0","1","0","40.6875570","-73.9389600","MARCUS GARVEY BOULEVARD","GATES AVENUE",,,,"0","0",,,,,,
"4495698","2022-01-13T00:00:00.000","16:55","62","Brooklyn","0","1","0","40.6064220","-74.0147000","15 AVENUE","CROPSEY AVENUE",,,,"0","2",,,,,,
"4496991","2022-01-14T00:00:00.000","17:15","62","Brooklyn","0","1","0","40.5984880","-73.9803540",,,"131        AVENUE T",,,"0","0","311","43","3190026","3070800046","406","BK1103"
"4495621","2022-01-14T00:00:00.000","20:15","78","Brooklyn","0","1","0","40.6721900","-73.9837950","5 AVENUE","4 STREET",,,,"0","0",,,,,,
"4496666","2022-01-14T00:00:00.000","23:05","77","Brooklyn","2","1","0","40.6716420","-73.9625800","EASTERN PARKWAY","WASHINGTON AVENUE",,,,"0","2",,,,,,
"4495574","2022-01-17T00:00:00.000","07:55","61","Brooklyn","0","0","1","40.6114770","-73.9488300","AVENUE P","BEDFORD AVENUE",,,,"0","0",,,,,,
"4496525","2022-01-17T00:00:00.000","17:48","81","Brooklyn","0","1","0","40.6889000","-73.9272600","GATES AVENUE",,,,,"0","0",,,,,,
"4496057","2022-01-18T00:00:00.000","17:09","70","Brooklyn","0","1","0","40.6485330","-73.9582700","FLATBUSH AVENUE","SNYDER AVENUE",,,,"0","0",,,,,,
"4496264","2022-01-20T00:00:00.000","05:30","84","Brooklyn","0","1","0","40.6960330","-73.9845350","TILLARY STREET",,,,,"0","0",,,,,,
"4496425","2022-01-21T00:00:00.000","00:10","72","Brooklyn","0","1","0","40.6563800","-73.9806600","18 STREET","10 AVENUE",,,,"0","0",,,,,,
"4497401","2022-01-21T00:00:00.000","12:20","62","Brooklyn","0","1","0","40.6118300","-74.0010800","80 STREET",,,,,"0","0",,,,,,
"4496426","2022-01-22T00:00:00.000","11:54","68","Brooklyn","0","1","0","40.6149370","-74.0345460","3 AVENUE","MARINE AVENUE",,,,"0","0",,,,,,
"4496726","2022-01-22T00:00:00.000","12:06","70","Brooklyn","1","1","0","40.6362650","-73.9480200","NOSTRAND AVENUE","FARRAGUT ROAD",,,,"0","1",,,,,,
