"inspection_type","job_ticket_or_work_order_id","job_id","job_progress","bbl","boro_code","block","lot","house_number","street_name","zip_code","x_coord","y_coord","latitude","longitude","borough","inspection_date","result","approved_date","location","community_board","council_district","census_tract","bin","nta"
"Initial","13392717","PC7869938","1",,"2","02509","0044","0000","WOODYCREST AVENUE",,,,"0.00000000000000000000","0.00000000000000000000","Bronx","2022-05-20T13:08:51.000","Passed","2022-05-23T10:36:46.000","
,  
(0.0, 0.0)",,,,,
"BAIT","2471907","PC7535791","3",,"5","04762","0105","000","MILL ROAD",,,,"0.00000000000000000000","0.00000000000000000000","Staten Island","2013-02-22T13:10:50.000","Bait applied","2013-02-25T07:24:42.000","
,  
(0.0, 0.0)",,,,,
"Compliance","12972655","PC6778977","2","2029450023","2","02945","0023","1842","ARTHUR AVENUE","10457","1013581","246885","40.844243641314","-73.894346488314","Bronx","2017-05-11T09:00:38.000","Passed","2017-05-16T13:45:44.000","
,  
(40.844243641314, -73.894346488314)","6","17","36901","2009892","Tremont"
"Initial","11789686","PC6603254","1","2024220055","2","02422","0055","279","EAST 162 STREET","10451","1007146","240427","40.826325608884","-73.917334174554","Bronx","2012-02-23T15:58:54.000","Passed","2012-02-29T09:51:30.000","
,  
(40.826325608884, -73.917334174554)","4","16","173","2001982","Concourse-Concourse Village"
"Initial","12660780","PC6954813","1","2031210002","2","03121","0002","881","EAST TREMONT AVENUE","10460","1016106","246282","40.842497457254","-73.885208917961","Bronx","2019-09-19T15:51:44.000","Rat Activity","2019-09-20T08:55:19.000","
,  
(40.842497457254, -73.885208917961)","6","15","363","2013110","West Farms"
"Initial","13456859","PC7923185","1","2026680024","2","02668","0024","786","EAST 163 STREET","10456",,,"40.822619809305","-73.902803165578","Bronx","2022-08-19T13:30:00.000","Passed","2022-08-22T13:25:17.000","
,  
(40.822619809305, -73.902803165578)","3","17","133","2004812","Morrisania"
"STOPPAGE","2915274","PC8127126","1",,"3","01777","0003",,,"11206",,,,,"Brooklyn","2023-08-11T11:11:00.000","Stoppage done","2023-08-14T07:31:45.000",,,,,,
"STOPPAGE","2843549","PC7808634","1",,"2","02500","0001",,,"10452",,,,,"Bronx","2022-05-09T08:50:00.000","Stoppage done",,,,,,,
"Initial","12657813","PC7237999","1",,"3","01842","0042",,"ARLINGTON PLACE","11216","997701","187393","40.6810169124686","-73.9515017503791","Brooklyn","2019-09-12T11:55:08.000","Passed","2019-09-13T14:07:30.000","
,  
(40.6810169124686, -73.9515017503791)",,,,,
"Initial","13597841","PC8060919","1",,"2","04564","0105","SEXTON","PLACE","10469",,,,,"Bronx","2023-03-10T14:10:27.000","Passed","2023-03-13T15:28:57.000",,,,,,
"Initial","11909504","PC6691032","1","2029560014","2","02956","0014","784","EAST TREMONT AVENUE","10460","1015131","246709","40.844010123614","-73.888314595188","Bronx","2013-04-10T15:50:51.000","Passed","2013-04-17T07:46:00.000","
,  
(40.844010123614, -73.888314595188)","6","15","36502","2010062","Tremont"
"Initial","11572675","PC7294267","1",,"3","01455","0040","null","BERGEN STREET","11233",,,"40.6736114362601","-73.9091705375978","Brooklyn","2016-12-27T12:36:34.000","Failed for Other R","2016-12-29T11:11:00.000","
,  
(40.6736114362601, -73.9091705375978)",,,,,
"BAIT","2829590","PC7701654","4",,"3","02000","0017",,,"11216",,,,,"Brooklyn","2022-01-24T09:21:13.000","Bait applied","2022-01-25T09:21:09.000",,,,,,
"Initial","13691845","PC8162969","1",,"2","02868","0005","0000","UNIVERSITY AVENUE",,,,"0.00000000000000000000","0.00000000000000000000","Bronx","2023-07-31T10:50:00.000","Rat Activity","2023-08-02T10:13:37.000","
,  
(0.0, 0.0)",,,,,
"Initial","13528058","PC7997513","1",,"4","01296","0014",,,"11377",,,,,"Queens","2022-11-23T13:53:01.000","Passed","2022-11-28T12:24:01.000",,,,,,
"Initial","13605525","PC8065328","1",,"1","01690","0010","F","D R DRIVE","10029",,,,,"Manhattan","2023-03-24T07:30:00.000","Rat Activity","2023-03-27T09:37:29.000",,,,,,
"Initial","13702353","PC8173580","1",,"1","00592","0087","000","CHRISTOPHER STREET",,,,"0.00000000000000000000","0.00000000000000000000","Manhattan","2023-08-17T08:45:10.000","Rat Activity","2023-08-18T15:09:34.000","
,  
(0.0, 0.0)",,,,,
"Compliance","13298987","PC7745958","2",,"3","01767","0066","HART","STREET","11206",,,,,"Brooklyn","2021-11-24T11:22:28.000","Passed","2021-11-29T11:38:52.000",,,,,,
"Initial","13606033","PC8072949","1",,"2","03212","0001","0000","AQUEDUCT AVENUE",,,,"0.00000000000000000000","0.00000000000000000000","Bronx","2023-03-23T11:25:30.000","Rat Activity","2023-03-28T11:51:21.000","
,  
(0.0, 0.0)",,,,,
"Initial","13218538","PC7693337","1",,"3","01997","0016",,,"11238",,,,,"Brooklyn","2021-04-19T13:42:51.000","Rat Activity","2021-04-20T22:29:34.000",,,,,,
"Initial","13602976","PC8070365","1",,"2","02523","0001","0000","MAJ WM DEEGAN BLVD",,,,"0.00000000000000000000","0.00000000000000000000","Bronx","2023-03-20T10:04:14.000","Rat Activity","2023-03-21T13:03:41.000","
,  
(0.0, 0.0)",,,,,
"Initial","13697052","PC8166626","1","2030740006","2","03074","0006","2338","HUGHES AVENUE","10458",,,"40.853975834632","-73.887878474723","Bronx","2023-08-09T13:37:15.000","Passed","2023-08-10T15:26:09.000","
,  
(40.853975834632, -73.887878474723)","6","15","391","2012151","Belmont"
"Initial","13563803","PC8028100","1",,"1","01969","0104","AMSTERDAM","AVENUE","10027",,,,,"Manhattan","2023-01-20T13:31:22.000","Passed","2023-01-24T10:15:17.000",,,,,,
"BAIT","2912289","PC8156898","1",,"1","02246","0125",,,"10034",,,,,"Manhattan","2023-07-11T10:45:22.000","Bait applied","2023-07-26T13:11:16.000",,,,,,
"Initial","13704979","PC8176803","1",,"2","03794","0042",,,"10472",,,,,"Bronx","2023-08-23T13:35:29.000","Rat Activity","2023-08-24T13:10:42.000",,,,,,
"Initial","13499313","PC7963928","1",,"3","01558","0028","HOWARD","AVENUE","11233",,,,,"Brooklyn","2022-10-14T14:54:00.000","Passed","2022-10-17T08:49:03.000",,,,,,
"Initial","13697838","PC8163386","1",,"2","03152","0073","GRAND","CONCOURSE","10458",,,,,"Bronx","2023-08-09T16:02:57.000","Passed","2023-08-10T14:03:21.000",,,,,,
"BAIT","2568694","PC7456817","8",,"4","09168","0014","0000","98 STREET",,,,"0.00000000000000000000","0.00000000000000000000","Queens","2016-05-23T13:17:39.000","Bait applied","2016-05-23T15:08:22.000","
,  
(0.0, 0.0)",,,,,
"Compliance","13421098","PC7847379","2",,"2","02533","0072","0000","Undercliff Avenue",,,,"0.00000000000000000000","0.00000000000000000000","Bronx","2022-06-30T12:00:00.000","Rat Activity","2022-07-01T08:05:45.000","
,  
(0.0, 0.0)",,,,,
"BAIT","2915312","PC8053502","4",,"3","03383","0004","CENTRAL","AVENUE","11221",,,,,"Brooklyn","2023-08-11T08:42:53.000","Bait applied","2023-08-14T13:03:19.000",,,,,,
"Initial","13340768","PC7821778","1",,"3","01587","0001",,,"11221",,,,,"Brooklyn","2022-03-04T14:38:33.000","Passed","2022-03-07T19:19:41.000",,,,,,
"Compliance","13381511","PC7827241","2","2025120024","2","02512","0024","128","WEST 165 STREET","10452",,,"40.834306410542","-73.928241415387","Bronx","2022-05-04T13:50:53.000","Passed","2022-05-05T15:14:34.000","
,  
(40.834306410542, -73.928241415387)","4","8","189","2000000","Highbridge"
"Initial","13643412","PC8107128","1",,"3","01791","0051","VAN","BUREN STREET","11221",,,,,"Brooklyn","2023-05-12T13:22:44.000","Passed","2023-05-15T12:01:11.000",,,,,,
"Initial","13562315","PC8028024","1",,"2","02420","0170","PARK","AVENUE","10451",,,,,"Bronx","2023-01-19T15:08:39.000","Passed","2023-01-20T13:38:04.000",,,,,,
"Initial","13698042","PC8169982","1",,"3","08672","0054",,,"11235",,,,,"Brooklyn","2023-08-09T12:00:01.000","Rat Activity","2023-08-10T10:40:52.000",,,,,,
"BAIT","2828208","PC7769463","10",,"1","00391","0042","000","East 8 STREET",,,,"0.00000000000000000000","0.00000000000000000000","Manhattan","2022-01-02T10:50:54.000","Bait applied","2022-01-05T11:39:23.000","
,  
(0.0, 0.0)",,,,,
"Initial","13349526","PC7827656","1","1016270001","2","02901","0001","1309","PARK AVENUE",,,,"0.00000000000000000000","0.00000000000000000000","Bronx","2022-03-18T09:40:00.000","Rat Activity","2022-03-21T12:10:00.000","
,  
(0.0, 0.0)","11","5","166","1086037","East Harlem (South)"
"Initial","13614253","PC8081173","1",,"3","06964","0002",,,"11224",,,,,"Brooklyn","2023-04-04T12:25:32.000","Rat Activity","2023-04-05T13:08:29.000",,,,,,
"Compliance","12823299","PC7473695","2",,"4","02010","0128","109-62","54 STREET",,"1025437","209860","0.00000000000000000000","0.00000000000000000000","Queens","2012-07-26T10:20:31.000","Passed","2012-07-27T08:15:37.000","
,  
(0.0, 0.0)","7","38","1803",,"Sunset Park (West)"
"Initial","11790378","PC6605179","1","2025050011","2","02505","0011","1088","ANDERSON AVENUE","10452","1004934","243260","40.834477566672","-73.925473076229","Bronx","2012-02-29T16:14:31.000","Passed","2012-03-05T14:37:25.000","
,  
(40.834477566672, -73.925473076229)","4","8","193","2003057","Highbridge"
"Compliance","13686900","PC8103907","2",,"2","03322","0019","JEROME","AVENUE","10468",,,,,"Bronx","2023-07-24T10:52:00.000","Failed for Other R","2023-07-26T13:20:11.000",,,,,,
"Initial","13702006","PC8173431","1",,"2","03094","0063","0000","PROSPECT AVENUE",,,,"0.00000000000000000000","0.00000000000000000000","Bronx","2023-08-16T10:38:53.000","Rat Activity","2023-08-17T09:36:38.000","
,  
(0.0, 0.0)",,,,,
"Initial","11926613","PC7551026","1",,"1","02053","0094",,"EDGECOMBE AVENUE","10031","1000223","240315","40.8262698520729","-73.9422846601732","Manhattan","2013-07-12T12:00:47.000","Passed","2013-07-16T15:16:03.000","
,  
(40.8262698520729, -73.9422846601732)",,,,,
"Initial","13703709","PC8171737","1",,"1","02005","0009","2350","JOE DIMAGGIO HIGHWAY",,,,"0.00000000000000000000","0.00000000000000000000","Manhattan","2023-08-21T15:38:07.000","Passed","2023-08-23T13:25:18.000","
,  
(0.0, 0.0)",,,,,
"Compliance","13705177","PC8102391","2",,"3","05060","0054",,,"11226",,,,,"Brooklyn","2023-08-23T10:00:00.000","Passed","2023-08-24T15:41:20.000",,,,,,
"Initial","13383453","PC7759205","1","3057400001","3","05740","0001","6315","13th avenue","11219","0","0","40.626992107938","-74.000450312335","Brooklyn","2022-05-05T12:10:18.000","Passed","2022-05-10T15:31:30.000",,"10","43","194","3256759","Dyker Heights"
"BAIT","2858789","PC7866206","1",,"4","03491","0067","0000","FOREST AVENUE",,,,"0.00000000000000000000","0.00000000000000000000","Queens","2022-09-09T11:10:00.000","Bait applied","2022-09-09T14:06:47.000","
,  
(0.0, 0.0)",,,,,
"Initial","13551401","PC7975101","1","3063460058","3","06346","0058","2051","86 STREET","11214","0","0","40.603853532222","-73.996996561381","Brooklyn","2023-01-04T13:50:37.000","Passed","2023-01-05T10:13:42.000",,"11","47","288","3165861","Bensonhurst"
"Initial","13634630","PC8089605","1","2025250025","2","02525","0025","1045","OGDEN AVENUE","10452","0","0","40.834100854441","-73.928722267661","Bronx","2023-05-03T14:35:33.000","Passed","2023-05-04T10:37:30.000",,"4","8","189","2000000","Highbridge"
"Initial","13703710","PC8171940","1",,"1","02005","0008","WEST","133 STREET","10027",,,,,"Manhattan","2023-08-21T15:48:07.000","Passed","2023-08-23T13:27:22.000",,,,,,
"Initial","13175257","PC7632894","1",,"3","03185","0001",,,"11221",,,,,"Brooklyn","2020-08-14T11:48:06.000","Passed","2020-08-25T13:47:05.000",,,,,,
"Initial","13697583","PC8163236","1",,"1","00374","0031","EAST","5 STREET","10009",,,,,"Manhattan","2023-08-09T08:20:30.000","Failed for Other R","2023-08-10T08:28:45.000",,,,,,
"Initial","12376028","PC7144645","1",,"3","01192","0001",,"WASHINGTON AVENUE","11225","995106","181890","40.6657883821875","-73.9608903798308","Brooklyn","2017-12-18T15:34:44.000","Passed","2017-12-19T11:27:10.000","
,  
(40.6657883821875, -73.9608903798308)",,,,,
"Compliance","12836360","PC7085155","2",,"3","04527","0035","null","WORTMAN AVENUE","11208",,,"40.6639519979903","-73.8687500203666","Brooklyn","2012-12-19T16:15:50.000","Passed","2012-12-24T10:26:28.000","
,  
(40.6639519979903, -73.8687500203666)",,,,,
"Initial","13530052","PC7994980","1","3019940053","3","01994","0053","1099","FULTON STREET","11238",,,"40.681578003398","-73.957798102409","Brooklyn","2022-11-28T11:22:00.000","Passed","2022-11-30T02:24:14.000","
,  
(40.681578003398, -73.957798102409)","3","35","227","3000000","Bedford-Stuyvesant (West)"
"Initial","13565645","PC8028726","1",,"2","04263","0019","BRONXDALE","AVENUE","10462",,,,,"Bronx","2023-01-24T08:21:07.000","Passed","2023-01-25T11:02:23.000",,,,,,
"Compliance","12770817","PC7356838","2","4064260055","4","06426","0055","148-17","61 ROAD","11367","0","0","40.740220746649","-73.821559623361","Queens","2010-11-23T16:29:35.000","Failed for Other R","2010-12-01T11:19:35.000",,"8","20","80302","4140942","Queensboro Hill"
"Initial","13602581","PC8070236","1",,"1","02117","0046","0000","WEST 158 STREET",,,,"0.00000000000000000000","0.00000000000000000000","Manhattan","2023-03-03T16:15:54.000","Passed","2023-03-20T13:53:22.000","
,  
(0.0, 0.0)",,,,,
"Initial","11848012","PC7474226","1",,"4","01929","0080",,"ALSTYNE AVENUE","11368","1023228","210204","40.743551590129","-73.8593348834414","Queens","2012-06-27T09:13:11.000","Passed","2012-06-27T15:05:05.000","
,  
(40.743551590129, -73.8593348834414)",,,,,
"Initial","11473293","PC7234305","1","3008580047","3","858","47","5824","8 AVENUE","11220","0","0","40.636453054622","-74.008571564118","Brooklyn","2019-09-24T11:17:27.000","Rat Activity","2019-09-25T10:46:36.000",,"7","38","10401","3016217","Sunset Park (Central)"
"Initial","11627523","PC6090999","1",,"1","01867","0029",,"WEST 115 STREET","10025","995185","232718",,,"Manhattan","2010-03-22T14:25:23.000","Passed","2010-03-25T12:21:22.000",,,,,,
"BAIT","2836626","PC7800467","2",,"3","02328","0025",,,"11211",,,,,"Brooklyn","2022-03-22T10:48:00.000","Bait applied",,,,,,,
"Initial","12508948","PC6472973","1",,"1","00279","0072",,"OLIVER STREET","10038","984866","199075","40.7130912770796","-73.9977786841612","Manhattan","2018-10-17T16:08:04.000","Passed","2018-10-30T16:27:52.000","
,  
(40.7130912770796, -73.9977786841612)",,,,,
"Initial","13689187","PC8157385","1","1004290041","1","02016","0075",,"7 AVENUE","10039",,,,,"Manhattan","2023-07-25T14:10:17.000","Passed","2023-07-31T14:52:27.000",,"3","2","3002","1083476","East Village"
"Initial","13696064","PC8136477","1",,"4","11900","0002","0000","NASSAU BOULEVARD",,"1032943","200009","0.00000000000000000000","0.00000000000000000000","Queens","2023-08-08T08:00:00.000","Passed","2023-08-11T16:22:25.000","
,  
(0.0, 0.0)",,,,,
"Initial","13374856","PC7851898","1",,"3","05190","0007",,,"11226",,,,,"Brooklyn","2022-04-25T11:10:00.000","Passed","2022-05-02T15:22:02.000",,,,,,
"Initial","12691549","PC6516466","1",,"1","00283","0052",,,"0","986419","199435","40.7140788368288","-73.9921744577258","Manhattan","2019-12-09T13:09:43.000","Passed","2019-12-11T09:02:39.000","
,  
(40.7140788368288, -73.9921744577258)",,,,,
"Initial","11473909","PC7250516","1","3053310079","3","5331","79","472","CONEY ISLAND AVENUE","11218","0","0","40.646555966139","-73.970904863603","Brooklyn","2019-09-26T14:20:25.000","Passed","2019-09-30T16:02:53.000",,"12","40","50402","3124433","Kensington"
"Compliance","12796687","PC7500609","2",,"5","03418","0001","000","VULCAN STREET",,,,"0.00000000000000000000","0.00000000000000000000","Staten Island","2011-09-15T14:30:02.000","Failed for Other R","2011-09-16T10:07:16.000","
,  
(0.0, 0.0)",,,,,
"Initial","11861580","PC6646078","1",,"2","03035","0060",,"EAST 178 STREET","10457","1012416","248526","40.8487755342479","-73.8981948703431","Bronx","2012-08-01T12:39:39.000","Passed","2012-08-03T09:15:35.000","
,  
(40.8487755342479, -73.8981948703431)",,,,,
"BAIT","2857376","PC7886448","3","4001930006","4","00193","0006","45-49","40 STREET","11104",,,"40.742725340396","-73.924464602528","Queens","2022-08-29T10:50:00.000","Bait applied",,"
,  
(40.742725340396, -73.924464602528)","2","26","18101","4002552","Sunnyside"
"Initial","13451381","PC7924737","1",,"1","00373","0059","000","East 3 STREET",,,,"0.00000000000000000000","0.00000000000000000000","Manhattan","2022-08-12T11:54:14.000","Rat Activity","2022-08-15T09:48:37.000","
,  
(0.0, 0.0)",,,,,
"Initial","13362463","PC7840839","1",,"2","02865","0042","0000","MACOMBS ROAD",,,,"0.00000000000000000000","0.00000000000000000000","Bronx","2022-04-04T14:50:02.000","Rat Activity","2022-04-11T14:12:24.000","
,  
(0.0, 0.0)",,,,,
"Initial","13701201","PC8171932","1",,"3","03167","0068","JEFFERSON","STREET","11237",,,,,"Brooklyn","2023-08-15T15:25:36.000","Passed","2023-08-16T14:56:44.000",,,,,,
"Compliance","13276873","PC7725546","2",,"5","00723","0001",,,"10314",,,,,"Staten Island","2021-08-17T10:35:19.000","Failed for Other R","2021-08-18T14:33:26.000",,,,,,
"Initial","13253625","PC7734045","1",,"3","00821","0056",,,"11220",,,,,"Brooklyn","2021-07-09T14:40:27.000","Failed for Other R","2021-07-12T10:49:23.000",,,,,,
"BAIT","2843089","PC7845576","1","1018900069","9","01890","0069","316","West 104 Street","10025",,,,,,"2022-05-05T10:08:00.000","Bait applied","2022-05-12T10:49:39.000",,"7","6","191","1057203","Upper West Side-Manhattan Valley"
"Compliance","12819148","PC7143478","2",,"3","02224","0018","0","RUTLEDGE STREET",,,,"0.00000000000000000000","0.00000000000000000000","Brooklyn","2012-05-24T08:15:48.000","Failed for Other R","2012-05-30T13:09:43.000","
,  
(0.0, 0.0)",,,,,
"BAIT","2793085","PC7642058","5","1018440060","2","01844","0060","70","WEST 109 STREET",,,,"0.00000000000000000000","0.00000000000000000000","Bronx","2020-10-19T08:00:22.000","Bait applied","2020-10-26T08:14:23.000","
,  
(0.0, 0.0)","7","7","193","1055734","Upper West Side-Manhattan Valley"
"Initial","11596962","PC6879280","1","1016270001","2","02901","0001","1309","PARK AVENUE",,,,"0.00000000000000000000","0.00000000000000000000","Bronx","2019-03-23T11:44:43.000","Rat Activity","2019-04-03T09:37:11.000","
,  
(0.0, 0.0)","11","5","166","1086037","East Harlem (South)"
"Initial","13704435","PC8175894","1",,"2","02857","0095","0000","JEROME AVENUE",,,,"0.00000000000000000000","0.00000000000000000000","Bronx","2023-08-22T13:36:55.000","Rat Activity","2023-08-24T11:57:00.000","
,  
(0.0, 0.0)",,,,,
"Initial","11522833","PC7039111","1",,"3","07066","0050","3220","BOARDWALK",,,,"0.00000000000000000000","0.00000000000000000000","Brooklyn","2011-11-15T14:10:40.000","Failed for Other R","2011-11-16T09:30:24.000","
,  
(0.0, 0.0)","14","31","992",,"Far Rockaway-Bayswater"
"Initial","12075167","PC7011398","1",,"3","01613","0019",,"VAN BUREN STREET","11221","1004516","191430","40.6920716912584","-73.92692446097","Brooklyn","2015-05-15T11:45:48.000","Passed","2015-05-18T16:00:31.000","
,  
(40.6920716912584, -73.92692446097)",,,,,
"Initial","13702523","PC8173662","1",,"1","01811","0209","2590","1 AVENUE",,,,"0.00000000000000000000","0.00000000000000000000","Manhattan","2023-08-17T10:30:12.000","Failed for Other R","2023-08-18T09:05:07.000","
,  
(0.0, 0.0)",,,,,
"Initial","13225754","PC7701587","1",,"4","01350","0056",,,"11377",,,,,"Queens","2021-05-06T12:10:00.000","Rat Activity","2021-05-11T12:00:10.000",,,,,,
"Initial","11902406","PC6624911","1",,"2","03211","0004",,"DR M L KING JR BLVD","10453","1009390","251636","40.8573213503708","-73.9091186058053","Bronx","2013-03-05T16:14:07.000","Rat Activity","2013-03-11T11:21:44.000","
,  
(40.8573213503708, -73.9091186058053)",,,,,
"Initial","12169313","PC6252572","1","1014280024","1","01428","0024","1409","2 AVENUE","10021","995892","219776","40.769772787683","-73.957662573584","Manhattan","2016-06-24T11:35:11.000","Passed","2016-06-28T10:05:01.000","
,  
(40.769772787683, -73.957662573584)","8","4","12602","1043996","Upper East Side-Lenox Hill-Roosevelt Island"
"Initial","13310244","PC7788318","1","1005740065","1","00574","0065","41","WEST 10 STREET","10011",,,"40.734170041726","-73.997236030304","Manhattan","2022-01-04T16:15:14.000","Passed","2022-01-05T10:31:42.000","
,  
(40.734170041726, -73.997236030304)","2","3","63","1009556","Greenwich Village"
"Initial","12170075","PC6948735","1","2029600143","2","02960","0143","885","ELSMERE PLACE","10460","1015761","246158","40.842166415459","-73.886286522692","Bronx","2016-06-20T10:16:47.000","Passed","2016-07-08T10:28:48.000","
,  
(40.842166415459, -73.886286522692)","6","17","36502","2115024","Tremont"
"Initial","13352188","PC7829564","1","1005300062","1","00530","0062","358","LAFAYETTE STREET","10012",,,"40.726734352228","-73.994064985798","Manhattan","2022-03-23T12:42:03.000","Passed","2022-03-24T12:02:51.000","
,  
(40.726734352228, -73.994064985798)","2","1","5502","1090488","Greenwich Village"
"BAIT","2916764","PC8129481","2","1014350009","1","01435","0009","313","E 60 St.","10022",,,"40.760892607772","-73.96303235688","Manhattan","2023-08-23T09:10:00.000","Bait applied",,"
,  
(40.760892607772, -73.96303235688)","8","5","110","1044198","Upper East Side-Lenox Hill-Roosevelt Island"
"Initial","13696386","PC8163652","1","3017950064","3","01795","0064","639","GREENE AVENUE","11221",,,"40.689295592084","-73.943394926706","Brooklyn","2023-08-08T14:38:35.000","Passed","2023-08-09T15:28:22.000","
,  
(40.689295592084, -73.943394926706)","3","36","263","3392737","Bedford-Stuyvesant (West)"
"Initial","13537915","PC7993493","1",,"5","05097","0012","000","BARTOW STREET",,"945479","141244","0.00000000000000000000","0.00000000000000000000","Staten Island","2022-12-06T13:55:54.000","Passed","2022-12-08T23:54:20.000","
,  
(0.0, 0.0)",,,,,
"Initial","13655014","PC8114606","1",,"2","02343","0001","EAST","144 STREET","10451",,,,,"Bronx","2023-05-30T12:24:00.000","Passed","2023-05-31T15:24:53.000",,,,,,
"Initial","13700633","PC8166444","1","5010080063","1","01704","0002","1","AVENUE",,,,"0.00000000000000000000","0.00000000000000000000","Manhattan","2023-08-14T10:32:11.000","Rat Activity","2023-08-17T16:18:32.000","
,  
(0.0, 0.0)","1","49","20702","5103973","Port Richmond"
"BAIT","2800066","PC7674865","2",,"3","03155","0020",,,"11237",,,,,"Brooklyn","2021-03-29T08:55:24.000","Bait applied","2021-03-29T21:22:41.000",,,,,,
"Initial","13701375","PC8172777","1",,"3","01587","0001",,,"11221",,,,,"Brooklyn","2023-08-15T14:42:00.000","Passed","2023-08-16T10:56:43.000",,,,,,
"Initial","13307548","PC7789322","1",,"1","00401","0025","000","East 6 STREET",,,,"0.00000000000000000000","0.00000000000000000000","Manhattan","2021-12-16T08:00:25.000","Rat Activity","2021-12-17T08:51:48.000","
,  
(0.0, 0.0)",,,,,
"BAIT","2495633","PC7433407","5",,"4","00840","0200","null","HOYT AVENUE","11102",,,"40.7715859294778","-73.9172110830545","Queens","2014-01-27T14:35:30.000","Bait applied","2014-01-31T12:15:54.000","
,  
(40.7715859294778, -73.9172110830545)",,,,,
"Initial","13272196","PC7748213","1",,"1","02250","0032","WEST","214 STREET","10034",,,,,"Manhattan","2021-08-10T10:09:00.000","Passed","2021-08-12T10:26:00.000",,,,,,
"BAIT","2906728","PC8135949","1",,"1","02177","0300","0000","CABRINI BOULEVARD",,,,"0.00000000000000000000","0.00000000000000000000","Manhattan","2023-06-23T15:51:25.000","Bait applied","2023-07-27T08:55:34.000","
,  
(0.0, 0.0)",,,,,
"Compliance","13695192","PC8121451","2",,"4","12063","0020",,,"11420",,,,,"Queens","2023-08-07T12:15:33.000","Failed for Other R","2023-08-11T15:05:45.000",,,,,,
