"prequalified_vendor_master_trade_code","prequalified_vendor_trade_description","prequalified_vendor_name","prequalified_vendor_address","prequalified_vendor_city_name","prequalified_vendor_state_code","prequalified_vendor_zip_code","prequalified_vendor_phone_number","prequalified_vendor_fax_number","prequalified_vendor_contact_person","prequalified_vendor_minority_business_indicator","prequalified_vendor_women_business_indicator","prequalified_vendor_local_business_indicator","prequalified_vendor_over_million_dollar_revenue_indicator","prequalified_vendor_date"
"01450  ","QUAL. CNTRL/FLD SMPl/TEST & INSP SRVC                                                     ","Quality Control Laboratories, LLC","100  Shames Dr. ","Westbury                      ","NY","11590          ","718-545-6064                  ","347-204-3733   ","Edgar R. Cimafranca           ","Y","N","N","Y","2025-10-04T00:00:00.000"
"01450  ","QUAL. CNTRL/FLD SMPl/TEST & INSP SRVC                                                     ","Sky Testing Services Inc.","6305 Court Street Road","East Sycacuse                 ","NY","13057          ","315-445-0457                  ","315-446-2901   ","Jay Meyer                     ","N","N","N","Y","2023-12-09T00:00:00.000"
"01450  ","QUAL. CNTRL/FLD SMPl/TEST & INSP SRVC                                                     ","ZOFS ENGINEERING P.C","2 Columbine Lane","Valley Stream                 ","NY","11581          ","646-879-6458                  ","646-879-6458   ","MUHAMMAD AMRAY                ","Y","N","N","Y","2026-03-28T00:00:00.000"
"01530  ","TEMP CONSTR/BRDGS/DECK/OVERPASS                                                           ","2 SAAB CONSTRUCTION INC.","3084 Coney Island Ave.","Brooklyn                      ","NY","11235          ","212-920-7620                  ","718-332-3169   ","Imran  Alam                   ","Y","N","N","Y","2023-12-21T00:00:00.000"
"01530  ","TEMP CONSTR/BRDGS/DECK/OVERPASS                                                           ","ADAM'S EUROPEAN CONTRACTING INC.","589 Johnson Avenue","Brooklyn                      ","NY","11237-1223     ","718-417-9000                  ",,"MALGORZATA SKARZYNSKI         ","N","N","N","Y","2026-03-06T00:00:00.000"
"01530  ","TEMP CONSTR/BRDGS/DECK/OVERPASS                                                           ","Advanced Construction Equipment Corp.","154 East 3rd Street","Mount Vernon                  ","NY","10550          ","914-665-8383                  ","917-885-0048   ","ADNAN raja                    ","Y","N","N","N","2026-03-29T00:00:00.000"
"01530  ","TEMP CONSTR/BRDGS/DECK/OVERPASS                                                           ","AKM Construction NY Corp.","5 Lawrence PLace ","Yonkers                       ","NY","10701          ","914-821-6011                  ",,"Fernando Torres               ","Y","N","N","N","2025-10-12T00:00:00.000"
"01530  ","TEMP CONSTR/BRDGS/DECK/OVERPASS                                                           ","Army Construction, LLC","25 Lafayette St.","Paterson                      ","NJ","07501          ","973-777-5577                  ","917-567-2662   ","Abdul Bajro                   ","N","N","N","Y","2025-08-11T00:00:00.000"
"01530  ","TEMP CONSTR/BRDGS/DECK/OVERPASS                                                           ","Avenue Contracting Inc.","67-23 Fresh Meadow Ln","Fresh Meadows                 ","NY","11365          ","718-677-1800                  ","347-419-7878   ","Chaudhry Wasim                ","Y","N","N","Y","2026-08-16T00:00:00.000"
"01530  ","TEMP CONSTR/BRDGS/DECK/OVERPASS                                                           ","DHS Fraco, LLC","46-12  Queens Boulevard ","Sunnyside                     ","NY","11104          ","516-462-4652                  ",,"Michael Impieri               ","N","N","N","Y","2024-06-02T00:00:00.000"
"01530  ","TEMP CONSTR/BRDGS/DECK/OVERPASS                                                           ","Dynamic Construction Company ","1149 East 34th Street, 2nd Floor","Brooklyn                      ","NY","11210          ","646-236-5359                  ","718-758-1240   ","Ziaur Bhuiyan                 ","Y","N","N","Y","2023-10-22T00:00:00.000"
"01530  ","TEMP CONSTR/BRDGS/DECK/OVERPASS                                                           ","EAGLE SCAFFOLDING SERVICES, INC.","67 MILL STREET","AMITYVILLE                    ","NY","11701          ","631-842-1700                  ",,"MICHAEL PALADINO              ","N","N","N","Y","2025-08-16T00:00:00.000"
"01530  ","TEMP CONSTR/BRDGS/DECK/OVERPASS                                                           ","Empac Contracting Corp","2920 Coney Island Ave","Brooklyn                      ","NY","11235          ","718-853-7800                  ","917-977-1000   ","Zeeshan Ahmed                 ","Y","N","N","N","2026-03-06T00:00:00.000"
"01530  ","TEMP CONSTR/BRDGS/DECK/OVERPASS                                                           ","FIDELIS CONTRACTING, INC.","300  Northern Blvd","GREAT NECK                    ","NY","11021          ","718-305-1860                  ","516-492-5356   ","LakhVinder Singh              ","Y","N","N","Y","2023-09-18T00:00:00.000"
"01530  ","TEMP CONSTR/BRDGS/DECK/OVERPASS                                                           ","HIGH POINT CONSTRUCTION GROUP CORP.","2747 W 15th Street","Brooklyn                      ","NY","11224          ","718-819-9275                  ",,"Sadaqat Ali                   ","Y","N","N","N","2026-05-18T00:00:00.000"
"01530  ","TEMP CONSTR/BRDGS/DECK/OVERPASS                                                           ","J & D Carrying & Construction Corp.","95-44 115TH ST","SOUTH RICHMOND HILL           ","NY","11419          ","347-350-1313                  ","718-850-0604   ","Manuel Mayancela              ","Y","N","N","Y","2025-12-19T00:00:00.000"
"01530  ","TEMP CONSTR/BRDGS/DECK/OVERPASS                                                           ","J.S.K. Construction Corp","430  West Merrick Road","Valley Stream                 ","NY","11580          ","347-273-7715                  ","516-400-9485   ","Jatinder SIngh Komal          ","Y","N","N","N","2026-02-14T00:00:00.000"
"01530  ","TEMP CONSTR/BRDGS/DECK/OVERPASS                                                           ","LAKHI GENERAL CONTRACTOR, INC.","154-10 Rockaway Blvd.","Jamaica                       ","NY","11419          ","718-276-9634                  ","917-807-7613   ","GURCHARAN SINGH               ","Y","N","N","N","2025-01-14T00:00:00.000"
"01530  ","TEMP CONSTR/BRDGS/DECK/OVERPASS                                                           ","Navillus Tile, Inc. ","633 3rd Avenue","NEW YORK                      ","NY","10017          ","212-750-1808                  ","917-559-1537   ","Colin Mathers                 ","N","N","N","Y","2025-08-01T00:00:00.000"
"01530  ","TEMP CONSTR/BRDGS/DECK/OVERPASS                                                           ","N.B.A. Construction, Inc.","283 East 3rd Street","Brooklyn                      ","NY","11218-3907     ","718-633-2905                  ","718-633-2905   ","Asad Ali                      ","Y","N","N","Y","2024-03-31T00:00:00.000"
"01530  ","TEMP CONSTR/BRDGS/DECK/OVERPASS                                                           ","PJP Installers, Inc.","129 Old Turnpike Road","Wayne                         ","NJ","07470          ","718-484-1711                  ","347-852-1640   ","Pablo Perrone                 ","Y","N","N","Y","2023-12-28T00:00:00.000"
"01530  ","TEMP CONSTR/BRDGS/DECK/OVERPASS                                                           ","PRIME CONTRACTORS INC","135-42  129TH ST","SOUTH OZONE PARK              ","NY","11420          ","917-418-3928                  ",,"LAKHWINDER SINGH              ","Y","N","N","N","2024-07-21T00:00:00.000"
"01530  ","TEMP CONSTR/BRDGS/DECK/OVERPASS                                                           ","Pro-Metal Construction Inc.","549 63rd Street ","Brooklyn                      ","NY","11220          ","718-439-8500                  ","917-854-2924   ","Aglaia Liz Sopikiotis Meris   ","N","Y","N","Y","2024-11-12T00:00:00.000"
"01530  ","TEMP CONSTR/BRDGS/DECK/OVERPASS                                                           ","R&A Construction Services Inc.","288  BAY 38TH STREET","BROOKLYN                      ","NY","11214          ","718-312-2711                  ","212-203-8425   ","MUHAMMAD RASHID NASEEM        ","Y","N","N","N","2025-06-06T00:00:00.000"
"01530  ","TEMP CONSTR/BRDGS/DECK/OVERPASS                                                           ","Raven Construction Services Corp.","29  Saddle Lane","Old Brookville                ","NY","11545          ","917-817-8221                  ",,"Christine Lichota             ","N","N","N","Y","2024-01-11T00:00:00.000"
"01530  ","TEMP CONSTR/BRDGS/DECK/OVERPASS                                                           ","Roma Scaffolding, Inc.","41-33 38th Street","Long Island City              ","NY","11101          ","718-392-6000                  ","917-417-0025   ","Helen Aniftos                 ","N","N","N","Y","2025-02-10T00:00:00.000"
"01530  ","TEMP CONSTR/BRDGS/DECK/OVERPASS                                                           ","Safway Atlantic LLC","700 Commercial Ave","Carlstadt                     ","NJ","07072          ","201-636-5566                  ","201-636-5500   ","Velma Guzman                  ","N","N","N","Y","2023-12-09T00:00:00.000"
"01530  ","TEMP CONSTR/BRDGS/DECK/OVERPASS                                                           ","S&K General Contracting Inc","9430  116 Street","Richmond Hill                 ","NY","11419          ","516-477-4216                  ",,"Tejinder Gujral               ","Y","N","N","N","2026-08-04T00:00:00.000"
"01530  ","TEMP CONSTR/BRDGS/DECK/OVERPASS                                                           ","Skilled Mechanical Inc.","18-12 Astoria Park South","Astoria                       ","NY","11102          ","718-360-1330                  ",,"Selu Vladislav-Mihut          ","N","N","N","Y","2024-07-30T00:00:00.000"
"01530  ","TEMP CONSTR/BRDGS/DECK/OVERPASS                                                           ","Skyline Scaffolding Group, Inc.","181 Coit Street","Irvington                     ","NJ","07111          ","732-985-0013                  ",,"Sal Rexha                     ","N","N","N","N","2024-01-19T00:00:00.000"
"01530  ","TEMP CONSTR/BRDGS/DECK/OVERPASS                                                           ","SKYWORX CONTRACTING INC.","129-08  143RD STREET","JAMAICA                       ","NY","11436          ","718-532-6824                  ","917-615-5700   ","HARJIT SINGH                  ","Y","N","N","N","2024-08-16T00:00:00.000"
"01530  ","TEMP CONSTR/BRDGS/DECK/OVERPASS                                                           ","Starr Industries LLC","379  5th Avenue ","New york                      ","NY","10016          ","646-756-4648                  ","718-662-0246   ","Marian Bobelea                ","N","N","N","Y","2026-01-24T00:00:00.000"
"01530  ","TEMP CONSTR/BRDGS/DECK/OVERPASS                                                           ","Steel Construction, LLC","150-30  Beaver Road","Jamaica                       ","NY","11433          ","347-592-4409                  ",,"Amber SIngh                   ","Y","Y","N","N","2024-07-13T00:00:00.000"
"01530  ","TEMP CONSTR/BRDGS/DECK/OVERPASS                                                           ","TRIANGLE ENTERPRISE NYC INC.","2343  Hylan Blvd","STATEN ISLAND                 ","NY","10306          ","212-300-3504                  ","718-541-5434   ","HEROLIND SADIKU               ","N","N","N","N","2025-02-10T00:00:00.000"
"01530  ","TEMP CONSTR/BRDGS/DECK/OVERPASS                                                           ","UNITED HOISTING & SCAFFOLDING CORP.","38-51 11TH STREET","LONG ISLAND CITY              ","NY","11101          ","718-786-3338                  ","347-242-9761   ","Christopher Amodeo            ","N","N","N","Y","2024-03-24T00:00:00.000"
"01530  ","TEMP CONSTR/BRDGS/DECK/OVERPASS                                                           ","Universal Construction Resources, Inc.","66-00 Queens Midtown Expressway","Maspeth                       ","NY","11378          ","718-672-5800                  ",,"MUHAMMAD MANSOOR              ","Y","N","N","Y","2023-12-31T00:00:00.000"
"01530  ","TEMP CONSTR/BRDGS/DECK/OVERPASS                                                           ","Whitestone Construction Corp.","50-52 49TH STREET","WOODSIDE                      ","NY","11377          ","718-392-1800                  ","917-685-7268   ","Christine Persico             ","N","N","N","Y","2026-04-21T00:00:00.000"
"01530  ","TEMP CONSTR/BRDGS/DECK/OVERPASS                                                           ","York Scaffold Equipment Corp.","37-20 12th Street","Long Island City              ","NY","11101          ","718-784-6666                  ",,"Tammy Wood                    ","N","N","N","N","2026-03-14T00:00:00.000"
"01530  ","TEMP CONSTR/BRDGS/DECK/OVERPASS                                                           ","Zoria Construction NY Inc.","32  Hill Ave","Elmont                        ","NY","11003          ","516-603-0663                  ",,"Sarabjit Singh                ","Y","N","N","N","2026-08-14T00:00:00.000"
"02110  ","REMOVAL OF TOXIC/HAZ SITE MTRLS                                                           ","AARCO Environmental Services Corp.","50 Gear Avenue","Lindenhurst                   ","NY","11757          ","631-586-5900                  ",,"Steven Plofker                ","N","N","N","Y","2024-06-08T00:00:00.000"
"02110  ","REMOVAL OF TOXIC/HAZ SITE MTRLS                                                           ","AB OIL SERVICE LTD.","1599 OCEAN AVENUE","BOHEMIA                       ","NY","11716          ","631-567-6545                  ","631-300-5446   ","John Wade                     ","N","N","N","N","2024-04-12T00:00:00.000"
"02110  ","REMOVAL OF TOXIC/HAZ SITE MTRLS                                                           ","Clear River Environmental Service Corp","847 11th St","Ronkonkoma                    ","NY","11779          ","631-467-5447                  ",,"Leah Eichinger                ","N","N","N","N","2025-03-21T00:00:00.000"
"02110  ","REMOVAL OF TOXIC/HAZ SITE MTRLS                                                           ","LAWS Construction Corp","34 Irvington Street","Pleasantville                 ","NY","10570          ","914-741-2100                  ",,"Steven Vescio                 ","N","N","N","Y","2025-01-13T00:00:00.000"
"02110  ","REMOVAL OF TOXIC/HAZ SITE MTRLS                                                           ","McVac Environmental Services, Inc.","481 Grand Ave","New Haven                     ","CT","06513          ","203-498-1427                  ","203-410-9419   ","David Demers                  ","N","N","N","Y","2023-11-23T00:00:00.000"
"02110  ","REMOVAL OF TOXIC/HAZ SITE MTRLS                                                           ","POSILLICO ENVIRONMENTAL, INC.","1750 New Highway","Farmingdale                   ","NY","11735          ","631-249-1872                  ","631-275-7266   ","Jillian Brown                 ","N","N","N","Y","2026-03-07T00:00:00.000"
"02115  ","UNDERGROUND STORAGE TANK RMVL                                                             ","AARCO Environmental Services Corp.","50 Gear Avenue","Lindenhurst                   ","NY","11757          ","631-586-5900                  ",,"Steven Plofker                ","N","N","N","Y","2024-06-08T00:00:00.000"
"02115  ","UNDERGROUND STORAGE TANK RMVL                                                             ","AB OIL SERVICE LTD.","1599 OCEAN AVENUE","BOHEMIA                       ","NY","11716          ","631-567-6545                  ","631-300-5446   ","John Wade                     ","N","N","N","N","2024-04-12T00:00:00.000"
"02115  ","UNDERGROUND STORAGE TANK RMVL                                                             ","ACTION REMEDIATION, INC.","3010 BURNS AVENUE","WANTAGH                       ","NY","11793          ","516-781-3000                  ",,"RALPH V. PANTONY JR.          ","N","N","N","N","2026-05-04T00:00:00.000"
"02115  ","UNDERGROUND STORAGE TANK RMVL                                                             ","Aventura Construction Corp","1101 Waverly Avenue","Holtsville                    ","NY","11742          ","631-654-0660                  ","516-779-6233   ","Frank DeMeyer                 ","N","N","N","Y","2025-08-26T00:00:00.000"
"02115  ","UNDERGROUND STORAGE TANK RMVL                                                             ","Justin Group, Inc.","8 Bay 49 Street","Brooklyn                      ","NY","11214          ","718-449-9500                  ",,"Laura Giustiniani             ","N","Y","N","N","2023-10-15T00:00:00.000"
"02120  ","OFF-SITE TRANSPORT & DISPOSAL                                                             ","AARCO Environmental Services Corp.","50 Gear Avenue","Lindenhurst                   ","NY","11757          ","631-586-5900                  ",,"Steven Plofker                ","N","N","N","Y","2024-06-08T00:00:00.000"
"02120  ","OFF-SITE TRANSPORT & DISPOSAL                                                             ","AB OIL SERVICE LTD.","1599 OCEAN AVENUE","BOHEMIA                       ","NY","11716          ","631-567-6545                  ","631-300-5446   ","John Wade                     ","N","N","N","N","2024-04-12T00:00:00.000"
"02120  ","OFF-SITE TRANSPORT & DISPOSAL                                                             ","ACTION REMEDIATION, INC.","3010 BURNS AVENUE","WANTAGH                       ","NY","11793          ","516-781-3000                  ",,"RALPH V. PANTONY JR.          ","N","N","N","N","2026-05-04T00:00:00.000"
"02120  ","OFF-SITE TRANSPORT & DISPOSAL                                                             ","Apache Environmental & Development LLC","442 Northfield Ave","Staten Island                 ","NY","10303          ","917-584-1973                  ",,"Anthony Albero                ","Y","N","N","Y","2026-02-10T00:00:00.000"
"02120  ","OFF-SITE TRANSPORT & DISPOSAL                                                             ","Cardella Trucking Co., Inc.","2400 Tonnelle Avenue","North Bergen                  ","NJ","07047          ","201-867-7903                  ","201-472-1021   ","Michele Van Orden             ","N","Y","N","Y","2024-04-13T00:00:00.000"
"02120  ","OFF-SITE TRANSPORT & DISPOSAL                                                             ","Clear River Environmental Service Corp","847 11th St","Ronkonkoma                    ","NY","11779          ","631-467-5447                  ",,"Leah Eichinger                ","N","N","N","N","2025-03-21T00:00:00.000"
"02120  ","OFF-SITE TRANSPORT & DISPOSAL                                                             ","HHJR Construction LTD.","280 North Main Street","Freeport                      ","NY","11520          ","516-623-9555                  ","516-623-9555   ","Henry Hinton, Jr.             ","Y","N","N","N","2026-01-05T00:00:00.000"
"02120  ","OFF-SITE TRANSPORT & DISPOSAL                                                             ","Integrity General Contractors Inc.","15 Orchard Terrace","Monroe                        ","NY","10950          ","646-479-8792                  ",,"Nelson Quinones               ","Y","N","N","N","2026-04-26T00:00:00.000"
"02120  ","OFF-SITE TRANSPORT & DISPOSAL                                                             ","J & D Carrying & Construction Corp.","95-44 115TH ST","SOUTH RICHMOND HILL           ","NY","11419          ","347-350-1313                  ","718-850-0604   ","Manuel Mayancela              ","Y","N","N","Y","2025-12-19T00:00:00.000"
"02120  ","OFF-SITE TRANSPORT & DISPOSAL                                                             ","JEG Inc","24 River Road","Bogota                        ","NJ","07603          ","201-567-6391                  ","201-206-9758   ","Jorge Goni                    ","Y","N","N","N","2025-08-26T00:00:00.000"
"02120  ","OFF-SITE TRANSPORT & DISPOSAL                                                             ","knr management inc","168-31 106 ave","jamaica                       ","NY","11433          ","917-655-9436                  ","929-372-7292   ","kumar ramlogan                ","Y","N","N","N","2024-04-28T00:00:00.000"
"02120  ","OFF-SITE TRANSPORT & DISPOSAL                                                             ","MAC  CONTRACTING OF SI, INC","186 NUGENT STREET","STATEN ISLAND                 ","NY","10306          ","929-364-0413                  ","917-836-3879   ","MICHELE PAOLINO               ","Y","Y","N","N","2025-03-23T00:00:00.000"
"02120  ","OFF-SITE TRANSPORT & DISPOSAL                                                             ","Mat and Nuri Inc.","772  Saratoga Avenue","Brooklyn                      ","NY","11212          ","347-915-0086                  ","718-915-7973   ","Omatie Gbenebitse             ","Y","N","N","N","2025-09-20T00:00:00.000"
"02120  ","OFF-SITE TRANSPORT & DISPOSAL                                                             ","McVac Environmental Services, Inc.","481 Grand Ave","New Haven                     ","CT","06513          ","203-498-1427                  ","203-410-9419   ","David Demers                  ","N","N","N","Y","2023-11-23T00:00:00.000"
"02120  ","OFF-SITE TRANSPORT & DISPOSAL                                                             ","PERFETTO ENTERPRISES COMPANY INC","2074 RICHMOND TERRACE","STATEN ISLAND                 ","NY","10302          ","718-442-4212                  ",,"Anthony Perfetto              ","N","N","N","Y","2026-04-21T00:00:00.000"
"02120  ","OFF-SITE TRANSPORT & DISPOSAL                                                             ","POSILLICO ENVIRONMENTAL, INC.","1750 New Highway","Farmingdale                   ","NY","11735          ","631-249-1872                  ","631-275-7266   ","Jillian Brown                 ","N","N","N","Y","2026-03-07T00:00:00.000"
"02120  ","OFF-SITE TRANSPORT & DISPOSAL                                                             ","RICI CORP.","46 Hobart Place","Garfield                      ","NJ","07026          ","973-614-1266                  ","973-626-2700   ","Slavica Trajkov               ","N","N","N","Y","2024-05-05T00:00:00.000"
"02145  ","GROUNDWATER TREATMENT SYSTEMS                                                             ","AARCO Environmental Services Corp.","50 Gear Avenue","Lindenhurst                   ","NY","11757          ","631-586-5900                  ",,"Steven Plofker                ","N","N","N","Y","2024-06-08T00:00:00.000"
"02145  ","GROUNDWATER TREATMENT SYSTEMS                                                             ","Aventura Construction Corp","1101 Waverly Avenue","Holtsville                    ","NY","11742          ","631-654-0660                  ","516-779-6233   ","Frank DeMeyer                 ","N","N","N","Y","2025-08-26T00:00:00.000"
"02145  ","GROUNDWATER TREATMENT SYSTEMS                                                             ","CREAMER ENVIRONMENTAL, INC.","12 Old Bridge Road","Cedar Grove                   ","NJ","07009          ","201-968-3300                  ","201-215-9612   ","Tracy Straka                  ","N","N","N","Y","2023-12-17T00:00:00.000"
"02145  ","GROUNDWATER TREATMENT SYSTEMS                                                             ","ENVIROTRAC LTD","5 Old Dock Road","Yaphank                       ","NY","11980          ","516-790-7289                  ",,"Theodore Masters              ","N","N","N","Y","2025-02-17T00:00:00.000"
"02145  ","GROUNDWATER TREATMENT SYSTEMS                                                             ","Griffin Contract Dewatering, LLC","5306  Clinton Drive","Houston                       ","TX","77020          ","713-671-7034                  ",,"Alon Najer                    ","N","N","N","N","2025-05-10T00:00:00.000"
"02145  ","GROUNDWATER TREATMENT SYSTEMS                                                             ","Keller Industrial, Inc","100 STICKLE AVENUE","ROCKAWAY                      ","NJ","07866          ","973-627-2100                  ","973-400-3607   ","Linda Naval                   ","N","N","N","Y","2026-06-12T00:00:00.000"
"02145  ","GROUNDWATER TREATMENT SYSTEMS                                                             ","Maximum Environmental Management","1170  Lincoln Avenue","Holbrook                      ","NY","11741          ","631-589-1225                  ","631-445-7445   ","Michelle Lamberson            ","N","N","N","N","2025-03-25T00:00:00.000"
"02145  ","GROUNDWATER TREATMENT SYSTEMS                                                             ","NYCO Environmental and Dewatering Corp.","200 Blydenburg Road","Islandia                      ","NY","11749          ","845-222-2730                  ","631-630-6700   ","Barbara Miltakis              ","N","N","N","N","2026-05-08T00:00:00.000"
"02145  ","GROUNDWATER TREATMENT SYSTEMS                                                             ","Tri-State Groundwater Solutions LLC","55 Harristown Road ","Glen Rock                     ","NJ","07452          ","862-336-9700                  ",,"Sean Xu                       ","Y","N","N","N","2025-04-13T00:00:00.000"
"02170  ","COFFERDAMS                                                                                ","American Pile and Foundation LLC","61 County Line Road","Somerville                    ","NJ","08876          ","908-534-7430                  ","973-897-1217   ","Carolyn Cutillo               ","Y","N","N","Y","2025-05-20T00:00:00.000"
"02195  ","REMEDIATION SOIL STABILIZATION                                                            ","AARCO Environmental Services Corp.","50 Gear Avenue","Lindenhurst                   ","NY","11757          ","631-586-5900                  ",,"Steven Plofker                ","N","N","N","Y","2024-06-08T00:00:00.000"
"02195  ","REMEDIATION SOIL STABILIZATION                                                            ","ADAM'S EUROPEAN CONTRACTING INC.","589 Johnson Avenue","Brooklyn                      ","NY","11237-1223     ","718-417-9000                  ",,"MALGORZATA SKARZYNSKI         ","N","N","N","Y","2026-03-06T00:00:00.000"
"02195  ","REMEDIATION SOIL STABILIZATION                                                            ","Aventura Construction Corp","1101 Waverly Avenue","Holtsville                    ","NY","11742          ","631-654-0660                  ","516-779-6233   ","Frank DeMeyer                 ","N","N","N","Y","2025-08-26T00:00:00.000"
"02195  ","REMEDIATION SOIL STABILIZATION                                                            ","CREAMER ENVIRONMENTAL, INC.","12 Old Bridge Road","Cedar Grove                   ","NJ","07009          ","201-968-3300                  ","201-215-9612   ","Tracy Straka                  ","N","N","N","Y","2023-12-17T00:00:00.000"
"02195  ","REMEDIATION SOIL STABILIZATION                                                            ","E.A.I., Inc. Executive Abatement Industries","50 Prescott Street","JERSEY CITY                   ","NJ","07304          ","201-686-7272                  ","201-395-0010   ","ROBERT CARVALHO               ","N","N","N","Y","2026-02-28T00:00:00.000"
"02195  ","REMEDIATION SOIL STABILIZATION                                                            ","ENVIROTRAC LTD","5 Old Dock Road","Yaphank                       ","NY","11980          ","516-790-7289                  ",,"Theodore Masters              ","N","N","N","Y","2025-02-17T00:00:00.000"
"02195  ","REMEDIATION SOIL STABILIZATION                                                            ","Keller Industrial, Inc","100 STICKLE AVENUE","ROCKAWAY                      ","NJ","07866          ","973-627-2100                  ","973-400-3607   ","Linda Naval                   ","N","N","N","Y","2026-06-12T00:00:00.000"
"02195  ","REMEDIATION SOIL STABILIZATION                                                            ","Keller North America, Inc","7550  Teague Road","Hanover                       ","MD","21076          ","410-551-8200                  ",,"Meghan Day                    ","N","N","N","Y","2026-05-25T00:00:00.000"
"02195  ","REMEDIATION SOIL STABILIZATION                                                            ","P.A.L. ENVIRONMENTAL SAFETY CORP.","11-02 Queens Plaza South","LONG ISLAND CITY              ","NY","11101          ","718-349-0900                  ","917-807-0589   ","Aric Domozick                 ","N","N","N","Y","2025-04-27T00:00:00.000"
"02195  ","REMEDIATION SOIL STABILIZATION                                                            ","POSILLICO ENVIRONMENTAL, INC.","1750 New Highway","Farmingdale                   ","NY","11735          ","631-249-1872                  ","631-275-7266   ","Jillian Brown                 ","N","N","N","Y","2026-03-07T00:00:00.000"
"02195  ","REMEDIATION SOIL STABILIZATION                                                            ","SOIL SOLUTIONS, INC.","110  CHERRY VALLEY AVENUE ","WEST HEMPSTEAD                ","NY","11552          ","516-292-6000                  ",,"Vincent DeJana                ","N","N","N","Y","2024-07-23T00:00:00.000"
"02200  ","SITE PREPARATION                                                                          ","4D Construction Inc.","90-10 195th Street","Hollis                        ","NY","11423          ","646-210-1145                  ",,"Devanand Deonarine            ","Y","N","N","N","2025-05-05T00:00:00.000"
"02200  ","SITE PREPARATION                                                                          ","AAL Construction Services LLC","1 Oak Point Avenue","Bronx                         ","NY","10474          ","201-621-3090                  ",,"Ayca Ergeneman                ","N","Y","N","Y","2026-03-02T00:00:00.000"
"02200  ","SITE PREPARATION                                                                          ","Akela Contracting LLC","113 Edison Avenue","Mt Vernon                     ","NY","10550          ","914-494-8470                  ","718-328-4900   ","Karine Williams               ","N","Y","N","Y","2025-06-10T00:00:00.000"
