"objectid","boroughcode","buildingnumber","streetname","pssite","plantingspaceonstreet","width","length","parkname","parkzone","crossstreet1","crossstreet2","communityboard","sanitationzone","zipcode","citycouncil","statesenate","stateassembly","congressional","physicalid","psstatus","geometry","globalid","createddate","updateddate","jurisdiction","overheadutilities","treeguard","latitude","longitude","census_tract","bin","bbl","nta","location"
"122022","Manhattan","808","COLUMBUS AV","Street",,,,,,"W 100 ST","MANHATTAN AVENUE","107.0","1075A","10025.0","7.0","30.0","69.0","10.0","0069450","Retired","POINT (-73.9659743408915489 40.7951640077838036)","ED1D6BF0-C0E7-49BB-9A1A-85CBF8558ACD","2015-03-04 05:00:00.0000000","2020-01-08 16:27:00.0000000",,,,,,,,,,"POINT (-73.96597434089155 40.795164007783804)"
"122024","Staten Island","207","WHEELER AVENUE","Street",,,,,,"BEND","SOUTH GANNON AVENUE","502.0","5023C","10314.0","49.0","24.0","63.0","11.0","0075402","Empty","POINT (-74.1308802402941325 40.6067268431843829)","6AC474F7-0D16-43EC-A1F9-8C9B6C14F434","2015-03-04 05:00:00.0000000","2017-09-11 08:51:16.0000000",,,,,,,,,,"POINT (-74.13088024029413 40.60672684318438)"
"122424","Manhattan","525","WEST 111 STREET","Street","W 111 ST",,,,,"BROADWAY","AMSTERDAM AVENUE","109.0","1091B","10025.0","7.0","30.0","69.0","10.0","0117511","Empty","POINT (-73.9647448123273392 40.8042789810823763)","8E628B41-0A1D-4948-AAE3-F0B3A2A8AFE8","2015-03-04 05:00:00.0000000","2016-12-28 12:20:14.0000000",,,,"40.804190","-73.964685","199","1056976","1018830014","Morningside Heights","POINT (-73.96474481232734 40.804278981082376)"
"122425","Manhattan","416","3 AVENUE","Street",,,,,,"EAST  30 STREET","EAST  29 STREET","106.0","1062A","10016.0","2.0","28.0","75.0","12.0","0003722","Empty","POINT (-73.9802780199124044 40.7429717396309101)","95F4FC38-D56B-4EF3-845D-C84B3CE54961","2015-03-04 05:00:00.0000000","2016-10-24 02:50:42.0000000",,,,"40.742684","-73.980354","72","1018263","1008850042","Murray Hill-Kips Bay","POINT (-73.9802780199124 40.74297173963091)"
"122426","Manhattan","253","SHERMAN AVENUE","Street","SHERMAN AV",,,,,"ISHAM STREET","WEST  207 STREET","112.0","1124A","10034.0","10.0","31.0","72.0","13.0","0025066","Populated","POINT (-73.9188914758878042 40.8660993566809907)","6D5A04A7-CF2F-48B1-92DA-77D6E0C68907","2015-03-04 05:00:00.0000000","2023-02-01 18:10:29.0000000",,,,,,,,,,"POINT (-73.9188914758878 40.86609935668099)"
"122427","Queens","235-03","SEWARD AVENUE","Street","SEWARD AVENUE",,,,,"236 STREET","235 STREET","413.0","4132D","11427.0","23.0","11.0","24.0","3.0","0083776","Empty","POINT (-73.7358905438058656 40.7359038858921565)","F31930BA-47FD-4D9F-B8A2-7A4FA4707D16","2015-03-04 05:00:00.0000000","2017-04-12 09:35:49.0000000",,,,,,,,,,"POINT (-73.73589054380587 40.73590388589216)"
"122822","Queens","81-07","102 AVENUE","Street",,,,,,"84 STREET","81 STREET","409.0","4091C","11416.0","32.0","15.0","23.0","7.0","0031977","Populated","POINT (-73.8571924870068415 40.6803495901173520)","BF1A2621-311E-4865-BF58-566D1F722451","2015-03-04 05:00:00.0000000","2018-05-14 12:50:12.0000000",,,,"40.680319","-73.857183","52","4188850","4090810075","Ozone Park (North)","POINT (-73.85719248700684 40.68034959011735)"
"122823","Queens","164-04","92 STREET","Street","164 AVENUE",,,,,"165 AVENUE","164 AVENUE","410.0","4104C","11414.0","32.0","15.0","23.0","8.0","0033812","Populated","POINT (-73.8390120648608672 40.6505539208762059)","7E294FBE-2F67-45FF-806B-DC9C381CB81B","2015-03-04 05:00:00.0000000","2017-05-09 09:27:06.0000000",,,,"40.650365","-73.838728","892.01","4294654","4140850007","Howard Beach-Lindenwood","POINT (-73.83901206486087 40.650553920876206)"
"123622","Manhattan","222","BOWERY","Street","BOWERY",,,,,"PRINCE STREET","RIVINGTON STREET","102.0","1021G","10012.0","1.0","26.0","65.0","7.0",,"Empty","POINT (-73.9935265201868191 40.7220358803581206)","710AE376-7FD6-4146-B5A8-1174A4DBCADA","2015-03-05 05:00:00.0000000","2023-02-02 16:38:14.0000000",,,,"40.722015","-73.993398","43","1007397","1004920023","SoHo-Little Italy-Hudson Square","POINT (-73.99352652018682 40.72203588035812)"
"124422","Brooklyn","10","MAC DONOUGH STREET","Street",,"16.0",,,,"TOMPKINS AVENUE","MARCY AVENUE","303.0","3033A","11216.0","36.0","25.0","56.0","8.0","0048539","Populated","POINT (-73.9457330273540521 40.6807275850500716)","B3E480C9-E951-4EB8-BF00-2A6BBC68A701","2015-03-06 05:00:00.0000000","2018-07-30 14:02:25.0000000",,"0.0",,,,,,,,"POINT (-73.94573302735405 40.68072758505007)"
"124423","Staten Island","405","BRADLEY AVENUE","Street",,,,,,"BRADLEY COURT","HAROLD STREET","502.0","5023C","10314.0","49.0","24.0","63.0","11.0","0054036","Empty","POINT (-74.1310220441123278 40.6012840349809423)","8EE97251-0953-4A33-9050-4950F2318BC8","2015-03-06 05:00:00.0000000","2021-11-26 19:19:28.0000000",,,,,,,,,,"POINT (-74.13102204411233 40.60128403498094)"
"124424","Staten Island","294","HAROLD STREET","Street",,,,,,"BRADLEY AVENUE","WELLBROOK AVENUE","502.0","5023C","10314.0","49.0","24.0","63.0","11.0","0064943","Populated","POINT (-74.1309205729631771 40.6012987106399521)","D8247903-EBCC-47E6-8736-48B593B1E2B9","2015-03-06 05:00:00.0000000","2021-11-26 19:22:55.0000000",,,,,,,,,,"POINT (-74.13092057296318 40.60129871063995)"
"124822","Staten Island","405","BRADLEY AVENUE","Street",,,,,,"BRADLEY COURT","HAROLD STREET","502.0","5023C","10314.0","49.0","24.0","63.0","11.0","0054036","Empty","POINT (-74.1310884583301402 40.6012774071790901)","877312FA-0D7B-4508-9AAB-C50F8A48B9E4","2015-03-06 05:00:00.0000000","2017-04-11 10:10:23.0000000",,,,,,,,,,"POINT (-74.13108845833014 40.60127740717909)"
"125222","Staten Island","294","HAROLD STREET","Street",,,,,,"BRADLEY AVENUE","WELLBROOK AVENUE","502.0","5023C","10314.0","49.0","24.0","63.0","11.0","0064943","Empty","POINT (-74.1308196743280092 40.6013027311586399)","09AC76E0-89DD-4551-8FC7-D31CEB4E46D7","2015-03-06 05:00:00.0000000","2017-04-11 10:10:38.0000000",,,,,,,,,,"POINT (-74.13081967432801 40.60130273115864)"
"126022","Manhattan","340","WEST 50 STREET","Street",,,,,,"9 AVENUE","8 AVENUE","104.0","1043A","10019.0","3.0","47.0","75.0","12.0","0116275","Empty","POINT (-73.9877138317714440 40.7629019737487326)","FAD30141-44AD-4A95-BA52-F06FE2387F97","2015-03-08 05:00:00.0000000","2023-02-03 14:05:00.0000000",,,,"40.762763","-73.987254","127","1086781","1010400050","Hell's Kitchen","POINT (-73.98771383177144 40.76290197374873)"
"126422","Manhattan","10","WEST 135 STREET","Street","W 135 ST",,,,,"LENOX TERRACE PLACE","5 AVENUE","110.0","1103B","10037.0","9.0","30.0","70.0","13.0","0019603","Empty","POINT (-73.9384803613519495 40.8129927791458300)","A644AB79-A3CB-4F7F-923B-F308E615CCD4","2015-03-08 05:00:00.0000000","2019-09-18 13:12:54.0000000",,,,"40.812973","-73.938196","212","1053892","1017300045","Harlem (North)","POINT (-73.93848036135195 40.81299277914583)"
"126823","Manhattan","322","WEST  50 STREET","Street","W 50 ST",,,,,"9 AVENUE","8 AVENUE","104.0","1043A","10019.0","3.0","27.0","75.0","10.0","0116275","Empty","POINT (-73.9876409817818796 40.7628698015765849)","4EE7B013-A06E-46D8-9818-B560C49E9180","2015-03-08 05:00:00.0000000","2021-12-07 19:35:37.0000000",,,,"40.762593","-73.986846","127","1086781","1010400050","Hell's Kitchen","POINT (-73.98764098178188 40.762869801576585)"
"127222","Queens","92-014","242 STREET","Street",,,,,,"93 AVENUE","BEND","413.0","4132E","11426.0","23.0","11.0","33.0","5.0","0073555","Empty","POINT (-73.7263796655233534 40.7257220614209956)","A25C0602-5BC6-478E-9DEF-7043F23C3454","2015-03-09 04:00:00.0000000",,,,,"40.725793","-73.726352","1621","4167924","4080040242","Bellerose","POINT (-73.72637966552335 40.725722061420996)"
"127223","Staten Island","85","HAROLD STREET","Street",,,,,,"GOWER STREET","FANNING STREET","502.0","5023E","10314.0","50.0","24.0","63.0","11.0","0064935","Empty","POINT (-74.1229775822895505 40.6018361667602719)","C32CA533-648D-49D5-B437-AD1A5876E9DF","2015-03-09 04:00:00.0000000","2015-10-18 15:39:00.0000000",,,,,,,,,,"POINT (-74.12297758228955 40.60183616676027)"
"127224","Queens","67-017","214 STREET","Street",,,,,,"69 AVENUE","67 AVENUE","411.0","4115D","11364.0","23.0","16.0","24.0","6.0","0092262","Empty","POINT (-73.7612537338296761 40.7428638868104613)","79123103-653D-40CC-9ED9-6C6438CC4BE5","2015-03-09 04:00:00.0000000",,,,,"40.743133","-73.761444","1367","4163100","4076260057","Oakland Gardens-Hollis Hills","POINT (-73.76125373382968 40.74286388681046)"
"127226","Queens","85-021","150 STREET","Street",,,,,,"85 ROAD","85 AVENUE","408.0","4082E","11435.0","24.0","14.0","24.0","6.0","0027114","Populated","POINT (-73.8088963149131132 40.7109087214598304)","5FA53832-1420-44E7-B6C2-AC7601E2729C","2015-03-09 04:00:00.0000000",,,,,"40.710897","-73.808956","230","4208349","4097330070","Jamaica Hills-Briarwood","POINT (-73.80889631491311 40.71090872145983)"
"127227","Queens","93-27","222 STREET","Street",,,,,,"94 AVENUE","93 ROAD","413.0","4132E","11428.0","23.0","11.0","33.0","5.0","0034418","Populated","POINT (-73.7331248022006633 40.7222639193264584)","99FE920F-5C68-4F25-B042-38BED8A72177","2015-03-09 04:00:00.0000000","2018-10-11 14:16:51.0000000",,,,"40.722414","-73.733263","564","4230232","4107410001","Queens Village","POINT (-73.73312480220066 40.72226391932646)"
"127228","Queens","103-017","94 STREET","Street","WOODHAVEN BLVD",,,,,"ROCKAWAY BOULEVARD","103 AVENUE","410.0","4101D","11417.0","32.0","15.0","23.0","8.0","0029646","Populated","POINT (-73.8455160751631041 40.6816144445412746)","F2FAA9DF-F587-44C8-8B86-25D72AE4E287","2015-03-09 04:00:00.0000000",,,,,"40.681638","-73.845593","40.02","4189565","4091160053","Ozone Park","POINT (-73.8455160751631 40.681614444541275)"
"127229","Bronx","1066","EAST 218 STREET","Street","LACONIA AVENUE",,,,,"LACONIA AVENUE","PAULDING AVENUE","212.0","2122D","10469.0","12.0","36.0","83.0","16.0","0094800","Populated","POINT (-73.8526577538962812 40.8793914615932579)","BDF7324E-C3BE-4F38-B2D5-9BC4BB465E89","2015-03-09 04:00:00.0000000","2017-07-27 13:50:21.0000000",,"0.0",,"40.879595","-73.852926","388","2059546","2047000061","Williamsbridge-Olinville","POINT (-73.85265775389628 40.87939146159326)"
"127622","Manhattan","98","CLINTON STREET","Street","CLINTON ST",,,,,"WILLIAMSBURG BR BIKE AND PED PTH","RIVINGTON STREET","103.0","1032A","10002.0","1.0","26.0","65.0","12.0","0160643","Populated","POINT (-73.9854775259179007 40.7181852295283875)","2B1B37B1-37A3-4210-878B-DBA3CFBA29DC","2015-03-09 04:00:00.0000000","2016-10-14 13:48:33.0000000",,,,,,,,,,"POINT (-73.9854775259179 40.71818522952839)"
"127623","Manhattan","251","EAST 13 STREET","Street","E 13 ST",,,,,"2 AVENUE","3 AVENUE","103.0","1034B","10003.0","2.0","27.0","66.0","12.0","0080041","Empty","POINT (-73.9856923171743830 40.7318353524249872)","6C99D4EF-9481-4A43-B94E-DB80923312C8","2015-03-09 04:00:00.0000000","2022-09-14 17:15:23.0000000",,,,"40.732132","-73.986541","40.02","1006911","1004690037","East Village","POINT (-73.98569231717438 40.73183535242499)"
"127624","Brooklyn","1514","37 STREET","Street","ON 38 ST - IN PLAYGROUND BEHIND HOUSE","18.0",,"DOME PLAYGROUND",,"DAHILL ROAD","15 AVENUE","312.0","3123E",,,,,,"0055088","Empty","POINT (-73.9804583884554745 40.6386327393789344)","F6FBE1E0-C633-46A4-807D-2EED2E3B32FA","2015-03-09 04:00:00.0000000","2019-08-07 14:27:57.0000000",,,,"40.638926","-73.980467","228","3346031","3053677501","Borough Park","POINT (-73.98045838845547 40.638632739378934)"
"127625","Manhattan","1755","YORK AVENUE","Street","YORK AV",,,,,"FDR DRIVE SB ENTRANCE YORK AVE","EAST   91 STREET","108.0","1085B","10128.0","5.0","28.0","76.0","12.0","0019487","Populated","POINT (-73.9445209132974099 40.7796698088564540)","A783840B-36A9-475B-BEE1-E8B2248F6333","2015-03-09 04:00:00.0000000","2016-10-06 13:57:03.0000000",,,,,,,,,,"POINT (-73.94452091329741 40.779669808856454)"
"127626","Manhattan","58","WEST 12 STREET","Street","W 12 ST",,,,,"AVENUE OF THE AMERICAS","5 AVENUE","102.0","1023A","10011.0","3.0","27.0","66.0","10.0","0000859","Empty","POINT (-73.9966483895099998 40.7354676301499978)","9583C644-9909-4091-9E5E-2B06510FF430","2015-03-09 04:00:00.0000000","2015-03-09 04:00:00.0000000",,,,"40.735366","-73.996244","63","1009604","1005750126","Greenwich Village","POINT (-73.99664838951 40.73546763015)"
"128022","Manhattan","340","EAST  73 STREET","Street","E 73 ST",,,,,"1 AVENUE","2 AVENUE","108.0","1082B","10021.0","5.0","28.0","76.0","12.0","0023310","Empty","POINT (-73.9557523710910232 40.7685265007756783)","568A662E-15D4-4E57-BD16-F9D55D9C80A2","2015-03-09 04:00:00.0000000","2020-01-29 16:52:06.0000000",,,,"40.769041","-73.956840","126.01","1044884","1014470030","Upper East Side-Lenox Hill-Roosevelt Island","POINT (-73.95575237109102 40.76852650077568)"
"128023","Manhattan","327","WEST 4 STREET","Street","W 4 ST",,,,,"JANE STREET","WEST   12 STREET","102.0","1023B","10014.0","3.0","27.0","66.0","10.0","0001259","Populated","POINT (-74.0038238775131276 40.7378967554477072)","0291F2B2-E63E-4992-85D6-D987A019D9FC","2015-03-09 04:00:00.0000000","2016-10-06 19:45:59.0000000",,,,"40.737814","-74.003857","77","1011034","1006150058","West Village","POINT (-74.00382387751313 40.73789675544771)"
"128024","Queens","94-002","218 STREET","Street",,,,,,"94 ROAD","94 AVENUE","413.0","4133C","11428.0","23.0","14.0","33.0","5.0","0024060","Empty","POINT (-73.7386698105784291 40.7203093161584349)","92FFFF33-89EA-489F-9460-C3EBF56ECCA6","2015-03-09 04:00:00.0000000",,,,,"40.720330","-73.738622","566","4226757","4106210001","Queens Village","POINT (-73.73866981057843 40.720309316158435)"
"128422","Manhattan","530","CANAL STREET","Street","CANAL ST",,,,,"WEST STREET","WASHINGTON STREET","101.0","1013B","10013.0","1.0","26.0","66.0","10.0","0178664","Populated","POINT (-74.0107720466828880 40.7250435213771667)","6006AC89-CBD3-404A-9775-CCEA2CC7212F","2015-03-09 04:00:00.0000000","2020-02-25 20:27:17.0000000",,,,,,,,,,"POINT (-74.01077204668289 40.72504352137717)"
"128423","Queens","240-20","83 AVENUE","Street","241 STREET",,,,,"241 STREET","240 STREET","413.0","4132C","11426.0","23.0","11.0","24.0","3.0","0096982","Empty","POINT (-73.7261306428160310 40.7352810244039816)","7760CDB3-7F87-4115-97A7-5E58D4BC2B40","2015-03-09 04:00:00.0000000","2017-11-03 11:26:35.0000000",,,,"40.735343","-73.726648","1571.02","4165788","4079080039","Bellerose","POINT (-73.72613064281603 40.73528102440398)"
"128425","Manhattan","542","WEST 153 STREET","Street","W 153 ST",,,,,"BROADWAY","AMSTERDAM AVENUE","109.0","1093A","10031.0","7.0","31.0","71.0","13.0","0096028","Empty","POINT (-73.9461663150635360 40.8311641096407598)","AC4BB13F-02D6-4975-A18F-1FFBD4B72EF3","2015-03-09 04:00:00.0000000","2015-03-09 04:00:00.0000000",,,,"40.830784","-73.945161","237","1090330","1020840056","Hamilton Heights-Sugar Hill","POINT (-73.94616631506354 40.83116410964076)"
"128426","Manhattan","542","WEST 153 STREET","Street","W 153 ST",,,,,"BROADWAY","AMSTERDAM AVENUE","109.0","1093A","10031.0","7.0","31.0","71.0","13.0","0096028","Populated","POINT (-73.9461412303027572 40.8311527811318484)","CE09E6F2-15F7-4353-93F1-D9EE92A98A02","2015-03-09 04:00:00.0000000","2022-04-27 18:30:48.0000000",,,,"40.830784","-73.945161","237","1090330","1020840056","Hamilton Heights-Sugar Hill","POINT (-73.94614123030276 40.83115278113185)"
"128822","Bronx","3726","BRONXWOOD AVENUE","Street",,,,,,"EAST  218 STREET","EAST  217 STREET","212.0","2122C","10469.0","12.0","36.0","83.0","16.0","0057414","Populated","POINT (-73.8575233915723857 40.8806620092063966)","624FD0B1-4440-4F0A-894A-6A9B1A692964","2015-03-10 04:00:00.0000000","2021-09-14 18:49:34.0000000",,,,,,,,,,"POINT (-73.85752339157239 40.8806620092064)"
"128823","Bronx","2737","MATTHEWS AVENUE","Street",,,,,,"ARNOW AVENUE","ALLERTON AVENUE","211.0","2113C","10467.0","13.0","36.0","80.0","14.0","0086738","Empty","POINT (-73.8626212890814315 40.8667684138496341)","EB85EFF6-B658-4419-87F1-640983144DDD","2015-03-10 04:00:00.0000000","2019-02-05 15:06:23.0000000",,,,,,,,,,"POINT (-73.86262128908143 40.866768413849634)"
"128824","Queens","27-07","167 STREET","Street","167 STREET",,,,,"29 AVENUE","27 AVENUE","407.0","4077D","11358.0","19.0","11.0","26.0","6.0","0092712","Populated","POINT (-73.7976124721417079 40.7720037730735498)","B914F50F-66E2-4665-A74C-EF38E1F4439C","2015-03-10 04:00:00.0000000","2017-02-13 06:13:27.0000000",,,,"40.772003","-73.797669","1141","4111336","4049190002","Murray Hill-Broadway Flushing","POINT (-73.79761247214171 40.77200377307355)"
"128825","Queens","30-029","69 STREET","Street","68 street",,,,,"31 AVENUE","BEND","403.0","4031E","11377.0","22.0","13.0","34.0","14.0","0026433","Populated","POINT (-73.8990805846024159 40.7577647616506056)","E9D2728E-E15E-4B65-82D4-DBB46C5EB766","2015-03-10 04:00:00.0000000","2015-03-10 04:00:00.0000000",,,,"40.759110","-73.898381","309.05","4024565","4011180029","Jackson Heights","POINT (-73.89908058460242 40.757764761650606)"
"128826","Queens","50-023","FRANCIS LEWIS BOULEVARD","Street",,,,,,"53 AVENUE","50 AVENUE","411.0","4113E","11364.0","20.0","11.0","25.0","6.0",,"Populated","POINT (-73.7785646756924791 40.7496111821781213)","2F0C0FC8-75AE-49A3-8EF7-60388FCAB917","2015-03-10 04:00:00.0000000","2016-10-24 15:19:00.0000000",,,,,,,,,,"POINT (-73.77856467569248 40.74961118217812)"
"128827","Queens","50-013","44 STREET","Street",,,,,,"LAUREL HILL BOULEVARD","50 AVENUE","402.0","4023D","11377.0","26.0","12.0","37.0","14.0","0081843","Populated","POINT (-73.9217630781089099 40.7368782604169155)","C8E1BAF8-B507-4E2A-BA4A-7318752FEA87","2015-03-10 04:00:00.0000000",,,,,"40.737164","-73.921783","187","4437370","4022940026","Sunnyside","POINT (-73.92176307810891 40.736878260416916)"
"129222","Staten Island","208","FISKE AVENUE","Street",,,,,,"LEONARD AVENUE","LATHROP AVENUE","501.0","5014E","10314.0","50.0","24.0","63.0","11.0","0094844","Empty","POINT (-74.1335151640083723 40.6181657235814697)","462E1DE0-B006-4AA4-9876-4CE54597585C","2015-03-10 04:00:00.0000000","2017-08-24 13:37:30.0000000",,,,,,,,,,"POINT (-74.13351516400837 40.61816572358147)"
"129223","Staten Island","84","OAKVILLE STREET","Street",,,,,,"SOREN STREET","BRADLEY AVENUE","502.0","5023C","10314.0","50.0","24.0","63.0","11.0","0058207","Empty","POINT (-74.1338703432420374 40.5988604582317549)","6D904278-B4B3-4197-A77F-0707135A8D2E","2015-03-10 04:00:00.0000000","2015-03-13 04:00:00.0000000",,,,,,,,,,"POINT (-74.13387034324204 40.598860458231755)"
"129622","Queens","197-044","NASHVILLE BOULEVARD","Street",,,,,,"122 AVENUE","197 STREET","412.0","4127E","11413.0","27.0","14.0","29.0","5.0","0082867","Populated","POINT (-73.7499973190097080 40.6873751205686247)","757328E2-3378-4C45-971F-886BF556E8CD","2015-03-10 04:00:00.0000000","2016-12-15 16:19:42.0000000",,,,,,,,,,"POINT (-73.74999731900971 40.687375120568625)"
"129623","Brooklyn","2266","HENDRICKSON STREET","Street","HENDRICKSON STREET","12.0",,,,"AVENUE V","AVENUE U","318.0","3187C","11234.0","46.0","22.0","59.0","8.0","0071694","Empty","POINT (-73.9222049683197611 40.6081029507373543)","2EAB0B2A-F17C-428A-8CFB-2E8F3497F735","2015-03-10 04:00:00.0000000",,,,,,,,,,,"POINT (-73.92220496831976 40.608102950737354)"
"129624","Brooklyn","187","18 STREET","Street","18 STREET","2.0",,,,"5 AVENUE","4 AVENUE","307.0","3072C","11215.0","38.0","20.0","51.0","7.0","0067670","Empty","POINT (-73.9934154523583487 40.6641418005223159)","DDC385AF-B0F2-43FF-B54A-B7F922F0A5F1","2015-03-10 04:00:00.0000000","2016-02-10 12:24:33.0000000",,,,"40.664029","-73.993299","143","3396793","3006310078","Sunset Park (West)","POINT (-73.99341545235835 40.664141800522316)"
"129625","Queens","58-027","206 STREET","Street",,,,,,"HORACE HARDING EXPRESSWAY SR N","58 AVENUE","411.0","4113E","11364.0","23.0","11.0","25.0","6.0","0034210","Populated","POINT (-73.7709483207372756 40.7463121442995941)","77728080-487B-4FE8-AE8B-4CE07538A74B","2015-03-10 04:00:00.0000000","2015-04-13 16:27:35.0000000",,,,"40.746460","-73.771076","1403","4160561","4074570058","Bayside","POINT (-73.77094832073728 40.746312144299594)"
"129626","Queens","50-015","44 STREET","Street",,,,,,"LAUREL HILL BOULEVARD","50 AVENUE","402.0","4023D","11377.0","26.0","12.0","37.0","14.0","0081843","Empty","POINT (-73.9218448238153201 40.7366180171855987)","BE272F34-9A4C-4257-A673-D2860757F989","2015-03-10 04:00:00.0000000","2015-03-10 04:00:00.0000000",,,,"40.737134","-73.921790","187","4437370","4022940026","Sunnyside","POINT (-73.92184482381532 40.7366180171856)"
"129627","Staten Island","11","KNOX PLACE","Street",,,,,,"SLOSSON AVENUE","ROYAL OAK ROAD","501.0","5013E","10314.0","50.0","24.0","63.0","11.0","0093582","Populated","POINT (-74.1149398062367482 40.6158399175707103)","8AADD266-D82F-4623-BA41-5D91D30233F5","2015-03-10 04:00:00.0000000","2016-10-12 13:17:20.0000000",,,,,,,,,,"POINT (-74.11493980623675 40.61583991757071)"
"129628","Queens","19-064","81 STREET","Street",,,,,,"21 AVENUE","19 AVENUE","401.0","4012E","11370.0","22.0","13.0","36.0","14.0","0077187","Populated","POINT (-73.8892603234463081 40.7714001290851868)","D1DAA292-6756-4129-9842-2691BD2C87D2","2015-03-10 04:00:00.0000000","2016-10-11 15:13:38.0000000",,,,"40.771705","-73.889195","317","4021110","4009490042","Astoria (North)-Ditmars-Steinway","POINT (-73.88926032344631 40.77140012908519)"
