"eventid","eventtype","startdatetime","enddatetime","enteredon","eventagency","parkingheld","borough","communityboard_s","policeprecinct_s","category","subcategoryname","country","zipcode_s"
"718276","Shooting Permit","2023-05-25T09:00:00.000","2023-05-25T23:00:00.000","2023-05-22T09:58:43.000","Mayor's Office of Film, Theatre & Broadcasting","6 AVENUE between WEST WASHINGTON PLACE and WEST    4 STREET,  6 AVENUE between WEST    4 STREET and CARMINE STREET,  6 AVENUE between MINETTA STREET and MINETTA LANE,  6TH AVENUE between BLEECKER STREET and HOUSTON STREET,  BLEECKER STREET between CARMINE STREET and 6 AVENUE,  BLEECKER STREET between 6 AVENUE and SULLIVAN STREET,  MACDOUGAL STREET between BLEECKER STREET and WEST HOUSTON STREET,  WEST HOUSTON STREET between MACDOUGAL STREET and THOMPSON STREET,  WEST HOUSTON STREET between MACDOUGAL STREET and WEST BROADWAY,  SULLIVAN STREET between PRINCE STREET and WEST HOUSTON STREET,  SULLIVAN STREET between WEST HOUSTON STREET and BLEECKER STREET","Manhattan","2","1, 6","Television","Episodic series","United States of America","10011, 10012, 10014"
"718243","Theater Load in and Load Outs","2023-05-27T07:00:00.000","2023-05-27T23:59:00.000","2023-05-22T01:01:20.000","Mayor's Office of Film, Theatre & Broadcasting","WADSWORTH AVENUE between WEST  175 STREET and WEST  176 STREET","Manhattan","12","33","Theater","Theater","United States of America","10033"
"718189","Shooting Permit","2023-05-29T08:00:00.000","2023-05-29T22:00:00.000","2023-05-21T15:33:01.000","Mayor's Office of Film, Theatre & Broadcasting","AVENUE I between NOSTRAND AVENUE and EAST   31 STREET,  NOSTRAND AVENUE between AVENUE I and AVENUE J","Brooklyn","14, 18","63, 70","Television","Reality","United States of America","11210"
"718020","Shooting Permit","2023-05-24T07:00:00.000","2023-05-24T20:00:00.000","2023-05-19T16:52:10.000","Mayor's Office of Film, Theatre & Broadcasting","EAST   10 STREET between AVENUE A and AVENUE B","Manhattan","3","9","Still Photography","Not Applicable","United States of America","10009"
"718006","Shooting Permit","2023-05-25T08:00:00.000","2023-05-25T22:00:00.000","2023-05-19T16:09:26.000","Mayor's Office of Film, Theatre & Broadcasting","MOULTRIE STREET between CALYER STREET and MESEROLE AVENUE,  GREENPOINT AVENUE between NEWEL STREET and JEWEL STREET,  CALYER STREET between MOULTRIE STREET and HUMBOLDT STREET","Brooklyn","1","94","Television","Episodic series","United States of America","11222"
"718005","Shooting Permit","2023-05-24T14:00:00.000","2023-05-25T06:00:00.000","2023-05-19T16:07:55.000","Mayor's Office of Film, Theatre & Broadcasting","ESSEX STREET between DELANCEY STREET and STANTON STREET,  NORFOLK STREET between STANTON STREET and EAST HOUSTON STREET,  EAST HOUSTON STREET between NORFOLK STREET and ESSEX STREET,  EAST HOUSTON STREET between NORFOLK STREET and AVENUE A,  AVENUE A between EAST HOUSTON STREET and EAST    3 STREET","Manhattan","3","7, 9","Film","Feature","United States of America","10002, 10009"
"717970","Shooting Permit","2023-05-24T07:00:00.000","2023-05-26T03:00:00.000","2023-05-19T15:12:03.000","Mayor's Office of Film, Theatre & Broadcasting","KENT STREET between WEST STREET and DEAD END,  JAVA STREET between WEST STREET and DEAD END","Brooklyn","1","94","Television","Episodic series","United States of America","11222"
"717949","Shooting Permit","2023-05-26T14:00:00.000","2023-05-27T04:00:00.000","2023-05-19T14:51:27.000","Mayor's Office of Film, Theatre & Broadcasting","ROSE FEISS BOULEVARD between EAST  139 STREET and EAST  140 STREET,  EAST  140 STREET between ROSE FEISS BOULEVARD and LOCUST AVENUE,  EAST  139 STREET between ROSE FEISS BOULEVARD and LOCUST AVENUE,  LOCUST AVENUE between EAST  139 STREET and EAST  140 STREET,  EAST  140 STREET between WALNUT AVENUE and BRUCKNER BOULEVARD","Bronx","1","40","Television","Episodic series","United States of America","10454"
"717938","Theater Load in and Load Outs","2023-05-27T00:01:00.000","2023-06-04T23:59:00.000","2023-05-19T14:16:27.000","Mayor's Office of Film, Theatre & Broadcasting","AMSTERDAM AVENUE between WEST   62 STREET and WEST   66 STREET","Manhattan","7","20","Theater","Theater","United States of America","10023"
"717934","Theater Load in and Load Outs","2023-05-21T00:01:00.000","2023-05-24T23:59:00.000","2023-05-19T14:04:24.000","Mayor's Office of Film, Theatre & Broadcasting","AMSTERDAM AVENUE between WEST   62 STREET and WEST   66 STREET","Manhattan","7","20","Theater","Theater","United States of America","10023"
"717932","Shooting Permit","2023-05-26T19:00:00.000","2023-05-27T01:00:00.000","2023-05-19T14:04:11.000","Mayor's Office of Film, Theatre & Broadcasting","MCGUINESS BOULEVARD between FREEMAN STREET and GREEN STREET,  FREEMAN STREET between MANHATTAN AVENUE and MCGUINESS BOULEVARD,  PROVOST STREET between EAGLE STREET and PAIDGE AVENUE,  PAIDGE AVENUE between PROVOST STREET and DEAD END","Brooklyn","1","94","Television","Episodic series","United States of America","11222"
"717928","Shooting Permit","2023-05-26T18:00:00.000","2023-05-27T04:00:00.000","2023-05-19T13:50:45.000","Mayor's Office of Film, Theatre & Broadcasting","SOUTH    6 STREET between BERRY STREET and WYTHE AVENUE,  WYTHE AVENUE between SOUTH    5 STREET and SOUTH    6 STREET,  WYTHE AVENUE between SOUTH    6 STREET and BROADWAY,  BROADWAY between RODNEY STREET and MARCY AVENUE,  MARCY AVENUE between BROADWAY and DIVISION AVENUE","Brooklyn","1","90","Film","Feature","United States of America","11206, 11211, 11249"
"717922","Shooting Permit","2023-05-28T08:00:00.000","2023-05-28T22:00:00.000","2023-05-19T13:27:58.000","Mayor's Office of Film, Theatre & Broadcasting","NOSTRAND AVENUE between AVENUE I and AVENUE J,  AVENUE I between NOSTRAND AVENUE and EAST   31 STREET","Brooklyn","14, 18","63, 70","Television","Reality","United States of America","11210"
"717919","Shooting Permit","2023-05-24T07:00:00.000","2023-05-24T21:00:00.000","2023-05-19T13:16:08.000","Mayor's Office of Film, Theatre & Broadcasting","ST JAMES PLACE between LAFAYETTE AVENUE and DEKALB AVENUE,  GREENE AVENUE between MARCY AVENUE and TOMPKINS AVENUE","Brooklyn","2, 3","79, 88","WEB","Not Applicable","United States of America","11205, 11216, 11238"
"717918","Shooting Permit","2023-05-26T07:00:00.000","2023-05-26T21:00:00.000","2023-05-19T13:11:55.000","Mayor's Office of Film, Theatre & Broadcasting","WALL STREET between WILLIAM STREET and PEARL STREET,  BEAVER STREET between PEARL STREET and HANOVER STREET,  WATER STREET between OLD SLIP and GOUVERNEUR LANE,  PEARL STREET between PINE STREET and WILLIAM STREET,  EXCHANGE PLACE between WILLIAM STREET and HANOVER STREET,  BROAD STREET between WATER STREET and SOUTH STREET,  SOUTH STREET between BROAD STREET and OLD SLIP,  LIBERTY STREET between NASSAU STREET and WILLIAM STREET","Manhattan","1, 3","1, 5","Television","Episodic series","United States of America","10004, 10005, 10007, 10038, 10045"
"717909","Shooting Permit","2023-05-24T07:00:00.000","2023-05-24T19:00:00.000","2023-05-19T12:53:14.000","Mayor's Office of Film, Theatre & Broadcasting","EAST   19 STREET between DITMAS AVENUE and DORCHESTER ROAD","Brooklyn","14","70","Still Photography","Not Applicable","United States of America","11226"
"717874","Shooting Permit","2023-05-25T07:00:00.000","2023-05-25T21:00:00.000","2023-05-19T11:47:01.000","Mayor's Office of Film, Theatre & Broadcasting","22 STREET between QUEENS PLAZA SOUTH and 43 AVENUE,  43 AVE between 22 ST and 21 ST,  21 ST between QUEENS PLAZA S and 43 AVE,  QUEENS PLAZA S between 21 ST and 22 ST","Queens","2","108","Television","Episodic series","United States of America","11101"
"717851","Shooting Permit","2023-05-25T07:00:00.000","2023-05-25T20:00:00.000","2023-05-19T11:05:15.000","Mayor's Office of Film, Theatre & Broadcasting","WEST   17 STREET between 9 AVENUE and 10 AVENUE","Manhattan","2, 4","10, 6","Still Photography","Not Applicable","United States of America","10001, 10011, 10014"
"717783","Shooting Permit","2023-05-26T09:00:00.000","2023-05-27T02:00:00.000","2023-05-18T23:09:41.000","Mayor's Office of Film, Theatre & Broadcasting","LIBERTY AVENUE between POWELL STREET and VAN SINDEREN AVENUE,  LIBERTY AVENUE between VAN SINDEREN AVENUE and HINSDALE STREET,  POWELL STREET between LIBERTY AVENUE and EAST NEW YORK AVENUE,  JUNIUS STREET between LIBERTY AVENUE and EAST NEW YORK AVENUE,  JUNIUS STREET between LIBERTY AVENUE and GLENMORE AVENUE,  EAST NEW YORK AVENUE between JUNIUS STREET and VAN SINDEREN AVENUE,  VAN SINDEREN AVENUE between EAST NEW YORK AVENUE and LIBERTY AVENUE","Brooklyn","16, 5","73, 75","Television","Episodic series","United States of America","11207, 11212"
"717781","Shooting Permit","2023-05-23T07:00:00.000","2023-05-23T22:00:00.000","2023-05-18T22:02:46.000","Mayor's Office of Film, Theatre & Broadcasting","EAST   89 STREET between 5 AVENUE and MADISON AVENUE,  MADISON AVENUE between EAST   89 STREET and EAST   90 STREET,  5 AVENUE between EAST   89 STREET and EAST   88 STREET,  EAST   88 STREET between 5 AVENUE and MADISON AVENUE,  5 AVENUE between EAST   88 STREET and EAST   87 STREET,  EAST   88 STREET between 5 AVENUE and MADISON AVENUE,  EAST   72 STREET between PARK AVENUE and LEXINGTON AVENUE,  EAST   72 STREET between LEXINGTON AVENUE and 3 AVENUE,  LEXINGTON AVENUE between EAST   71 STREET and EAST   72 STREET,  EAST   71 STREET between LEXINGTON AVENUE and 3 AVENUE","Manhattan","64, 8","19, 22","Film","Feature","United States of America","10021, 10128"
"717752","Theater Load in and Load Outs","2023-05-22T00:01:00.000","2023-05-24T06:00:00.000","2023-05-18T17:58:40.000","Mayor's Office of Film, Theatre & Broadcasting","WEST   55 STREET between 11 AVENUE and 12 AVENUE,  WEST   56 STREET between 11 AVENUE and 12 AVENUE,  11 AVENUE between WEST   55 STREET and WEST   56 STREET","Manhattan","4","18","Theater","Theater","United States of America","10019"
"717747","Shooting Permit","2023-05-21T07:00:00.000","2023-05-21T19:00:00.000","2023-05-18T17:33:41.000","Mayor's Office of Film, Theatre & Broadcasting","EAST BROADWAY between PIKE STREET and RUTGERS STREET","Manhattan","3","5, 7","Still Photography","Not Applicable","United States of America","10002, 10038"
"717721","Shooting Permit","2023-05-26T06:00:00.000","2023-05-26T23:00:00.000","2023-05-18T16:08:08.000","Mayor's Office of Film, Theatre & Broadcasting","STARR AVENUE between VAN DAM STREET and BORDEN AVENUE,  STARR AVENUE between VAN DAM STREET and 34 STREET,  REVIEW AVENUE between 35 STREET and 29 STREET","Queens","2","108","Television","Episodic series","United States of America","11101"
"717720","Shooting Permit","2023-05-25T06:00:00.000","2023-05-25T22:00:00.000","2023-05-18T16:07:42.000","Mayor's Office of Film, Theatre & Broadcasting","STARR AVENUE between VAN DAM STREET and BORDEN AVENUE,  STARR AVENUE between VAN DAM STREET and 34 STREET,  REVIEW AVENUE between 35 STREET and 29 STREET","Queens","2","108","Television","Episodic series","United States of America","11101"
"717719","Shooting Permit","2023-05-24T06:00:00.000","2023-05-24T23:00:00.000","2023-05-18T16:07:12.000","Mayor's Office of Film, Theatre & Broadcasting","STARR AVENUE between VAN DAM STREET and BORDEN AVENUE,  STARR AVENUE between VAN DAM STREET and 34 STREET,  REVIEW AVENUE between 35 STREET and 29 STREET","Queens","2","108","Television","Episodic series","United States of America","11101"
"717718","Shooting Permit","2023-05-23T06:00:00.000","2023-05-23T23:00:00.000","2023-05-18T16:06:44.000","Mayor's Office of Film, Theatre & Broadcasting","STARR AVENUE between VAN DAM STREET and BORDEN AVENUE,  STARR AVENUE between VAN DAM STREET and 34 STREET,  REVIEW AVENUE between 35 STREET and 29 STREET","Queens","2","108","Television","Episodic series","United States of America","11101"
"717717","Shooting Permit","2023-05-22T06:00:00.000","2023-05-22T23:00:00.000","2023-05-18T16:06:21.000","Mayor's Office of Film, Theatre & Broadcasting","STARR AVENUE between VAN DAM STREET and BORDEN AVENUE,  STARR AVENUE between VAN DAM STREET and 34 STREET,  REVIEW AVENUE between 35 STREET and 29 STREET","Queens","2","108","Television","Episodic series","United States of America","11101"
"717704","Theater Load in and Load Outs","2023-05-26T00:01:00.000","2023-05-27T06:00:00.000","2023-05-18T15:20:21.000","Mayor's Office of Film, Theatre & Broadcasting","EAST   11 STREET between 3 AVENUE and 4 AVENUE,  3 AVENUE between EAST   11 STREET and EAST   12 STREET","Manhattan","11, 3","23, 9","Theater","Theater","United States of America","10003, 10029"
"717676","Shooting Permit","2023-05-29T06:00:00.000","2023-05-29T21:00:00.000","2023-05-18T14:00:44.000","Mayor's Office of Film, Theatre & Broadcasting","GRAND STREET between CROSBY STREET and BROADWAY,  LAFAYETTE STREET between BOND STREET and GREAT JONES STREET,  BROOME STREET between BROADWAY and CROSBY STREET,  LAFAYETTE STREET between JONES ALLEY and BLEEKER STREET","Manhattan","2","5, 9","Still Photography","Not Applicable","United States of America","10012, 10013"
"717673","Shooting Permit","2023-05-24T05:00:00.000","2023-05-24T20:00:00.000","2023-05-18T13:54:24.000","Mayor's Office of Film, Theatre & Broadcasting","BROADWAY between WEST   30 STREET and WEST   31 STREET,  WEST   30 STREET between 6 AVENUE and BROADWAY,  WEST   30 STREET between BROADWAY and 5 AVENUE,  WEST   29 STREET between 6 AVENUE and BROADWAY,  6 AVENUE between WEST   29 STREET and WEST   27 STREET,  WEST   28 STREET between 6 AVENUE and BROADWAY,  WEST   27 STREET between 6 AVENUE and 5 AVENUE,  WEST   30 STREET between 7 AVENUE and 6 AVENUE,  MOULTRIE STREET between CALYER STREET and MESEROLE AVENUE,  GREENPOINT AVENUE between NEWEL STREET and JEWEL STREET,  CALYER STREET between MOULTRIE STREET and HUMBOLDT STREET,  9 STREET between 44 AVENUE and 43 ROAD,  44 AVENUE between 9 STREET and 10 STREET,  10 STREET between 44 AVENUE and 43 AVENUE","Manhattan","1, 2, 5","108, 13, 14, 94","Television","Episodic series","United States of America","10001, 11101, 11222"
"717672","Theater Load in and Load Outs","2023-05-24T00:01:00.000","2023-05-25T06:00:00.000","2023-05-18T13:51:05.000","Mayor's Office of Film, Theatre & Broadcasting","EAST   11 STREET between 3 AVENUE and 4 AVENUE,  3 AVENUE between EAST   11 STREET and EAST   12 STREET","Manhattan","11, 3","23, 9","Theater","Theater","United States of America","10003, 10029"
"717664","Shooting Permit","2023-05-28T06:00:00.000","2023-05-28T20:00:00.000","2023-05-18T13:26:58.000","Mayor's Office of Film, Theatre & Broadcasting","CENTER BOULEVARD between 48 AVENUE and 49 AVENUE,  48 AVENUE between CENTER BOULEVARD and 5 STREET,  CENTER BOULEVARD between 50 AVENUE and 49 AVENUE,  WEST   27 STREET between 10 AVENUE and 11 AVENUE,  WEST   28 STREET between 11 AVENUE and 10 AVENUE","Queens","2, 4","10, 108","Still Photography","Not Applicable","United States of America","10001, 11101, 11109"
"717660","Rigging Permit","2023-05-25T13:30:00.000","2023-05-25T18:00:00.000","2023-05-18T13:10:14.000","Mayor's Office of Film, Theatre & Broadcasting","WASHINGTON PLACE between BROADWAY and MERCER STREET","Manhattan","2","6","Student","Not Applicable","United States of America","10003"
"717658","Shooting Permit","2023-05-20T03:00:00.000","2023-05-20T11:59:00.000","2023-05-18T13:09:17.000","Mayor's Office of Film, Theatre & Broadcasting","WEST   48 STREET between 6 AVENUE and 7 AVENUE","Manhattan","5","18","Television","News","United States of America","10036, 10105"
"717634","Shooting Permit","2023-05-22T08:00:00.000","2023-05-22T20:00:00.000","2023-05-18T12:21:24.000","Mayor's Office of Film, Theatre & Broadcasting","PARK AVENUE between EAST   68 STREET and EAST   67 STREET","Manhattan","8","19","WEB","Not Applicable","United States of America","10021, 10065"
"717585","Theater Load in and Load Outs","2023-05-23T00:01:00.000","2023-05-23T23:59:00.000","2023-05-18T10:52:38.000","Mayor's Office of Film, Theatre & Broadcasting","EAST   11 STREET between 3 AVENUE and 4 AVENUE,  3 AVENUE between EAST   11 STREET and EAST   12 STREET","Manhattan","11, 3","23, 9","Theater","Theater","United States of America","10003, 10029"
"717575","Shooting Permit","2023-05-20T07:00:00.000","2023-05-20T22:00:00.000","2023-05-18T10:10:53.000","Mayor's Office of Film, Theatre & Broadcasting","KENT STREET between WEST STREET and DEAD END,  JAVA STREET between WEST STREET and DEAD END","Brooklyn","1","94","Television","Episodic series","United States of America","11222"
"717573","Shooting Permit","2023-05-22T07:30:00.000","2023-05-22T22:00:00.000","2023-05-18T10:08:51.000","Mayor's Office of Film, Theatre & Broadcasting","JOHNSON AVENUE between STEWART AVENUE and GARDNER AVENUE,  INGRAHAM STREET between STEWART AVENUE and GARDNER AVENUE,  GARDNER AVENUE between JOHNSON AVENUE and FLUSHING AVENUE,  STEWART AVENUE between FLUSHING AVENUE and JOHNSON AVENUE,  SCOTT AVENUE between JOHNSON AVENUE and RANDOLPH STREET","Brooklyn","1, 5","104, 90","Television","Episodic series","United States of America","11237, 11378"
"717552","Shooting Permit","2023-05-22T06:00:00.000","2023-05-22T23:59:00.000","2023-05-18T08:47:49.000","Mayor's Office of Film, Theatre & Broadcasting","HICKS STREET between HUNTINGTON STREET and WEST    9 STREET,  WEST    9 STREET between COLUMBIA STREET and HICKS STREET,  HICKS STREET between WEST    9 STREET and MILL STREET","Brooklyn","6","76","Commercial","Commercial","United States of America","11231"
"717550","Shooting Permit","2023-05-22T07:00:00.000","2023-05-22T20:00:00.000","2023-05-18T08:42:49.000","Mayor's Office of Film, Theatre & Broadcasting","CENTRAL PARK WEST between W 9O ST and W 91 ST,  CENTRAL PARK WEST between WEST   89 STREET and WEST   90 STREET,  CENTRAL PARK WEST between WEST   77 STREET and WEST   81 STREET,  WEST   77 STREET between CENTRAL PARK WEST and COLUMBUS AVENUE","Manhattan","64, 7","20, 22, 24","Film","Feature","United States of America","10023, 10024, 10025"
"717492","Theater Load in and Load Outs","2023-05-28T00:01:00.000","2023-05-29T06:00:00.000","2023-05-17T17:52:54.000","Mayor's Office of Film, Theatre & Broadcasting","WEST   31 STREET between 7 AVENUE and 8 AVENUE,  8 AVENUE between WEST   31 STREET and WEST   33 STREET,  WEST   33 STREET between 8 AVENUE and 9 AVENUE","Manhattan","4, 5","14","Theater","Theater","United States of America","10001, 10121"
"717441","Shooting Permit","2023-05-21T06:00:00.000","2023-05-21T22:00:00.000","2023-05-17T15:53:18.000","Mayor's Office of Film, Theatre & Broadcasting","MULBERRY STREET between PRINCE STREET and JERSEY STREET,  MULBERRY STREET between JERSEY STREET and EAST HOUSTON STREET,  CROSBY STREET between BLEEKER STREET and EAST HOUSTON STREET,  BLEECKER STREET between BROADWAY and CROSBY STREET,  ELDRIDGE STREET between HESTER STREET and GRAND STREET","Manhattan","2, 3","5, 6, 7, 9","Commercial","Commercial","United States of America","10002, 10012"
"717424","Shooting Permit","2023-05-25T06:00:00.000","2023-05-25T21:00:00.000","2023-05-17T15:21:58.000","Mayor's Office of Film, Theatre & Broadcasting","WATER STREET between PECK SLIP and DOVER STREET,  DOVER STREET between SOUTH STREET and WATER STREET,  CROSBY STREET between HOWARD STREET and GRAND STREET,  GRAND STREET between CROSBY STREET and LAFAYETTE STREET","Manhattan","1, 2","1, 5","Still Photography","Not Applicable","United States of America","10013, 10038"
"717410","Theater Load in and Load Outs","2023-05-22T00:01:00.000","2023-05-23T06:00:00.000","2023-05-17T15:03:00.000","Mayor's Office of Film, Theatre & Broadcasting","LEXINGTON AVENUE between EAST   23 STREET and EAST   24 STREET","Manhattan","5, 6","13","Theater","Theater","United States of America","10010"
"717399","Shooting Permit","2023-05-23T07:00:00.000","2023-05-23T21:00:00.000","2023-05-17T14:47:08.000","Mayor's Office of Film, Theatre & Broadcasting","SPENCER PLACE between FULTON STREET and HANCOCK STREET","Brooklyn","3","79","Still Photography","Not Applicable","United States of America","11216"
"717390","Shooting Permit","2023-05-19T06:00:00.000","2023-05-19T20:00:00.000","2023-05-17T14:32:12.000","Mayor's Office of Film, Theatre & Broadcasting","WEST  160 STREET between EDGECOMBE AVENUE and ST NICHOLAS AVENUE","Manhattan","12","33","Commercial","Commercial","United States of America","10032"
"717364","Shooting Permit","2023-05-20T14:00:00.000","2023-05-20T23:00:00.000","2023-05-17T13:36:56.000","Mayor's Office of Film, Theatre & Broadcasting","116 AVENUE between 207 STREET and 208 STREET,  DUNKIRK STREET between ILION AVENUE and JORDAN AVENUE,  ILION AVENUE between DUNKIRK STREET and WOOD STREET","Queens","12, 13","105, 113","Still Photography","Not Applicable","United States of America","11411, 11412"
"717348","Shooting Permit","2023-05-22T07:00:00.000","2023-05-23T21:00:00.000","2023-05-17T13:10:25.000","Mayor's Office of Film, Theatre & Broadcasting","SPENCER PLACE between FULTON STREET and HANCOCK STREET","Brooklyn","3","79","Still Photography","Not Applicable","United States of America","11216"
"717317","Shooting Permit","2023-05-22T07:00:00.000","2023-05-22T17:00:00.000","2023-05-17T11:38:32.000","Mayor's Office of Film, Theatre & Broadcasting","EAST   44 STREET between 3 AVENUE and LEXINGTON AVENUE,  LEXINGTON AVENUE between EAST   43 STREET and EAST   44 STREET","Manhattan","5, 6","14, 17","Film","Feature","United States of America","10017, 10170"
"717315","Theater Load in and Load Outs","2023-05-28T00:01:00.000","2023-05-29T06:00:00.000","2023-05-17T11:24:10.000","Mayor's Office of Film, Theatre & Broadcasting","WEST   55 STREET between 11 AVENUE and 12 AVENUE,  WEST   56 STREET between 11 AVENUE and 12 AVENUE,  11 AVENUE between WEST   55 STREET and WEST   56 STREET","Manhattan","4","18","Theater","Theater","United States of America","10019"
"717307","Shooting Permit","2023-05-21T06:00:00.000","2023-05-21T23:30:00.000","2023-05-17T11:14:16.000","Mayor's Office of Film, Theatre & Broadcasting","WOOSTER STREET between CANAL STREET and GRAND STREET,  CHRYSTIE STREET between CANAL STREET and HESTER STREET,  HESTER STREET between CHRYSTIE STREET and BOWERY","Manhattan","1, 2, 3","1, 5","Film","Feature","United States of America","10002, 10013"
"717300","Shooting Permit","2023-05-19T07:00:00.000","2023-05-19T19:00:00.000","2023-05-17T11:07:16.000","Mayor's Office of Film, Theatre & Broadcasting","WEST   23 STREET between 7 AVENUE and 8 AVENUE,  EXCHANGE PLACE between HANOVER STREET and WILLIAM STREET,  HANOVER STREET between EXCHANGE PLACE and WALL STREET","Manhattan","1, 4","1, 10","Still Photography","Not Applicable","United States of America","10004, 10005, 10011"
"717262","Shooting Permit","2023-05-22T06:00:00.000","2023-05-22T22:00:00.000","2023-05-17T09:50:41.000","Mayor's Office of Film, Theatre & Broadcasting","CLIFTON PLACE between FRANKLIN AVENUE and BEDFORD AVENUE,  FRANKLIN AVENUE between CLIFTON PLACE and GREENE AVENUE,  GREENE AVENUE between MARCY AVENUE and TOMPKINS AVENUE","Brooklyn","2, 3","79, 88","Commercial","Commercial","United States of America","11205, 11216, 11221, 11238"
"717250","Shooting Permit","2023-05-21T06:00:00.000","2023-05-21T21:00:00.000","2023-05-17T09:15:06.000","Mayor's Office of Film, Theatre & Broadcasting","WEST    4 STREET between JANE STREET and WEST   12 STREET,  JANE STREET between WEST    4 STREET and GREENWICH STREET,  WEST   12 STREET between 8 AVENUE and GREENWICH AVENUE,  WEST   13 STREET between HUDSON STREET and WEST    4 STREET,  HORATIO STREET between 8 AVENUE and GREENWICH AVENUE,  GREENWICH AVENUE between HORATIO STREET and JANE STREET,  GREENWICH AVENUE between JANE STREET and WEST   12 STREET,  GREENWICH AVENUE between WEST   12 STREET and BANK STREET,  GREENWICH AVENUE between BANK STREET and WEST   11 STREET,  7 AVENUE SOUTH between WEST   11 STREET and PERRY STREET,  KENT STREET between WEST STREET and DEAD END,  JAVA STREET between WEST STREET and DEAD END","Manhattan","1, 2","6, 94","Television","Episodic series","United States of America","10011, 10014, 11222"
