"response_id","gispropnum","omppropid","collected_date","time_of_day","year","month","month_text","week","group","location","ground_syringes","kiosk_syringes","total_syringes","kiosk_number","kiosk_type","precinct","borough","district","property_type","kiosk_site","created_date","source"
"M-001448","M037","M037-ZN07","2021-11-25T00:00:00.000","AM","2021","11","Nov","48","Parks","Highbridge Park","140.0",,"140.0",,,"34","Manhattan","M-12A","ZONE","true","2021-11-26 19:59:45.0000000","M&O MS Forms"
"M-001430","M037","M037-ZN07","2021-11-23T00:00:00.000","AM","2021","11","Nov","48","Parks","Highbridge Park","100.0",,"100.0",,,"34","Manhattan","M-12A","ZONE","true","2021-11-25 12:34:39.0000000","M&O MS Forms"
"M-001429","M037","M037-ZN07","2021-11-23T00:00:00.000","AM","2021","11","Nov","48","Parks","Highbridge Park","100.0",,"100.0",,,"34","Manhattan","M-12A","ZONE","true","2021-11-25 12:34:38.0000000","M&O MS Forms"
"M-001420","M037","M037-ZN07","2021-11-22T00:00:00.000","AM","2021","11","Nov","48","Parks","Highbridge Park","150.0",,"150.0",,,"34","Manhattan","M-12A","ZONE","true","2021-11-25 12:30:43.0000000","M&O MS Forms"
"M-001411","M037","M037-ZN07","2021-11-21T00:00:00.000","AM","2021","11","Nov","48","Parks","Highbridge Park","145.0",,"145.0",,,"34","Manhattan","M-12A","ZONE","true","2021-11-25 12:26:55.0000000","M&O MS Forms"
"M-001393","M037","M037-ZN07","2021-11-19T00:00:00.000","AM","2021","11","Nov","47","Parks","Highbridge Park","163.0",,"163.0",,,"34","Manhattan","M-12A","ZONE","true","2021-11-20 07:08:19.0000000","M&O MS Forms"
"M-001402","M037","M037-ZN07","2021-11-20T00:00:00.000","AM","2021","11","Nov","47","Parks","Highbridge Park","170.0",,"170.0",,,"34","Manhattan","M-12A","ZONE","true","2021-11-20 18:41:14.0000000","M&O MS Forms"
"M-001375","M037","M037-ZN07","2021-11-17T00:00:00.000","AM","2021","11","Nov","47","Parks","Highbridge Park","161.0",,"161.0",,,"34","Manhattan","M-12A","ZONE","true","2021-11-18 17:03:37.0000000","M&O MS Forms"
"M-001383","M037","M037-ZN07","2021-11-18T00:00:00.000","AM","2021","11","Nov","47","Parks","Highbridge Park","170.0",,"170.0",,,"34","Manhattan","M-12A","ZONE","true","2021-11-18 17:06:43.0000000","M&O MS Forms"
"M-001366","M037","M037-ZN07","2021-11-16T00:00:00.000","AM","2021","11","Nov","47","Parks","Highbridge Park","150.0",,"150.0",,,"34","Manhattan","M-12A","ZONE","true","2021-11-18 16:59:53.0000000","M&O MS Forms"
"M-001347","M037","M037-ZN07","2021-11-14T00:00:00.000","AM","2021","11","Nov","47","Parks","Highbridge Park","180.0",,"180.0",,,"34","Manhattan","M-12A","ZONE","true","2021-11-18 16:34:42.0000000","M&O MS Forms"
"M-001346","M037","M037-ZN07","2021-11-14T00:00:00.000","AM","2021","11","Nov","47","Parks","Highbridge Park","180.0",,"180.0",,,"34","Manhattan","M-12A","ZONE","true","2021-11-18 16:34:34.0000000","M&O MS Forms"
"M-001357","M037","M037-ZN07","2021-11-15T00:00:00.000","AM","2021","11","Nov","47","Parks","Highbridge Park","140.0",,"140.0",,,"34","Manhattan","M-12A","ZONE","true","2021-11-18 16:40:04.0000000","M&O MS Forms"
"M-001326","M037","M037-ZN07","2021-11-13T00:00:00.000","AM","2021","11","Nov","46","Parks","Highbridge Park","204.0",,"204.0",,,"34","Manhattan","M-12A","ZONE","true","2021-11-13 15:54:15.0000000","M&O MS Forms"
"M-001308","M037","M037-ZN07","2021-11-11T00:00:00.000","AM","2021","11","Nov","46","Parks","Highbridge Park","200.0",,"200.0",,,"34","Manhattan","M-12A","ZONE","true","2021-11-12 16:00:26.0000000","M&O MS Forms"
"M-001299","M037","M037-ZN07","2021-11-10T00:00:00.000","AM","2021","11","Nov","46","Parks","Highbridge Park","75.0",,"75.0",,,"34","Manhattan","M-12A","ZONE","true","2021-11-12 15:56:48.0000000","M&O MS Forms"
"M-001281","M037","M037-ZN07","2021-11-08T00:00:00.000","AM","2021","11","Nov","46","Parks","Highbridge Park","160.0",,"160.0",,,"34","Manhattan","M-12A","ZONE","true","2021-11-12 15:50:53.0000000","M&O MS Forms"
"M-001290","M037","M037-ZN07","2021-11-09T00:00:00.000","AM","2021","11","Nov","46","Parks","Highbridge Park","180.0",,"180.0",,,"34","Manhattan","M-12A","ZONE","true","2021-11-12 15:54:00.0000000","M&O MS Forms"
"M-001272","M037","M037-ZN07","2021-11-07T00:00:00.000","AM","2021","11","Nov","46","Parks","Highbridge Park","140.0",,"140.0",,,"34","Manhattan","M-12A","ZONE","true","2021-11-12 15:47:59.0000000","M&O MS Forms"
"M-001261","M037","M037-ZN07","2021-11-06T00:00:00.000","AM","2021","11","Nov","45","Parks","Highbridge Park","135.0",,"135.0",,,"34","Manhattan","M-12A","ZONE","true","2021-11-08 12:22:56.0000000","M&O MS Forms"
"M-001250","M037","M037-ZN07","2021-11-05T00:00:00.000","AM","2021","11","Nov","45","Parks","Highbridge Park","150.0",,"150.0",,,"34","Manhattan","M-12A","ZONE","true","2021-11-05 16:11:56.0000000","M&O MS Forms"
"M-001241","M037","M037-ZN07","2021-11-04T00:00:00.000","AM","2021","11","Nov","45","Parks","Highbridge Park","100.0",,"100.0",,,"34","Manhattan","M-12A","ZONE","true","2021-11-05 16:09:24.0000000","M&O MS Forms"
"M-001232","M037","M037-ZN07","2021-11-03T00:00:00.000","AM","2021","11","Nov","45","Parks","Highbridge Park","151.0",,"151.0",,,"34","Manhattan","M-12A","ZONE","true","2021-11-05 16:06:49.0000000","M&O MS Forms"
"M-000631","M037","M037-ZN07","2021-08-03T00:00:00.000","AM","2021","8","Aug","32","BBP","Highbridge Park","465.0",,"465.0",,,"34","Manhattan","M-12A","ZONE","true","2021-08-09 08:19:42.0000000","M&O MS Forms"
"M-000627","M037","M037-ZN07","2021-08-02T00:00:00.000","PM","2021","8","Aug","32","Parks","Highbridge Park","32.0",,"32.0",,,"34","Manhattan","M-12A","ZONE","true","2021-08-09 08:07:30.0000000","M&O MS Forms"
"M-000641","M037","M037-ZN07","2021-08-06T00:00:00.000","PM","2021","8","Aug","32","Parks","Highbridge Park","26.0",,"26.0",,,"34","Manhattan","M-12A","ZONE","true","2021-08-09 08:24:54.0000000","M&O MS Forms"
"M-000638","M037","M037-ZN07","2021-08-05T00:00:00.000","PM","2021","8","Aug","32","Parks","Highbridge Park","75.0",,"75.0",,,"34","Manhattan","M-12A","ZONE","true","2021-08-09 08:23:50.0000000","M&O MS Forms"
"M-000635","M037","M037-ZN07","2021-08-04T00:00:00.000","AM","2021","8","Aug","32","BBP","Highbridge Park","315.0",,"315.0",,,"34","Manhattan","M-12A","ZONE","true","2021-08-09 08:22:19.0000000","M&O MS Forms"
"M-000624","M037","M037-ZN07","2021-08-01T00:00:00.000","PM","2021","8","Aug","32","Parks","Highbridge Park","42.0",,"42.0",,,"34","Manhattan","M-12A","ZONE","true","2021-08-09 08:06:14.0000000","M&O MS Forms"
"M-000571","M037","M037-ZN07","2021-07-23T00:00:00.000","PM","2021","7","Jul","30","Parks","Highbridge Park","42.0",,"42.0",,,"34","Manhattan","M-12A","ZONE","true","2021-07-27 19:53:12.0000000","M&O MS Forms"
"M-000070","M037","M037-ZN07","2021-04-12T00:00:00.000","AM","2021","4","Apr","16","Parks","Highbridge Park","15.0",,"15.0",,,"34","Manhattan","M-12A","ZONE","true","2021-04-15 11:40:43.0000000","M&O MS Forms"
"M-000072","M037","M037-ZN07","2021-04-13T00:00:00.000","AM","2021","4","Apr","16","BBP","Highbridge Park","136.0",,"136.0",,,"34","Manhattan","M-12A","ZONE","true","2021-04-15 11:47:31.0000000","M&O MS Forms"
"M-000074","M037","M037-ZN07","2021-04-14T00:00:00.000","AM","2021","4","Apr","16","BBP","Highbridge Park","345.0",,"345.0",,,"34","Manhattan","M-12A","ZONE","true","2021-04-15 11:48:40.0000000","M&O MS Forms"
"M-000079","M037","M037-ZN07","2021-04-16T00:00:00.000","AM","2021","4","Apr","16","Parks","Highbridge Park","9.0",,"9.0",,,"34","Manhattan","M-12A","ZONE","true","2021-04-17 13:25:18.0000000","M&O MS Forms"
"M-000078","M037","M037-ZN07","2021-04-15T00:00:00.000","PM","2021","4","Apr","16","BBP","Highbridge Park","119.0",,"119.0",,,"34","Manhattan","M-12A","ZONE","true","2021-04-15 22:31:54.0000000","M&O MS Forms"
"M-000097","M037","M037-ZN07","2021-04-18T00:00:00.000","PM","2021","4","Apr","17","Parks","Highbridge Park","26.0",,"26.0",,,"34","Manhattan","M-12A","ZONE","true","2021-04-23 21:56:18.0000000","M&O MS Forms"
"M-000102","M037","M037-ZN07","2021-04-19T00:00:00.000","PM","2021","4","Apr","17","Parks","Highbridge Park","76.0",,"76.0",,,"34","Manhattan","M-12A","ZONE","true","2021-04-23 21:58:17.0000000","M&O MS Forms"
"M-000106","M037","M037-ZN07","2021-04-20T00:00:00.000","PM","2021","4","Apr","17","BBP","Highbridge Park","325.0",,"325.0",,,"34","Manhattan","M-12A","ZONE","true","2021-04-23 21:59:56.0000000","M&O MS Forms"
"M-000114","M037","M037-ZN07","2021-04-23T00:00:00.000","PM","2021","4","Apr","17","Parks","Highbridge Park","30.0",,"30.0",,,"34","Manhattan","M-12A","ZONE","true","2021-04-23 22:03:27.0000000","M&O MS Forms"
"M-000109","M037","M037-ZN07","2021-04-21T00:00:00.000","PM","2021","4","Apr","17","BBP","Highbridge Park","343.0",,"343.0",,,"34","Manhattan","M-12A","ZONE","true","2021-04-23 22:01:19.0000000","M&O MS Forms"
"M-000112","M037","M037-ZN07","2021-04-22T00:00:00.000","PM","2021","4","Apr","17","BBP","Highbridge Park","467.0",,"467.0",,,"34","Manhattan","M-12A","ZONE","true","2021-04-23 22:02:33.0000000","M&O MS Forms"
"M-000139","M037","M037-ZN07","2021-04-25T00:00:00.000","PM","2021","4","Apr","18","Parks","Highbridge Park","41.0",,"41.0",,,"34","Manhattan","M-12A","ZONE","true","2021-04-30 19:45:21.0000000","M&O MS Forms"
"M-000144","M037","M037-ZN07","2021-04-26T00:00:00.000","PM","2021","4","Apr","18","Parks","Highbridge Park","61.0",,"61.0",,,"34","Manhattan","M-12A","ZONE","true","2021-04-30 23:16:04.0000000","M&O MS Forms"
"M-000131","M037","M037-ZN07","2021-04-29T00:00:00.000","AM","2021","4","Apr","18","BBP","Highbridge Park","513.0",,"513.0",,,"34","Manhattan","M-12A","ZONE","true","2021-04-29 16:32:49.0000000","M&O MS Forms"
"M-000129","M037","M037-ZN07","2021-04-28T00:00:00.000","AM","2021","4","Apr","18","BBP","Highbridge Park","467.0",,"467.0",,,"34","Manhattan","M-12A","ZONE","true","2021-04-28 18:19:49.0000000","M&O MS Forms"
"M-000181","M037","M037-ZN07","2021-05-02T00:00:00.000","PM","2021","5","May","19","Parks","Highbridge Park","85.0",,"85.0",,,"34","Manhattan","M-12A","ZONE","true","2021-05-07 19:37:34.0000000","M&O MS Forms"
"M-000188","M037","M037-ZN07","2021-05-07T00:00:00.000","PM","2021","5","May","19","BBP","Highbridge Park","260.0",,"260.0",,,"34","Manhattan","M-12A","ZONE","true","2021-05-07 19:40:58.0000000","M&O MS Forms"
"M-000186","M037","M037-ZN07","2021-05-03T00:00:00.000","PM","2021","5","May","19","Parks","Highbridge Park","85.0",,"85.0",,,"34","Manhattan","M-12A","ZONE","true","2021-05-07 19:40:05.0000000","M&O MS Forms"
"M-000197","M037","M037-ZN07","2021-05-07T00:00:00.000","PM","2021","5","May","19","Parks","Highbridge Park","28.0",,"28.0",,,"34","Manhattan","M-12A","ZONE","true","2021-05-07 19:46:27.0000000","M&O MS Forms"
"M-000195","M037","M037-ZN07","2021-05-06T00:00:00.000","PM","2021","5","May","19","BBP","Highbridge Park","136.0",,"136.0",,,"34","Manhattan","M-12A","ZONE","true","2021-05-07 19:44:03.0000000","M&O MS Forms"
"M-000191","M037","M037-ZN07","2021-05-05T00:00:00.000","PM","2021","5","May","19","BBP","Highbridge Park","95.0",,"95.0",,,"34","Manhattan","M-12A","ZONE","true","2021-05-07 19:42:24.0000000","M&O MS Forms"
"M-000219","M037","M037-ZN07","2021-05-10T00:00:00.000","PM","2021","5","May","20","Parks","Highbridge Park","82.0",,"82.0",,,"34","Manhattan","M-12A","ZONE","true","2021-05-15 07:48:40.0000000","M&O MS Forms"
"M-000216","M037","M037-ZN07","2021-05-09T00:00:00.000","PM","2021","5","May","20","Parks","Highbridge Park","165.0",,"165.0",,,"34","Manhattan","M-12A","ZONE","true","2021-05-15 07:47:32.0000000","M&O MS Forms"
"M-000203","M037","M037-ZN07","2021-05-12T00:00:00.000","AM","2021","5","May","20","BBP","Highbridge Park","483.0",,"483.0",,,"34","Manhattan","M-12A","ZONE","true","2021-05-12 13:30:41.0000000","M&O MS Forms"
"M-000178","M037","M037-ZN07","2021-05-06T00:00:00.000","PM","2021","5","May","19","BBP","Highbridge Park","136.0",,"136.0",,,"34","Manhattan","M-12A","ZONE","true","2021-05-06 13:41:19.0000000","M&O MS Forms"
"M-000177","M037","M037-ZN07","2021-05-05T00:00:00.000","PM","2021","5","May","19","BBP","Highbridge Park","63.0",,"63.0",,,"34","Manhattan","M-12A","ZONE","true","2021-05-05 14:04:03.0000000","M&O MS Forms"
"M-000146","M037","M037-ZN07","2021-04-27T00:00:00.000","PM","2021","4","Apr","18","BBP","Highbridge Park","350.0",,"350.0",,,"34","Manhattan","M-12A","ZONE","true","2021-04-30 23:17:37.0000000","M&O MS Forms"
"M-000149","M037","M037-ZN07","2021-04-28T00:00:00.000","PM","2021","4","Apr","18","BBP","Highbridge Park","410.0",,"410.0",,,"34","Manhattan","M-12A","ZONE","true","2021-04-30 23:19:19.0000000","M&O MS Forms"
"M-000151","M037","M037-ZN07","2021-04-29T00:00:00.000","PM","2021","4","Apr","18","BBP","Highbridge Park","375.0",,"375.0",,,"34","Manhattan","M-12A","ZONE","true","2021-04-30 23:20:20.0000000","M&O MS Forms"
"M-000154","M037","M037-ZN07","2021-04-30T00:00:00.000","PM","2021","4","Apr","18","Parks","Highbridge Park","38.0",,"38.0",,,"34","Manhattan","M-12A","ZONE","true","2021-04-30 23:21:42.0000000","M&O MS Forms"
"M-000297","M037","M037-ZN07","2021-05-23T00:00:00.000","PM","2021","5","May","22","Parks","Highbridge Park","148.0",,"148.0",,,"34","Manhattan","M-12A","ZONE","true","2021-05-29 08:45:39.0000000","M&O MS Forms"
"M-000305","M037","M037-ZN07","2021-05-25T00:00:00.000","PM","2021","5","May","22","Parks","Highbridge Park","55.0",,"55.0",,,"34","Manhattan","M-12A","ZONE","true","2021-05-29 08:49:42.0000000","M&O MS Forms"
"M-000308","M037","M037-ZN07","2021-05-26T00:00:00.000","PM","2021","5","May","22","Parks","Highbridge Park","90.0",,"90.0",,,"34","Manhattan","M-12A","ZONE","true","2021-05-29 08:51:14.0000000","M&O MS Forms"
"M-000310","M037","M037-ZN07","2021-05-27T00:00:00.000","PM","2021","5","May","22","Parks","Highbridge Park","20.0",,"20.0",,,"34","Manhattan","M-12A","ZONE","true","2021-05-29 08:52:15.0000000","M&O MS Forms"
"M-000314","M037","M037-ZN07","2021-05-28T00:00:00.000","PM","2021","5","May","22","Parks","Highbridge Park","40.0",,"40.0",,,"34","Manhattan","M-12A","ZONE","true","2021-05-29 08:54:15.0000000","M&O MS Forms"
"M-000359","M037","M037-ZN07","2021-06-03T00:00:00.000","PM","2021","6","Jun","23","Parks","Highbridge Park","24.0",,"24.0",,,"34","Manhattan","M-12A","ZONE","true","2021-06-05 09:02:49.0000000","M&O MS Forms"
"M-000355","M037","M037-ZN07","2021-06-02T00:00:00.000","AM","2021","6","Jun","23","BBP","Highbridge Park","375.0",,"375.0",,,"34","Manhattan","M-12A","ZONE","true","2021-06-05 09:00:53.0000000","M&O MS Forms"
"M-000347","M037","M037-ZN07","2021-05-30T00:00:00.000","PM","2021","5","May","23","Parks","Highbridge Park","9.0",,"9.0",,,"34","Manhattan","M-12A","ZONE","true","2021-06-05 08:57:36.0000000","M&O MS Forms"
"M-000349","M037","M037-ZN07","2021-05-31T00:00:00.000","PM","2021","5","May","23","Parks","Highbridge Park","14.0",,"14.0",,,"34","Manhattan","M-12A","ZONE","true","2021-06-05 08:58:15.0000000","M&O MS Forms"
"M-000351","M037","M037-ZN07","2021-06-01T00:00:00.000","AM","2021","6","Jun","23","BBP","Highbridge Park","560.0",,"560.0",,,"34","Manhattan","M-12A","ZONE","true","2021-06-05 08:59:05.0000000","M&O MS Forms"
"M-000272","M037","M037-ZN07","2021-05-21T00:00:00.000","PM","2021","5","May","21","Parks","Highbridge Park","35.0",,"35.0",,,"34","Manhattan","M-12A","ZONE","true","2021-05-21 20:33:42.0000000","M&O MS Forms"
"M-000270","M037","M037-ZN07","2021-05-20T00:00:00.000","PM","2021","5","May","21","BBP","Highbridge Park","360.0",,"360.0",,,"34","Manhattan","M-12A","ZONE","true","2021-05-21 20:32:47.0000000","M&O MS Forms"
"M-000299","M037","M037-ZN07","2021-05-24T00:00:00.000","PM","2021","5","May","22","Parks","Highbridge Park","36.0",,"36.0",,,"34","Manhattan","M-12A","ZONE","true","2021-05-29 08:46:25.0000000","M&O MS Forms"
"M-000266","M037","M037-ZN07","2021-05-19T00:00:00.000","PM","2021","5","May","21","BBP","Highbridge Park","331.0",,"331.0",,,"34","Manhattan","M-12A","ZONE","true","2021-05-21 20:30:27.0000000","M&O MS Forms"
"M-000262","M037","M037-ZN07","2021-05-18T00:00:00.000","PM","2021","5","May","21","Parks","Highbridge Park","60.0",,"60.0",,,"34","Manhattan","M-12A","ZONE","true","2021-05-21 20:28:48.0000000","M&O MS Forms"
"M-000226","M037","M037-ZN07","2021-05-12T00:00:00.000","PM","2021","5","May","20","BBP","Highbridge Park","415.0",,"415.0",,,"34","Manhattan","M-12A","ZONE","true","2021-05-15 07:51:21.0000000","M&O MS Forms"
"M-000223","M037","M037-ZN07","2021-05-11T00:00:00.000","PM","2021","5","May","20","BBP","Highbridge Park","288.0",,"288.0",,,"34","Manhattan","M-12A","ZONE","true","2021-05-15 07:50:18.0000000","M&O MS Forms"
"M-000232","M037","M037-ZN07","2021-05-14T00:00:00.000","PM","2021","5","May","20","Parks","Highbridge Park","19.0",,"19.0",,,"34","Manhattan","M-12A","ZONE","true","2021-05-15 07:53:54.0000000","M&O MS Forms"
"M-000230","M037","M037-ZN07","2021-05-13T00:00:00.000","AM","2021","5","May","20","BBP","Highbridge Park","455.0",,"455.0",,,"34","Manhattan","M-12A","ZONE","true","2021-05-15 07:53:16.0000000","M&O MS Forms"
"M-000258","M037","M037-ZN07","2021-05-16T00:00:00.000","PM","2021","5","May","21","Parks","Highbridge Park","105.0",,"105.0",,,"34","Manhattan","M-12A","ZONE","true","2021-05-21 18:27:08.0000000","M&O MS Forms"
"M-003775","M037","M037-ZN07","2022-07-21T00:00:00.000","AM","2022","7","Jul","30","Parks","Highbridge Park","152.0",,"152.0",,,"34","Manhattan","M-12A","ZONE","true","2022-07-23 15:34:06.0000000","M&O MS Forms"
"M-003790","M037","M037-ZN07","2022-07-23T00:00:00.000","AM","2022","7","Jul","30","Parks","Highbridge Park","140.0",,"140.0",,,"34","Manhattan","M-12A","ZONE","true","2022-07-24 12:11:38.0000000","M&O MS Forms"
"M-003784","M037","M037-ZN07","2022-07-22T00:00:00.000","AM","2022","7","Jul","30","Parks","Highbridge Park","117.0",,"117.0",,,"34","Manhattan","M-12A","ZONE","true","2022-07-23 15:37:06.0000000","M&O MS Forms"
"M-003766","M037","M037-ZN07","2022-07-20T00:00:00.000","AM","2022","7","Jul","30","Parks","Highbridge Park","125.0",,"125.0",,,"34","Manhattan","M-12A","ZONE","true","2022-07-23 15:30:45.0000000","M&O MS Forms"
"M-003756","M037","M037-ZN07","2022-07-19T00:00:00.000","AM","2022","7","Jul","30","Parks","Highbridge Park","110.0",,"110.0",,,"34","Manhattan","M-12A","ZONE","true","2022-07-23 15:26:49.0000000","M&O MS Forms"
"M-003747","M037","M037-ZN07","2022-07-18T00:00:00.000","AM","2022","7","Jul","30","Parks","Highbridge Park","90.0",,"90.0",,,"34","Manhattan","M-12A","ZONE","true","2022-07-23 15:23:00.0000000","M&O MS Forms"
"M-003738","M037","M037-ZN07","2022-07-17T00:00:00.000","AM","2022","7","Jul","30","Parks","Highbridge Park","85.0",,"85.0",,,"34","Manhattan","M-12A","ZONE","true","2022-07-23 15:19:05.0000000","M&O MS Forms"
"M-003727","M037","M037-ZN07","2022-07-16T00:00:00.000","AM","2022","7","Jul","29","Parks","Highbridge Park","225.0",,"225.0",,,"34","Manhattan","M-12A","ZONE","true","2022-07-17 17:51:35.0000000","M&O MS Forms"
"M-003709","M037","M037-ZN07","2022-07-14T00:00:00.000","AM","2022","7","Jul","29","Parks","Highbridge Park","96.0",,"96.0",,,"34","Manhattan","M-12A","ZONE","true","2022-07-16 09:48:59.0000000","M&O MS Forms"
"M-003718","M037","M037-ZN07","2022-07-15T00:00:00.000","AM","2022","7","Jul","29","Parks","Highbridge Park","175.0",,"175.0",,,"34","Manhattan","M-12A","ZONE","true","2022-07-16 09:51:27.0000000","M&O MS Forms"
"M-003688","M037","M037-ZN07","2022-07-11T00:00:00.000","AM","2022","7","Jul","29","Parks","Highbridge Park","85.0",,"85.0",,,"34","Manhattan","M-12A","ZONE","true","2022-07-16 09:42:48.0000000","M&O MS Forms"
"M-003697","M037","M037-ZN07","2022-07-12T00:00:00.000","AM","2022","7","Jul","29","Parks","Highbridge Park","123.0",,"123.0",,,"34","Manhattan","M-12A","ZONE","true","2022-07-16 09:45:22.0000000","M&O MS Forms"
"M-003702","M037","M037-ZN07","2022-07-13T00:00:00.000","AM","2022","7","Jul","29","Parks","Highbridge Park","56.0",,"56.0",,,"34","Manhattan","M-12A","ZONE","true","2022-07-16 09:46:50.0000000","M&O MS Forms"
"M-003679","M037","M037-ZN07","2022-07-10T00:00:00.000","AM","2022","7","Jul","29","Parks","Highbridge Park","150.0",,"150.0",,,"34","Manhattan","M-12A","ZONE","true","2022-07-16 09:36:10.0000000","M&O MS Forms"
"M-004629","M037","M037-ZN07","2022-10-18T00:00:00.000","AM","2022","10","Oct","43","Parks","Highbridge Park","45.0",,"45.0",,,"34","Manhattan","M-12A","ZONE","true","2022-10-25 06:05:20.0000000","M&O MS Forms"
"M-004638","M037","M037-ZN07","2022-10-19T00:00:00.000","AM","2022","10","Oct","43","Parks","Highbridge Park","70.0",,"70.0",,,"34","Manhattan","M-12A","ZONE","true","2022-10-25 06:07:53.0000000","M&O MS Forms"
"M-004609","M037","M037-ZN07","2022-10-17T00:00:00.000","AM","2022","10","Oct","43","Parks","Highbridge Park","40.0",,"40.0",,,"34","Manhattan","M-12A","ZONE","true","2022-10-19 06:40:23.0000000","M&O MS Forms"
"M-004600","M037","M037-ZN07","2022-10-16T00:00:00.000","AM","2022","10","Oct","43","Parks","Highbridge Park","55.0",,"55.0",,,"34","Manhattan","M-12A","ZONE","true","2022-10-19 06:23:38.0000000","M&O MS Forms"
"M-003866","M037","M037-ZN07","2022-07-31T00:00:00.000","AM","2022","7","Jul","32","Parks","Highbridge Park","136.0",,"136.0",,,"34","Manhattan","M-12A","ZONE","true","2022-07-31 16:58:29.0000000","M&O MS Forms"
"M-003857","M037","M037-ZN07","2022-07-30T00:00:00.000","AM","2022","7","Jul","31","Parks","Highbridge Park","182.0",,"182.0",,,"34","Manhattan","M-12A","ZONE","true","2022-07-31 09:43:50.0000000","M&O MS Forms"
