"geoid","countyfips","borocode","boroname","boroct2020","ct2020","ctlabel","ntacode","ntatype","ntaname","ntaabbrev","cdtacode","cdtatype","cdtaname"
"36005014100","005","2","Bronx","2014100","014100","141","BX0301","0","Morrisania","Mrrsnia","BX03","CD","BX03 Morrisania-Crotona Park East (CD 3 Approximation)"
"36005014900","005","2","Bronx","2014900","014900","149","BX0301","0","Morrisania","Mrrsnia","BX03","CD","BX03 Morrisania-Crotona Park East (CD 3 Approximation)"
"36005015100","005","2","Bronx","2015100","015100","151","BX0301","0","Morrisania","Mrrsnia","BX03","CD","BX03 Morrisania-Crotona Park East (CD 3 Approximation)"
"36005018501","005","2","Bronx","2018501","018501","185.01","BX0301","0","Morrisania","Mrrsnia","BX03","CD","BX03 Morrisania-Crotona Park East (CD 3 Approximation)"
"36005018502","005","2","Bronx","2018502","018502","185.02","BX0301","0","Morrisania","Mrrsnia","BX03","CD","BX03 Morrisania-Crotona Park East (CD 3 Approximation)"
"36005014500","005","2","Bronx","2014500","014500","145","BX0302","0","Claremont Village-Claremont (East)","ClrmntVlg","BX03","CD","BX03 Morrisania-Crotona Park East (CD 3 Approximation)"
"36005014701","005","2","Bronx","2014701","014701","147.01","BX0302","0","Claremont Village-Claremont (East)","ClrmntVlg","BX03","CD","BX03 Morrisania-Crotona Park East (CD 3 Approximation)"
"36005014702","005","2","Bronx","2014702","014702","147.02","BX0302","0","Claremont Village-Claremont (East)","ClrmntVlg","BX03","CD","BX03 Morrisania-Crotona Park East (CD 3 Approximation)"
"36005016500","005","2","Bronx","2016500","016500","165","BX0302","0","Claremont Village-Claremont (East)","ClrmntVlg","BX03","CD","BX03 Morrisania-Crotona Park East (CD 3 Approximation)"
"36005016700","005","2","Bronx","2016700","016700","167","BX0302","0","Claremont Village-Claremont (East)","ClrmntVlg","BX03","CD","BX03 Morrisania-Crotona Park East (CD 3 Approximation)"
"36005016900","005","2","Bronx","2016900","016900","169","BX0302","0","Claremont Village-Claremont (East)","ClrmntVlg","BX03","CD","BX03 Morrisania-Crotona Park East (CD 3 Approximation)"
"36005012101","005","2","Bronx","2012101","012101","121.01","BX0303","0","Crotona Park East","CrtnaPkEst","BX03","CD","BX03 Morrisania-Crotona Park East (CD 3 Approximation)"
"36005012300","005","2","Bronx","2012300","012300","123","BX0303","0","Crotona Park East","CrtnaPkEst","BX03","CD","BX03 Morrisania-Crotona Park East (CD 3 Approximation)"
"36005012500","005","2","Bronx","2012500","012500","125","BX0303","0","Crotona Park East","CrtnaPkEst","BX03","CD","BX03 Morrisania-Crotona Park East (CD 3 Approximation)"
"36005015300","005","2","Bronx","2015300","015300","153","BX0303","0","Crotona Park East","CrtnaPkEst","BX03","CD","BX03 Morrisania-Crotona Park East (CD 3 Approximation)"
"36005015500","005","2","Bronx","2015500","015500","155","BX0303","0","Crotona Park East","CrtnaPkEst","BX03","CD","BX03 Morrisania-Crotona Park East (CD 3 Approximation)"
"36005015700","005","2","Bronx","2015700","015700","157","BX0303","0","Crotona Park East","CrtnaPkEst","BX03","CD","BX03 Morrisania-Crotona Park East (CD 3 Approximation)"
"36005016100","005","2","Bronx","2016100","016100","161","BX0303","0","Crotona Park East","CrtnaPkEst","BX03","CD","BX03 Morrisania-Crotona Park East (CD 3 Approximation)"
"36005016300","005","2","Bronx","2016300","016300","163","BX0391","9","Crotona Park","CrtnaPk","BX03","CD","BX03 Morrisania-Crotona Park East (CD 3 Approximation)"
"36005005902","005","2","Bronx","2005902","005902","59.02","BX0401","0","Concourse-Concourse Village","Cncrs","BX04","CD","BX04 Highbridge-Concourse (CD 4 Approximation)"
"36005006100","005","2","Bronx","2006100","006100","61","BX0401","0","Concourse-Concourse Village","Cncrs","BX04","CD","BX04 Highbridge-Concourse (CD 4 Approximation)"
"36005006301","005","2","Bronx","2006301","006301","63.01","BX0401","0","Concourse-Concourse Village","Cncrs","BX04","CD","BX04 Highbridge-Concourse (CD 4 Approximation)"
"36005014300","005","2","Bronx","2014300","014300","143","BX0401","0","Concourse-Concourse Village","Cncrs","BX04","CD","BX04 Highbridge-Concourse (CD 4 Approximation)"
"36005017300","005","2","Bronx","2017300","017300","173","BX0401","0","Concourse-Concourse Village","Cncrs","BX04","CD","BX04 Highbridge-Concourse (CD 4 Approximation)"
"36005017500","005","2","Bronx","2017500","017500","175","BX0401","0","Concourse-Concourse Village","Cncrs","BX04","CD","BX04 Highbridge-Concourse (CD 4 Approximation)"
"36005017701","005","2","Bronx","2017701","017701","177.01","BX0401","0","Concourse-Concourse Village","Cncrs","BX04","CD","BX04 Highbridge-Concourse (CD 4 Approximation)"
"36005017901","005","2","Bronx","2017901","017901","179.01","BX0401","0","Concourse-Concourse Village","Cncrs","BX04","CD","BX04 Highbridge-Concourse (CD 4 Approximation)"
"36005018101","005","2","Bronx","2018101","018101","181.01","BX0401","0","Concourse-Concourse Village","Cncrs","BX04","CD","BX04 Highbridge-Concourse (CD 4 Approximation)"
"36005018102","005","2","Bronx","2018102","018102","181.02","BX0401","0","Concourse-Concourse Village","Cncrs","BX04","CD","BX04 Highbridge-Concourse (CD 4 Approximation)"
"36005018301","005","2","Bronx","2018301","018301","183.01","BX0401","0","Concourse-Concourse Village","Cncrs","BX04","CD","BX04 Highbridge-Concourse (CD 4 Approximation)"
"36005018302","005","2","Bronx","2018302","018302","183.02","BX0401","0","Concourse-Concourse Village","Cncrs","BX04","CD","BX04 Highbridge-Concourse (CD 4 Approximation)"
"36005019500","005","2","Bronx","2019500","019500","195","BX0401","0","Concourse-Concourse Village","Cncrs","BX04","CD","BX04 Highbridge-Concourse (CD 4 Approximation)"
"36005019700","005","2","Bronx","2019700","019700","197","BX0401","0","Concourse-Concourse Village","Cncrs","BX04","CD","BX04 Highbridge-Concourse (CD 4 Approximation)"
"36005018900","005","2","Bronx","2018900","018900","189","BX0402","0","Highbridge","Hghbrdg","BX04","CD","BX04 Highbridge-Concourse (CD 4 Approximation)"
"36005019300","005","2","Bronx","2019300","019300","193","BX0402","0","Highbridge","Hghbrdg","BX04","CD","BX04 Highbridge-Concourse (CD 4 Approximation)"
"36005019900","005","2","Bronx","2019900","019900","199","BX0402","0","Highbridge","Hghbrdg","BX04","CD","BX04 Highbridge-Concourse (CD 4 Approximation)"
"36005020100","005","2","Bronx","2020100","020100","201","BX0402","0","Highbridge","Hghbrdg","BX04","CD","BX04 Highbridge-Concourse (CD 4 Approximation)"
"36005021100","005","2","Bronx","2021100","021100","211","BX0402","0","Highbridge","Hghbrdg","BX04","CD","BX04 Highbridge-Concourse (CD 4 Approximation)"
"36005017702","005","2","Bronx","2017702","017702","177.02","BX0403","0","Mount Eden-Claremont (West)","MtEdn","BX04","CD","BX04 Highbridge-Concourse (CD 4 Approximation)"
"36005017902","005","2","Bronx","2017902","017902","179.02","BX0403","0","Mount Eden-Claremont (West)","MtEdn","BX04","CD","BX04 Highbridge-Concourse (CD 4 Approximation)"
"36005020900","005","2","Bronx","2020900","020900","209","BX0403","0","Mount Eden-Claremont (West)","MtEdn","BX04","CD","BX04 Highbridge-Concourse (CD 4 Approximation)"
"36005021302","005","2","Bronx","2021302","021302","213.02","BX0403","0","Mount Eden-Claremont (West)","MtEdn","BX04","CD","BX04 Highbridge-Concourse (CD 4 Approximation)"
"36005021900","005","2","Bronx","2021900","021900","219","BX0403","0","Mount Eden-Claremont (West)","MtEdn","BX04","CD","BX04 Highbridge-Concourse (CD 4 Approximation)"
"36005022101","005","2","Bronx","2022101","022101","221.01","BX0403","0","Mount Eden-Claremont (West)","MtEdn","BX04","CD","BX04 Highbridge-Concourse (CD 4 Approximation)"
"36005022102","005","2","Bronx","2022102","022102","221.02","BX0403","0","Mount Eden-Claremont (West)","MtEdn","BX04","CD","BX04 Highbridge-Concourse (CD 4 Approximation)"
"36005022300","005","2","Bronx","2022300","022300","223","BX0403","0","Mount Eden-Claremont (West)","MtEdn","BX04","CD","BX04 Highbridge-Concourse (CD 4 Approximation)"
"36005022500","005","2","Bronx","2022500","022500","225","BX0403","0","Mount Eden-Claremont (West)","MtEdn","BX04","CD","BX04 Highbridge-Concourse (CD 4 Approximation)"
"36005022702","005","2","Bronx","2022702","022702","227.02","BX0403","0","Mount Eden-Claremont (West)","MtEdn","BX04","CD","BX04 Highbridge-Concourse (CD 4 Approximation)"
"36005022703","005","2","Bronx","2022703","022703","227.03","BX0403","0","Mount Eden-Claremont (West)","MtEdn","BX04","CD","BX04 Highbridge-Concourse (CD 4 Approximation)"
"36005022902","005","2","Bronx","2022902","022902","229.02","BX0403","0","Mount Eden-Claremont (West)","MtEdn","BX04","CD","BX04 Highbridge-Concourse (CD 4 Approximation)"
"36005006302","005","2","Bronx","2006302","006302","63.02","BX0491","9","Yankee Stadium-Macombs Dam Park","YnkStdm","BX04","CD","BX04 Highbridge-Concourse (CD 4 Approximation)"
"36005017100","005","2","Bronx","2017100","017100","171","BX0492","9","Claremont Park","ClrmntPk","BX04","CD","BX04 Highbridge-Concourse (CD 4 Approximation)"
"36005005300","005","2","Bronx","2005300","005300","53","BX0501","0","University Heights (South)-Morris Heights","UnvrsHts_S","BX05","CD","BX05 Morris Heights-Mount Hope (CD 5 Approximation)"
"36005020501","005","2","Bronx","2020501","020501","205.01","BX0501","0","University Heights (South)-Morris Heights","UnvrsHts_S","BX05","CD","BX05 Morris Heights-Mount Hope (CD 5 Approximation)"
"36005020502","005","2","Bronx","2020502","020502","205.02","BX0501","0","University Heights (South)-Morris Heights","UnvrsHts_S","BX05","CD","BX05 Morris Heights-Mount Hope (CD 5 Approximation)"
"36005021301","005","2","Bronx","2021301","021301","213.01","BX0501","0","University Heights (South)-Morris Heights","UnvrsHts_S","BX05","CD","BX05 Morris Heights-Mount Hope (CD 5 Approximation)"
"36005021501","005","2","Bronx","2021501","021501","215.01","BX0501","0","University Heights (South)-Morris Heights","UnvrsHts_S","BX05","CD","BX05 Morris Heights-Mount Hope (CD 5 Approximation)"
"36005021502","005","2","Bronx","2021502","021502","215.02","BX0501","0","University Heights (South)-Morris Heights","UnvrsHts_S","BX05","CD","BX05 Morris Heights-Mount Hope (CD 5 Approximation)"
"36005021700","005","2","Bronx","2021700","021700","217","BX0501","0","University Heights (South)-Morris Heights","UnvrsHts_S","BX05","CD","BX05 Morris Heights-Mount Hope (CD 5 Approximation)"
"36005024300","005","2","Bronx","2024300","024300","243","BX0501","0","University Heights (South)-Morris Heights","UnvrsHts_S","BX05","CD","BX05 Morris Heights-Mount Hope (CD 5 Approximation)"
"36005024501","005","2","Bronx","2024501","024501","245.01","BX0501","0","University Heights (South)-Morris Heights","UnvrsHts_S","BX05","CD","BX05 Morris Heights-Mount Hope (CD 5 Approximation)"
"36005024502","005","2","Bronx","2024502","024502","245.02","BX0501","0","University Heights (South)-Morris Heights","UnvrsHts_S","BX05","CD","BX05 Morris Heights-Mount Hope (CD 5 Approximation)"
"36005024700","005","2","Bronx","2024700","024700","247","BX0501","0","University Heights (South)-Morris Heights","UnvrsHts_S","BX05","CD","BX05 Morris Heights-Mount Hope (CD 5 Approximation)"
"36005024900","005","2","Bronx","2024900","024900","249","BX0501","0","University Heights (South)-Morris Heights","UnvrsHts_S","BX05","CD","BX05 Morris Heights-Mount Hope (CD 5 Approximation)"
"36005025100","005","2","Bronx","2025100","025100","251","BX0501","0","University Heights (South)-Morris Heights","UnvrsHts_S","BX05","CD","BX05 Morris Heights-Mount Hope (CD 5 Approximation)"
"36005022701","005","2","Bronx","2022701","022701","227.01","BX0502","0","Mount Hope","MtHp","BX05","CD","BX05 Morris Heights-Mount Hope (CD 5 Approximation)"
"36005022901","005","2","Bronx","2022901","022901","229.01","BX0502","0","Mount Hope","MtHp","BX05","CD","BX05 Morris Heights-Mount Hope (CD 5 Approximation)"
"36005023100","005","2","Bronx","2023100","023100","231","BX0502","0","Mount Hope","MtHp","BX05","CD","BX05 Morris Heights-Mount Hope (CD 5 Approximation)"
"36005023301","005","2","Bronx","2023301","023301","233.01","BX0502","0","Mount Hope","MtHp","BX05","CD","BX05 Morris Heights-Mount Hope (CD 5 Approximation)"
"36005023302","005","2","Bronx","2023302","023302","233.02","BX0502","0","Mount Hope","MtHp","BX05","CD","BX05 Morris Heights-Mount Hope (CD 5 Approximation)"
"36005023501","005","2","Bronx","2023501","023501","235.01","BX0502","0","Mount Hope","MtHp","BX05","CD","BX05 Morris Heights-Mount Hope (CD 5 Approximation)"
"36005023502","005","2","Bronx","2023502","023502","235.02","BX0502","0","Mount Hope","MtHp","BX05","CD","BX05 Morris Heights-Mount Hope (CD 5 Approximation)"
"36005024100","005","2","Bronx","2024100","024100","241","BX0502","0","Mount Hope","MtHp","BX05","CD","BX05 Morris Heights-Mount Hope (CD 5 Approximation)"
"36005037900","005","2","Bronx","2037900","037900","379","BX0502","0","Mount Hope","MtHp","BX05","CD","BX05 Morris Heights-Mount Hope (CD 5 Approximation)"
"36005038100","005","2","Bronx","2038100","038100","381","BX0502","0","Mount Hope","MtHp","BX05","CD","BX05 Morris Heights-Mount Hope (CD 5 Approximation)"
"36005023702","005","2","Bronx","2023702","023702","237.02","BX0503","0","Fordham Heights","FrdhmHts","BX05","CD","BX05 Morris Heights-Mount Hope (CD 5 Approximation)"
"36005023703","005","2","Bronx","2023703","023703","237.03","BX0503","0","Fordham Heights","FrdhmHts","BX05","CD","BX05 Morris Heights-Mount Hope (CD 5 Approximation)"
"36005023704","005","2","Bronx","2023704","023704","237.04","BX0503","0","Fordham Heights","FrdhmHts","BX05","CD","BX05 Morris Heights-Mount Hope (CD 5 Approximation)"
"36005023900","005","2","Bronx","2023900","023900","239","BX0503","0","Fordham Heights","FrdhmHts","BX05","CD","BX05 Morris Heights-Mount Hope (CD 5 Approximation)"
"36005038301","005","2","Bronx","2038301","038301","383.01","BX0503","0","Fordham Heights","FrdhmHts","BX05","CD","BX05 Morris Heights-Mount Hope (CD 5 Approximation)"
"36005038303","005","2","Bronx","2038303","038303","383.03","BX0503","0","Fordham Heights","FrdhmHts","BX05","CD","BX05 Morris Heights-Mount Hope (CD 5 Approximation)"
"36005039902","005","2","Bronx","2039902","039902","399.02","BX0503","0","Fordham Heights","FrdhmHts","BX05","CD","BX05 Morris Heights-Mount Hope (CD 5 Approximation)"
"36005006000","005","2","Bronx","2006000","006000","60","BX0601","0","West Farms","WstFrms","BX06","CD","BX06 Tremont-Belmont-West Farms (CD 6 Approximation)"
"36005022000","005","2","Bronx","2022000","022000","220","BX0601","0","West Farms","WstFrms","BX06","CD","BX06 Tremont-Belmont-West Farms (CD 6 Approximation)"
"36005035900","005","2","Bronx","2035900","035900","359","BX0601","0","West Farms","WstFrms","BX06","CD","BX06 Tremont-Belmont-West Farms (CD 6 Approximation)"
"36005036100","005","2","Bronx","2036100","036100","361","BX0601","0","West Farms","WstFrms","BX06","CD","BX06 Tremont-Belmont-West Farms (CD 6 Approximation)"
"36005036300","005","2","Bronx","2036300","036300","363","BX0601","0","West Farms","WstFrms","BX06","CD","BX06 Tremont-Belmont-West Farms (CD 6 Approximation)"
"36005036501","005","2","Bronx","2036501","036501","365.01","BX0602","0","Tremont","Trmnt","BX06","CD","BX06 Tremont-Belmont-West Farms (CD 6 Approximation)"
"36005036502","005","2","Bronx","2036502","036502","365.02","BX0602","0","Tremont","Trmnt","BX06","CD","BX06 Tremont-Belmont-West Farms (CD 6 Approximation)"
"36005036700","005","2","Bronx","2036700","036700","367","BX0602","0","Tremont","Trmnt","BX06","CD","BX06 Tremont-Belmont-West Farms (CD 6 Approximation)"
"36005036901","005","2","Bronx","2036901","036901","369.01","BX0602","0","Tremont","Trmnt","BX06","CD","BX06 Tremont-Belmont-West Farms (CD 6 Approximation)"
"36005036902","005","2","Bronx","2036902","036902","369.02","BX0602","0","Tremont","Trmnt","BX06","CD","BX06 Tremont-Belmont-West Farms (CD 6 Approximation)"
"36005037100","005","2","Bronx","2037100","037100","371","BX0602","0","Tremont","Trmnt","BX06","CD","BX06 Tremont-Belmont-West Farms (CD 6 Approximation)"
"36005037300","005","2","Bronx","2037300","037300","373","BX0602","0","Tremont","Trmnt","BX06","CD","BX06 Tremont-Belmont-West Farms (CD 6 Approximation)"
"36005037504","005","2","Bronx","2037504","037504","375.04","BX0602","0","Tremont","Trmnt","BX06","CD","BX06 Tremont-Belmont-West Farms (CD 6 Approximation)"
"36005039500","005","2","Bronx","2039500","039500","395","BX0602","0","Tremont","Trmnt","BX06","CD","BX06 Tremont-Belmont-West Farms (CD 6 Approximation)"
"36005038304","005","2","Bronx","2038304","038304","383.04","BX0603","0","Belmont","Blmnt","BX06","CD","BX06 Tremont-Belmont-West Farms (CD 6 Approximation)"
"36005038500","005","2","Bronx","2038500","038500","385","BX0603","0","Belmont","Blmnt","BX06","CD","BX06 Tremont-Belmont-West Farms (CD 6 Approximation)"
"36005038700","005","2","Bronx","2038700","038700","387","BX0603","0","Belmont","Blmnt","BX06","CD","BX06 Tremont-Belmont-West Farms (CD 6 Approximation)"
"36005038900","005","2","Bronx","2038900","038900","389","BX0603","0","Belmont","Blmnt","BX06","CD","BX06 Tremont-Belmont-West Farms (CD 6 Approximation)"
"36005039100","005","2","Bronx","2039100","039100","391","BX0603","0","Belmont","Blmnt","BX06","CD","BX06 Tremont-Belmont-West Farms (CD 6 Approximation)"
"36005039300","005","2","Bronx","2039300","039300","393","BX0603","0","Belmont","Blmnt","BX06","CD","BX06 Tremont-Belmont-West Farms (CD 6 Approximation)"
"36005039700","005","2","Bronx","2039700","039700","397","BX0603","0","Belmont","Blmnt","BX06","CD","BX06 Tremont-Belmont-West Farms (CD 6 Approximation)"
"36005025300","005","2","Bronx","2025300","025300","253","BX0701","0","University Heights (North)-Fordham","UnvrsHts_N","BX07","CD","BX07 Fordham-Bedford Park-Norwood (CD 7 Approximation)"
"36005025500","005","2","Bronx","2025500","025500","255","BX0701","0","University Heights (North)-Fordham","UnvrsHts_N","BX07","CD","BX07 Fordham-Bedford Park-Norwood (CD 7 Approximation)"
"36005025700","005","2","Bronx","2025700","025700","257","BX0701","0","University Heights (North)-Fordham","UnvrsHts_N","BX07","CD","BX07 Fordham-Bedford Park-Norwood (CD 7 Approximation)"
"36005026100","005","2","Bronx","2026100","026100","261","BX0701","0","University Heights (North)-Fordham","UnvrsHts_N","BX07","CD","BX07 Fordham-Bedford Park-Norwood (CD 7 Approximation)"
"36005026300","005","2","Bronx","2026300","026300","263","BX0701","0","University Heights (North)-Fordham","UnvrsHts_N","BX07","CD","BX07 Fordham-Bedford Park-Norwood (CD 7 Approximation)"
"36005026500","005","2","Bronx","2026500","026500","265","BX0701","0","University Heights (North)-Fordham","UnvrsHts_N","BX07","CD","BX07 Fordham-Bedford Park-Norwood (CD 7 Approximation)"
"36005026900","005","2","Bronx","2026900","026900","269","BX0701","0","University Heights (North)-Fordham","UnvrsHts_N","BX07","CD","BX07 Fordham-Bedford Park-Norwood (CD 7 Approximation)"
"36005039901","005","2","Bronx","2039901","039901","399.01","BX0701","0","University Heights (North)-Fordham","UnvrsHts_N","BX07","CD","BX07 Fordham-Bedford Park-Norwood (CD 7 Approximation)"
"36005040100","005","2","Bronx","2040100","040100","401","BX0701","0","University Heights (North)-Fordham","UnvrsHts_N","BX07","CD","BX07 Fordham-Bedford Park-Norwood (CD 7 Approximation)"
"36005040302","005","2","Bronx","2040302","040302","403.02","BX0702","0","Bedford Park","BdfrdPk","BX07","CD","BX07 Fordham-Bedford Park-Norwood (CD 7 Approximation)"
"36005040303","005","2","Bronx","2040303","040303","403.03","BX0702","0","Bedford Park","BdfrdPk","BX07","CD","BX07 Fordham-Bedford Park-Norwood (CD 7 Approximation)"
"36005040304","005","2","Bronx","2040304","040304","403.04","BX0702","0","Bedford Park","BdfrdPk","BX07","CD","BX07 Fordham-Bedford Park-Norwood (CD 7 Approximation)"
"36005040501","005","2","Bronx","2040501","040501","405.01","BX0702","0","Bedford Park","BdfrdPk","BX07","CD","BX07 Fordham-Bedford Park-Norwood (CD 7 Approximation)"
"36005040502","005","2","Bronx","2040502","040502","405.02","BX0702","0","Bedford Park","BdfrdPk","BX07","CD","BX07 Fordham-Bedford Park-Norwood (CD 7 Approximation)"
"36005040701","005","2","Bronx","2040701","040701","407.01","BX0702","0","Bedford Park","BdfrdPk","BX07","CD","BX07 Fordham-Bedford Park-Norwood (CD 7 Approximation)"
"36005040702","005","2","Bronx","2040702","040702","407.02","BX0702","0","Bedford Park","BdfrdPk","BX07","CD","BX07 Fordham-Bedford Park-Norwood (CD 7 Approximation)"
"36005040900","005","2","Bronx","2040900","040900","409","BX0702","0","Bedford Park","BdfrdPk","BX07","CD","BX07 Fordham-Bedford Park-Norwood (CD 7 Approximation)"
