"sampling_location","duplicate_sample","sample_date","sample_time","weather_condition_dry_or_wet","top_sample_temperature_c","bottom_sample_temperature_c","site_actual_depth_ft","top_sample_depth_ft","bottom_sample_depth_ft","top_salinity_psu","bottom_salinity_psu","top_conductivity_s_m","bottom_conductivity_s_m","ctd_conductivity_temperature_depth_profiler_top_dissolved_oxygen_mg_l","ctd_conductivity_temperature_depth_profiler_bottom_dissolved_oxygen_mg_l","percentage_o2_saturation_top_sample","percentage_o2_saturation_bottom_sample","light_trans_transparency_top_sample","light_trans_transparency_bottom_sample","top_sigma_t_kg_m3","bottom_sigma_t_kg_m3","top_fluorometer_mg_m3","bottom_fluorometer_mg_m3","ctd_conductivity_temperature_depth_profiler_ph_top_sample","ctd_conductivity_temperature_depth_profiler_ph_bottom_sample","top_sample_photosysthetically_active_radiation_reference_400_700nm_light_ue_s","top_sample_par_ue_s_m2","bottom_sample_par_ue_s_ue_s_m2","oxidation_reduction_potential_mv_top_sample","oxidation_reduction_potential_mv_bottom_sample","current_speed_knot","current_direction_current_direction","wind_speed_mph","wind_direction_wind_direction","sea_state","winkler_method_top_dissolved_oxygen_mg_l","winkler_method_bottom_dissolved_oxygen_mg_l","secchi_depth_ft","top_ph","bottom_ph","top_total_coliform_cells_100_ml","top_bottom_coliform_cells_100_ml","fecal_coliform_top_sample_less_than_or_greater_than_result","fecal_coliform_bottom_sample_less_than_or_greater_than_result","top_fecal_coliform_bacteria_cells_100ml","bottom_fecal_coliform_bacteria_cells_100ml","enterococcus_top_sample_less_than_or_greater_than_result","enterococcus_bottom_sample_less_than_or_greater_than_result","top_enterococci_bacteria_cells_100ml","bottom_enterococci_bacteria_cells_100ml","top_nitrate_nitrite_mg_l","bottom_nitrate_nitrite_mg_l","top_ammonium_mg_l","bottom_ammonium_mg_l","top_ortho_phosphorus_mg_l","bottom_ortho_phosphorus_mg_l","top_total_kjeldhal_nitrogen_mg_l","bottom_total_kjeldhal_nitrogen_mg_l","top_silica_mg_l","bottom_silica_mg_l","total_phosphorus_mg_l","bottom_total_phosphorus_mg_l","top_total_suspended_solid_mg_l","bottom_total_suspended_solid_mg_l","top_active_chlorophyll_a_g_l","bottom_active_chlorophyll_a_g_l","chlorophyll_top_sample_field_u_l_ysi","chlorophyll_bottom_sample_field_u_l_ysi","top_total_organic_carbon_mg_l","top_dissolved_organic_carbon_mg_l","bottom_dissolved_organic_carbon_mg_l","top_dissolved_organic_carbon_ysi_mg_l","bottom_dissolved_organic_carbon_ysi_mg_l","top_sample_depth_ysi_ft","bottom_depth_ysi_ft","top_sample_salinity_ysi_psu","bottom_sample_salinity_ysi_psu","top_sample_temperature_ysi_c","bottom_sample_temperature_ysi_c","top_bacteria_per_c_c_1909","bottom_bacteria_per_c_c_1909","top_beam_attenuation_coefficient","bottom_beam_attenuation_coefficient","top_five_day_biochemical_oxygen_demand_mg_l","bottom_five_day_biochemical_oxygen_demand_mg_l","top_pcb_plate_count_thous_ml","bottom_pcb_plate_count_thous_ml","top_coliform_log_no_ml","bottom_coliform_log_no_ml","oakwood_bod_top_sample_mg_l","oakwood_bod_bottom_sample_mg_l","oakwood_total_suspended_solid_top_sample_mg_l","oakwood_total_suspended_solid_bottom_sample_mg_l","top_turbidity_nephelometric_turbidity_units","bottom_turbidity_ysi_nephelometric_turbidity_units","sampling_comment","long","lat","type"
"N3A",,"1956-08-01T00:00:00.000","10:35 AM",,"23.3","21.7","43",,,"13.65","19.6",,,,,,,,,,,,,,,,,,,,,"S",,,,"7","4.2",,,,"23","93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3","2","0.025","0.03",,,,,,,,,,"-73.992497","40.783330","Permanent"
"H1",,"1980-06-10T00:00:00.000","10:55 AM",,"18.3","18.3",,,,"15.1","15.1",,,,,,,,,,,,,,,,,,,,,"W",,,,"5.4","5.1",,,,"17000","24000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.3","2.2",,,,,,"-73.923884","40.878055","Permanent"
"H1",,"1980-06-10T00:00:00.000","10:55 AM",,"18.3","18.3",,,,"15.1","15.1",,,,,,,,,,,,,,,,,,,,,"W",,,,"5.4","5.1",,,,"17000","24000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.3","2.2",,,,,,"-73.923884","40.878055","Permanent"
"K5",,"1969-06-17T00:00:00.000","11:00 AM",,"21.7","21.7",,,,"22.7","22.7",,,,,,,,,,,,,,,,,,,,,"N",,,,"5.4","4.2",,,,"14000","7900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.3","5.8",,,,,,"-74.258833","40.508833","Permanent"
"N6",,"1953-07-28T00:00:00.000","8:30 AM",,"24.4","24.4","56",,,"25.2","25.9",,,,,,,,,,,,,,,,,,,,,"N",,,,"1.6","2.1",,,,"25","9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","2","0.023","0.001",,,,,,,,,,"-74.051333","40.664667","Permanent"
"N2",,"1947-06-17T00:00:00.000","11:40 AM",,"20","19.4","44",,,"7","10.15",,,,,,,,,,,,,,,,,,,,,"S",,,,"6.5","4.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","2","0.9","2.4","1","1",,,,,,,,"-73.930268","40.879447","Permanent"
"J11",,"1989-08-10T00:00:00.000","11:27 AM",,"21.9","21.4","24",,,"28.5","28.8",,,,,,,,,,,,,,,,,,,,,"W",,,,"8.7","6.9","4.5","8.12","7.98","110","460",,,"17","108",,,,,"0.084",,"0.005",,"0.098",,,,,,"0.13",,,,"17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-73.931333","40.581667","Permanent"
"x702_1909_DO",,"1909-09-18T00:00:00.000","10:17 AM",,,"19",,,"20",,,,,,,,,,,,,,,,,,,,,,,"Flood",,,,,"4.12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-74.031944","40.716667","Permanent"
"J7","D","1997-05-28T00:00:00.000",,,"15.41","14.7",,"3.28","29.52","25.26","25.97","3.23","3.26","6.75","5.3","78.9","61.36","58.58","59.68","18.39","19.09","7.37","11.86",,,"5.35","5.16",,,,,,,,,"7.51","7.25","3.5","7.58","7.67",,,,,,,,,,,"0.323",,"1.19",,"0.13",,"1.96",,,,"0.216",,"10","10","15.4",,,,,,,,,,,,,,,,,,,"4.6","4.4",,,,,,,,,,,,"-73.820833","40.645333","Permanent"
"E11",,"2015-06-15T00:00:00.000","11:11","W","17.45",,"12","3",,"25.46",,"3.41",,"7.06",,"85.9",,"61.2",,"18.1",,"10.7",,,,,"2391",,"2.29E+02",,"weak","S","8","S","1","10.36",,"2","7.87",,,,,,"1,100",,,,"200",,"0.021",,"0.098",,"0.032",,"0.544",,"0.322",,"0.142",,"25",,"46.1",,,,,"2.33",,,,,,,,,,,,,,,,,,,,,,,,,,"Brown Water.",,,"Permanent"
"H4",,"1967-06-12T00:00:00.000","9:37 AM",,"17.2","17.2","20",,,"24.5","25.55",,,,,,,,,,,,,,,,,,,,,"N",,,,"4.8","4.6",,,,"490","330",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4","7",,,,,,,,,,,,"-73.929168","40.803613","Permanent"
"K4",,"1952-07-15T00:00:00.000","10:50 AM",,"28.3","27.8","35",,,"21","20.3",,,,,,,,,,,,,,,,,,,,,"N",,,,"0.2","0.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3","2","1.28","0.23","2","1",,,,,,,,"-74.211667","40.567000","Permanent"
"NW",,"1986-08-13T00:00:00.000","2:10 PM",,"24","23",,,,"21","23",,,,,,,,,,,,,,,,,,,,,"N",,,,"5","4.3","10","7.6","7.5","2300","3300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-74.052330","40.605770","Permanent"
"K2",,"1979-07-31T00:00:00.000","9:30 AM",,"25.6","25.6",,,,"21.4","22.1",,,,,,,,,,,,,,,,,,,,,"W",,,,"5.7","5.3",,,,"4500","4000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.8","0.4",,,,,,"-74.153000","40.641167","Permanent"
"K2",,"1979-07-31T00:00:00.000","9:30 AM",,"25.6","25.6",,,,"21.4","22.1",,,,,,,,,,,,,,,,,,,,,"W",,,,"5.7","5.3",,,,"4500","4000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.8","0.4",,,,,,"-74.153000","40.641167","Permanent"
"N5",,"1991-12-16T00:00:00.000","3:00 PM",,"7.5","9.7","42",,,"13.4","25.6",,,,,,,,,,,,,,,,,,,,,"N",,,,"10.7","9.5","2.5",,,,,,,,,,,,,"0.47",,"0.26",,"0.058",,,,,,"0.1",,"8","2","1.1",,,,,,,,,,,,,,,,,,,,,,,,,"1.2","1.2",,,,,,"-74.030000","40.704500","Permanent"
"H3",,"1988-09-27T00:00:00.000","2:40 PM",,"20","20","29",,,"22","22",,,,,,,,,,,,,,,,,,,,,"E",,,,"4.1","3.9","4","7.25","7.39","4900","2300",,,"490","580",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.7","3.1",,,,,,"-73.933833","40.828000","Permanent"
"E6",,"1971-09-15T00:00:00.000","9:08 AM",,"23.9","22.8",,,,"23.4","24.4",,,,,,,,,,,,,,,,,,,,,"S",,,,"3.2","1.6",,,,"33000","180000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.9","0.6",,,,,,"-73.860833","40.785500","Permanent"
"N6",,"1947-08-26T00:00:00.000","9:30 AM",,"25.6","25","56",,,"23.45","23.8",,,,,,,,,,,,,,,,,,,,,"S",,,,"2.4","1.9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","2","0.99","1.4","2","2",,,,,,,,"-74.051333","40.664667","Permanent"
"K5",,"1992-01-07T00:00:00.000","12:44 PM",,"5.2","5.3","41",,,"23.6","24.5",,,,,,,,,,,,,,,,,,,,,"S",,,,"10.18","9.91","5.5","7.97","7.85",,,,,,,,,,,"0.58",,"0.47",,"0.09",,,,,,"0.14",,"13","16","12.7",,,,,,,,,,,,,,,,,,,,,,,,,"1.8","1.4",,,,,,"-74.258833","40.508833","Permanent"
"N6",,"1955-08-29T00:00:00.000","8:30 AM",,"22.8","22.8","56",,,"17.5","24.85",,,,,,,,,,,,,,,,,,,,,"SW",,,,"3.5","2.6",,,,"240","1100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4","2","0.151","0.217",,,,,,,,,,"-74.051333","40.664667","Permanent"
"MVM",,"1970-08-10T00:00:00.000","8:07 AM",,"24.4","23.9",,,,"10.4","18.1",,,,,,,,,,,,,,,,,,,,,"S",,,,"7.2","2.9",,,,"#N/A","#N/A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-73.918217","40.917636","Permanent"
"H5",,"1984-10-03T00:00:00.000","9:25 AM",,"17.2","17.8",,,,"25.2","25.4",,,,,,,,,,,,,,,,,,,,,"N",,,,"5.9","6.8",,,,"13000","780",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.8","1.7",,,,,,"-73.935832","40.787777","Permanent"
"H5",,"1984-10-03T00:00:00.000","9:25 AM",,"17.2","17.8",,,,"25.2","25.4",,,,,,,,,,,,,,,,,,,,,"N",,,,"5.9","6.8",,,,"13000","780",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.8","1.7",,,,,,"-73.935832","40.787777","Permanent"
"N7",,"1919-07-23T00:00:00.000","11:00 AM",,"21.5","21","47",,,"22.4","26.25",,,,,,,,,,,,,,,,,,,,,"EB",,,,"2.18","2.77",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-74.053833","40.643833","Permanent"
"N3B",,"1979-06-27T00:00:00.000","12:27 PM",,"20.6","18.9",,,,"14.4","19.8",,,,,,,,,,,,,,,,,,,,,"N",,,,"5.6","3.8",,,,"160000","17000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.8","1.6",,,,,,"-73.965333","40.820833","Permanent"
"N3B",,"1979-06-27T00:00:00.000","12:27 PM",,"20.6","18.9",,,,"14.4","19.8",,,,,,,,,,,,,,,,,,,,,"N",,,,"5.6","3.8",,,,"160000","17000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.8","1.6",,,,,,"-73.965333","40.820833","Permanent"
"x1576_1911_DO",,"1911-09-26T00:00:00.000","6:32 PM",,"20",,,"1",,,,,,,,,,,,,,,,,,,,,,,,"Ebb",,,,"3.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-74.053333","40.605833","Permanent"
"x1507_1911_DO",,"1911-09-26T00:00:00.000","10:39 AM",,"20",,,"1",,,,,,,,,,,,,,,,,,,,,,,,"End of Flood",,,,"4.9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-74.042778","40.607500","Permanent"
"N5",,"1941-07-03T00:00:00.000",,,"22.8","22.2","49",,,"22.4","25.9",,,,,,,,,,,,,,,,,,,,,,,,,"1.67","1.36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-74.030000","40.704500","Permanent"
"E5",,"1987-02-03T00:00:00.000","11:07 AM",,"2","2.3",,,,,,,,,,,,,,,,,,,,,,,,,,"E",,,,"8.6","8.7",,,,"11000","4900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.9","2.9",,,,,,"-73.886111","40.800833","Permanent"
"H5",,"1955-07-21T00:00:00.000","9:25 AM",,"22.8","22.8","22",,,"28.7","28.7",,,,,,,,,,,,,,,,,,,,,"SW",,,,"1.2","1.3",,,,"120","460",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3","2","0.037","0.207",,,,,,,,,,"-73.935832","40.787777","Permanent"
"N9",,"1922-06-15T00:00:00.000","1:15 PM",,"19.4",,"20",,,"29.05","0",,,,,,,,,,,,,,,,,,,,,,,,,"7.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-73.983333","40.568333","Permanent"
"N3",,"1994-06-23T00:00:00.000","10:01 AM",,"21.5","20.81","47","1","14","16.57","19.27","2.52","2.85",,,,,,,"10.4","12.61",,,,,,,,,,,"N",,,,"6.38","5.22","2","7.38","7.38","260","340",,,"130","59",,,,,"0.38",,"0.33",,"0.082",,,,,,"0.14",,"27","24","3.7",,,,,,,,,,,,,,,,,,,,,,,,,"1.5","1.6",,,,,,"-73.954182","40.836396","Permanent"
"N2",,"1994-07-26T00:00:00.000","11:25 AM",,,,"51",,,,,,,,,,,,,,,,,,,,,,,,,"N",,,,"5.65","4.46","2","7.58","7.45","1300","500",,,"116","144",,,,,"0.41",,"0.24",,"0.098",,,,,,"0.14",,"17","44","10.4",,,,,,,,,,,,,,,,,,,,,,,,,"1.4","1",,,,,,"-73.930268","40.879447","Permanent"
"H1",,"1960-07-27T00:00:00.000","12:35 PM",,"22.2","22.2","20",,,"18.2","18.2",,,,,,,,,,,,,,,,,,,,,"S",,,,"2.6","2.8",,,,"1100","460",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","1",,,,,,,,,,,,"-73.923884","40.878055","Permanent"
"H2",,"1938-08-09T00:00:00.000","11:35 AM",,"25","25","16",,,"8.4","7",,,,,,,,,,,,,,,,,,,,,"N",,,,"3.55","3.66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","2","14","39","3","3",,,,,,,,"-73.918610","40.858609","Permanent"
"N16",,"1962-08-16T00:00:00.000","10:30 AM",,"21.1","21.1","24",,,"35","33.95",,,,,,,,,,,,,,,,,,,,,"E",,,,"6.6","6.7",,,,"2","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","1",,,,,,,,,,,,"-73.943667","40.529667","Permanent"
"J2",,"1970-07-02T00:00:00.000","12:30 PM",,"21.1","20.6",,,,"27.1","27.6",,,,,,,,,,,,,,,,,,,,,"W",,,,"6.2","5.7",,,,"350000","160000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5.7","5.3",,,,,,"-73.885835","40.608055","Permanent"
"J5",,"1999-06-21T00:00:00.000","1:26 PM",,"20.91","20.9","20","3.28","19.68","28.05","28.04","40.07","40.05","6.5","6.28","85.95","83","64.75","64.99","19.23","19.23",,,,,,,,,,,"W","9","E","1","6.96","6.99","5","7.78","7.78",,,,,"20","6",,,,,"0.135",,"0.137",,,,"1.38",,"0.367",,"0.238",,"12","18","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-73.809000","40.597667","Permanent"
"X19",,"1935-08-09T00:00:00.000","11:50 AM",,"22.8","22.2",,,,"28.7","30.1",,,,,,,,,,,,,,,,,,,,,"SE",,,,"8.07","6.33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-73.836097","40.648142","Permanent"
"K5A",,"1982-07-27T00:00:00.000","10:44 AM",,"26.7","24.4",,,,"25.2","27",,,,,,,,,,,,,,,,,,,,,"S",,,,"5","5.4",,,,"7900","11000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.5","3.6",,,,,,"-74.245833","40.484500","Permanent"
"K5A",,"1982-07-27T00:00:00.000","10:44 AM",,"26.7","24.4",,,,"25.2","27",,,,,,,,,,,,,,,,,,,,,"S",,,,"5","5.4",,,,"7900","11000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.5","3.6",,,,,,"-74.245833","40.484500","Permanent"
"E7",,"1998-05-21T00:00:00.000","11:45 AM",,"15.53","13.52","40","3.28","36.08","21.64","23.59","2.82","2.91","8.17",,"93.59",,"57.41","64.39","15.6","17.48","-99","-99",,,"5.55","4.4",,,,,"E","8","W","1","8.19","7.64","4","7.91","7.96",,,,,"20","10",,,,,"0.2",,"0.259",,,,"1.11",,"0.904",,"0.118",,"11","10","25.9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-73.820500","40.805000","Permanent"
"N8",,"1968-07-30T00:00:00.000","12:50 PM",,"21.1","20.6",,,,"27","26.6",,,,,,,,,,,,,,,,,,,,,"N",,,,"6.8","6.7",,,,"33000","79000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4.9","4",,,,,,"-74.045500","40.606167","Permanent"
"N4",,"1937-06-24T00:00:00.000","12:45 PM",,"23.3","22.2","52",,,"12.25","16.8",,,,,,,,,,,,,,,,,,,,,"S",,,,"3.83","2.38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-74.005833","40.764500","Permanent"
"E1",,"1961-08-30T00:00:00.000","11:05 AM",,"25.6","24.4","41",,,"25.55","25.2",,,,,,,,,,,,,,,,,,,,,"N",,,,"1.3","1.1",,,,"93","210",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","1",,,,,,,,,,,,"-74.006548","40.700000","Permanent"
"H5",,"1970-07-13T00:00:00.000","9:10 AM",,"20.6","20.6",,,,"26.2","26.2",,,,,,,,,,,,,,,,,,,,,"N",,,,"3.7","1.7",,,,"110000","49000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4.1","2.6",,,,,,"-73.935832","40.787777","Permanent"
"K5",,"1991-07-23T00:00:00.000","11:55 AM",,"27.3","25.6","38",,,"25.4","26.6",,,,,,,,,,,,,,,,,,,,,"S",,,,"4.6","3.7","4",,,,,,,"118","155",,,,,"0.41",,"0.65",,"0.14",,,,,,"0.22",,"12","11","11.3",,,,,,,,,,,,,,,,,,,,,,,,,"1","0.4",,,,,,"-74.258833","40.508833","Permanent"
