"permit_number","expiration_date","address_no","address_st","bo","zip","bbl","bin","census_tract_2010","city_council_district","community_district","nta_code","latitude","longitude"
"40422343","2023-12-31T00:00:00.000","158","PENN AVENUE","STATEN ISLAND","10306","5042730028","5058497","013201","50","503","SI25","40.564675477928","-74.119224658610"
"40422391","2023-12-31T00:00:00.000","1839","NOSTRAND AVENUE","BROOKLYN","11226","3049640001","3112318","082800","45","317","BK95","40.640795017461","-73.948487981531"
"40422421","2023-12-31T00:00:00.000","156-07","88 STREET","QUEENS","11414","4139530055","4292386","089200","32","410","QN57","40.663157750035","-73.845693013192"
"40422439","2023-12-31T00:00:00.000","184","BEACH 122 STREET","QUEENS","11694","4162310080","4304955","093402","32","414","QN10","40.577556325957","-73.841884932548"
"40422453","2022-12-31T00:00:00.000","3335","BEDFORD AVENUE","BROOKLYN","11210","3076430036","3209354","075400","48","314","BK43","40.620824894263","-73.950578299922"
"40422483","2023-12-31T00:00:00.000","238","VAN SICKLEN ST","BROOKLYN","11223","3071010102","3191321","040000","47","311","BK29","40.598289868296","-73.974836602194"
"40422498","2022-12-31T00:00:00.000","415","STRATFORD ROAD","BROOKLYN","11218","3051540047","3118631","052600","40","314","BK42","40.638438782774","-73.967680021615"
"40422515","2023-12-31T00:00:00.000","664","EAST 88 STREET","BROOKLYN","11236","3079920061","3224059","095800","46","318","BK50","40.641207370847","-73.909626391581"
"40422524","2023-12-31T00:00:00.000","3230","BEDFORD AVENUE","BROOKLYN","11210","3076240049","3208443","075400","45","314","BK43","40.623391485093","-73.951084317031"
"40422562","2023-12-31T00:00:00.000","1497","EAST 51 STREET","BROOKLYN","11234","3078310011","3217760","067600","46","318","BK58","40.623949190279","-73.926389902334"
"40422622","2023-12-31T00:00:00.000","23","WOLVERINE ST","STATEN ISLAND","10306","5043700074","5059878","013800","50","503","SI25","40.567080559020","-74.128763404531"
"40422711","2023-12-31T00:00:00.000","2509","AVENUE M","BROOKLYN","11210","3076430006","3209336","075400","48","314","BK43","40.619106432902","-73.950057276748"
"40422765","2023-12-31T00:00:00.000","101","ROMER RD","STATEN ISLAND","10304","5008710104","5022690","017700","50","502","SI24","40.591211953834","-74.105410048489"
"40422811","2023-12-31T00:00:00.000","702","CATON AVENUE","BROOKLYN","11218","3053300001","3328381","050400","39","312","BK40","40.647569398000","-73.973405328216"
"40422818","2023-12-31T00:00:00.000","1877","EAST 19 STREET","BROOKLYN","11229","3068250058","3184127","056000","48","315","BK44","40.604598990263","-73.953611836579"
"40422844","2023-12-31T00:00:00.000","27","DUSTAN ST","STATEN ISLAND","10306","5040760013","5125643","012804","50","502","SI45","40.564970930928","-74.100214509142"
"40422925","2023-12-31T00:00:00.000","84-20","259 STREET","QUEENS","11001","4087880016","4179818","157903","23","413","QN44","40.736504578010","-73.708996619915"
"40422937","2023-12-31T00:00:00.000","1992","EAST 5 STREET","BROOKLYN","11223","3071070131","3191919","041402","47","315","BK25","40.601677865079","-73.967615059268"
"40422949","2023-12-31T00:00:00.000","120-05","NEWPORT AVE","QUEENS","11694","4162160008","4304560","093402","32","414","QN10","40.580278873388","-73.841676863700"
"40422987","2023-12-31T00:00:00.000","1765","EAST 33 STREET","BROOKLYN","11234","3077160114","3212868","064000","46","318","BK45","40.612169831115","-73.937769896281"
"40423003","2023-12-31T00:00:00.000","168-68","9 AVENUE","QUEENS","11357","4046020110","4312165","099100","19","407","QN49","40.792820037299","-73.796032755316"
"40423004","2022-12-31T00:00:00.000","83-08","260 STREET","QUEENS","11004","4087710040","4179389","157902","23","413","QN44","40.738757696050","-73.708860440865"
"40423022","2022-12-31T00:00:00.000","414","AVENUE S","BROOKLYN","11223","3071050144","3191738","041401","47","315","BK25","40.602051824419","-73.970070860130"
"40423040","2023-12-31T00:00:00.000","64","FANE COURT","BROOKLYN","11229","3089390108","3250059","062800","46","315","BK17","40.593047491211","-73.929333432816"
"40423061","2023-12-31T00:00:00.000","2338","BENSON AVENUE","BROOKLYN","11214","3068740048","3185937","030200","47","311","BK29","40.598190814210","-73.992247178862"
"40423101","2023-12-31T00:00:00.000","100-110","GRAVESEND NECK ROAD","BROOKLYN","11223","3071510050","3193633","038800","47","315","BK25","40.595083205996","-73.971625927824"
"40423132","2023-12-31T00:00:00.000","2992","QUENTIN ROAD","BROOKLYN","11229","3077120030","3212611","064000","46","318","BK45","40.611477448531","-73.941660335995"
"40423161","2023-12-31T00:00:00.000","455","NAUGHTON AVE","STATEN ISLAND","10305","5037060046","5053767","011201","50","502","SI36","40.581514452889","-74.089475314100"
"40423185","2022-12-31T00:00:00.000","2316","EAST FIRST STREET","BROOKLYN","11223","3071760013","3194558","038800","47","315","BK25","40.592200660816","-73.969607212536"
"40423188","2023-12-31T00:00:00.000","87-19","162 AVENUE","QUEENS","11414","4140430035","4293894","089200","32","410","QN57","40.653392219585","-73.843967778702"
"40423191","2022-12-31T00:00:00.000","217","MIDLAND AVENUE","STATEN ISLAND","10306","5035890027","5051695","011402","50","502","SI45","40.578817796111","-74.103972054367"
"40423200","2023-12-31T00:00:00.000","59-91","MAURICE AVE","QUEENS","11378","4026560098","4059712","022900","30","402","QN99","40.728307167659","-73.906000839932"
"40423201","2023-12-31T00:00:00.000","1921","KINGS HWY","BROOKLYN","11229","3067820009","3182512","055000","48","315","BK44","40.610379811121","-73.954360538415"
"40423202","2023-12-31T00:00:00.000","3999","VICTORY BOULEVARD","STATEN ISLAND","10314","5027740069","5042008","029102","50","502","SI05","40.593505698675","-74.187606641538"
"40423204","2022-12-31T00:00:00.000","2522","AVENUE J","BROOKLYN","11210","3076070047","3207635","075200","45","314","BK43","40.626270865667","-73.951323563407"
"40423207","2023-12-31T00:00:00.000","1282","EAST 24 STREET","BROOKLYN","11210","3076410080","3209284","075400","48","314","BK43","40.619603795485","-73.951350056703"
"40423208","2023-12-31T00:00:00.000","1320","EAST 26 STREET","BROOKLYN","11210","3076610050","3210152","075600","48","314","BK43","40.618480233846","-73.949175247742"
"40423209","2023-12-31T00:00:00.000","3384","BEDFORD AVENUE","BROOKLYN","11210","3076420072","3209328","075400","48","314","BK43","40.619968459409","-73.950434851738"
"40423217","2023-12-31T00:00:00.000","86-59","SANTIAGO STREET","QUEENS","11423","4105040098","4223789","047600","23","408","QN06","40.718632235370","-73.774319964983"
"40423224","2023-12-31T00:00:00.000","287","AVENUE U","BROOKLYN","11223","3071030042","3191429","040000","47","311","BK29","40.596941895616","-73.973584008937"
"40423233","2023-12-31T00:00:00.000","429","AVENUE T","BROOKLYN","11223","3071050182","3253966","041401","47","315","BK25","40.599713069011","-73.969326501095"
"40423241","2022-12-31T00:00:00.000","111-26","CORONA AVENUE","QUEENS","11368","4019720038","4048527","043701","21","404","QN25","40.740331223276","-73.848783034295"
"40564628","2022-12-31T00:00:00.000","1157","OCEAN PARKWAY","BROOKLYN","11230","3065320068","3171363","045200","44","312","BK46","40.620274365150","-73.969724057143"
"40590226","2022-12-31T00:00:00.000","29-48","171ST ST","QUEENS","11358","4049330029","4111685","114100","19","407","QN51","40.770219067286","-73.794152688249"
"40618880","2022-12-31T00:00:00.000","11","PAERDEGAT 7 STREET","BROOKLYN","11236","3080560056","3226467","099800","46","318","BK50","40.630053983709","-73.907955505250"
"40668208","2023-12-31T00:00:00.000","515","KINGS HWY","BROOKLYN","11223","3066590050","3177246","042200","44","315","BK25","40.604395961739","-73.970415527635"
"40678890","2023-12-31T00:00:00.000","74-04","NORTHERN BLVD","QUEENS","11372","4012470001","4028672","028900","25","403","QN28","40.754779674395","-73.892637292164"
"40730838","2022-12-31T00:00:00.000","2415","AVENUE S","BROOKLYN","11229","3068300045","3184346","056200","48","315","BK44","40.604473170156","-73.948235214092"
"40865276","2023-12-31T00:00:00.000","1964","84 STREET","BROOKLYN","11214","3063330031","3165352","028400","47","311","BK28","40.606277198851","-73.997914802957"
"40882795","2023-12-31T00:00:00.000","1972","84 STREET","BROOKLYN","11214","3063330034","3165353","028400","47","311","BK28","40.606200342476","-73.997788757332"
"40890789","2023-12-31T00:00:00.000","2139","57 STREET","BROOKLYN","11204","3054950407","3131011","046800","44","312","BK88","40.619367775552","-73.978236198590"
"40890792","2023-12-31T00:00:00.000","2320","OLEAN STREET","BROOKLYN","11210","3076770076","3210859","075800","48","314","BK43","40.615140702620","-73.951180432816"
"40890794","2023-12-31T00:00:00.000","97-21","101 STREET","QUEENS","11416","4094030043","4197671","011400","28","409","QN54","40.686933913524","-73.842302456643"
"40890808","2023-12-31T00:00:00.000","2233","82 STREET","BROOKLYN","11214","3063000064","3163961","029600","47","311","BK28","40.603699477755","-73.990600771402"
"40890830","2022-12-31T00:00:00.000","457","AVENUE T","BROOKLYN","11223","3071070167","3253975","041402","47","315","BK25","40.600077776981","-73.968051564337"
"40892042","2023-12-31T00:00:00.000","24","LANCASTER AVE","BROOKLYN","11223","3071830040","3194849","039000","47","315","BK25","40.592676539365","-73.963719947881"
"40892059","2023-12-31T00:00:00.000","1956","FORD STREET","BROOKLYN","11229","3073120027","3197790","056800","46","315","BK44","40.604133616804","-73.938735351149"
"40895329","2023-12-31T00:00:00.000","31-07","FARRINGTON STREET","QUEENS","11354","4044080023","4438023","086900","20","407","QN22","40.768863934109","-73.833558733069"
"40897609","2023-12-31T00:00:00.000","83-03","24 AVENUE","QUEENS","11370","4010780044","4023527","032900","22","403","QN28","40.764994665079","-73.885902561641"
"40897621","2023-12-31T00:00:00.000","340","BEACH 144 STREET","QUEENS","11694","4163000056","4306699","092200","32","414","QN10","40.573181566227","-73.861271923973"
"40902372","2023-12-31T00:00:00.000","1381","EAST 9 STREET","BROOKLYN","11230","3065720055","3173114","045400","44","312","BK46","40.615379172653","-73.965346412267"
"40902389","2022-12-31T00:00:00.000","3309","AVENUE P","BROOKLYN","11234","3076950006","3211577","064600","45","318","BK45","40.615045088589","-73.940529826243"
"40902393","2023-12-31T00:00:00.000","24-02","39 AVENUE","QUEENS","11101","4003950018","4004771","003300","26","401","QN68","40.755079082788","-73.937430135218"
"40902422","2023-12-31T00:00:00.000","506","AVENUE S","BROOKLYN","11223","3071080131","3253977","041402","47","315","BK25","40.602116996198","-73.967492406293"
"40903714","2023-12-31T00:00:00.000","86-70","FRANCIS LEWIS BOULEVARD","QUEENS","11427","4105380010","4434611","047800","23","408","QN06","40.724012259567","-73.763550503173"
"40903715","2023-12-31T00:00:00.000","87-50","204 STREET","QUEENS","11423","4105380070","4434614","047800","23","408","QN06","40.722063272921","-73.762128806954"
"40903717","2022-12-31T00:00:00.000","87-30","204 STREET","QUEENS","11423","4105380010","4434610","047800","23","408","QN06","40.722558614424","-73.762747556167"
"40907534","2023-12-31T00:00:00.000","7918","23 AVENUE","BROOKLYN","11214","3062770042","3162943","027000","44","311","BK28","40.604382649413","-73.987651231427"
"40910824","2023-12-31T00:00:00.000","18-15","215 STREET","QUEENS","11360","4059380007","4454676","099703","19","407","QN47","40.783744793602","-73.776301143593"
"40914895","2023-12-31T00:00:00.000","87-50","204 STREET","QUEENS","11423","4105380070","4434614","047800","23","408","QN06","40.722063272921","-73.762128806954"
"40921436","2023-12-31T00:00:00.000","420","BEACH 140 STREET","QUEENS","11694","4162620050","4305762","092200","32","414","QN10","40.575319052069","-73.858452497579"
"40921437","2023-12-31T00:00:00.000","2419","AVENUE M","BROOKLYN","11210","3076420002","3209286","075400","48","314","BK43","40.619008008328","-73.950954265280"
"40925926","2023-12-31T00:00:00.000","2316","61 STREET","BROOKLYN","11204","3065560012","3172327","44600","44","311","BK88","40.614470703900","-73.976343243783"
"40925931","2023-12-31T00:00:00.000","2355","62 STREET","BROOKLYN","11204","3065560053","3172354","044600","44","311","BK88","40.613504514944","-73.976224729155"
"40933781","2022-12-31T00:00:00.000","63-01","255 STREET","QUEENS","11362","4083670002","4561448","152902","23","411","QN45","40.756629450096","-73.723494576151"
"40933783","2023-12-31T00:00:00.000","1834","80TH ST","BROOKLYN","11214","3062850020","3163331","027600","47","311","BK28","40.610037559019","-73.998119975122"
"41024625","2023-12-31T00:00:00.000","60-24","LITTLE NECK PARKWAY","QUEENS","11362","4083590006","4456107","152902","23","411","QN45","40.759297996460","-73.722617127568"
"41024626","2023-12-31T00:00:00.000","249-10","63 AVENUE","QUEENS","11362","4083730002","4456133","152902","23","411","QN45","40.755775988776","-73.728158007704"
"41223844","2022-12-31T00:00:00.000","260","CLAWSON STREET","STATEN ISLAND","10306","5036470032","5052826","012200","50","502","SI45","40.572973737490","-74.110262181957"
"41223853","2023-12-31T00:00:00.000","58-10","251 STREET","QUEENS","11362","4083370001","4455942","152902","23","411","QN45","40.760350221224","-73.728767364544"
"41223892","2023-12-31T00:00:00.000","252-27","63 AVENUE","QUEENS","11362","4083630001","4458977","152902","23","411","QN45","40.756376080843","-73.725426736431"
"41223896","2023-12-31T00:00:00.000","252-58","63 AVENUE","QUEENS","11362","4083740056","4456342","152902","23","411","QN45","40.756498072600","-73.724790951253"
"41223899","2023-12-31T00:00:00.000","252-15","61 AVENUE","QUEENS","11362",,,"152902","23","411","QN45","40.757682136987","-73.726385098300"
"41223902","2023-12-31T00:00:00.000","252-03","60 AVENUE","QUEENS","11362","4083490036","4458859","152902","23","411","QN45","40.759506427048","-73.727124785642"
"41274893","2023-12-31T00:00:00.000","3030","EMMONS AVENUE","BROOKLYN","11235","3088150042","3248031","062200","48","315","BK17","40.583912305377","-73.937886332432"
"41309995","2023-12-31T00:00:00.000","60-16","251 STREET","QUEENS","11362","4083530001","4456078","152902","23","411","QN45","40.758765324758","-73.728275708695"
"41458057","2023-12-31T00:00:00.000","149-20","NORTHERN BOULEVARD","QUEENS","11354","4050170022","4113538","115700","20","407","QN51","40.765316096729","-73.816311753580"
"41507862","2023-12-31T00:00:00.000","128","BAY 28 STREET","BROOKLYN","11214","3064120061","3167967","029200","47","311","BK27","40.600279841517","-73.997969006757"
"41519684","2022-12-31T00:00:00.000","3300","PROVOST AVENUE","BRONX","10475","2052510024","2000000","046201","12","210","BX13","40.882322986139","-73.825820206377"
"50005950","2023-12-31T00:00:00.000","7611","NORTHERN BLVD","QUEENS","11372","4011720045","4026661","030903","25","403","QN28","40.754997466399","-73.890741978081"
"50018883","2023-12-31T00:00:00.000","6702","NEW UTRECHT AVE","BROOKLYN","11219","3055650001","3134553","019000","38","311","BK28","40.622287533404","-73.998087208554"
"50043948","2023-12-31T00:00:00.000","1003","BANNER AVE","BROOKLYN","11235","3087610001","3344605","060800","48","315","BK17","40.583507643462","-73.959818791343"
"50071510","2022-12-31T00:00:00.000","810","PENNSYLVANIA AVE","BROOKLYN","11207","3043460012","3097663","110400","42","305","BK82","40.657820909249","-73.890069184259"
"40524752","1996-12-31T00:00:00.000","2677","E 63RD ST","BROOKLYN","11234","3086470004","3243901","070201","46","318","BK45","40.608159292302","-73.912041075543"
"50070400","2017-12-31T00:00:00.000","20212","WILLETS POINT BLVD","QUEENS","11360","4058400100","4130108","099701","19","407","QN47","40.787467284388","-73.791188507663"
"50070435","2017-12-31T00:00:00.000","16415","BOOTH MEMORIAL AVE","QUEENS","11365","4055800001","4126000","121100","20","407","QN99","40.742242011232","-73.800569233006"
"50070607","2017-12-31T00:00:00.000","443","E 100TH ST","BROOKLYN","11236","3081330011","3228739","109800","42","318","BK82","40.649980339120","-73.903679091290"
"50071619","2017-12-31T00:00:00.000","1859","UTICA AVE","BROOKLYN","11234","3077980035","3405127","073000","46","318","BK58","40.626889701562","-73.927719569616"
"50097140","2019-12-31T00:00:00.000","163","BEACH 96TH ST","QUEENS","11693","4161690063","4454190","094201","32","414","QN10","40.584321557368","-73.817448731594"
"40422064","2002-12-31T00:00:00.000","182","PRESCOTT AVE","STATEN ISLAND","10306","5036110030","5052124","012200","50","502","SI45","40.576768521081","-74.108713364763"
"41364910","2008-12-31T00:00:00.000","91-10","METROPOLITAN AVE","QUEENS","11374","4038860700","4095046","063700","29","406","QN19","40.711506033037","-73.857664405389"
"41379383","2009-12-31T00:00:00.000","1130","PENNSYLVANIA AVE","BROOKLYN","11207","3044120029","3327466","110400","42","305","BK82","40.653129418999","-73.886577539757"
"41406143","2009-12-31T00:00:00.000","15002","NORTHERN BLVD","QUEENS","11354","4050320018","4114053","115700","20","407","QN51","40.765234330093","-73.814961835079"
"41407476","2009-12-31T00:00:00.000","175-04","HORACE HARDING EXPY","QUEENS","11365","4068910013","4148800","134100","24","408","QN41","40.738331537911","-73.794810909007"
"41438948","2009-12-31T00:00:00.000","37","DOVER ST","BROOKLYN","11235","3087300004","3245917","061200","48","315","BK17","40.581088300748","-73.949862614957"
"41445764","2009-12-31T00:00:00.000","68-27","WOODHAVEN BLVD","QUEENS","11374","4031490008","4074415","070300","29","406","QN18","40.714146228844","-73.859667973888"
"41580049","2011-12-31T00:00:00.000","1054","BERGEN AVENUE","BROOKLYN","11234","3083410121","3319878","069601","46","318","BK45","40.629146868401","-73.916981317352"
"41601739","2011-12-31T00:00:00.000","208","BAY 11 STREET YARD","BROOKLYN","11228","3064280057","3168326","017200","43","311","BK27","40.606367125906","-74.012385150866"
"41653264","2012-12-31T00:00:00.000","304","BAY 17 STREET","BROOKLYN","11214","3064620040","3328639","017600","43","311","BK27","40.601706743026","-74.009636621507"
"41733831","2013-12-31T00:00:00.000","1944","EAST FIRST STREET","BROOKLYN","11223","3071040082","3191469","041401","47","315","BK25","40.600803243840","-73.971230969860"
"40420994","1996-12-31T00:00:00.000","690","PACIFIC STREET","BROOKLYN","11217","3011287501","3000000","016100","35","308","BK64","40.681988744400","-73.972684874346"
"40421001","1996-12-31T00:00:00.000","2644","ATLANTIC AVE","BROOKLYN","11207","3036870012","3326728","119800","37","305","BK82","40.675736714752","-73.896644164012"
"40421003","2004-12-31T00:00:00.000","1944","MADISON AVE","MANHATTAN","10035","1017490056","1054010","019800","9","111","MN34","40.805477325563","-73.940853897764"
"40421007","2011-12-31T00:00:00.000","510","FULTON STREET","BROOKLYN","11201","3001600018","3000458","003700","33","302","BK38","40.689475652329","-73.982432115734"
"40421022","2000-12-31T00:00:00.000","219-01","JAMAICA AVE","QUEENS","11428","4106950009","4229073","056600","23","413","QN34","40.718215629548","-73.736028164807"
"40421030","2013-12-31T00:00:00.000","1625","CONEY ISLAND AVE","BROOKLYN","11230","3067310056","3180577","076800","44","314","BK43","40.617838037532","-73.963850299567"
"40421038","1992-12-31T00:00:00.000","115-20","JAMAICA AVE","QUEENS","11418","4093050009","4195036","012200","29","409","QN54","40.698801356803","-73.833838907491"
"40421042","2013-12-31T00:00:00.000","154-21","SOUTH ROAD","QUEENS","11433","4101140017","4439341","020400","28","412","QN61","40.696498768118","-73.799667982703"
"40421043","2017-12-31T00:00:00.000","83-45","CYPRESS HILLS ST","QUEENS","11385","4037500655","4443198","056100","30","405","QN99","40.693238787310","-73.883753988640"
"40421048","2002-12-31T00:00:00.000","2001","FLATBUSH AVE","BROOKLYN","11234","3078400010","3218216","065000","45","318","BK58","40.620918692588","-73.935042069285"
"40421050","2010-12-31T00:00:00.000","1153","CONEY ISLAND AVE","BROOKLYN","11230","3066950001","3179166","053000","45","314","BK43","40.629405229774","-73.966045216699"
"40421053","1991-12-31T00:00:00.000","1226","OCEAN PKWY","BROOKLYN","11230","3065410019","3171714","044800","44","312","BK46","40.618610947388","-73.969429446861"
"40421057","1996-12-31T00:00:00.000","484","FULTON ST","BROOKLYN","11201","3001580001","3000452","003700","33","302","BK38","40.689950673808","-73.983618335606"
"40421059","1990-12-31T00:00:00.000","0","CYPRESS AVE.HIGHLAND PK.","BROOKLYN","11227",,,,,,,"0","0"
"40421061","1992-12-31T00:00:00.000","97-27","QUEENS BLVD","QUEENS","11374","4020910008","4050462","071701","29","406","QN18","40.729432786056","-73.860429431797"
"40421062","2001-12-31T00:00:00.000","183-02","UNION TPKE","QUEENS","11366","4072480015","4155927","127700","24","408","QN06","40.727774576149","-73.785498876292"
"40421063","1998-12-31T00:00:00.000","251-31","NORTHERN BLVD","QUEENS","11362","4081290076","4169384","147900","19","411","QN45","40.769489022132","-73.736463164169"
"40421065","1993-12-31T00:00:00.000","136-16","NEWPORT AVE","QUEENS","11694","4162590043","4305671","092200","32","414","QN10","40.575806137961","-73.855071312883"
"40421066","2010-12-31T00:00:00.000","488","CONEY ISLAND AVE","BROOKLYN","11218","3053410017","3328382","049200","40","312","BK41","40.645795607707","-73.970692588882"
"40421073","1994-12-31T00:00:00.000","71-39","KISSENA BLVD","QUEENS","11367","4067930035","4146994","122702","24","408","QN38","40.728600178736","-73.815125287163"
"40421074","1990-12-31T00:00:00.000","205-07","HILLSIDE AVE","QUEENS","11423","4105330001","4224410","047800","23","408","QN06","40.720719714283","-73.760156657077"
"40421075","1996-12-31T00:00:00.000","132","HARRISON PL","BROOKLYN","11237","3030050010","3070679","045300","34","301","BK77","40.706955118756","-73.928094095099"
"40421077","2008-12-31T00:00:00.000","67-10","192ND ST","QUEENS","11365","4071170003","4444040","134700","23","408","QN41","40.737650877238","-73.781457897722"
"40421078","2008-12-31T00:00:00.000","0","192ND ST.& 67TH AVE","QUEENS","11365",,,,,,,"0","0"
"40421083","1996-12-31T00:00:00.000","85-98","66 AVENUE","QUEENS","11374","4031430046","4463946","070300","29","406","QN18","40.719471050242","-73.859638681269"
"40421086","1993-12-31T00:00:00.000","7102","FOREST AVE","QUEENS","11385","4035750033","4086299","055700","34","405","QN20","40.700418050736","-73.900093222589"
"40421087","1990-12-31T00:00:00.000","799","STANLEY AVE","BROOKLYN","11207","3043590028","3097716","111600","42","305","BK82","40.661246754576","-73.879506349652"
"40421088","1995-12-31T00:00:00.000","72-35","BROADWAY","QUEENS","11372","4012830027","4029775","029100","25","403","QN28","40.747473682763","-73.893244603578"
"40421093","1995-12-31T00:00:00.000","3345","FULTON ST","BROOKLYN","11208","3041310001","3327215","118400","37","305","BK83","40.683693699497","-73.872038143844"
"40421094","2000-12-31T00:00:00.000","7725","NEW UTRECHT AVE","BROOKLYN","11214","3062470060","3161405","026400","43","311","BK28","40.613910465720","-74.000461029118"
