"the_geom","nodeid","oft","onstreetname","fromstreetname","borough_code","work_start_date","work_end_date","purpose"
"POINT (1010093.1300602257 207696.4284888953)","45151","412060453090000000","58 LANE","LAUREL HILL BOULEVARD","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1009351.1335127205 216638.6773366481)","41928","407790410540000000","30 AVENUE","47 STREET","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1019518.189622134 217841.8934341371)","46954","407240419040000000","25 AVENUE","97 STREET","Q","2023-08-10T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1035469.7515509725 198749.8062903136)","34936","452790458890000000","LANDER STREET","PERSHING CRESCENT","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1011980.993738547 240840.8264388144)","47824","240520270420000000","HOME STREET","UNION AVENUE","X","2023-07-21T00:00:00","2023-09-02T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1010488.3261202276 214586.5587374717)","46199","408190411790000000","32 AVENUE","56 STREET","Q","2023-07-21T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1025882.4777465612 203231.26714363694)","50194","414290459990000000","68 DRIVE","QUEENS BOULEVARD","Q","2023-07-24T00:00:00","2023-08-25T00:00:00","DOT IN-HOUSE PAVING"
"POINT (948334.8759523034 148675.2742217332)","66064","538620544900000000","MC CULLY AVENUE","RICHMOND ROAD","S","2023-08-07T00:00:00","2023-09-06T00:00:00","REPLACEMENT OF POLES"
"POINT (1039679.9760701358 203945.57969139516)","55337","415840424540000000","76 AVENUE","169 STREET","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1013935.9140413105 220015.0550983101)","47081","406590416140000000","21 AVENUE","77 STREET","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1027887.2079890519 203200.62711305916)","50393","420390451590000000","110 STREET","JEWEL AVENUE","Q","2023-07-11T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1017363.0200479776 207353.5321930647)","45893","447190447290000000","GOLDSMITH STREET","GRAND AVENUE","Q","2023-08-02T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1018997.37603122 217955.97096189857)","46872","418840451010000000","95 STREET","JACKSON MILL ROAD","Q","2023-08-10T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1003967.6370618939 242666.44286631048)","43658","253620274170000000","NELSON AVENUE","WEST  164 STREET","X","2023-07-24T00:00:00","2023-10-21T00:00:00","DOT IN-HOUSE PAVING"
"POINT (972947.9169492275 167245.5494170636)","11418","310880377130000000","86 STREET","SHORE ROAD","B","2023-08-16T00:00:00","2023-08-22T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1000745.7993454635 201115.99545556307)","40555","342430394330000000","FROST STREET","WOODPOINT ROAD","B","2023-08-17T00:00:00","2023-08-18T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1010036.3716435581 218259.55992163718)","46226","407240410390000000","25 AVENUE","46 STREET","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1037991.6851553917 202655.04454280436)","55182","416190424140000000","78 AVENUE","162 STREET","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (987301.0634397268 167955.88264206052)","13641","306680309330000000","16 AVENUE","55 STREET","B","2023-08-09T00:00:00","2023-08-11T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1014023.0349300504 252213.3804653138)","9008781","223120256820000000","CYRUS PLACE","PARK AVENUE","X","2023-08-07T00:00:00","2023-11-05T00:00:00","CONTRACT ROADWAY MILLING"
"POINT (1033459.9163317978 206648.34331472218)","54919","414240423090000000","68 AVENUE","147 STREET","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1010675.5042235553 208021.07678972185)","45170","412690453090000000","60 STREET","LAUREL HILL BOULEVARD","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1037346.7819176316 203601.4924530536)","55185","415840424040000000","76 AVENUE","160 STREET","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1015352.2727571428 241447.19005547464)","48167","233720276450000000","FREEMAN STREET","WEST FARMS ROAD","X","2023-07-21T00:00:00","2023-09-02T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1004809.1609693915 210987.24867889285)","41573","409290409840000000","39 STREET","43 AVENUE","Q","2023-07-21T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1039801.7441993058 205831.9768372327)","55355","424590451590000000","170 STREET","JEWEL AVENUE","Q","2023-06-16T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1013892.7845343947 241740.52936381102)","48016","233720265020000000","FREEMAN STREET","SIMPSON STREET","X","2023-06-29T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (996994.3508116305 223026.07925997674)","23595","110210118710000000","3 AVENUE","EAST   86 STREET","M","2023-07-20T00:00:00","2023-09-01T00:00:00","CONTRACT ROADWAY MILLING"
"POINT (1037841.1510076374 203674.2350897342)","55189","415840424140000000","76 AVENUE","162 STREET","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (994877.0259780586 203365.0821647197)","22001","366830376950000000","NORTH   12 STREET","BODY OF WATER","B","2023-08-11T00:00:00","2023-08-15T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1038029.9006301314 202397.8140861392)","55257","416240424140000000","78 ROAD","162 STREET","Q","2023-06-16T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1015288.8968996406 210191.1315047294)","46608","416140468290000000","77 STREET","WOODSIDE AVENUE","Q","2023-08-10T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1012252.2264638096 214832.7918408066)","46401","408190414440000000","32 AVENUE","68 STREET","Q","2023-07-21T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1027506.7166240513 204167.94506031275)","50397","414390420390000000","68 ROAD","110 STREET","Q","2023-07-24T00:00:00","2023-08-25T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1017322.4361396432 207337.3379997313)","108515","447290465990000000","GRAND AVENUE","VAN HORN STREET","Q","2023-08-02T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1033721.9991409779 205505.72453697026)","54913","423090451590000000","147 STREET","JEWEL AVENUE","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1009804.1509793848 209163.35468889773)","41265","410440412190000000","47 AVENUE","58 STREET","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1053862.9194889665 206624.27840222418)","61198","426890448900000000","221 STREET","HARTLAND AVENUE","Q","2023-06-29T00:00:00","2023-09-02T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1016484.6523821354 233299.76606164873)","47532","216120271750000000","BRYANT AVENUE","VIELE AVENUE","X","2023-06-29T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (973158.6540605575 168085.22982430458)","11460","310730377130000000","83 STREET","SHORE ROAD","B","2023-08-08T00:00:00","2023-08-16T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1013123.0022813082 209221.1662530601)","45510","409940414690000000","44 AVENUE","69 STREET","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1038274.8932503909 204240.65816947818)","55272","415690424240000000","75 AVENUE","164 STREET","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1001135.1824249774 201250.83475281298)","40637","331930342430000000","DEBEVOISE AVENUE","FROST STREET","B","2023-08-17T00:00:00","2023-08-18T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1013370.2458813041 235321.95329022408)","47357","211020236890000000","BARRY STREET","GRINNELL PLACE","X","2023-06-29T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1011522.8119121343 209306.05125389993)","45290","413490459990000000","64 STREET","QUEENS BOULEVARD","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1013206.3849885613 235090.57547214627)","47354","211020245720000000","BARRY STREET","LEGGETT AVENUE","X","2023-06-29T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1037419.7345276326 203096.3297494799)","55187","416040424040000000","77 AVENUE","160 STREET","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1009324.1719524711 247086.37497131526)","44277","226880252120000000","EAST  174 STREET","MORRIS AVENUE","X","2023-07-24T00:00:00","2023-10-21T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1010103.6388974637 213740.84717431664)","46187","411390457790000000","54 STREET","NORTHERN BOULEVARD","Q","2023-07-21T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1020022.8014738113 217911.48975163698)","50728","407240419190000000","25 AVENUE","POWER ROAD","Q","2023-08-10T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1011189.334888801 238332.86229464412)","47279","226490270420000000","EAST  161 STREET","UNION AVENUE","X","2023-07-21T00:00:00","2023-09-02T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1037916.4526942968 203169.31155888736)","55191","416040424140000000","77 AVENUE","162 STREET","Q","2023-06-16T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1024184.1087679714 205374.80616363883)","50114","413440419190000000","64 ROAD","POWER ROAD","Q","2023-07-24T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1028505.097173214 204840.98177197576)","50511","414240447390000000","68 AVENUE","GRAND CENTRL PARKWAY","Q","2023-07-24T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1033392.7297863811 217220.29625214636)","55649","408990458590000000","38 AVENUE","PARSONS BOULEVARD","Q","2023-07-24T00:00:00","2023-08-25T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1014938.7401196361 232986.9579602331)","47405","268720271750000000","TIFFANY STREET","VIELE AVENUE","X","2023-06-29T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (973590.6351519674 169429.62969456613)","11477","310480377130000000","78 STREET","SHORE ROAD","B","2023-08-08T00:00:00","2023-08-16T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1011811.8995885551 196152.0260528028)","9005318","412690457900000000","60 STREET","NYCTA SUBWAY","Q","2023-07-21T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1017875.0400213003 207534.91634473205)","45899","447290461590000000","GRAND AVENUE","SEABURY STREET","Q","2023-08-02T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1017199.8412404656 207288.4174938947)","45891","447290462390000000","GRAND AVENUE","SIMONSON STREET","Q","2023-08-02T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1033147.4336890578 217909.278141886)","55647","457790458590000000","NORTHERN BOULEVARD","PARSONS BOULEVARD","Q","2023-07-24T00:00:00","2023-08-25T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1035911.8277665526 214126.27455306053)","55775","450090458590000000","HOLLY AVENUE","PARSONS BOULEVARD","Q","2023-07-24T00:00:00","2023-08-25T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1009785.7947168946 207585.54616472125)","41253","412090453090000000","58 PLACE","LAUREL HILL BOULEVARD","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1039185.6627542973 203872.4007038921)","55333","415840424390000000","76 AVENUE","167 STREET","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1012832.5045027137 209127.42300222814)","45404","412000414440000000","BQE EB ENTRANCE QUEENS BLVD EB","68 STREET","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1045678.4043619782 207803.41974473)","58896","414490425635000000","69 AVENUE","195 LANE","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1010611.6985768825 214605.0957738906)","46201","408190428020000000","32 AVENUE","AMTRAK RAILROAD","Q","2023-07-21T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1015418.1912604719 235992.22097855806)","47479","221320265520000000","COSTER STREET","SPOFFORD AVENUE","X","2023-06-29T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1037532.24414514 202324.5235503167)","55181","416240424040000000","78 ROAD","160 STREET","Q","2023-06-16T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (984999.1323480606 175095.04126398265)","14068","305880308530000000","8 AVENUE","39 STREET","B","2023-08-10T00:00:00","2023-08-15T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1019022.9281454682 217771.97231414914)","46948","407240418840000000","25 AVENUE","95 STREET","Q","2023-08-10T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1010182.7755502164 241017.86676713824)","47733","226640234220000000","EAST  166 STREET","FULTON AVENUE","X","2023-07-24T00:00:00","2023-10-21T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1013164.0097452253 219907.2370724827)","46523","406590415640000000","21 AVENUE","74 STREET","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1004909.2624752223 219057.3145597279)","41626","407300407890000000","25 STREET","30 ROAD","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1037028.7904276401 202249.96989364922)","55177","416240458590000000","78 ROAD","PARSONS BOULEVARD","Q","2023-06-16T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1008337.5328496397 241010.11743880808)","44151","220020226610000000","CLAY AVENUE","EAST  165 STREET","X","2023-07-24T00:00:00","2023-10-21T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1012480.1134752184 221253.26456414163)","47048","406440410390000000","20 AVENUE","46 STREET","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1037383.3566476405 203353.74655747414)","55184","415940424040000000","76 ROAD","160 STREET","Q","2023-06-16T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1013099.3573154658 235151.66130797565)","47349","211020245720000000","BARRY STREET","LEGGETT AVENUE","X","2023-06-29T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1004867.2678085566 245965.94709405303)","43794","250520274360000000","MERRIAM AVENUE","WEST  170 STREET","X","2023-07-24T00:00:00","2023-10-21T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1011625.149305895 247004.07493905723)","9046521","242350256820000000","ITTNER PLACE","PARK AVENUE","X","2023-08-07T00:00:00","2023-11-05T00:00:00","CONTRACT ROADWAY MILLING"
"POINT (1037200.0696126372 204591.0934922248)","55195","415140424040000000","72 AVENUE","160 STREET","Q","2023-06-16T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1010644.4741018862 202301.31788806617)","83261","411890447290000000","57 DRIVE","GRAND AVENUE","Q","2023-08-02T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1001975.6118464768 237227.6699512303)","42526","115060136610000000","CHISUM PLACE","WEST  142 STREET","M","2023-06-30T00:00:00","2023-08-18T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1037877.8402387202 203426.57515197992)","55188","415940424140000000","76 ROAD","162 STREET","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (995601.6797124743 196392.0419769734)","19590","373570393060000000","RODNEY STREET","WILLIAMSBURG ST WEST","B","2023-08-15T00:00:00","2023-08-18T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1005332.339384973 210907.88892947137)","41629","409490409840000000","40 STREET","43 AVENUE","Q","2023-07-21T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1041440.4417093098 204205.5171636492)","58558","415840424890000000","76 AVENUE","176 STREET","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1009988.9012660533 214517.8715388924)","41919","408190411390000000","32 AVENUE","54 STREET","Q","2023-07-21T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1038372.8658234775 202975.34573948383)","55260","416090424240000000","77 ROAD","164 STREET","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (974373.1368678063 172361.33610147238)","11954","309980377130000000","68 STREET","SHORE ROAD","B","2023-08-08T00:00:00","2023-08-16T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1014510.1651893854 243282.16013881564)","48099","226820251220000000","EAST  172 STREET","MINFORD PLACE","X","2023-07-24T00:00:00","2023-10-21T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1042401.2337509692 226446.30831189454)","60227","411065440990000000","CLEARVIEW EXPRESSWAY NB ET    7","CROSS ISLAND PARKWAY","Q","2023-07-24T00:00:00","2023-08-11T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1040174.3451601416 204018.4174722284)","58476","415840424690000000","76 AVENUE","171 STREET","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1000291.069939971 210236.89912973344)","41273","428980462590000000","AUSTELL PLACE","SKILLMAN AVENUE","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (997283.9827783108 233576.71367047727)","24153","110810131190000000","8 AVENUE","ST NICHOLAS AVENUE","M","2023-07-12T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1003017.7869274765 211252.93384306133)","41509","408205409840000000","32 PLACE","43 AVENUE","Q","2023-07-21T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1035639.9119718075 214360.88005498052)","55773","448950458590000000","HAWTHORNE AVENUE","PARSONS BOULEVARD","Q","2023-07-24T00:00:00","2023-08-25T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1037309.3541709781 203848.70029197633)","55186","415740424040000000","75 ROAD","160 STREET","Q","2023-06-16T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (923771.7954853922 129133.24047122896)","679","515650518105000000","AMBOY ROAD","BEDELL STREET","S","2023-07-27T00:00:00","2023-09-30T00:00:00","DOT IN-HOUSE MILLING"
"POINT (994340.7012633085 199344.4868594706)","19531","319530378230000000","BERRY STREET","SOUTH    2 STREET","B","2023-08-16T00:00:00","2023-08-17T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1013776.2427727282 210702.8660455644)","46449","409540415340000000","41 AVENUE","72 STREET","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1013139.6820379645 241876.90704381466)","48006","219420233720000000","CHISHOLM STREET","FREEMAN STREET","X","2023-06-29T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1010190.3050627261 209041.43564139307)","45179","410440412390000000","47 AVENUE","59 STREET","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (974270.4303802997 172018.19407123327)","11952","317380377130000000","BAY RIDGE AVENUE","SHORE ROAD","B","2023-08-08T00:00:00","2023-08-16T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1039927.3344992995 203982.0792903155)","55339","415840424590000000","76 AVENUE","170 STREET","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1045440.705362305 208457.6638430655)","58901","425635413990000000","195 LANE","67 AVENUE","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (972926.2007853091 166690.658794567)","11414","310980377130000000","88 STREET","SHORE ROAD","B","2023-08-08T00:00:00","2023-08-16T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1009273.2005977184 243207.36370047927)","44255","220020226730000000","CLAY AVENUE","EAST  169 STREET","X","2023-07-24T00:00:00","2023-10-21T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1007283.9591693878 223629.18468105793)","42331","406740442490000000","21 STREET","DITMARS BOULEVARD","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1047142.8184278905 205768.9129869789)","58997","425790465590000000","197 STREET","UNION TURNPIKE","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1008772.1090802252 216687.96201497316)","41855","407890410240000000","30 ROAD","45 STREET","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1016997.3875771314 207102.59109389782)","45800","447290466090000000","GRAND AVENUE","VAN KLEECK STREET","Q","2023-08-02T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1039432.9293201417 203908.90653640032)","55335","415840424490000000","76 AVENUE","168 STREET","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1008524.3110193908 247042.8481554836)","44203","226880272720000000","EAST  174 STREET","WALTON AVENUE","X","2023-07-24T00:00:00","2023-10-21T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1011127.5800910592 213887.8531138897)","46287","412190457790000000","58 STREET","NORTHERN BOULEVARD","Q","2023-07-21T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1015781.5632371306 210274.54669222236)","46614","416490468290000000","79 STREET","WOODSIDE AVENUE","Q","2023-08-10T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1008907.4864341319 216910.58296081424)","41857","407790410240000000","30 AVENUE","45 STREET","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1012876.1363052279 220887.12684497237)","47045","406440410640000000","20 AVENUE","48 STREET","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1037695.2293834686 204663.4686755538)","55198","415140424140000000","72 AVENUE","162 STREET","Q","2023-06-16T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1011495.6863102168 209247.42932389677)","66650","413490459990000000","64 STREET","QUEENS BOULEVARD","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1008327.929850474 215972.46475830674)","41847","407990410240000000","31 AVENUE","45 STREET","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1038685.0075876415 153013.36692348123)","33238","432390462200000000","BEACH   77 STREET","SHOREFRONT PARKWAY","Q","2023-06-29T00:00:00","2023-09-02T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1010206.3122485578 209516.99899472296)","45180","412390459990000000","59 STREET","QUEENS BOULEVARD","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1019361.7266804725 217158.61396081746)","46951","418890428790000000","96 STREET","ASTORIA BOULEVARD","Q","2023-08-10T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1033828.3375109732 206338.98697805405)","54924","414390441700000000","68 ROAD","DEAD END","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1024305.9651515484 206842.00762556493)","50118","412840419540000000","62 DRIVE","102 STREET","Q","2023-07-24T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1032407.677950725 211315.17486031353)","55559","436400454580000000","BOOTH MEMORIAL AVENUE","MAIN STREET","Q","2023-07-24T00:00:00","2023-08-11T00:00:00","DOT IN-HOUSE PAVING"
