"district","school","borough","location","postcode","latitude","longitude","community_board","council_district","bin","bbl","census_tract","nta"
"20","3K CENTER @ 4822 NEW UTRECHT AVENUE","BROOKLYN","4822 NEW UTRECHT AVENUE","11219","40.637193","-73.994682","312","44","3137378","3056330034","220","BK1202"
"22","3K CENTER @ 1326 EAST 57 STREET","BROOKLYN","1326 EAST 57 STREET","11234","40.620969","-73.920316","318","46","3345503","3078810033","690","BK1801"
"22","3K CENTER @ 1070 FLATBUSH AVENUE","BROOKLYN","1070 FLATBUSH AVENUE","11226","40.644512","-73.95798","314","40","3118557","3051520012","514","BK1401"
"24","3K CENTER @ 104-78 ROOSEVELT AVENUE","QUEENS","104-78 ROOSEVELT AVENUE","11368","40.750483","-73.859534","404","21","4448465","4019840034","40301","QN0402"
"24","3K CENTER @ 47-00 76TH STREET","QUEENS","47-00 76TH STREET","11373","40.739445","-73.888112","404","25","4038238","4015290001","485","QN0401"
"24","MOSAIC PRE-K CENTER @ 75-01 BROADWAY","QUEENS","75-01 BROADWAY","11373","40.746172","-73.890208","404","25","4036730","4014860013","267","QN0401"
"24","3K CENTER @ 63-57 FRESH POND ROAD","QUEENS","63-57 FRESH POND ROAD","11385","40.710748","-73.899573","405","30","4087482","4036090001","61301","QN0502"
"24","PRE-K CENTER @ 68-20 MYRTLE AVENUE","QUEENS","68-20 MYRTLE AVENUE","11385","40.701684","-73.883891","405","32","4090330","4037030007","629","QN0503"
"24","3K CENTER @ 61-02/10 LAUREL HILL BLVD","QUEENS","61-02/10 LAUREL HILL BLVD",,,,,,,,,
"24","3K CENTER @ 47-09 36TH STREET","QUEENS","47-09 36TH STREET","11101","40.741953","-73.929363","402","26","4003266","4002290025","189","QN0202"
"25","PRE-K CENTER @ 14-45 143RD STREET","QUEENS","14-45 143RD STREET","11357","40.785787","-73.826154","407","19","4098778","4041110088","945","QN0701"
"25","3K CENTER @ 18-31 131ST STREET","QUEENS","18-31 131ST STREET","11356","40.782958","-73.837713","407","19","4099024","4041370001","945","QN0701"
"25","3K CENTER @ 41-61 KISSENA BOULEVARD","QUEENS","41-61 KISSENA BOULEVARD","11355","40.757519","-73.827755","407","20","4114293","4050450001","853","QN0707"
"26","3K CENTER I @ 179-24 UNION TURNPIKE","QUEENS","179-24 UNION TURNPIKE","11366","40.726838","-73.788375","408","24","4155491","4072290020","1277","QN0804"
"26","3K CENTER II @ 186-16 UNION TURNPIKE","QUEENS","186-16 UNION TURNPIKE","11366","40.728705","-73.78269","408","24","4156125","4072560101","1277","QN0804"
"27","3K CENTER @ 185 BEACH 99TH STREET","QUEENS","185 BEACH 99TH STREET","11694","40.583856","-73.820117","414","32","4440329","4161720020","94201","QN1402"
"28","3K CENTER @ 98-05 63RD DRIVE","QUEENS","98-05 63RD DRIVE","11374","40.731041","-73.858586","406","24","4050501","4020980001","71701","QN0601"
"28","3K CENTER @ 159-26 JAMAICA AVENUE","QUEENS","159-26 JAMAICA AVENUE","11432","40.703473","-73.799846","412","27","4215612","4101000001","44601","QN1201"
"29","DISTRICT 29 PRE-K CENTER @ 134-35 SPRINGFIELD BOULEVARD","QUEENS","134-35 SPRINGFIELD BOULEVARD","11413","40.679271","-73.753853","413","31","4279972","4130130039","358","QN1305"
"29","DISTRICT 29 PRE-K CENTER @ 207-01 JAMAICA AVENUE","QUEENS","207-01 JAMAICA AVENUE","11428","40.714136","-73.752992","413","23","4224473","4105400005","496","QN1303"
"30","3K CENTER @ 40-08/16 34TH AVENUE","QUEENS","40-08/16 34TH AVENUE",,,,,,,,,
"30","3K CENTER @ 11-11 40TH AVENUE","QUEENS","11-11 40TH AVENUE","11101","40.756363","-73.943381","401","26","4005353","4004730548","85","QN0105"
"30","3K CENTER @ 36-31 38TH STREET","QUEENS","36-31 38TH STREET","11101","40.753292","-73.924684","401","26","4314400","4006650010","157","QN0104"
"31","3K CENTER @ 10 ELM STREET","STATEN ISLAND","10 ELM STREET","10310","40.641761","-74.114913","501","49","5168587","5001580006","9701","SI0104"
"31","THE RICHMOND PRE-K CENTER @ 2040 FOREST AVENUE","STATEN ISLAND","2040 FOREST AVENUE","10303","40.626017","-74.156541","501","49","5110626","5016960008","30302","SI0107"
"31","THE RICHMOND PRE-K CENTER @ 2389 RICHMOND AVENUE","STATEN ISLAND","2389 RICHMOND AVENUE","10314","40.59031","-74.166186","502","51","5146581","5023800600","27706","SI0204"
"31","THE RICHMOND PRE-K CENTER @ 1275 WOODROW ROAD","STATEN ISLAND","1275 WOODROW ROAD","10309","40.541743","-74.207139","503","51","5079744","5061450016","20806","SI0303"
"31","3K CENTER @ 365 BAY STREET","STATEN ISLAND","365 BAY STREET","10301","40.633326","-74.075253","501","49","5159763","5004880071","21","SI0102"
"31","THE RICHMOND PRE-K CENTER @ 1800 RICHMOND TERRACE","STATEN ISLAND","1800 RICHMOND TERRACE","10310","40.637276","-74.125315","501","49","5005372","5002000024","13302","SI0106"
"31","THE RICHMOND PRE-K CENTER @ 375 TOMPKINS AVENUE","STATEN ISLAND","375 TOMPKINS AVENUE","10305","40.616265","-74.074081","501","49","5042517","5028430001","8","SI0103"
