"inspection_id","omppropid","site_name","boro","district","inspection_date","pip_category","overall_rating","cleanliness_rating"
"358707","X002-ZN04","Allerton Fields In Bronx Park","X","X-14","2020-07-08T10:17:00.000","Large Park","U","U"
"358708","Q019","Garlinge Triangle","Q","Q-05","2020-07-08T10:18:00.000","Small Park","U","U"
"358709","Q090","Federalist Triangle","Q","Q-05","2020-07-08T10:30:00.000","Small Park","A","A"
"358710","X044","St. James Park","X","X-07","2020-07-09T11:15:00.000","Large Park","U","U"
"358711","M091","Bennett Rest","M","M-12","2020-07-08T10:40:00.000","Small Park","U","U"
"358712","X041","Pulaski Park","X","X-01","2020-07-07T10:41:00.000","Playground","U","U"
"358714","X004-XZ293","Greenstreet","X","X-14","2020-07-08T10:48:00.000","Greenstreet","U","U"
"358716","X154","Melrose Playground","X","X-01","2020-07-07T10:50:00.000","Playground","A","A"
"358717","M061","Plaza Lafayette","M","M-12","2020-07-08T10:53:00.000","Small Park","A","A"
"358718","Q366","Louis C. Moser Playground","Q","Q-03","2020-07-08T10:57:00.000","Playground","A","A"
"358719","X092-ZN20","Croton Woods","X","X-13","2020-07-08T09:30:00.000","Large Park","U","U"
"358720","Q102-03","Juniper South Playground","Q","Q-05","2020-07-08T11:00:00.000","Playground","A","A"
"358721","M090","Lafayette Square","M","M-10","2020-07-06T11:00:00.000","Small Park","A","A"
"358723","X103","People's Park","X","X-01","2020-07-07T11:07:00.000","Playground","U","U"
"358724","X191A","Bicentennial Veterans Memorial Park","X","X-10","2020-07-08T08:07:00.000","Large Park","U","U"
"358725","M015","Columbus Park","M","M-01","2020-07-06T08:30:00.000","Playground","U","U"
"358727","XZ381","GREENSTREET","X","X-10","2020-07-08T09:12:00.000","Greenstreet","A","A"
"358729","XZ393","GREENSTREET","X","X-10","2020-07-08T10:14:00.000","Greenstreet","A","A"
"358730","R126","Gaeta Park","R","R-01","2020-07-08T11:15:00.000","Small Park","A","A"
"358732","X217","Willis Playground","X","X-01","2020-07-07T11:16:00.000","Playground","U","U"
"358733","XZ394","GREENSTREET","X","X-10","2020-07-08T10:40:00.000","Greenstreet","A","A"
"358734","M082","Seward Park","M","M-03","2020-07-08T11:18:00.000","Playground","U","U"
"358735","M029-01","Jacob Javits Plgd","M","M-12","2020-07-08T11:18:00.000","Playground","A","A"
"358736","XZ473",,"X","X-10","2020-07-08T11:18:00.000","Greenstreet","A","A"
"358737","XZ139","GREENSTREET","X","X-10","2020-07-08T11:21:00.000","Greenstreet","U","U"
"358738","Q133","Pat Williams Playground","Q","Q-13","2020-07-08T11:27:00.000","Playground","A","A"
"358739","R075C","Ingram Woods","R","R-01","2020-07-08T12:29:00.000","Small Park","A","A"
"358740","Q116","One Room Schoolhouse Park","Q","Q-03","2020-07-08T11:30:00.000","Small Park","A","A"
"358741","Q026","Park Of The Americas","Q","Q-04","2020-07-08T11:35:00.000","Playground","U","U"
"358743","Q055","Veteran's Square","Q","Q-04","2020-07-08T11:46:00.000","Small Park","A","A"
"358744","M386","Imagination Playground","M","M-01","2020-07-06T09:20:00.000","Playground","A","A"
"358745","M224","Straus Square","M","M-03","2020-07-08T11:51:00.000","Small Park","U","U"
"358746","Q173","American Triangle","Q","Q-04","2020-07-08T11:53:00.000","Small Park","A","A"
"358747","RZ45","Greenstreet","R","R-01","2020-07-08T11:59:00.000","Greenstreet","A","A"
"358748","M122","Captain Jacob Joseph Playground","M","M-03","2020-07-08T12:00:00.000","Playground","U","U"
"358749","M132","Little Flower Playground","M","M-03","2020-07-08T12:04:00.000","Playground","U","U"
"358750","M235","Sol Lain Plgd","M","M-03","2020-07-08T12:15:00.000","Playground","U","U"
"358751","Q152-QZ67","Horsebrook Island","Q","Q-04","2020-07-08T11:57:00.000","Greenstreet","A","A"
"358752","M002","Ahearn Park","M","M-03","2020-07-08T12:20:00.000","Small Park","U","U"
"358753","Q152","Horsebrook Island","Q","Q-04","2020-07-08T12:21:00.000","Small Park","A","A"
"358754","XZ475","Wade Triangle","X","X-06","2020-07-08T12:22:00.000","Greenstreet","U","U"
"358755","QZ49","Greenstreet","Q","Q-04","2020-07-08T12:24:00.000","Greenstreet","A","A"
"358756","M228","Henry M. Jackson Playground","M","M-03","2020-07-08T12:26:00.000","Playground","U","U"
"358757","Q217","Lt. Frank McConnell Park","Q","Q-09","2020-07-08T12:27:00.000","Small Park","A","A"
"358758","X036","Murphy Triangle","X","X-06","2020-07-08T12:31:00.000","Small Park","A","A"
"358759","M064","Lillian D Wald Playground","M","M-03","2020-07-08T12:32:00.000","Playground","U","U"
"358760","M171","Cherry Clinton Playground","M","M-03","2020-07-08T12:36:00.000","Playground","U","U"
"358761","Q450","Corona Golf Playground","Q","Q-04","2020-07-08T12:29:00.000","Playground","A","A"
"358762","M033","Hamilton Fish Park","M","M-03","2020-07-08T12:41:00.000","Playground","U","U"
"358763","X092-ZN22","Old Croton Aqueduct Trail (middle)","X","X-13","2020-07-08T11:30:00.000","Large Park","U","U"
"358764","X092-05","Van Cortlandt Classic Plgd","X","X-13","2020-07-08T08:00:00.000","Playground","U","U"
"358765","XZ46","GREENSTREET","X","X-04","2020-07-06T10:20:00.000","Greenstreet","A","A"
"358766","X130","Barry Plaza","X","X-04","2020-07-06T13:05:00.000","Small Park","A","A"
"358767","X092-ZN19","NW Forest","X","X-13","2020-07-08T10:30:00.000","Large Park","U","U"
"358769","X092-ZN09","NW Corner","X","X-13","2020-07-08T12:05:00.000","Large Park","U","U"
"358770","X008-ZN02","Claremont Zone 2","X","X-04","2020-07-06T13:16:00.000","Large Park","A","A"
"358771","XZ208","GREENSTREET","X","X-07","2020-07-08T13:28:00.000","Greenstreet","U","U"
"358772","M034","Hancock Park","M","M-10","2020-07-08T13:33:00.000","Small Park","A","A"
"358773","M077-02","St Nicholas","M","M-09","2020-07-08T09:39:00.000","Playground","A","A"
"358774","M024","Dorrance Brooks Square","M","M-10","2020-07-06T13:43:00.000","Small Park","A","A"
"358775","B166D","McGuire Fields","B","B-18","2020-07-08T13:51:00.000","Large Park","U","U"
"358776","M198","Martin Luther King, Jr. Playground","M","M-10","2020-07-07T13:55:00.000","Playground","A","A"
"358777","X148K4","Park","X","X-09","2020-07-06T10:15:00.000","Small Park","A","A"
"358778","Q099-ZN18","QN Wldlf Ctr-Terr On Park-NY Hall Of Sci","Q","Q-15","2020-07-08T14:05:00.000","Large Park","U","U"
"358779","M155","Courtney Callender Playground","M","M-10","2020-07-08T14:05:00.000","Playground","A","A"
"358780","X148K1","Park","X","X-09","2020-07-06T10:25:00.000","Small Park","A","A"
"358781","X148K3","Wood Park","X","X-09","2020-07-06T10:35:00.000","Small Park","A","A"
"358782","Q220F","Maple Grove Park","Q","Q-09","2020-07-08T14:11:00.000","Small Park","A","A"
"358783","X148K2","St. Lawrence Triangle","X","X-09","2020-07-06T10:40:00.000","Small Park","A","A"
"358784","B029-ZN05","Eastern Parkway Mall Zone 5","B","B-08","2020-07-08T14:17:00.000","Large Park","A","A"
"358785","M069","Vesuvio Playground","M","M-02","2020-07-08T12:18:00.000","Playground","A","A"
"358786","X092-ZN18","Vault Hill","X","X-13","2020-07-08T13:00:00.000","Large Park","U","U"
"358787","B215","Decatur Playground","B","B-03","2020-07-08T14:25:00.000","Playground","U","U"
"358788","X012","Church Triangle","X","X-09","2020-07-08T08:00:00.000","Small Park","A","A"
"358789","M104-ZN01","Bronx Shore","M","M-11R","2020-07-08T14:27:00.000","Large Park","A","A"
"358790","X148M","Chief Dennis L. Devlin Park","X","X-09","2020-07-08T08:15:00.000","Small Park","U","U"
"358792","Q342","Electric Playground","Q","Q-08","2020-07-08T14:33:00.000","Playground","U","U"
"358793","XZ135","GREENSTREET","X","X-09","2020-07-08T08:40:00.000","Greenstreet","A","A"
"358794","Q360H","Peter Chahales Park","Q","Q-05","2020-07-08T14:39:00.000","Small Park","A","A"
"358795","XZ349","GREENSTREET","X","X-09","2020-07-08T08:55:00.000","Greenstreet","A","A"
"358796","RZ85","GREENSTREET","R","R-01","2020-07-09T11:43:00.000","Greenstreet","A","A"
"358797","M022","De Witt Clinton Park","M","M-04","2020-07-08T12:30:00.000","Playground","U","U"
"358798","XZ28","GREENSTREET","X","X-09","2020-07-08T09:05:00.000","Greenstreet","A","A"
"358799","QT08","Newcombe Square","Q","Q-09","2020-07-08T14:53:00.000","Small Park","A","A"
"358800","X025","Hugh J. Grant Circle","X","X-09","2020-07-08T09:15:00.000","Small Park","A","A"
"358801","XZ346","GREENSTREET","X","X-09","2020-07-08T09:30:00.000","Greenstreet","A","A"
"358803","X148L1","Virginia Park","X","X-09","2020-07-08T09:45:00.000","Small Park","A","A"
"358804","X111","Cedar Playground","X","X-05","2020-07-07T11:07:00.000","Playground","U","U"
"358805","Q320","Vleigh Playground","Q","Q-08","2020-07-08T15:05:00.000","Playground","U","A"
"358806","M120A","William F. Passannante Ballfield","M","M-02","2020-07-08T13:08:00.000","Playground","A","A"
"358807","M104-ZN02","Sunken Meadow","M","M-11R","2020-07-08T15:11:00.000","Large Park","A","A"
"358808","XZ471",,"X","X-09","2020-07-08T10:15:00.000","Greenstreet","U","U"
"358809","X001A-01","Morton Plgd","X","X-05","2020-07-07T11:44:00.000","Playground","U","U"
"358810","X239","Castle Hill Little League Field","X","X-09","2020-07-08T10:22:00.000","Small Park","A","A"
"358811","M222","Grand Canal Court","M","M-02","2020-07-08T13:15:00.000","Playground","A","A"
"358812","X148O-XZ404","Chatterton Triangle","X","X-09","2020-07-08T10:35:00.000","Greenstreet","A","A"
"358813","X159","Captain William Harry Thompson Playground","X","X-09","2020-07-08T11:45:00.000","Playground","A","A"
"358814","X001A-XZ378","Greenstreet","X","X-05","2020-07-08T09:39:00.000","Greenstreet","A","A"
"358815","M125C","West 4th Street Courts","M","M-02","2020-07-08T14:22:00.000","Playground","A","A"
"358816","X037","O'Brien Oval","X","X-05","2020-07-08T10:06:00.000","Small Park","U","U"
"358817","M104-ZN03","Stadium Area","M","M-11R","2020-07-08T15:24:00.000","Large Park","A","A"
"358818","M107-ZN05","Wards Waterfront","M","M-11R","2020-07-08T15:28:00.000","Large Park","A","A"
"358819","M120B","Playground of the Americas","M","M-02","2020-07-08T14:28:00.000","Playground","A","A"
"358820","X312","Ferris Family Burial Plot","X","X-10","2020-07-08T15:02:00.000","Other","A","A"
"358821","XZ209","GREENSTREET","X","X-05","2020-07-08T11:11:00.000","Greenstreet","U","U"
"358822","M308","Washington Market Park","M","M-01","2020-07-06T11:12:00.000","Playground","U","A"
"358823","Q344","Emerald Playground","Q","Q-08","2020-07-08T15:37:00.000","Playground","A","A"
"358824","M238","Bloomingdale Playground","M","M-07","2020-07-10T09:00:00.000","Playground","A","A"
"358825","M200A","Anibal Aviles Playground","M","M-07","2020-07-08T15:50:00.000","Playground","A","A"
"358826","M229","Happy Warrior Playground","M","M-07","2020-07-08T15:30:00.000","Playground","A","A"
"358827","M219","Tecumseh Playground","M","M-07","2020-07-08T16:30:00.000","Playground","A","A"
"358828","M233","Matthew P. Sapolin Playground","M","M-07","2020-07-08T17:15:00.000","Playground","A","A"
"358829","Q329","Pomonok Playground","Q","Q-08","2020-07-08T15:55:00.000","Playground","U","A"
"358830","R046-ZN03","South Beach Zone 3","R","R-02B","2020-07-08T16:18:00.000","Large Park","A","A"
"358832","M378","Pearl St Playground","M","M-01","2020-07-06T12:40:00.000","Playground","A","A"
"358840","M379","Canal Park","M","M-01","2020-07-08T13:21:00.000","Small Park","A","A"
"358841","M006","Tribeca Park","M","M-01","2020-07-08T11:30:00.000","Small Park","A","A"
"358843","M025","Duane Park","M","M-01","2020-07-07T11:40:00.000","Small Park","A","A"
"358844","M005","The Battery","M","M-01","2020-07-07T12:44:00.000","Large Park","A","A"
"358845","M145","Albert Capsouto Park","M","M-01","2020-07-08T12:15:00.000","Small Park","A","A"
"358846","M385","DeLury Square","M","M-01","2020-07-08T13:58:00.000","Small Park","A","A"
"358847","M089","Union Square Park","M","M-05","2020-07-08T18:05:00.000","Small Park","U","A"
"358848","M242","Collect Pond Park","M","M-01","2020-07-08T14:30:00.000","Small Park","U","U"
"358851","MZ409","Greenstreet","M","M-05","2020-07-08T18:16:00.000","Greenstreet","A","A"
"358852","MZG003","GREENSTREET","M","M-05","2020-07-08T18:19:00.000","Greenstreet","A","A"
"358853","M391-ZN01","East River Waterfront Esplanade Zone 1","M","M-01","2020-07-07T14:40:00.000","Large Park","A","A"
"358857","B202","Lithuania Square","B","B-01","2020-07-08T19:29:00.000","Small Park","U","U"
"358858","X120","Highbridge Park","X","X-04","2020-07-08T20:35:00.000","Small Park","U","U"
"358859","B257","Frost Playground","B","B-01","2020-07-08T20:38:00.000","Playground","U","U"
"358860","X303","Park","X","X-04","2020-07-08T20:45:00.000","Small Park","U","U"
"358861","B193","Hamilton Metz Field","B","B-09","2020-07-06T11:30:00.000","Playground","A","A"
"358863","XZ100","GREENSTREET","X","X-04","2020-07-08T21:05:00.000","Greenstreet","U","U"
"358864","Q300-ZN03","Captain Mario Fajardo Park","Q","Q-07","2020-07-05T16:10:00.000","Large Park","U","A"
"358870","B132","Gilbert Ramirez Park","B","B-01","2020-07-09T04:50:00.000","Playground","U","U"
"358871","B223NC","Penn Triangle","B","B-01","2020-07-09T05:46:00.000","Playground","A","A"
"358872","X092-ZN08","Kelly Fields","X","X-13","2020-07-09T06:47:00.000","Large Park","U","U"
"358873","X092-ZN09","NW Corner","X","X-13","2020-07-09T07:15:00.000","Large Park","U","A"
"358874","B062","Memorial Gore","B","B-01","2020-07-09T05:53:00.000","Small Park","U","U"
"358875","X092-ZN10","Healy Field & Gaelic Field","X","X-13","2020-07-09T08:10:00.000","Large Park","U","U"
"358876","X092-ZN11","Indian Memorial To Indian Field","X","X-13","2020-07-09T09:10:00.000","Large Park","U","U"
"358877","B024","Orient Grove","B","B-01","2020-07-09T06:27:00.000","Small Park","U","A"
"358878","B223NA","Classon Playground","B","B-01","2020-07-09T07:05:00.000","Playground","U","A"
"358879","B382A","Roberto Clemente Ballfield","B","B-01","2020-07-09T07:24:00.000","Small Park","U","U"
"358880","B223S","Macri Triangle","B","B-01","2020-07-09T07:49:00.000","Small Park","U","U"
"358881","R046-ZN01","South Beach Zone 1","R","R-02B","2020-07-10T15:00:00.000","Large Park","A","A"
"358882","B317","Lafayette Gardens Playground","B","B-03","2020-07-09T08:17:00.000","Playground","U","U"
"358883","X010-04","Crotona Playground (4)","X","X-03","2020-07-08T08:26:00.000","Playground","A","A"
"358884","X010-XZ119","Greenstreet","X","X-03","2020-07-08T08:29:00.000","Greenstreet","U","U"
"358885","X010-XZ210","Greenstreet","X","X-03","2020-07-08T08:32:00.000","Greenstreet","U","U"
"358886","M042-01","Payson Plgd","M","M-12","2020-07-09T08:41:00.000","Playground","U","A"
"358887","X150E","Fordham Landing Playground","X","X-05","2020-07-09T10:12:00.000","Playground","U","U"
"358888","XZ331","GREENSTREET","X","X-07","2020-07-09T10:06:00.000","Greenstreet","A","A"
"358889","X010","Crotona Park","X","X-03","2020-07-09T08:45:00.000","Large Park","U","U"
"358890","X010-09","Clinton Playground","X","X-03","2020-07-09T08:48:00.000","Playground","U","U"
"358891","X165","Edenwald Playground","X","X-12","2020-07-09T08:49:00.000","Playground","U","U"
"358892","X010-07","Carter Plgd (7)","X","X-03","2020-07-09T08:51:00.000","Playground","U","U"
"358893","M042-03","Indian Road Plgd","M","M-12","2020-07-09T09:02:00.000","Playground","A","A"
"358894","B223R","Jaime Campiz Playground","B","B-01","2020-07-09T09:03:00.000","Playground","U","U"
"358895","M234","Wright Brothers Playground","M","M-12A","2020-07-08T09:06:00.000","Playground","A","A"
"358896","X187-02","Cavanagh Triangle","X","X-12","2020-07-09T09:11:00.000","Small Park","U","U"
"358897","M037-10","Adventure Plgd","M","M-12A","2020-07-08T13:27:00.000","Playground","A","A"
"358898","Q101","Middle Village Playground","Q","Q-05","2020-07-09T09:18:00.000","Playground","U","U"
"358899","M037-01","Sunken Plgd","M","M-12A","2020-07-08T13:50:00.000","Playground","A","A"
"358900","QZ299","Greenstreet","Q","Q-05","2020-07-09T09:24:00.000","Greenstreet","A","A"
"358901","M042-02","Emerson Plgd","M","M-12","2020-07-09T09:25:00.000","Playground","A","A"
"358902","XZ07","GREENSTREET","X","X-12","2020-07-09T09:29:00.000","Greenstreet","A","A"
"358903","Q289","Pinocchio Playground","Q","Q-05","2020-07-09T09:40:00.000","Playground","A","A"
"358904","Q290","""Uncle"" Vito F. Maranzano Glendale Playground","Q","Q-05","2020-07-09T09:41:00.000","Playground","U","U"
"358905","Q102-ZN04","Juniper Valley Park Zone 4","Q","Q-05","2020-07-09T09:50:00.000","Large Park","A","A"
"358906","M071-08","River Run Plgd","M","M-14","2020-07-09T10:01:00.000","Playground","A","A"
"358907","M113","Joseph C. Sauer Park","M","M-03","2020-07-09T10:07:00.000","Playground","A","A"
"358908","Q383","Middle Village Veterans Triangle","Q","Q-05","2020-07-09T10:18:00.000","Small Park","A","A"
"358911","M088-03","Tompkins Square Park","M","M-03","2020-07-09T10:25:00.000","Playground","A","A"
"358912","R046-RZ160","Greenstreet","R","R-02B","2020-07-09T07:27:00.000","Greenstreet","A","A"
"358913","X202","Marble Hill Playground","X","X-08","2020-07-09T10:30:00.000","Playground","U","U"
"358914","RZ102","GREENSTREET","R","R-02B","2020-07-09T10:14:00.000","Greenstreet","A","A"
"358915","M088-01","Tompkins Square Park","M","M-03","2020-07-09T10:39:00.000","Playground","A","A"
"358916","X193","Stars & Stripes Playground","X","X-12","2020-07-09T10:41:00.000","Playground","U","U"
"358917","RZ99","GREENSTREET","R","R-02B","2020-07-09T07:22:00.000","Greenstreet","A","A"
