"report_year","comm_dist_boro","comm_district","fam_dir","fam_fel_assault","dv_fel_assault","fam_rape","dv_rape"
"2018","Queens","6","636","15","24","5","7"
"2018","Staten Island","2","1265","27","50","5","6"
"2018","Staten Island","3","1169","22","37","3","4"
"2018","Staten Island","SIJIA","7","0","0","0","0"
"2018","Staten Island","Unknown","1","0","0","0","0"
"2018","Staten Island","Total","6648","161","260","23","37"
"2018","Bronx","2","1395","75","107","7","13"
"2018","Bronx","3","2985","146","230","8","11"
"2018","Bronx","4","2975","139","221","9","20"
"2018","Bronx","5","3249","165","254","7","12"
"2018","Bronx","6","2179","100","166","4","12"
"2018","Bronx","7","2547","169","234","3","9"
"2018","Bronx","8","974","36","66","3","5"
"2018","Bronx","9","3689","211","325","10","16"
"2018","Bronx","10","1704","74","126","4","7"
"2018","Bronx","11","1731","91","149","6","10"
"2018","Bronx","12","3203","219","356","11","18"
"2018","Bronx","BXJIA","20","1","1","0","0"
"2018","Bronx","Unknown","12","0","0","0","0"
"2018","Bronx","Total","29762","1593","2503","79","149"
"2018","Brooklyn","1","1737","74","129","6","10"
"2018","Brooklyn","2","1580","46","83","2","12"
"2018","Brooklyn","3","3030","130","244","11","16"
"2018","Brooklyn","4","1532","79","134","6","14"
"2018","Brooklyn","5","4307","289","429","17","30"
"2018","Brooklyn","6","926","34","69","3","7"
"2018","Brooklyn","7","791","45","74","9","18"
"2018","Brooklyn","8","1986","76","128","8","12"
"2018","Brooklyn","9","1253","71","120","2","2"
"2018","Brooklyn","10","660","49","66","2","4"
"2018","Brooklyn","11","1194","52","76","6","10"
"2018","Brooklyn","12","729","23","50","4","6"
"2018","Brooklyn","13","1627","64","110","6","9"
"2018","Brooklyn","14","1598","61","96","6","10"
"2018","Brooklyn","15","1303","55","86","5","6"
"2018","Brooklyn","16","3141","148","236","9","19"
"2018","Brooklyn","17","2684","161","271","8","17"
"2018","Brooklyn","18","2446","97","183","4","9"
"2018","Brooklyn","BKJIA","26","3","4","1","1"
"2018","Brooklyn","Unknown","10","0","0","0","0"
"2018","Brooklyn","Total","32560","1557","2588","115","212"
"2018","Manhattan","1","623","16","18","0","0"
"2018","Manhattan","2","492","15","19","0","0"
"2018","Manhattan","3","1760","72","123","15","18"
"2018","Manhattan","4","1317","51","58","8","10"
"2018","Manhattan","5","825","29","38","4","5"
"2018","Manhattan","6","813","21","32","2","2"
"2018","Manhattan","7","1363","45","71","5","7"
"2018","Manhattan","8","862","42","54","0","1"
"2018","Manhattan","9","1502","65","103","6","7"
"2018","Manhattan","10","3032","120","191","10","13"
"2018","Manhattan","11","3056","141","219","8","16"
"2018","Manhattan","12","2120","109","164","14","23"
"2018","Manhattan","MNJIA","10","0","0","0","0"
"2018","Manhattan","Unknown","8","0","0","0","0"
"2018","Manhattan","Total","17783","726","1090","72","102"
"2018","Queens","1","2019","83","141","11","15"
"2018","Queens","2","1029","34","46","3","5"
"2018","Queens","3","2014","111","179","16","26"
"2018","Queens","4","1612","101","136","12","22"
"2018","Queens","5","1420","57","95","3","10"
"2018","Queens","7","1557","41","80","6","7"
"2018","Queens","8","1245","36","68","9","13"
"2018","Queens","9","1837","48","85","7","9"
"2018","Queens","10","1858","71","116","10","11"
"2018","Queens","11","500","21","36","1","3"
"2018","Queens","12","4269","234","414","16","27"
"2018","Queens","13","2027","120","215","7","7"
"2018","Queens","14","2490","133","219","9","17"
"2018","Queens","QNJIA","14","0","2","0","0"
"2018","Queens","Unknown","10","0","0","0","0"
"2018","Bronx","1","3099","167","268","7","16"
"2018","Queens","Total","24537","1105","1856","115","179"
"2018","Staten Island","1","4206","112","173","15","27"
"2017","Staten Island","3","1210","25","38","1","2"
"2017","Bronx","1","2973","190","299","10","17"
"2017","Bronx","2","1520","66","106","5","9"
"2017","Bronx","3","2892","125","190","7","10"
"2017","Bronx","4","3095","119","206","4","10"
"2017","Bronx","5","2884","171","244","9","14"
"2017","Bronx","6","2058","121","179","8","14"
"2017","Bronx","7","2547","132","192","9","15"
"2017","Bronx","8","915","46","64","2","2"
"2017","Bronx","9","3360","178","289","8","13"
"2017","Bronx","10","1523","55","85","2","3"
"2017","Bronx","11","1648","67","111","5","6"
"2017","Bronx","12","2832","215","309","11","15"
"2017","Bronx","BXJIA","22","2","2","0","0"
"2017","Bronx","Total","28269","1487","2276","80","128"
"2017","Brooklyn","1","1706","78","127","6","8"
"2017","Brooklyn","2","1506","56","92","1","2"
"2017","Brooklyn","3","3100","135","215","14","20"
"2017","Brooklyn","4","1514","67","104","3","9"
"2017","Brooklyn","5","4317","210","355","19","25"
"2017","Brooklyn","6","953","43","59","2","2"
"2017","Brooklyn","7","855","49","76","10","12"
"2017","Brooklyn","8","1856","72","128","2","5"
"2017","Brooklyn","9","1320","52","97","2","2"
"2017","Brooklyn","10","911","42","57","1","3"
"2017","Brooklyn","11","1293","65","104","1","2"
"2017","Brooklyn","12","678","34","52","2","4"
"2017","Brooklyn","13","1482","58","102","1","4"
"2017","Brooklyn","14","1600","79","113","3","7"
"2017","Brooklyn","15","1155","56","90","5","5"
"2017","Brooklyn","16","3399","166","259","9","16"
"2017","Brooklyn","17","2677","164","261","7","13"
"2017","Brooklyn","18","2503","100","189","8","14"
"2017","Brooklyn","BKJIA","43","1","1","0","0"
"2017","Brooklyn","Total","32868","1527","2481","96","153"
"2017","Manhattan","1","496","5","8","1","1"
"2017","Manhattan","2","470","12","16","2","2"
"2017","Manhattan","3","1837","63","118","6","8"
"2017","Manhattan","4","1193","56","71","6","9"
"2017","Manhattan","5","822","37","41","2","2"
"2017","Manhattan","6","727","28","37","3","4"
"2017","Manhattan","7","1333","47","66","6","8"
"2017","Manhattan","8","889","29","43","3","3"
"2017","Manhattan","9","1474","57","93","3","8"
"2017","Manhattan","10","2897","128","197","2","5"
"2017","Manhattan","11","3214","157","244","9","18"
"2017","Manhattan","12","1994","80","146","7","7"
"2017","Manhattan","MNJIA","14","0","0","0","0"
"2017","Manhattan","Total","17360","699","1080","50","75"
"2017","Queens","1","1930","99","141","10","13"
"2017","Queens","2","981","50","75","3","3"
"2017","Queens","3","2025","84","142","10","17"
"2017","Queens","4","1469","66","95","5","10"
"2017","Queens","5","1463","64","101","4","7"
"2017","Queens","6","654","16","23","2","2"
"2017","Queens","7","1647","70","100","3","6"
"2017","Queens","8","1156","46","74","8","12"
"2017","Queens","9","1738","46","68","2","7"
"2017","Queens","10","1596","85","126","3","4"
"2017","Queens","11","518","17","31","0","0"
"2017","Queens","12","4226","218","357","14","23"
"2017","Queens","13","1795","103","181","5","7"
"2017","Queens","14","2641","143","232","10","15"
"2017","Queens","QNJIA","24","1","1","0","0"
"2017","Queens","Total","23863","1108","1747","79","126"
"2017","Staten Island","1","4052","130","206","4","17"
"2017","Staten Island","2","1188","34","54","1","2"
"2017","Staten Island","SIJIA","11","0","0","0","0"
"2017","Staten Island","Total","6461","189","298","6","21"
"2016","Bronx","1","2222","159","254","9","14"
"2016","Bronx","2","1195","59","103","4","10"
"2016","Bronx","3","1954","124","202","5","11"
"2016","Bronx","4","2447","153","229","6","11"
"2016","Bronx","5","2572","169","243","8","13"
"2016","Bronx","6","1649","121","169","5","10"
"2016","Bronx","7","1964","160","251","3","14"
"2016","Bronx","8","837","31","54","1","4"
"2016","Bronx","9","2860","155","285","17","23"
"2016","Bronx","10","1054","43","70","4","8"
"2016","Bronx","11","1341","80","127","5","12"
"2016","Bronx","12","2401","177","290","12","14"
"2016","Bronx","Total","22496","1431","2277","79","144"
"2016","Brooklyn","1","1416","63","105","6","12"
"2016","Brooklyn","2","1090","51","85","3","3"
"2016","Brooklyn","3","2437","141","244","12","18"
"2016","Brooklyn","4","1366","69","108","10","14"
"2016","Brooklyn","5","3708","259","447","15","23"
"2016","Brooklyn","6","820","37","58","1","4"
"2016","Brooklyn","7","851","52","97","7","12"
"2016","Brooklyn","8","1448","85","134","6","7"
"2016","Brooklyn","9","1137","71","132","1","3"
"2016","Brooklyn","10","887","28","49","1","2"
"2016","Brooklyn","11","1158","64","97","2","2"
"2016","Brooklyn","12","681","38","66","3","6"
"2016","Brooklyn","13","1311","56","105","1","4"
"2016","Brooklyn","14","1457","64","107","6","11"
"2016","Brooklyn","15","1043","51","83","7","8"
"2016","Brooklyn","16","2414","176","278","5","13"
"2016","Brooklyn","17","2581","168","273","9","17"
"2016","Brooklyn","18","2144","112","177","5","9"
"2016","Brooklyn","Total","27949","1585","2645","100","168"
"2016","Manhattan","1","410","14","15","1","1"
"2016","Manhattan","2","446","15","21","0","2"
"2016","Manhattan","3","1263","77","117","1","2"
"2016","Manhattan","4","898","51","62","0","2"
"2016","Manhattan","5","566","24","28","2","2"
"2016","Manhattan","6","543","19","31","3","6"
"2016","Manhattan","7","1060","46","68","3","4"
"2016","Manhattan","8","685","21","28","1","1"
"2016","Manhattan","9","1330","66","100","8","9"
"2016","Manhattan","10","2374","128","200","7","17"
"2016","Manhattan","11","2520","151","249","8","15"
"2016","Manhattan","12","1822","93","147","8","12"
"2016","Manhattan","Total","13917","705","1066","42","73"
"2016","Queens","1","1650","98","150","8","12"
"2016","Queens","2","775","33","48","7","7"
"2016","Queens","3","1842","117","167","10","18"
"2016","Queens","4","1346","74","109","10","17"
"2016","Queens","5","1238","69","101","5","10"
"2016","Queens","6","577","20","26","0","2"
"2016","Queens","7","1539","64","100","1","2"
"2016","Queens","8","1037","29","45","4","6"
"2016","Queens","9","1547","56","102","7","10"
"2016","Queens","10","1473","71","120","5","7"
"2016","Queens","11","506","25","47","0","0"
"2016","Queens","12","3958","226","384","13","26"
"2016","Queens","13","1646","96","178","3","5"
"2016","Queens","14","2214","148","228","4","9"
"2016","Queens","Total","21348","1126","1805","77","131"
"2016","Staten Island","1","3532","129","213","12","17"
"2016","Staten Island","2","1164","41","63","3","4"
"2016","Staten Island","3","1123","25","50","2","3"
"2016","Staten Island","Total","5819","195","326","17","24"
