"arrest_key","arrest_date","pd_cd","pd_desc","ky_cd","ofns_desc","law_code","law_cat_cd","arrest_boro","arrest_precinct","jurisdiction_code","age_group","perp_sex","perp_race","x_coord_cd","y_coord_cd","latitude","longitude","lon_lat"
"237580757","2021-12-09T00:00:00.000","105","STRANGULATION 1ST","106","FELONY ASSAULT","PL 1211200","F","M","30","0","25-44","M","BLACK","999751","241188","40.82867545800008","-73.94398971599996","POINT (-73.94398971599996 40.82867545800008)"
"190049060","2018-11-15T00:00:00.000","157","RAPE 1","104","RAPE","PL 1303501","F","K","77","0","25-44","M","BLACK","1003606","185050","40.67458330800008","-73.93022154099998","POINT (-73.93022154099998 40.67458330800008)"
"24288194","2006-09-13T00:00:00.000","203.0","TRESPASS 3, CRIMINAL","352.0","CRIMINAL TRESPASS","PL 140100E","M","K","77","2.0","45-64","M","BLACK","1004580.0","183838.0","40.67125445700003","-73.926713851","POINT (-73.926713851 40.67125445700003)"
"221870158","2020-12-15T00:00:00.000","297","FACILITATION 4, CRIMINAL","354","ANTICIPATORY OFFENSES","PL 1150000","M","K","75","0","45-64","F","BLACK","1019745","184405","40.67276293200007","-73.87204263699994","POINT (-73.87204263699994 40.67276293200007)"
"220422940","2020-11-12T00:00:00.000","157","RAPE 1","104","RAPE","PL 1303502","F","Q","112","0","25-44","M","BLACK","1025420","202485","40.72236368700004","-73.85147389399998","POINT (-73.85147389399998 40.72236368700005)"
"237954587","2021-12-16T00:00:00.000","397","ROBBERY,OPEN AREA UNCLASSIFIED","105","ROBBERY","PL 1600500","F","M","1","0","25-44","M","WHITE","982351","201758","40.720463840000036","-74.00685220399998","POINT (-74.00685220399998 40.720463840000036)"
"189182271","2018-10-24T00:00:00.000","153","RAPE 3","104","RAPE","PL 1302503","F","M","5","0","45-64","M","WHITE HISPANIC","984946","200203","40.716195914000025","-73.99749074599998","POINT (-73.99749074599998 40.716195914000025)"
"222293770","2020-12-27T00:00:00.000","681","CHILD, ENDANGERING WELFARE","233","SEX CRIMES","PL 2601001","M","B","43","0","25-44","M","BLACK","1020316","239179","40.82310129900002","-73.86969046099993","POINT (-73.86969046099993 40.82310129900002)"
"214798896","2020-07-01T00:00:00.000","177","SEXUAL ABUSE","116","SEX CRIMES","PL 1306504","F","B","46","0","25-44","M","BLACK","1011881","250411","40.85396027400003","-73.90012087499997","POINT (-73.90012087499997 40.85396027400004)"
"237622840","2021-12-10T00:00:00.000","397","ROBBERY,OPEN AREA UNCLASSIFIED","105","ROBBERY","PL 1601503","F","M","6","0","25-44","M","BLACK","982746","206647","40.73388303300004","-74.00542831099993","POINT (-74.00542831099993 40.73388303300004)"
"196324211","2019-04-23T00:00:00.000","157","RAPE 1","104","RAPE","PL 1303501","F","K","77","0","45-64","M","BLACK HISPANIC","1003606","185050","40.674583308000081","-73.930221540999980","POINT (-73.93022154099998 40.67458330800008)"
"196785901","2019-05-04T00:00:00.000","175","SEXUAL ABUSE 3,2","233","SEX CRIMES","PL 13052A1","M","B","50","0","25-44","M","BLACK","1011257","261130","40.883382579000056","-73.902333308999971","POINT (-73.90233330899997 40.88338257900006)"
"236176798","2021-11-12T00:00:00.000","681","CHILD, ENDANGERING WELFARE","233","SEX CRIMES","PL 2601001","M","M","25","0","25-44","M","BLACK","1000555","230994","40.800694331000045","-73.94110928599997","POINT (-73.94110928599997 40.800694331000045)"
"197554056","2019-05-23T00:00:00.000","175","SEXUAL ABUSE 3,2","233","SEX CRIMES","PL 13052A1","M","M","26","0","45-64","F","BLACK","996241","236149","40.814850289000049","-73.956681847999960","POINT (-73.95668184799996 40.81485028900005)"
"189129210","2018-10-23T00:00:00.000","101","ASSAULT 3","344","ASSAULT 3 & RELATED OFFENSES","PL 1200000","M","M","18","0","25-44","M","WHITE HISPANIC","987501","217778","40.76443435900006","-73.988265529","POINT (-73.988265529 40.76443435900006)"
"237856894","2021-12-15T00:00:00.000","101","ASSAULT 3","344","ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","B","43","0","25-44","M","BLACK","1021043","241958","40.83072585600007","-73.86704848399995","POINT (-73.86704848399995 40.83072585600007)"
"220303765","2020-11-10T00:00:00.000","153","RAPE 3","104","RAPE","PL 1302501","F","Q","112","0","25-44","M","BLACK","1025420","202485","40.72236368700004","-73.85147389399998","POINT (-73.85147389399998 40.72236368700005)"
"238359804","2021-12-28T00:00:00.000","681","CHILD, ENDANGERING WELFARE","233","SEX CRIMES","PL 2601001","M","K","84","0","45-64","M","BLACK","989013","192652","40.69546894100006","-73.98282507899995","POINT (-73.98282507899995 40.69546894100006)"
"189827117","2018-11-10T00:00:00.000","175","SEXUAL ABUSE 3,2","233","SEX CRIMES","PL 13052A1","M","M","1","0","25-44","M","WHITE HISPANIC","982285","201682","40.72025522300004","-74.00709027999993","POINT (-74.00709027999993 40.72025522300004)"
"189176315","2018-10-24T00:00:00.000","475",,,,"PL 1651601","M","M","28","1","25-44","M","BLACK","999346","233573","40.80777512600008","-73.94547028299998","POINT (-73.94547028299998 40.80777512600008)"
"238116432","2021-12-21T00:00:00.000","579",,,,"PL 2224002","F","Q","113","0","25-44","M","WHITE HISPANIC","1046405","187113","40.680048726000045","-73.77590919399995","POINT (-73.77590919399995 40.680048726000045)"
"237302061","2021-12-03T00:00:00.000",,,,,"PL 2203400","F","M","14","0","25-44","M","BLACK HISPANIC","986195","213562","40.752862899000036","-73.99298133199994","POINT (-73.99298133199994 40.752862899000036)"
"238376572","2021-12-28T00:00:00.000","579",,,,"PL 2223501","F","K","72","0","25-44","M","ASIAN / PACIFIC ISLANDER","981639","172112","40.63909210100008","-74.00940929499995","POINT (-74.00940929499995 40.63909210100008)"
"220917769","2020-11-24T00:00:00.000","157","RAPE 1","104","RAPE","PL 1303501","F","B","41","0","25-44","M","BLACK","1013232","236725","40.816391847000034","-73.89529641399997","POINT (-73.89529641399997 40.816391847000034)"
"236918575","2021-11-24T00:00:00.000","153","RAPE 3","104","RAPE","PL 1302502","F","Q","114","0","25-44","M","WHITE","1007654","219564","40.76930608700008","-73.91550817999997","POINT (-73.91550817999997 40.76930608700008)"
"238350561","2021-12-28T00:00:00.000","157","RAPE 1","104","RAPE","PL 1303501","F","B","41","0","25-44","M","WHITE HISPANIC","1013232","236725","40.816391847000034","-73.89529641399997","POINT (-73.89529641399997 40.816391847000034)"
"199836526","2019-07-16T00:00:00.000","105","STRANGULATION 1ST","106","FELONY ASSAULT","PL 1211200","F","Q","113","0","45-64","M","BLACK","1039470","185436","40.675491729000044","-73.800926136999976","POINT (-73.80092613699998 40.67549172900004)"
"236949124","2021-11-26T00:00:00.000","105","STRANGULATION 1ST","106","FELONY ASSAULT","PL 1211200","F","S","121","0","18-24","M","WHITE","942825","166367","40.623226819000074","-74.14922697299994","POINT (-74.14922697299994 40.623226819000074)"
"189228258","2018-10-26T00:00:00.000","563","PROSTITUTION","356","PROSTITUTION & RELATED OFFENSES","PL 2300000","M","Q","103","0","18-24","F","WHITE","1041717","197008","40.707239816000026","-73.79272672599996","POINT (-73.79272672599996 40.707239816000026)"
"189863002","2018-11-11T00:00:00.000","179","SEXUAL ABUSE 1","116","SEX CRIMES","PL 1306502","F","K","63","0","<18","M","BLACK","1000448","168068","40.627977755000074","-73.94164715699996","POINT (-73.94164715699996 40.62797775500008)"
"192148546","2019-01-10T00:00:00.000","168","SODOMY 1","116","SEX CRIMES","PL 1305003","F","K","75","0","25-44","M","BLACK","1017141","183798","40.671106911000038","-73.881432956999959","POINT (-73.88143295699996 40.67110691100004)"
"189476017","2018-11-01T00:00:00.000","793","WEAPONS POSSESSION 3","118","DANGEROUS WEAPONS","PL 2650201","F","K","68","0","25-44","M","WHITE","975830","164418","40.61797007100006","-74.03033045599993","POINT (-74.03033045599993 40.617970071000066)"
"201100692","2019-08-14T00:00:00.000","105","STRANGULATION 1ST","106","FELONY ASSAULT","PL 1211200","F","M","23","0","25-44","M","BLACK","998829","226859","40.789347893000070","-73.947352412999976","POINT (-73.94735241299998 40.78934789300007)"
"189259155","2018-10-26T00:00:00.000","175","SEXUAL ABUSE 3,2","233","SEX CRIMES","PL 13052A1","M","K","67","0","<18","M","BLACK","998032","175598","40.648650085000035","-73.95033556299995","POINT (-73.95033556299995 40.648650085000035)"
"237900488","2021-12-15T00:00:00.000","157","RAPE 1","104","RAPE","PL 1303501","F","K","71","0","<18","M","BLACK","998749","181383","40.66452749800004","-73.94773929099993","POINT (-73.94773929099993 40.66452749800004)"
"189974181","2018-11-14T00:00:00.000","475",,,,"PL 1651601","M","M","14","1","65+","M","WHITE","986061","213320","40.75219869800003","-73.99346504499994","POINT (-73.99346504499994 40.75219869800003)"
"193140208","2019-02-04T00:00:00.000","157","RAPE 1","104","RAPE","PL 1303502","F","B","41","0","25-44","M","BLACK","1013232","236725","40.816391847000034","-73.895296413999972","POINT (-73.89529641399997 40.816391847000034)"
"237131287","2021-11-30T00:00:00.000","157","RAPE 1","104","RAPE","PL 1303501","F","B","43","0","25-44","M","WHITE HISPANIC","1020316","239179","40.82310129900002","-73.86969046099993","POINT (-73.86969046099993 40.82310129900002)"
"193261068","2019-02-06T00:00:00.000","672","RIOT 1","126","MISCELLANEOUS PENAL LAW","PL 2400601","F","S","120","0","<18","F","BLACK","963248","173085","40.641738260000068","-74.075678036999989","POINT (-74.07567803699999 40.641738260000075)"
"189907410","2018-11-12T00:00:00.000","568","MARIJUANA, POSSESSION 1, 2 & 3","117","DANGEROUS DRUGS","PL 2213000","F","Q","108","4","25-44","M","WHITE","996644","209958","40.74296235400004","-73.95527424799997","POINT (-73.95527424799997 40.74296235400004)"
"220752233","2020-11-19T00:00:00.000","166","SODOMY 2","116","SEX CRIMES","PL 1304501","F","Q","109","0","25-44","M","WHITE HISPANIC","1032198","217060","40.76233421800004","-73.82691730799998","POINT (-73.82691730799998 40.76233421800004)"
"220709940","2020-11-19T00:00:00.000","157","RAPE 1","104","RAPE","PL 1303504","F","M","28","0","<18","M","BLACK","997376","233927","40.80874990400008","-73.95258580599993","POINT (-73.95258580599993 40.80874990400008)"
"220391633","2020-11-11T00:00:00.000","569","MARIJUANA, SALE 4 & 5","235","DANGEROUS DRUGS","PL 2214000","M","K","75","0","<18","M","UNKNOWN","1020080","184471","40.67294273700002","-73.87083461899994","POINT (-73.87083461899994 40.67294273700002)"
"74763647","2010-09-24T00:00:00.000","153.0","RAPE 3","104.0","RAPE","PL 1302502","F","M","25","0.0","45-64","M","WHITE HISPANIC","1000555.0","230994.0","40.800694331000045","-73.94110928599997","POINT (-73.94110928599997 40.800694331000045)"
"220342612","2020-11-10T00:00:00.000","155","RAPE 2","104","RAPE","PL 1303001","F","M","5","0","25-44","M","BLACK","984946","200203","40.716195914000025","-73.99749074599998","POINT (-73.99749074599998 40.716195914000025)"
"189442667","2018-11-01T00:00:00.000","707","IMPERSONATION 2, PUBLIC SERVANT","340","FRAUDS","PL 1902300","M","K","60","0","25-44","M","BLACK","990824","149705","40.57758741600002","-73.97633607099993","POINT (-73.97633607099993 40.57758741600002)"
"237762927","2021-12-13T00:00:00.000","155","RAPE 2","104","RAPE","PL 1303001","F","Q","114","0","45-64","M","WHITE","1007654","219564","40.76930608700008","-73.91550817999997","POINT (-73.91550817999997 40.76930608700008)"
"222011513","2020-12-18T00:00:00.000","503","CONTROLLED SUBSTANCE,INTENT TO","117","DANGEROUS DRUGS","PL 2201601","F","M","32","2","45-64","M","BLACK","998842","235649","40.81347401500005","-73.94728636499997","POINT (-73.94728636499997 40.81347401500005)"
"222122159","2020-12-22T00:00:00.000","109","ASSAULT 2,1,UNCLASSIFIED","106","FELONY ASSAULT","PL 1200502","F","K","84","0","25-44","M","BLACK","989571","189565","40.68699551900005","-73.98081525299993","POINT (-73.98081525299995 40.68699551900005)"
"192334397","2019-01-15T00:00:00.000","175","SEXUAL ABUSE 3,2","233","SEX CRIMES","PL 13052A1","M","M","7","0","<18","M","BLACK","988708","200317","40.716507722000074","-73.983919898999943","POINT (-73.98391989899994 40.716507722000074)"
"190140531","2018-11-18T00:00:00.000","153","RAPE 3","104","RAPE","PL 1302501","F","B","44","0","18-24","M","WHITE HISPANIC","1006434","244344","40.83732351100008","-73.91983075699994","POINT (-73.91983075699994 40.83732351100008)"
"188086111","2018-09-27T00:00:00.000",,,,,,,"B","50","0","25-44","M","WHITE HISPANIC","1012688","270928","40.91027045300007","-73.89711662799994","POINT (-73.89711662799994 40.91027045300007)"
"203540310","2019-10-10T00:00:00.000","164","SODOMY 3","116","SEX CRIMES","PL 1304003","F","M","13","1","25-44","M","WHITE HISPANIC","988874","207673","40.736698070000045","-73.983316025999954","POINT (-73.98331602599995 40.736698070000045)"
"24028025","2006-08-25T00:00:00.000","490.0","STOLEN PROPERTY 3,POSSESSION","232.0","POSSESSION OF STOLEN PROPERTY 5","PL 1654000","M","B","45","0.0","25-44","M","BLACK","1030892.0","255600.0","40.86812253100004","-73.83136390999994","POINT (-73.83136390999994 40.86812253100004)"
"191717184","2019-01-01T00:00:00.000","105","STRANGULATION 1ST","106","FELONY ASSAULT","PL 1211200","F","K","68","0","45-64","F","WHITE","982473","168770","40.629919226000027","-74.006403378999948","POINT (-74.00640337899995 40.62991922600003)"
"236067007","2021-11-09T00:00:00.000","157","RAPE 1","104","RAPE","PL 1303504","F","Q","112","0","18-24","M","WHITE HISPANIC","1025420","202485","40.72236368700004","-73.85147389399998","POINT (-73.85147389399998 40.72236368700004)"
"189457670","2018-11-01T00:00:00.000","569","MARIJUANA, SALE 4 & 5","235","DANGEROUS DRUGS","PL 2214000","M","S","121","0","25-44","M","BLACK","939646","171536","40.63739917600003","-74.16071284299994","POINT (-74.16071284299994 40.63739917600003)"
"238135306","2021-12-21T00:00:00.000","155","RAPE 2","104","RAPE","PL 1303001","F","Q","112","0","25-44","M","BLACK","1025420","202485","40.72236368700004","-73.85147389399998","POINT (-73.85147389399998 40.72236368700004)"
"222295922","2020-12-27T00:00:00.000","263","ARSON 2,3,4","114","ARSON","PL 1501500","F","K","61","0","25-44","M","BLACK","990185","155226","40.59274191700007","-73.97863152299993","POINT (-73.97863152299993 40.59274191700007)"
"24225484","2006-09-09T00:00:00.000","511.0","CONTROLLED SUBSTANCE, POSSESSION 7","235.0","DANGEROUS DRUGS","PL 2200300","M","K","71","0.0","25-44","M","BLACK","997874.0","180875.0","40.66313454000005","-73.95089428399997","POINT (-73.95089428399997 40.66313454000005)"
"186712976","2018-08-22T00:00:00.000","475",,,,"PL 1651601","M","Q","103","1","25-44","M","BLACK","1037559","194576","40.70059059000005","-73.80774319999993","POINT (-73.80774319999995 40.70059059000005)"
"192038498","2019-01-08T00:00:00.000","117","RECKLESS ENDANGERMENT 1","126","MISCELLANEOUS PENAL LAW","PL 1202500","F","Q","101","0","18-24","M","BLACK","1050061","158942","40.602699221000080","-73.763002784999969","POINT (-73.76300278499997 40.60269922100008)"
"190042379","2018-11-15T00:00:00.000","729","FORGERY,ETC.,UNCLASSIFIED-FELONY","113","FORGERY","PL 1701004","F","K","75","1","25-44","M","BLACK","1016653","182077","40.66638495300003","-73.88320041399999","POINT (-73.88320041399999 40.66638495300003)"
"238451012","2021-12-30T00:00:00.000","339","LARCENY,PETIT FROM OPEN AREAS,","341","PETIT LARCENY","PL 1552500","M","M","14","1","25-44","M","WHITE","985994","213198","40.75186385300003","-73.99370689799997","POINT (-73.99370689799997 40.75186385300003)"
"192068590","2019-01-09T00:00:00.000","793","WEAPONS POSSESSION 3","118","DANGEROUS WEAPONS","PL 2650201","F","K","68","0","25-44","F","BLACK","976209","165633","40.621305346000042","-74.028966736999962","POINT (-74.02896673699996 40.62130534600004)"
"221443815","2020-12-06T00:00:00.000","157","RAPE 1","104","RAPE","PL 1303501","F","K","67","0","18-24","M","BLACK","998032","175598","40.648650085000035","-73.95033556299995","POINT (-73.95033556299995 40.648650085000035)"
"237431980","2021-12-06T00:00:00.000","105","STRANGULATION 1ST","106","FELONY ASSAULT","PL 1211200","F","K","60","0","25-44","M","WHITE","993768","149165","40.57610255100008","-73.96573889499997","POINT (-73.96573889499997 40.57610255100008)"
"23984804","2006-08-22T00:00:00.000","567.0","MARIJUANA, POSSESSION 4 & 5","235.0","DANGEROUS DRUGS","PL 2211001","M","K","79","0.0","18-24","M","BLACK","997889.0","186665.0","40.67902677200004","-73.95082850299997","POINT (-73.95082850299997 40.67902677200004)"
"237783773","2021-12-13T00:00:00.000","153","RAPE 3","104","RAPE","PL 1302502","F","B","52","0","25-44","M","WHITE","1017542","255919","40.86905853200005","-73.87963014799993","POINT (-73.87963014799993 40.86905853200005)"
"222299909","2020-12-27T00:00:00.000","397","ROBBERY,OPEN AREA UNCLASSIFIED","105","ROBBERY","PL 1601001","F","K","90","0","<18","M","BLACK","997240","196778","40.706785595000035","-73.95314885499994","POINT (-73.95314885499994 40.706785595000035)"
"189328476","2018-10-29T00:00:00.000","223","BURGLARY,RESIDENCE,NIGHT","107","BURGLARY","PL 1403002","F","M","5","73","45-64","M","BLACK","983903","200257","40.71634415200003","-74.00125319299997","POINT (-74.00125319299997 40.71634415200003)"
"195423173","2019-04-01T00:00:00.000","157","RAPE 1","104","RAPE","PL 1303502","F","B","41","0","18-24","M","BLACK","1013232","236725","40.816391847000034","-73.895296413999972","POINT (-73.89529641399997 40.816391847000034)"
"237072001","2021-11-29T00:00:00.000","578",,,,"PL 2223001","M","K","84","0","25-44","M","BLACK","987778","191639","40.69268906900004","-73.98727927499993","POINT (-73.98727927499993 40.69268906900004)"
"193170391","2019-02-05T00:00:00.000","153","RAPE 3","104","RAPE","PL 1302502","F","Q","112","0","25-44","M","BLACK","1025420","202485","40.722363687000040","-73.851473893999980","POINT (-73.85147389399998 40.72236368700005)"
"220853195","2020-11-22T00:00:00.000","175","SEXUAL ABUSE 3,2","233","SEX CRIMES","PL 13052A2","M","M","25","1","25-44","M","BLACK","1000555","230994","40.800694331000045","-73.94110928599997","POINT (-73.94110928599997 40.800694331000045)"
"189217178","2018-10-25T00:00:00.000","175","SEXUAL ABUSE 3,2","233","SEX CRIMES","PL 13052A1","M","Q","101","0","18-24","M","BLACK","1053678","159044","40.60295159100008","-73.74997626099997","POINT (-73.74997626099997 40.60295159100008)"
"221839503","2020-12-14T00:00:00.000","155","RAPE 2","104","RAPE","PL 1303001","F","B","46","0","25-44","M","WHITE HISPANIC","1011881","250411","40.85396027400003","-73.90012087499997","POINT (-73.90012087499997 40.85396027400004)"
"237172828","2021-12-01T00:00:00.000","153","RAPE 3","104","RAPE","PL 1302503","F","K","77","0","25-44","M","WHITE HISPANIC","1003606","185050","40.67458330800008","-73.93022154099998","POINT (-73.93022154099998 40.67458330800008)"
"189263596","2018-10-27T00:00:00.000","101","ASSAULT 3","344","ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","B","44","0","25-44","M","BLACK","1008173","241622","40.82984786900005","-73.91355590099994","POINT (-73.91355590099994 40.82984786900005)"
"205007433","2019-11-11T00:00:00.000","105","STRANGULATION 1ST","106","FELONY ASSAULT","PL 1211200","F","K","71","0","25-44","M","BLACK","995254","181232","40.664118070000029","-73.960337384999946","POINT (-73.96033738499995 40.66411807000003)"
"191797394","2019-01-03T00:00:00.000","792","WEAPONS POSSESSION 1 & 2","118","DANGEROUS WEAPONS","PL 265031B","F","B","40","0","18-24","F","BLACK","1009057","237122","40.817494210000064","-73.910378212999944","POINT (-73.91037821299994 40.81749421000006)"
"190025272","2018-11-15T00:00:00.000","157","RAPE 1","104","RAPE","PL 1303501","F","B","41","0","25-44","M","BLACK","1013232","236725","40.816391847000034","-73.89529641399997","POINT (-73.89529641399997 40.816391847000034)"
"236831794","2021-11-23T00:00:00.000","105","STRANGULATION 1ST","106","FELONY ASSAULT","PL 1211200","F","K","79","0","18-24","M","BLACK","999507","190206","40.688743368000075","-73.94498708099997","POINT (-73.94498708099997 40.688743368000075)"
"237954595","2021-12-16T00:00:00.000","339","LARCENY,PETIT FROM OPEN AREAS,","341","PETIT LARCENY","PL 1552500","M","M","1","0","25-44","M","WHITE","982351","201758","40.720463840000036","-74.00685220399998","POINT (-74.00685220399998 40.720463840000036)"
"191751269","2019-01-02T00:00:00.000","157","RAPE 1","104","RAPE","PL 1303501","F","S","121","0","25-44","M","WHITE HISPANIC","942428","166536","40.623688822000076","-74.150658132999979","POINT (-74.15065813299998 40.62368882200008)"
"193933677","2019-02-24T00:00:00.000","205","TRESPASS 2, CRIMINAL","352","CRIMINAL TRESPASS","PL 1401502","M","M","18","0","18-24","M","BLACK","988075","219744","40.769830291000062","-73.986192303999985","POINT (-73.98619230399999 40.76983029100006)"
"189168192","2018-10-24T00:00:00.000","155","RAPE 2","104","RAPE","PL 1303001","F","M","1","0","18-24","M","WHITE","982285","201682","40.72025522300004","-74.00709027999993","POINT (-74.00709027999993 40.72025522300004)"
"189328420","2018-10-28T00:00:00.000","397","ROBBERY,UNCLASSIFIED,OPEN AREAS","105","ROBBERY","PL 1601504","F","K","75","0","25-44","M","BLACK","1021062","183501","40.67027627800008","-73.86729982099996","POINT (-73.86729982099996 40.67027627800008)"
"234630426","2021-10-07T00:00:00.000","157","RAPE 1","104","RAPE","PL 1303502","F","B","43","0","25-44","M","BLACK","1020316","239179","40.82310129900002","-73.86969046099993","POINT (-73.86969046099993 40.82310129900002)"
"194014492","2019-02-26T00:00:00.000","155","RAPE 2","104","RAPE","PL 1303001","F","M","25","0","25-44","M","WHITE HISPANIC","1000555","230994","40.800694331000045","-73.941109285999971","POINT (-73.94110928599997 40.800694331000045)"
"191917898","2019-01-05T00:00:00.000","793","WEAPONS POSSESSION 3","118","DANGEROUS WEAPONS","PL 2650201","F","M","14","7","25-44","M","BLACK","986320","212857","40.750927823000040","-73.992530383999963","POINT (-73.99253038399996 40.75092782300004)"
"234873567","2021-10-12T00:00:00.000","109","ASSAULT 2,1,UNCLASSIFIED","106","FELONY ASSAULT","PL 1200501","F","S","120","0","25-44","F","WHITE","962218","173148","40.64190867900004","-74.07938964399995","POINT (-74.07938964399995 40.64190867900004)"
"193524566","2019-02-13T00:00:00.000","153","RAPE 3","104","RAPE","PL 1302501","F","K","77","0","18-24","M","WHITE","1003606","185050","40.674583308000081","-73.930221540999980","POINT (-73.93022154099998 40.67458330800008)"
"191943063","2019-01-06T00:00:00.000",,,,,"PL 2203400","F","M","9","0","25-44","M","WHITE","990294","203412","40.725001811000027","-73.978195868999933","POINT (-73.97819586899993 40.72500181100003)"
"234758787","2021-10-10T00:00:00.000","168","SODOMY 1","116","SEX CRIMES","PL 1305001","F","M","7","0","45-64","M","BLACK","988708","200317","40.71650772200008","-73.98391989899994","POINT (-73.98391989899994 40.71650772200008)"
"219169035","2020-10-14T00:00:00.000","157","RAPE 1","104","RAPE","PL 1303504","F","K","84","0","45-64","M","BLACK","989013","192652","40.69546894100006","-73.98282507899995","POINT (-73.98282507899995 40.69546894100006)"
"217780910","2020-09-14T00:00:00.000","101","ASSAULT 3","344","ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","K","75","0","18-24","M","BLACK","1019819","185857","40.676748045000075","-73.87176820599996","POINT (-73.87176820599997 40.676748045000075)"
"188785933","2018-10-15T00:00:00.000","175","SEXUAL ABUSE 3,2","233","FORCIBLE TOUCHING","PL 1305200","M","M","7","2","25-44","M","BLACK HISPANIC","988708","200317","40.71650772200008","-73.98391989899994","POINT (-73.98391989899994 40.71650772200008)"
"234208803","2021-09-29T00:00:00.000","578",,,,"PL 2223001","M","Q","105","0","25-44","M","BLACK","1057738","204079","40.72652937700008","-73.73486453799995","POINT (-73.73486453799995 40.72652937700008)"
"192399624","2019-01-16T00:00:00.000","153","RAPE 3","104","RAPE","PL 1302501","F","M","18","0","18-24","M","BLACK","988353","217918","40.764818269000045","-73.985189772999945","POINT (-73.98518977299995 40.764818269000045)"
"217843476","2020-09-15T00:00:00.000","263","ARSON 2,3,4","114","ARSON","PL 1500500","F","M","20","71","45-64","M","BLACK","991168","224929","40.784059874000036","-73.97502051299993","POINT (-73.97502051299993 40.784059874000036)"
"24210916","2006-09-08T00:00:00.000","705.0","FORGERY,ETC.-MISD.","358.0","OFFENSES INVOLVING FRAUD","PL 1702000","M","M","10","0.0","18-24","F","WHITE","983130.0","212860.0","40.75093622800006","-74.00404376499995","POINT (-74.00404376499995 40.75093622800006)"
"217773967","2020-09-13T00:00:00.000","168","SODOMY 1","116","SEX CRIMES","PL 1305001","F","K","90","0","<18","M","BLACK HISPANIC","997843","196573","40.70622201300005","-73.95097435599996","POINT (-73.95097435599996 40.70622201300005)"
"219825434","2020-10-28T00:00:00.000","263","ARSON 2,3,4","114","ARSON","PL 1501001","F","B","44","0","25-44","M","BLACK","1007424","239937","40.82522502300003","-73.91626822399996","POINT (-73.91626822399996 40.82522502300003)"
