"objectid","meter_number","status","pay_by_cell_number","meter_hours","parking_facility_name","facility","borough","on_street","side_of_street","from_street","to_street","lat","long","x","y","location"
"3227","4221247","Active","463784","2 HR Pas Mon-Sat 0830-1900",,"On Street","Queens","37 Avenue","S","95 Street","Warren Street","40.7511310749701","-73.871867183809","1019751.51166205","212959.938631147","POINT (-73.871867183809 40.75113107497)"
"4524","3043054","Active","303284","2 HR Pas Mon-Sat 0800-1900",,"On Street","Brooklyn","Flatbush Avenue","W","Farragut Road","Glenwood Road","40.6350724408049","-73.9501909236402","998074.551735222","170654.322127059","POINT (-73.95019092364 40.635072440805)"
"6700","2313039","Active","204302","2 HR Pas Mon-Sat 0800-1900",,"On Street","Bronx","Buhre Avenue","S","Hobart Avenue","Jarvis Avenue","40.8474674700202","-73.8308726452099","1031042.01040646","248077.86281772","POINT (-73.83087264521 40.84746747002)"
"14970","2173068","Active","223537","2 HR Pas Mon-Sat 0830-1900",,"On Street","Bronx","Unionport Road*Ctr. Mall","E","Olmstead Avenue","McGraw Avenue","40.8354903417574","-73.8553417405676","1024279.42452222","243702.027081221","POINT (-73.855341740568 40.835490341757)"
"3895","4353039","Active","468006","2 HR Pas Mon-Sat 0900-1900",,"On Street","Queens","71 Street","E","54 Avenue","Grand Avenue","40.7280381248625","-73.8924112081934","1014069.75530906","204538.793071896","POINT (-73.892411208193 40.728038124863)"
"3714","4043047","Active","402618","2 HR Pas Mon-Sat 0830-1900",,"On Street","Queens","73 Avenue","W","112 Street","Queens Boulevard","40.7194587667037","-73.8384057312312","1029043.88907464","201436.07191515","POINT (-73.838405731231 40.719458766704)"
"13409","4123039","Active","404866","2 HR Pas Mon-Sat 0900-1900",,"On Street","Queens","37 Avenue","N","79 Street","78 Street","40.7494500759484","-73.8876550340477","1015377.99055347","212341.492689565","POINT (-73.887655034048 40.749450075948)"
"11802","1013002","Active","114678","2 HR Pas Mon-Sat 0830-1900",,"On Street","Manhattan","West 125 Street","N","5 Avenue","Lenox Avenue","40.8069015356228","-73.9431976181051","999974.954758555","233258.135567471","POINT (-73.943197618105 40.806901535623)"
"9185","1323059","Active","104535","2HR Pas Mon-Sat 0900-1900",,"On Street","Manhattan","Hudson Street","W","West Houston Street","Clarkson Street","40.7291211118337","-74.007126314669","982274.872704715","204915.126636803","POINT (-74.007126314669 40.729121111834)"
"4851","3403010","Active","337351","2 HR Pas Mon-Sat 0830-1900",,"On Street","Brooklyn","Herkimer Street","S","Nostrand Avenue","New York Avenue","40.6795724302609","-73.9492654562259","998322.025977805","186867.052496806","POINT (-73.949265456226 40.679572430261)"
"13626","4473128","Active","428638","2 HR Pas Mon-Sat 0900-1900",,"On Street","Queens","Hillside Avenue","N","260 Street","259 Street","40.7373943940902","-73.7085101979452","1065029.04938763","208063.663318723","POINT (-73.708510197945 40.73739439409)"
"1788","3013639","Active","300069","2 HR Pas Sat 0900-1900",,"On Street","Brooklyn","Livingston Street","N","Hoyt Street","Gallatin Place","40.6900353862483","-73.9865754361515","987972.930534303","190675.221389636","POINT (-73.986575436151 40.690035386248)"
"6933","3213008","Active","329127","2 HR Pas Mon-Sat 0900-1900",,"On Street","Brooklyn","Utica Avenue","W","Crown Street","Montgomery Street","40.6648113063224","-73.9316062897503","1003224.27240689","181492.486802399","POINT (-73.93160628975 40.664811306322)"
"8614","3013002","Active","300254","2 HR Pas Mon-Sat 0730-1900",,"On Street","Brooklyn","Atlantic Avenue","S","Henry Street","Clinton Street","40.6905137890576","-73.9956624072787","985452.902437881","190849.262052059","POINT (-73.995662407279 40.690513789058)"
"7318","2143001","Active","220518","2 HR Pas Mon-Sat 0800-1900",,"On Street","Bronx","East 161 Street","S","River Road","Gerard Avenue","40.8274353698564","-73.9254614231469","1004878.60833706","240743.028406054","POINT (-73.925461423147 40.827435369856)"
"1113","4512491","Active","427918","6HR Pas Mon-Fri 0900-2200",,"On Street","Queens","Kissena Boulevard","W","Horace Harding Expwy.","Melbourne Avenue","40.7368285393022","-73.814781128942","1035579.23263122","207777.369928062","POINT (-73.814781128942 40.736828539302)"
"11127","1433769","Active","102090","3HR Com Mon-Sat 0700-1900",,"On Street","Manhattan","Madison Avenue","W","East 55 Street","East 56 Street","40.7613028789414","-73.9731951858944","991675.626540974","216641.029037982","POINT (-73.973195185894 40.761302878941)"
"8941","1133027","Active","106572","2HR Pas Mon-Sat 0900-1900",,"On Street","Manhattan","Avenue A","E","East 12 Street","East 13 Street","40.7294005420291","-73.9809917632551","989518.295225725","205017.423020139","POINT (-73.980991763255 40.729400542029)"
"1780","3013538","Active","300211","4HR Pas Mon-Sat 0900-1900",,"On Street","Brooklyn","Tillary Street","S","Jay Street","Bridge Street","40.6959025745767","-73.9853929563852","988300.502057642","192812.863111719","POINT (-73.985392956385 40.695902574577)"
"465","1038113","Active","113822","2HR Pas Mon-Sat 0900-1900",,"On Street","Manhattan","Amsterdam Avenue","E","West 86 Street","West 87 Street","40.7880746568947","-73.9746120509675","991280.29137364","226394.768388733","POINT (-73.974612050967 40.788074656895)"
"6932","3213009","Active","320023","2 HR Pas Sat 0900-1900",,"On Street","Brooklyn","Utica Avenue","W","Montgomery Street","Empire Boulevard","40.6641103257198","-73.931676319534","1003205.04344273","181237.084754139","POINT (-73.931676319534 40.66411032572)"
"1781","3013537","Active","300211","4HR Pas Mon-Sat 0900-1900",,"On Street","Brooklyn","Tillary Street","S","Jay Street","Bridge Street","40.6959335084003","-73.9862206598552","988070.979878888","192824.096028894","POINT (-73.986220659855 40.6959335084)"
"928","1208012","Active","112625","3HR Com Mon-Sat 0900-1900",,"On Street","Manhattan","3 Avenue","E","East 77 Street","East 78 Street","40.7733022433012","-73.9578668008098","995919.882488132","221014.465501055","POINT (-73.95786680081 40.773302243301)"
"15054","4413164","Active","467631","2 HR Pas Mon-Sat 0900-1900",,"On Street","Queens","76 Street","W","Broadway","41 Avenue","40.7455245316179","-73.88933203894","1014915.14141355","210910.700603649","POINT (-73.88933203894 40.745524531618)"
"4625","3183063","Active","312875","2 HR Pas Mon-Sat 0830-1900",,"On Street","Brooklyn","Smith Street","W","Baltic Street","Warren Street","40.6851935408743","-73.991568731472","986588.348329723","188911.023146391","POINT (-73.991568731472 40.685193540874)"
"13852","4163121","Active","416681","2 HR Pas Mon-Sat 0900-1900",,"On Street","Queens","Merrick Boulevard","S","Francis Lewis Boulevard","231 Street","40.6755625339707","-73.7391130732244","1056615.35230431","185509.818334639","POINT (-73.739113073224 40.675562533971)"
"8824","1268499","Active","105752","3HR Com Mon-Fri 1000-1400 /2HR Pas Sat 0900-1900",,"On Street","Manhattan","2 Avenue","W","East 61 Street","East 60 Street","40.7614567855717","-73.9638674251844","994259.634168223","216698.030564398","POINT (-73.963867425184 40.761456785572)"
"3779","4443140","Active","449109","2 HR Pas Mon-Sat 0900-1900",,"On Street","Queens","Cross Bay Boulevard","E","165 Avenue","157 Avenue","40.6519612419496","-73.8378826468957","1029234.3991923","176845.069259971","POINT (-73.837882646896 40.65196124195)"
"8869","1113017","Active","103018","2HR Pas Mon-Sat 0700-2200",,"On Street","Manhattan","Church Street","E","Franklin Street","White Street","40.7185737493319","-74.0049488247244","982878.168086052","201072.355122894","POINT (-74.004948824724 40.718573749332)"
"10213","1443734","Active","102352","2HR Pas Mon-Sat 0830-2200",,"On Street","Manhattan","3 Avenue","W","East 32 Street","East 33 Street","40.7447933801704","-73.9789473856875","990083.564108297","210625.649008393","POINT (-73.978947385687 40.74479338017)"
"7565","4233001","Active","413399","2 HR Pas Mon-Sat 0900-1900",,"On Street","Queens","21 Street","W","14 Street","38 Avenue","40.7577734399281","-73.9389780218364","1001155.56033698","215359.891180307","POINT (-73.938978021836 40.757773439928)"
"6619","2293018","Active","207707","2 HR Pas Mon-Sat 0730-1900",,"On Street","Bronx","Baychester Avenue","E","Tillotson Avenue","Boston Road","40.8807193650033","-73.8383177456187","1028959.83576505","260188.911758304","POINT (-73.838317745619 40.880719365003)"
"103","4072218","Active","422581","2 HR Pas Mon-Sat 0800-1900",,"On Street","Queens","Broadway","S","45 Street","46 Street","40.7568028092375","-73.9145263627606","1007930.00380905","215011.923372313","POINT (-73.914526362761 40.756802809238)"
"25","4122377","Active","463032","2 HR Pas Mon-Sat 0900-1900",,"On Street","Queens","85 Street","W","Roosevelt Avenue","37 Avenue","40.7481723225088","-73.8812346124264","1017157.55950089","211878.313169733","POINT (-73.881234612426 40.748172322509)"
"13295","4433057","Active","455249","2 HR Pas Mon-Sat 0900-1900",,"On Street","Queens","154 Street","E","Union Turnpike","79 Avenue","40.7199276663964","-73.8098369136778","1036962.7754678","201622.806449816","POINT (-73.809836913678 40.719927666396)"
"1114","4512490","Active","427918","6HR Pas Mon-Fri 0900-2200",,"On Street","Queens","Kissena Boulevard","W","Horace Harding Expwy.","Melbourne Avenue","40.7374713707385","-73.8148819042998","1035550.81011589","208011.514144808","POINT (-73.8148819043 40.737471370739)"
"11911","1193044","Active","111104","3HR Com Mon-Fri 0700-1900 /2HR Pas Sat 0900-1900",,"On Street","Manhattan","Lexington Avenue","E","East 77 Street","East 76 Street","40.773275242168","-73.9600213179129","995323.137618631","221004.348395303","POINT (-73.960021317913 40.773275242168)"
"7257","2203041","Active","220791","2 HR Pas Mon-Sat 0900-1900",,"On Street","Bronx","Boynton Avenue","E","East 172 Street","Westchester Avenue","40.8288402224896","-73.8782247755225","1017950.66847897","241269.515870139","POINT (-73.878224775522 40.82884022249)"
"7527","2013056","Active","212036","2 HR Pas Mon-Sat 0830-1900",,"On Street","Bronx","Grand Concourse","W","Field Place","East 183 Street","40.8583237804366","-73.8996950185111","1011996.59147638","252003.94551672","POINT (-73.899695018511 40.858323780437)"
"1189","4152106","Active","413676","2 HR Pas Mon-Sat 0900-1900",,"On Street","Queens","Jackson Avenue","N","47 Avenue","47 Road","40.7443563873326","-73.9493408359169","998287.468304142","210469.796629816","POINT (-73.949340835917 40.744356387333)"
"12661","3083012","Active","307282","2 HR Pas Mon-Sat 0900-1900",,"On Street","Brooklyn","Brighton 3 Street","E","Brightwater Court","Brighton Beach Avenue","40.5767884146408","-73.9640673533065","994231.84747839","149418.061778143","POINT (-73.964067353306 40.576788414641)"
"9763","1403092","Active","103427","2HR Pas Mon-Sat 0900-1600",,"On Street","Manhattan","9 Avenue","W","West 60 Street","West 59 Street","40.769581375089","-73.9846234130594","988509.18274264","219656.396366805","POINT (-73.984623413059 40.769581375089)"
"5717","3413039","Active","308179","2 HR Pas Mon-Sat 0800-1900",,"On Street","Brooklyn","McDonald Avenue","W","Avenue M","Avenue N","40.6159561795869","-73.9744595131863","991340.814874634","163686.863621056","POINT (-73.974459513186 40.615956179587)"
"15272","3743021","Active","342855","15HR Pas Mon-Sat 0800-2200",,"On Street","Brooklyn","3 Avenue","C","29 Street","30 Street","40.6593498552536","-74.002431795524","983575.298581555","179495.329051316","POINT (-74.002431795524 40.659349855254)"
"2866","4233035","Active","418209","2 HR Pas Mon-Sat 0800-1900",,"On Street","Queens","23 Street","W","33 Avenue","Broadway","40.7643181367395","-73.9305693247287","1003483.21972364","217746.072759643","POINT (-73.930569324729 40.76431813674)"
"9727","1403037","Active","102834","1HR Com Mon-Sat 0700-1900",,"On Street","Manhattan","West 45 Street","S","8 Avenue","9 Avenue","40.759840727946","-73.9901166390705","986988.006651133","216107.337848142","POINT (-73.99011663907 40.759840727946)"
"11250","1433892","Active","102409","3HR Com Mon-Fri 1000-1600 /6HR Pas Mon-Fri 1800-2400 /6HR Pas Sat 0800-2400",,"On Street","Manhattan","East 58 Street","S","Madison Avenue","Park Avenue","40.7627879925413","-73.9715828126594","992122.120070547","217182.245475233","POINT (-73.971582812659 40.762787992541)"
"10794","1433083","Active","103174","3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400",,"On Street","Manhattan","West 55 Street","S","5 Avenue","6 Avenue","40.7621759204221","-73.976255861187","990827.654155552","216958.862063721","POINT (-73.976255861187 40.762175920422)"
"14600","1133099","Active","106725","2HR Pas Mon-Fri 1000-1500 / 2HR Pas Sat 0900-1900",,"On Street","Manhattan","East 1 Street","S","East Houston Street","1 Avenue","40.7230746334692","-73.988099881041","987548.532761052","202712.350858644","POINT (-73.988099881041 40.723074633469)"
"11090","1433732","Active","104474","3HR Com Mon-Fri 1000-1600 /6HR Pas Mon-Fri 1800-2400 /6HR Pas Sat 0800-2400",,"On Street","Manhattan","Vanderbilt Avenue","W","East 44 Street","East 45 Street","40.7541964621237","-73.9771672790233","990575.928937227","214051.617878228","POINT (-73.977167279023 40.754196462124)"
"13766","3713004","Active","342822","15HR Pas Mon-Sat 0800-2200","Bensonhurst #1","Off Street","Brooklyn","18 Avenue","W","85 Street","86 Street","40.6082978016852","-74.0032098359303","983358.749802053","160895.699583977","POINT (-74.00320983593 40.608297801685)"
"14648","1433920","Active","104265","3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400",,"On Street","Manhattan","Broadway","W","West 51 Street","West 50 Street","40.7616884748529","-73.9839922319365","988684.540003464","216780.783351645","POINT (-73.983992231936 40.761688474853)"
"9452","1443079","Active","103601","3HR Com Mon-Fri 0800-1800 /6HR Pas Mon-Fri 1800-2400 /6HR Pas Sat 0800-2400",,"On Street","Manhattan","West 37 Street","N","7 Avenue","8 Avenue","40.7531337162325","-73.9896652954898","987113.331531718","213663.769572556","POINT (-73.98966529549 40.753133716233)"
"8701","1023044","Active","102650","2HR Pas Mon-Sat 0900-2400",,"On Street","Manhattan","Orchard Street","W","Delancey Street","Rivington Street","40.7196213358216","-73.98951558233","987156.272390723","201454.158165067","POINT (-73.98951558233 40.719621335822)"
"15360","3013693","Active","342413","2 HR Pas Mon-Sat 0800-1900",,"On Street","Brooklyn","Boerum Place","W","State Street","Schermerhorn Street","40.6899529222543","-73.9897899707147","987081.472015381","190645.057079896","POINT (-73.989789970715 40.689952922254)"
"10809","1433101","Active","106203","3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400",,"On Street","Manhattan","West 52 Street","S","7 Avenue","6 Avenue","40.7614225215454","-73.9802910362252","989709.882769048","216684.096865222","POINT (-73.980291036225 40.761422521545)"
"15328","3353031","Active","306592","2 HR Pas 0900-1900 Mon-Thur / 4HR Pas 0900-1900 Fri",,"On Street","Brooklyn","Park Avenue","S","Spencer Street","Walworth Street","40.6968960197574","-73.9551306488796","996691.989539728","193177.653392643","POINT (-73.95513064888 40.696896019757)"
"13645","3773007","Active","342834","15HR Pas Mon-Sat 0800-2200","Grant Avenue","Off Street","Brooklyn","Grant Avenue","W","Pitkin Avenue","Glenmore Avenue","40.6765398760729","-73.8653155324285","1021608.54764614","185786.850917056","POINT (-73.865315532428 40.676539876073)"
"15271","1433390","Active","102821","3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400",,"On Street","Manhattan","East 43 Street","S","2 Avenue","3 Avenue","40.750565620217","-73.9720032316355","992007.078962058","212729.199919388","POINT (-73.972003231635 40.750565620217)"
"10759","1433044","Active","104674","3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400",,"On Street","Manhattan","West 44 Street","S","5 Avenue","6 Avenue","40.7555266373019","-73.9818326012133","989283.275682643","214535.941384643","POINT (-73.981832601213 40.755526637302)"
"10964","1433296","Active","102161","3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400",,"On Street","Manhattan","East 44 Street","N","5 Avenue","Madison Avenue","40.7542922429312","-73.9786529791377","990164.299183056","214086.410131469","POINT (-73.978652979138 40.754292242931)"
"9513","1443143","Active","104320","3HR Com Mon-Fri 0800-1800 /6HR Pas Mon-Fri 1800-2400 /6HR Pas Sat 0800-2400",,"On Street","Manhattan","West 36 Street","N","Avenue of the Americas","5 Avenue","40.7509021716016","-73.9862872132841","988049.389698967","212850.87421672","POINT (-73.986287213284 40.750902171602)"
"10972","1433304","Active","104990","3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400",,"On Street","Manhattan","East 45 Street","N","3 Avenue","Lexington Avenue","40.7532165869847","-73.9741583452176","991409.675629303","213694.849234805","POINT (-73.974158345218 40.753216586985)"
"8246","1403012","Active","102781","3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400",,"On Street","Manhattan","West 53 Street","N","8 Avenue","9 Avenue","40.7652344176017","-73.9871349402618","987813.743844807","218072.543563396","POINT (-73.987134940262 40.765234417602)"
"73","4152015","Active","412854","12HR Pas Mon-Sat 0700-1900",,"On Street","Queens","Skillman Avenue","W","Thomson Avenue","49 Avenue","40.7438476889022","-73.9419161426629","1000344.94614455","210285.738598973","POINT (-73.941916142663 40.743847688902)"
"15408","4153033","Active","425037","2 HR Pas Mon-Sat 0900-1900",,"On Street","Queens","Center boulevard","E","54 Avenue","Borden Avenue","40.7419692101142","-73.9601022363564","995305.920133382","209598.530655816","POINT (-73.960102236356 40.741969210114)"
"10823","1433119","Active","106592","3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400",,"On Street","Manhattan","West 55 Street","S","7 Avenue","6 Avenue","40.763451513933","-73.9793015440724","989983.822509885","217423.38869372","POINT (-73.979301544072 40.763451513933)"
"15191","2213020","Active","219556","2 HR Pas Mon-Sat 0800-1900",,"On Street","Bronx","East 138 Street","N","Brook Avenu","Willis Avenue","40.8089057245062","-73.9222249160033","1005780.30797721","233992.792234644","POINT (-73.922224916003 40.808905724506)"
"8234","1403026","Active","102977","3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400",,"On Street","Manhattan","West 50 Street","N","9 Avenue","8 Avenue","40.7633467532635","-73.9884910947794","987438.166511968","217384.752944231","POINT (-73.988491094779 40.763346753264)"
"8857","1173013","Active","102696","3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400",,"On Street","Manhattan","Broadway","W","West 57 Street","West 56 Street","40.7658068738336","-73.9820366014301","989225.989379883","218281.356794059","POINT (-73.98203660143 40.765806873834)"
"10897","1433210","Active","105025","3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400",,"On Street","Manhattan","East 52 Street","S","5 Avenue","Madison Avenue","40.7595347098895","-73.9758058547095","990952.581727222","215996.616612896","POINT (-73.975805854709 40.75953470989)"
"10793","1433082","Active","103174","3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400",,"On Street","Manhattan","West 55 Street","S","5 Avenue","6 Avenue","40.7624725226025","-73.9769537809945","990634.286432058","217066.872346386","POINT (-73.976953780994 40.762472522603)"
"9024","1243057","Active","103964","3HR Com Mon-Sat 0700-1300 /5HR Pas Mon-Sat 1900-2400",,"On Street","Manhattan","Canal Street","S","Centre Street","Baxter Street","40.7177612406588","-73.999752109243","984318.717042223","200776.294691399","POINT (-73.999752109243 40.717761240659)"
"15175","3743011","Active","342841","15HR Pas Mon-Sat 0800-2200","Gowanus Parking Field","Off Street","Brooklyn","3 Avenue","S","31 Street","32 Street","40.6582405034623","-74.0035986840067","983251.528887883","179091.172379315","POINT (-74.003598684007 40.658240503462)"
"9387","1443009","Active","106208","3HR Com Mon-Fri 0800-1800 /6HR Pas Mon-Fri 1800-2400 /6HR Pas Sat 0800-2400",,"On Street","Manhattan","West 39 Street","S","Avenue of the Americas","Broadway","40.7534221029907","-73.9867755572262","987913.946072221","213768.945871398","POINT (-73.986775557226 40.753422102991)"
"11046","1433415","Active","102917","2HR Pas Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400",,"On Street","Manhattan","Broadway","E","West 55 Street","West 54 Street","40.7645408355914","-73.9821708008301","989188.909073472","217820.089671969","POINT (-73.98217080083 40.764540835591)"
"11057","1433428","Active","102695","3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400",,"On Street","Manhattan","West 56 Street","N","8 Avenue","Broadway","40.7658688848137","-73.9828432718901","989002.53149347","218303.904649228","POINT (-73.98284327189 40.765868884814)"
"9655","1443298","Active","101694","3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400",,"On Street","Manhattan","Broadway","W","West 36 Street","West 35 Street","40.75095521333","-73.9878356311539","987620.3682473","212870.13566114","POINT (-73.987835631154 40.75095521333)"
"14725","1443816","Active","106973","3HR Com Mon-Fri 0800-1800 /6HR Pas Mon-Fri 1800-2400 /6HR Pas Sat 0800-2400",,"On Street","Manhattan","West 36 Street","S","Broadway","6 Avenue","40.7512050089509","-73.9872753682844","987775.586440802","212961.166318983","POINT (-73.987275368284 40.751205008951)"
"15401","1403172","Active","103123","3HR Com Mon-Sat 0700-1800 /6 HR Pas Sat 1800-2400",,"On Street","Manhattan","West 50 Street","S","9 Avenue","8 Avenue","40.7631997090279","-73.9883834424054","987467.995192468","217331.183825642","POINT (-73.988383442405 40.763199709028)"
"15048","3143019","Active","338133","2 HR Pas Mon-Sat 0900-1900",,"On Street","Brooklyn","4 Avenue","E","11 Street","10 Street","40.6694134691199","-73.9893160725552","987213.807380632","183161.958200976","POINT (-73.989316072555 40.66941346912)"
"1167","4152022","Active","414115","12HR Pas Mon-Sat 0700-1900",,"On Street","Queens","Skillman Avenue","E","49 Avenue","Pearson Place","40.742109611915","-73.9459942893285","999215.288626969","209651.778908893","POINT (-73.945994289328 40.742109611915)"
"10788","1433077","Active","103172","3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400",,"On Street","Manhattan","West 54 Street","N","6 Avenue","5 Avenue","40.761489108355","-73.9763301431147","990807.144025967","216708.62831223","POINT (-73.976330143115 40.761489108355)"
"9778","1443320","Active","104932","3HR Com Mon-Sat 1000-1600 /5HR Pas Mon-Sat 1900-2400",,"On Street","Manhattan","Avenue of the Americas","W","West 40 Street","West 41 Street","40.7540520583343","-73.984814624669","988457.199578881","213998.547118232","POINT (-73.984814624669 40.754052058334)"
"10980","1433314","Active","102159","3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400",,"On Street","Manhattan","East 45 Street","S","Madison Avenue","5 Avenue","40.754913988131","-73.9784367749329","990224.143879637","214312.946751893","POINT (-73.978436774933 40.754913988131)"
"10804","1433096","Active","102117","3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400",,"On Street","Manhattan","West 51 Street","N","6 Avenue","7 Avenue","40.7610849652604","-73.9811773362384","989464.381619632","216561.060037807","POINT (-73.981177336238 40.76108496526)"
