"amenitytype","borough","communityboard","councildistrict","gispropnum","hours","languagecode","mountingsurface","nametext","omppropid","parkdistrict","precinct","propertylocation","propertyname","secondlanguage","signcode","signcodewithlanguage","signstatus","signtype","subpropertyname","system","thirdlanguage","zipcode","point"
"Routed Sign","R","501","50","RZ318",,"XX-005","None / Free Standing",,,,"121",,,"Spanish",,,"Installed","Routed Sign",,,"Chinese","10314","POINT (-74.14702084731036 40.622144927303495)"
"Dog Run (1900)","X","208","11","X020",,"XX-001",,,,"X-08","50","Jerome Park Resevoir and Sedgwick Av bet. W","Fort Independence Playground","Spanish","1900","1900-001","Installed","Consolidated Rules Sign",,"49190","French","10463","POINT (-73.8941251274788 40.88190403172401)"
"Routed Sign","X","204","16","X269",,"XX-001","Chain Link Fence - 2""",,,"X-04","44","W. 170 St. bet. Nelson Ave. and Shakespeare Ave.","Cpl Fischer Park","Spanish",,,"Surveyed","Routed Sign",,,"French","10452","POINT (-73.92324232433447 40.83964560190418)"
"routed sign","R","503","51","R095",,"XX-017","None / Free Standing",,,"R-03","123","Drumgoole Rd. W., Darlington Ave., Nippon Ave.","Park","Russian",,,"Surveyed","Routed Sign",,,"Italian","10312","POINT (-74.19134942466857 40.53695443219546)"
"Map","R","501","49","R116",,"XX-005","None / Free Standing",,,"R-01","120","Richmond Ter., Tysen St., Kissel Ave., Henderson Ave.","Snug Harbor Cultural Center","Spanish",,,"Surveyed","Wayfinding Sign",,,"Chinese","10310","POINT (-74.10353907520106 40.64105438611497)"
"Routed Sign","R","503","51","RZ241",,"XX-017","None / Free Standing",,,,"123",,,"Russian",,,"Surveyed","Routed Sign",,,"Italian","10312","POINT (-74.18815624173138 40.53746550588414)"
"GT Garden (2000)","X","201","17","XGT029",,"XX-001","Chain Link Fence - 2""",,,,"40",,,"Spanish","2000","2000-001","Installed","Consolidated Rules Sign",,,"French","10456","POINT (-73.90859763611023 40.82200881537944)"
"GT Garden (2000)","B","303","36","B500-GT001",,"XX-006","Wrought Iron / Steep Picket Fence",,,,"81",,,"Spanish","2000","2000-006","Installed","Consolidated Rules Sign",,,"Yiddish","11221","POINT (-73.92999325742487 40.689393381136576)"
"GT Garden (2000)","B","303","35","B448-GT001",,"XX-006","Chain Link Fence - 2""",,,,"79",,,"Spanish","2000","2000-006","Installed","Consolidated Rules Sign",,,"Yiddish","11238","POINT (-73.9590822391133 40.687538403762794)"
"Triangles, Squares and Sitting Areas Rules","B","305","42","BZ309",,"XX-008","None / Free Standing",,,,"75",,,"Spanish",,,"Surveyed","Consolidated Rules Sign",,,"Russian","11208","POINT (-73.87608960993168 40.669092634394424)"
"Pool","Q","407","19","Q458",,"XX-005","Chain Link Fence - 2""",,,"Q-07A","109","Cross Island Pkwy. bet. Totten Ave. and 15 Rd.","Fort Totten Park","Spanish",,,"Installed","Consolidated Rules Sign",,"28904","Chinese","11359","POINT (-73.77443931499693 40.792050731026954)"
"Combo: Playground / Court (2602)","X","208","11","X150J",,"XX-001","Chain Link Fence - 2""",,,"X-08","50","Bailey Av bet. W 234 St and W 237 St","Bailey Playground","Spanish","2602","2602-001","Installed","Consolidated Rules Sign",,"34071","French","10463","POINT (-73.90017922097691 40.88137814035968)"
"Orchard Beach (B003)","X","228","13","X039",,,"Wall",,"X039-ZN16","X-15","45","Bruckner Blvd, Eastchester, Hutchinson","Pelham Bay Park",,"B003","B003","Installed","Consolidated Rules Sign","Orchard Beach North",,,"10464","POINT (-73.79267390246447 40.86799633566318)"
"Athletic Field / Court - Hours (1500)","M","107","6","M219",,"XX-005",,,,"M-07","20","W. 78 St. and Amsterdam Ave.","Tecumseh Playground","Spanish","1500","1500-005","Installed","Consolidated Rules Sign",,"48677","Chinese","10024","POINT (-73.97849045789222 40.78196030013577)"
"Map","B","355","39","B073",,,"None / Free Standing",,"B073-ZN13","B-19","78","Prospect Pk W, Flatbush, Parkside, Ocean Aves","Prospect Park",,,,"Installed","Wayfinding Sign","Upper Long Meadow","31745",,"11215","POINT (-73.97131239707888 40.66562568372744)"
"Map","X","228","13","X039",,,"None / Free Standing",,"X039-ZN15","X-15","45","Bruckner Blvd, Eastchester, Hutchinson","Pelham Bay Park",,,,"Installed","Wayfinding Sign","Twin Island","33670",,"10464","POINT (-73.78705022212078 40.870405935100116)"
"Comfort Station – W (1801)","X","227","11","X002",,,"Wall",,"X002-ZN04","X-14","52","Southern Blvd,Webster,Burke Aves,Bronx Pk E,180 St","Bronx Park",,"1801","1801","Installed","Consolidated Rules Sign","Allerton Fields In Bronx Park","33420",,"10467","POINT (-73.87654285883512 40.869558578122145)"
"Comfort Station – M + Accessible + Family (1810)","X","210","13","X126",,"XX-002","Wall",,"X126-ZN04","X-10","45","Schley Ave., LI Sound bet. Westchester Creek and Balcom Ave.","Ferry Point Park","Spanish","1810","1810-002","Installed","Consolidated Rules Sign","Ferry Point Park Zone 4",,"Italian","10465","POINT (-73.82624417211011 40.820166201859784)"
"Park without Dog Run; No Off-Leash (2401)","X","203","17","X010",,"XX-001","None / Free Standing",,"X010-ZN08","X-03","42","Crotona Park North to South, Fulton Av to Southern Blvd and Crotona Park East","Crotona Park","Spanish","2401","2401-001","Installed","Consolidated Rules Sign","Crotona Zone 8","33239","French","10456","POINT (-73.89753704647883 40.83491456304848)"
"Comfort Station","R","595","51",,,,"Wall",,,,"122",,,,,,"Surveyed","Consolidated Rules Sign",,,,"10306","POINT (-74.1318929349257 40.536032031792985)"
"Playground - Adults Allowed (2600)","Q","414","31",,,"XX-008","Wrought Iron / Steep Picket Fence",,,,"101",,,"Spanish","2600","2600-008","Installed","Consolidated Rules Sign",,,"Russian","11691","POINT (-73.7592879972846 40.59977767719312)"
"Triangle No Rules - Routed (800)","Q","410","32","Q177",,"XX-002","None / Free Standing",,,"Q-10","106","133 Ave. bet. 82 St. and 86 St.","Tudor Malls","Spanish","800","800-002","Surveyed","Routed Sign",,,"Italian","11417","POINT (-73.85051669506855 40.674286839010186)"
,"Q","407","20",,,"XX-005","Chain Link Fence - 2""",,,,"109",,,"Spanish",,,"Installed","Other Sign",,,"Chinese","11354","POINT (-73.8251955663939 40.76277128748725)"
"Trail With Hours / Exterior (3201)","X","228","13","X039",,,"None / Free Standing",,"X039-ZN07","X-15","45","Bruckner Blvd, Eastchester, Hutchinson","Pelham Bay Park",,"3201","3201","Installed","Consolidated Rules Sign","Central Woodland",,,"10464","POINT (-73.81170530528689 40.86431019139043)"
"Park without Dog Run; No Off-Leash (2401)","R","502","51","RZ230",,"XX-005","Chain Link Fence - 2""",,,,"121",,,"Spanish","2401","2401-005","Installed","Consolidated Rules Sign",,,"Chinese","10314","POINT (-74.16862197909039 40.589087134989484)"
,"X","203","17",,,"XX-001","Chain Link Fence - 2""",,,,"42",,,"Spanish",,,"Installed","Routed Sign",,,"French","10460","POINT (-73.88220925025054 40.8376440148297)"
,"M","111","8",,,"XX-005","None / Free Standing",,,,"25",,,"Spanish",,,"Installed","Wayfinding Sign",,,"Chinese","10035","POINT (-73.92806630542813 40.78472751011805)"
,"X","202","17","XZ01",,"XX-001","Pipe Rail",,,,"41",,,"Spanish",,,"Installed","Routed Sign",,,"French","10474","POINT (-73.8913476224729 40.813652349863645)"
"Trail (3200)","X","226","11","X092",,,"None / Free Standing",,,"X-13","50","Broadway, Jerome Ave,City Line,Van Cortlandt Pk S","Van Cortlandt Park",,"3200","3200","Installed","Consolidated Rules Sign",,,,"10471","POINT (-73.88609716189717 40.899674752851276)"
"Lakes / Body of Water (2200)","Q","413","31","Q107",,"XX-007","Other (Leave Comment)",,,"Q-13","105","149 Av, Springfield Bl, 145 Rd, 184 St","Springfield Park","Spanish","2200","2200-007","Installed","Consolidated Rules Sign",,,"French Creole","11413","POINT (-73.76217141605322 40.66074894530717)"
"Athletic Field / Court - Hours (1500)","Q","407","19","Q476",,"XX-005","Chain Link Fence - 2""",,,"Q-07","109","130 St. bet., 23rd Ave. and 26 Ave.","College Point Fields","Spanish","1500","1500-005","Installed","Consolidated Rules Sign",,,"Chinese","11354","POINT (-73.83762829837474 40.77637309579513)"
"Park with Dog Run; No Off Leash (2403)","B","302","33",,,"XX-005","None / Free Standing",,,,"84",,,"Spanish","2403","2403-005","Surveyed","Consolidated Rules Sign",,,"Chinese","11201","POINT (-73.9962546219964 40.70094947891611)"
"Park without Dog Run; No Off-Leash (2401)","M","112","10","M0289",,"XX-005","Wall",,,,"34",,,"Spanish","2401","2401-005","Installed","Consolidated Rules Sign",,,"Chinese","10033","POINT (-73.93146678531056 40.86866216881544)"
,"R","502","50",,,"XX-005","Chain Link Fence - 2""",,,,"121",,,"Spanish",,,"Installed","Routed Sign",,,"Chinese","10314","POINT (-74.18380771749275 40.61025540330081)"
"Comfort Station  – M (1800)","Q","404","21","Q450",,"XX-005","Wall",,,"Q-04","110","109 St., 111 St. bet. 46 Ave. and 47 Ave.","Corona Golf Playground","Spanish","1800","1800-005","Installed","Consolidated Rules Sign",,"26493","Chinese","11368","POINT (-73.85404140106155 40.74778894056491)"
"Playground - Children Only (2601)","X","208","11","X224","7:00 a.m. to 6:00 p.m. (Nov1 – March 1), 7:00 a.m. to 9:00 p.m. (March 2 – Oct 31)","XX-001",,,,"X-08","50","Greystone Av bet. W 236 St and W 240 St","MacLaughlin Playground","Spanish","2601","2601-001","Installed","Consolidated Rules Sign",,"34001","French","10471","POINT (-73.90506271160301 40.88824574068059)"
"Athletic Field / Court - No Hours (1501)","Q","411","19","Q103",,"XX-016","Chain Link Fence - 2""",,,"Q-11","111","32 Ave., 33 Ave. bet. Corporal Kennedy St. and 210 St.","Raymond O’Connor Park","Chinese","1501","1501-016","Installed","Consolidated Rules Sign",,"28150","Korean","11361","POINT (-73.77996800725352 40.77183688143763)"
"Playground - Children Only (2601)","M","104","3","M022","7:00 a.m. to 6:00 p.m. (Nov1 – March 1), 7:00 a.m. to 9:00 p.m. (March 2 – Oct 31)","XX-005","Wrought Iron / Steep Picket Fence",,,"M-04","18","W. 52 St. To W. 54 St., 11 Ave. To 12 Ave.","De Witt Clinton Park","Spanish","2601","2601-005","Installed","Consolidated Rules Sign",,"48083","Chinese","10019","POINT (-73.99484158462414 40.76806673128244)"
"Park without Dog Run; Off-Leash OK (2402)","B","355","39","B073",,,"Wrought Iron / Steep Picket Fence",,"B073-ZN12","B-19","78","Prospect Pk W, Flatbush, Parkside, Ocean Aves","Prospect Park",,"2402","2402","Installed","Consolidated Rules Sign","Vale Of Cashmere, Nellie's Lawn",,,"11215","POINT (-73.96563720418504 40.667424940533934)"
"Park without Dog Run; No Off-Leash (2401)","X","204","16","X081",,"XX-001","None / Free Standing",,,"X-04","44","Mount Eden Pkwy bet. Weeks Av and Walton Av","Mount Eden Malls","Spanish","2401","2401-001","Installed","Consolidated Rules Sign",,,"French","10457","POINT (-73.91106765692605 40.8429987913188)"
"Dog Run Interior (1902)","M","102","1","M098",,"XX-005","Wrought Iron / Steep Picket Fence",,"M098-ZN02","M-02","6","5 Ave, Waverly Pl., W. 4 St. and Macdougal St.","Washington Square Park","Spanish","1902","1902-005","Installed","Consolidated Rules Sign","Washington Square Park Eastern Half",,"Chinese","10011","POINT (-73.9974762489399 40.730158707716825)"
"Trail (3200)","Q","411","19","Q452",,"XX-016","Other (Leave Comment)",,,"Q-07A","111","Northern Blvd., 244 St. to 247 St., Douglas Rd., Little Neck Bay","Udall's Park Preserve","Chinese","3200","3200-016","Installed","Consolidated Rules Sign",,,"Korean","11363","POINT (-73.744074512234 40.77018994803979)"
"Park without Dog Run; No Off-Leash (2401)","Q","412","27","Q051",,"XX-004","None / Free Standing",,,"Q-12","113","169 St., Merrick Blvd., Marne Pl. bet. Linden Blvd., Sayres Ave., and 111 Rd.","Archie Spigner Park","Spanish","2401","2401-004","Installed","Consolidated Rules Sign",,,"Bengali","11433","POINT (-73.77946219092493 40.69232262548675)"
"Park without Dog Run; No Off-Leash (2401)","X","227","15","X002",,,"Wrought Iron / Steep Picket Fence",,"X002-ZN02","X-14","49","Southern Blvd,Webster,Burke Aves,Bronx Pk E,180 St","Bronx Park",,"2401","2401","Installed","Consolidated Rules Sign","Bronx Park Zone 2",,,"10467","POINT (-73.87059539773087 40.865226671404876)"
"Athletic Field / Court - Hours (1500)","Q","401","22","Q066F",,"XX-009","Chain Link Fence - 1""",,,"Q-01","114","Hoyt Ave. North bet. 29 St. and 31 St.","Hoyt Playground","Spanish","1500","1500-009","Installed","Consolidated Rules Sign",,"26537","Greek","11102","POINT (-73.91767022115029 40.771658444918515)"
"Beach","Q","414","31","Q162",,"XX-008","Pipe Rail",,"Q162-ZN03A","Q-14","101","Lands underwater bet. B. 2 St. and B. 73 St.","Rockaway Beach and Boardwalk","Spanish",,,"Surveyed","Consolidated Rules Sign","Rockaway Beach 03a","28899","Russian","11691","POINT (-73.78061131653611 40.59085434352679)"
"Athletic Field / Court - Hours (1500)","B","318","46","B291",,"XX-007","Chain Link Fence - 2""",,,"B-18","63","Ave. N between E. 49 St. and Utica Ave.","Power Playground","Spanish","1500","1500-007","Installed","Consolidated Rules Sign",,"31028","French Creole","11234","POINT (-73.92762946565898 40.617584609547144)"
"Athletic Field / Court - Hours (1500)","X","206","15","X174",,"XX-001",,,,"X-06","48","E. 188 St. bet. Webster Ave. and Park Ave.","Webster Playground","Spanish","1500","1500-001","Installed","Consolidated Rules Sign",,"34028","French","10458","POINT (-73.89283086562519 40.85927527085668)"
"Dog Run Interior (1902)","X","209","18","X118",,"XX-004","Chain Link Fence - 2""",,"X118-ZN04","X-09","43","Bronx River, Bronx River Ave. bet. Lafayette Ave., Surf Dr.","Soundview Park","Spanish","1902","1902-004","Installed","Consolidated Rules Sign","Soundview Park Zone 4",,"Bengali","10473","POINT (-73.87768185283736 40.818935934995324)"
"Combo: Playground / Court (2602)","Q","408","23","Q221",,"XX-005","Chain Link Fence - 2""",,,"Q-08","107","73 Ave. bet. 195 St. and 196 Pl.","Farm Playground","Spanish","2602","2602-005","Installed","Consolidated Rules Sign",,"27660","Chinese","11365","POINT (-73.77671687357135 40.73559381112784)"
"Comfort Station  – M (1800)","Q","404","21","Q046",,"XX-005","Wall",,,"Q-04","110","102 St. bet. Corona Ave. and Alstyne Ave.","Josephine Caminiti Playground","Spanish","1800","1800-005","Installed","Consolidated Rules Sign",,"27302","Chinese","11368","POINT (-73.86156078925599 40.74376685618758)"
"Dog Run Interior (1902)","X","202","8","X247",,"XX-001","Wrought Iron / Steep Picket Fence",,,"X-02","41","E 156 St bet. Fox St and Southern Blvd","Fox Park","Spanish","1902","1902-001","Installed","Consolidated Rules Sign",,,"French","10455","POINT (-73.8980912043716 40.814964410875085)"
"Combo: Playground / Court (2602)","Q","411","23","Q001",,"XX-016","Chain Link Fence - 2""",,,"Q-07A","111","Little Neck Bay to Springfield Blvd, Union Tpke","Alley Pond Park","Chinese","2602","2602-016","Installed","Consolidated Rules Sign",,,"Korean","11364","POINT (-73.7446203036691 40.747477449392605)"
"Park without Dog Run; No Off-Leash (2401)","Q","406","29","Q207",,"XX-015","None / Free Standing",,,"Q-06","112","Queens Blvd. bet. Yellowstone Blvd. and 70 Rd.","MacDonald Park","Chinese","2401","2401-015","Installed","Consolidated Rules Sign",,"28048","Russian","11375","POINT (-73.84646234304509 40.7219706454849)"
"Park without Dog Run; No Off-Leash (2401)","X","206","15","X002",,"XX-001","Wrought Iron / Steep Picket Fence",,,"X-14","48","Southern Blvd,Webster,Burke Aves,Bronx Pk E,180 St","Bronx Park","Spanish","2401","2401-001","Installed","Consolidated Rules Sign",,,"French","10462","POINT (-73.87452363306973 40.84162179055154)"
"Athletic Field / Court - Hours (1500)","B","318","46","B057",,"XX-007","Chain Link Fence - 2""",,"B057-ZN07","B-18","63","Flatbush, Gerritsen & Fillmore Aves, Jamaica Bay","Marine Park","Spanish","1500","1500-007","Installed","Consolidated Rules Sign","Marine Park Zone 7, Gerritsen Ballfields","31259","French Creole","11234","POINT (-73.9259140342897 40.59401844745266)"
"Playground - Adults Allowed (2600)","Q","411","20","Q293","6:00 a.m. to 9:00 p.m.","XX-016","Chain Link Fence - 2""",,,"Q-11","111","56 Ave. bet. 201 St. and 202 St.","Saul Weprin Playground","Chinese","2600","2600-016","Installed","Consolidated Rules Sign",,,"Korean","11364","POINT (-73.77597412167638 40.74799163725477)"
"Park without Dog Run; Off-Leash OK (2402)","X","210","13","X126",,"XX-002","None / Free Standing",,"X126-ZN02","X-10","45","Schley Ave., LI Sound bet. Westchester Creek and Balcom Ave.","Ferry Point Park","Spanish","2402","2402-002","Installed","Consolidated Rules Sign","Ferry Point Park Zone 2","33352","Italian","10465","POINT (-73.83705053203359 40.811425774426645)"
"Park without Dog Run; No Off-Leash (2401)","B","304","37","B381",,"XX-005","Wrought Iron / Steep Picket Fence",,,"B-04","83","Broadway between Granite St. and Aberdeen St.","Thomas Boyland Park","Spanish","2401","2401-005","Installed","Consolidated Rules Sign",,"31814","Chinese","11207","POINT (-73.90701071701179 40.68111723605931)"
"Athletic Field / Court - Hours (1500)","B","303","36","B237",,"XX-006","Chain Link Fence - 2""",,,"B-03","79","Bedford Ave., Hancock St., Jefferson Ave.","John Hancock Playground","Spanish","1500","1500-006","Installed","Consolidated Rules Sign",,"31440","Yiddish","11216","POINT (-73.95465714320801 40.68235896455002)"
"Athletic Field / Court - Hours (1500)","R","503","50","R026",,"XX-017","Chain Link Fence - 2""",,,"R-03","122","Mill Rd. to Weed Ave. bet. Tysens La. and Isernia Ave.","Gerard P. Dugan Playground","Russian","1500","1500-017","Installed","Consolidated Rules Sign",,,"Italian","10306","POINT (-74.1105051162717 40.56095318386184)"
"Skate Park - Unstaffed - Hours (3001)","B","308","36","B012",,"XX-007","Wrought Iron / Steep Picket Fence",,"B012-03","B-08","77","St. Mark's Ave., Park Pl. bet. Brooklyn Ave. and Kingston Ave.","Brower Park","Spanish","3001","3001-007","Installed","Consolidated Rules Sign","Brower Park","29923","French Creole","11213","POINT (-73.94322839947604 40.67471536983583)"
"Trail With Hours / Exterior (3201)","R","502","50","R129",,"XX-005","None / Free Standing",,"R065-ZN04","R-02","122","Rockland Ave., Manor Ave., Brielle Ave., Forest Hill Rd.","Blood Root Valley","Spanish","3201","3201-005","Installed","Consolidated Rules Sign","Blood Root Valley",,"Chinese","10314","POINT (-74.13423910143979 40.58657960620542)"
"Park without Dog Run; No Off-Leash (2401)","B","306","39","B019",,"XX-001","Wrought Iron / Steep Picket Fence",,,"B-06","76","Court St., Smith St., bet. Carroll St. and President St.","Carroll Park","Spanish","2401","2401-001","Surveyed","Consolidated Rules Sign",,"29554","French","11231","POINT (-73.99452454918666 40.68091450191181)"
"Comfort Station – M + Accessible + Family (1810)","Q","412","28","Q005",,"XX-004","Wall",,"Q005-ZN03","Q-12","113","N. Conduit Ave., 116 Ave. bet. 150 St., Suptin Blvd., and Baisley Blvd. S.","Baisley Pond Park","Spanish","1810","1810-004","Installed","Consolidated Rules Sign","Baisley Pond Park Zone 3","27327","Bengali","11434","POINT (-73.78406994340436 40.67777578154756)"
"Athletic Field / Court - Hours (1500)","X","201","8","X238",,"XX-001","Chain Link Fence - 2""",,,"X-01","40","E. 139 St. bet. Brook Ave. and Willis Ave.","Saw Mill Playground","Spanish","1500","1500-001","Installed","Consolidated Rules Sign",,,"French","10454","POINT (-73.91946050670006 40.809235588358675)"
"Playground - Adults Allowed (2600)","X","207","11","X197","7:00 a.m. to 6:00 p.m. (Nov1 – March 1), 7:00 a.m. to 9:00 p.m. (March 2 – Oct 31)","XX-004",,,,"X-07","52","Mosholu Parkway South bet. Bainbridge Ave. and Briggs Ave.","Mosholu Playground","Spanish","2600","2600-004","Installed","Consolidated Rules Sign",,"34043","Bengali","10458","POINT (-73.88263322885962 40.872188107719445)"
"Tennis Courts Hours (3100)","Q","412","28","Q005",,"XX-004","Chain Link Fence - 2""",,"Q005-11","Q-12","113","N. Conduit Ave., 116 Ave. bet. 150 St., Suptin Blvd., and Baisley Blvd. S.","Baisley Pond Park","Spanish","3100","3100-004","Installed","Consolidated Rules Sign","Baisley Park South","27540","Bengali","11434","POINT (-73.78827019050442 40.669460577838706)"
"Athletic Field - Synthetic Turf - Hours (1502)","B","302","33","B061",,"XX-005","Chain Link Fence - 2""",,,"B-02","84","Jay St., Bridge St. bet. Tillary St. and Cathedral Pl.","McLaughlin Park","Spanish","1502","1502-005","Installed","Consolidated Rules Sign",,"29575","Chinese","11201","POINT (-73.9851639758054 40.69669714603083)"
"Athletic Field / Court - Hours (1500)","Q","410","28","Q119",,"XX-002","Chain Link Fence - 2""",,,"Q-10","106","134 St., 135 St., bet. 111 Ave. and Lincoln St., Linden Blvd","Frederick B. Judge Playground","Spanish","1500","1500-002","Installed","Consolidated Rules Sign",,"26265","Italian","11420","POINT (-73.80851221647957 40.68401865901757)"
"Playground - Adults Allowed (2600)","M","107","7","M229","7:00 a.m. to 6:00 p.m. (Nov1 – March 1), 7:00 a.m. to 9:00 p.m. (March 2 – Oct 31)","XX-005",,,,"M-07","24","W. 97 St. and Amsterdam Ave.","Happy Warrior Playground","Spanish","2600","2600-005","Installed","Consolidated Rules Sign",,"48539","Chinese","10025","POINT (-73.96913004754842 40.79550313957499)"
