"recordid","address","house_number","street","zip_original","cb_original","site","species","diameter","condition","wires","sidewalk_condition","support_structure","borough","x","y","longitude","latitude","cb_new","zip_new","censustract_2010","censusblock_2010","nta_2010","segmentid","spc_common","spc_latin","location","council_district","bin","bbl"
"33","290 BROADWAY","290","BROADWAY","10007","101","Side","OSVI","4","Excellent","None","Good","None","Manhattan","982635.7128","199680.6589","-74.005823","40.714754","101","10007","31","1016","MN24","23405","EASTERN HOP HORNBEAM","OSTRYA VIRGINIANA","(40.714754, -74.005823)","1","1083094","1001540001"
"34","355 GREENWICH ST","355","GREENWICH ST","10013","101","Across","TICO","9","Good","None","Good","None","Manhattan","981367.4502","201159.5399","-74.010399","40.718813","101","10013","39","4004","MN24","31565","LINDEN, LITTLE LEAF","TILIA CORDATA","(40.718813, -74.010399)","1","1002083","1001817501"
"35","290 BROADWAY","290","BROADWAY","10007","101","Side","OSVI","4","Excellent","None","Good","None","Manhattan","982635.7128","199680.6589","-74.005823","40.714754","101","10007","31","1016","MN24","23405","EASTERN HOP HORNBEAM","OSTRYA VIRGINIANA","(40.714754, -74.005823)","1","1083094","1001540001"
"36","290 BROADWAY","290","BROADWAY","10007","101","Side","OSVI","4","Excellent","None","Good","None","Manhattan","982635.7128","199680.6589","-74.005823","40.714754","101","10007","31","1016","MN24","23405","EASTERN HOP HORNBEAM","OSTRYA VIRGINIANA","(40.714754, -74.005823)","1","1083094","1001540001"
"37","361 GREENWICH ST","361","GREENWICH ST","10013","101","Across","TICO","8","Poor","None","Good","None","Manhattan","981379.9341","201257.7466","-74.010354","40.719082","101","10013","39","4004","MN24","31565","LINDEN, LITTLE LEAF","TILIA CORDATA","(40.719082, -74.010354)","1","1084857","1001817501"
"38","290 BROADWAY","290","BROADWAY","10007","101","Side","OSVI","4","Excellent","None","Good","None","Manhattan","982635.7128","199680.6589","-74.005823","40.714754","101","10007","31","1016","MN24","23405","EASTERN HOP HORNBEAM","OSTRYA VIRGINIANA","(40.714754, -74.005823)","1","1083094","1001540001"
"39","290 BROADWAY","290","BROADWAY","10007","101","Side","OSVI","4","Excellent","None","Good","None","Manhattan","982635.7128","199680.6589","-74.005823","40.714754","101","10007","31","1016","MN24","23405","EASTERN HOP HORNBEAM","OSTRYA VIRGINIANA","(40.714754, -74.005823)","1","1083094","1001540001"
"40","3521/2 GREENWICH ST",,"GREENWICH ST","0","0","Front","GLTR","7","Poor","None","Good","None","Manhattan","1","1","1","1","101","10013","39","2001","MN24","31565","HONEYLOCUST","GLEDITSIA TRIACANTHOS","(1.0, 1.0)",,,
"41","290 BROADWAY","290","BROADWAY","10007","101","Side","OSVI","4","Excellent","None","Good","None","Manhattan","982635.7128","199680.6589","-74.005823","40.714754","101","10007","31","1016","MN24","23405","EASTERN HOP HORNBEAM","OSTRYA VIRGINIANA","(40.714754, -74.005823)","1","1083094","1001540001"
"42","290 BROADWAY","290","BROADWAY","10007","101","Side","OSVI","4","Excellent","None","Good","None","Manhattan","982635.7128","199680.6589","-74.005823","40.714754","101","10007","31","1016","MN24","23405","EASTERN HOP HORNBEAM","OSTRYA VIRGINIANA","(40.714754, -74.005823)","1","1083094","1001540001"
"43","3541/2 GREENWICH ST",,"GREENWICH ST","0","0","Front","GLTR","3","Good","None","Good","None","Manhattan","1","1","1","1","101","10013","39","2001","MN24","31565","HONEYLOCUST","GLEDITSIA TRIACANTHOS","(1.0, 1.0)",,,
"44","290 BROADWAY","290","BROADWAY","10007","101","Side","OSVI","4","Excellent","None","Good","None","Manhattan","982635.7128","199680.6589","-74.005823","40.714754","101","10007","31","1016","MN24","23405","EASTERN HOP HORNBEAM","OSTRYA VIRGINIANA","(40.714754, -74.005823)","1","1083094","1001540001"
"45","290 BROADWAY","290","BROADWAY","10007","101","Side","OSVI","4","Excellent","None","Good","None","Manhattan","982635.7128","199680.6589","-74.005823","40.714754","101","10007","31","1016","MN24","23405","EASTERN HOP HORNBEAM","OSTRYA VIRGINIANA","(40.714754, -74.005823)","1","1083094","1001540001"
"46","3541/2 GREENWICH ST",,"GREENWICH ST","0","0","Front","GLTR","4","Poor","None","Good","None","Manhattan","1","1","1","1","101","10013","39","2001","MN24","31565","HONEYLOCUST","GLEDITSIA TRIACANTHOS","(1.0, 1.0)",,,
"47","290 BROADWAY","290","BROADWAY","10007","101","Side","OSVI","4","Excellent","None","Good","None","Manhattan","982635.7128","199680.6589","-74.005823","40.714754","101","10007","31","1016","MN24","23405","EASTERN HOP HORNBEAM","OSTRYA VIRGINIANA","(40.714754, -74.005823)","1","1083094","1001540001"
"48","290 BROADWAY","290","BROADWAY","10007","101","Side","OSVI","4","Excellent","None","Good","None","Manhattan","982635.7128","199680.6589","-74.005823","40.714754","101","10007","31","1016","MN24","23405","EASTERN HOP HORNBEAM","OSTRYA VIRGINIANA","(40.714754, -74.005823)","1","1083094","1001540001"
"49","3701/2 GREENWICH ST",,"GREENWICH ST","0","0","Front","GLTR","5","Good","None","Good","None","Manhattan","1","1","1","1","101","10013","39","2001","MN24","31566","HONEYLOCUST","GLEDITSIA TRIACANTHOS","(1.0, 1.0)",,,
"50","290 BROADWAY","290","BROADWAY","10007","101","Side","OSVI","4","Excellent","None","Good","None","Manhattan","982635.7128","199680.6589","-74.005823","40.714754","101","10007","31","1016","MN24","23405","EASTERN HOP HORNBEAM","OSTRYA VIRGINIANA","(40.714754, -74.005823)","1","1083094","1001540001"
"51","290 BROADWAY","290","BROADWAY","10007","101","Side","OSVI","4","Excellent","None","Good","None","Manhattan","982635.7128","199680.6589","-74.005823","40.714754","101","10007","31","1016","MN24","23405","EASTERN HOP HORNBEAM","OSTRYA VIRGINIANA","(40.714754, -74.005823)","1","1083094","1001540001"
"52","3721/2 GREENWICH ST",,"GREENWICH ST","0","0","Front","GLTR","4","Poor","None","Good","None","Manhattan","1","1","1","1","101","10013","39","2001","MN24","31566","HONEYLOCUST","GLEDITSIA TRIACANTHOS","(1.0, 1.0)",,,
"53","290 BROADWAY","290","BROADWAY","10007","101","Side","OSVI","4","Excellent","None","Good","None","Manhattan","982635.7128","199680.6589","-74.005823","40.714754","101","10007","31","1016","MN24","23405","EASTERN HOP HORNBEAM","OSTRYA VIRGINIANA","(40.714754, -74.005823)","1","1083094","1001540001"
"54","290 BROADWAY","290","BROADWAY","10007","101","Side","OSVI","4","Good","None","Good","None","Manhattan","982635.7128","199680.6589","-74.005823","40.714754","101","10007","31","1016","MN24","23405","EASTERN HOP HORNBEAM","OSTRYA VIRGINIANA","(40.714754, -74.005823)","1","1083094","1001540001"
"55","3781/2 GREENWICH ST",,"GREENWICH ST","0","0","Front","GLTR","7","Good","None","Good","None","Manhattan","1","1","1","1","101","10013","39","2001","MN24","31566","HONEYLOCUST","GLEDITSIA TRIACANTHOS","(1.0, 1.0)",,,
"56","3781/2 GREENWICH ST",,"GREENWICH ST","0","0","Across","GIBI","5","Excellent","None","Good","None","Manhattan","1","1","1","1","101","10013","39","2001","MN24","31566","GINKGO","GINKGO BILOBA","(1.0, 1.0)",,,
"57","3781/2 GREENWICH ST",,"GREENWICH ST","0","0","Across","GIBI","4","Good","None","Good","None","Manhattan","1","1","1","1","101","10013","39","2001","MN24","31566","GINKGO","GINKGO BILOBA","(1.0, 1.0)",,,
"58","361 GREENWICH ST","361","GREENWICH ST","10013","101","Front","ULAM","4","Good","None","Good","None","Manhattan","981379.9341","201257.7466","-74.010354","40.719082","101","10013","39","4004","MN24","31565","ELM, AMERICAN","ULMUS AMERICANA","(40.719082, -74.010354)","1","1084857","1001817501"
"59","290 BROADWAY","290","BROADWAY","10007","101","Side","OSVI","4","Excellent","None","Good","None","Manhattan","982635.7128","199680.6589","-74.005823","40.714754","101","10007","31","1016","MN24","23405","EASTERN HOP HORNBEAM","OSTRYA VIRGINIANA","(40.714754, -74.005823)","1","1083094","1001540001"
"60","290 BROADWAY","290","BROADWAY","10007","101","Side","OSVI","4","Excellent","None","Good","None","Manhattan","982635.7128","199680.6589","-74.005823","40.714754","101","10007","31","1016","MN24","23405","EASTERN HOP HORNBEAM","OSTRYA VIRGINIANA","(40.714754, -74.005823)","1","1083094","1001540001"
"61","290 BROADWAY","290","BROADWAY","10007","101","Side","OSVI","4","Excellent","None","Good","None","Manhattan","982635.7128","199680.6589","-74.005823","40.714754","101","10007","31","1016","MN24","23405","EASTERN HOP HORNBEAM","OSTRYA VIRGINIANA","(40.714754, -74.005823)","1","1083094","1001540001"
"62","290 BROADWAY","290","BROADWAY","10007","101","Side","OSVI","4","Excellent","None","Good","None","Manhattan","982635.7128","199680.6589","-74.005823","40.714754","101","10007","31","1016","MN24","23405","EASTERN HOP HORNBEAM","OSTRYA VIRGINIANA","(40.714754, -74.005823)","1","1083094","1001540001"
"63","290 BROADWAY","290","BROADWAY","10007","101","Side","OSVI","4","Excellent","None","Good","None","Manhattan","982635.7128","199680.6589","-74.005823","40.714754","101","10007","31","1016","MN24","23405","EASTERN HOP HORNBEAM","OSTRYA VIRGINIANA","(40.714754, -74.005823)","1","1083094","1001540001"
"64","290 BROADWAY","290","BROADWAY","10007","101","Side","OSVI","4","Excellent","None","Good","None","Manhattan","982635.7128","199680.6589","-74.005823","40.714754","101","10007","31","1016","MN24","23405","EASTERN HOP HORNBEAM","OSTRYA VIRGINIANA","(40.714754, -74.005823)","1","1083094","1001540001"
"65","290 BROADWAY","290","BROADWAY","10007","101","Side","OSVI","4","Excellent","None","Good","None","Manhattan","982635.7128","199680.6589","-74.005823","40.714754","101","10007","31","1016","MN24","23405","EASTERN HOP HORNBEAM","OSTRYA VIRGINIANA","(40.714754, -74.005823)","1","1083094","1001540001"
"66","290 BROADWAY","290","BROADWAY","10007","101","Side","OSVI","4","Excellent","None","Good","None","Manhattan","982635.7128","199680.6589","-74.005823","40.714754","101","10007","31","1016","MN24","23405","EASTERN HOP HORNBEAM","OSTRYA VIRGINIANA","(40.714754, -74.005823)","1","1083094","1001540001"
"67","290 BROADWAY","290","BROADWAY","10007","101","Side","OSVI","4","Excellent","None","Good","None","Manhattan","982635.7128","199680.6589","-74.005823","40.714754","101","10007","31","1016","MN24","23405","EASTERN HOP HORNBEAM","OSTRYA VIRGINIANA","(40.714754, -74.005823)","1","1083094","1001540001"
"68","9 N MOORE ST","9","N MOORE ST","10013","101","Front","PR","2","Poor","None","Good","None","Manhattan","982466.9025","201498.0661","-74.006433","40.719742","101","10013","33","3013","MN24","31804","CHERRY, OTHER","PRUNUS SPECIES","(40.719742, -74.006433)","1","1002175","1001907502"
"69","290 BROADWAY","290","BROADWAY","10007","101","Side","OSVI","4","Excellent","None","Good","None","Manhattan","982635.7128","199680.6589","-74.005823","40.714754","101","10007","31","1016","MN24","23405","EASTERN HOP HORNBEAM","OSTRYA VIRGINIANA","(40.714754, -74.005823)","1","1083094","1001540001"
"70","9 N MOORE ST","9","N MOORE ST","10013","101","Front","PR","2","Poor","None","Good","None","Manhattan","982466.9025","201498.0661","-74.006433","40.719742","101","10013","33","3013","MN24","31804","CHERRY, OTHER","PRUNUS SPECIES","(40.719742, -74.006433)","1","1002175","1001907502"
"71","290 BROADWAY","290","BROADWAY","10007","101","Side","OSVI","5","Excellent","None","Good","None","Manhattan","982635.7128","199680.6589","-74.005823","40.714754","101","10007","31","1016","MN24","23405","EASTERN HOP HORNBEAM","OSTRYA VIRGINIANA","(40.714754, -74.005823)","1","1083094","1001540001"
"72","290 BROADWAY","290","BROADWAY","10007","101","Side","OSVI","4","Excellent","None","Good","None","Manhattan","982635.7128","199680.6589","-74.005823","40.714754","101","10007","31","1016","MN24","23405","EASTERN HOP HORNBEAM","OSTRYA VIRGINIANA","(40.714754, -74.005823)","1","1083094","1001540001"
"73","388 GREENWICH ST","388","GREENWICH ST","10013","101","Side","GLTR","5","Excellent","None","Good","None","Manhattan","981441.5639","201790.2297","-74.010132","40.720544","101","10013","39","2002","MN24","31568","HONEYLOCUST","GLEDITSIA TRIACANTHOS","(40.720544, -74.010132)","1","1082816","1002160001"
"74","388 GREENWICH ST","388","GREENWICH ST","10013","101","Side","GLTR","5","Excellent","None","Good","None","Manhattan","981441.5639","201790.2297","-74.010132","40.720544","101","10013","39","2002","MN24","31568","HONEYLOCUST","GLEDITSIA TRIACANTHOS","(40.720544, -74.010132)","1","1082816","1002160001"
"75","388 GREENWICH ST","388","GREENWICH ST","10013","101","Side","GLTR","5","Excellent","None","Good","None","Manhattan","981441.5639","201790.2297","-74.010132","40.720544","101","10013","39","2002","MN24","31568","HONEYLOCUST","GLEDITSIA TRIACANTHOS","(40.720544, -74.010132)","1","1082816","1002160001"
"76","388 GREENWICH ST","388","GREENWICH ST","10013","101","Side","GLTR","4","Good","None","Good","None","Manhattan","981441.5639","201790.2297","-74.010132","40.720544","101","10013","39","2002","MN24","31568","HONEYLOCUST","GLEDITSIA TRIACANTHOS","(40.720544, -74.010132)","1","1082816","1002160001"
"77","388 GREENWICH ST","388","GREENWICH ST","10013","101","Side","GLTR","5","Excellent","None","Good","None","Manhattan","981441.5639","201790.2297","-74.010132","40.720544","101","10013","39","2002","MN24","31568","HONEYLOCUST","GLEDITSIA TRIACANTHOS","(40.720544, -74.010132)","1","1082816","1002160001"
"78","388 GREENWICH ST","388","GREENWICH ST","10013","101","Side","GLTR","5","Excellent","None","Good","None","Manhattan","981441.5639","201790.2297","-74.010132","40.720544","101","10013","39","2002","MN24","31568","HONEYLOCUST","GLEDITSIA TRIACANTHOS","(40.720544, -74.010132)","1","1082816","1002160001"
"79","388 GREENWICH ST","388","GREENWICH ST","10013","101","Side","GLTR","6","Excellent","None","Good","None","Manhattan","981441.5639","201790.2297","-74.010132","40.720544","101","10013","39","2002","MN24","31568","HONEYLOCUST","GLEDITSIA TRIACANTHOS","(40.720544, -74.010132)","1","1082816","1002160001"
"80","80 N MOORE ST","80","N MOORE ST","10013","101","Front","ACPL","6","Poor","None","Good","None","Manhattan","981330.4271","201649.9518","-74.010532","40.720159","101","10013","39","2001","MN24","31567","MAPLE, NORWAY","ACER PLATANOIDES","(40.720159, -74.010532)","1","1083157","1001420025"
"81","80 N MOORE ST","80","N MOORE ST","10013","101","Front","ACPL","8","Poor","None","Good","None","Manhattan","981330.4271","201649.9518","-74.010532","40.720159","101","10013","39","2001","MN24","31567","MAPLE, NORWAY","ACER PLATANOIDES","(40.720159, -74.010532)","1","1083157","1001420025"
"82","80 N MOORE ST","80","N MOORE ST","10013","101","Front","ACPL","7","Poor","None","Good","None","Manhattan","981330.4271","201649.9518","-74.010532","40.720159","101","10013","39","2001","MN24","31567","MAPLE, NORWAY","ACER PLATANOIDES","(40.720159, -74.010532)","1","1083157","1001420025"
"83","80 N MOORE ST","80","N MOORE ST","10013","101","Front","FRPE","6","Excellent","None","Good","None","Manhattan","981330.4271","201649.9518","-74.010532","40.720159","101","10013","39","2001","MN24","31567","ASH, GREEN","FRAXINUS PENNSYLVANICA","(40.720159, -74.010532)","1","1083157","1001420025"
"84","105 DUANE ST","105","DUANE ST","10007","101","Front","OSVI","4","Excellent","None","Good","None","Manhattan","982559.9149","199968.619","-74.006097","40.715544","101","10007","33","1010","MN24","23406","EASTERN HOP HORNBEAM","OSTRYA VIRGINIANA","(40.715544, -74.006097)","1","1001650","1001510001"
"85","105 DUANE ST","105","DUANE ST","10007","101","Front","OSVI","4","Good","None","Good","None","Manhattan","982559.9149","199968.619","-74.006097","40.715544","101","10007","33","1010","MN24","23406","EASTERN HOP HORNBEAM","OSTRYA VIRGINIANA","(40.715544, -74.006097)","1","1001650","1001510001"
"86","105 DUANE ST","105","DUANE ST","10007","101","Front","OSVI","4","Poor","None","Good","None","Manhattan","982559.9149","199968.619","-74.006097","40.715544","101","10007","33","1010","MN24","23406","EASTERN HOP HORNBEAM","OSTRYA VIRGINIANA","(40.715544, -74.006097)","1","1001650","1001510001"
"87","105 DUANE ST","105","DUANE ST","10007","101","Front","OSVI","4","Good","None","Good","None","Manhattan","982559.9149","199968.619","-74.006097","40.715544","101","10007","33","1010","MN24","23406","EASTERN HOP HORNBEAM","OSTRYA VIRGINIANA","(40.715544, -74.006097)","1","1001650","1001510001"
"88","105 DUANE ST","105","DUANE ST","10007","101","Front","OSVI","4","Excellent","None","Good","None","Manhattan","982559.9149","199968.619","-74.006097","40.715544","101","10007","33","1010","MN24","23406","EASTERN HOP HORNBEAM","OSTRYA VIRGINIANA","(40.715544, -74.006097)","1","1001650","1001510001"
"90","105 DUANE ST","105","DUANE ST","10007","101","Front","OSVI","3","Excellent","None","Good","None","Manhattan","982559.9149","199968.619","-74.006097","40.715544","101","10007","33","1010","MN24","23406","EASTERN HOP HORNBEAM","OSTRYA VIRGINIANA","(40.715544, -74.006097)","1","1001650","1001510001"
"91","350B HUDSON ST",,"HUDSON ST","10014","102","Front","PYCA","3","Good","None","Good","None","Manhattan","982228.6014","204322.5795","-74.007293","40.727495","102","10014","37","2004","MN24","31914","PEAR, CALLERY","PYRUS CALLERYANA","(40.727495, -74.007293)",,,
"94","335 GREENWICH ST","335","GREENWICH ST","10013","101","Front","PYCA","3","Poor","None","Good","Stakes / Wires","Manhattan","981323.8586","200863.4074","-74.010556","40.718","101","10013","39","4007","MN24","31539","PEAR, CALLERY","PYRUS CALLERYANA","(40.718, -74.010556)","1","1001553","1001430021"
"40198","40-044 W 111 ST",,"W 111 ST","0","0","Front","ACPL","4","Good","None","Good","None","Manhattan","1","1","1","1","110","10026","186","2001","MN11","166139","MAPLE, NORWAY","ACER PLATANOIDES","(1.0, 1.0)",,,
"95","33 THOMAS ST","33","THOMAS ST","10013","101","Across","OSVI","4","Excellent","None","Good","None","Manhattan","982537.9002","200245.2749","-74.006176","40.716304","101","10007","33","1007","MN24","31772","EASTERN HOP HORNBEAM","OSTRYA VIRGINIANA","(40.716304, -74.006176)","1","1085517","1001520013"
