"cmplnt_num","cmplnt_fr_dt","cmplnt_fr_tm","cmplnt_to_dt","cmplnt_to_tm","addr_pct_cd","rpt_dt","ky_cd","ofns_desc","pd_cd","pd_desc","crm_atpt_cptd_cd","law_cat_cd","boro_nm","loc_of_occur_desc","prem_typ_desc","juris_desc","jurisdiction_code","parks_nm","hadevelopt","housing_psa","x_coord_cd","y_coord_cd","susp_age_group","susp_race","susp_sex","transit_district","latitude","longitude","lat_lon","patrol_boro","station_name","vic_age_group","vic_race","vic_sex"
"10246065","2006-01-26T00:00:00.000","13:30:00",,"(null)",,"2006-01-26T00:00:00.000","578","HARRASSMENT 2","638","HARASSMENT,SUBD 3,4,5","COMPLETED","VIOLATION","BROOKLYN","(null)","(null)","N.Y. POLICE DEPT","0","(null)","(null)","(null)",,,"(null)","WHITE HISPANIC","M",,,,,"(null)","(null)","25-44","ASIAN / PACIFIC ISLANDER","F"
"10232264","2006-01-28T00:00:00.000","21:00:00","2006-01-28T00:00:00.000","21:15:00",,"2006-01-28T00:00:00.000","110","GRAND LARCENY OF MOTOR VEHICLE","441","LARCENY,GRAND OF AUTO","COMPLETED","FELONY","BROOKLYN","(null)","(null)","N.Y. POLICE DEPT","0","(null)","(null)","(null)",,,"(null)","(null)","(null)",,,,,"(null)","(null)","65+","WHITE","M"
"10339142","2006-02-05T00:00:00.000","02:35:00",,"(null)",,"2006-02-05T00:00:00.000","105","ROBBERY","388","ROBBERY,RESIDENTIAL COMMON AREA","COMPLETED","FELONY","QUEENS","(null)","(null)","N.Y. POLICE DEPT","0","(null)","(null)","(null)",,,"(null)","(null)","(null)",,,,,"(null)","(null)","25-44","WHITE HISPANIC","M"
"10355272","2006-02-05T00:00:00.000","22:00:00",,"(null)",,"2006-02-09T00:00:00.000","112","THEFT-FRAUD","739","FRAUD,UNCLASSIFIED-FELONY","COMPLETED","FELONY","QUEENS","(null)","(null)","N.Y. POLICE DEPT","0","(null)","(null)","(null)",,,"(null)","(null)","(null)",,,,,"(null)","(null)","25-44","WHITE","M"
"10374014","2006-02-06T00:00:00.000","00:30:00","2006-02-06T00:00:00.000","06:45:00",,"2006-02-06T00:00:00.000","110","GRAND LARCENY OF MOTOR VEHICLE","441","LARCENY,GRAND OF AUTO","COMPLETED","FELONY","BROOKLYN","(null)","(null)","N.Y. POLICE DEPT","0","(null)","(null)","(null)",,,"(null)","(null)","(null)",,,,,"(null)","(null)","<18","BLACK","M"
"10376282","2006-02-06T00:00:00.000","22:15:00",,"(null)",,"2006-02-06T00:00:00.000","344","ASSAULT 3 & RELATED OFFENSES","101","ASSAULT 3","COMPLETED","MISDEMEANOR","BRONX","(null)","(null)","N.Y. POLICE DEPT","0","(null)","(null)","(null)",,,"(null)","BLACK HISPANIC","M",,,,,"(null)","(null)","18-24","WHITE HISPANIC","F"
"10344917","2006-02-08T00:00:00.000","08:30:00",,"(null)",,"2006-02-08T00:00:00.000","578","HARRASSMENT 2","638","HARASSMENT,SUBD 3,4,5","COMPLETED","VIOLATION","MANHATTAN","(null)","(null)","N.Y. POLICE DEPT","0","(null)","(null)","(null)",,,"(null)","BLACK","M",,,,,"(null)","(null)","25-44","WHITE HISPANIC","F"
"10361314","2006-02-11T00:00:00.000","16:35:00",,"(null)","79","2006-02-11T00:00:00.000","344","ASSAULT 3 & RELATED OFFENSES","101","ASSAULT 3","COMPLETED","MISDEMEANOR","BROOKLYN","(null)","STREET","N.Y. POLICE DEPT","0","(null)","(null)","(null)","999496","190300","(null)","(null)","(null)",,"40.68900139556","-73.9450265328727","(40.68900139556, -73.9450265328727)","PATROL BORO BKLYN NORTH","(null)","45-64","BLACK","F"
"10363948","2006-02-11T00:00:00.000","17:15:00",,"(null)","83","2006-02-11T00:00:00.000","578","HARRASSMENT 2","638","HARASSMENT,SUBD 3,4,5","COMPLETED","VIOLATION","BROOKLYN","INSIDE","STREET","N.Y. POLICE DEPT","0","(null)","(null)","(null)","1007052","193757","18-24","BLACK","M",,"40.6984738177025","-73.917768981221","(40.6984738177025, -73.917768981221)","PATROL BORO BKLYN NORTH","(null)","18-24","BLACK","F"
"10608850","2006-02-13T00:00:00.000","09:00:00",,"(null)",,"2006-03-07T00:00:00.000","353","UNAUTHORIZED USE OF A VEHICLE","462","UNAUTHORIZED USE VEHICLE 3","COMPLETED","MISDEMEANOR","QUEENS","(null)","(null)","N.Y. POLICE DEPT","0","(null)","(null)","(null)",,,"18-24","ASIAN / PACIFIC ISLANDER","M",,,,,"(null)","(null)","(null)","UNKNOWN","D"
"16719307","2006-02-15T00:00:00.000","00:01:00",,"(null)","52","2006-06-08T00:00:00.000","104","RAPE","155","RAPE 2","COMPLETED","FELONY","BRONX","INSIDE","(null)","N.Y. POLICE DEPT","0","(null)","(null)","(null)","1017478","256069","(null)","(null)","(null)",,"40.8694704770483","-73.8798608037303","(40.8694704770483, -73.8798608037303)","PATROL BORO BRONX","(null)","<18","BLACK","F"
"10433679","2006-02-17T00:00:00.000","22:25:00",,"(null)",,"2006-02-17T00:00:00.000","578","HARRASSMENT 2","637","HARASSMENT,SUBD 1,CIVILIAN","ATTEMPTED","VIOLATION","MANHATTAN","(null)","(null)","N.Y. POLICE DEPT","0","(null)","(null)","(null)",,,"45-64","BLACK","M",,,,,"(null)","(null)","25-44","BLACK","F"
"10531148","2006-02-19T00:00:00.000","12:30:00",,"(null)",,"2006-02-19T00:00:00.000","109","GRAND LARCENY","421","LARCENY,GRAND FROM VEHICLE/MOTORCYCLE","COMPLETED","FELONY","BRONX","(null)","(null)","N.Y. POLICE DEPT","0","(null)","(null)","(null)",,,"(null)","(null)","(null)",,,,,"(null)","(null)","25-44","BLACK","M"
"10541103","2006-02-27T00:00:00.000","23:30:00","2006-02-28T00:00:00.000","04:00:00",,"2006-02-28T00:00:00.000","110","GRAND LARCENY OF MOTOR VEHICLE","441","LARCENY,GRAND OF AUTO","COMPLETED","FELONY","QUEENS","(null)","(null)","N.Y. POLICE DEPT","0","(null)","(null)","(null)",,,"(null)","(null)","(null)",,,,,"(null)","(null)","(null)","UNKNOWN","D"
"10565113","2006-03-03T00:00:00.000","17:30:00",,"(null)",,"2006-03-03T00:00:00.000","111","POSSESSION OF STOLEN PROPERTY","493","STOLEN PROPERTY-MOTOR VEH 2ND,","COMPLETED","FELONY","BROOKLYN","(null)","(null)","N.Y. POLICE DEPT","0","(null)","(null)","(null)",,,"(null)","(null)","(null)",,,,,"(null)","(null)","(null)","UNKNOWN","D"
"10651096","2006-03-09T00:00:00.000","22:10:00",,"(null)",,"2006-03-09T00:00:00.000","344","ASSAULT 3 & RELATED OFFENSES","101","ASSAULT 3","COMPLETED","MISDEMEANOR","BRONX","(null)","(null)","N.Y. POLICE DEPT","0","(null)","(null)","(null)",,,"45-64","BLACK","M",,,,,"(null)","(null)","25-44","WHITE HISPANIC","F"
"10647924","2006-03-11T00:00:00.000","04:20:00",,"(null)",,"2006-03-11T00:00:00.000","344","ASSAULT 3 & RELATED OFFENSES","101","ASSAULT 3","COMPLETED","MISDEMEANOR","MANHATTAN","(null)","(null)","N.Y. POLICE DEPT","0","(null)","(null)","(null)",,,"(null)","(null)","(null)",,,,,"(null)","(null)","25-44","UNKNOWN","M"
"10692631","2006-03-15T00:00:00.000","15:30:00","2006-03-15T00:00:00.000","16:00:00",,"2006-03-15T00:00:00.000","106","FELONY ASSAULT","109","ASSAULT 2,1,UNCLASSIFIED","COMPLETED","FELONY","QUEENS","(null)","(null)","N.Y. POLICE DEPT","0","(null)","(null)","(null)",,,"(null)","(null)","(null)",,,,,"(null)","(null)","45-64","WHITE","M"
"10692278","2006-03-15T00:00:00.000","18:00:00","2006-03-15T00:00:00.000","18:15:00",,"2006-03-15T00:00:00.000","107","BURGLARY","221","BURGLARY,RESIDENCE,DAY","COMPLETED","FELONY","BRONX","(null)","(null)","N.Y. POLICE DEPT","0","(null)","(null)","(null)",,,"25-44","BLACK","M",,,,,"(null)","(null)","25-44","BLACK","F"
"10704216","2006-03-16T00:00:00.000","15:00:00","2006-03-16T00:00:00.000","17:28:00",,"2006-03-16T00:00:00.000","110","GRAND LARCENY OF MOTOR VEHICLE","441","LARCENY,GRAND OF AUTO","COMPLETED","FELONY","QUEENS","(null)","(null)","N.Y. POLICE DEPT","0","(null)","(null)","(null)",,,"(null)","(null)","(null)",,,,,"(null)","(null)","25-44","BLACK","F"
"10917995","2006-03-26T00:00:00.000","18:30:00",,"(null)",,"2006-03-27T00:00:00.000","107","BURGLARY","223","BURGLARY,RESIDENCE,NIGHT","ATTEMPTED","FELONY","BRONX","(null)","(null)","N.Y. POLICE DEPT","0","(null)","(null)","(null)",,,"(null)","(null)","(null)",,,,,"(null)","(null)","45-64","WHITE HISPANIC","M"
"10831796","2006-03-28T00:00:00.000","18:45:00","2006-03-28T00:00:00.000","21:30:00",,"2006-03-28T00:00:00.000","107","BURGLARY","213","BURGLARY,COMMERCIAL,NIGHT","COMPLETED","FELONY","BRONX","(null)","(null)","N.Y. POLICE DEPT","0","(null)","(null)","(null)",,,"(null)","(null)","(null)",,,,,"(null)","(null)","(null)","UNKNOWN","D"
"10923541","2006-04-04T00:00:00.000","09:30:00",,"(null)",,"2006-04-04T00:00:00.000","361","OFF. AGNST PUB ORD SENSBLTY &","639","AGGRAVATED HARASSMENT 2","COMPLETED","MISDEMEANOR","MANHATTAN","(null)","(null)","N.Y. POLICE DEPT","0","(null)","(null)","(null)",,,"45-64","BLACK","M",,,,,"(null)","(null)","25-44","BLACK","F"
"10923906","2006-04-10T00:00:00.000","07:00:00","2006-04-10T00:00:00.000","07:10:00",,"2006-04-10T00:00:00.000","105","ROBBERY","397","ROBBERY,OPEN AREA UNCLASSIFIED","COMPLETED","FELONY","BROOKLYN","(null)","(null)","N.Y. POLICE DEPT","0","(null)","(null)","(null)",,,"18-24","BLACK","M",,,,,"(null)","(null)","25-44","WHITE HISPANIC","M"
"10982599","2006-04-13T00:00:00.000","09:00:00","2006-04-13T00:00:00.000","16:00:00",,"2006-04-14T00:00:00.000","341","PETIT LARCENY","305","LARCENY,PETIT BY CREDIT CARD U","COMPLETED","MISDEMEANOR","BROOKLYN","(null)","(null)","N.Y. POLICE DEPT","0","(null)","(null)","(null)",,,"(null)","(null)","(null)",,,,,"(null)","(null)","45-64","BLACK","F"
"10982837","2006-04-14T00:00:00.000","13:30:00","2006-04-14T00:00:00.000","14:30:00",,"2006-04-14T00:00:00.000","110","GRAND LARCENY OF MOTOR VEHICLE","441","LARCENY,GRAND OF AUTO","COMPLETED","FELONY","QUEENS","(null)","(null)","N.Y. POLICE DEPT","0","(null)","(null)","(null)",,,"(null)","(null)","(null)",,,,,"(null)","(null)","45-64","WHITE HISPANIC","M"
"11023243","2006-04-16T00:00:00.000","23:30:00",,"(null)",,"2006-04-16T00:00:00.000","344","ASSAULT 3 & RELATED OFFENSES","101","ASSAULT 3","COMPLETED","MISDEMEANOR","MANHATTAN","(null)","(null)","N.Y. POLICE DEPT","0","(null)","(null)","(null)",,,"18-24","WHITE HISPANIC","M",,,,,"(null)","(null)","18-24","WHITE HISPANIC","F"
"15428320","2006-04-19T00:00:00.000","00:01:00","2006-04-29T00:00:00.000","00:01:00",,"2006-05-17T00:00:00.000","109","GRAND LARCENY","405","LARCENY,GRAND BY THEFT OF CREDIT CARD","COMPLETED","FELONY","STATEN ISLAND","(null)","(null)","N.Y. POLICE DEPT","0","(null)","(null)","(null)",,,"(null)","(null)","(null)",,,,,"(null)","(null)","25-44","WHITE","M"
"11030315","2006-04-20T00:00:00.000","12:30:00","2006-04-20T00:00:00.000","12:45:00",,"2006-04-20T00:00:00.000","106","FELONY ASSAULT","109","ASSAULT 2,1,UNCLASSIFIED","COMPLETED","FELONY","MANHATTAN","(null)","(null)","N.Y. HOUSING POLICE","2","(null)","(null)","544",,,"25-44","BLACK","F",,,,,"(null)","(null)","25-44","BLACK HISPANIC","F"
"11100308","2006-04-27T00:00:00.000","08:00:00",,"(null)",,"2006-04-27T00:00:00.000","341","PETIT LARCENY","301","LARCENY,PETIT BY ACQUIRING LOS","COMPLETED","MISDEMEANOR","BRONX","(null)","(null)","N.Y. POLICE DEPT","0","(null)","(null)","(null)",,,"(null)","(null)","(null)",,,,,"(null)","(null)","25-44","BLACK","M"
"16720504","2006-04-28T00:00:00.000","09:00:00",,"(null)",,"2006-06-08T00:00:00.000","341","PETIT LARCENY","349","LARCENY,PETIT OF LICENSE PLATE","COMPLETED","MISDEMEANOR","BRONX","(null)","(null)","N.Y. POLICE DEPT","0","(null)","(null)","(null)",,,"(null)","(null)","(null)",,,,,"(null)","(null)","25-44","WHITE","M"
"11131632","2006-04-30T00:00:00.000","16:30:00","2006-04-30T00:00:00.000","18:30:00",,"2006-04-30T00:00:00.000","124","KIDNAPPING & RELATED OFFENSES","183","IMPRISONMENT 1,UNLAWFUL","COMPLETED","FELONY","MANHATTAN","(null)","(null)","N.Y. POLICE DEPT","0","(null)","(null)","(null)",,,"(null)","(null)","(null)",,,,,"(null)","(null)","18-24","WHITE","F"
"11133974","2006-04-30T00:00:00.000","00:05:00","2006-04-30T00:00:00.000","00:15:00",,"2006-04-30T00:00:00.000","106","FELONY ASSAULT","109","ASSAULT 2,1,UNCLASSIFIED","COMPLETED","FELONY","QUEENS","(null)","(null)","N.Y. POLICE DEPT","0","(null)","(null)","(null)",,,"(null)","WHITE","F",,,,,"(null)","(null)","25-44","WHITE","M"
"12690292","2006-04-30T00:00:00.000","12:16:00","2006-05-04T00:00:00.000","09:05:00",,"2006-05-04T00:00:00.000","126","MISCELLANEOUS PENAL LAW","198","CRIMINAL CONTEMPT 1","COMPLETED","FELONY","BROOKLYN","(null)","(null)","N.Y. POLICE DEPT","0","(null)","(null)","(null)",,,"25-44","BLACK","M",,,,,"(null)","(null)","25-44","BLACK","F"
"16939015","2006-05-30T00:00:00.000","19:00:00",,"(null)","44","2006-06-29T00:00:00.000","104","RAPE","157","RAPE 1","COMPLETED","FELONY","BRONX","INSIDE","HOTEL/MOTEL","N.Y. POLICE DEPT","0","(null)","(null)","(null)","1006490","244533","18-24","UNKNOWN","M",,"40.8378421209284","-73.9196277517392","(40.8378421209284, -73.9196277517392)","PATROL BORO BRONX","(null)","<18","BLACK","F"
"27139650","2006-12-15T00:00:00.000","21:12:00",,"(null)","83","2007-02-27T00:00:00.000","114","ARSON","263","ARSON 2,3,4","COMPLETED","FELONY","BROOKLYN","REAR OF","OTHER","OTHER","97","(null)","(null)","(null)","1007052","193757","(null)","(null)","(null)",,"40.6984738177025","-73.917768981221","(40.6984738177025, -73.917768981221)","PATROL BORO BKLYN NORTH","(null)","(null)","UNKNOWN","M"
"32218157","2007-06-12T00:00:00.000","21:00:00","2007-06-12T00:00:00.000","21:00:00",,"2007-06-12T00:00:00.000","105","ROBBERY","397","ROBBERY,OPEN AREA UNCLASSIFIED","COMPLETED","FELONY","BRONX","(null)","(null)","N.Y. POLICE DEPT","0","(null)","(null)","(null)",,,"25-44","BLACK","M",,,,,"PATROL BORO BRONX","(null)","18-24","BLACK HISPANIC","M"
"34631321","2007-08-04T00:00:00.000","05:00:00",,"(null)","40","2007-09-19T00:00:00.000","104","RAPE","157","RAPE 1","COMPLETED","FELONY","BRONX","INSIDE","RESIDENCE-HOUSE","N.Y. POLICE DEPT","0","(null)","(null)","(null)","1005028","234516","25-44","BLACK","M",,"40.8103518634571","-73.924942325642","(40.8103518634571, -73.924942325642)","PATROL BORO BRONX","(null)","<18","BLACK","F"
"45954344","2008-04-24T00:00:00.000","17:45:00",,"(null)","52","2008-04-24T00:00:00.000","109","GRAND LARCENY","419","LARCENY,GRAND FROM PERSON,UNCL","COMPLETED","FELONY","BRONX","INSIDE","STREET","N.Y. POLICE DEPT","0","(null)","(null)","(null)","1017478","256069","18-24","BLACK","M",,"40.8694704770483","-73.8798608037303","(40.8694704770483, -73.8798608037303)","PATROL BORO BRONX","(null)","18-24","BLACK","F"
"61229622","2009-04-07T00:00:00.000","05:00:00",,"(null)","48","2009-04-27T00:00:00.000","104","RAPE","157","RAPE 1","COMPLETED","FELONY","BRONX","INSIDE","RESIDENCE-HOUSE","N.Y. POLICE DEPT","0","(null)","(null)","(null)","1011751","246839","45-64","BLACK","M",,"40.8441566000203","-73.9006054489734","(40.8441566000203, -73.9006054489734)","PATROL BORO BRONX","(null)","25-44","BLACK","F"
"61506411","2009-05-06T00:00:00.000","15:50:00",,"(null)","49","2009-05-06T00:00:00.000","105","ROBBERY","361","ROBBERY,BANK","ATTEMPTED","FELONY","BRONX","INSIDE","BANK","N.Y. POLICE DEPT","0","(null)","(null)","(null)","1027434","251387","(null)","BLACK","M",,"40.8565767275976","-73.8438936779283","(40.8565767275976, -73.8438936779283)","PATROL BORO BRONX","(null)","(null)","UNKNOWN","D"
"61784892","2009-05-14T00:00:00.000","08:38:00",,"(null)","52","2009-05-14T00:00:00.000","105","ROBBERY","361","ROBBERY,BANK","COMPLETED","FELONY","BRONX","INSIDE","BANK","N.Y. POLICE DEPT","0","(null)","(null)","(null)","1017478","256069","25-44","BLACK","M",,"40.8694704770483","-73.8798608037303","(40.8694704770483, -73.8798608037303)","PATROL BORO BRONX","(null)","(null)","UNKNOWN","D"
"61784787","2009-05-15T00:00:00.000","00:55:00",,"(null)","47","2009-05-15T00:00:00.000","114","ARSON","261","ARSON 1","COMPLETED","FELONY","BRONX","INSIDE","GROCERY/BODEGA","OTHER","97","(null)","(null)","(null)","1026480","262584","(null)","(null)","(null)",,"40.8873136344706","-73.8472717577564","(40.8873136344706, -73.8472717577564)","PATROL BORO BRONX","(null)","(null)","UNKNOWN","E"
"68909016","2009-12-15T00:00:00.000","20:18:00",,"(null)","115","2009-12-15T00:00:00.000","113","FORGERY","723","FORGERY,DRIVERS LICENSE","COMPLETED","FELONY","QUEENS","(null)","STREET","N.Y. POLICE DEPT","0","(null)","(null)","(null)","1018623","214936","(null)","(null)","(null)",,"40.7565675846374","-73.8759315341335","(40.7565675846374, -73.8759315341335)","PATROL BORO QUEENS NORTH","(null)","(null)","UNKNOWN","E"
"76569662","2010-02-12T00:00:00.000","06:30:00","2010-02-12T00:00:00.000","06:45:00","41","2010-12-21T00:00:00.000","233","SEX CRIMES","175","SEXUAL ABUSE 3,2","COMPLETED","MISDEMEANOR","BRONX","INSIDE","OTHER","N.Y. POLICE DEPT","0","(null)","(null)","(null)","1013037","236657","45-64","BLACK","M",,"40.8162058439227","-73.8960011932583","(40.8162058439227, -73.8960011932583)","PATROL BORO BRONX","(null)","25-44","BLACK","F"
"71409557","2010-02-12T00:00:00.000","19:30:00",,"(null)","32","2010-02-18T00:00:00.000","344","ASSAULT 3 & RELATED OFFENSES","101","ASSAULT 3","COMPLETED","MISDEMEANOR","MANHATTAN","(null)","STREET","N.Y. POLICE DEPT","0","(null)","(null)","(null)","999433","236538","(null)","BLACK","M",,"40.81591307653","-73.9451493066481","(40.81591307653, -73.9451493066481)","PATROL BORO MAN NORTH","(null)","65+","WHITE","F"
"71601562","2010-02-13T00:00:00.000","02:40:00",,"(null)","14","2010-03-02T00:00:00.000","578","HARRASSMENT 2","637","HARASSMENT,SUBD 1,CIVILIAN","COMPLETED","VIOLATION","MANHATTAN","FRONT OF","STREET","N.Y. POLICE DEPT","0","(null)","(null)","(null)","985764","213806","25-44","BLACK","M",,"40.7535327012632","-73.9945368920152","(40.7535327012632, -73.9945368920152)","PATROL BORO MAN SOUTH","(null)","18-24","BLACK","F"
"71315200","2010-02-13T00:00:00.000","21:15:00",,"(null)","47","2010-02-14T00:00:00.000","578","HARRASSMENT 2","638","HARASSMENT,SUBD 3,4,5","COMPLETED","VIOLATION","BRONX","INSIDE","RESIDENCE - APT. HOUSE","N.Y. POLICE DEPT","0","(null)","(null)","(null)","1026480","262584","(null)","BLACK","M",,"40.8873136344706","-73.8472717577564","(40.8873136344706, -73.8472717577564)","PATROL BORO BRONX","(null)","45-64","BLACK","M"
"74774817","2010-09-19T00:00:00.000","02:55:00","2010-09-19T00:00:00.000","02:55:00","106","2010-09-24T00:00:00.000","114","ARSON","263","ARSON 2,3,4","COMPLETED","FELONY","QUEENS","REAR OF","OTHER","N.Y. POLICE DEPT","0","(null)","(null)","(null)","1028607","187930","(null)","(null)","(null)",,"40.682398279333","-73.8400721577516","(40.682398279333, -73.8400721577516)","PATROL BORO QUEENS SOUTH","(null)","(null)","UNKNOWN","E"
"75549435","2010-11-12T00:00:00.000","16:00:00",,"(null)","47","2010-11-12T00:00:00.000","105","ROBBERY","397","ROBBERY,OPEN AREA UNCLASSIFIED","COMPLETED","FELONY","BRONX","FRONT OF","BUS STOP","N.Y. POLICE DEPT","0","(null)","(null)","(null)","1026480","262584","(null)","UNKNOWN","M",,"40.8873136344706","-73.8472717577564","(40.8873136344706, -73.8472717577564)","PATROL BORO BRONX","(null)","<18","BLACK","M"
"76841740","2011-01-01T00:00:00.000","09:00:00",,"(null)","67","2011-01-14T00:00:00.000","104","RAPE","157","RAPE 1","COMPLETED","FELONY","BROOKLYN","INSIDE","RESIDENCE-HOUSE","N.Y. POLICE DEPT","0","(null)","(null)","(null)","997843","175671","25-44","BLACK","M",,"40.6488507469884","-73.951016510623","(40.6488507469884, -73.951016510623)","PATROL BORO BKLYN SOUTH","(null)","<18","BLACK","F"
"77796839","2011-03-14T00:00:00.000","17:00:00",,"(null)","52","2011-03-15T00:00:00.000","344","ASSAULT 3 & RELATED OFFENSES","101","ASSAULT 3","COMPLETED","MISDEMEANOR","BRONX","FRONT OF","STREET","N.Y. POLICE DEPT","0","(null)","(null)","(null)","1017478","256069","25-44","BLACK","M",,"40.8694704770483","-73.8798608037303","(40.8694704770483, -73.8798608037303)","PATROL BORO BRONX","(null)","25-44","BLACK","M"
"78700361","2011-05-09T00:00:00.000","22:00:00",,"(null)","47","2011-05-10T00:00:00.000","104","RAPE","157","RAPE 1","COMPLETED","FELONY","BRONX","FRONT OF","RESIDENCE-HOUSE","N.Y. POLICE DEPT","0","(null)","(null)","(null)","1026480","262584","25-44","UNKNOWN","M",,"40.8873136344706","-73.8472717577564","(40.8873136344706, -73.8472717577564)","PATROL BORO BRONX","(null)","25-44","BLACK","F"
"79646988","2011-07-04T00:00:00.000","17:08:00","2011-07-04T00:00:00.000","18:03:00","122","2011-07-04T00:00:00.000","114","ARSON","263","ARSON 2,3,4","COMPLETED","FELONY","STATEN ISLAND","INSIDE","RESIDENCE-HOUSE","OTHER","97","(null)","(null)","(null)","954827","148519","(null)","(null)","(null)",,"40.5742856881925","-74.1059144051212","(40.5742856881925, -74.1059144051212)","PATROL BORO STATEN ISLAND","(null)","25-44","WHITE","F"
"80459404","2011-08-21T00:00:00.000","09:30:00",,"(null)","47","2011-08-23T00:00:00.000","104","RAPE","159","RAPE 1,ATTEMPT","ATTEMPTED","FELONY","BRONX","(null)","STREET","N.Y. POLICE DEPT","0","(null)","(null)","(null)","1026480","262584","25-44","BLACK","M",,"40.8873136344706","-73.8472717577564","(40.8873136344706, -73.8472717577564)","PATROL BORO BRONX","(null)","<18","BLACK","F"
