"uid","facname","addressnum","streetname","address","city","boro","borocode","zipcode","latitude","longitude","xcoord","ycoord","bin","bbl","commboard","council","censtract","nta","facgroup","facsubgrp","factype","capacity","captype","optype","opname","opabbrev","overlevel","overagency","overabbrev","datasource","facdomain","schooldist","policeprct","servarea"
"00348721930ca2b4aba9821df48ba620","JEWISH COMMUNITY CENTER OF STATEN ISLAND INC","221","HEBERTON AVENUE","221 HEBERTON AVENUE","STATEN ISLAND","STATEN ISLAND","5","10302","40.635088262509399","-74.132198604258306","947558.184995686984621","170683.842970294994302","5106978","5010180001.000000000000000","501","49","20700","SI28","ADULT SERVICES","ADULT AND IMMIGRANT LITERACY","ADULT LITERACY - ADULT BASIC EDUCATION/HIGH SCHOOL EQUIVALENCY",,,,"JEWISH COMMUNITY CENTER OF STATEN ISLAND INC",,"City","NYC Department of Youth and Community Development","NYCDYCD","moeo_socialservicesitelocations","EDUCATION, CHILD WELFARE, AND YOUTH","31","121","Local"
"0036ba4b9c1ae9b0679f5a541aded959","LOWER EAST SIDE SERVICE CENTER, INC OP","80","MAIDEN LANE","80 MAIDEN LANE","NEW YORK","MANHATTAN","1","10038","40.707087391311298","-74.007799869175102","982087.475741468020715","196887.583827927010134","1001015","1000420031.000000000000000","101","1","700","MN25","HEALTH CARE","SUBSTANCE USE DISORDER TREATMENT PROGRAMS","OUTPATIENT CLINIC",,,,"Lower East Side Service Center, Inc.",,"State","NYS Office of Addiction Services and Supports","NYSOASAS","nysoasas_programs","HEALTH AND HUMAN SERVICES","2","1","Regional"
"00463767c7372a11340e896c20ecc52d","CROWN HEIGHTS JEWISH COMMUNITY COUNCIL INC","392","KINGSTON AVENUE","392 KINGSTON AVENUE","BROOKLYN","BROOKLYN","3","11225","40.665259436109899","-73.942834696614995","1000109.101382320048288","181653.520557882002322","3034284","3012990045.000000000000000","309","35","33300","BK63","YOUTH SERVICES","YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES","CITY COUNCIL AWARDS",,,,"CROWN HEIGHTS JEWISH COMMUNITY COUNCIL INC",,"City","NYC Department of Youth and Community Development","NYCDYCD","moeo_socialservicesitelocations","EDUCATION, CHILD WELFARE, AND YOUTH","17","71","Local"
"004b262d44930dde688f4f3de847411d","MAN UP INC",,,,,,"0",,"0.000000000000000","0.000000000000000","0.000000000000000","0.000000000000000","0","0.000000000000000",,,,,"HUMAN SERVICES","LEGAL AND INTERVENTION SERVICES","ANTI-GUN VIOLENCE INITIATIVE",,,,"MAN UP INC",,"City","NYC Mayor's Office of Criminal Justice","NYCMOCJ","moeo_socialservicesitelocations","HEALTH AND HUMAN SERVICES",,,"Local"
"0050f17924c0c9194c057bba6ea78592","ANNA M. KROSS CENTER (AMKC)","18-18","HAZEN STREET","18-18 HAZEN STREET","BRONX","BRONX","2","11370","40.791126162170798","-73.882640532859099","1016747.040137100033462","227527.287023445998784","2109476","2026050040.000000000000000","401","22","100","BX98","JUSTICE AND CORRECTIONS","DETENTION AND CORRECTIONAL","CORRECTIONAL FACILITY",,,"Public","NYC Department of Correction","NYCDOC","City","NYC Department of Correction","NYCDOC","nycdoc_corrections","PUBLIC SAFETY, EMERGENCY SERVICES, AND ADMINISTRATION OF JUSTICE","7","114","Regional"
"005f2ea16f4136a7282f6d7d86524b9d","BLACK SPECTRUM THEATER COMPANY INC","118-34","RIVERTON STREET","118-34 RIVERTON STREET","SAINT ALBANS","QUEENS","4","11412","40.689301896683801","-73.763577107725396","1049815.975320159923285","190496.184978987002978","4268946","4124490004.000000000000000","412","27","36600","QN08","YOUTH SERVICES","AFTER-SCHOOL PROGRAMS","SCHOOL'S OUT NEW YORK CITY (SONYC)",,,,"BLACK SPECTRUM THEATER COMPANY INC",,"City","NYC Department of Youth and Community Development","NYCDYCD","moeo_socialservicesitelocations","EDUCATION, CHILD WELFARE, AND YOUTH","29","113","Local"
"0068bc2698f10ca1027ea17d56ac7f08","ZNAYKA ON Y INC.","228","AVENUE U","228 AVENUE U","BROOKLYN","BROOKLYN","3","11223","40.596462614524597","-73.975661473677206","991009.087408113991842","156584.759352390014101","3192586","3071220010.000000000000000","315","47","39800","BK26","DAY CARE AND PRE-KINDERGARTEN","DAY CARE","DAY CARE",,,"Non-public","Znayka On Y Inc.","Non-public","City","NYC Department of Health and Mental Hygiene","NYCDOHMH","dohmh_daycare","EDUCATION, CHILD WELFARE, AND YOUTH","21","61","Local"
"00732d6f8d2b7dfa1385d44027df4f7d","BETHEL EMANUEL TEMPLE, INC.","71-15","BEACH CHANNEL DRIVE","71-15 BEACH CHANNEL DRIVE","ARVERNE","QUEENS","4","11692","40.591183555915201","-73.799947387011997","1039811.245795869966969","154723.970019397995202","4303321","4160830037.000000000000000","414","31","95400","QN12","DAY CARE AND PRE-KINDERGARTEN","DAY CARE","DAY CARE",,,"Non-public","Bethel Emanuel Temple, Inc.","Non-public","City","NYC Department of Health and Mental Hygiene","NYCDOHMH","dohmh_daycare","EDUCATION, CHILD WELFARE, AND YOUTH","27","100","Local"
"007785432f4eea2751f56af464aa1c86","MONTCLARE CHILDREN'S SCHOOL LLC","747","AMSTERDAM AVENUE","747 AMSTERDAM AVENUE","NEW YORK","MANHATTAN","1","10025","40.794178079172298","-73.969881947841699","992589.360940644051880","228618.870294899999863","1055891","1018510001.000000000000000","107","7","18100","MN12","DAY CARE AND PRE-KINDERGARTEN","DAY CARE","DAY CARE",,,"Non-public","Montclare Children'S School Llc","Non-public","City","NYC Department of Health and Mental Hygiene","NYCDOHMH","dohmh_daycare","EDUCATION, CHILD WELFARE, AND YOUTH","3","24","Local"
"00797dc68c21eed4429e5ab66c331d16","VISION URBANA",,,"PANTRY",,,"0",,"0.000000000000000","0.000000000000000","0.000000000000000","0.000000000000000","0","0.000000000000000",,,,,"HUMAN SERVICES","SOUP KITCHENS AND FOOD PANTRIES",,,,"Non-public","Vision Urbana","Non-public",,"Non-public","Non-public","foodbankny_foodbanks","HEALTH AND HUMAN SERVICES",,,"Local"
"007ac7d2bb1acc31f16d63daf9e3aee7","NIA COMMUNITY SERVICES NETWORK INC","1400","BENSON AVENUE","1400 BENSON AVENUE","BROOKLYN","BROOKLYN","3","11228","40.610330886199897","-74.013585998038593","980477.796401311992668","161636.681240178993903","3167212","3063910024.000000000000000","311","43","17000","BK27","YOUTH SERVICES","AFTER-SCHOOL PROGRAMS","SCHOOL'S OUT NEW YORK CITY (SONYC)",,,,"NIA COMMUNITY SERVICES NETWORK INC",,"City","NYC Department of Youth and Community Development","NYCDYCD","moeo_socialservicesitelocations","EDUCATION, CHILD WELFARE, AND YOUTH","20","62","Local"
"007f9cd95f6ad625d5ba9cb67e5a4fe2","NEW YORK & PRESBYTERIAN HOSPITAL OMM","525","EAST 68 STREET","525 EAST 68 STREET","NEW YORK","MANHATTAN","1","10065","40.764453858270400","-73.954142402978405","996953.138646377017722","217791.223420881986385","1084781","1014800001.000000000000000","108","5","11600","MN31","HEALTH CARE","SUBSTANCE USE DISORDER TREATMENT PROGRAMS","MEDICAL MAINTENANCE",,,,"The New York and Presbyterian Hospital",,"State","NYS Office of Addiction Services and Supports","NYSOASAS","nysoasas_programs","HEALTH AND HUMAN SERVICES","2","19","Regional"
"0085c64fa1e0617bb3b4d9d89afd75d3","URBAN YOUTH ALLIANCE INTERNATIONAL INC",,,,,,"0",,"0.000000000000000","0.000000000000000","0.000000000000000","0.000000000000000","0","0.000000000000000",,,,,"HUMAN SERVICES","COMMUNITY CENTERS AND COMMUNITY PROGRAMS","COMMUNITY BASED PROGRAMS",,,,"URBAN YOUTH ALLIANCE INTERNATIONAL INC",,"City","NYC Mayor's Office of Criminal Justice","NYCMOCJ","moeo_socialservicesitelocations","HEALTH AND HUMAN SERVICES",,,"Local"
"00876c08324791c5fa6f6e171c922959","QUEENS JEWISH COMMUNITY COUNCIL INC","119-45","UNION TURNPIKE","119-45 UNION TURNPIKE","FOREST HILLS","QUEENS","4","11375","40.714212635083904","-73.832167131922304","1030776.887119630002417","199528.001210351008922","4312087","4033477501.000000000000000","406","29","76902","QN17","YOUTH SERVICES","YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES","CITY COUNCIL AWARDS",,,,"Queens Jewish Community Council inc",,"City","NYC Department of Youth and Community Development","NYCDYCD","moeo_socialservicesitelocations","EDUCATION, CHILD WELFARE, AND YOUTH","28","112","Local"
"0091a32f35c7297a8d12e71afb698275","URBAN YOUTH ALLIANCE INTERNATIONAL INC","432","EAST 149 STREET","432 EAST 149 STREET","BRONX","BRONX","2","10455","40.815152889305303","-73.916293987100403","1007419.978734049946070","236270.369501364999451","2115795","2022930044.000000000000000","201","8","4300","BX39","HUMAN SERVICES","LEGAL AND INTERVENTION SERVICES","ALTERNATIVE TO INCARCERATION",,,,"URBAN YOUTH ALLIANCE INTERNATIONAL INC",,"City","NYC Mayor's Office of Criminal Justice","NYCMOCJ","moeo_socialservicesitelocations","HEALTH AND HUMAN SERVICES","7","40","Local"
"0093c0e0e6290fb9790691d5b1a7abf3","POLICE ATHLETIC LEAGUE INC","549","AUDUBON AVENUE","549 AUDUBON AVENUE","NEW YORK","MANHATTAN","1","10040","40.856604027066297","-73.925993791967599","1004722.296511559979990","251370.135275645006914","1076751","1021600018.000000000000000","112","10","27700","MN35","YOUTH SERVICES","AFTER-SCHOOL PROGRAMS","YOUTH RECREATIONAL SERVICES/YOUTH ATHLETIC LEAGUES",,,,"POLICE ATHLETIC LEAGUE INC",,"City","NYC Mayor's Office of Criminal Justice","NYCMOCJ","moeo_socialservicesitelocations","EDUCATION, CHILD WELFARE, AND YOUTH","6","34","Local"
"00a4e902941781da01dc931720ed2e45","BAMESO USA","17","FT GEORGE HILL","17 FT GEORGE HILL","NEW YORK","MANHATTAN","1","10040","40.858216961281300","-73.927805493467602","1004220.642316350014880","251957.370828813000116","1064067","1021700131.000000000000000","112","10","28300","MN35","YOUTH SERVICES","YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES","CITY COUNCIL AWARDS",,,,"Bameso USA",,"City","NYC Department of Youth and Community Development","NYCDYCD","moeo_socialservicesitelocations","EDUCATION, CHILD WELFARE, AND YOUTH","6","34","Local"
"00ad75e849e9333369806586f19ed5e7","JEWISH COMMUNITY CENTER OF STATEN ISLAND INC","1060","WILLOWBROOK ROAD","1060 WILLOWBROOK ROAD","STATEN ISLAND","STATEN ISLAND","5","10314","40.602743150370998","-74.137438758525306","946085.288497640052810","158901.920317004987737","5034476","5019870104.000000000000000","502","50","27302","SI05","ADULT SERVICES","ADULT AND IMMIGRANT LITERACY","ADULT LITERACY - ENGLISH FOR SPEAKERS OF OTHER LANGUAGES",,,,"JEWISH COMMUNITY CENTER OF STATEN ISLAND INC",,"City","NYC Department of Youth and Community Development","NYCDYCD","moeo_socialservicesitelocations","EDUCATION, CHILD WELFARE, AND YOUTH","31","121","Local"
"00c7eb247298bfa5fe52455e717c8140","THE ROMAN CATHOLIC CHURCH OF ST. MEL","525","LENOX ROAD","525 LENOX ROAD","BROOKLYN","BROOKLYN","3","11203","40.655337020106501","-73.940922765467207","1000641.957407130044885","178038.859623808995821","3107846","3048440001.000000000000000","317","41","81400","BK91","YOUTH SERVICES","YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES","CITY COUNCIL AWARDS",,,,"THE ROMAN CATHOLIC CHURCH OF ST. MEL",,"City","NYC Department of Youth and Community Development","NYCDYCD","moeo_socialservicesitelocations","EDUCATION, CHILD WELFARE, AND YOUTH","18","67","Local"
"00d0ca2a996b127f8f31c8a80c89a9f4","PALLADIA, INC.","1600","MACOMBS ROAD","1600 MACOMBS ROAD","BRONX","BRONX","2","10452","40.845809550833799","-73.916462633480805","1007362.645436430000700","247439.669354485988151","0","2028650134.000000000000000","205","14","21700","BX36","HUMAN SERVICES","LEGAL AND INTERVENTION SERVICES","ALTERNATIVE TO INCARCERATION",,,,"PALLADIA, INC.",,"City","NYC Mayor's Office of Criminal Justice","NYCMOCJ","moeo_socialservicesitelocations","HEALTH AND HUMAN SERVICES","9","46","Local"
"00def6348a57bf6e70c4702468636ac3","COALITION FOR HISPANIC FAMILY SERVICES","73-10","34 AVENUE","73-10 34 AVENUE","JACKSON HEIGHTS","QUEENS","4","11372","40.752618306672701","-73.892882676927002","1013928.130209209979512","213493.966072924988111","4028931","4012600001.000000000000000","403","25","28900","QN28","YOUTH SERVICES","AFTER-SCHOOL PROGRAMS","SCHOOL'S OUT NEW YORK CITY (SONYC)",,,,"COALITION FOR HISPANIC FAMILY SERVICES",,"City","NYC Department of Youth and Community Development","NYCDYCD","moeo_socialservicesitelocations","EDUCATION, CHILD WELFARE, AND YOUTH","30","115","Local"
"00dff83096b039fb95ef2e047d3e15d6","BEDFORD STUYVESANT NEW BEGINNINGS CHARTER SCHOOL","82","LEWIS AVENUE","82 LEWIS AVENUE","BROOKLYN","BROOKLYN","3","11206","40.694675702999497","-73.937719804484004","1001520.481882899999619","192371.679378278000513","3043017","3015910045.000000000000000","303","36","28300","BK35","YOUTH SERVICES","AFTER-SCHOOL PROGRAMS","SCHOOL'S OUT NEW YORK CITY (SONYC)",,,,"BEDFORD STUYVESANT NEW BEGINNINGS CHARTER SCHOOL",,"City","NYC Department of Youth and Community Development","NYCDYCD","moeo_socialservicesitelocations","EDUCATION, CHILD WELFARE, AND YOUTH","16","81","Local"
"00e224cf57e4cdd561eae95a7d1a5608","METRO WORLD CHILD MOBILE PROGRAM","40","RICHMAN PLAZA","40 RICHMAN PLAZA","BRONX","BRONX","2","10453","40.851871582175498","-73.922647521851204","1005649.495691959979013","249646.724919820990181","2113629","2028820229.000000000000000","205","16","5300","BX36","HUMAN SERVICES","SOUP KITCHENS AND FOOD PANTRIES","FOOD PANTRY",,,"Non-public","Metro World Child Mobile Program","Non-public",,"Non-public","Non-public","foodbankny_foodbanks","HEALTH AND HUMAN SERVICES","9","46","Local"
"00eb6f3c58d83874649f873b3c438af9","FRIENDS OF CROWN HEIGHTS EDUCATION CENTER","195","GORDON STREET","195 GORDON STREET","STATEN ISLAND","STATEN ISLAND","5","10304","40.622433695021599","-74.081278965294800","961686.683196327998303","166056.227209831995424","5108860","5005450100.000000000000000","501","49","2900","SI37","DAY CARE AND PRE-KINDERGARTEN","DAY CARE","DAY CARE",,,"Non-public","The Friends Of Crown Heights Educational Centers, Inc.","Non-public","City","NYC Department of Health and Mental Hygiene","NYCDOHMH","dohmh_daycare","EDUCATION, CHILD WELFARE, AND YOUTH","31","120","Local"
"00ee38f8b7ba7b12a57a3a2f92fbaba8","SELFHELP COMMUNITY SERVICES, INC.","59-55","47 AVENUE","59-55 47 AVENUE","WOODSIDE","QUEENS","4","11377","40.740650413522403","-73.904861179746007","1010614.080397129990160","209129.850291020993609","4432198","4023140001.000000000000000","402","26","24500","QN63","HUMAN SERVICES","SENIOR SERVICES","NATURALLY OCCURRING RETIREMENT COMMUNITY (NORC)",,,,"SELFHELP COMMUNITY SERVICES, INC.",,"City","NYC Department for the Aging","NYCDFTA","moeo_socialservicesitelocations","HEALTH AND HUMAN SERVICES","30","108","Local"
"00f9e3f09bdc15848fb7bd10e8ae5785","THE CHILDRENS AID SOCIETY","304","PROSPECT AVENUE","304 PROSPECT AVENUE","STATEN ISLAND","STATEN ISLAND","5","10301","40.638147729054197","-74.097916129318605","957074.551168825011700","171785.990594198985491","5113051","5001000030.000000000000000","501","49","6700","SI35","YOUTH SERVICES","AFTER-SCHOOL PROGRAMS","COMPASS ELEMENTARY",,,,"THE CHILDRENS AID SOCIETY",,"City","NYC Department of Youth and Community Development","NYCDYCD","moeo_socialservicesitelocations","EDUCATION, CHILD WELFARE, AND YOUTH","31","120","Local"
"0115ed31e25c0308450eef72a9de0981","YMCA OF GREATER NEW YORK","138-46","NORTHERN BOULEVARD","138-46 NORTHERN BOULEVARD","FLUSHING","QUEENS","4","11354","40.763532697718098","-73.826550205984006","1032298.438196419971064","217499.859159527986776","4113292","4050100038.000000000000000","407","20","86500","QN22","YOUTH SERVICES","YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES","CITY COUNCIL AWARDS",,,,"YMCA OF GREATER NEW YORK",,"City","NYC Department of Youth and Community Development","NYCDYCD","moeo_socialservicesitelocations","EDUCATION, CHILD WELFARE, AND YOUTH","25","109","Local"
"011680b1689f9d2d35de5d777d86a21c","TALMUD TORAH DNITRA","53","WALTON STREET","53 WALTON STREET","BROOKLYN","BROOKLYN","3","11206","40.701539748740998","-73.950806245760802","997890.169145629974082","194870.145347267010948","3425583","3022450058.000000000000000","301","33","50900","BK72","DAY CARE AND PRE-KINDERGARTEN","DAY CARE","SCHOOL BASED CHILD CARE - PRESCHOOL",,,"Non-public","Talmud Torah Dnitra","Non-public","City","NYC Department of Health and Mental Hygiene","NYCDOHMH","dohmh_daycare","EDUCATION, CHILD WELFARE, AND YOUTH","14","90","Local"
"011d6c8933e69721018c0db6edc1888b","ODYSSEY HOUSE INC","120","WALL STREET","120 WALL STREET","NEW YORK","MANHATTAN","1","10005","40.704761683278903","-74.005956945564094","982598.371178294997662","196040.218458760995418","1000871","1000370001.000000000000000","101","1","700","MN25","HUMAN SERVICES","NON-RESIDENTIAL HOUSING AND HOMELESS SERVICES","SUPPORTED HOUSING-OMH",,,,"ODYSSEY HOUSE INC",,"City","NYC Department of Health and Mental Hygiene","NYCDOHMH","moeo_socialservicesitelocations","HEALTH AND HUMAN SERVICES","2","1","Local"
"0122ea072df19821ac899f3d25f5d627","COMMUNITY CONNECTIONS FOR YOUTH, INC.","900","SHERIDAN AVENUE","900 SHERIDAN AVENUE","BRONX","BRONX","2","10451","40.826903409158298","-73.920287791964000","1006310.590720979962498","240550.476386322989129","2002704","2024540001.000000000000000","204","16","18302","BX14","HUMAN SERVICES","LEGAL AND INTERVENTION SERVICES","PARENT SUPPORT PROGRAM",,,,"Community Connections for Youth, Inc.",,"City","NYC Department of Probation","NYCDOP","moeo_socialservicesitelocations","HEALTH AND HUMAN SERVICES","9","44","Local"
"013900dc4d9c81be8cede17c58927e4a","COALITION FOR HISPANIC FAMILY SERVICES","32-02","JUNCTION BOULEVARD","32-02 JUNCTION BOULEVARD","EAST ELMHURST","QUEENS","4","11369","40.757629993730099","-73.874597435757707","1018991.656905460054986","215326.608434468013002","4034891","4014230001.000000000000000","403","21","35300","QN27","YOUTH SERVICES","AFTER-SCHOOL PROGRAMS","SCHOOL'S OUT NEW YORK CITY (SONYC)",,,,"COALITION FOR HISPANIC FAMILY SERVICES",,"City","NYC Department of Youth and Community Development","NYCDYCD","moeo_socialservicesitelocations","EDUCATION, CHILD WELFARE, AND YOUTH","30","115","Local"
"0149ad8e39fa8c23ff39274e5cc90a72","THE CHILD CENTER OF NY INC","229-02","137 AVENUE","229-02 137 AVENUE","SPRINGFIELD GARDENS","QUEENS","4","11413","40.672254308560099","-73.743329465105802","1055449.335841950029135","184301.087441765004769","4283015","4131700012.000000000000000","413","31","64600","QN66","YOUTH SERVICES","AFTER-SCHOOL PROGRAMS","SCHOOL'S OUT NEW YORK CITY (SONYC)",,,,"THE CHILD CENTER OF NY INC",,"City","NYC Department of Youth and Community Development","NYCDYCD","moeo_socialservicesitelocations","EDUCATION, CHILD WELFARE, AND YOUTH","29","105","Local"
"014ab81fee412bc59a4921160d7ddedd","THE STELLA ORTON HOME CARE AGENCY INC","3155","AMBOY ROAD","3155 AMBOY ROAD","STATEN ISLAND","STATEN ISLAND","5","10306","40.564472199769703","-74.133336292175599","947203.258406587992795","144957.109592218010221","5107641","5044720001.000000000000000","503","51","14606","SI54","HEALTH CARE","OTHER HEALTH CARE","HOME CARE/ATTENDANT/MAKER AND HOUSEKEEPING SERVICES",,,,"THE STELLA ORTON HOME CARE AGENCY INC",,"City","NYC Department of Social Services","NYCDSS","moeo_socialservicesitelocations","HEALTH AND HUMAN SERVICES","31","122","Regional"
"016001683987fc9393269edfee97c0c8","CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC","191","JORALEMON STREET","191 JORALEMON STREET","BROOKLYN","BROOKLYN","3","11201","40.692831526806103","-73.991768538243406","986532.671945812995546","191693.759416707995115","3002244","3002550008.000000000000000","302","33","900","BK09","YOUTH SERVICES","YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES","SYEP AND WORK, LEARN & GROW (WLG)",,,,"CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC",,"City","NYC Department of Youth and Community Development","NYCDYCD","moeo_socialservicesitelocations","EDUCATION, CHILD WELFARE, AND YOUTH","13","84","Local"
"0160e7cd21fb5e9cdf032d69f7185a61","NATIONAL COMMITTEE FOR FURTHERANCE OF JEWISH ED","824","EASTERN PARKWAY","824 EASTERN PARKWAY","BROOKLYN","BROOKLYN","3","11213","40.668888283422000","-73.941027054573695","1000609.696871840045787","182975.944326313998317","3033069","3012720020.000000000000000","309","35","33700","BK61","YOUTH SERVICES","YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES","CITY COUNCIL AWARDS",,,,"NATIONAL COMMITTEE FOR FURTHERANCE OF JEWISH ED",,"City","NYC Department of Youth and Community Development","NYCDYCD","moeo_socialservicesitelocations","EDUCATION, CHILD WELFARE, AND YOUTH","17","71","Local"
