"the_geom","oftcode","boroughcod","onstreetna","fromstreet","tostreetna"
"POINT (-74.00463516281563 40.7213536323093)","114010144890000000","M","CANAL STREET","WEST BROADWAY",
"POINT (-73.99585487348715 40.695220621308884)","349630361830000000","B","HICKS STREET","MONTAGUE STREET",
"POINT (-73.7849960328607 40.66639734942148)","423440462890000000","Q","153 LANE","SOUTH CONDUIT AVENUE",
"POINT (-73.81005451667012 40.76437731166218)","423640457790000000","Q","155 STREET","NORTHERN BOULEVARD",
"POINT (-73.78062532368294 40.66752330981178)","457550460810000000","Q","NORTH CONDUIT AVENUE","ROCKAWAY BOULEVARD",
"POINT (-73.97768600574518 40.76364440202842)","110510134890000000","M","6 AVENUE","WEST   56 STREET",
"POINT (-74.00775834282095 40.710805284914976)","111750132510000000","M","ANN STREET","THEATRE ALLEY",
"POINT (-74.10888290765702 40.63011480143414)","529150544672000000","S","FOREST AVENUE","REGAN AVENUE",
"POINT (-73.99798063923686 40.72266290550183)","116150130790000000","M","CROSBY STREET","SPRING STREET",
"POINT (-73.97396798923295 40.762966586788586)","110410118130000000","M","5 AVENUE","EAST   57 STREET",
"POINT (-73.90964449102727 40.77209124106027)","408940406940000000","Q","37 STREET","23 AVENUE",
"POINT (-74.00860085400832 40.711392240119)","111750132700000000","M","ANN STREET","VESEY STREET",
"POINT (-73.97213617329949 40.75394323419068)","117930110210000000","M","EAST 47 STREET","3 AVENUE",
"POINT (-73.94852098923315 40.59969760871167)","314630335830000000","B","AVENUE U","EAST   23 STREET",
"POINT (-73.8333135682021 40.69910835661685)","420940451090000000","Q","116 STREET","JAMAICA AVENUE",
"POINT (-73.85001056845068 40.83811472707051)","235820256920000000","X","GLEBE AVENUE","PARKER STREET",
"POINT (-73.98933656558283 40.714133375777806)","114010119690000000","M","CANAL STREET","EAST BROADWAY",
"POINT (-73.90560178171617 40.85314973649643)","229120252120000000","X","EAST BURNSIDE AVENUE","MORRIS AVENUE",
"POINT (-73.87398293747721 40.74868566831855)","428690461090000000","Q","ASKE STREET","ROOSEVELT AVENUE",
"POINT (-73.92238800325103 40.84042621564641)","274360264520000000","X","WEST 170 STREET","SHAKESPEARE AVENUE",
"POINT (-73.98684539262766 40.74530072689609)","110410134350000000","M","5 AVENUE","WEST   29 STREET",
"POINT (-73.9279080734726 40.75205079556395)","457790408740000000","Q","NORTHERN BOULEVARD","36 STREET",
"POINT (-74.00645561953833 40.706982011547595)","120620128490000000","M","FLETCHER STREET","PEARL STREET",
"POINT (-74.15308050703824 40.60891399377023)","521410553000000000","S","CANTERBURY AVENUE","VICTORY BOULEVARD",
"POINT (-74.1234975646983 40.57580793352703)","518040544900000000","S","BEACON AVENUE","RICHMOND ROAD",
"POINT (-73.98793687506083 40.749854966929426)","134450113610000000","M","WEST 34 STREET","BROADWAY",
"POINT (-73.95531471174098 40.63560919336857)","335830340230000000","B","EAST   23 STREET","FARRAGUT ROAD",
"POINT (-73.89972588615318 40.886514886766626)","271620275122000000","X","VAN CORTLANDT PARK SOUTH","WEST  240 STREET",
"POINT (-73.80913489940146 40.76406963770958)","457790461090000000","Q","NORTHERN BOULEVARD","ROOSEVELT AVENUE",
"POINT (-73.92781120691667 40.69277420885702)","323230354120000000","B","BROADWAY","KOSSUTH PLACE",
"POINT (-74.00582871002707 40.736533850917496)","123190112510000000","M","HUDSON STREET","BANK STREET",
"POINT (-74.00323561031315 40.74897425491377)","111010134270000000","M","10 AVENUE","WEST   25 STREET",
"POINT (-73.89588387496477 40.862258343550764)","229220270720000000","X","EAST FORDHAM ROAD","VALENTINE AVENUE",
"POINT (-73.9556410395058 40.5878203747337)","314880376330000000","B","AVENUE Z","SHEEPSHEAD BAY ROAD",
"POINT (-74.00188406253785 40.7193975699503)","114010113610000000","M","CANAL STREET","BROADWAY",
"POINT (-73.92687894714975 40.61894981883076)","314280386630000000","B","AVENUE N","UTICA AVENUE",
"POINT (-73.9514055742525 40.59938102524105)","314630367530000000","B","AVENUE U","OCEAN AVENUE",
"POINT (-74.14876804720083 40.62510475589402)","529150539690000000","S","FOREST AVENUE","MORNINGSTAR ROAD",
"POINT (-73.99429729097831 40.73216585963011)","117170132645000000","M","EAST    9 STREET","UNIVERSITY PLACE",
"POINT (-74.0102151742555 40.73384415793602)","114810145190000000","M","CHARLES STREET","WEST STREET",
"POINT (-73.92484861087631 40.84149544307499)","255220274360000000","X","OGDEN AVENUE","WEST  170 STREET",
"POINT (-73.99903509006636 40.74963841953509)","110910134330000000","M","9 AVENUE","WEST   28 STREET",
"POINT (-73.98527941459835 40.69215769665558)","321130393250000000","B","BRIDGE STREET","WILLOUGHBY STREET",
"POINT (-74.16345762889328 40.5437787233928)","545075548874000000","S","RIDGECREST AVENUE","OLD AMBOY ROAD",
"POINT (-74.01448204033358 40.71035570192709)","114410197510000000","M","CEDAR STREET","PEDESTRIAN OVERPASS",
"POINT (-73.81083216915272 40.702145102104325)","422890451090000000","Q","144 PLACE","JAMAICA AVENUE",
"POINT (-73.9856743790466 40.738219007985684)","117410124890000000","M","EAST   21 STREET","LEXINGTON AVENUE",
"POINT (-74.13350260961408 40.63779826575949)","531250544750000000","S","GROVE AVENUE","RICHMOND AVENUE",
"POINT (-73.89957348507004 40.75406353230104)","410225413490000000","Q","BROOKLYN QUEENS EXPWY ET   41 WB","64 STREET",
"POINT (-73.97936295516253 40.757812011316425)","134730129900000000","M","WEST 48 STREET","ROCKEFELLER PLAZA","6 AVENUE"
"POINT (-73.98088709868159 40.7534809889813)","110410117830000000","M","5 AVENUE","EAST   42 STREET",
"POINT (-73.97901883077007 40.642971929303464)","319630326230000000","B","BEVERLY ROAD","CHURCH AVENUE",
"POINT (-73.97860169422573 40.76239607157246)","134850110510000000","M","WEST 54 STREET","AVENUE OF THE AMERICAS",
"POINT (-73.84391720390302 40.839086326525354)","252710263515000000","X","NYCTA SUBWAY","SEABURY AVENUE",
"POINT (-74.13319918332618 40.63821234433331)","510050518650000000","S","PORT RICHMOND AVENUE","BENNETT STREET",
"POINT (-73.97172305573017 40.78202147629887)","114510135390000000","M","CENTRAL PARK WEST","WEST   81 STREET",
"POINT (-74.00291004136498 40.713067034103894)","116850114060000000","M","DUANE STREET","CARDINAL HAYES PLACE",
"POINT (-73.98863862792096 40.72293371945398)","110010111610000000","M","1 AVENUE","ALLEN STREET",
"POINT (-74.09336426803652 40.59703306871169)","525790541600000000","S","DELLWOOD ROAD","OLD TOWN ROAD",
"POINT (-74.00010082365219 40.72538161546705)","145470129290000000","M","WOOSTER STREET","PRINCE STREET",
"POINT (-73.99236367034456 40.6896901233194)","329830313430000000","B","COURT STREET","ATLANTIC AVENUE",
"POINT (-73.89294686956258 40.824139311344695)","276950265020000000","X","WESTCHESTER AVENUE","SIMPSON STREET",
"POINT (-73.97467949866818 40.7591134863435)","118030125390000000","M","EAST   52 STREET","MADISON AVENUE",
"POINT (-73.99458454705136 40.713690420969854)","125890119690000000","M","MARKET STREET","EAST BROADWAY",
"POINT (-73.98450035779652 40.78595377246019)","100025135350000000","M","HENRY HUDSON PARKWAY ET   10 SB","WEST   79 STREET",
"POINT (-74.00411327612557 40.6081451723255)","310880316280000000","B","86 STREET","BAY   16 STREET",
"POINT (-74.00873392863657 40.74147035942607)","111010134030000000","M","10 AVENUE","WEST   13 STREET",
"POINT (-73.96478633145838 40.75575573124203)","118050110010000000","M","EAST 53 STREET","1 AVENUE",
"POINT (-74.00766570424969 40.71253264178377)","113610127880000000","M","BROADWAY","PARK PLACE",
"POINT (-73.74006927162097 40.76627543995102)","427215457790000000","Q","247 STREET","NORTHERN BOULEVARD",
"POINT (-73.9165879370522 40.867632946485244)","111010137701000000","M","10 AVENUE","WEST  212 STREET",
"POINT (-74.01565756638698 40.704833087372634)","116400133390000000","M","DEAD END","WASHINGTON STREET",
"POINT (-73.96623906594843 40.75800823946716)","118090110110000000","M","EAST 55 STREET","2 AVENUE",
"POINT (-73.94544988260061 40.7027606364233)","343930387630000000","B","GERRY STREET","VARET STREET",
"POINT (-74.00800425985108 40.707976790967365)","145440125630000000","M","WILLIAM STREET","MAIDEN LANE","PINE STREET"
"POINT (-73.8222410409228 40.666120876528716)","457550453490000000","Q","NORTH CONDUIT AVENUE","LEFFERTS BOULEVARD",
"POINT (-73.99944838296874 40.717329797150555)","112710132900000000","M","BAXTER STREET","WALKER STREET",
"POINT (-73.96933573441873 40.78529327929953)","135490197555000000","M","WEST   86 STREET","86 ST TRANSVERSE",
"POINT (-73.88687325223891 40.855201996499886)","227270241320000000","X","EAST  187 STREET","HUGHES AVENUE",
"POINT (-73.99454694095259 40.72940599447565)","132990125990000000","M","WASHINGTON PLACE","MERCER STREET",
"POINT (-73.87398293747721 40.74868566831855)","428690457900000000","Q","ASKE STREET","NYCTA SUBWAY",
"POINT (-73.99569878945991 40.71877672956347)","120190121690000000","M","ELIZABETH STREET","GRAND STREET",
"POINT (-73.9638831046395 40.76123328615679)","118190110110000000","M","EAST 60 STREET","2 AVENUE",
"POINT (-73.8489861781482 40.84159995234437)","248120266220000000","X","MACLAY AVENUE","ST PETERS AVENUE",
"POINT (-73.86751412982827 40.74937570713761)","419090461090000000","Q","98 STREET","ROOSEVELT AVENUE",
"POINT (-73.8481584776247 40.83779584186719)","247720279050000000","X","LYON AVENUE","ZEREGA AVENUE",
"POINT (-73.97052690891928 40.74662624149738)","116400117770000000","M","DEAD END","EAST   39 STREET",
"POINT (-74.00536436023398 40.722183952356076)","110510132590000000","M","6 AVENUE","THOMPSON STREET",
"POINT (-73.95608218645667 40.7788141306814)","124890118690000000","M","LEXINGTON AVENUE","EAST 85 STREET",
"POINT (-73.97767310002452 40.742258580885505)","110110117590000000","M","2 AVENUE","EAST   30 STREET",
"POINT (-74.00010082365219 40.72538161546705)","129290145470000000","M","PRINCE STREET","WOOSTER STREET",
"POINT (-73.99831345591097 40.611083688048346)","306880310530000000","B","18 AVENUE","79 STREET",
"POINT (-73.98263773304343 40.78497459002542)","129690135350000000","M","RIVERSIDE DRIVE","WEST   79 STREET",
"POINT (-73.78697007215423 40.66708518178797)","429090497132000000","Q","BAISLEY BOULEVARD","SOUTHERN PARKWAY EXIT WB",
"POINT (-73.98110859857756 40.74449827888418)","117610124890000000","M","EAST   31 STREET","LEXINGTON AVENUE",
"POINT (-73.9168871367349 40.742786756146195)","410640447990000000","Q","48 STREET","GREENPOINT AVENUE",
"POINT (-73.8784874344132 40.88107652117055)","210020229320000000","X","BAINBRIDGE AVENUE","EAST GUN HILL ROAD",
"POINT (-73.99263301077123 40.75842968668113)","110910134610000000","M","9 AVENUE","WEST   42 STREET",
"POINT (-74.12066258383493 40.613224439600835)","548410553000000000","S","SOMMERS LANE","VICTORY BOULEVARD",
"POINT (-73.99658017692036 40.742810912981014)","110610134190000000","M","7 AVENUE","WEST   21 STREET",
"POINT (-73.99798670829968 40.732945985412414)","133930125190000000","M","WEST 8 STREET","MAC DOUGAL STREET",
"POINT (-74.01096176074233 40.61690634285385)","306380310630000000","B","13 AVENUE","81 STREET",
"POINT (-73.94928589531771 40.64814094531805)","312330367030000000","B","ALBEMARLE ROAD","NOSTRAND AVENUE",
"POINT (-73.87595633486222 40.879865536188724)","229320243820000000","X","EAST GUN HILL ROAD","KINGS COLLEGE PLACE",
"POINT (-73.9102228321853 40.71315345308649)","455690460390000000","Q","METROPOLITAN AVENUE","RENE COURT",
"POINT (-73.96818687760135 40.76222682091534)","118170124890000000","M","EAST   59 STREET","LEXINGTON AVENUE",
"POINT (-73.99750445371627 40.71406913191249)","116410116750000000","M","DIVISION STREET","DOYERS STREET",
"POINT (-73.98070142694966 40.68532362724398)","305280313430000000","B","3 AVENUE","ATLANTIC AVENUE",
"POINT (-74.16757223374849 40.55057473406596)","534900544750000000","S","KATAN AVENUE","RICHMOND AVENUE",
"POINT (-73.78010172381148 40.757625809816645)","425990457790000000","Q","203 STREET","NORTHERN BOULEVARD",
"POINT (-73.90064701045286 40.88509924510786)","252710275120000000","X","NYCTA SUBWAY","WEST  238 STREET",
"POINT (-73.98088709868159 40.7534809889813)","117830134610000000","M","EAST   42 STREET","WEST   42 STREET",
"POINT (-73.96372602556681 40.77700571807224)","118570197560000000","M","EAST   79 STREET","TRANSVERSE ROAD    2",
"POINT (-74.01464658858741 40.71542879034087)","100016127050000000","M","NORTH END WAY","MURRAY STREET",
"POINT (-73.87090345702902 40.83056365314078)","222020276950000000","X","CROES AVENUE","WESTCHESTER AVENUE",
"POINT (-74.01102457993368 40.725793862156586)","145190114010000000","M","WEST ST","CANAL ST",
"POINT (-73.87009417616234 40.736521879921234)","411640418490000000","Q","56 AVENUE","92 STREET",
"POINT (-74.002019378838 40.74044408936732)","110810134070000000","M","8 AVENUE","WEST   15 STREET",
"POINT (-73.99442628125817 40.71696595653993)","115310122890000000","M","CHRYSTIE STREET","HESTER STREET",
"POINT (-73.97167699177709 40.75456963086838)","110210117950000000","M","3 AVENUE","EAST   48 STREET",
"POINT (-74.07610316980742 40.6418468221332)","517450533990000000","S","BAY STREET","HYATT STREET",
