"projectcode","groupowner","locationdescription","borough","description","projectstatus","nextstep","dateadded","bctsnum","ccunum","requestorletterreplydate","cbletterrequestdate","cbletterrecieveddate","oldsign","newsign","markingsdate","installationdate","secondstudycode","closeddate","speedcushion","requestdate","requestortype","segmentid","onstreet","fromstreet","tostreet","geoboroughname","lionkey","fromlatitude","fromlongitude","tolatitude","tolongitude","oft","cb","segmentstatus","segmentstatusdescription","denialreason","numsrproposed","trafficdirection","trafficdirectiondesc","oldsign1","newsign1","oldsign2","newsign2"
"SR-20220323-26928","Brooklyn BC","WILLOUGHBY AVENUE from HALL STREET to CLASSON AVENUE","Brooklyn","2013 BROOKLYN PRIORITY","CB accepted proposal","Planning actions","2022-03-23T11:30:19.000","N/A",,,"2022-03-23T00:00:00.000","2022-03-23T00:00:00.000",,,,,,,"No","2022-03-23T00:00:00.000","DOT Internal","30480","WILLOUGHBY AVENUE","GRAND AVENUE","STEUBEN STREET","Brooklyn","3863200103","40.692089","-73.963749","40.692201","-73.962807","393230345030381630","302","No","Not Feasible","other",,"W","One-way",,,,
"SR-20230512-29665","Brooklyn BC","MALTA STREET from NEW LOTS AVENUE to HEGEMAN AVENUE","Brooklyn","Citizen speed hump request.","BC accept planning proposal of Not Feasible, requestor reply sent - closed",,"2023-05-12T12:45:20.000","DOT-420879-F1X3",,"2023-05-17T00:00:00.000",,,,,,,,"2023-05-17T13:15:00.000","No","2019-06-22T00:00:00.000",,"46691","MALTA STREET","NEW LOTS AVENUE","HEGEMAN AVENUE","Brooklyn","3517200010","40.660414","-73.896311","40.658527","-73.894912","358230364530348330","305","No","Not Feasible","other",,"A","One-way",,,,
"SR-20210405-25602","Queens BC","130 AVENUE from 140 STREET to 150 STREET","Queens","Citizen speed hump request","Study request passed to planning","Awaiting  planning decision","2021-04-05T12:42:08.000","DOT-482523-X1M4",,,,,,,,,,,"No","2020-11-18T00:00:00.000","Citizen","58800","130 AVENUE","146 STREET","147 STREET","Queens","4637601090","40.670328","-73.792436","40.670208","-73.791550","421870423040423090","412","No","Not Feasible",,,"T","Two-way",,,,
"SR-20220329-26992","Brooklyn BC","36 STREET from    4 AVENUE to    5 AVENUE","Brooklyn","Citizen speed hump request. School Construction Mentioned.","MOSAICS Entry - actual - closed",,"2022-03-29T09:53:31.000","DOT-534074-C3H1",,,"2022-12-14T00:00:00.000","2022-12-15T00:00:00.000",,,"2023-05-01T00:00:00.000","2023-04-25T00:00:00.000",,"2023-05-17T10:22:00.000","No","2022-02-11T00:00:00.000","Citizen","161806","36 STREET","CAPTAIN DENNIS MORALES WAY","5 AVENUE","Brooklyn","3914800048","40.654310","-74.004418","40.652948","-74.002166","308380300276305580","307","Yes","Feasible",,"2","A","One-way",,"B-01636911",,
"SR-20210920-26546","Queens BC","128 STREET from 116 AVENUE to 115 AVENUE","Queens","Citizen speed hump request due to speeding concerns.","BC accept planning proposal of Not Feasible, requestor reply sent - closed",,"2021-09-20T11:35:01.000","DOT-517501-J3K7",,"2023-07-28T00:00:00.000",,,,,,,,"2023-07-28T15:04:00.000","No","2021-09-11T00:00:00.000","Citizen","129109","128 STREET","115 AVENUE","116 AVENUE","Queens","4636603045","40.679257","-73.811704","40.677510","-73.810848","421790420790420890","410","No","Not Feasible","Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%",,"A","One-way",,,,
"SR-20210914-26463","SI BC","ANDERSON STREET from CLIFTON AVENUE to LYNHURST AVENUE","Staten Island","Citizen speed hump request due to speeding concerns.","BC accept planning proposal of Not Feasible, requestor reply sent - closed",,"2021-09-14T09:31:16.000","DOT-514886-R9L3",,"2023-07-28T00:00:00.000",,,,,,,,"2023-07-28T15:00:00.000","No","2021-08-19T00:00:00.000","Citizen","15834","ANDERSON STREET","ST MARYS AVENUE","VIRGINIA AVENUE","Staten Island","5033400050","40.615464","-74.069462","40.614764","-74.069011","515810549250553300","501","No","Not Feasible","Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%",,"T","Two-way",,,,
"SR-20210628-25928","SI BC","BERTHA PLACE from EDDY STREET to THERESA PLACE","Staten Island","Citizen speed hump request due to speeding concerns.","Study request passed to planning","Awaiting  planning decision","2021-06-28T15:30:13.000","DOT-500528-J5W1",,,,,,,,,,,"No","2021-04-27T00:00:00.000","Citizen","13474","BERTHA PLACE","EDDY STREET","THERESA PLACE","Staten Island","5078400010","40.626093","-74.090829","40.624209","-74.092465","518820526875550975","501","No","Not Feasible",,,"T","Two-way",,,,
"SR-20191017-16963","Queens BC","86 AVENUE from HOLLIS HILLS TERRACE to BELL BOULEVARD","Queens","Elected Official Rep. speed hump suggestion due to speeding.","CB accepted proposal","Planning actions","2019-10-17T17:11:35.000","DOT-410322-K5Z6",,,"2023-07-28T00:00:00.000","2023-07-28T00:00:00.000",,,,,,,"No","2019-04-03T00:00:00.000","Council Member","109981","86 AVENUE","211 STREET","212 STREET","Queens","4598209990","40.727847","-73.757213","40.728023","-73.756285","417390426390426440","411","No","Not Feasible","curve in roadway",,"T","Two-way",,,,
"SR-20191017-16963","Queens BC","86 AVENUE from HOLLIS HILLS TERRACE to BELL BOULEVARD","Queens","Elected Official Rep. speed hump suggestion due to speeding.","CB accepted proposal","Planning actions","2019-10-17T17:11:35.000","DOT-410322-K5Z6",,,"2023-07-28T00:00:00.000","2023-07-28T00:00:00.000",,,,,,,"No","2019-04-03T00:00:00.000","Council Member","289093","86 AVENUE","215 STREET","86 ROAD","Queens","4598210035","40.728753","-73.753641","40.728903","-73.752883","417390426640417490","411","No","Not Feasible","Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%",,"T","Two-way",,,,
"SR-20210923-26559","Manhattan BC","EAST   10 STREET from 3 AVENUE to 2 AVENUE","Manhattan","Citizen speed hump request due to speeding concerns.","BC accept planning proposal of Not Feasible, requestor reply sent - closed",,"2021-09-23T10:32:09.000","DOT-518273-B2X8",,"2023-07-28T00:00:00.000",,,,,,,,"2023-07-28T15:05:00.000","No","2021-09-16T00:00:00.000","Citizen","32924","EAST   10 STREET","3 AVENUE","STUYVESANT STREET","Manhattan","1137000050","40.730724","-73.989053","40.730007","-73.987361","117190110210131790","103","No","Not Feasible","Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%",,"W","One-way",,,,
"SR-20190215-14480","Brooklyn BC","STATE STREET from COURT STREET to BOERUM PLACE","Brooklyn","School Slow Zone Pt. 1 2019. A. FANTIS PAROCHIAL SCHOOL","MOSAICS Entry - actual - closed",,"2019-02-15T16:17:30.000","DOT-405044-D1H4",,,"2019-03-12T00:00:00.000","2019-03-12T00:00:00.000",,,"2021-12-16T00:00:00.000","2021-12-13T00:00:00.000",,"2022-01-10T11:45:00.000","No","2019-01-18T00:00:00.000","City Agency","162569","STATE STREET","COURT STREET","BOERUM PLACE","Brooklyn","3746800080","40.690345999999998","-73.992052999999999","40.689731000000002","-73.990167","381330329830320110","302","Yes","Feasible",,"1","W","One-way","SIMS","B-01557883",,
"SR-20191017-16963","Queens BC","86 AVENUE from HOLLIS HILLS TERRACE to BELL BOULEVARD","Queens","Elected Official Rep. speed hump suggestion due to speeding.","CB accepted proposal","Planning actions","2019-10-17T17:11:35.000","DOT-410322-K5Z6",,,"2023-07-28T00:00:00.000","2023-07-28T00:00:00.000",,,,,,,"No","2019-04-03T00:00:00.000","Council Member","100050","86 AVENUE","212 STREET","213 STREET","Queens","4598210010","40.728023","-73.756285","40.728266","-73.755404","417390426440426490","411","Yes","Feasible",,"1","T","Two-way",,,,
"SR-20210913-26453","Bronx BC","BARNES AVENUE from BOSTON ROAD to MACE AVENUE","Bronx","Citizen speed hump request due to speeding concerns.","BC accept planning proposal of Not Feasible, requestor reply sent - closed",,"2021-09-13T12:41:43.000","DOT-514230-Q7N9",,"2023-07-28T00:00:00.000",,,,,,,,"2023-07-28T15:00:00.000","No","2021-08-13T00:00:00.000","Citizen","87669","BARNES AVENUE","MACE AVENUE","BOSTON ROAD","Bronx","2076002030","40.863143","-73.863595","40.864655","-73.863548","210620248020213820","211","No","Not Feasible","Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%",,"T","Two-way",,,,
"SR-20210913-26456","Brooklyn BC","STRAUSS STREET from NEWPORT STREET to LOTT AVENUE","Brooklyn","Anonymous speed hump request due to speeding concerns.","BC accept planning proposal of Not Feasible, requestor reply sent - closed",,"2021-09-13T14:49:46.000","DOT-514693-V2R2",,"2023-07-28T00:00:00.000",,,,,,,,"2023-07-28T15:00:00.000","No","2021-08-18T00:00:00.000","Anonymous","42791","STRAUSS STREET","NEWPORT STREET","LOTT AVENUE","Brooklyn","3755203080","40.658644","-73.913737","40.657110","-73.913342","382430365130357230","316","No","Not Feasible","Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%",,"W","One-way",,,,
"SR-20210405-25599","Manhattan BC","WEST  161 STREET from RIVERSIDE DRIVE to FT WASHINGTON AVENUE","Manhattan","Citizen speed hump request due to speeding concerns.","Study request passed to planning","Awaiting  planning decision","2021-04-05T10:19:16.000","DOT-481314-W8V1",,,,,,,,,,,"No","2020-11-07T00:00:00.000","Citizen","39059","WEST  161 STREET","FT WASHINGTON AVENUE","RIVERSIDE DRIVE","Manhattan","1577500040","40.837077","-73.944296","40.838058","-73.946640","136990121190129690","112","No","Not Feasible",,,"W","One-way",,,,
"SR-20191106-17107","SI BC","COLON AVENUE from LEVERETT AVENUE to BARLOW AVENUE","Staten Island","Request Speed Reducers on Colon Ave from Leverett Ave to Barlow Ave, Staten Island","CB accepted proposal","Planning actions","2019-11-06T16:33:51.000","DOT-435698-R5N3",,,"2023-07-28T00:00:00.000","2023-07-28T00:00:00.000",,,,,,,"No","2019-10-13T00:00:00.000","Anonymous","6402","COLON AVENUE","LEVERETT AVENUE","BARLOW AVENUE","Staten Island","5162600080","40.556387","-74.156709","40.558463","-74.157624","523980536270517400","503","Yes","Feasible",,"1","T","Two-way",,,,
"SR-20161015-12367","Brooklyn BC","HICKS STREET from CONGRESS STREET to UNION STREET","Brooklyn",,"MOSAICS Entry - actual - closed",,"2016-10-15T08:26:43.000","DOT-310851-W9J7",,,"2019-08-19T00:00:00.000","2019-08-19T00:00:00.000",,,"2021-08-23T00:00:00.000","2021-08-19T00:00:00.000",,"2021-08-24T15:13:00.000","No","2016-09-15T00:00:00.000","Citizen","21960","HICKS STREET","SUMMIT STREET","WOODHULL STREET","Brooklyn","3426403150","40.681894548202401","-74.002253420531204","40.6812275619518","-74.002563465556804","349630383230394230","306","No","Not Feasible","Block is outside requested study parameter limits.",,"A","One-way",,,,
"SR-20210916-26512","Brooklyn BC","SCHOLES STREET from WATERBURY STREET to BUSHWICK AVENUE","Brooklyn","Citizen speed hump request due to speeding concerns. School: PS 196.","BC accept planning proposal of Not Feasible, requestor reply sent - closed",,"2021-09-16T14:39:51.000","DOT-516755-R7L5",,"2023-07-28T00:00:00.000",,,,,,,,"2023-07-28T15:02:00.000","No","2021-09-05T00:00:00.000","Citizen","44190","SCHOLES STREET","BUSHWICK AVENUE","WATERBURY STREET","Brooklyn","3691603070","40.709102","-73.940078","40.709383","-73.937098","375730323930389940","301","No","Not Feasible","Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%",,"W","One-way",,,,
"SR-20210920-26542","Brooklyn BC","EAST   86 STREET from FLATLANDS AVENUE to GLENWOOD ROAD","Brooklyn","Community Board speed hump request due to speeding concerns.","BC accept planning proposal of Not Feasible, requestor reply sent - closed",,"2021-09-20T08:59:49.000","DOT-517986-G5V0",,"2023-07-28T00:00:00.000",,,,,,,,"2023-07-28T15:04:00.000","No","2021-09-15T00:00:00.000","Community Board","42828","EAST   86 STREET","GLENWOOD ROAD","FLATLANDS AVENUE","Brooklyn","3318801060","40.639849","-73.910547","40.638351","-73.908884","337630344430341030","318","No","Not Feasible","Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%",,"W","One-way",,,,
"SR-20210916-26515","SI BC","ASHWORTH AVENUE from GINA COURT to GREENWAY AVENUE","Staten Island","Citizen speed hump request due to speeding concerns.","BC accept planning proposal of Not Feasible, requestor reply sent - closed",,"2021-09-16T15:15:14.000","DOT-516867-B8X6",,"2023-07-28T00:00:00.000",,,,,,,,"2023-07-28T15:03:00.000","No","2021-09-07T00:00:00.000","Citizen","7865","ASHWORTH AVENUE","GREENWAY AVENUE","GINA COURT","Staten Island","5045200070","40.590786","-74.147166","40.591088","-74.147670","516900570128529705","502","No","Not Feasible","Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%",,"T","Two-way",,,,
"SR-20230517-29709","Brooklyn BC","HIGHLAND BOULEVARD from VERMONT STREET to MILLER AVENUE","Brooklyn","Council Member Nurse is requesting a a speed hump on Miller Avenue between Miller Place and Vermont Place, Brooklyn.  SEE BELOW.","BC denied pre-inspection - closed",,"2023-05-17T15:51:31.000","DOT-582619-L2W8",,"2023-05-25T00:00:00.000",,,,,,,,"2023-05-25T11:56:00.000","No","2023-02-22T00:00:00.000",,"141690","HIGHLAND BOULEVARD","VERMONT STREET","MILLER AVENUE","Brooklyn","3428400057","40.680242","-73.896010","40.681566","-73.894313","349830388030361030","305",,"Not Feasible",,,"W","One-way",,,,
"SR-20210901-26361","Queens BC","BORDEN AVENUE from CENTER BOULEVARD to 25 STREET","Queens","NYPD speed hump request. Truck route. Also, DOT-456372-M4H8, DOT-427779-R4L8. Extended boundary for DOT-531075-Z3M0,PD-3/24/2022. Elected Official request DOT-497176-N9Z3.","Study request passed to planning","Awaiting  planning decision","2021-09-01T10:31:47.000","DOT-511768-K8K8",,,,,,,,,,,"Yes","2021-07-25T00:00:00.000","Police Department","35207","BORDEN AVENUE","VERNON BOULEVARD","11 STREET","Queens","4135201050","40.741288","-73.954249","40.740917","-73.952257","436490466390405690","402","Yes","Feasible",,,"T","Two-way",,,,
"SR-20210914-26478","SI BC","FORT PLACE from ST MARKS PLACE to DANIEL LOW TERRACE","Staten Island","Citizen speed hump request due to speeding concerns.","BC accept planning proposal of Not Feasible, requestor reply sent - closed",,"2021-09-14T15:03:28.000","DOT-515279-L3M7",,"2023-07-28T00:00:00.000",,,,,,,,"2023-07-28T15:01:00.000","No","2021-08-24T00:00:00.000","Citizen","16371","FORT PLACE","BELMONT PLACE","MONROE AVENUE","Staten Island","5275600030","40.641945","-74.079122","40.641857","-74.079651","529300518345539500","501","No","Not Feasible","Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%",,"T","Two-way",,,,
"SR-20210916-26504","Brooklyn BC","CROWN STREET from FRANKLIN AVENUE to WASHINGTON AVENUE","Brooklyn","Citizen speed hump request due to speeding concerns. Little Angel Day Care Center.","BC accept planning proposal of Not Feasible, requestor reply sent - closed",,"2021-09-16T11:44:04.000","DOT-516391-C0B6",,"2023-07-28T00:00:00.000",,,,,,,,"2023-07-28T15:02:00.000","No","2021-09-02T00:00:00.000","Citizen","29293","CROWN STREET","WASHINGTON AVENUE","FRANKLIN AVENUE SHUTTLE LINE","Brooklyn","3232800010","40.667682","-73.961808","40.667363","-73.960323","330930389730367047","309","No","Not Feasible","Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%",,"T","Two-way",,,,
"SR-20210917-26539","Brooklyn BC","OLIVE STREET from METROPOLITAN AVENUE to MASPETH AVENUE","Brooklyn","Citizen speed hump request due to speeding concerns. School: Carrig Montessori School","BC accept planning proposal of Not Feasible, requestor reply sent - closed",,"2021-09-17T15:12:21.000","DOT-517911-M6W0",,"2023-07-28T00:00:00.000",,,,,,,,"2023-07-28T15:03:00.000","No","2021-09-14T00:00:00.000","Citizen","44361","OLIVE STREET","ORIENT AVENUE","MASPETH AVENUE","Brooklyn","3603200050","40.715324","-73.938694","40.716065","-73.939018","368130368430359130","301","No","Not Feasible","Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%",,"W","One-way",,,,
"SR-20210917-26541","Brooklyn BC","VERMONT STREET from LINDEN BOULEVARD to HEGEMAN AVENUE","Brooklyn","Citizen speed hump request due to speeding concerns. School: PS 213.","BC accept planning proposal of Not Feasible, requestor reply sent - closed",,"2021-09-17T15:46:00.000","DOT-517955-H2J7",,"2023-07-28T00:00:00.000",,,,,,,,"2023-07-28T15:03:00.000","No","2021-09-15T00:00:00.000","Citizen","168066","VERMONT STREET","HEGEMAN AVENUE","LINDEN BOULEVARD","Brooklyn","3797801012","40.660636","-73.890014","40.659277","-73.888996","388030348330356230","305","No","Not Feasible","Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%",,"A","One-way",,,,
"SR-20210914-26478","SI BC","FORT PLACE from ST MARKS PLACE to DANIEL LOW TERRACE","Staten Island","Citizen speed hump request due to speeding concerns.","BC accept planning proposal of Not Feasible, requestor reply sent - closed",,"2021-09-14T15:03:28.000","DOT-515279-L3M7",,"2023-07-28T00:00:00.000",,,,,,,,"2023-07-28T15:01:00.000","No","2021-08-24T00:00:00.000","Citizen","16374","FORT PLACE","MONTGOMERY AVENUE","BELMONT PLACE","Staten Island","5275600020","40.641997","-74.078848","40.641945","-74.079122","529300539650518345","501","No","Not Feasible","Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%",,"T","Two-way",,,,
"SR-20210920-26549","Queens BC","MARSDEN STREET from SMITH STREET to 120 AVENUE","Queens","Citizen speed hump request due to speeding concerns. SMITH STREET to 118 AVENUE was recently studied and found not feasible under SR-20170526-12820.","BC accept planning proposal of Not Feasible, requestor reply sent - closed",,"2021-09-20T12:08:55.000","DOT-517681-F5B2",,"2023-07-28T00:00:00.000",,,,,,,,"2023-07-28T15:05:00.000","No","2021-09-13T00:00:00.000","Citizen","59396","MARSDEN STREET","118 ROAD","119 AVENUE","Queens","4320201030","40.683313","-73.777415","40.682886","-73.776710","454870421090421190","412","No","Not Feasible","Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%",,"T","Two-way",,,,
"SR-20210920-26544","SI BC","ELIZABETH STREET from FOREST AVENUE to CARY AVENUE","Staten Island","Community Board speed hump request.","BC accept planning proposal of Not Feasible, requestor reply sent - closed",,"2021-09-20T09:53:15.000","DOT-518078-F3J8",,"2023-07-28T00:00:00.000",,,,,,,,"2023-07-28T15:04:00.000","No","2021-09-15T00:00:00.000","Community Board","12567","ELIZABETH STREET","MYRTLE AVENUE","FOREST AVENUE","Staten Island","5236400030","40.629394","-74.119471","40.628708","-74.119008","527380539704529150","501","No","Not Feasible","Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%",,"A","One-way",,,,
"SR-20210914-26463","SI BC","ANDERSON STREET from CLIFTON AVENUE to LYNHURST AVENUE","Staten Island","Citizen speed hump request due to speeding concerns.","BC accept planning proposal of Not Feasible, requestor reply sent - closed",,"2021-09-14T09:31:16.000","DOT-514886-R9L3",,"2023-07-28T00:00:00.000",,,,,,,,"2023-07-28T15:00:00.000","No","2021-08-19T00:00:00.000","Citizen","15823","ANDERSON STREET","BUTLER PLACE","KALTENMEIER LANE","Staten Island","5033400030","40.616188","-74.069957","40.615862","-74.069737","515810521060534895","501","No","Not Feasible","Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%",,"T","Two-way",,,,
"SR-20210914-26463","SI BC","ANDERSON STREET from CLIFTON AVENUE to LYNHURST AVENUE","Staten Island","Citizen speed hump request due to speeding concerns.","BC accept planning proposal of Not Feasible, requestor reply sent - closed",,"2021-09-14T09:31:16.000","DOT-514886-R9L3",,"2023-07-28T00:00:00.000",,,,,,,,"2023-07-28T15:00:00.000","No","2021-08-19T00:00:00.000","Citizen","15970","ANDERSON STREET","VIRGINIA AVENUE","CLIFTON AVENUE","Staten Island","5033400060","40.614764","-74.069011","40.614144","-74.068618","515810553300523600","501","No","Not Feasible","Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%",,"T","Two-way",,,,
"SR-20210917-26539","Brooklyn BC","OLIVE STREET from METROPOLITAN AVENUE to MASPETH AVENUE","Brooklyn","Citizen speed hump request due to speeding concerns. School: Carrig Montessori School","BC accept planning proposal of Not Feasible, requestor reply sent - closed",,"2021-09-17T15:12:21.000","DOT-517911-M6W0",,"2023-07-28T00:00:00.000",,,,,,,,"2023-07-28T15:03:00.000","No","2021-09-14T00:00:00.000","Citizen","128540","OLIVE STREET","METROPOLITAN AVENUE","ORIENT AVENUE","Brooklyn","3603200035","40.714593","-73.938756","40.715324","-73.938694","368130360530368430","301","No","Not Feasible","Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%",,"W","One-way",,,,
