"location_category","administrative_district","sth_removals","sth_principal","sth_superintendent","sth_expulsions","non_sth_removals","non_sth_principal","non_sth_superintendent","non_sth_expulsions"
"High school","08","*","9","*","*","*","54","14","*"
"Junior High-Intermediate-Middle","08","*","*","*","*","*","*","21","*"
"Junior High-Intermediate-Middle","08","6","*","6","*","6","9","19","*"
"Elementary","08","*","*","*","*","*","*","*","*"
"High school","08","*","31","*","*","*","115","*","*"
"High school","08","*","*","*","*","*","30","11","*"
"High school","08","*","13","*","*","*","71","7","*"
"High school","08","*","*","*","*","*","*","*","*"
"Elementary","08","*","*","*","*","*","*","*","*"
"Elementary","08","*","*","*","*","10","*","*","*"
"Junior High-Intermediate-Middle","08","11","*","*","*","40","30","14","*"
"High school","08","*","*","*","*","*","6","6","*"
"High school","08","8","15","*","*","66","45","*","*"
"Junior High-Intermediate-Middle","08","*","*","*","*","*","10","9","*"
"High school","08","*","*","*","*","15","84","21","*"
"Junior High-Intermediate-Middle","08","*","*","*","*","*","12","*","*"
"Junior High-Intermediate-Middle","08","*","*","*","*","*","*","*","*"
"Secondary School","08","*","*","*","*","*","52","7","*"
"High school","08","*","*","*","*","*","15","12","*"
"Elementary","08","*","*","*","*","*","*","*","*"
"High school","08","*","*","*","*","*","74","36","*"
"High school","08","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","08","13","*","10","*","9","8","6","*"
"High school","08","*","*","*","*","*","26","*","*"
"Central-HQ-Citywide","08","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","08","*","*","*","*","61","22","*","*"
"High school","08","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","08","*","*","*","*","*","*","6","*"
"High school","08","*","*","*","*","*","*","*","*"
"High school","08","*","*","*","*","*","*","*","*"
"High school","08","*","*","*","*","*","8","*","*"
"High school","08","*","*","*","*","*","10","*","*"
"High school","08","*","*","*","*","68","60","*","*"
"High school","08","*","9","*","*","9","55","*","*"
"High school","08","*","*","*","*","*","6","10","*"
"Junior High-Intermediate-Middle","08","*","*","*","*","*","*","*","*"
"K-8","09","*","*","*","*","*","*","*","*"
"Elementary","09","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","09","*","*","11","*","*","*","13","*"
"Elementary","09","*","*","*","*","*","*","*","*"
"Elementary","09","*","*","*","*","*","*","*","*"
"Elementary","09","*","*","*","*","*","7","*","*"
"Elementary","09","*","*","*","*","*","*","*","*"
"Elementary","09","*","*","*","*","*","*","*","*"
"Elementary","09","*","*","*","*","*","*","*","*"
"Elementary","09","*","*","*","*","*","*","*","*"
"Elementary","09","*","*","*","*","*","*","*","*"
"Elementary","09","8","*","*","*","43","7","*","*"
"Elementary","09","*","*","*","*","11","7","*","*"
"Elementary","09","*","*","*","*","*","*","*","*"
"Elementary","09","*","*","*","*","12","*","*","*"
"Elementary","09","*","*","*","*","*","*","*","*"
"Elementary","09","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","09","*","8","*","*","7","15","12","*"
"Elementary","09","*","*","*","*","12","*","*","*"
"Junior High-Intermediate-Middle","09","*","*","*","*","*","*","*","*"
"Elementary","09","*","*","*","*","6","*","*","*"
"Junior High-Intermediate-Middle","09","*","*","*","*","*","*","*","*"
"Elementary","09","*","*","*","*","*","*","*","*"
"Early Childhood","09","*","*","*","*","*","*","*","*"
"Elementary","09","*","*","*","*","*","*","*","*"
"Elementary","09","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","09","*","*","*","*","*","19","*","*"
"K-8","09","*","*","*","*","*","12","*","*"
"Junior High-Intermediate-Middle","09","*","*","7","*","*","11","8","*"
"High school","09","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","09","*","*","*","*","8","*","*","*"
"Elementary","09","*","*","*","*","*","*","*","*"
"Secondary School","09","*","*","*","*","*","10","11","*"
"Junior High-Intermediate-Middle","09","*","*","*","*","*","13","16","*"
"Elementary","09","*","*","*","*","*","*","*","*"
"Secondary School","09","*","*","*","*","*","12","9","*"
"High school","09","*","*","*","*","*","*","17","*"
"High school","09","*","*","*","*","*","69","17","*"
"High school","09","*","*","*","*","*","*","*","*"
"High school","09","*","*","*","*","*","25","17","*"
"Elementary","09","*","*","*","*","*","*","*","*"
"High school","09","*","*","*","*","*","13","6","*"
"Elementary","09","*","*","*","*","*","*","*","*"
"High school","09","*","*","*","*","*","16","6","*"
"Junior High-Intermediate-Middle","09","*","*","*","*","*","*","*","*"
"Elementary","09","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","09","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","09","*","*","8","*","*","14","15","*"
"Secondary School","09","*","*","*","*","44","49","15","*"
"Junior High-Intermediate-Middle","09","*","7","*","*","*","*","*","*"
"Secondary School","09","*","6","*","*","8","77","29","*"
"Junior High-Intermediate-Middle","09","*","*","*","*","*","17","13","*"
"High school","09","*","*","*","*","*","12","*","*"
"Junior High-Intermediate-Middle","09","*","*","*","*","*","9","16","*"
"Secondary School","09","*","*","*","*","*","12","*","*"
"Junior High-Intermediate-Middle","09","*","*","*","*","*","20","*","*"
"High school","09","*","*","*","*","*","*","*","*"
"High school","09","*","*","*","*","*","11","*","*"
"High school","09","*","*","*","*","*","*","*","*"
"High school","09","*","*","*","*","*","21","7","*"
"Secondary School","09","*","*","*","*","*","25","*","*"
"High school","09","*","*","*","*","*","*","*","*"
"Elementary","09","*","*","*","*","*","*","*","*"
"Central-HQ-Citywide","09","*","*","*","*","*","*","*","*"
"Elementary","09","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","09","*","*","*","*","*","*","*","*"
"Elementary","09","*","*","*","*","*","*","*","*"
"Secondary School","09","*","*","*","*","*","*","13","*"
"High school","09","*","*","*","*","*","*","13","*"
"High school","09","*","*","*","*","*","*","6","*"
"High school","09","*","*","*","*","*","*","*","*"
"Elementary","09","*","*","*","*","*","*","*","*"
"High school","09","*","9","*","*","*","15","*","*"
"Secondary School","09","*","*","*","*","*","*","*","*"
"District Pre-K Center","09","*","*","*","*","*","*","*","*"
"K-8","10","6","*","*","*","23","*","*","*"
"Elementary","10","*","*","*","*","*","*","*","*"
"Elementary","10","6","*","*","*","13","*","*","*"
"Elementary","10","*","6","*","*","*","12","*","*"
"K-8","10","*","*","*","*","*","*","*","*"
"K-8","10","*","*","*","*","*","19","*","*"
"Elementary","10","*","*","*","*","*","*","*","*"
"Elementary","10","*","*","*","*","*","*","*","*"
"Elementary","10","*","*","*","*","8","*","*","*"
"Elementary","10","*","*","*","*","*","*","*","*"
"K-8","10","*","*","*","*","18","17","*","*"
"Junior High-Intermediate-Middle","10","*","*","*","*","*","*","*","*"
"Elementary","10","9","*","*","*","29","*","*","*"
"Elementary","10","*","*","*","*","*","*","*","*"
"Elementary","10","*","*","*","*","*","*","*","*"
"Elementary","10","*","*","*","*","20","*","*","*"
"Elementary","10","*","*","*","*","*","*","*","*"
"Elementary","10","*","*","*","*","*","*","*","*"
"Junior High-Intermediate-Middle","10","*","*","*","*","*","*","22","*"
"Elementary","10","*","*","*","*","*","*","*","*"
"Elementary","10","12","*","*","*","12","*","*","*"
"Elementary","10","*","*","*","*","*","*","*","*"
"Elementary","10","*","*","*","*","8","*","*","*"
"Elementary","10","7","*","*","*","27","*","*","*"
"K-8","10","*","*","*","*","41","16","19","*"
"Junior High-Intermediate-Middle","10","*","*","*","*","*","*","*","*"
"Secondary School","10","*","*","*","*","*","47","8","*"
"Elementary","10","*","*","*","*","*","*","*","*"
