"school","month_code","calmonth","gradelevel","gradesort","roster_count","absent","present","released"
"01M019","9","May","01","1","43","70","876","0"
"01M019","9","May","02","2","44","60","908","0"
"01M019","9","May","03","3","47","78","952","0"
"01M019","9","May","04","4","43","66","858","0"
"01M019","9","May","05","5","42","51","873","0"
"01M019","9","May","0K","0","35","57","713","0"
"01M019","9","May","PK","-1","13","10","276","0"
"01M019","10","Jun","01","1","44","108","550","0"
"01M019","10","Jun","02","2","44","85","575","0"
"01M019","10","Jun","03","3","47","104","601","0"
"01M019","10","Jun","04","4","42","66","564","0"
"01M019","10","Jun","05","5","42","58","572","0"
"01M019","10","Jun","0K","0","35","92","433","0"
"01M019","10","Jun","PK","-1","14","56","148","0"
"01M019","1","Sep","01","1","40","29","545","0"
"01M019","1","Sep","02","2","49","24","617","0"
"01M019","1","Sep","03","3","48","20","670","0"
"01M019","1","Sep","04","4","43","23","587","0"
"01M019","1","Sep","05","5","45","30","586","0"
"01M019","1","Sep","0K","0","44","32","502","0"
"01M019","1","Sep","PK","-1","13","6","187","0"
"01M019","2","Oct","01","1","39","61","751","0"
"01M019","2","Oct","02","2","42","53","829","0"
"01M019","2","Oct","03","3","46","48","918","0"
"01M019","2","Oct","04","4","42","45","837","0"
"01M019","2","Oct","05","5","42","31","843","0"
"01M019","2","Oct","0K","0","36","69","657","0"
"01M019","2","Oct","PK","-1","13","22","251","0"
"01M019","3","Nov","01","1","39","66","671","0"
"01M019","3","Nov","02","2","42","66","732","0"
"01M019","3","Nov","03","3","46","67","807","0"
"01M019","3","Nov","04","4","43","57","753","0"
"01M019","3","Nov","05","5","42","65","733","0"
"01M019","3","Nov","0K","0","34","67","579","0"
"01M019","3","Nov","PK","-1","13","25","221","0"
"01M019","4","Dec","01","1","40","47","593","0"
"01M019","4","Dec","02","2","42","38","634","0"
"01M019","4","Dec","03","3","46","64","672","0"
"01M019","4","Dec","04","4","42","51","621","0"
"01M019","4","Dec","05","5","42","45","626","0"
"01M019","4","Dec","0K","0","34","43","501","0"
"01M019","4","Dec","PK","-1","12","19","173","0"
"01M020","5","Jan","01","1","83","181","1448","0"
"01M020","5","Jan","02","2","68","121","1239","0"
"01M020","5","Jan","03","3","89","142","1621","0"
"01M020","5","Jan","04","4","83","112","1548","0"
"01M020","5","Jan","05","5","71","119","1301","0"
"01M020","5","Jan","0K","0","71","176","1204","0"
"01M020","5","Jan","PK","-1","35","127","552","0"
"01M020","6","Feb","01","1","83","104","1046","0"
"01M020","6","Feb","02","2","69","116","834","0"
"01M020","6","Feb","03","3","88","94","1133","0"
"01M020","6","Feb","04","4","83","68","1083","0"
"01M020","6","Feb","05","5","71","93","889","0"
"01M020","6","Feb","0K","0","71","110","861","0"
"01M020","6","Feb","PK","-1","34","58","383","22"
"01M020","7","Mar","01","1","83","169","1484","0"
"01M020","7","Mar","02","2","69","81","1294","0"
"01M020","7","Mar","03","3","88","98","1646","0"
"01M020","7","Mar","04","4","83","106","1552","0"
"01M020","7","Mar","05","5","70","119","1281","0"
"01M020","7","Mar","0K","0","70","153","1247","0"
"01M020","7","Mar","PK","-1","35","167","517","0"
"01M020","8","Apr","01","1","85","95","1238","0"
"01M020","8","Apr","02","2","69","51","1042","0"
"01M020","8","Apr","03","3","88","52","1341","0"
"01M020","8","Apr","04","4","83","56","1272","0"
"01M020","8","Apr","05","5","70","67","1053","0"
"01M020","8","Apr","0K","0","70","96","1011","0"
"01M020","8","Apr","PK","-1","34","72","440","0"
"01M020","9","May","01","1","85","120","1733","0"
"01M020","9","May","02","2","70","59","1443","0"
"01M020","9","May","03","3","88","82","1854","0"
"01M020","9","May","04","4","83","77","1749","0"
"01M020","9","May","05","5","70","81","1459","0"
"01M020","9","May","0K","0","68","112","1384","0"
"01M020","9","May","PK","-1","32","95","609","0"
"01M020","10","Jun","01","1","85","141","1134","0"
"01M020","10","Jun","02","2","70","76","974","0"
"01M020","10","Jun","03","3","88","113","1207","0"
"01M020","10","Jun","04","4","83","116","1121","0"
"01M020","10","Jun","05","5","70","135","915","0"
"01M020","10","Jun","0K","0","68","129","891","0"
"01M020","10","Jun","PK","-1","33","103","392","0"
"01M020","1","Sep","01","1","84","61","1149","0"
"01M020","1","Sep","02","2","74","51","959","0"
"01M020","1","Sep","03","3","89","26","1254","0"
"01M020","1","Sep","04","4","91","54","1207","0"
"01M020","1","Sep","05","5","75","38","987","0"
"01M020","1","Sep","0K","0","80","60","1042","0"
"01M020","1","Sep","PK","-1","35","34","454","0"
"01M020","2","Oct","01","1","83","92","1641","0"
"01M020","2","Oct","02","2","70","75","1348","0"
"01M020","2","Oct","03","3","89","99","1731","0"
"01M020","2","Oct","04","4","86","88","1654","0"
"01M020","2","Oct","05","5","69","60","1383","0"
"01M020","2","Oct","0K","0","75","125","1381","0"
"01M020","2","Oct","PK","-1","34","77","637","0"
"01M020","3","Nov","01","1","83","115","1443","0"
"01M020","3","Nov","02","2","71","78","1222","0"
"01M020","3","Nov","03","3","90","98","1603","0"
"01M020","3","Nov","04","4","84","75","1515","0"
"01M020","3","Nov","05","5","71","73","1264","0"
"01M020","3","Nov","0K","0","71","151","1180","0"
"01M020","3","Nov","PK","-1","34","96","549","0"
"01M020","4","Dec","01","1","82","127","1182","0"
"01M020","4","Dec","02","2","68","64","1024","0"
"01M020","4","Dec","03","3","89","64","1360","0"
"01M020","4","Dec","04","4","84","61","1273","0"
"01M020","4","Dec","05","5","71","78","1058","0"
"01M020","4","Dec","0K","0","71","133","988","0"
"01M020","4","Dec","PK","-1","34","94","405","33"
"01M034","5","Jan","01","1","19","35","319","0"
"01M034","5","Jan","02","2","25","78","420","0"
"01M034","5","Jan","03","3","50","77","870","0"
"01M034","5","Jan","04","4","37","96","635","0"
"01M034","5","Jan","05","5","36","66","591","0"
"01M034","5","Jan","06","6","39","86","673","0"
"01M034","5","Jan","07","7","40","52","716","10"
"01M034","5","Jan","08","8","63","129","1089","0"
"01M034","5","Jan","0K","0","25","103","387","0"
"01M034","5","Jan","PK","-1","16","55","248","0"
"01M034","6","Feb","01","1","18","15","237","0"
"01M034","6","Feb","02","2","24","38","286","0"
"01M034","6","Feb","03","3","48","45","627","0"
"01M034","6","Feb","04","4","37","51","467","0"
"01M034","6","Feb","05","5","33","34","413","0"
"01M034","6","Feb","06","6","39","49","474","0"
"01M034","6","Feb","07","7","40","44","512","0"
"01M034","6","Feb","08","8","62","85","766","0"
"01M034","6","Feb","0K","0","24","48","281","0"
"01M034","6","Feb","PK","-1","17","43","193","0"
"01M034","7","Mar","01","1","18","35","325","0"
"01M034","7","Mar","02","2","23","74","372","0"
"01M034","7","Mar","03","3","48","143","817","0"
"01M034","7","Mar","04","4","37","105","635","0"
"01M034","7","Mar","05","5","31","71","549","0"
"01M034","7","Mar","06","6","40","96","692","0"
"01M034","7","Mar","07","7","40","91","709","0"
"01M034","7","Mar","08","8","60","143","1057","0"
"01M034","7","Mar","0K","0","24","95","385","0"
"01M034","7","Mar","PK","-1","17","94","246","0"
"01M034","8","Apr","01","1","18","16","272","0"
"01M034","8","Apr","02","2","22","34","318","0"
"01M034","8","Apr","03","3","49","67","705","0"
"01M034","8","Apr","04","4","37","55","525","0"
"01M034","8","Apr","05","5","32","38","448","0"
"01M034","8","Apr","06","6","41","60","577","0"
"01M034","8","Apr","07","7","40","49","591","0"
"01M034","8","Apr","08","8","61","57","904","0"
"01M034","8","Apr","0K","0","24","69","315","0"
"01M034","8","Apr","PK","-1","17","61","211","0"
"01M034","9","May","01","1","18","47","349","0"
"01M034","9","May","02","2","22","65","419","0"
"01M034","9","May","03","3","48","96","960","0"
"01M034","9","May","04","4","37","80","714","0"
"01M034","9","May","05","5","31","60","601","0"
"01M034","9","May","06","6","41","84","798","0"
"01M034","9","May","07","7","40","81","795","4"
"01M034","9","May","08","8","61","115","1227","0"
"01M034","9","May","0K","0","24","105","423","0"
"01M034","9","May","PK","-1","18","75","321","0"
"01M034","10","Jun","01","1","18","37","222","0"
"01M034","10","Jun","02","2","22","83","247","0"
"01M034","10","Jun","03","3","49","99","630","0"
"01M034","10","Jun","04","4","38","95","458","0"
"01M034","10","Jun","05","5","31","104","348","0"
"01M034","10","Jun","06","6","41","85","530","0"
"01M034","10","Jun","07","7","40","109","491","0"
"01M034","10","Jun","08","8","61","135","779","0"
"01M034","10","Jun","0K","0","24","96","250","0"
"01M034","10","Jun","PK","-1","18","65","205","0"
"01M034","1","Sep","01","1","21","11","254","0"
"01M034","1","Sep","02","2","24","17","314","0"
"01M034","1","Sep","03","3","48","41","635","0"
"01M034","1","Sep","04","4","36","39","465","0"
"01M034","1","Sep","05","5","37","19","510","0"
"01M034","1","Sep","06","6","40","31","520","0"
"01M034","1","Sep","07","7","44","62","541","0"
"01M034","1","Sep","08","8","62","61","802","0"
"01M034","1","Sep","0K","0","28","43","301","0"
"01M034","1","Sep","PK","-1","13","16","167","0"
"01M034","2","Oct","01","1","18","15","363","0"
"01M034","2","Oct","02","2","23","19","441","0"
"01M034","2","Oct","03","3","48","48","923","0"
"01M034","2","Oct","04","4","35","38","686","0"
"01M034","2","Oct","05","5","36","46","710","0"
"01M034","2","Oct","06","6","38","49","719","0"
"01M034","2","Oct","07","7","41","48","813","0"
"01M034","2","Oct","08","8","58","70","1148","0"
"01M034","2","Oct","0K","0","26","62","421","0"
"01M034","2","Oct","PK","-1","13","22","251","0"
"01M034","3","Nov","01","1","18","18","320","0"
"01M034","3","Nov","02","2","23","37","388","0"
"01M034","3","Nov","03","3","47","52","841","0"
"01M034","3","Nov","04","4","35","51","614","0"
"01M034","3","Nov","05","5","36","50","608","0"
"01M034","3","Nov","06","6","39","53","674","0"
"01M034","3","Nov","07","7","41","56","704","0"
"01M034","3","Nov","08","8","59","65","1039","0"
"01M034","3","Nov","0K","0","25","70","395","0"
"01M034","3","Nov","PK","-1","13","28","219","0"
"01M034","4","Dec","01","1","17","11","261","0"
"01M034","4","Dec","02","2","23","21","347","0"
"01M034","4","Dec","03","3","47","70","682","0"
"01M034","4","Dec","04","4","35","45","515","0"
"01M034","4","Dec","05","5","34","26","518","0"
"01M034","4","Dec","06","6","39","59","565","0"
"01M034","4","Dec","07","7","38","39","563","0"
"01M034","4","Dec","08","8","60","76","880","0"
"01M034","4","Dec","0K","0","24","67","317","0"
"01M034","4","Dec","PK","-1","13","30","178","0"
"01M063","5","Jan","01","1","31","59","541","0"
"01M063","5","Jan","02","2","36","69","650","0"
"01M063","5","Jan","03","3","22","42","398","0"
"01M063","5","Jan","04","4","24","16","460","0"
"01M063","5","Jan","05","5","27","40","499","0"
"01M063","5","Jan","0K","0","41","103","717","0"
"01M063","5","Jan","PK","-1","27","74","466","0"
"01M063","6","Feb","01","1","30","40","380","0"
"01M063","6","Feb","02","2","35","55","435","0"
"01M063","6","Feb","03","3","23","21","287","0"
"01M063","6","Feb","04","4","24","24","312","0"
"01M063","6","Feb","05","5","27","27","350","0"
"01M063","6","Feb","0K","0","41","69","505","0"
"01M063","6","Feb","PK","-1","27","48","303","27"
"01M063","7","Mar","01","1","31","62","538","0"
"01M063","7","Mar","02","2","36","69","641","0"
"01M063","7","Mar","03","3","22","31","409","0"
"01M063","7","Mar","04","4","26","22","478","0"
"01M063","7","Mar","05","5","27","39","501","0"
"01M063","7","Mar","0K","0","41","92","728","0"
"01M063","7","Mar","PK","-1","27","68","472","0"
"01M063","8","Apr","01","1","30","53","427","0"
"01M063","8","Apr","02","2","35","35","525","0"
"01M063","8","Apr","03","3","22","12","340","0"
"01M063","8","Apr","04","4","25","19","381","0"
"01M063","8","Apr","05","5","27","14","418","0"
"01M063","8","Apr","0K","0","41","69","585","2"
"01M063","8","Apr","PK","-1","27","49","383","0"
"01M063","9","May","01","1","30","45","615","0"
"01M063","9","May","02","2","35","65","705","0"
"01M063","9","May","03","3","23","18","469","0"
"01M063","9","May","04","4","25","15","535","0"
"01M063","9","May","05","5","27","16","578","0"
"01M063","9","May","0K","0","42","113","795","0"
"01M063","9","May","PK","-1","27","74","520","0"
"01M063","10","Jun","01","1","30","44","406","0"
"01M063","10","Jun","02","2","35","53","472","0"
"01M063","10","Jun","03","3","23","29","316","0"
"01M063","10","Jun","04","4","25","41","334","0"
"01M063","10","Jun","05","5","27","32","373","0"
"01M063","10","Jun","0K","0","42","86","544","0"
"01M063","10","Jun","PK","-1","27","46","359","0"
"01M063","1","Sep","01","1","32","14","421","0"
"01M063","1","Sep","02","2","37","18","522","0"
"01M063","1","Sep","03","3","24","11","319","0"
"01M063","1","Sep","04","4","26","6","339","0"
"01M063","1","Sep","05","5","29","12","389","0"
"01M063","1","Sep","0K","0","44","47","564","0"
"01M063","1","Sep","PK","-1","26","14","344","0"
"01M063","2","Oct","01","1","30","30","579","0"
"01M063","2","Oct","02","2","36","38","718","0"
"01M063","2","Oct","03","3","22","17","445","0"
"01M063","2","Oct","04","4","23","13","470","0"
"01M063","2","Oct","05","5","27","13","554","0"
"01M063","2","Oct","0K","0","40","75","765","0"
"01M063","2","Oct","PK","-1","26","36","480","0"
"01M063","3","Nov","01","1","29","34","517","0"
"01M063","3","Nov","02","2","36","50","634","0"
"01M063","3","Nov","03","3","23","22","396","0"
"01M063","3","Nov","04","4","23","25","412","0"
"01M063","3","Nov","05","5","27","20","493","0"
"01M063","3","Nov","0K","0","41","50","711","0"
"01M063","3","Nov","PK","-1","26","33","425","0"
"01M063","4","Dec","01","1","30","40","433","0"
"01M063","4","Dec","02","2","36","34","542","0"
"01M063","4","Dec","03","3","22","19","333","0"
"01M063","4","Dec","04","4","23","15","353","0"
"01M063","4","Dec","05","5","28","27","405","0"
"01M063","4","Dec","0K","0","41","58","598","0"
"01M063","4","Dec","PK","-1","25","28","344","24"
"01M064","5","Jan","01","1","45","126","727","0"
"01M064","5","Jan","02","2","38","79","679","0"
"01M064","5","Jan","03","3","31","69","549","0"
"01M064","5","Jan","04","4","37","75","664","0"
"01M064","5","Jan","05","5","37","81","651","0"
"01M064","5","Jan","0K","0","31","111","491","0"
"01M064","5","Jan","PK","-1","35","151","549","0"
"01M064","6","Feb","01","1","43","68","534","0"
"01M064","6","Feb","02","2","39","43","491","0"
"01M064","6","Feb","03","3","31","35","387","0"
"01M064","6","Feb","04","4","36","27","474","0"
"01M064","6","Feb","05","5","37","38","480","0"
"01M064","6","Feb","0K","0","31","63","371","0"
"01M064","6","Feb","PK","-1","36","120","377","0"
"01M064","7","Mar","01","1","43","91","769","0"
"01M064","7","Mar","02","2","39","96","684","0"
"01M064","7","Mar","03","3","30","80","516","0"
"01M064","7","Mar","04","4","35","69","631","0"
"01M064","7","Mar","05","5","37","66","668","0"
"01M064","7","Mar","0K","0","31","101","519","0"
"01M064","7","Mar","PK","-1","36","134","550","36"
"01M064","8","Apr","01","1","43","90","598","0"
"01M064","8","Apr","02","2","39","46","578","0"
"01M064","8","Apr","03","3","29","36","428","0"
"01M064","8","Apr","04","4","35","24","536","0"
"01M064","8","Apr","05","5","36","42","525","0"
"01M064","8","Apr","0K","0","31","69","427","0"
"01M064","8","Apr","PK","-1","36","86","490","0"
"01M064","9","May","01","1","42","81","843","0"
"01M064","9","May","02","2","39","54","804","0"
"01M064","9","May","03","3","29","50","566","0"
"01M064","9","May","04","4","35","41","729","0"
"01M064","9","May","05","5","35","60","710","0"
"01M064","9","May","0K","0","30","67","593","0"
"01M064","9","May","PK","-1","36","114","678","0"
"01M064","10","Jun","01","1","43","124","519","0"
"01M064","10","Jun","02","2","39","90","495","0"
"01M064","10","Jun","03","3","28","55","362","0"
"01M064","10","Jun","04","4","35","68","457","0"
"01M064","10","Jun","05","5","36","70","457","0"
"01M064","10","Jun","0K","0","31","128","335","0"
"01M064","10","Jun","PK","-1","36","141","399","0"
"01M064","1","Sep","01","1","51","48","627","0"
"01M064","1","Sep","02","2","36","21","516","0"
"01M064","1","Sep","03","3","34","27","426","0"
"01M064","1","Sep","04","4","36","27","498","0"
"01M064","1","Sep","05","5","35","25","485","0"
"01M064","1","Sep","0K","0","30","24","396","0"
"01M064","1","Sep","PK","-1","35","38","469","0"
"01M064","2","Oct","01","1","47","60","864","0"
"01M064","2","Oct","02","2","37","41","727","0"
"01M064","2","Oct","03","3","31","52","583","0"
"01M064","2","Oct","04","4","37","31","708","0"
"01M064","2","Oct","05","5","36","38","698","0"
"01M064","2","Oct","0K","0","29","48","547","0"
"01M064","2","Oct","PK","-1","35","75","648","0"
"01M064","3","Nov","01","1","45","69","769","0"
"01M064","3","Nov","02","2","37","61","642","0"
"01M064","3","Nov","03","3","30","38","532","0"
"01M064","3","Nov","04","4","37","39","652","0"
"01M064","3","Nov","05","5","36","50","634","0"
"01M064","3","Nov","0K","0","29","63","455","0"
"01M064","3","Nov","PK","-1","36","106","561","0"
"01M064","4","Dec","01","1","45","57","655","0"
"01M064","4","Dec","02","2","38","31","561","0"
"01M064","4","Dec","03","3","30","29","451","0"
"01M064","4","Dec","04","4","37","31","561","0"
"01M064","4","Dec","05","5","36","43","533","0"
"01M064","4","Dec","0K","0","30","50","414","0"
"01M064","4","Dec","PK","-1","36","80","459","36"
"01M110","5","Jan","01","1","54","93","935","0"
"01M110","5","Jan","02","2","55","85","1015","0"
"01M110","5","Jan","03","3","48","46","876","0"
"01M110","5","Jan","04","4","58","62","1098","0"
"01M110","5","Jan","05","5","73","70","1370","0"
"01M110","5","Jan","0K","0","64","159","1121","0"
"01M110","5","Jan","PK","-1","34","92","581","0"
"01M110","6","Feb","01","1","52","65","663","0"
"01M110","6","Feb","02","2","55","58","712","0"
"01M110","6","Feb","03","3","48","52","620","0"
"01M110","6","Feb","04","4","58","54","758","0"
"01M110","6","Feb","05","5","72","71","937","0"
"01M110","6","Feb","0K","0","64","74","821","0"
"01M110","6","Feb","PK","-1","34","29","440","0"
"01M110","7","Mar","01","1","53","61","996","0"
"01M110","7","Mar","02","2","55","55","1027","0"
"01M110","7","Mar","03","3","49","76","884","0"
"01M110","7","Mar","04","4","58","59","1101","0"
"01M110","7","Mar","05","5","73","77","1356","0"
"01M110","7","Mar","0K","0","63","121","1139","0"
"01M110","7","Mar","PK","-1","34","65","615","0"
"01M110","8","Apr","01","1","53","39","809","0"
"01M110","8","Apr","02","2","54","40","808","0"
"01M110","8","Apr","03","3","48","40","728","0"
"01M110","8","Apr","04","4","58","32","896","0"
"01M110","8","Apr","05","5","72","35","1117","0"
"01M110","8","Apr","0K","0","63","77","931","0"
"01M110","8","Apr","PK","-1","34","37","491","0"
"01M110","9","May","01","1","53","55","1111","0"
"01M110","9","May","02","2","54","47","1124","0"
"01M110","9","May","03","3","48","67","989","0"
"01M110","9","May","04","4","58","52","1224","0"
"01M110","9","May","05","5","73","52","1544","0"
"01M110","9","May","0K","0","63","77","1309","0"
"01M110","9","May","PK","-1","33","46","672","0"
"01M110","10","Jun","01","1","53","63","732","0"
"01M110","10","Jun","02","2","54","57","746","0"
"01M110","10","Jun","03","3","48","61","659","0"
"01M110","10","Jun","04","4","58","58","812","0"
"01M110","10","Jun","05","5","73","99","996","0"
"01M110","10","Jun","0K","0","64","103","850","0"
"01M110","10","Jun","PK","-1","32","54","426","0"
"01M110","1","Sep","01","1","55","23","769","0"
"01M110","1","Sep","02","2","57","14","805","0"
"01M110","1","Sep","03","3","50","18","669","0"
"01M110","1","Sep","04","4","64","22","863","0"
"01M110","1","Sep","05","5","76","12","1050","0"
"01M110","1","Sep","0K","0","64","21","937","0"
"01M110","1","Sep","PK","-1","31","10","435","0"
"01M110","2","Oct","01","1","53","36","1074","0"
"01M110","2","Oct","02","2","55","43","1112","0"
"01M110","2","Oct","03","3","48","47","947","0"
"01M110","2","Oct","04","4","59","44","1168","0"
"01M110","2","Oct","05","5","74","41","1469","0"
"01M110","2","Oct","0K","0","64","78","1266","0"
"01M110","2","Oct","PK","-1","30","27","603","0"
"01M110","3","Nov","01","1","52","53","935","0"
"01M110","3","Nov","02","2","55","50","995","0"
"01M110","3","Nov","03","3","48","33","861","0"
"01M110","3","Nov","04","4","60","49","1043","0"
"01M110","3","Nov","05","5","72","47","1321","0"
"01M110","3","Nov","0K","0","65","107","1115","0"
"01M110","3","Nov","PK","-1","30","41","529","0"
"01M110","4","Dec","01","1","52","60","772","0"
"01M110","4","Dec","02","2","55","48","832","0"
"01M110","4","Dec","03","3","47","49","702","0"
"01M110","4","Dec","04","4","60","45","894","0"
"01M110","4","Dec","05","5","72","48","1104","0"
"01M110","4","Dec","0K","0","65","75","960","0"
"01M110","4","Dec","PK","-1","30","40","396","29"
"01M134","5","Jan","01","1","30","61","522","0"
"01M134","5","Jan","02","2","48","86","854","0"
"01M134","5","Jan","03","3","53","110","933","0"
"01M134","5","Jan","04","4","58","171","970","0"
"01M134","5","Jan","05","5","60","105","1079","4"
"01M134","5","Jan","0K","0","36","108","592","0"
"01M134","5","Jan","PK","-1","21","86","322","0"
"01M134","6","Feb","01","1","30","32","388","0"
"01M134","6","Feb","02","2","49","59","616","0"
"01M134","6","Feb","03","3","53","54","688","0"
"01M134","6","Feb","04","4","57","66","732","0"
"01M134","6","Feb","05","5","60","80","760","0"
"01M134","6","Feb","0K","0","37","50","429","0"
"01M134","6","Feb","PK","-1","18","54","192","0"
"01M134","7","Mar","01","1","32","65","567","0"
"01M134","7","Mar","02","2","49","92","855","0"
"01M134","7","Mar","03","3","54","102","975","0"
"01M134","7","Mar","04","4","58","130","1026","1"
"01M134","7","Mar","05","5","60","173","1027","0"
"01M134","7","Mar","0K","0","35","79","599","0"
"01M134","7","Mar","PK","-1","19","56","290","18"
"01M134","8","Apr","01","1","32","32","480","0"
"01M134","8","Apr","02","2","48","56","704","0"
"01M134","8","Apr","03","3","54","53","811","0"
"01M134","8","Apr","04","4","59","87","841","0"
"01M134","8","Apr","05","5","60","94","850","0"
"01M134","8","Apr","0K","0","35","53","499","0"
"01M134","8","Apr","PK","-1","19","41","263","0"
"01M134","9","May","01","1","33","74","630","0"
"01M134","9","May","02","2","50","86","978","0"
"01M134","9","May","03","3","54","82","1094","0"
"01M134","9","May","04","4","59","118","1166","0"
"01M134","9","May","05","5","59","109","1189","0"
"01M134","9","May","0K","0","36","87","691","0"
"01M134","9","May","PK","-1","19","65","332","0"
"01M134","10","Jun","01","1","32","86","394","0"
"01M134","10","Jun","02","2","49","118","617","0"
"01M134","10","Jun","03","3","53","91","703","0"
"01M134","10","Jun","04","4","60","179","706","0"
"01M134","10","Jun","05","5","60","189","696","0"
"01M134","10","Jun","0K","0","36","106","434","0"
"01M134","10","Jun","PK","-1","18","66","204","0"
"01M134","1","Sep","01","1","29","28","377","0"
"01M134","1","Sep","02","2","50","39","631","0"
"01M134","1","Sep","03","3","56","41","727","0"
"01M134","1","Sep","04","4","62","68","777","0"
"01M134","1","Sep","05","5","59","47","793","0"
"01M134","1","Sep","0K","0","42","69","501","0"
"01M134","1","Sep","PK","-1","20","17","257","0"
"01M134","2","Oct","01","1","27","37","530","0"
"01M134","2","Oct","02","2","47","61","891","0"
"01M134","2","Oct","03","3","53","58","1021","0"
