"neighborhood_tabulation_area","neighborhood_tabulation_area_1","borough_name","published_date","neighborhood_tabulation_area_2","pedestrian_corridor_area","number_of_wi_fi_hotspots","access_points_in_pedestrian","access_points_per_square","public_computer_centers_with"
"MN40","Upper East Side-Carnegie Hill","Manhattan","2019-05-30T00:00:00.000","0.72118","0.246","46","46","187","1"
"QN17","Forest Hills","Queens","2019-05-30T00:00:00.000","2.07845","0.152","24","24","158","5"
"QN26","North Corona","Queens","2019-05-30T00:00:00.000","0.64698","0.083","1","1","12","5"
"QN27","East Elmhurst","Queens","2019-05-30T00:00:00.000","0.70902","0.087","1","1","11","3"
"QN28","Jackson Heights","Queens","2019-05-30T00:00:00.000","1.72006","0.18","24","24","134","2"
"QN29","Elmhurst","Queens","2019-05-30T00:00:00.000","1.17441","0.113","29","29","257","2"
"QN31","Hunters Point-Sunnyside-West Maspeth","Queens","2019-05-30T00:00:00.000","3.6783","0.127","42","22","173","3"
"QN50","Elmhurst-Maspeth","Queens","2019-05-30T00:00:00.000","0.78812","0.058","12","10","173","0"
"QN53","Woodhaven","Queens","2019-05-30T00:00:00.000","1.32989","0.087","14","14","162","2"
"QN54","Richmond Hill","Queens","2019-05-30T00:00:00.000","1.83229","0.144","23","24","167","2"
"QN60","Kew Gardens","Queens","2019-05-30T00:00:00.000","0.73927","0.103","5","5","49","0"
"QN61","Jamaica","Queens","2019-05-30T00:00:00.000","1.70036","0.402","18","18","45","2"
"QN63","Woodside","Queens","2019-05-30T00:00:00.000","1.01529","0.071","7","5","71","1"
"QN70","Astoria","Queens","2019-05-30T00:00:00.000","1.41375","0.24","51","48","200","2"
"QN71","Old Astoria","Queens","2019-05-30T00:00:00.000","0.56142","0.112","6","6","53","2"
"SI14","Grasmere-Arrochar-Ft. Wadsworth","Staten Island","2019-05-30T00:00:00.000","1.47102","0.045","2","2","45","2"
"SI24","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill","Staten Island","2019-05-30T00:00:00.000","6.64548","0.36","2","2","6","2"
"SI25","Oakwood-Oakwood Beach","Staten Island","2019-05-30T00:00:00.000","2.01132","0.063","4","4","64","0"
"SI36","Old Town-Dongan Hills-South Beach","Staten Island","2019-05-30T00:00:00.000","2.40858","0.096","8","7","73","1"
"SI45","New Dorp-Midland Beach","Staten Island","2019-05-30T00:00:00.000","1.99254","0.169","18","14","83","1"
