"system","fountainty","position","painted","gispropnum","propertyna","parentid","borough","fountainco","department","decription","featuresta","the_geom"
"R129-DF0229","Indoor Drinking Fountain","Indoor",,"R129","Blood Root Valley","R129","R","1","R-02","Indoor Drinking Fountain, Indoor","Active","POINT (-74.13925361229164 40.591772415095875)"
"Q024-DF0641","A","Near Ballfield","No","Q024","Kissena Park","Q024-ZN03","Q","1","Q-07","A, Near Ballfield","Active","POINT (-73.81089096196408 40.7458655766431)"
"M028-DF0055","C","In Playground, Out in Open","No","M028","Fort Washington Park","M028-ZN01A","M","1","M-12","C, In Playground, Out in Open","Active","POINT (-73.94748355238498 40.84110416603371)"
"Q162H-DF0193","D","Near Ballfield","No","Q162H","Beach 30th Street Playground","Q162H","Q","1","Q-14","D, Near Ballfield","Active","POINT (-73.76382229409468 40.59270746802031)"
"Q163-DF0420","Trough","Out in Open","No","Q163","Rockaway Beach Boardwalk","Q163-ZN05B","Q","1","Q-14","Trough, Out in Open","Active","POINT (-73.80928066322126 40.584894257751394)"
"X159-DF0182","A","Under Tree, In Playground","Yes","X159","Playground 174","X159","X","1","X-09","A, Under Tree, In Playground","Active","POINT (-73.87780671522528 40.83451260489039)"
"B210A-DF0993","Bottle Filler High Low",,,"B210A","John Allen Payne Playground","B210A","B","3","B-07","Bottle Filler High Low,","Active","POINT (-74.0237062584764 40.639604763949876)"
"B073-DF0935","Bottle Filler High Low",,,"B073","Prospect Park","B073-ZN15","B","3","B-19","Bottle Filler High Low,","Active","POINT (-73.97577255385427 40.66016516783188)"
"Q306-DF0517","A","Under Tree, In Playground","Yes","Q306","The Painter's Playground","Q306","Q","1","Q-06","A, Under Tree, In Playground","Active","POINT (-73.85978446921648 40.72043656161517)"
"Q010A-DF0747","E and Dog","Out in Open","No","Q010A","Little Bay Park","Q010A-ZN01","Q","2","Q-07A","E and Dog, Out in Open","Active","POINT (-73.79278861514314 40.78789172162487)"
"Q015-DF0925","Indoor Drinking Fountain","Indoor",,"Q015","Forest Park","Q015-ZN06","Q","1","Q-16","Indoor Drinking Fountain, Indoor","Active","POINT (-73.85859782385609 40.700871898487314)"
"M144-DF0365","E","Near Ballfield","Yes","M144","John V. Lindsay East River Park","M144-ZN03","M","1","M-03","E, Near Ballfield","Active","POINT (-73.97474198078342 40.71573698704873)"
"M196-DF0436","A","Just Outside Playground, Near Ballfield, Under Tree","No","M196","Playground One","M196","M","1","M-03","A, Just Outside Playground, Near Ballfield, Under Tree","Active","POINT (-73.99727546182108 40.71214363615538)"
"M144-DF0352","E","Under Tree, Near Ballfield","Yes","M144","John V. Lindsay East River Park","M144-ZN01","M","1","M-03","E, Under Tree, Near Ballfield","Active","POINT (-73.97790068391477 40.71089241719022)"
"Q404-DF0789","A","In Playground","No","Q404","East Springfield Playground","Q404","Q","1","Q-13","A, In Playground","Active","POINT (-73.73998101275302 40.698671659257165)"
"M376-DF0060","Other","Under Tree","No","M376","West Harlem Piers","M376","M","1","M-14","Other, Under Tree","Active","POINT (-73.960257069936 40.819868791185094)"
"Q005-DF0315","A","Near Ballfield","No","Q005","Baisley Pond Park","Q005-ZN01","Q","1","Q-12","A, Near Ballfield","Active","POINT (-73.78644251478116 40.68137364107145)"
"X160-DF0132","C","In Playground","No","X160","Caserta Playground","X160","X","1","X-09","C, In Playground","Active","POINT (-73.85391291288138 40.83743206389537)"
"Q086-DF0082","D","Near Ballfield, Out in Open","No","Q086","Flushing Fields","Q086","Q","1","Q-07","D, Near Ballfield, Out in Open","Active","POINT (-73.81704463194201 40.774971888777046)"
"Q102-DF0408","C","In Playground","No","Q102","Juniper Valley Park","Q102-03","Q","1","Q-05","C, In Playground","Active","POINT (-73.88320112082361 40.718264172067386)"
"B073-DF1048","Indoor Drinking Fountain","Indoor",,"B073","Prospect Park","B073-ZN03","B","1","B-19","Indoor Drinking Fountain, Indoor","Active","POINT (-73.97370645920105 40.666899529466434)"
"M063-DF0966","Indoor Drinking Fountain","Indoor",,"M063","Gertrude Ederle Recreation Center","M063","M","1","M-07","Indoor Drinking Fountain, Indoor","Active","POINT (-73.98874073886917 40.77145868171096)"
"M010-DF0554","E","In Playground","Yes","M010","Central Park","M010-241","M","1","M-13","E, In Playground","Active","POINT (-73.9574322227746 40.799818550472324)"
"B145-DF0250","D","Just Outside Playground","No","B145","Thomas Greene Playground","B145","B","1","B-06","D, Just Outside Playground","Active","POINT (-73.9846498598929 40.68007126294695)"
"M263-DF0033","E","Near Ballfield","Yes","M263","Bellevue South Park","M263","M","1","M-06","E, Near Ballfield","Active","POINT (-73.9782881818933 40.73989282309585)"
"X243-DF0294","Trough","Out in Open","No","X243","Estella Diggs Park","X243","X","1","X-03","Trough, Out in Open","Active","POINT (-73.91699772228085 40.846110108752356)"
"Q099-DF0935","Indoor Drinking Fountain","Indoor",,"Q099","Flushing Meadows Corona Park","Q099-ZN10","Q","1","Q-15","Indoor Drinking Fountain, Indoor","Active","POINT (-73.83742404772734 40.75176191263366)"
"R105-DF0127","C","Near Ballfield","No","R105","Prall Playground","R105","R","1","R-01","C, Near Ballfield","Active","POINT (-74.11850633772839 40.62839876305807)"
"M071-DF0027","E","Out in Open, Under Tree","Yes","M071","Riverside Park","M071-ZN07","M","1","M-14","E, Out in Open, Under Tree","Active","POINT (-73.97944009542248 40.79156381745945)"
"B291-DF0633","C","Under Tree, Out in Open, In Playground","No","B291","Power Playground","B291","B","1","B-18","C, Under Tree, Out in Open, In Playground","Active","POINT (-73.9271327698568 40.618179133211136)"
"M005-DF0281","E","Under Tree","Yes","M005","The Battery","M005-ZN02","M","1","M-01","E, Under Tree","Active","POINT (-74.01676046873212 40.70289570636866)"
"X010-DF0504","J","Out_in_Open",,"X010","Crotona Park","X010","X","1","X-03","J, Out_in_Open","Active","POINT (-73.8980916702542 40.84037827710836)"
"B429-DF1145","Bottle Filler High Low",,"Yes","B429","Hope Ballfield","B429","B","3","B-04","Bottle Filler High Low,","Active","POINT (-73.91707787325163 40.69722792377995)"
"B128-DF0506","C","Under Tree, In Shade",,"B128","Colonel David Marcus Playground","B128","B","1","B-12","C, Under Tree, In Shade","Active","POINT (-73.97021424670208 40.609457975986984)"
"B243-DF0430","C","Out in Open, In Playground","No","B243","Golconda Playground","B243","B","1","B-02","C, Out in Open, In Playground","Active","POINT (-73.98286366019317 40.69770364603669)"
"B298-DF0859","CS Metal","Just Outside Playground",,"B298","Stockton Playground","B298","B","1","B-03","CS Metal, Just Outside Playground","Active","POINT (-73.94864625249735 40.697124314894495)"
"B057-DF1109","Indoor Drinking Fountain","Indoor",,"B057","Marine Park","B057-ZN01","B","1","B-18","Indoor Drinking Fountain, Indoor","Active","POINT (-73.93744851784878 40.60786155170257)"
"Q215-DF0110","A","Near Ballfield","No","Q215","Whitey Ford Field","Q215","Q","1","Q-01","A, Near Ballfield","Active","POINT (-73.93450701532001 40.777273057484464)"
"X151-DF0137","E","In Playground","Yes","X151","P.O. Serrano Playground","X151","X","1","X-09","E, In Playground","Active","POINT (-73.85046863486137 40.82357314632356)"
"MT03-DF1081","Bottle Filler Fountain","Indoor",,"MT03","Arsenal West","MT03","M","2","M-07","Bottle Filler Fountain, Indoor","Active","POINT (-73.98292001587743 40.769783520604335)"
"B390-DF0241","A","In Playground","No","B390","Mother Cabrini Park","B390","B","1","B-06","A, In Playground","Active","POINT (-74.00511839234181 40.684325661312634)"
"M190-DF1108","Indoor Drinking Fountain","Indoor",,"M190","Sheltering Arms Playground","M190","M","1","M-09","Indoor Drinking Fountain, Indoor","Active","POINT (-73.95541331542408 40.8150757280123)"
"X299-DF0496","Bottle Filler High Low",,,"X299","Little Claremont Playground","X299","X","3","X-03","Bottle Filler High Low,","Active","POINT (-73.9039598621644 40.83876305398165)"
"M010-DF0654","E","Near Ballfield, Under Tree, In Shade","Yes","M010","Central Park","M010-ZN37","M","1","M-13","E, Near Ballfield, Under Tree, In Shade","Active","POINT (-73.95786912244233 40.790269026737064)"
"Q423-DF0180","C","In Shade, Near Ballfield","Yes","Q423","Reiff Playground","Q423","Q","1","Q-05","C, In Shade, Near Ballfield","Active","POINT (-73.90135634575167 40.718378167514466)"
"Q099-DF0829","B","Under tree","No","Q099","Flushing Meadows Corona Park","Q099-ZN01","Q","1","Q-15","B, Under tree","Active","POINT (-73.84383447036267 40.763077697375266)"
"B124-DF0411","C","Under Tree, In Playground, In Shade","No","B124","William Sheridan Playground","B124","B","1","B-01","C, Under Tree, In Playground, In Shade","Active","POINT (-73.96398420401466 40.71546454022127)"
"M208C-DF0421","C","Under Tree, In Shade","No","M208C","Harlem River Park","M208C","M","1","M-11","C, Under Tree, In Shade","Active","POINT (-73.93458610654928 40.80794734464028)"
"Q340-DF0090","A","Under Tree, In Playground","No","Q340","Torsney Playground","Q340","Q","1","Q-02","A, Under Tree, In Playground","Active","POINT (-73.92265880599473 40.74721251432262)"
"Q106-DF0469","A","Out in Open","Yes","Q106","Daniel M. O'Connell Playground","Q106","Q","1","Q-12","A, Out in Open","Active","POINT (-73.75811304500806 40.700046640123205)"
"Q304-DF0527","A","Out in Open, In Playground","No","Q304","Ehrenreich-Austin Playground","Q304","Q","1","Q-06","A, Out in Open, In Playground","Active","POINT (-73.83713723108363 40.715919531263154)"
"B431-DF0946","Bottle Filler Fountain",,,"B431","Brooklyn Bridge Park","B431-01","B","2","B-02","Bottle Filler Fountain,","Active","POINT (-73.99014808405194 40.704065677164465)"
"B223JC-DF0209","A","Out in Open","Yes","B223JC","Bridge Park 3","B223JC","B","1","B-02","A, Out in Open","Active","POINT (-73.98487308956838 40.70045155521345)"
"Q046-DF0601","D","Just Outside Playground",,"Q046","Josephine Caminiti Playground","Q046","Q","1","Q-04","D, Just Outside Playground","Active","POINT (-73.86166462986172 40.74376524038761)"
"B073-DF0377","Bottle Filler High Low","Out in Open","No","B073","Prospect Park","B073-ZN04","B","3","B-19","Bottle Filler High Low, Out in Open","Active","POINT (-73.9787995932386 40.66157561227534)"
"Q448-DF0879","D","Out_in_Open",,"Q448","Roy Wilkins Recreation Center","Q448-ZN03","Q","1","Q-12","D, Out_in_Open","Active","POINT (-73.77412874805688 40.687510018118445)"
"X255-DF0205","B","Near Ballfield","Yes","X255","Bill Rainey Park","X255","X","1","X-02","B, Near Ballfield","Active","POINT (-73.89884513668771 40.818077774820196)"
"B055-DF0771","C","Under Tree, In Shade, In Playground","No","B055","Sternberg Park","B055","B","1","B-01","C, Under Tree, In Shade, In Playground","Active","POINT (-73.94737153124885 40.705659686822244)"
"Q413-DF0150","A","Under Tree","No","Q413","Rochdale Park","Q413","Q","1","Q-12","A, Under Tree","Active","POINT (-73.77340260788353 40.674942242890886)"
"B169-DF0590","E","Out in Open","No","B169","Coney Island Beach & Boardwalk","B169-ZN04B","B","1","B-13","E, Out in Open","Active","POINT (-73.97615204446086 40.57345080416013)"
"B008-DF0022","F High Low","Out in Open","Yes","B008","Betsy Head Park","B008-03","B","2","B-16","F High Low, Out in Open","Active","POINT (-73.91173560511743 40.66425995354405)"
"M015-DF0439","A","Under Tree, Near Ballfield, Just Outside Playground","Yes","M015","Columbus Park","M015","M","1","M-01","A, Under Tree, Near Ballfield, Just Outside Playground","Active","POINT (-73.9997552693635 40.714191230993706)"
"Q300-DF0633","CS Metal","In Playground","No","Q300","Kissena Corridor Park","Q300-04","Q","1","Q-07","CS Metal, In Playground","Active","POINT (-73.81482626014056 40.74345111891934)"
"B223DJ-DF0945","E",,,"B223DJ","Brooklyn Heights Promenade","B223DJ","B","1","B-02","E,","Active","POINT (-73.99617593696658 40.699688104056406)"
"B166D-DF0828","D","Under Tree, In Shade, Near Ballfield","No","B166D","McGuire Fields","B166D","B","1","B-18","D, Under Tree, In Shade, Near Ballfield","Active","POINT (-73.90015873986698 40.61941288294649)"
"B268-DF0354","C","Out in Open, Near Ballfield, In Playground","No","B268","Nautilus Playground","B268","B","1","B-13","C, Out in Open, Near Ballfield, In Playground","Active","POINT (-73.99652254282589 40.57171403113369)"
"Q021-DF0509","A","Out in Open, Near Ballfield","No","Q021","Cunningham Park","Q021-ZN03","Q","1","Q-08","A, Out in Open, Near Ballfield","Active","POINT (-73.7695484645158 40.734615746510585)"
"M010-DF0586","E","Under Tree, Out in Open","Yes","M010","Central Park","M010-ZN10&11","M","1","M-13","E, Under Tree, Out in Open","Active","POINT (-73.97683075347074 40.771759283200275)"
"Q021B-DF0435","C","In Playground","No","Q021B","McLaughlin Playground","Q021B","Q","1","Q-08","C, In Playground","Active","POINT (-73.76627100776184 40.725434083110954)"
"Q015-DF0897","A",,,"Q015","Forest Park","Q015-ZN05","Q","1","Q-16","A,","Active","POINT (-73.85557480689319 40.70054419879648)"
"B068-DF0513","E","Out in Open","No","B068","Parade Ground","B073-ZN27","B","1","B-14","E, Out in Open","Active","POINT (-73.96990721568723 40.648963415931405)"
"M045-DF0223","A","Out in Open","Yes","M045","John Jay Park","M045","M","1","M-08","A, Out in Open","Active","POINT (-73.94981936556829 40.76894503025153)"
"Q127-DF0298","D","In Playground","No","Q127","Marconi Park","Q127","Q","1","Q-12","D, In Playground","Active","POINT (-73.79546503749 40.69403327309522)"
"M056-DF0461","C","Near Ballfield, Just Outside Playground","No","M056","Morningside Park","M056-ZN01","M","1","M-09","C, Near Ballfield, Just Outside Playground","Active","POINT (-73.95877004627857 40.80298224772209)"
"M010-DF0559","B","Out in Open","No","M010","Central Park","M010-ZN15","M","1","M-13","B, Out in Open","Active","POINT (-73.9677196444497 40.772583458265885)"
"R045-DF0024","Trough","Just Outside Playground","No","R045","Schmul Park","R045-01","R","1","R-02","Trough, Just Outside Playground","Active","POINT (-74.18793961253452 40.590134200366705)"
"M164-DF0451","E High Low","Under Tree, Near Ballfield, Just Outside Playground","Yes","M164","Asser Levy Playground","M164","M","2","M-06","E High Low, Under Tree, Near Ballfield, Just Outside Playground","Active","POINT (-73.97575820330825 40.73655781199586)"
"B073-DF1050","CS Metal","Indoor",,"B073","Prospect Park","B073","B","1","B-19","CS Metal, Indoor","Active","POINT (-73.96546888381246 40.66536474390884)"
"B153-DF0150","C","In Playground","Yes","B153","South Pacific Playground","B153","B","1","B-16","C, In Playground","Active","POINT (-73.92045244963452 40.67547440061663)"
"Q099-DF0830","C","Out in Open","No","Q099","Flushing Meadows Corona Park","Q099-ZN01","Q","1","Q-15","C, Out in Open","Active","POINT (-73.84493954059175 40.762454009429796)"
"Q346-DF0608","A","Near Ballfield","Yes","Q346","Challenge Playground","Q346","Q","1","Q-11","A, Near Ballfield","Active","POINT (-73.7281105055527 40.75678858046976)"
"M217-DF0544","A","Under Tree, In Playground, Near Ballfield","Yes","M217","Howard Bennett Playground","M217","M","1","M-10","A, Under Tree, In Playground, Near Ballfield","Active","POINT (-73.93872857923715 40.81384602181845)"
"M041-DF0495","D","Under Tree, In Playground, Near Ballfield","No","M041","Alexander Hamilton Playground","M041","M","1","M-09","D, Under Tree, In Playground, Near Ballfield","Active","POINT (-73.95141488253765 40.82300621000368)"
"M391-DF0332","Pedestal","In Shade","No","M391","East River Waterfront Esplanade","M391","M","1","M-01","Pedestal, In Shade","Active","POINT (-74.00694261723046 40.70355945336488)"
"X188-DF0002","CS Metal","In Shade, In Playground","No","X188","Wakefield Playground","X188","X","1","X-12","CS Metal, In Shade, In Playground","Active","POINT (-73.85475746204509 40.90178955671087)"
"MZ02-DF0870","F High Low",,,"MZ02",,"MZ02","M","2","M-02","F High Low,","Active","POINT (-74.00454280686739 40.72498333698415)"
"R061-DF0068","E","In Playground","Yes","R061","Stapleton Playground","R061","R","1","R-01","E, In Playground","Active","POINT (-74.0792508385633 40.62266148329362)"
"B035-DF0700","A","Under Tree, Out in Open","No","B035","John Paul Jones Park","B035","B","1","B-10","A, Under Tree, Out in Open","Active","POINT (-74.03290067954666 40.61089027489943)"
"B236-DF0514","CS Concrete","Under Tree, Out in Open, Just Outside Playground","Yes","B236","Glenwood Playground","B236","B","1","B-18","CS Concrete, Under Tree, Out in Open, Just Outside Playground","Active","POINT (-73.92011111970969 40.63663302771567)"
"B151-DF0508","E","In Playground, Out in Open","No","B151","Dome Playground","B151","B","1","B-12","E, In Playground, Out in Open","Active","POINT (-73.9801436954374 40.63809872465218)"
"M047-DF0404","C","Near Ballfield, Under Tree","No","M047","Thomas Jefferson Park","M047","M","1","M-11","C, Near Ballfield, Under Tree","Active","POINT (-73.93648087648654 40.79395993245928)"
"B126-DF1077","Indoor Drinking Fountain","Indoor",,"B126","Red Hook Recreation Area","B126","B","1","B-06","Indoor Drinking Fountain, Indoor","Active","POINT (-74.00404472482211 40.67238288416279)"
"M010-DF0669","E","Under Tree, In Shade","Yes","M010","Central Park","M010-ZN42&43","M","1","M-13","E, Under Tree, In Shade","Active","POINT (-73.94991467190484 40.79682749793061)"
"Q163-DF0823","A","In Playground","No","Q163","Rockaway Beach Boardwalk","Q163-20","Q","1","Q-14","A, In Playground","Active","POINT (-73.80879690388855 40.58543673548413)"
"Q353-DF0203","Bottle Filler High Low","In Playground","No","Q353","Grassmere Playground","Q353","Q","3","Q-14","Bottle Filler High Low, In Playground","Active","POINT (-73.75927054805454 40.59960247347979)"
"B206-DF0634","B","Out in Open, In Playground","Yes","B206","Sunners Playground","B206","B","1","B-18","B, Out in Open, In Playground","Active","POINT (-73.92956440427976 40.632596873743054)"
"R024-DF0062","C","Under Tree",,"R024","Tompkinsville Park","R024","R","1","R-01","C, Under Tree","Active","POINT (-74.07651675902791 40.637418191033575)"
"B210B-DF0530","A","In Playground","Yes","B210B","D'Emic Playground","B210B","B","1","B-07","A, In Playground","Active","POINT (-74.00463996804507 40.6559666909907)"
"X039-DF0088","C","Out in Open","No","X039","Pelham Bay Park","X039-ZN18","X","1","X-15","C, Out in Open","Active","POINT (-73.79440808857389 40.86588424927552)"
"Q005-DF0840","A","In_Playground",,"Q005","Baisley Pond Park","Q005-05","Q","1","Q-12","A, In_Playground","Active","POINT (-73.78651840774822 40.68486216105866)"
"B259-DF0710","CS Concrete","Just Outside Playground","Yes","B259","Underwood Park","B259","B","1","B-02","CS Concrete, Just Outside Playground","Active","POINT (-73.96671726587589 40.68883864711972)"
"Q084A-DF0312","B","Out in Open","Yes","Q099","Flushing Meadows Corona Park","Q099","Q","1","Q-15","B, Out in Open","Active","POINT (-73.85374185989517 40.76008516417603)"
"Q015-DF0005","A","Under Tree",,"Q015","Forest Park","Q015-ZN04","Q","1","Q-16","A, Under Tree","Active","POINT (-73.85441680836135 40.701215730370336)"
"X039-DF0023","F High Low","Near Ballfield","No","X039","Pelham Bay Park","X039-ZN04","X","2","X-15","F High Low, Near Ballfield","Active","POINT (-73.81988311720148 40.851077255658524)"
"M103-DF0986","Indoor Drinking Fountain","Indoor",,"M103","Tony Dapolito Recreation Center","M103","M","1","M-02","Indoor Drinking Fountain, Indoor","Active","POINT (-74.00543462757858 40.72962915757688)"
"M081-DF0258","E and Dog","Under Tree","No","M081","Carl Schurz Park","M081-ZN02","M","2","M-08","E and Dog, Under Tree","Active","POINT (-73.94301797781716 40.77572134079004)"
"B080-DF0799","A","Out in Open, In Playground","No","B080","Asser Levy Park","B080","B","1","B-13","A, Out in Open, In Playground","Active","POINT (-73.97222691113014 40.574324440546995)"
"Q009-DF0647","C","Under Tree, In Playground","No","Q009","Hermon A. MacNeil Park","Q009-01","Q","1","Q-07","C, Under Tree, In Playground","Active","POINT (-73.85151666649465 40.793514362596504)"
"X118-DF0146","Trough High Low","Near Ballfield","No","X118","Soundview Park","X118-ZN04","X","2","X-09","Trough High Low, Near Ballfield","Active","POINT (-73.87782604036218 40.818926274770185)"
"B295-DF0231","E","Under Tree, In Shade, Out in Open, In Playground","Yes","B295","Oxport Playground","B295","B","1","B-02","E, Under Tree, In Shade, Out in Open, In Playground","Active","POINT (-73.97644941628674 40.697711186914724)"
"B372-DF0258","C","In Playground","No","B372","Friends Field","B372","B","1","B-12","C, In Playground","Active","POINT (-73.97267765700633 40.61881914216551)"
"M105-DF0218","C","Under Tree","No","M105","Sara D. Roosevelt Park","M105","M","1","M-03","C, Under Tree","Active","POINT (-73.99248876480674 40.7202990819864)"
"M273-DF1069","CS Metal",,,"M273","Wagner Houses Pool","M273","M","1","M-11","CS Metal,","Active","POINT (-73.93300120227777 40.801769023975574)"
"B032-DF0323","B","Out in Open","No","B032","Fort Greene Park","B032-ZN02","B","1","B-02","B, Out in Open","Active","POINT (-73.97533594931137 40.69064605174568)"
