"project_id","description","client_agency","division","phase","projected_construction_completion","scope","dollar_amount","status"
"CO283TOIL","100 CENTRE ST.- CODE COMPLIANT TOILET UPGRADE","DCAS","Public Buildings","Design","2022-11-28T00:00:00.000","ADA & Code Compliant Public Restroom/Holding Cell Toilet Upgrade/Renovations","$3M to 10M","Active"
"CO285FIRE","60 LAFAYETTE ST - FIRE ALARM UPGRADE","DCAS","Public Buildings","Design","2024-01-29T00:00:00.000","Upgrade of the Fire Alarm system","$10M to 30M","Active"
"CO290BCHJ","BCHJ-Post Construction Work","DCAS","Public Buildings","Construction","2021-02-09T00:00:00.000","Remediation work at the Bronx County Hall of Justice as indicated in the Project Objectives, Exhibit C.  Work includes HVAC, roof leaks, glass breakage, intumescent paint, plumbing and audio/visual.","$30M to 100M","Active"
"CO290BCHJ-2","BCHJ-Post Construction Work","DCAS","Public Buildings","Construction","2020-01-11T00:00:00.000","BRONX HALL OF JUSTICE POST CONSTRUCTION BID PACKAGE 2-
HVAC AIRFLOW ISSUES
This scope includes the installation of a new transfer air fan and associated ductwork with sound attenuation on the inlet and outlet of a fan serving the Judge’s Lounge located at the 7th Floor.  New transfer air ducts are being installed on floors 2, 7 & 8 to assist in the proper function of the return air system. Additional fan coil units are being installed to serve several rooms on the 8th floor & the 7th floor elevator lobby.

ENGINATOR EXHAUST HEAT
This scope involves a means of venting excessive heat that builds up in a shaft way that houses the enginator exhaust pipe that begins in lower level 2 up and out through the roof of the building. The heat emanates through the shaft way walls into the building.  This will be accomplished by installing a new exhaust fan and a makeup air fan that pumps outside air into the shaft way.

CURTAINWALL SHADOW BOX HEAT TRANSFER
Original design created conditions where curtain wall mullions heated to temperatures in excess of 110 F. This scope of works involves installing new metal stud with sheetrock finishes over interior curtain wall mullions. Affected locations are portions of the 2nd floor east side exposure.

WATER PENETRATION THROUGH UNDERGROUND CONDUITS
An existing underground conduit experienced water infiltration which caused those conductors to fail. Those conductors are going to be removed and the conduit abandoned. A new above ground path has been designed for the new feeder.

INTERIOR GLASS REPLACEMENT
Replace 4 sections of glazing at Stair A and 1 section at Stair B.

CONDENSER WATER SYSTEM WITH THREE ROOF TOP DRY COOLERS
Furnish and install a complete new A/C condenser cooling glycol system that includes roof top dry coolers and associated piping. This new system will serve chilled water A/C units in IT closets and elevator machine rooms throughout the building.","$30M to 100M","Active"
"CO293LL11","851 GRAND CONCOURSE - FACADE RECONSTRUCTION","DCAS","Public Buildings","Design","2023-05-02T00:00:00.000","851 GRAND CONCOURSE - FACADE REPAIRS LOCAL LAW 11","$10M to 30M","Active"
"CO293SP","851 GRAND CONCOURSE - FIRE PROTECTION/SPRINKLERS","DCAS","Public Buildings","Design","2023-12-13T00:00:00.000","Provide new addressable non-proprietary Fire Detection & Alarm system in full compliance with the 2008/2014 fire code, Local Law 5, Local Law 26 and all codes related to fire and life safety in the City of New York; provide new sprinkler system prior to 2019 as mandated by Local Law 26.
The project is necessary to replace the existing Edwards EST3 Fire Alarm system (originally installed in 1992 - beyond the life expectancy) in over 70-years old Landmark in full compliance with all latest applicable codes and regulations & provide new sprinkler system prior to 2019 as mandated by Local Law 26","$30M to 100M","Active"
"CO295EV","1118 GRAND CONCOURSE - ELEVATORS","DCAS","Public Buildings","Design","2023-10-28T00:00:00.000","1118 GRAND CONCOURSE - ELEVATORS","$3M to 10M","Active"
"CO296ELEC","125-01 QUEENS BLVD - ELECTRICAL UPGRADES","DCAS","Public Buildings","Design","2023-12-11T00:00:00.000","Upgrade of the Electrical and Fire Alarm systems at Queens Criminal Court","$30M to 100M","Active"
"CO296RF","125-01 QUEENS BLVD.- ROOF","DCAS","Public Buildings","Design","2022-09-23T00:00:00.000","Roof Replacement","$1M to 3M","Active"
"CO299EXT2","89-17 SUTPHIN BLVD.- PLAZA/SIDEWALK RECONSTRUCTION","DCAS","Public Buildings","Design","2023-06-29T00:00:00.000","89-17 SUTPHIN BLVD.- PLAZA/SIDEWALK RECONSTRUCTION","$3M to 10M","Active"
"CO299FIRE","89-17 SUTPHIN BLVD - FIRE ALARM DESIGN & REPLACEMENT","DCAS","Public Buildings","Design","2025-04-18T00:00:00.000","89-17 Sutphin Blvd  Fire alarm replacement","$3M to 10M","Active"
"CO301LL","130 STUYVESANT PL - FACADE REPAIRS LOCAL LAW 11","DCAS","Public Buildings","Design","2022-07-29T00:00:00.000","The scope of this project is to reconstruct the entire envelope including the restoration of the curtain wall system on the north, east and west facades, the reconstruction of the masonry walls at the south façade and bulkhead, replacement of the roofs at each level and related work required at the roof parapets, copings and railings.","$3M to 10M","Active"
"CO301PD","130 STUYVESANT PL.- PARKING GARAGE DECK","DCAS","Public Buildings","Design","2022-07-29T00:00:00.000","The scope of this project is to renovate the surface deck of the parking garage attached to the Mark A. Costantino Judicial Center. The project scope includes replacement of the top deck waterproofing membrane and wear surfacing, the replacement of flashing at all mechanical penetrations, and the replacement of the parking surface on-grade continuous with the top parking deck. Also included will be new parking deck drains, new surface lighting, installation of automatic pop-up vehicle access gates and modification of vertical access to the building entrance from the parking deck for ADA accessibility will be part of this project.","$3M to 10M","Active"
"CO302ST","18 RICHMOND TERRACE -  EXTERIOR STEPS RECONSTRUCTION","DCAS","Public Buildings","Design","2022-02-15T00:00:00.000","18 RICHMOND TERRACE -  RECONSTRUCTION EXTERIOR STEPS TO REMOVE ALL HAZARDOUS CONDITIONS","$1M to 3M","Active"
"CO304REHB","60 CENTRE ST. - RECONSTRUCTION","DCAS","Public Buildings","Design","2024-07-17T00:00:00.000","60 CENTRE - RECONSTRUCTION OF BUILDING -  BASEMENT, ROOF AND FACADE","$10M to 30M","Active"
"CRO-AGS","CROTON ABOVE-GROUND STRUCTURE AND LANDSCAPING","ENVIRONMENTAL PROTECTION","Public Buildings","Construction","2021-03-18T00:00:00.000","The new Mosholu Golf Course Club House, together with fifty-five Driving Range Tee Boxes and ten-acres of re-landscaping comprise the phase IV and final of the vast DEP Croton Water Treatment Plant project, currently under construction in Van Cortlandt Park in the Bronx. Through a multifunctional design strategy the project reinstates the pre-existing golf program and facility, creates civic space for community use and ensures security for a multi-billion dollar public works facility.","$30M to 100M","Active"
"E14-0003A","DCAS - BRONX FAMILY CRIMINAL COURT-ENERGY UPGRADE","DCAS","Public Buildings","Closeout","2019-11-27T00:00:00.000","This is a secondary project ID which relates to  E14-0003. This  secondary ID (E14-0003A)  will only track the Bronx Family and Criminal Court ANNEX Building.
The Annex/Garage portion of the main Family and Criminal Court building in the Bronx includes 6 levels of approximately 20,000 square feet each, for a total of 120,000 square feet of floor area. The first 4 levels of the building consist of Garage and the upper 2 levels consist of office space.","$3M to 10M","Active"
"E14-0017A","DHS - Bellevue Men's Shelter","DCAS","Public Buildings","Construction","2020-04-24T00:00:00.000","DHS - Bellevue Men's Shelter-COMPREHENSIVE ENERGY UPGRADE.","$3M to 10M","Active"
"E16-0002","DCAS - Queens Civil Court","DCAS","Public Buildings","Procurement","2022-01-30T00:00:00.000","Energy efficiency upgrades at Queens Civil Court.  Upgrades will include work on HVAC and Electrical systems.","$3M to 10M","Active"
"E16-0003","DCAS - Manhattan Civil Court","DCAS","Public Buildings","Procurement","2022-01-30T00:00:00.000","Manhattan Civil Court Comprehensive Energy Efficiency HVAC upgrade","$3M to 10M","Active"
"E16-0004","DSNY - Queens  7  District Garage Annex","DCAS","Public Buildings","Construction","2020-06-30T00:00:00.000","Queens  7  District Garage Annex Energy Efficiency Upgrades consisting of Lighting upgrades, Installation of Rapid Roll Doors.","$1M to 3M","Active"
"E16-0004A","DSNY - Queens  7  District Garage Annex","DCAS","Public Buildings","Construction","2021-09-15T00:00:00.000","This is a secondary project ID which relates to E16-0004. This secondary ID (E16-0004A) will only track Energy Efficiency Building Envelope Upgrade at Queens District 7 Garage. The scope of work for DSNY Queens District 7 Garage is to improve the energy efficiency of the building with installation of new rapid roll doors.  The new doors will improve the building envelop and reduce energy consumption.","$1M to 3M","Active"
"E16-0005","DSNY -Manhattan 3 District Garage","DCAS","Public Buildings","Construction","2021-09-15T00:00:00.000","Manhattan 3 District Efficiency Upgrades consisting of Garage Lighting Upgrades, HVAC Demand Control Ventilation, Installation of Rapid Roll Doors.","$1M to 3M","Active"
"PV209-SEC","JCM - Jewish Childrens Museum Security Cameras","CULTURAL AFFAIRS","Public Buildings","Construction","2022-12-30T00:00:00.000","Jewish Childrens Museum Security Cameras. $171K (OcL 22) and $128K (OcL 29) transferred from 126 PV467-EMR DCLA Emergency funding and $1K (OcL 17) from 126 PV510ATTC at EX 4/17 cjs.","$1M or less","Active"
"E16-0005A","DSNY -Manhattan 3 District Garage","DCAS","Public Buildings","Construction","2021-09-15T00:00:00.000","This is a secondary Project ID which relates to E16-0005. This Secondary ID will only track DSNY Manhattan District 3 Garage– Energy Efficiency Building Envelope Upgrade.The scope of work is to improve the energy efficiency of the building with installation of new rapid roll doors.  The new doors will improve the building envelop and reduce energy consumption.","$1M to 3M","Active"
"E17-0001","DCAS - LOUIS J LEFKOWITZ  - ENERGY EFFICIENCY UPGRADE","DCAS","Public Buildings","Design","2023-07-31T00:00:00.000","Lighting upgrade, occupancy sensors, DCV, thermostatic radiator valves, and
condensate heat recovery

Energy Efficiency project to improve building performance and reduce energy
consumption and greenhouse gas.","$1M to 3M","Active"
"E17-0006","DSNY - BROOKLYN NORTH 1 DISTRICT &4  DISTRICT GARAGE","DCAS","Public Buildings","Design","2024-01-10T00:00:00.000","Lighting and controls upgrade, solar PV installation, battery storage, 
new BMS, demand controlled ventilation, HVAC controls and geothermal
heat pumps.","$10M to 30M","Active"
"F175EC268","NEW FIREHOUSE - EC268","FIRE","Public Buildings","Initiation","2023-07-12T00:00:00.000","NEW FIREHOUSE - EC268","$10M to 30M","Active"
"F175EMS17","EMS Station 17 - New Facility","FIRE","Public Buildings","Design","2022-08-19T00:00:00.000","EMS Station 17 - New Facility","$10M to 30M","Active"
"HAM17MRCC","MARCY HOUSES - RENOVATE 492 MARCY AVE  INTO  A COMM CENTER","HPD","Public Buildings","Construction","2020-05-22T00:00:00.000","New 3,500 SF Community Center located in the Marcy Houses (NYCHA) in Brooklyn.","$3M to 10M","Active"
"HAM18MHCC","Mariner's Harbor Community Center","HPD","Public Buildings","NA","2023-04-03T00:00:00.000","Mariner's Harbor Community Center - Renovate space in NYCHA Housing Complex at Mariner's Harbor into a Community Center.","$3M to 10M","Active"
"HH112AAFS","ATLANTIC ARMORY FIRE SAFETY","HOMELESS SERVICES","Public Buildings","Design","2022-01-20T00:00:00.000","HH112AAFS
Atlantic Avenue Armory Fire Safety","$3M to 10M","Active"
"HH112BDFA","BORDEN AVENUE FIRE SAFETY","HOMELESS SERVICES","Public Buildings","Construction","2020-01-31T00:00:00.000","Installation of new building wide fire alarm system for Borden Avenue Veteran's Shelter","$1M or less","Active"
"HH112BEES","BELLEVUE - ELECT SVC UPGRADE","HOMELESS SERVICES","Public Buildings","Construction","2021-05-08T00:00:00.000","BELLEVUE - ELECT SVC UPGRADE","$10M to 30M","Active"
"HH112BEES-G","BELLEVUE - ELECT SVC UPGRADE","HOMELESS SERVICES","Public Buildings","Construction","2021-05-08T00:00:00.000","Electrical Service upgrade and Installation of new Generator at Bellevue Men's Shelter.","$10M to 30M","Active"
"HH112BEGE","BELLEVUE - GENERATOR","HOMELESS SERVICES","Public Buildings","Construction","2021-05-08T00:00:00.000","Install natural gas fired emergency generator for building life safety and elevators.","$1M or less","Active"
"HH112BLBR","BELLEVUE BATHROOMS RECONSTRUCTION","HOMELESS SERVICES","Public Buildings","Design","2023-07-28T00:00:00.000","The purpose of the project a complete upgrade of all the bathroom throughout the facility  for clients, staff and the general public in the facility.","$10M to 30M","Active"
"HH112BLCY","BELLEVUE COURTYARD","HOMELESS SERVICES","Public Buildings","Initiation","2022-11-25T00:00:00.000","Reconstruct Courtyard at Bellevue Shelter","$3M to 10M","Active"
"HH112BLEN","BELLEVUE MAIN ATRIUM","HOMELESS SERVICES","Public Buildings","Initiation","2023-03-17T00:00:00.000","BELLEVUE MEN'S RESIDENCE- RECONSTRUCT ATRIUM AREA","$3M to 10M","Active"
"HH112BLFS","BELLEVUE MEN'S RESIDENCE- FIRE SAFETY","HOMELESS SERVICES","Public Buildings","Design","2022-11-28T00:00:00.000","Borden Avenue Fire Safety","$10M to 30M","Active"
"HH112BLRR","BELLEVUE ROOF/ FACADE","HOMELESS SERVICES","Public Buildings","Construction","2021-02-26T00:00:00.000","Building envelope rehabilitation with roof and window replacement.","$30M to 100M","Active"
"HH112BLRRFW","BELLEVUE ROOF/ FACADE","HOMELESS SERVICES","Public Buildings","Procurement","2022-03-01T00:00:00.000","Bellevue Facade Rehab & Window Replacement","$30M to 100M","Active"
"HH112BLRR-FW","BELLEVUE ROOF/ FACADE","HOMELESS SERVICES","Public Buildings","Design","2023-07-04T00:00:00.000","Façade and Window Replacement at Bellevue Men's Shelter","$30M to 100M","Active"
"HH112BVFA","BROWNSVILLE WOMEN FIRE SAFETY","HOMELESS SERVICES","Public Buildings","Procurement","2021-10-15T00:00:00.000","Brownsville Women's Fire Safety","$1M to 3M","Active"
"HH112CGIU","Keener Assessment Shelter - Fire Alarm Upgrade","HOMELESS SERVICES","Public Buildings","Procurement","2021-01-15T00:00:00.000","The purpose of the project is to have a Code compliant fire alarm system (meet FDNY AND the State OTDA standards) and protect the multiple clients, staff and the general public in the facility.","$1M or less","Active"
"HH112CTFS","CLARKE THOMAS FIRE SAFETY","HOMELESS SERVICES","Public Buildings","Design","2021-08-13T00:00:00.000","Clarke Thomas Fire Safety","$1M or less","Active"
"HH112CWFR","COMMONWEALTH AVENUE FIRE SAFETY SYSTEM","HOMELESS SERVICES","Public Buildings","Construction","2020-04-23T00:00:00.000","Commonwealth Avenue; Fire Safety System","$1M to 3M","Active"
"HH112FBFS","FANNIE BARNES FIRE SAFETY","HOMELESS SERVICES","Public Buildings","Design","2022-02-24T00:00:00.000","Fannie Barnes: Fire Safety","$3M to 10M","Active"
"HH112FTRF","FT. WASHINGTON ARMORY ROOF REPLACEMENT","HOMELESS SERVICES","Public Buildings","Design","2022-07-22T00:00:00.000","Roof replacement","$10M to 30M","Active"
"HH112FWFA","FT. WASHINGTON - FIRE ALARM","HOMELESS SERVICES","Public Buildings","Procurement","2022-07-15T00:00:00.000","HH112FWFA: Fort Washington Armory - Fire Alarm Upgrade","$3M to 10M","Active"
"HH112HMFA","HARLEM 1 FIRE SAFETY","HOMELESS SERVICES","Public Buildings","Procurement","2021-09-17T00:00:00.000","The purpose of the project is to have a Code  compliant fire alarm system (meet FDNY and the State OTDA standards) and protect the multiple clients, staff and the general public in the facility.","$1M or less","Active"
"HH112HSFA","HELP SEC - FIRE SAFETY","HOMELESS SERVICES","Public Buildings","Design","2022-01-14T00:00:00.000","The purpose of the project is to have a Code compliant fire alarm system (meet FDNY AND the State OTDA standards) and protect the multiple clients, staff and the general public in the facility.","$1M to 3M","Active"
"HH112HWFS","HELP WOMEN'S CENTER FIRE SAFETY","HOMELESS SERVICES","Public Buildings","Design","2021-03-18T00:00:00.000","The purpose of the project is to have a Code compliant fire alarm system (meet FDNY AND the State OTDA standards) and protect the multiple clients, staff and the general public in the facility.","$1M to 3M","Active"
"HH112KEFA","Kenton Hall Fire Safety","HOMELESS SERVICES","Public Buildings","Procurement","2021-06-18T00:00:00.000","The purpose of the project is to upgrade the existing fire alarm system. The current system does not comply with Code and has had numerous OTDA violations related to the fire alarm system. The fire alarm system has not been approved by FDNY","$1M to 3M","Active"
"HH112KELC","282 EAST 3RD STREET -  ELECTRICAL UPGRADE","HOMELESS SERVICES","Public Buildings","Design","2022-08-18T00:00:00.000","EAST 3RD STREET - KITCHENS AND ELECTRICAL UPGRADE","$3M to 10M","Active"
"HH112LXFA","85 LEXINGTON FIRE SAFETY SYSTEM","HOMELESS SERVICES","Public Buildings","Construction","2020-07-15T00:00:00.000","The purpose of the project is to have a Code compliant fire alarm system (meet FDNY AND the State OTDA standards) and protect the multiple clients, staff and the general public in the facility.","$1M or less","Active"
"HH112PJBO","PAMOJA - BOILER","HOMELESS SERVICES","Public Buildings","Design","2022-12-02T00:00:00.000","Boiler replacement.","$3M to 10M","Active"
"HH112PJFC","PAMOJA HOUSE - FACADE REHABILITATION/RESTORATION","HOMELESS SERVICES","Public Buildings","Design","2023-05-03T00:00:00.000","PAMOJA HOUSE - FACADE REHABILITATION/RESTORATION","$3M to 10M","Active"
"HH112PJPL","PAMOJA HOUSE - PLUMBING UPGRADE","HOMELESS SERVICES","Public Buildings","Design","2023-01-27T00:00:00.000","PAMOJA HOUSE - PLUMBING UPGRADE","$1M to 3M","Active"
"HH112PJRC","PAMOJA  HOUSE FIRE SAFETY","HOMELESS SERVICES","Public Buildings","Design","2023-06-13T00:00:00.000","The purpose of the project is to upgrade the existing fire alarm system. The current system does not comply with Code and has had numerous OTDA violations related to the fire alarm system. The fire alarm system has not been approved by FDNY","$3M to 10M","Active"
"HH112SWFA","SCHWARTZ WARDS ISLAND FIRE SAFETY","HOMELESS SERVICES","Public Buildings","Design","2021-08-20T00:00:00.000","The purpose of the project is to upgrade the existing fire alarm system. The current system does not comply with Code and has had numerous OTDA violations related to the fire alarm system. The fire alarm system has not been approved by FDNY","$1M to 3M","Active"
"HH112THFA","8 EAST THIRD ST SHELTER FIRE SAFETY","HOMELESS SERVICES","Public Buildings","Design","2021-07-16T00:00:00.000","The purpose of the project is to have a Code compliant fire alarm system (meet FDNY AND the State OTDA standards) and protect the multiple clients, staff and the general public in the facility.","$1M to 3M","Active"
"HH112VEFP","VETERAN SRO FIRE PANEL","HOMELESS SERVICES","Public Buildings","Procurement","2021-03-31T00:00:00.000","The purpose of the project is to have a Code compliant fire alarm system (meet FDNY AND the State OTDA standards) and protect the multiple clients, staff and the general public in the facility.","$3M to 10M","Active"
"HH115BWFA","BRIARWOOD - FIRE ALARM UPGRADE","HOMELESS SERVICES","Public Buildings","Construction","2020-07-31T00:00:00.000","HH115BWFA: Briarwood - Fire Alarm Upgrade","$1M or less","Active"
"HH115BWKF","BUSHWICK - FIRE ALARM SYSTEM UPGRADE","HOMELESS SERVICES","Public Buildings","Construction","2020-03-15T00:00:00.000","HH115BWKF: Bushwick Fire Alarm System Upgrade","$1M or less","Active"
"HH115DSFA","DEAN STREET FIRE SAFETY","HOMELESS SERVICES","Public Buildings","Design","2021-07-16T00:00:00.000","Install new fire alarm devices including asbestos abatement, FACP, smoke Detectors, manual pull stations, strobes and horn/strobes on all floors and egress corridors to meet current Code requirements. Obtain FNDY approval for entire fire alarm system. Provide fire stropping at all floor and corridor penetrations.","$1M to 3M","Active"
"HH115FFTV","FLATLANDS FAMILY CCTV","HOMELESS SERVICES","Public Buildings","Procurement","2020-11-20T00:00:00.000","Installation of new CCTV system through out facility","$1M to 3M","Active"
"HH115FRFA","FREEMAN FAMILY RESIDENCE - FIRE ALARM SYSTEM UPGRADE","HOMELESS SERVICES","Public Buildings","Construction","2020-05-01T00:00:00.000","HH115FRFA: Freeman Family Residence - Fire Alarm System Upgrade","$1M or less","Active"
"HH115JCEK","Jennie Clarke Elec  and Kitchen","HOMELESS SERVICES","Public Buildings","Initiation","2025-05-16T00:00:00.000","Jennie Clarke Elec  and Kitchen","$3M to 10M","Active"
"HH115JCFB","JENNIE CLARK RESIDENCE - FIRE ALARM UPGRADE","HOMELESS SERVICES","Public Buildings","Construction","2020-09-15T00:00:00.000","JENNIE CLARK RESIDENCE - FIRE ALARM UPGRADE","$1M to 3M","Active"
"HH115JCFS","JACKSON FAMILY FIRE SAFETY","HOMELESS SERVICES","Public Buildings","Construction","2020-08-14T00:00:00.000","The purpose of the project is to have a Code compliant fire alarm system (meet FDNY AND the State OTDA standards) and protect the multiple clients, staff and the general public in the facility.","$1M to 3M","Active"
"HH115JCTV","JENNIE CLARKE - CCTV","HOMELESS SERVICES","Public Buildings","Design","2020-04-30T00:00:00.000","Installation of new building wide CCTV system.","$1M or less","Active"
"HH115LFAU","LINDEN FIRE ALARM UPGRADE","HOMELESS SERVICES","Public Buildings","Procurement","2021-05-14T00:00:00.000","HH115LFAU
Linden Fire Alarm Upgrade","$1M or less","Active"
"HH115REGX-1","REGENT FAMILY RESIDENCE EXTERIOR UPGRADE","HOMELESS SERVICES","Public Buildings","Construction","2020-12-15T00:00:00.000","The consultant shall prepare the Preliminary and Final Design documents and render the necessary Services during Construction required to provide for the complete restoration and rehabilitation of the facility, including the removal of all exterior violations and the filing of required LL 10/80 and LL 11/98 Reports.","$10M to 30M","Active"
"HH115RFEU","REGENT FAMILY APT. ELEC UPGRADE","HOMELESS SERVICES","Public Buildings","Design","2023-02-20T00:00:00.000","Electrical upgrade of all wiring from the distribution panel to the apartment units.","$10M to 30M","Active"
"HH115SFFA","Stockholm at 99-103 Stockholm St, 11221 - Fire Alarm Upgrade","HOMELESS SERVICES","Public Buildings","Construction","2020-03-15T00:00:00.000","HH115SFFA-Stockholm at 99-103 Stockholm St, 11221 - Fire Alarm Upgrade","$1M or less","Active"
"HH115SGFA","SPRINGFIELD GARDEN - FIRE ALARM SYSTEM UPGRADE","HOMELESS SERVICES","Public Buildings","Construction","2020-07-31T00:00:00.000","Installation of new building wide fire alarm system.","$1M or less","Active"
"HH115SNEC","SENECA HOUSES - ELECTRICAL AND KITCHEN UPGRADE","HOMELESS SERVICES","Public Buildings","Initiation","2025-05-16T00:00:00.000","SENECA HOUSES - ELECTRICAL AND KITCHEN UPGRADE","$1M to 3M","Active"
"HH115SNFA","SENECA HOUSES - FIRE ALARM SYSTEM UPGRADE","HOMELESS SERVICES","Public Buildings","Construction","2020-01-17T00:00:00.000","Installation of new building wide fire alarm system.","$1M or less","Active"
"HH115SRFA","ROSE MCCARTHY - FIRE ALARM SYSTEM UPGRADE","HOMELESS SERVICES","Public Buildings","Construction","2020-05-01T00:00:00.000","Installation of new building wide fire alarm system.","$1M or less","Active"
"HH115UNFA","UNIVERSITY FAMILY RESIDENCE - FIRE ALARM SYSTEM UPGRADE","HOMELESS SERVICES","Public Buildings","Construction","2020-12-15T00:00:00.000","Installation of new building wide fire alarm system.","$3M to 10M","Active"
"HL82BRKLN","Brooklyn Animal Care Center Upgrade","HEALTH","Public Buildings","Design","2023-09-30T00:00:00.000","Demolish existing one-story facility. Construct a two-story new building for animal care center with a drive-through parking lot to meet the new program. Phasing is required to meet 24/7 operation.","$30M to 100M","Active"
"HL82BRONX","Bronx Animal Care Center and Veterinary Clinic","HEALTH","Public Buildings","Design","2024-03-15T00:00:00.000","Bronx Animal Care Center & Veterinary Clinic is a new 50,000 SF facility that will be housing admissions, adoptions, medical services, and boarding for approximately 70 dogs, 140 cats, 30 rabbits and 20 animals or other species. In addition to the animal housing, the Bronx Animal Care Center will include a wildlife area to rehabilitate wild birds, academic partnership for youth, and enhanced senior services. Site work will include yards to facilitate dog adoptions, covered exercise runs, courtyards, and parking for staff, visitors, and shelter vehicles, as well as site lighting and low maintenance planting throughout. The building and associated landscape are to achieve LEED Gold  standards.","$30M to 100M","Active"
