"sitename","gispropnum","initplntsn","acreage","dtacolmthd","shape"
"Randalls Wards Islands","M104","2008 Fall","0.224","GPS","0xD708000001040A00000080D3985418AA2E41006202BE0FC80B41803826E5AFAA2E4100F6F272B4CB0B4100FB2E0D44AA2E410028A840EECA0B4100097AA8A6A92E4100B69DB832C80B41802A8EDA7DA92E4100E2EB1226C60B4180102BBA3DA92E41000E0C5D82C40B4100C8BF476FA92E410096C7B753C40B4180A6AB1598A92E410088BB9425C50B4180BD3735D8A92E4100C0C05883C60B4180D3985418AA2E41006202BE0FC80B4101000000020000000001000000FFFFFFFF0000000003"
"Van Cortlandt Park","X092","2009 Spring","2.079","GPS","0xD70800000104360000008063914C32EB2E41006F1E52FB6F10418034964E2CEB2E4100F686B10270104180D4E8F3EEEA2E41004B86071270104100F1E417A6EA2E4100848A385370104180698D9483EA2E41002787E043701041803B376870EA2E41002787E04370104100CD8B7B57EA2E4100B6E1667D7010410034606442EA2E4100128EBFA370104100060A382FEA2E4100EFE597BE70104100FF5D3401EA2E4100988E43DD7010418022065CE6E92E41004B92F0E470104180DEDA99C9E92E4100763D1BE1701041006D58ACB0E92E41006E3A18CA70104100D42C959BE92E4100678E149C701041801081538AE92E41008B363C8170104100CD80916DE92E41002F8AE35A70104180372B7C6FE92E4100D828A4786F104180372B7C6FE92E4100E7CCC0D36E104180372B7C6FE92E410020C508426E1041002657E87CE92E4100B56AA8BF6D104180E22A2777E92E4100D907E6BA6C104180E22A2777E92E410019AD30406C104100912CD37EE92E410061547FF36B104180FBD6BD80E92E41003C4A6E3B6B104100912CD37EE92E41006D3FB3926A104100912CD37EE92E410044DF9EAC69104100BF82FF91E92E4100F6E24BB4691041807430AFC7E92E4100BC871B8A691041001132C8F3E92E4100B5DB175C69104100F15FA225EA2E410060DCC14C69104180F70BA653EA2E410044DF9EAC6910418054E3FE79EA2E410027E37AF56910418006BBAC98EA2E41003C3F84516A10418049BB6EB5EA2E410011935A6C6A104180221146D0EA2E4100204261B16A1041006A3E09EDEA2E4100594593096B104180F06A8C0FEB2E4100B5F2EA186B10410009EB2330EB2E41008B9DC01C6B1041005118E74CEB2E41008B9DC01C6B10418014C4285EEB2E41009A4CC7616B1041006D9A7F6DEB2E410052A578AE6B1041006D9A7F6DEB2E4100E0A8FFFE6B10418014C4285EEB2E41003C54593C6C10418034964E2CEB2E41007D5B8D946C104100C6EA6113EB2E4100D906E7D16C104180023F2002EB2E4100915F981E6D10418086C0A10DEB2E41007B0F78956D104100DB94F71CEB2E4100446E2F106E1041808996A324EB2E4100CBC4B3496E104100DB94F71CEB2E410059C83A9A6E104100DB94F71CEB2E4100E7CBC1EA6E1041004A6CE31EEB2E4100D17CA04A6F104180C9C0632AEB2E4100B57F7DAA6F10418063914C32EB2E41006F1E52FB6F104101000000020000000001000000FFFFFFFF0000000003"
"Van Cortlandt Park","X092","2009 Spring","1.073","GPS","0xD708000001043B000000005056555A1A2F4100740CF17E4E104180D68391091A2F41000C92ABFF4D10410011F847D1192F4100E0030BC04D104100079091AC192F41002DBD90A74D104180ED46C08C192F4100817A188F4D1041803D024774192F41002E2640594D10418088821837192F4100A30EADE84C1041808EFB7C0D192F41004F64D4B24C104180DEB603F5182F4100E3FBC7864C10410099A1E2E3182F4100C44C41424C1041005F6BDBCD182F410023E9E2244C104100094A9FC1182F4100E47726EA4B1041008F392CBF182F41003131ACD14B1041804E5FC0D2182F41003131ACD14B104100A9ADFDDE182F4100C5B5F0F34B10418058C776F7182F4100D1940AEF4B1041808EFB7C0D192F41003131ACD14B10418088821837192F41003C10C6CC4B1041006EFB9765192F4100B07CD4F84B1041800D34F682192F410085DB84074C104180BD786F9B192F4100101976DB4B1041806DBDE8B3192F41007DEA31B94B10410001172DD6192F4100B1E583AA4B10410061A01F071A2F4100F069EF964B10410077E7EF261A2F4100711EC76F4B10418010BA981F1A2F4100FD9E09924B10418066DBD42B1A2F41009CAC67AF4B1041008024A64B1A2F41003131ACD14B10410076A940751A2F4100B07CD4F84B1041804F18A6A81A2F41000427AD2E4C1041801F4A55B71A2F4100C44C41424C104180FF5C1FC11A2F410064B09F5F4C10418025B00ADC1A2F41004F7783644C1041001993412F1B2F41008F3E409F4C1041003817C8731B2F41000E8A68C64C104100B88DF09A1B2F4100A30EADE84C10418067D269B31B2F4100A30EADE84C104100DEE0DBB51B2F41000E77B9144D10418077B384AE1B2F410042095C544D10418097A0BAA41B2F4100ECE224BB4D104100A8ACD59F1B2F4100604F33E74D1041801D9047A21B2F41007FFEB92B4E104100D87A26911B2F4100D3A892614E1041004823E36E1B2F4100F35719A64E10418088FD4E5B1B2F410072A341CD4E104180D8B8D5421B2F41005FC025D24E10418028745C2A1B2F41005FC025D24E104100EF3D55141B2F41005FC025D24E104100991C19081B2F41001207A0EA4E1041807FD347E81A2F41009252C8114F104100BF82B3D41A2F41007E6FAC164F104180756B91C31A2F41007E6FAC164F1041804F18A6A81A2F410053CE5C254F104180F5F4689C1A2F41001ED30A344F10410026EEB98D1A2F4100FDBAD43D4F104100F0B9B3771A2F410032B6262F4F104100A67791661A2F4100DE0B4EF94E104100C664C75C1A2F410093BB77C34E1041005056555A1A2F4100740CF17E4E104101000000020000000001000000FFFFFFFF0000000003"
"Van Cortlandt Park","X092","2008 Spring","0.235","Drawing","0xD708000001042500000000A5FA71D8EC2E41005894900B191041001BE57BCEEC2E4100B4FF722B19104100DD2988C2EC2E4100A0C557471910410052E991B8EC2E4100DD554B53191041803991A4A4EC2E41004CA5485719104100D90BB692EC2E4100DD554B53191041806DBEB98EEC2E4100F28F663719104100C4B5C97EEC2E4100DD647A23191041006305DB6CEC2E4100DD647A23191041002148E660EC2E41005894900B19104100E38CF254EC2E4100DD1DA9F318104100783FF650EC2E4100B4C7D0CB18104180F7B7DE68EC2E4100596B1D7C18104100785BC780EC2E4100C1C547501810418090B3B494EC2E4100D6FF62341810410090A485C4EC2E4100D6FF62341810410006AB60EAEC2E4100D6FF623418104100486855F6EC2E41001390564018104100D27D4B00ED2E4100EA2A4F4818104100332E3A12ED2E41005A7A4C4C18104100D2991C30ED2E410083DF53441810410094FAF953ED2E4100FF646A2C1810418060F8E469ED2E4100149F8510181041004CBEC985ED2E4100666994001810418083DEB09FED2E41003D048D08181041004CDA9AB5ED2E4100C07E762018104100EF477ED3ED2E4100D5F0336418104100795D74DDED2E410007A10E8C18104100795D74DDED2E41006EDDDABF181041805A957AD7ED2E4100F157C4D718104100640788C9ED2E4100C8F2BCDF18104180A2D1AAA5ED2E41009F8DB5E718104180CB1AE16DED2E4100DD1DA9F318104180FF47F657ED2E41001B049DFF1810410048842626ED2E41008B539A0319104100675B4FFCEC2E41008B539A0319104100A5FA71D8EC2E41005894900B19104101000000020000000001000000FFFFFFFF0000000003"
"Van Cortlandt Park","X092","2008 Spring","0.355","Drawing","0xD708000001042C0000008019AB2C12EB2E41002DF38CFA15104180E57D1728EB2E41004A694C3E16104180D043FC43EB2E4100201E890517104100DBFCDA65EB2E41001467E3B0171041802757DD63EB2E4100454F60381810410051E7E45BEB2E41003015455418104180E599E857EB2E41006EA5386018104100717FB054EB2E4100FD5CC073181041004F256E55EB2E41005CA16384181041002DA1C158EB2E4100D63A868C18104100EAEDD25CEB2E410003C6F690181041802757DD63EB2E4100DE3B079418104180C6C2BF81EB2E4100DE3B07941810410093C0AA97EB2E4100DE3B0794181041809D7989B9EB2E41005AB2EEAB18104180CAFC62E1EB2E41006EDDDABF1810418040033E07EC2E4100F157C4D7181041000CD6281DEC2E41006DCEABEF18104100E3702125EC2E41005894900B191041004B66F123EC2E4100BAC82B1B19104100C173A21EEC2E410035F4C12119104100C05F55EFEB2E41008A446B33191041006512D16FEB2E41009FB6287719104100C3974BF2EA2E41008A7C0D9319104180DEAB2163EA2E410008DA94C519104180AC85B748EA2E41001928E7CE191041806549D837EA2E41008DAB7DC619104100FA295D2CEA2E4100500E2EB7191041007D681127EA2E410027527893191041007D681127EA2E41009FBCFF6219104100FA295D2CEA2E4100C827094C191041802E1C5739EA2E410034F3ED3D19104180001B9D9EEA2E4100DD1DA9F318104100C3974BF2EA2E41000692DFBB1810418084CD2816EB2E410044310298181041002ED61826EB2E4100EA1B207818104180B8160F30EB2E41005A7A4C4C18104100DBE00936EB2E410028CA71241810418023390B34EB2E4100AB0CB9DC171041007A301B24EB2E4100F7F0236D171041004DAD41FCEA2E41007415256616104100990744FAEA2E410088086F1A16104180B8FA3D00EB2E41002DF38CFA1510418019AB2C12EB2E41002DF38CFA15104101000000020000000001000000FFFFFFFF0000000003"
"Forest Park","Q015","2008 Spring","0.012","GPS","0xD70800000104110000008047913263632F41009421762DDB07418038A1FB73632F4100E2FF903DDB07410095CEBD80632F41003C6E1F5BDB07418027682088632F41002476FA75DB0741008D47D08A632F410000AE439EDB0741805A6D7889632F4100B21E7EBEDB0741802DB3C584632F4100660749D1DB07418067140B7C632F4100CC11F9D3DB0741803EDF446D632F4100E0918DC6DB074100E8EFCB59632F41008623FFA8DB074100EF581553632F410000AE439EDB07410029C7B64D632F410072541586DB0741002AE55A4A632F41003C6E1F5BDB0741802B03FF46632F41009421762DDB0741002AE55A4A632F41006826F717DB07418056816952632F4100021C4715DB07418047913263632F41009421762DDB074101000000020000000001000000FFFFFFFF0000000003"
"Idlewild Park","Q392","2008 Fall","0.389","Drawing","0xD7080000010415000000005033986A093041001ACD01B59D054140A030F55009304100E860C2B59F054180F7CD973B093041002E4DDEFAA1054100560B802A09304100AC62F6C7A205410073044617093041009AA19D3FA30541008E7C0B0409304100D4A1CA61A30541C086DCC5FF08304100CA380DD9A2054180FDA57FFB08304100D6769AC7A1054180FDA57FFB08304100A22208A5A00541C086DCC5FF08304100CC36ACA49F0541008E7C0B0409304100C6C034939E054140E22DBA0E093041003A965E3D9D054140E22DBA0E09304100DA565D819C054180FAB98B1B0930410054A2FE3C9C054180DF41C62E0930410054A2FE3C9C0541C0FE6DDD3F0930410054A2FE3C9C0541C0E3F517530930410014578AA39C0541408C587568093041005E0BBCC59C0541001BAE007109304100B6E1FFF89C0541C0E009247309304100586C754E9D0541005033986A093041001ACD01B59D054101000000020000000001000000FFFFFFFF0000000003"
"Alley Pond Park","Q001","2002 Spring","0.018","Drawing","0xD708000001040500000000539BDE621E304100A222004FC509410065FA78651E304100E8ED049EC40941400D446B901E304100BA5E3FBDC4094140902B337E1E304100341BD363C5094100539BDE621E304100A222004FC5094101000000020000000001000000FFFFFFFF0000000003"
"Forest Park","Q015","2008 Spring","0.027","GPS","0xD708000001041C00000080C26BD6D2622F4100A4E6D2D4DA074100FCD977CD622F410068D7A1E7DA074180311B18C8622F4100EAD4CCFFDA0741006B5EB9C2622F41006826F717DB0741803EC2AABA622F4100CE30A71ADB074100B5DA35A9622F4100CE30A71ADB074180235F779E622F41004E337C02DB0741805F096192622F410084CA1CFDDA074100CD6FFE8A622F41008842ADEFDA07410069AEF284622F41003A6492DFDA074100D73F907D622F41008AF357BFDA0741807562E17A622F4100A4977DA4DA074100D73F907D622F4100ACBB0E97DA07418035B6F686622F410018EFF95BDA074180EB397AA0622F4100ECF37A46DA074100D8C456BB622F410018EFF95BDA074180CAF2C3C8622F410018EFF95BDA07410054E794DD622F410018EFF95BDA074100461502EB622F410066CD146CDA07410071936CF6622F41002ABEE37EDA0741809BE6D601632F4100ACBB0E97DA07418034E98202632F4100F47598B4DA07410002E42A01632F4100BC1268C7DA074180084D74FA622F41000AF182D7DA074180DF17AEEB622F41000AF182D7DA0741801AA4F3E2622F4100DA7D73CFDA074180EE07E5DA622F41007473C3CCDA074180C26BD6D2622F4100A4E6D2D4DA074101000000020000000001000000FFFFFFFF0000000003"
"Forest Park","Q015","2008 Spring","0.064","GPS","0xD708000001042C00000000B94288EC612F4100FE2F4E58D8074100B94288EC612F4100E28B2873D8074100521A34ED612F410094FC6293D8074100B2D93EF3612F4100124E8DABD80741007D989EF8612F410028C977CED80741004A9346F7612F41003C9861F1D80741801E2238EF612F4100A2A211F4D80741802D126FDE612F4100C2BEC7CBD8074180A2FFF9CC612F410078583DAED8074180714346C8612F41002EF2B290D8074180714346C8612F410084A50963D807410070FAA1CB612F410056E3A42AD8074100CE7008D5612F4100AAEAFAFCD7074180F28529E7612F4100F6AD30EAD7074100851F8CEE612F4100C48E20E2D7074100851F8CEE612F41007A2896C4D7074100851F8CEE612F41006CD13C94D7074100851F8CEE612F4100F2F7A26ED7074100B7F9E3EF612F4100E2A0493ED70741804BDCEAF3612F410068C7AF18D70741004A9346F7612F410054F8C5F5D60741004A9346F7612F4100F41651B5D60741007EB642F5612F41001C57987FD60741801E2238EF612F4100EC943347D6074100B7F9E3EF612F4100C6C2EFF3D5074100B7F9E3EF612F4100C8739AC3D5074100EAFE3BF1612F41003A1A6CABD5074100AA5251FD612F4100AAC5E762D5074100CB002A16622F4100984FE0EBD50741809192881B622F4100A27DFE59D60741809192881B622F4100C4A341ADD60741809192881B622F4100E251F40DD70741809192881B622F4100C2849366D70741001DC3A129622F41007A2896C4D707410048410C35622F41002AE82515D80741003E717A42622F4100FE2F4E58D8074180D00ADD49622F4100E28B2873D80741003951D545622F41005C65C298D807410041D8C23B622F4100124E8DABD8074180220E4726622F41008E84D2A0D807418005626F0D622F410084A50963D8074100432AFDFD612F4100A0492F48D80741804BDCEAF3612F4100A0492F48D8074100B94288EC612F4100FE2F4E58D8074101000000020000000001000000FFFFFFFF0000000003"
"Kissena Corridor Park","Q300","2010 Fall","1.146","GPS","0xD708000001045100000000C7BDB6BF882F4100943822F3D009418014359CB2882F410036CE1089D009418096A955A6882F4100F0931721D00941801D3B339E882F41009A7BDAC0CF09410022693387882F4100E2601E82CF094100D050906E882F4100C4325A5CCF094180FC3EC65C882F4100ACE08115CF094100A678B85D882F4100E6D6CBB1CE09418005923069882F410008E8CD4DCE094100B39B6071882F41008E7137F3CD094180A7DFED7A882F4100BC800E99CD094180D2D9AB88882F4100E0CF0543CD094100539F7A9D882F410098041C03CD0941004FC6E4B1882F41000CFB92C1CC09418030183ACC882F4100504E8E89CC09418014D519E0882F410028E8036BCC094100C87440F6882F41006213EB30CC0941007745EA0C892F4100805CB703CC0941007F19AB23892F4100E89FAAC9CB094180ADC1C03B892F41000630C48ECB094180D66F5954892F410002BA316ECB0941001618EF6B892F4100309DA044CB0941001199C685892F41008609AA24CB094180D1DDBF9D892F4100E2692E13CB094180770817BA892F4100EEA44AFFCA094100E372E3D6892F41006C1581E3CA094180C5674AF3892F41001864D2D8CA0941004D8FCA0D8A2F4100D602CDE1CA09418014E963298A2F410040D9B6CCCA0941001F4C17468A2F41000C9FC1A1CA0941007F048A588A2F41001AB7CDA2CA094100C146EC698A2F4100CAC3ACD6CA094100296024758A2F41001A0979C6CA094180BBEEAC888A2F41008CC7D9DDCA0941009F5A649F8A2F41008E83E2DECA094100C6F2DCBB8A2F41000AF5C6EECA094180AB79B7D68A2F41006EA52115CB09418040CAB6F08A2F41002C31BE29CB09418081E2D9098B2F4100EA0A584DCB094180A4FCFD238B2F41000CA85481CB0941001B01573A8B2F41001A64B7C9CB094180BC7F163D8B2F4100C29EB02ECC094100B698F7318B2F41009C490D9ECC0941808108C4258B2F410032BC76F2CC0941809E83D72E8B2F4100DC98C051CD09410085326F328B2F41001A64D7B5CD0941809683172F8B2F410050D7171FCE094180013318158B2F4100E45EDD39CE09410055A7D0FA8A2F410008522B2BCE094100F0488ADE8A2F41005C562B0ACE0941007AEE05C38A2F4100D03D48F3CD0941006EC218A78A2F410066635AE9CD094180D236518C8A2F4100A68718FECD094100A396BF748A2F41005A60311ACE09410079947D668A2F4100FC6AB834CE0941003F589F648A2F41006A28423ACE0941804402C84A8A2F410086A75962CE094180219339338A2F4100C04DDB9DCE094100E9F2E71B8A2F4100DC214AE7CE094180A29778018A2F4100E403BF22CF09418051A1BBE5892F41001E5C9959CF0941008BBBF1CB892F4100ECF33D8DCF094100AF3156B8892F41002A7157E2CF094100AD210DA8892F4100FEA2CB3DD0094100A921CC98892F4100CE2E6C8FD009418015EDB08A892F4100D27540EDD0094180D6E4D681892F4100B6781D4DD1094100DF115772892F41008E453286D1094180EFC68560892F41004094B4DCD10941800F3BE94C892F410038248232D2094100A41EEF39892F4100765C4C67D209410046A2C420892F4100DED8E075D2094180AC2DDE09892F41000CFC4AA7D2094180254F2DF1882F4100ACBE2CAED209418080CB29D7882F410092C259B4D2094100D52F05C1882F4100EAB3A594D2094180F6B3B1BD882F4100A676002FD20941803633DCC0882F4100BA72A2C7D10941808BE048CB882F41006EF33059D109418008AD6EC4882F4100A621C41CD1094100C7BDB6BF882F4100943822F3D0094101000000020000000001000000FFFFFFFF0000000003"
"Raoul Wallenberg Park","X259","2009 Spring","0.301","Drawing","0xD708000001040600000080103EF508B92E4100579D5F74061041005EEFFE6AB92E4100579D5F7406104100347331C6B92E4100579D5F7406104100048178C8B92E410056068D97081041009E3D1F02B92E410067ABDE8908104180103EF508B92E4100579D5F7406104101000000020000000001000000FFFFFFFF0000000003"
"Idlewild Park","Q392","2008 Spring","1.317","Drawing","0xD708000001046F000000C000BF33CC0830410044106C53AC054140FFAC68AC083041003CFAA994AB054100B1D165AE08304100FE2B3D3DAB05414097B859B508304100B8409905AB05414097B859B508304100FC32B25EAA054100B1D165AE08304100BE644507AA0541C0DFD67CA008304100B4A28248A90541C0CE95869A083041006EE948D1A8054180E8AE929308304100F8949BA1A805410080319E8C083041007238EA71A8054100A8DF9F8B08304100B2DB612AA8054100A8DF9F8B08304100F07ED9E2A7054140B897B08108304100EA36AD63A7054100208CBF780830410030CC665DA60541408F60C97208304100243C0E5FA505414058F2D16D08304100EC8AD8E7A4054100B02ED06E083041002C2E50A0A4054100BFEEC57408304100A6D19E70A405410057FAB67D0830410068033219A40541C01E94A488083041009C0FDCB1A30541C06F798D960830410026BB2E82A30541003FF375A40830410026BB2E82A30541406F0A58B6083041009C0FDCB1A3054100A98235CB0830410024188EE1A305418027751ADB0830410024188EE1A30541C097D209E5083041002A35C5C1A3054100588CFCEC08304100E649218AA30541C0B9B2DB0009304100A87BB432A3054180B8BAC01009304100E8ECC12AA30541C050C6B11909304100A87BB432A30541001180A421093041005E416F5AA305410022C19A27093041005E416F5AA305414019E9843409304100E649218AA30541407A867E3809304100A08972F1A30541404197863309304100A0B46790A4054180514F972909304100A6FC930FA50541C0B163AB1D09304100A42789AEA5054100C21BBC13093041002C52D01DA6054180599EC70C093041006A203D75A60541C0F020D305093041006EC5C853A7054180485DD10609304100687627B3A7054180485DD106093041002E4D463AA80541C0C604650509304100A6658399A80541007321F30109304100B2D19615A9054140F38B5DFF083041000A7BCCC8A9054140F38B5DFF0830410062205467AA0541001D6816010930410070E0BACEAA0541C01C13AC0309304100BCC9891AAB0541C0C8DB900A09304100C885426DAB054140481CBC0F0930410076B0DDC6AB054100F4E4A01609304100222F7820AC054140481D7D1709304100D0510B3CAC054100F43ACC1B093041001EE32C73AC0541004A9F3E1F09304100CC5D6DA3AC05418073D1222609304100782CADD3AC05418073274E2B093041007834B511AD0541009F2F9D2F093041008498C04FAD0541C04AF881360930410082F875A2AD0541C0F4E93A38093041002E1F63E7AD054140CAE3423E09304100DC99A317AE054140CA8ED84009304100388B7663AE0541401E724A4409304100847445AFAE054140209EE04609304100324733F4AE0541C0F36B524A093041008EE0582BAF0541C049D0C44D093041008EE86069AF0541C0F3C17D4F093041008A9C15BCAF0541804926F0520930410098AC21FAAF054180F598A9540930410094B07B23B0054140C9661B580930410094B88361B005410075846A5C093041003E371EBBB0054100752F005F093041009A28F106B1054100CB937262093041004AFBDE4BB1054100CB3E086509304100A4ECB197B10541804A7F336A0930410054BF9FDCB1054180A0E3A56D09304100F085DB0CB2054140A08E3B7009304100FC41945FB20541009A761A740930410088C6DAA0B2054140C2241C7309304100482363E8B2054140C2241C73093041008E0E0720B30541C02AA2107A0930410054DCC547B3054180919E048109304100D4C74097B30541C09AFFFF83093041004E968406B40541C09AFFFF830930410012C1A28DB4054180B94C068009304100947AB31CB5054180919E0481093041009648495CB5054100C3AD0183093041001634C4ABB5054100C3AD0183093041005C1F68E3B5054180919E04810930410054023103B60541405A300D7C093041005EEDFD22B6054140C2241C73093041005EEDFD22B6054180094B246E0930410096733EFBB5054140713F3365093041001E51FB8BB5054180A9A5455A093041009A97EAFCB4054140119A5451093041005232B085B405410042206C43093041005207BBE6B3054180A0B37F3709304100129D2210B30541C04877813609304100565DD1A8B20541C0D819922C0930410006DB5F51B205418018609F24093041005015A529B2054100E9D1A22209304100C63E5DBAB10541405A27AD1C093041008870F062B10541402138B5170930410052BFBAEBB0054100892CC40E09304100085A8074B005418020AFCF070930410084FDCE44B0054140B051E0FD083041000EA92115B0054140B051E0FD083041004C4C99CDAF054180F9F8E8F80830410006935F56AF05414028FEFFEA08304100FCD09C97AE054100598417DD08304100BED73AA1AD05418027751ADB08304100781E012AAD0541C000BF33CC0830410044106C53AC054101000000020000000001000000FFFFFFFF0000000003"
"Kissena Park","Q300","2008 Spring","1.666","Drawing","0xD708000001046500000080C4A9FADD8A2F4100B2EB706CD50941002A99D8998A2F410006ED22D3D5094180A3A5EE448A2F410000A28551D6094100E08F47DB892F4100260668A8D60941009166199B892F410038C3C48CD6094100C38D3C42892F410012683A1AD6094180E9A50405892F41001607D79BD5094100F1B25EE9882F410050D00A3DD50941808D427BE0882F4100AE67F7A6D4094180D14692D9882F4100A8377DE1D3094100B9BDA2D4882F41006647275FD30941805C309CD6882F4100B4CDB7E4D2094180ADAE47F0882F4100F22C3023D209410070620D02892F410018A3DD51D1094180C4E2B91B892F4100C85684CFD009410078A6483E892F4100187359F2CF094180130CE85B892F410090F3106CCF094100A7392D95892F410068EC85F9CE09418052F061D3892F4100B669BE9ACE094100FEA696118A2F410090178C0CCE0941808DD2DA4A8A2F410068B3A9B5CD094100E3B3E5958A2F4100EA0BD05ACD094100613917D58A2F410088E71147CD0941008E409DFA8A2F4100CE76044BCD0941009282D7368B2F410006984386CD094180B1FA849E8B2F410092ADD0A9CD0941809AFDF3CA8B2F4100AE429CB9CD094100649496E78B2F41002CF3CDF8CD094100674A72F28B2F41001A2D1930CE0941800ABD6BF48B2F41001897D492CE09418055A45FF88B2F41008AB1CBCECF094100840063F78B2F41001CF7D2B7D0094100F2337CEF8B2F41004A797F0BD209418016F7C6D88B2F41006A92C4E0D2094180A20A4EAF8B2F4100C86BE572D3094100EF46BF8C8B2F41007C9155EDD3094180A9B649628B2F41004C4C9177D40941800CF04B138B2F41008C878E15D5094180C4A9FADD8A2F4100B2EB706CD5094180F89DAC608A2F41000C6B1759D1094100E77C454D8A2F41004077C96CD10941804E4DEC378A2F41007212C490D109418082A1EA268A2F4100C6AA68C0D10941808C4179118A2F410074EDB5D3D1094180D191B5FF892F4100A0D5D6F4D1094100B18BF1F0892F410028D72E12D2094100013D5FEC892F41009241BD4DD2094180E869DFDD892F4100C2A57280D2094100C4557FD3892F41002270DBB7D20941001E2DAAC6892F41000AB6ABE0D2094100375FADBE892F41004C565411D3094180D6FFE6A9892F4100CE8C2072D309410085DC699D892F4100082646AAD3094180A706A994892F4100604A31E2D30941805A349594892F410066051323D409418019BDEE91892F4100C82A7F62D40941008B258D8A892F410030AB1790D4094100EAA28B87892F4100CCE60ECFD40941808B76B587892F4100CE63510CD509410061F68A8B892F410086C55A3DD509410084EC4699892F41006C552456D5094100C86AF1A3892F41006410AC4FD5094180625E81B0892F4100DEEB4347D5094180E46F75BA892F41002C926B3AD509418011D9FFC1892F4100F0F9F32DD5094180F04476C9892F4100A2AD7721D50941000D25D1CB892F4100F47EE023D5094180F68441D2892F4100464C4507D5094100D4375BD6892F4100240BFA06D50941804A6A35E5892F410080B0CD15D5094100633F37038A2F4100743DBE0CD50941805B8244148A2F4100A211D30DD50941008DDEB3278A2F41006CE48FF0D409418048DF9F368A2F41005AA498D3D40941008CDA5E4B8A2F410044D504BBD40941007325705D8A2F4100C2F191A9D4094180767F1E728A2F41009C079C9CD40941002672AE858A2F41001CC07794D4094180B619599D8A2F4100E6388990D4094100B391EBAE8A2F410056AA1359D4094180D24B8AC88A2F41001AFB3939D40941805A17DDEC8A2F41008A026724D4094180D20F70028B2F410040822400D409410047FDE7148B2F41001C6AEBDBD30941800319F7278B2F410014B30DBAD30941805BFE692B8B2F4100B46B3FBBD309418048DDEF3B8B2F4100A858877FD3094180ACA23D428B2F4100ECC1362FD30941005846F9348B2F41006A9CCAF0D2094180D65E44238B2F4100FCF0F0B3D20941803E5292128B2F41003C336373D209418007A9FBF28A2F41000853192FD2094100482FBEE98A2F410062CD5524D20941807DC407DA8A2F41003829D6F7D1094180DE7C8DC88A2F4100B4A0BCF8D1094100DC1B1CBB8A2F4100346F4CD8D1094180848A52AD8A2F4100108EAEAFD10941802D24899F8A2F4100FCBEC48CD10941800B2588898A2F410004B83D56D1094100722CF5748A2F41009A3BFF51D1094180F89DAC608A2F41000C6B1759D10941020000000200000000002700000001000000FFFFFFFF0000000003"
"Alley Pond Park - Mineola","Q001","2008 Spring","1.369","Drawing","0xD708000001042A00000040C2FD79D722304100DE7A5C14C3094100951E9EBE2230410030C8F2A8C4094140CD389E9A223041001248ABC6C609418035C10B86223041005469F8D8C7094180B11AC275223041009EED1B92C80941800D1DC2632230410012911EF2C80941C0F07F9D58223041005AAAAF36C90941000006543C22304100A09FFBF8C80941C0D0162F1322304100D26FD1DFC70941409CEC77F321304100021C6244C6094100456BC1EB21304100542085ADC5094100B80A5418223041002472CE0FC5094100ADCF2F552230410082CC1512C40941C06D6A5472223041006C42EC28C3094100206FC2812230410024295BE4C20941009D59799B2230410024295BE4C20941C0E009E79E223041004C55EC98C2094140263B55A22230410048EA5924C2094140CD389E9A22304100AAAF339BC109418080BC549022304100264B7A2DC1094180E309308522304100ECF29FF6C0094100CEB7E68022304100EA870D82C00941800A1D797D22304100ACD152E4BF0941C06D6A5472223041008A79C0DFBE09414038C1546C22304100A4909B86BE09418088F72F6D22304100BA90E3B8BD0941009E49797122304100C8E60752BD0941C0F1109E822230410034C197D6BC0941C0950E9E94223041006E5AE098BC094100E7D579BF22304100F8B6DD38BC0941401E007AC522304100BCB20202BC094140EB200CE022304100D4F3B8BFBA094180F1EC9E002330410000ADFB31B909414060419F0C23304100707AD9A8B80941C042B47A2B233041008EFC46C4B80941C09BB6313323304100D615D808B90941005806C42F2330410092D26BADB90941400B8A7A252330410082EF9556BB09414015D59E1223304100CA519AC6BD09418013C5550223304100B827777DBF0941C0543A7AF522304100C0AF7BCDC0094140C2FD79D722304100DE7A5C14C3094101000000020000000001000000FFFFFFFF0000000003"
"Idlewild Park","Q392","2008 Fall","0.646","Drawing","0xD708000001041900000080015AD11F09304100C6811985A60541008B9017240930410036B8FCB7A5054100560B802A0930410078037151A5054180DF41C62E09304100B6A2E4EAA4054180E6E10B330930410014186F95A40541C033F3743909304100F6415884A40541408F44694809304100B6A2E4EAA4054140A7D03A5509304100BE185CFCA505410038A7C65D093041009AA3FE73A60541C0130EBB6C093041005A048BDAA605418087EB808809304100DEB8E91EA70541C0C0246AA609304100646D4863A705418070270DC0093041004C0DA963A8054140198A6AD5093041008C834D97A90541C074DB5EE409304100AE23DBB9AA05418005B2EAEC093041006E846720AB05418005B2EAEC09304100D0C368DCAB054100AA60F6DD0930410032AF6A98AC054180589B3BB309304100E0A29D76AD054180731301A009304100E0A29D76AD05414054E7E98E093041000E3A0D10AD0541C0E0092473093041002C39F386AB054140862323440930410022F90464A90541C019E6A22C093041008CAC1CFDA7054180015AD11F09304100C6811985A6054101000000020000000001000000FFFFFFFF0000000003"
