"building_id","registration_id","borough","house_number","street_name","postcode","of_dwelling_units","infested_dwelling_unit_count","eradicated_unit_count","re_infested_dwelling_unit","filing_date","filing_period_start_date","filling_period_end_date","latitude","longitude","community_board","city_council_district","census_tract_2010","bin","bbl","nta"
"807519","375170","BROOKLYN","312","101 STREET","11209","87","0","0","0","2019-01-28T00:00:00.000","2017-11-01T00:00:00.000","2018-11-30T00:00:00.000","40.612905","-74.035351","10","47","5602","3337192","3061370200","Bay Ridge"
"315217","334952","BROOKLYN","149","HUNTINGTON STREET","11231","3","0","0","0","2023-07-10T00:00:00.000","2021-11-01T00:00:00.000","2022-10-31T00:00:00.000","40.676153","-74.000087","6","39","65","3005653","3003790049","Carroll Gardens-Cobble Hill-Gowanus-Red Hook"
"203923","305707","BROOKLYN","8405","BAY PARKWAY","11214","29","0","0","0","2023-06-01T00:00:00.000","2021-11-01T00:00:00.000","2022-10-31T00:00:00.000","40.602985","-73.992715","11","47","296","3165445","3063360006","Gravesend (West)"
"999676","389728","BROOKLYN","41","GOODWIN PLACE","11221","8","0","0","0","2022-12-14T00:00:00.000","2021-11-01T00:00:00.000","2022-10-31T00:00:00.000","40.691542","-73.923712","4","34","395","3075304","3032947501","Bushwick (East)"
"79166","204678","BRONX","777","FOX STREET","10455","30","0","0","0","2021-08-03T00:00:00.000","2019-11-01T00:00:00.000","2020-10-31T00:00:00.000","40.816158","-73.897723","2","8","85","2005539","2027070068","Longwood"
"179720","316712","BROOKLYN","2265","85 STREET","11214","4","0","0","0","2021-04-13T00:00:00.000","2019-11-01T00:00:00.000","2020-10-31T00:00:00.000","40.601722","-73.991843","11","43","296","3165469","3063360052","Gravesend (West)"
"28778","144252","MANHATTAN","2","TIMES SQUARE","10036","317","0","0","0","2022-03-25T00:00:00.000","2020-11-01T00:00:00.000","2021-10-31T00:00:00.000","40.759310","-73.984857","5","3","125","1024757","1010197501","Midtown-Times Square"
"159775","330389","BROOKLYN","883","57 STREET","11220","4","0","0","0","2022-03-02T00:00:00.000","2020-11-01T00:00:00.000","2021-10-31T00:00:00.000","40.636224","-74.006158","12","43","10402","3139878","3056860046","Sunset Park (East)-Borough Park (West)"
"173235","374026","BROOKLYN","1652","77 STREET","11214","3","0","0","0","2022-02-11T00:00:00.000","2020-11-01T00:00:00.000","2021-10-31T00:00:00.000","40.614456","-74.000890","11","43","182","3161385","3062470023","Bensonhurst"
"948232","710573","BRONX","3311","ROMBOUTS AVENUE","10475","2","0","0","0","2023-06-20T00:00:00.000","2021-11-01T00:00:00.000","2022-10-31T00:00:00.000","40.880689","-73.827978","10","12","46203","2119020","2051410361","Co-op City"
"164031","309460","BROOKLYN","2347","63 STREET","11204","4","0","0","0","2023-06-22T00:00:00.000","2021-11-01T00:00:00.000","2022-10-31T00:00:00.000","40.613029","-73.976931","11","44","436","3172416","3065570055","Bensonhurst"
"81954","214414","BRONX","424","GRAND CONCOURSE","10451","28","0","0","0","2019-01-10T00:00:00.000","2017-11-01T00:00:00.000","2018-11-30T00:00:00.000","40.816925","-73.928033","1","17","51","2001012","2023430010","Mott Haven-Port Morris"
"807393","354384","BROOKLYN","227","12 STREET","11215","6","0","0","0","2022-11-30T00:00:00.000","2020-11-01T00:00:00.000","2021-10-31T00:00:00.000","40.668297","-73.989676","6","39","139","3022848","3010220001","Park Slope"
"9103","100050","MANHATTAN","160","CENTRAL PARK SOUTH","10019","184","0","0","0","2022-04-25T00:00:00.000","2020-11-01T00:00:00.000","2021-10-31T00:00:00.000","40.766613","-73.978473","5","6","137","1023760","1010117501","Midtown-Times Square"
"92441","204857","BRONX","1504","LONGFELLOW AVENUE","10460","19","0","0","0","2021-12-22T00:00:00.000","2020-11-01T00:00:00.000","2021-10-31T00:00:00.000","40.832405","-73.886499","3","17","157","2010920","2030080019","Crotona Park East"
"900123","383460","BROOKLYN","275","MANHATTAN AVENUE","11211","14","0","0","0","2022-03-22T00:00:00.000","2020-11-01T00:00:00.000","2021-10-31T00:00:00.000","40.713200","-73.945889","1","34","503","3397072","3027697501","East Williamsburg"
"9016","119756","MANHATTAN","65","CARMINE STREET","10014","14","0","0","0","2021-12-13T00:00:00.000","2020-11-01T00:00:00.000","2021-10-31T00:00:00.000","40.729720","-74.004391","2","3","67","1009770","1005820042","West Village"
"145020","357411","BROOKLYN","248","20 STREET","11215","3","0","0","0","2022-03-09T00:00:00.000","2020-11-01T00:00:00.000","2021-10-31T00:00:00.000","40.661682","-73.992478","7","38","145","3017377","3008910012","Sunset Park (West)"
"627460","405771","QUEENS","63","ALDERTON STREET","11374","3","0","0","0","2023-04-17T00:00:00.000","2021-11-01T00:00:00.000","2022-10-31T00:00:00.000","40.726537","-73.865898","6","30","695","4073132","4031090021","Rego Park"
"350376","341881","BROOKLYN","934","PACIFIC STREET","11238","3","0","0","0","2019-06-17T00:00:00.000","2017-11-01T00:00:00.000","2018-11-30T00:00:00.000","40.679904","-73.962677","8","35","203","3027706","3011320027","Prospect Heights"
"230646","373447","BROOKLYN","1090","DEAN STREET","11216","4","0","0","0","2023-07-03T00:00:00.000","2021-11-01T00:00:00.000","2022-10-31T00:00:00.000","40.677266","-73.953940","8","35","221","3030266","3012110029","Crown Heights (North)"
"309224","304070","BROOKLYN","198","HAWTHORNE STREET","11225","3","0","0","0","2023-06-20T00:00:00.000","2021-11-01T00:00:00.000","2022-10-31T00:00:00.000","40.657597","-73.954094","9","40","802","3115704","3050460043","Prospect Lefferts Gardens-Wingate"
"111350","202354","BRONX","1397","STEBBINS AVENUE","10459","24","0","0","0","2020-01-31T00:00:00.000","2018-11-01T00:00:00.000","2019-10-31T00:00:00.000","40.833079","-73.894163","3","16","153","2010249","2029640016","Crotona Park East"
"136978","316686","BROOKLYN","249","11 STREET","11215","3","0","0","0","2022-03-09T00:00:00.000","2020-11-01T00:00:00.000","2021-10-31T00:00:00.000","40.668914","-73.989215","6","39","139","3022586","3010160079","Park Slope"
"37375","114379","MANHATTAN","329","WEST 101 STREET","10025","36","0","0","0","2022-05-31T00:00:00.000","2020-11-01T00:00:00.000","2021-10-31T00:00:00.000","40.798697","-73.971452","7","7","187","1057150","1018890046","Upper West Side-Manhattan Valley"
"16365","133549","MANHATTAN","167","EAST 77 STREET","10075","20","0","0","0","2019-12-26T00:00:00.000","2018-11-01T00:00:00.000","2019-10-31T00:00:00.000","40.773310","-73.959047","8","4","140","1043198","1014120028","Upper East Side-Carnegie Hill"
"810774","408631","QUEENS","83","98 STREET","11421","108","0","0","0","2022-12-01T00:00:00.000","2021-11-01T00:00:00.000","2022-10-31T00:00:00.000","40.699842","-73.852731","9","32","64101","4435193","4039070975","Woodhaven"
"207853","333718","BROOKLYN","2411","BENSON AVENUE","11214","4","0","0","0","2021-04-14T00:00:00.000","2019-11-01T00:00:00.000","2020-10-31T00:00:00.000","40.597350","-73.990810","11","43","300","3185524","3068640006","Gravesend (West)"
"1416","141110","MANHATTAN","43","2 AVENUE","10003","5","0","0","0","2022-03-03T00:00:00.000","2020-11-01T00:00:00.000","2021-10-31T00:00:00.000","40.725267","-73.990104","3","2","3602","1006551","1004580029","East Village"
"179690","376375","BROOKLYN","2215","85 STREET","11214","3","0","0","0","2021-12-03T00:00:00.000","2020-11-01T00:00:00.000","2021-10-31T00:00:00.000","40.602203","-73.992639","11","43","296","3259632","3063360071","Gravesend (West)"
"437221","405408","QUEENS","31","47 STREET","11103","24","0","0","0","2019-02-19T00:00:00.000","2017-11-01T00:00:00.000","2018-11-30T00:00:00.000","40.758146","-73.911922","1","22","153","4013228","4007270029","Astoria (East)-Woodside (North)"
"161339","302459","BROOKLYN","715","59 STREET","11220","6","0","0","0","2022-12-20T00:00:00.000","2021-11-01T00:00:00.000","2022-10-31T00:00:00.000","40.637078","-74.010597","7","38","10401","3016232","3008580073","Sunset Park (Central)"
"946533","425476","QUEENS","32","55 STREET","11377","3","0","0","0","2021-12-30T00:00:00.000","2020-11-01T00:00:00.000","2021-10-31T00:00:00.000","40.754892","-73.906061","1","25","295","4026055","4011570077","Astoria (East)-Woodside (North)"
"992243","388973","BROOKLYN","3514","SURF AVENUE","11224","425","0","0","0","2021-07-16T00:00:00.000","2019-11-01T00:00:00.000","2020-10-31T00:00:00.000","40.572968","-74.000590","13","47","340","3426734","3070657501","Coney Island-Sea Gate"
"129481","341408","BROOKLYN","6824","4 AVENUE","11220","6","0","0","0","2020-12-28T00:00:00.000","2019-11-01T00:00:00.000","2020-10-31T00:00:00.000","40.635097","-74.023336","10","43","68","3145226","3058630048","Bay Ridge"
"95694","209732","BRONX","1304","MERRIAM AVENUE","10452","112","0","0","0","2021-02-15T00:00:00.000","2019-11-01T00:00:00.000","2020-10-31T00:00:00.000","40.840531","-73.926233","4","16","201","2003530","2025310001","Highbridge"
"891139","381102","BROOKLYN","1449","66 STREET","11219","3","0","0","0","2020-12-22T00:00:00.000","2019-11-01T00:00:00.000","2020-10-31T00:00:00.000","40.623458","-73.998952","11","43","190","3388997","3057550146","Bensonhurst"
"144357","322397","BROOKLYN","287","19 STREET","11215","5","0","0","0","2022-04-11T00:00:00.000","2020-11-01T00:00:00.000","2021-10-31T00:00:00.000","40.661537","-73.990694","7","39","143","3017111","3008790057","Sunset Park (West)"
"21483","100888","MANHATTAN","292","ELIZABETH STREET","10012","6","0","0","0","2019-12-17T00:00:00.000","2018-11-01T00:00:00.000","2019-10-31T00:00:00.000","40.724806","-73.993293","2","1","5502","1008192","1005210065","Greenwich Village"
