"workscheduleprojectlocationid","boroughname","day","date","onstreetname","fromstreetname","tostreetname","communityboard","area","worktype","crewtype","shifttype","oftcode"
"102320","BROOKLYN","Tuesday","2021-09-21T00:00:00.000","AVENUE O","WEST 6 STREET",,"311",,"IN-HOUSE CREW","PAVING","DAY SHIFT","314330390780000000"
"101403","BROOKLYN","Wednesday","2021-09-15T00:00:00.000","FLATBUSH AVENUE","PLAZA STREET",,"355",,"CONTRACT WORK","MILLING","DAY SHIFT","340930371030000000"
"45551","BROOKLYN","Friday","2020-09-25T00:00:00.000","AVENUE T","EAST 52 STREET",,"318",,"IN-HOUSE CREW","MILLING","DAY SHIFT","314580337080000000"
"148318","BROOKLYN","Monday","2022-08-08T00:00:00.000","EAST 3 STREET","FOSTER AVENUE",,"314",,"IN-HOUSE CREW","PAVING","DAY SHIFT","334930341730000000"
"58484","BROOKLYN","Monday","2021-03-15T00:00:00.000","AVENUE U","COYLE STREET",,"315",,"IN-HOUSE CREW","MILLING","NIGHT SHIFT","314630330130000000"
"7640","BROOKLYN","Tuesday","2020-05-12T00:00:00.000","AVENUE U","RYDER STREET",,"318",,"IN-HOUSE CREW","PAVING","DAY SHIFT","314630374450000000"
"181331","BROOKLYN","Monday","2023-05-15T00:00:00.000","EAST 64 STREET","MILL LANE",,"318",,"IN-HOUSE CREW","PAVING","DAY SHIFT","337462361003000000"
"170213","BROOKLYN","Monday","2023-03-27T00:00:00.000","JEROME STREET","SUTTER AVENUE",,"305",,"CONTRACT WORK","MILLING","DAY SHIFT","353230383730000000"
"58776","BROOKLYN","Monday","2021-03-15T00:00:00.000","EAST 94 STREET","SMITHS LANE",,,,"IN-HOUSE CREW","MILLING","DAY SHIFT","337980377740000000"
"134131","BROOKLYN","Tuesday","2022-05-24T00:00:00.000","HOYT STREET","SACKETT STREET",,"306",,"IN-HOUSE CREW","MILLING","DAY SHIFT","351030374630000000"
"167997","BROOKLYN","Tuesday","2022-12-06T00:00:00.000","EASTERN PARKWAY","TROY AVENUE",,"308",,"IN-HOUSE CREW","PAVING","DAY SHIFT","338430386030000000"
"24617","BROOKLYN","Tuesday","2020-07-07T00:00:00.000","NEWPORT STREET","POWELL STREET",,"316",,"IN-HOUSE CREW","MILLING","DAY SHIFT","365130372030000000"
"129112","BROOKLYN","Friday","2022-04-29T00:00:00.000","KINGSTON AVENUE","RUTLAND ROAD",,"309",,"IN-HOUSE CREW","PAVING","DAY SHIFT","354070374230000000"
"19938","BROOKLYN","Tuesday","2020-06-16T00:00:00.000","PACIFIC STREET","UTICA AVENUE",,"308",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","368930386630000000"
"178589","BROOKLYN","Tuesday","2023-05-02T00:00:00.000","ELTON STREET","WORTMAN AVENUE",,"305",,"IN-HOUSE CREW","MILLING","DAY SHIFT","339230394630000000"
"16490","BROOKLYN","Wednesday","2020-06-10T00:00:00.000","FILLMORE AVENUE","RYDER STREET",,"318",,"IN-HOUSE CREW","MILLING","DAY SHIFT","340630374450000000"
"192623","QUEENS","Friday","2023-07-28T00:00:00.000","37 STREET","43 AVENUE",,"402",,"IN-HOUSE CREW","MILLING","DAY SHIFT","408940409840000000"
"78887","QUEENS","Friday","2021-07-02T00:00:00.000","76 ROAD","166 STREET",,"408",,"IN-HOUSE CREW","MILLING","DAY SHIFT","415940424340000000"
"110437","QUEENS","Monday","2021-10-18T00:00:00.000","14 AVENUE","141 STREET",,"407",,"CONTRACT WORK","MILLING","DAY SHIFT","405940422740000000"
"49710","QUEENS","Thursday","2020-10-15T00:00:00.000","14 ROAD","BURTON STREET",,"407",,"IN-HOUSE CREW","PAVING","DAY SHIFT","406040438045000000"
"100866","QUEENS","Monday","2021-09-13T00:00:00.000","20 AVENUE","37 STREET",,"401",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","406440408940000000"
"142554","QUEENS","Wednesday","2022-07-13T00:00:00.000","21 AVENUE","37 STREET",,"401",,"IN-HOUSE CREW","PAVING","DAY SHIFT","406590408940000000"
"144890","QUEENS","Wednesday","2022-07-27T00:00:00.000","21 STREET","22 DRIVE",,"401",,"IN-HOUSE CREW","MILLING","NIGHT SHIFT","406740406810000000"
"34226","QUEENS","Wednesday","2020-08-12T00:00:00.000","28 AVENUE","45 STREET","46 STREET","401","Astoria","IN-HOUSE CREW","PAVING","DAY SHIFT","407540410240410390"
"153237","QUEENS","Tuesday","2022-09-06T00:00:00.000","88 STREET","156 AVENUE",,"410",,"IN-HOUSE CREW","MILLING","DAY SHIFT","417990423690000000"
"7080","QUEENS","Wednesday","2020-05-13T00:00:00.000","88 AVENUE","242 STREET",,"413",,"IN-HOUSE CREW","MILLING","DAY SHIFT","417790427140000000"
"46164","QUEENS","Wednesday","2020-09-30T00:00:00.000","59 DRIVE","59 PLACE",,"405",,"IN-HOUSE CREW","PAVING","DAY SHIFT","412250412290000000"
"44717","QUEENS","Wednesday","2020-09-23T00:00:00.000","62 STREET","52 AVENUE","53 AVENUE",,,"IN-HOUSE CREW","PAVING","DAY SHIFT","412940410990411090"
"155660","QUEENS","Friday","2022-09-23T00:00:00.000","92 STREET","156 AVENUE",,"410",,"IN-HOUSE CREW","PAVING","DAY SHIFT","418490423690000000"
"173069","QUEENS","Wednesday","2023-04-05T00:00:00.000","120 AVENUE","146 STREET",,"412",,"IN-HOUSE CREW","PAVING","DAY SHIFT","421290423040000000"
"8880","QUEENS","Monday","2020-05-18T00:00:00.000","121 AVENUE","233 STREET",,"413",,"IN-HOUSE CREW","PAVING","DAY SHIFT","421370427100000000"
"168918","QUEENS","Friday","2023-03-17T00:00:00.000","122 AVENUE","195 STREET",,"412",,"IN-HOUSE CREW","MILLING","DAY SHIFT","421420425690000000"
"155803","QUEENS","Thursday","2022-09-22T00:00:00.000","69 PLACE","ELIOT AVENUE",,"405",,"CONTRACT WORK","MILLING","DAY SHIFT","414590443490000000"
"176551","QUEENS","Monday","2023-04-17T00:00:00.000","130 AVENUE","217 STREET",,"413",,"IN-HOUSE CREW","PAVING","DAY SHIFT","421870426740000000"
"105648","QUEENS","Wednesday","2021-09-29T00:00:00.000","131 STREET","133 AVENUE",,"410",,"IN-HOUSE CREW","PAVING","DAY SHIFT","421940422090000000"
"57367","QUEENS","Monday","2020-11-30T00:00:00.000","134 AVENUE","140 STREET",,"412",,"IN-HOUSE CREW","PAVING","DAY SHIFT","422130422690000000"
"3675","QUEENS","Monday","2019-12-02T00:00:00.000","160 STREET","LIBERTY AVENUE",,"412",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","424040453790000000"
"148188","QUEENS","Monday","2022-08-08T00:00:00.000","164 STREET","JEWEL AVENUE",,"408",,"IN-HOUSE CREW","PAVING","DAY SHIFT","424240451590000000"
"24545","QUEENS","Friday","2020-07-10T00:00:00.000","164 PLACE","165 STREET",,,,"IN-HOUSE CREW","MILLING","DAY SHIFT","424225424290000000"
"45038","QUEENS","Thursday","2020-09-24T00:00:00.000","140 STREET","31 DRIVE","31 ROAD","407","Flushing","IN-HOUSE CREW","MILLING","DAY SHIFT","422690408040408090"
"81404","QUEENS","Friday","2021-07-16T00:00:00.000","BEND","CAMBRIDGE ROAD",,"408",,"IN-HOUSE CREW","MILLING","DAY SHIFT","435780438330000000"
"159463","QUEENS","Monday","2022-10-10T00:00:00.000","GASKELL ROAD","MARATHON PARKWAY",,"411",,"CONTRACT WORK","PAVING","DAY SHIFT","446460454800000000"
"61011","QUEENS","Friday","2021-03-26T00:00:00.000","SHORE AVENUE","WALTHAM STREET",,"412",,"IN-HOUSE CREW","MILLING","DAY SHIFT","461990466790000000"
"138198","BROOKLYN","Tuesday","2022-06-21T00:00:00.000","CLINTON STREET","VERANDAH PLACE",,"306",,"IN-HOUSE CREW","PAVING","DAY SHIFT","327530387830000000"
"1261","STATEN ISLAND","Monday","2019-11-18T00:00:00.000","IBSEN AVENUE","WOEHRLE AVENUE",,"503",,"IN-HOUSE CREW","PAVING","DAY SHIFT","534112556185000000"
"1275","STATEN ISLAND","Monday","2019-11-18T00:00:00.000","WOEHRLE AVENUE","WARING AVENUE",,"503",,"IN-HOUSE CREW","PAVING","DAY SHIFT","556185570341000000"
"73446","QUEENS","Wednesday","2021-05-26T00:00:00.000","87 ROAD","LITTLE NECK PARKWAY",,"413",,"IN-HOUSE CREW","MILLING","DAY SHIFT","417690454120000000"
"1048","QUEENS","Wednesday","2019-11-13T00:00:00.000","39 AVENUE","240 STREET","DOUGLAS ROAD",,,"IN-HOUSE CREW","PAVING","DAY SHIFT","409140427130442781"
"24338","QUEENS","Tuesday","2020-07-07T00:00:00.000","NANSEN STREET","68 AVENUE","DEAD END",,,"IN-HOUSE CREW","MILLING","DAY SHIFT","456630414240441700"
"130170","QUEENS","Thursday","2022-04-28T00:00:00.000","176 STREET","93 AVENUE","DEAD END","412","Jamaica","IN-HOUSE CREW","PAVING","DAY SHIFT","424890418540441700"
"50429","QUEENS","Wednesday","2020-10-21T00:00:00.000","202 STREET","ROCKY HILL ROAD",,"411",,"IN-HOUSE CREW","MILLING","DAY SHIFT","425960460890000000"
"1095","QUEENS","Friday","2019-11-15T00:00:00.000","66 AVENUE","WEST ALLEY ROAD",,,,"IN-HOUSE CREW","PAVING","DAY SHIFT","413790467430000000"
"194788","BROOKLYN","Thursday","2023-08-10T00:00:00.000","AVENUE X","GERRITSEN AVENUE",,"318",,"CONTRACT WORK","MILLING","DAY SHIFT","314780343910000000"
"189828","QUEENS","Wednesday","2023-07-12T00:00:00.000","70 STREET","DITMARS BOULEVARD",,"401",,"IN-HOUSE CREW","PAVING","DAY SHIFT","414840442490000000"
"40980","STATEN ISLAND","Friday","2020-09-04T00:00:00.000","BARD AVENUE","BEND","BEND",,,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","517390518510518510"
"139766","BROOKLYN","Wednesday","2022-06-29T00:00:00.000","BIJOU AVENUE","DEAD END",,,,"IN-HOUSE CREW","MILLING","DAY SHIFT","319690332600000000"
"26124","QUEENS","Monday","2020-07-13T00:00:00.000","85 DRIVE","143 STREET","BEND",,,"IN-HOUSE CREW","MILLING","DAY SHIFT","417240422840435780"
"9177","QUEENS","Friday","2020-05-22T00:00:00.000","BEACH CHANNEL DRIVE","BEND","MOTT AVENUE",,,"CONTRACT WORK","MILLING","DAY SHIFT","435290435780456090"
"114956","QUEENS","Friday","2021-11-12T00:00:00.000","135 STREET","14 AVENUE","BEND","407","Whitestone","IN-HOUSE CREW","PAVING","DAY SHIFT","422240405940435780"
"197460","BROOKLYN","Friday","2023-08-25T00:00:00.000","67 STREET","BAY PARKWAY",,"311",,"IN-HOUSE CREW","MILLING","NIGHT SHIFT","309930317330000000"
"110512","QUEENS","Wednesday","2021-10-20T00:00:00.000","14 AVENUE","128 STREET","BEND",,,"CONTRACT WORK","MILLING","DAY SHIFT","405940421790435780"
"58499","BROOKLYN","Monday","2021-03-15T00:00:00.000","AVENUE U","BEND","BRIGHAM STREET",,,"IN-HOUSE CREW","MILLING","NIGHT SHIFT","314630318950321230"
"95126","BROOKLYN","Monday","2021-08-30T00:00:00.000","EASTERN PARKWAY","BEND",,,,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","338430318950 00000"
"70894","MANHATTAN","Monday","2021-05-10T00:00:00.000","ELLWOOD STREET","BROADWAY","BROADWAY",,,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","120290113610113610"
"138487","BROOKLYN","Thursday","2022-06-23T00:00:00.000","DEAD END","FLORENCE AVENUE",,"315",,"IN-HOUSE CREW","MILLING","DAY SHIFT","332600341190000000"
"59740","QUEENS","Monday","2021-03-15T00:00:00.000","HOLLIS AVENUE","BEND",,,,"IN-HOUSE CREW","MILLING","DAY SHIFT","449990435780 00000"
"191858","BROOKLYN","Monday","2023-07-24T00:00:00.000","BEND","OLIVE STREET",,"301",,"IN-HOUSE CREW","MILLING","DAY SHIFT","318950368130000000"
"68354","QUEENS","Thursday","2021-05-06T00:00:00.000","267 STREET","BOROUGH BOUNDARY",,,,"IN-HOUSE CREW","MILLING","DAY SHIFT","427330413185 00000"
"96244","QUEENS","Monday","2021-08-30T00:00:00.000","BROOKLYN QNS EXPRESSWAY","49 STREET",,,,"IN-HOUSE CREW","PAVING","DAY SHIFT","437395410740 00000"
"110726","STATEN ISLAND","Wednesday","2021-10-27T00:00:00.000","BEND","LIGHTNER AVENUE",,"502",,"IN-HOUSE CREW","PAVING","DAY SHIFT","518510536320000000"
"98898","BRONX","Friday","2021-09-10T00:00:00.000","FEATHERBED LANE","MACOMBS ROAD",,,,"IN-HOUSE CREW","PAVING","DAY SHIFT","232320248220 00000"
"9528","BROOKLYN","Monday","2020-05-18T00:00:00.000","AVENUE D","EAST 99 STREET",,"318",,"IN-HOUSE CREW","MILLING","DAY SHIFT","313880338180000000"
"31610","QUEENS","Tuesday","2020-07-28T00:00:00.000","27 STREET","AMTRAK RAILROAD",,"401",,"IN-HOUSE CREW","PAVING","DAY SHIFT","407490428020000000"
"32294","BROOKLYN","Monday","2020-08-03T00:00:00.000","WILLIAMSBURG BRIDGE","WYTHE AVENUE",,,,"CONTRACT WORK","MILLING","DAY SHIFT","397300395030 00000"
"27821","BRONX","Friday","2020-07-17T00:00:00.000","JEROME AVENUE","BEND",,,,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","242820212550 00000"
"94279","QUEENS","Monday","2021-08-23T00:00:00.000","51 STREET","54 STREET",,"401",,"IN-HOUSE CREW","PAVING","DAY SHIFT","410940411390000000"
"45072","QUEENS","Friday","2020-09-25T00:00:00.000","7 AVENUE","I 678",,"407",,"IN-HOUSE CREW","MILLING","DAY SHIFT","405340466290000000"
"7220","QUEENS","Monday","2020-05-11T00:00:00.000","39 STREET","49 AVENUE",,"402",,"IN-HOUSE CREW","MILLING","NIGHT SHIFT","409290410690000000"
"18978","MANHATTAN","Tuesday","2020-06-16T00:00:00.000","1 AVENUE","EAST 50 STREET",,"106",,"CONTRACT WORK","MILLING","NIGHT SHIFT","110010117990000000"
"198026","MANHATTAN","Monday","2023-08-28T00:00:00.000","8 AVENUE","WEST 38 STREET","WEST 39 STREET","105","Clinton","CONTRACT WORK","MILLING","NIGHT SHIFT","110810134530134550"
"198028","MANHATTAN","Monday","2023-08-28T00:00:00.000","8 AVENUE","WEST 39 STREET","WEST 40 STREET","105","Clinton","CONTRACT WORK","MILLING","NIGHT SHIFT","110810134550134570"
"198029","MANHATTAN","Monday","2023-08-28T00:00:00.000","8 AVENUE","WEST 40 STREET",,"105",,"CONTRACT WORK","MILLING","NIGHT SHIFT","110810134570000000"
"198031","MANHATTAN","Monday","2023-08-28T00:00:00.000","8 AVENUE","WEST 41 STREET",,"105",,"CONTRACT WORK","MILLING","NIGHT SHIFT","110810134590000000"
"198019","MANHATTAN","Monday","2023-08-28T00:00:00.000","8 AVENUE","WEST 35 STREET",,"104",,"CONTRACT WORK","MILLING","NIGHT SHIFT","110810134470000000"
"198030","MANHATTAN","Monday","2023-08-28T00:00:00.000","8 AVENUE","WEST 40 STREET","WEST 41 STREET","105","Clinton","CONTRACT WORK","MILLING","NIGHT SHIFT","110810134570134590"
"198098","MANHATTAN","Monday","2023-08-28T00:00:00.000","3 AVENUE","EAST 80 STREET",,"108",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","110210118590000000"
"198018","MANHATTAN","Monday","2023-08-28T00:00:00.000","8 AVENUE","WEST 34 STREET","WEST 35 STREET","104","Hudson Yards-Chelsea-Flatiron-Union Square","CONTRACT WORK","MILLING","NIGHT SHIFT","110810134450134470"
"198020","MANHATTAN","Monday","2023-08-28T00:00:00.000","8 AVENUE","WEST 35 STREET","WEST 36 STREET","104","Hudson Yards-Chelsea-Flatiron-Union Square","CONTRACT WORK","MILLING","NIGHT SHIFT","110810134470134490"
"198025","MANHATTAN","Monday","2023-08-28T00:00:00.000","8 AVENUE","WEST 38 STREET",,"105",,"CONTRACT WORK","MILLING","NIGHT SHIFT","110810134530000000"
"198027","MANHATTAN","Monday","2023-08-28T00:00:00.000","8 AVENUE","WEST 39 STREET",,"105",,"CONTRACT WORK","MILLING","NIGHT SHIFT","110810134550000000"
"198105","MANHATTAN","Monday","2023-08-28T00:00:00.000","3 AVENUE","EAST 83 STREET","EAST 84 STREET","108","Upper East Side-Carnegie Hill","IN-HOUSE CREW","PAVING","NIGHT SHIFT","110210118650118670"
"198097","MANHATTAN","Monday","2023-08-28T00:00:00.000","3 AVENUE","EAST 79 STREET","EAST 80 STREET","108","Upper East Side-Carnegie Hill","IN-HOUSE CREW","PAVING","NIGHT SHIFT","110210118570118590"
"198104","MANHATTAN","Monday","2023-08-28T00:00:00.000","3 AVENUE","EAST 83 STREET",,"108",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","110210118650000000"
"198106","MANHATTAN","Monday","2023-08-28T00:00:00.000","3 AVENUE","EAST 84 STREET",,"108",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","110210118670000000"
"198113","MANHATTAN","Monday","2023-08-28T00:00:00.000","3 AVENUE","EAST 87 STREET","EAST 88 STREET","108","Upper East Side-Carnegie Hill","IN-HOUSE CREW","PAVING","NIGHT SHIFT","110210118730118750"
"198109","MANHATTAN","Monday","2023-08-28T00:00:00.000","3 AVENUE","EAST 85 STREET","EAST 86 STREET","108","Upper East Side-Carnegie Hill","IN-HOUSE CREW","PAVING","NIGHT SHIFT","110210118690118710"
"198111","MANHATTAN","Monday","2023-08-28T00:00:00.000","3 AVENUE","EAST 86 STREET","EAST 87 STREET","108","Upper East Side-Carnegie Hill","IN-HOUSE CREW","PAVING","NIGHT SHIFT","110210118710118730"
"198108","MANHATTAN","Monday","2023-08-28T00:00:00.000","3 AVENUE","EAST 85 STREET",,"108",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","110210118690000000"
"198110","MANHATTAN","Monday","2023-08-28T00:00:00.000","3 AVENUE","EAST 86 STREET",,"108",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","110210118710000000"
"198120","MANHATTAN","Monday","2023-08-28T00:00:00.000","3 AVENUE","EAST 91 STREET",,"108",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","110210118810000000"
"198122","MANHATTAN","Monday","2023-08-28T00:00:00.000","3 AVENUE","EAST 92 STREET",,"108",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","110210118820000000"
"198189","MANHATTAN","Friday","2023-09-01T00:00:00.000","3 AVENUE","EAST 96 STREET","EAST 97 STREET","108","East Harlem South","IN-HOUSE CREW","PAVING","NIGHT SHIFT","110210118890118910"
"198196","MANHATTAN","Friday","2023-09-01T00:00:00.000","3 AVENUE","EAST 100 STREET",,"111",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","110210118970000000"
"198198","MANHATTAN","Friday","2023-09-01T00:00:00.000","3 AVENUE","EAST 101 STREET",,"111",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","110210118990000000"
"198202","MANHATTAN","Friday","2023-09-01T00:00:00.000","3 AVENUE","EAST 104 STREET","EAST 105 STREET","111","East Harlem South","IN-HOUSE CREW","PAVING","NIGHT SHIFT","110210119050119070"
"198199","MANHATTAN","Friday","2023-09-01T00:00:00.000","3 AVENUE","EAST 101 STREET","EAST 102 STREET","111","East Harlem South","IN-HOUSE CREW","PAVING","NIGHT SHIFT","110210118990119010"
"198200","MANHATTAN","Friday","2023-09-01T00:00:00.000","3 AVENUE","EAST 102 STREET",,"111",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","110210119010000000"
"198107","MANHATTAN","Monday","2023-08-28T00:00:00.000","3 AVENUE","EAST 84 STREET","EAST 85 STREET","108","Upper East Side-Carnegie Hill","IN-HOUSE CREW","PAVING","NIGHT SHIFT","110210118670118690"
"198121","MANHATTAN","Monday","2023-08-28T00:00:00.000","3 AVENUE","EAST 91 STREET","EAST 92 STREET","108","Upper East Side-Carnegie Hill","IN-HOUSE CREW","PAVING","NIGHT SHIFT","110210118810118820"
"198112","MANHATTAN","Monday","2023-08-28T00:00:00.000","3 AVENUE","EAST 87 STREET",,"108",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","110210118730000000"
"198114","MANHATTAN","Monday","2023-08-28T00:00:00.000","3 AVENUE","EAST 88 STREET",,"108",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","110210118750000000"
"198190","MANHATTAN","Friday","2023-09-01T00:00:00.000","3 AVENUE","EAST 97 STREET",,"111",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","110210118910000000"
"198099","MANHATTAN","Monday","2023-08-28T00:00:00.000","3 AVENUE","EAST 80 STREET","EAST 81 STREET","108","Upper East Side-Carnegie Hill","IN-HOUSE CREW","PAVING","NIGHT SHIFT","110210118590118610"
"198101","MANHATTAN","Monday","2023-08-28T00:00:00.000","3 AVENUE","EAST 81 STREET","EAST 82 STREET","108","Upper East Side-Carnegie Hill","IN-HOUSE CREW","PAVING","NIGHT SHIFT","110210118610118630"
"198195","MANHATTAN","Friday","2023-09-01T00:00:00.000","3 AVENUE","EAST 99 STREET","EAST 100 STREET","111","East Harlem South","IN-HOUSE CREW","PAVING","NIGHT SHIFT","110210118950118970"
"198197","MANHATTAN","Friday","2023-09-01T00:00:00.000","3 AVENUE","EAST 100 STREET","EAST 101 STREET","111","East Harlem South","IN-HOUSE CREW","PAVING","NIGHT SHIFT","110210118970118990"
"198201","MANHATTAN","Friday","2023-09-01T00:00:00.000","3 AVENUE","EAST 104 STREET",,"111",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","110210119050000000"
"198203","MANHATTAN","Friday","2023-09-01T00:00:00.000","3 AVENUE","EAST 105 STREET",,"111",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","110210119070000000"
"198100","MANHATTAN","Monday","2023-08-28T00:00:00.000","3 AVENUE","EAST 81 STREET",,"108",,"IN-HOUSE CREW","PAVING","NIGHT SHIFT","110210118610000000"
"198021","MANHATTAN","Monday","2023-08-28T00:00:00.000","8 AVENUE","WEST 36 STREET",,"105",,"CONTRACT WORK","MILLING","NIGHT SHIFT","110810134490000000"
"198022","MANHATTAN","Monday","2023-08-28T00:00:00.000","8 AVENUE","WEST 36 STREET","WEST 37 STREET","105","Hudson Yards-Chelsea-Flatiron-Union Square","CONTRACT WORK","MILLING","NIGHT SHIFT","110810134490134510"
"198023","MANHATTAN","Monday","2023-08-28T00:00:00.000","8 AVENUE","WEST 37 STREET",,"105",,"CONTRACT WORK","MILLING","NIGHT SHIFT","110810134510000000"
"198024","MANHATTAN","Monday","2023-08-28T00:00:00.000","8 AVENUE","WEST 37 STREET","WEST 38 STREET","105","Hudson Yards-Chelsea-Flatiron-Union Square","CONTRACT WORK","MILLING","NIGHT SHIFT","110810134510134530"
"198115","MANHATTAN","Monday","2023-08-28T00:00:00.000","3 AVENUE","EAST 88 STREET","EAST 89 STREET","108","Upper East Side-Carnegie Hill","IN-HOUSE CREW","PAVING","NIGHT SHIFT","110210118750118770"
"151603","MANHATTAN","Friday","2022-09-02T00:00:00.000","1 AVENUE","EAST 12 STREET","EAST 13 STREET","103","East Village","CONTRACT WORK","MILLING","NIGHT SHIFT","110010117230117250"
"152578","MANHATTAN","Tuesday","2022-09-06T00:00:00.000","1 AVENUE","EAST 12 STREET","EAST 13 STREET","103","East Village","CONTRACT WORK","MILLING","NIGHT SHIFT","110010117230117250"
