"the_geom","borocode","boroname","borocd","coundist","assemdist","stsendist","congdist","main_stree","cross_stre","barnes_dan","modified_b","mid_block_","t_oneway_a","t_oneway_1","installati","ntaname","femafldz","femafldt","hrcevac"
"POINT (-73.94944972151087 40.634500773937035)","3","Brooklyn","314","45","42","21","9","Flatbush Avenue","Glenwood Rd E Leg","X",,,,,"2022-03-11T00:00:00.000","Flatbush","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.97362170526674 40.798772742628245)","1","Manhattan","107","6","69","47","12","Riverside Drive","west 100 Street",,,"X",,,,"Upper West Side-Manhattan Valley","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.99656511782315 40.72953894960651)","1","Manhattan","102","1","66","27","10","Washington Square So","Washington Square E",,,,,"X",,"Greenwich Village","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.97928970778723 40.71375375904471)","1","Manhattan","103","2","65","27","10","Grand Street","Madison Street","X",,,,,,"Lower East Side","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.8723717402135 40.742444749735974)","4","Queens","404","25","39","13","6","Corona Avenue","92 Street",,,,"X",,,"Elmhurst","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.94331571551879 40.7851657437903)","1","Manhattan","111","8","68","29","12","1 Avenue","East 99 Street",,,,"X",,,"East Harlem (South)","AE",,"2"
"POINT (-73.96428671564625 40.66582576774076)","3","Brooklyn","355","35","44","20","10","Flatbush Avenue","Prospect park Zoo",,,"X",,,,"Prospect Park","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.88777473003981 40.837370732076494)","2","Bronx","203","17","79","32","15","Boston Road","Southern Boulevard","X",,,,,"2006-01-10T00:00:00.000","Crotona Park East","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.95207071243422 40.792958742671544)","1","Manhattan","111","8","68","29","13","5 Avenue","East 104 Street",,,,,"X",,"East Harlem (South)","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.91677171841263 40.879449724566165)","2","Bronx","208","11","81","33","15","Kappock Street","Knolls Crescent & Netherland Ave",,"X",,,,,"Riverdale-Spuyten Duyvil","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.89178972951346 40.82306873513007)","2","Bronx","202","17","85","32","14","Southern Boulevard","Aldus Street",,,,"X",,,"Longwood","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.97546070587576 40.7768907469753)","1","Manhattan","164","6","67","28","12","Central Park W","W 73 Street",,,,,"X",,"Central Park","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.9034667251894 40.83034473404646)","2","Bronx","203","16","79","32","15","East 168 Street","Franklin Avenue","X",,,,,,"Morrisania","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.91657672999813 40.66979076594593)","3","Brooklyn","316","41","55","25","8","East NY Avenue","St Johns Pl",,"X",,,,"2017-11-03T00:00:00.000","Brownsville","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-74.01691970116352 40.62881377704497)","3","Brooklyn","310","43","49","17","11","7 Avenue SB","72 Street",,,,,"X",,"Dyker Heights","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.8825677374226 40.74776974896047)","4","Queens","404","21","39","13","6","Roosevelt Avenue","Baxter Avenue","X",,,,,"2018-11-29T00:00:00.000","Elmhurst","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.9651737077769 40.79098174334499)","1","Manhattan","164","6","69","47","12","Central Park W","W 95 Street",,,,,"X",,"Central Park","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.90371273032275 40.744902750762535)","4","Queens","402","26","30","12","6","Woodside Avenue","61 Str (W Leg)",,,,,"X",,"Woodside","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.95286671091917 40.815836738217556)","1","Manhattan","109","9","70","30","13","Convent Avenue","W 131 Street",,,,,"X",,"Manhattanville-West Harlem","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.95847971009208 40.80066374128905)","1","Manhattan","107","7","69","30","13","Frederick Douglass Circle","Cathedral Pkwy","X",,,,,"2006-08-19T00:00:00.000","Upper West Side-Manhattan Valley","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.94524271546743 40.77423874650177)","1","Manhattan","108","5","76","28","12","East End Avenue","E  85 Street",,,,"X",,,"Upper East Side-Yorkville","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.97164570747216 40.766132748680256)","1","Manhattan","108","4","73","28","12","5 Avenue","East 62 Street",,,,,"X",,"Upper East Side-Carnegie Hill","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.97385371080614 40.69326176265538)","3","Brooklyn","302","35","57","25","7","Myrtle Avenue","Washington Park",,,,"X",,,"Fort Greene","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.98394570562856 40.733713755731955)","1","Manhattan","106","2","74","59","12","2 Avenue","E 16 Street",,,"X",,,,"Gramercy","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.99113270296162 40.7358637549285)","1","Manhattan","105","2","66","28","12","UNION SQUARE WEST","EAST 15 ST",,,,,"X",,"Midtown South-Flatiron-Union Square","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-74.01254344423766 40.71309095614932)","1","Manhattan","101","1","61","27","10","VESEY ST","WASHINGTON STREET",,,,"X",,,"Financial District-Battery Park City","AE",,"1"
"POINT (-73.98598070148675 40.77772874686781)","1","Manhattan","107","6","67","47","12","West End Avenue","W 69 Street",,,"X",,,,"Upper West Side-Lincoln Square","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.86817773238579 40.90239071817211)","2","Bronx","212","11","81","36","15","Van Courtland Park East","katonah Ave & East 242 Street","X",,,,,,"Wakefield-Woodlawn","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.97234171267226 40.667615767849995)","3","Brooklyn","355","39","44","20","10","Prospect Park","Post # 2",,,,,"X",,"Prospect Park","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.94417971485521 40.79223674224077)","1","Manhattan","111","8","68","29","13","3 Avenue","East 107 Street",,,,"X",,,"East Harlem (South)","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","3"
"POINT (-73.97907570646765 40.740386753919374)","1","Manhattan","106","2","74","59","12","2 Avenue","E 27 Street",,,,,"X",,"Murray Hill-Kips Bay","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.89861173234657 40.746145750442004)","4","Queens","402","26","30","12","6","Roosevelt Avenue","Ped crossing 400' W of Union Str",,,"X",,,,"Woodside","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.94585471140927 40.83855173331425)","1","Manhattan","112","7","71","31","13","Riverside Drive","West 163 Street",,,"X",,,,"Washington Heights (South)","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.95718371452942 40.72705975620066)","3","Brooklyn","301","33","50","59","7","Franklin Street","Calyer Street",,,,"X",,,"Greenpoint","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","2"
"POINT (-73.95763371040175 40.78533674432244)","1","Manhattan","108","4","73","28","12","5 Avenue","East 92 Street",,,,,"X",,"Upper East Side-Carnegie Hill","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.93864771597323 40.79155074215707)","1","Manhattan","111","8","68","29","13","1 Avenue","East 109 Street",,,,,"X",,"East Harlem (South)","AE",,"3"
"POINT (-73.90798972397776 40.83517573290887)","2","Bronx","203","16","79","32","15","Webster Avenue","South of East 170 Street",,,"X",,,,"Claremont Village-Claremont (East)","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.98870070453293 40.71417775981605)","1","Manhattan","103","1","65","27","10","East Broadway","Jefferson Street",,,,"X",,,"Chinatown-Two Bridges","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.99392670515633 40.68644476506033)","3","Brooklyn","306","33","52","26","10","Court Street","Warren Street",,,,"X",,,"Carroll Gardens-Cobble Hill-Gowanus-Red Hook","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.89128072669814 40.877703724311196)","2","Bronx","207","11","81","33","13","West 205 Street","240 EOF of Goulded Avenue",,,"X",,,,"Bedford Park","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.82185775732108 40.73442875009983)","4","Queens","408","24","27","16","6","Melbourne Avenue","149 Street",,,,,"X","1905-07-11T00:00:00.000","Kew Gardens Hills","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.8097107635821 40.6921987581404)","4","Queens","412","28","32","10","5","Liberty Avenue","Remington Street",,,,"X",,"2019-09-03T00:00:00.000","South Jamaica","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.98630370832916 40.669163768365976)","3","Brooklyn","306","39","44","26","10","5 Avenue","9 Street","X",,,,,"2022-03-13T00:00:00.000","Park Slope","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.93135271435636 40.85929672900258)","1","Manhattan","112","10","72","31","13","Broadway","Nagle Avenue",,,,"X",,"1969-08-06T00:00:00.000","Washington Heights (North)","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.9820917034357 40.76888274822147)","1","Manhattan","107","3","75","47","12","Broadway","W 60 Street","X",,,,,"1994-07-15T00:00:00.000","Upper West Side-Lincoln Square","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.98199571256814 40.613263779539714)","3","Brooklyn","311","44","47","17","9","Bay Pkwy","66 ST & W 7 ST",,,,"X",,,"Bensonhurst","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.92579171685206 40.8582217285314)","1","Manhattan","112","10","72","31","13","Ft. George Avenue","Ft. George Crosswalk",,,,,"X",,"Highbridge Park","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.8368867454762 40.85728372637311)","2","Bronx","211","13","80","34","14","Pelham Parkway North S/R","Stillwell Avenue","X",,,,,,"Morris Park","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.97960771574947 40.57757078593485)","3","Brooklyn","313","48","46","23","8","W 12 Street","betw. Neptune Ave- Surf Avenue",,,"X",,,,"Coney Island-Sea Gate","AE",,"1"
"POINT (-73.9595357098481 40.79870974155853)","1","Manhattan","164","6","68","30","12","Central Park W","W 107 Street",,,,,"X",,"Central Park","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.92136971841038 40.846244731054675)","2","Bronx","205","14","77","31","15","University Avenue","Featherbed Lane Ped Crossing",,,,,"X",,"University Heights (South)-Morris Heights","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.76845677316938 40.760375742820955)","4","Queens","411","19","25","16","6","Northern Boulevard","214 Place",,,,"X",,,"Bayside","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.9846767061421 40.72172275771229)","1","Manhattan","103","2","65","27","10","East Houston St","Suffolk Street",,,,"X",,,"Lower East Side","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-74.00652769703278 40.749544753475774)","1","Manhattan","104","3","75","47","12","11 Avenue","West 24 Street",,"X",,,,,"Chelsea-Hudson Yards","AE",,"1"
"POINT (-73.99263671137925 40.57811078680278)","3","Brooklyn","313","47","46","23","8","Neptune Avenue","West 25 Street",,,,"X",,,"Coney Island-Sea Gate","AE",,"1"
"POINT (-73.96607470836858 40.773764747251626)","1","Manhattan","108","4","73","28","12","5 Avenue","East 74 Street",,,,,"X",,"Upper East Side-Carnegie Hill","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.93988671389491 40.83578473383486)","1","Manhattan","112","10","72","31","13","Amsterdam Avenue","West 162 Street",,"X",,,,,"Washington Heights (South)","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.77110377414138 40.71596575153253)","4","Queens","412","23","29","11","5","Hillside Avenue","191 Street",,,,"X",,,"Hollis","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.94639971177084 40.82056273739181)","1","Manhattan","110","9","70","30","13","St Nicholas Avenue","West 140 Street",,,,,"X",,"Harlem (North)","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.98093370874322 40.693527763683335)","3","Brooklyn","302","35","57","26","7","Myrtle Avenue","Pedestrian Crossing (Hud.Walk)",,,"X",,,,"Fort Greene","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-74.01631869651885 40.706621761551176)","1","Manhattan","101","1","61","27","10","West St S/B","Morris St",,,"X",,,,"Financial District-Battery Park City","AE",,"1"
"POINT (-73.96609170745604 40.789725744000265)","1","Manhattan","164","6","69","47","12","Central Park W","W 93 Street",,,,,"X",,"Central Park","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.94764371316049 40.7961497415551)","1","Manhattan","111","8","68","29","13","Madison Avenue","E 110 Street",,,,,"X",,"East Harlem (South)","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-74.005893699003 40.72501775805597)","1","Manhattan","102","3","66","27","10","VARICK ST","DOMINICK STREET",,,,"X",,,"SoHo-Little Italy-Hudson Square","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.96616071458332 40.665280768362415)","3","Brooklyn","355","39","44","20","10","Prospect Park","Post # 17",,,,,"X",,"Prospect Park","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.95015771265584 40.79557974191488)","1","Manhattan","111","9","68","29","13","5 Avenue","East 108 Street",,,,,"X",,"East Harlem (South)","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","4"
"POINT (-74.00811669885758 40.70465176198408)","1","Manhattan","101","1","61","27","10","Water Street","Gouverneur Lane",,,,,"X",,"Financial District-Battery Park City","AE",,"1"
"POINT (-73.936654714694 40.83000773443002)","1","Manhattan","110","9","71","30","13","8 Avenue","W 156 Street",,,"X",,,,"Harlem (North)","X","AREA OF MINIMAL FLOOD HAZARD","3"
"POINT (-73.98444970200032 40.78318274557904)","1","Manhattan","107","6","67","47","12","Riverside Drive","West 76 Street",,,,,"X",,"Upper West Side (Central)","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.94193971493848 40.79130674231728)","1","Manhattan","111","8","68","29","13","2 Avenue","E 107 Street",,,"X",,,,"East Harlem (South)","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","3"
"POINT (-73.93808571545667 40.81789073742374)","1","Manhattan","110","9","70","30","13","Lenox Avenue","W 141 Street",,,,,"X",,"Harlem (North)","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.92208572096582 40.813722737704175)","2","Bronx","201","8","84","29","15","3 Avenue","East 144 Street",,,,,"X",,"Mott Haven-Port Morris","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.91617672533042 40.76237674750919)","4","Queens","401","22","36","12","14","Steinway Street","440' N of 31 Avenue",,,"X",,,"2018-05-22T00:00:00.000","Astoria (East)-Woodside (North)","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-74.00081770034991 40.71692075958196)","1","Manhattan","101","1","65","27","10","Centre Street","White Street",,,,"X",,,"Tribeca-Civic Center","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.97534870846981 40.73310275529235)","1","Manhattan","106","4","74","59","12","East 20 Street","E 20 St Loop ENT Avenue B",,,,,"X",,"Stuyvesant Town-Peter Cooper Village","AE",,"1"
"POINT (-73.81798575954863 40.71934575319843)","4","Queens","408","24","27","14","6","Main Street","78 Road","X",,,,,"2019-09-10T00:00:00.000","Kew Gardens Hills","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.96792471513402 40.653284770504534)","3","Brooklyn","355","39","44","20","10","Prospect Park","Post # 10",,,,,"X",,"Prospect Park","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-74.00920869625347 40.74134175434712)","1","Manhattan","102","3","66","47","10","West St","13 Street",,,"X",,,,"West Village","AE",,"1"
"POINT (-73.99072770505644 40.69304076366853)","3","Brooklyn","302","33","52","26","10","Court Street","Remsen Street",,"X",,,,"2000-11-15T00:00:00.000","Downtown Brooklyn-DUMBO-Boerum Hill","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.95080971967317 40.662343768071665)","3","Brooklyn","309","40","43","20","9","Nostrand Ave","Lefferts Avenue",,"X",,,,"2022-03-13T00:00:00.000","Prospect Lefferts Gardens-Wingate","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-74.00650069781874 40.73241675656785)","1","Manhattan","102","3","66","27","10","Hudson Street","Grove Street",,,,,"X",,"West Village","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.80634377036165 40.58807077804651)","4","Queens","414","32","23","10","5","Rockaway Beach Blvd","Beach 80 Street",,,,"X",,,"Rockaway Beach-Arverne-Edgemere","AE",,"1"
"POINT (-73.96697870613666 40.807588740219366)","1","Manhattan","109","7","69","30","12","Riverside Drive","West 114 Street","X",,,,,,"Morningside Heights","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.83273574601434 40.870583723296875)","2","Bronx","210","12","82","36","14","Baychester Avenue","New England Thruway Ent Ramp",,,,,"X",,"Co-op City","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-74.01698169615688 40.704795762542254)","1","Manhattan","101","1","61","27","10","Battery Place","West Street N/B","X",,,,,,"Financial District-Battery Park City","AE",,"1"
"POINT (-73.98484670642077 40.71171476008729)","1","Manhattan","103","1","65","27","10","Montgomery Street","Cherry Street",,,,"X",,,"Lower East Side","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-74.01325369741642 40.70586076209359)","1","Manhattan","101","1","61","27","10","Broadway","Morris Street",,,,"X",,,"Financial District-Battery Park City","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.88218273283903 40.81641173562519)","2","Bronx","202","17","84","29","14","Edgwater Road","Halleck Street & Hunts Point",,"X",,,,,"Hunts Point","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.97894670882039 40.691913763883434)","3","Brooklyn","302","35","57","26","7","Ashland Place","Willoughby Street",,,,,"X",,"Fort Greene","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.9101737219132 40.851972729681926)","2","Bronx","205","14","77","33","15","West Tremont Avenue","Davidson Avenue",,,,"X",,,"University Heights (South)-Morris Heights","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.9689527069039 40.79598174272111)","1","Manhattan","107","7","69","47","12","Amsterdam Avenue","West 99 Street",,,,"X",,,"Upper West Side-Manhattan Valley","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.93354972871401 40.6026797796923)","3","Brooklyn","315","46","59","22","8","Avenue U","Burnett Street",,"X",,,,,"Sheepshead Bay-Manhattan Beach-Gerritsen Beach","X","AREA OF MINIMAL FLOOD HAZARD","3"
"POINT (-73.929848717473 40.813114737547465)","2","Bronx","201","8","84","29","15","E 138 St","Grand Concourse NB","X",,,,,"2017-12-27T00:00:00.000","Mott Haven-Port Morris","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.89385773452344 40.72680375404153)","4","Queens","405","30","30","12","6","Grand Avenue","69 Lane",,,,"X",,,"Maspeth","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.96884170726184 40.785960744197595)","1","Manhattan","164","6","69","47","12","Central Park W","W 87 Street",,,,,"X",,"Central Park","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.94226472026537 40.701628760118275)","3","Brooklyn","301","34","53","18","7","Graham Avenue","Debevoise Street",,,,,"X",,"East Williamsburg","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.94985871109215 40.81379073834213)","1","Manhattan","110","9","70","30","13","St Nicholas Avenue","West 130 Street",,,"X",,,,"Harlem (North)","X","AREA OF MINIMAL FLOOD HAZARD",
