"name","meeting_date","meeting_time","meeting_location","meeting_topic"
"Committee on Economic Development","2014-12-11T00:00:00.000","1:00 PM","Committee Room - City Hall","Oversight – Mayor’s Office of Workforce Development: Structural Reforms of the City’s Workforce Development Systems."
,,,"Jointly with the Committee on Community Development and the Committee on Civil Service and Labor",
"Committee on Community Development","2014-12-11T00:00:00.000","1:00 PM","Committee Room - City Hall","Oversight – Mayor’s Office of Workforce Development: Structural Reforms of the City’s Workforce Development Systems."
,,,"Jointly with the Committee on Economic Development and the Committee on Civil Service and Labor",
"Committee on Courts and Legal Services","2014-12-11T00:00:00.000","Deferred","250 Broadway, Committee Room, 14th Floor",
"Committee on Civil Service and Labor","2014-12-11T00:00:00.000","1:00 PM","Committee Room - City Hall","Oversight – Mayor’s Office of Workforce Development: Structural Reforms of the City’s Workforce Development Systems."
,,,"Jointly with the Committee on Economic Development and the Committee on Community Development",
"Committee on Finance","2014-12-11T00:00:00.000","10:00 AM","250 Broadway - Committee Rm, 14th Fl.","Oversight - The Department of Small Business Services' Neighborhood Development Programs."
,,,"Jointly with the Committee on Small Business",
"Committee on Small Business","2014-12-11T00:00:00.000","10:00 AM","250 Broadway - Committee Rm, 14th Fl.","Oversight - The Department of Small Business Services' Neighborhood Development Programs."
,,,"Jointly with the Committee on Finance",
"Committee on Parks and Recreation","2014-12-11T00:00:00.000","Deferred","Committee Room - City Hall","Annual report on non-governmental funding for NYC parks."
"Committee on Education","2014-12-11T00:00:00.000","10:00 AM","Council Chambers - City Hall","Multiple meeting items, please see Meeting Details for more information"
"Committee on Civil Rights","2014-12-10T00:00:00.000","Deferred","Committee Room - City Hall","Prohibiting discrimination based on one’s arrest record or criminal conviction."
"Committee on Higher Education","2014-12-10T00:00:00.000","1:00 PM","250 Broadway - Committee Rm, 14th Fl.","Oversight: SEEK and College Discovery Programs at CUNY."
"Committee on Cultural Affairs, Libraries and International Intergroup Relations","2014-12-10T00:00:00.000","1:00 PM","Council Chambers - City Hall","Oversight - New York City Public Library Systems’ Capital Needs & Planning."
,,,"Jointly with the Subcommittee on Libraries",
"Subcommittee on Libraries","2014-12-10T00:00:00.000","1:00 PM","Council Chambers - City Hall","Oversight - New York City Public Library Systems’ Capital Needs & Planning."
,,,"Jointly with the Committee on Cultural Affairs, Libraries and International Intergroup Relations",
"Committee on Fire and Criminal Justice Services","2014-12-10T00:00:00.000","10:00 AM","Council Chambers - City Hall","Multiple meeting items, please see Meeting Details for more information"
,,,"Jointly with the Committee on Women’s Issues and the Committee on Contracts - VIDEO PART 2",
"Committee on Women's Issues","2014-12-10T00:00:00.000","10:00 AM","Council Chambers - City Hall","Multiple meeting items, please see Meeting Details for more information"
,,,"Jointly with the Committee on Fire and Criminal Justice Services and the Committee on Contracts - VIDEO PART 1",
"Committee on Contracts","2014-12-10T00:00:00.000","10:00 AM","Council Chambers - City Hall","Multiple meeting items, please see Meeting Details for more information"
,,,"Jointly with the Committee on Fire and Criminal Justice Services and the Committee on Women's Issues",
"Committee on Oversight and Investigations","2014-12-10T00:00:00.000","10:00 AM","Committee Room - City Hall","Oversight - Evaluating the Structure and Content of the Mayor’s Management Report."
,,,"Jointly with the Committee on Governmental Operations",
"Committee on Governmental Operations","2014-12-10T00:00:00.000","10:00 AM","Committee Room - City Hall","Oversight - Evaluating the Structure and Content of the Mayor’s Management Report."
,,,"Jointly with the Committee on Oversight and Investigations",
"Committee on Housing and Buildings","2014-12-09T00:00:00.000","1:00 PM","250 Broadway - Committee Rm, 14th Fl.","Multiple meeting items, please see Meeting Details for more information"
"Committee on Sanitation and Solid Waste Management","2014-12-09T00:00:00.000","1:00 PM","Committee Room - City Hall","Oversight - NYC’s E-Waste Policy: How the City is Ramping Up its Efforts in Light of the 2015 Disposal Ban."
"Committee on Public Housing","2014-12-09T00:00:00.000","Deferred","Council Chambers - City Hall","Oversight: The Relationship between Lighting and Safety in the Wake of the Akai Gurley Shooting."
"Committee on Aging","2014-12-09T00:00:00.000","10:00 AM","250 Broadway - Committee Rm, 14th Fl.","Oversight - Providing Support to New York City’s Caregivers."
"Committee on Waterfronts","2014-12-09T00:00:00.000","Deferred","250 Broadway - Committee Rm, 16th Fl.",
"Committee on Recovery and Resiliency","2014-12-09T00:00:00.000","Deferred","Council Chambers - City Hall","Creation of a Hurricane Sandy community groups and houses of worship recovery task force."
"City Council Stated Meeting","2014-12-08T00:00:00.000","1:30 PM","Council Chambers - City Hall","Multiple meeting items, please see Meeting Details for more information"
"Committee on Finance","2014-12-08T00:00:00.000","10:00 AM","Committee Room - City Hall","Multiple meeting items, please see Meeting Details for more information"
"Committee on Housing and Buildings","2014-12-08T00:00:00.000","10:00 AM","Council Chambers - City Hall","Conforming the NYC energy conservation code to the NYS energy code with amendments unique to construction in the city and repealing section 28-1001.2 in relation thereto."
"Committee on Health","2014-12-05T00:00:00.000","1:00 PM","Committee Room - City Hall","Multiple meeting items, please see Meeting Details for more information"
"Committee on Sanitation and Solid Waste Management","2014-12-05T00:00:00.000","Deferred","Council Chambers - City Hall","Oversight - NYC’s E-Waste Policy: How the City is Ramping Up its Efforts in Light of the 2015 Disposal Ban."
"Committee on Environmental Protection","2014-12-04T00:00:00.000","11:00 AM","250 Broadway - Committee Rm, 16th Fl.","Multiple meeting items, please see Meeting Details for more information"
"Committee on Land Use","2014-12-04T00:00:00.000","11:00 AM","Committee Room - City Hall","Multiple meeting items, please see Meeting Details for more information"
"Subcommittee on Landmarks, Public Siting and Maritime Uses","2014-12-04T00:00:00.000","10:30 AM","Committee Room - City Hall","Landmarks, 1918 First Ave, Manhattan (20155169 HHM)"
"Committee on General Welfare","2014-12-04T00:00:00.000","Deferred","Council Chambers - City Hall",
"Committee on Transportation","2014-12-03T00:00:00.000","10:00 AM","Council Chambers - City Hall","Oversight - App Technology and the Transformation of the Taxi and For-Hire Industries."
"Committee on Civil Rights","2014-12-03T00:00:00.000","10:00 AM","Committee Room - City Hall","Prohibiting discrimination based on one’s arrest record or criminal conviction."
"Subcommittee on Zoning and Franchises","2014-12-02T00:00:00.000","2:00 PM","Committee Room - City Hall","Oversight – Cablevision Franchise Agreement and Collective Bargaining"
"Committee on Juvenile Justice","2014-12-02T00:00:00.000","1:00 PM","250 Broadway - Committee Rm, 14th Fl.","Oversight – Examining DYFJ's Juvenile Justice Oversight Board."
"Subcommittee on Planning, Dispositions and Concessions","2014-12-02T00:00:00.000","1:00 PM","250 Broadway - Committee Rm, 16th Fl.","Multiple meeting items, please see Meeting Details for more information"
"Subcommittee on Landmarks, Public Siting and Maritime Uses","2014-12-02T00:00:00.000","11:00 AM","250 Broadway - Committee Rm, 16th Fl.","Multiple meeting items, please see Meeting Details for more information"
"Subcommittee on Zoning and Franchises","2014-12-02T00:00:00.000","Deferred","250 Broadway - Committee Rm, 16th Fl.","Zoning, Eliminating a C1-1 District from within an existing R3-2 District and establishing a C1-2 within an existing R3-2 District, in between Mariner’s Harbor and Elm Park areas, Staten Island (C 110122 ZMR)"
