"provider_id","provider_name","hq_address_1","hq_address_2","hq_borough","hq_city","hq_state","hq_zip","provider_ein","provider_website","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"150","AFRICAN SERVICES COMMITTEE, INC",,,,,,,,,,,,,,,,
"151","Brooklyn Center for Quality Life",,,,,,,,,,,,,,,,
"152","FUND FOR THE CITY OF NEW YORK, INC.","121 Avenue of the Americas, 6th Floor",,"Manhattan","New York","NY","10013","132612524","www.fcny.org","40.723903","-74.00469","102","3","37","1083493","1004777501","SoHo-TriBeCa-Civic Center-Little Italy"
"153","Summer on the Hill",,,,,,,,,,,,,,,,
"154","FEDERATION OF ORGANIZATIONS FOR THE NEW YORK STATE MENTALLY",,,,,,,,,,,,,,,,
"155","ASSOCIATION OF COMMUNITY EMPLOYMENT PROGRAMS FOR THEHOMELESS",,,,,,,,,,,,,,,,
"156","THE YOUNG AIRMANS ASSOCIATION",,,,,,,,,,,,,,,,
"157","SAFE HORIZON INC","2 Lafayette Street",,,"New York","NY","10007",,,,,,,,,,
"159","ASSOCIATION TO BENEFIT CHILDREN",,,,,,,,,,,,,,,,
"160","ADAPTIVE DESIGN ASSOCIATION INC",,,,,,,,,,,,,,,,
"161","NYC AUTISM CHARTER SCHOOLS",,,,,,,,,,,,,,,,
"162","MONTEFIORE MEDICAL CENTER",,,,,,,,,,,,,,,,
"163","RIVERDALE NEIGHBORHOOD HOUSE INC",,,,,,,,,,,,,,,,
"164","Harlem Needle Arts, Inc.",,,,,,,,,,,,,,,,
"165","UNITED JEWISH ORGANIZATIONS OF WILLIAMSBURG, INC",,,,,,,,,,,,,,,,
"166","PESACH TIKVAH HOPE DEVELOPMENT INC",,,,,,,,,,,,,,,,
"167","SERVICE PROGRAM FOR OLDER PEOPLE INC",,,,,,,,,,,,,,,,
"168","AND-HOF ANIMALS SANCTUARY FOR FARM ANIMALS INC",,,,,,,,,,,,,,,,
"169","LOWER EAST SIDE CONSERVANCY",,,,,,,,,,,,,,,,
"170","WHERE TO TURN INC",,,,,,,,,,,,,,,,
"171","COMUNILIFE INC",,,,,,,,,,,,,,,,
"172","NOTRE DAME SCHOOL OF MANHATTAN",,,,,,,,,,,,,,,,
"173","CENTER FOR THE INTEGRATION AND ADVANCEMENT OF NEW AMERICANS",,,,,,,,,,,,,,,,
"174","OPPORTUNITIES FOR A BETTER TOMORROW INC",,,,,,,,,,,,,,,,
"175","NEW YORK COMMITTEE FOR OCCUPATIONAL SAFETY AND HEALTH INC",,,,,,,,,,,,,,,,
"176","Van Cortlandt Titans Youth Football Program Inc",,,,,,,,,,,,,,,,
"177","ZIMMER CLUB YOUTH CONSERVATION PROGRAM OF STATEN ISLAND INC",,,,,,,,,,,,,,,,
"178","CARE FOR SPECIAL NEEDS CHILDREN FOUNDATION INC",,,,,,,,,,,,,,,,
"179","COUNCIL OF JEWISH ORGANIZATIONS OF FLATBUSH INC",,,,,,,,,,,,,,,,
"180","HETRICK-MARTIN INSTITUTE INC",,,,,,,,,,,,,,,,
"181","ALLEY POND ENVIRONMENTAL CENTER INC",,,,,,,,,,,,,,,,
"182","DAVIDSON COMMUNITY CENTER INC.",,,,,,,,,,,,,,,,
"183","ACE AMERICAN INSURANCE CO.",,,,,,,,,,,,,,,,
"184","KINGSBRIDGE HEIGHTS COMMUNITY CENTER INC",,,,,,,,,,,,,,,,
"185","AMERICAN-ITALIAN CANCER FOUNDATION",,,,,,,,,,,,,,,,
"186","ST JOHNS BREAD & LIFE PROGRAM INC",,,,,,,,,,,,,,,,
"187","CONCOURSE VILLAGE INC SPECIAL ADULTS",,,,,,,,,,,,,,,,
"188","POWERMYLEARNING INC",,,,,,,,,,,,,,,,
"189","CONNECT, INC.",,,,,,,,,,,,,,,,
"190","GODDARD RIVERSIDE COMMUNITY CENTER","593 Columbus Avenue",,"Manhattan","New York","NY","10024",,,"40.788212","-73.970904","107","6","173","1079511","1012020001","Upper West Side"
"191","WORKING IN SUPPORT OF EDUCATION",,,,,,,,,,,,,,,,
"192","NYSARC INC NEW YORK CITY CHAPTER",,,,,,,,,,,,,,,,
"193","CHHAYA COMMUNITY DEVELOPMENT CORP",,,,,,,,,,,,,,,,
"194","BONNIE BOYS CLUB INC.",,,,,,,,,,,,,,,,
"195","EAST FLATBUSH VILLAGE INC",,,,,,,,,,,,,,,,
"196","STATEN ISLAND YOUTH SOCCER LEAGUE INC",,,,,,,,,,,,,,,,
"197","RISEBORO COMMUNITY PARTNERSHIP INC","565 Bushwick Avenue",,"Brooklyn","Brooklyn","NY","11206","112453853","www.riseboro.org","40.699023","-73.935359","304","34","391","3071908","3031510012","Bushwick South"
"198","MANHATTAN LEGAL SERVICES",,,,,,,,,,,,,,,,
"199","IlluminArt Productions",,,,,,,,,,,,,,,,
"200","WOMEN FOR AFGHAN WOMEN INC",,,,,,,,,,,,,,,,
"201","THE CHILDREN'S VILLAGE","One Echo Hills",,,"Dobbs Ferry","NY","10522","131739945",,,,,,,,,
"202","RIVERDALE COMMUNITY CENTER, INC.",,,,,,,,,,,,,,,,
"203","HEARTSHARE HUMAN SERVICES OF NEW YORK",,,,,,,,,,,,,,,,
"204","THE YALDEINU SCHOOL",,,,,,,,,,,,,,,,
"205","JEWISH INSTITUTE OF QUEENS",,,,,,,,,,,,,,,,
"206","ROCKAWAY HOME ATTENDANT SERVICES INC",,,,,,,,,,,,,,,,
"207","URBAN JUSTICE CENTER","40 Rector Street","9th floor","Manhattan","New York","NY","10006","13-3442022","www.urbanjustice.org","40.708356","-74.014814","101","1","13","1088750","1000557501","Battery Park City-Lower Manhattan"
"208","CARIBBEAN WOMENS HEALTH ASSOCIATION INC",,,,,,,,,,,,,,,,
"209","COMMUNITY HEALTH ACTION OF STATEN ISLAND, INC.",,,,,,,,,,,,,,,,
"210","WENDY HILLIARD FOUNDATION",,,,,,,,,,,,,,,,
"211","MID- BRONX SENIOR CITIZENS COUNCIL INC",,,,,,,,,,,,,,,,
"212","RABBI ISRAEL MEYER HACOHEN RABBINICAL SEMINARY OF AMERICA",,,,,,,,,,,,,,,,
"213","HOMECREST COMMUNITY SERVICES INC",,,,,,,,,,,,,,,,
"214","HARTFORD INSURANCE",,,,,,,,,,,,,,,,
"215","Dancing Dreams",,,,,,,,,,,,,,,,
"216","NEW YORK SCORES",,,,,,,,,,,,,,,,
"217","CHURCH OF THE HOLY APOSTLES",,,,,,,,,,,,,,,,
"218","CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC",,,,,,,,,,,,,,,,
"219","Two Bridges Neighborhood Council, Inc.",,,,,,,,,,,,,,,,
"220","THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC",,,,,,,,,,,,,,,,
"221","URBAN RESOURCE INSTITUTE","75 Broad Street","Suite 505","Manhattan","New York","NY","10004","11-2561648","www.urinyc.org","40.704541","-74.011552","101","1","9","1000849","1000290070","Battery Park City-Lower Manhattan"
"222","SBH COMMUNITY SERVICE NETWORK INC",,,,,,,,,,,,,,,,
"223","BEDFORD STUYVESANT NEW BEGINNINGS CHARTER SCHOOL",,,,,,,,,,,,,,,,
"224","CORO NEW YORK LEADERSHIP CEN- TER",,,,,,,,,,,,,,,,
"225","NAZARETH HOUSING, INC",,,,,,,,,,,,,,,,
"226","THE CRENULATED COMPANY LTD",,,,,,,,,,,,,,,,
"227","SHOREFRONT YM-YWHA OF BRIGHTON MANHATTAN BEACH INC",,,,,,,,,,,,,,,,
"228","OHEL CHILDREN'S HOME AND FAMILY SERVICES INC.",,,,,,,,,,,,,,,,
"229","ATLANTIC THEATER CO",,,,,,,,,,,,,,,,
"230","East New York Restoration Local Development Corp",,,,,,,,,,,,,,,,
"231","ESIS INC",,,,,,,,,,,,,,,,
"232","GRAHAM-WINDHAM",,,,,,,,,,,,,,,,
"233","THE COALITION FOR BEHAVIORAL HEALTH INC",,,,,,,,,,,,,,,,
"234","FRESH YOUTH INITIATIVES INC",,,,,,,,,,,,,,,,
"235","SOUTHSIDE UNITED HOUSING DEVELOPMENT FUND CORPORATION",,,,,,,,,,,,,,,,
"236","CROWN HEIGHTS YOUTH COLLECTIVE, INC.",,,,,,,,,,,,,,,,
"237","TURNING POINT BROOKLYN INC",,,,,,,,,,,,,,,,
"239","THE GREATER RIDGEWOOD RESTORATION CORPORATION",,,,,,,,,,,,,,,,
"240","CAMELOT OF STATEN ISLAND, INC",,,,,,,,,,,,,,,,
"241","EMERALD ISLE IMMIGRATION CENTER INC","59-26 Woodside Avenue",,"Queens","Woodside","NY","11377",,,"40.745293","-73.905216","402","26","249","4031221","4013310054","Woodside"
"242","BIG BROTHERS BIG SISTERS OF NEW YORK CITY INC",,,,,,,,,,,,,,,,
"243","LITTLE SISTERS OF THE ASSUMPTION FAM HEALTH SER",,,,,,,,,,,,,,,,
"244","NEW YORK CITY ALLIANCE AGAINST SEXUAL ASSAULT",,,,,,,,,,,,,,,,
"245","SERVICES AND ADVOCACY FOR GAY LESBIAN BISEXUAL AND TRANSGEND",,,,,,,,,,,,,,,,
"246","TURNING POINT FOR WOMEN AND FAMILIES",,,,,,,,,,,,,,,,
"247","MASA-MEXED INC",,,,,,,,,,,,,,,,
"248","RAMAPO FOR CHILDREN INC",,,,,,,,,,,,,,,,
"249","VERA INSTITUTE OF JUSTICE, INC",,,,,,,,,,,,,,,,
"250","RESOURCES FOR CHILDREN SPECIAL NEEDS INC",,,,,,,,,,,,,,,,
"251","HEALTHCARE INDUSTRY GRANT CORP",,,,,,,,,,,,,,,,
"252","ASSOCIATION OF THE BAR OF THE CITY OF NEW YORK FUND INC",,,,,,,,,,,,,,,,
"253","RENAISSANCE YOUTH CENTER",,,,,,,,,,,,,,,,
"254","CHURCHES UNITED FOR FAIR HOUSING INC",,,,,,,,,,,,,,,,
"255","SEPTEMBER 11 FAMILY GROUP",,,,,,,,,,,,,,,,
"256","FEDERATION OF ITALIAN-AMERICAN ORGANIZATIONS OF BROOKLYN LTD",,,,,,,,,,,,,,,,
"257","GIRLS WRITE NOW INC",,,,,,,,,,,,,,,,
"258","GUYANESE GIRLS ROCK FOUNDATION INC",,,,,,,,,,,,,,,,
"259","NEIGHBORS ALLIED FOR GOOD GROWTH INC",,,,,,,,,,,,,,,,
"260","NEW YORK POPS INC",,,,,,,,,,,,,,,,
"261","PUBLIC UTILITY LAW PROJECT OF NEW YORK INC",,,,,,,,,,,,,,,,
"262","MAKE MUSIC NEW YORK INC",,,,,,,,,,,,,,,,
"263","DANCES FOR A VARIABLE POPULATION",,,,,,,,,,,,,,,,
"264","BROADWAY MALL ASSOCIATION INC",,,,,,,,,,,,,,,,
"265","NORTHERN MANHATTAN IMPROVEMENT CORPORATION",,,,,,,,,,,,,,,,
"266","ACMH, INC",,,,,,,,,,,,,,,,
"267","CATHOLIC HEALTH CARE SYSTEM",,,,,,,,,,,,,,,,
"268","RIVERDALE MENTAL HEALTH ASSOCIATION INC",,,,,,,,,,,,,,,,
"269","ST. JOHN'S UNIVERSITY",,,,,,,,,,,,,,,,
"270","BioFire Diagnostics, LLC",,,,,,,,,,,,,,,,
"271","ELITE LEARNERS INC",,,,,,,,,,,,,,,,
"272","CHESS-IN-THE-SCHOOLS INC",,,,,,,,,,,,,,,,
"273","YOUNG DANCERS IN REPERTORY INC",,,,,,,,,,,,,,,,
"274","ASIAN AMERICAN FEDERATION INC",,,,,,,,,,,,,,,,
"275","CEC STUYVESANT COVE INC",,,,,,,,,,,,,,,,
"276","LIBERIAN CULTURAL ASSOCIATION INC",,,,,,,,,,,,,,,,
"277","HELEN KELLER SERVICES",,,,,,,,,,,,,,,,
"278","C C M S",,,,,,,,,,,,,,,,
"279","Hub-Third Ave Merchants District Management Association Inc",,,,,,,,,,,,,,,,
"280","EL PUENTE DE WILLIAMSBURG INC",,,,,,,,,,,,,,,,
"281","PETER CARDELLA SENIOR CITIZEN CENTER INC.",,,,,,,,,,,,,,,,
"282","YOUTH SERVICE OPPORTUNITIES PROJECT INC",,,,,,,,,,,,,,,,
"283","NEW YORK CITY STREET TREE CONSORTIUM INC",,,,,,,,,,,,,,,,
