"dbn","location","location_type","total_gc_sw","total_gc","full_time","part_time","bilingual","serving_more_than_one_location","atr","_2014_enrollment_pk_12","ratio_gc_sw","ratio_gc_only"
"01M345","01M345 - COLLABORATIVE ACADEMY OF SCIENCE, TECHNOLOGY, & LA","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","1","1",,"1",,,"132","132","132"
"01M361","01M361 - THE CHILDREN'S WORKSHOP SCHOOL","ELEMENTARY","0.6","0",,,,,,"255","255",
"01M363","01M363 - NEIGHBORHOOD SCHOOL","ELEMENTARY","1","1","1",,,,,"302","302","302"
"01M364","01M364 - EARTH SCHOOL","ELEMENTARY","1","1","1",,,,,"321","321","321"
"01M378","01M378 - SCHOOL FOR GLOBAL LEADERS","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","1","1",,,,,"235","235","235"
"01M448","01M448 - UNIVERSITY NEIGHBORHOOD HIGH SCHOOL","HIGH SCHOOL","2","2","2",,"2",,,"304","152","152"
"01M450","01M450 - EAST SIDE COMMUNITY SCHOOL","SECONDARY SCHOOL","5","2","2",,"1",,,"666","134","333"
"01M458","01M458 - FORSYTH SATELLITE ACADEMY","HIGH SCHOOL","2","1","1",,,,,"179","90","179"
"01M509","01M509 - MARTA VALLE HIGH SCHOOL","HIGH SCHOOL","1.8","1.8","1","0.8",,,,"363","182","182"
"01M515","01M515 - LOWER EAST SIDE PREPARATORY HIGH SCHOOL","HIGH SCHOOL","4","4","4",,"1",,,"528","132","132"
"01M539","01M539 - NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH","K-12 ALL GRADES","5","5","5",,,,,"1735","347","347"
"01M650","01M650 - CASCADES HIGH SCHOOL","HIGH SCHOOL","1","1","1",,,,,"230","230","230"
"01M696","01M696 - BARD HIGH SCHOOL EARLY COLLEGE","HIGH SCHOOL","2.8","2.8","2","0.8",,,,"545","182","182"
"01M839","01M839 - TOMPKINS SQUARE MIDDLE SCHOOL","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","1","1",,,,,"368","368","368"
"02M001","02M001 - P.S. 001 ALFRED E. SMITH","ELEMENTARY","1","1","1",,,,,"465","465","465"
"02M002","02M002 - P.S. 002 MEYER LONDON","ELEMENTARY","1.8","1.4","1","0.4",,,,"760","380","380"
"02M003","02M003 - P.S. 003 CHARRETTE SCHOOL","ELEMENTARY","3.4","0.4",,"0.4",,,,"809","203","809"
"02M006","02M006 - P.S. 006 LILLIE D. BLAKE","ELEMENTARY","2.4","1.4","1","0.4",,,,"726","242","363"
"02M011","02M011 - P.S. 011 WILLIAM T. HARRIS","ELEMENTARY","2","1","1",,,,,"872","436","872"
"02M033","02M033 - P.S. 033 CHELSEA PREP","ELEMENTARY","2.2","1.2","1","0.2",,,,"634","212","317"
"02M040","02M040 - P.S. 040 AUGUSTUS SAINT-GAUDENS","ELEMENTARY","2","0",,,,,,"624","312",
"02M041","02M041 - P.S. 041 GREENWICH VILLAGE","ELEMENTARY","3","2","2",,,,,"757","253","379"
"02M042","02M042 - P.S. 042 BENJAMIN ALTMAN","ELEMENTARY","2","0",,,,,,"776","388",
"02M047","02M047 - 47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDAR","SECONDARY SCHOOL","2","1","1",,"1",,,"169","85","169"
"02M051","02M051 - P.S. 051 ELIAS HOWE","ELEMENTARY","0.6","0.6",,"0.6",,"0.6",,"350","350","350"
"02M059","02M059 - P.S. 059 BEEKMAN HILL INTERNATIONAL","ELEMENTARY","2","1","1",,,,,"596","298","596"
"02M077","02M077 - P.S. 77 LOWER LAB SCHOOL","ELEMENTARY","0.6","0.6",,"0.6",,,,"350","350","350"
"02M089","02M089 - P.S. 89","ELEMENTARY","0.8","0.8",,"0.8",,"0.8",,"442","442","442"
"02M104","02M104 - J.H.S. 104 SIMON BARUCH","JUNIOR HIGH-INTERMEDIATE-MIDDLE","3.9","3.9","3","0.9",,,,"1073","269","269"
"02M111","02M111 - P.S. 111 ADOLPH S. OCHS","K-8","3","1","1",,,,,"465","155","465"
"02M114","02M114 - EAST SIDE MIDDLE SCHOOL","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","1","1",,,,,"449","449","449"
"02M116","02M116 - P.S. 116 MARY LINDLEY MURRAY","ELEMENTARY","2","1","1",,,,,"696","348","696"
"02M124","02M124 - P.S. 124 YUNG WING","ELEMENTARY","1","0",,,,,,"864","864",
"02M126","02M126 - P.S. 126 JACOB AUGUST RIIS","K-8","3","1","1",,,,,"811","271","811"
"02M130","02M130 - P.S. 130 HERNANDO DE SOTO","ELEMENTARY","1.6","1","1",,,,,"999","500","999"
"02M131","02M131 - M.S. 131","JUNIOR HIGH-INTERMEDIATE-MIDDLE","4","2","2",,"1",,,"406","102","203"
"02M135","02M135 - THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT","HIGH SCHOOL","1","1","1",,,,,"193","193","193"
"02M139","02M139 - STEPHEN T. MATHER BUILDING ARTS & CRAFTSMANSHIP HI","HIGH SCHOOL","2","1","1",,,,,"193","97","193"
"02M150","02M150 - P.S. 150","ELEMENTARY","0.6","0.6",,"0.6",,,,"184","184","184"
"02M151","02M151 - YORKVILLE COMMUNITY SCHOOL","EARLY CHILDHOOD","1","1","1",,,,,"572","572","572"
"02M158","02M158 - P.S. 158 BAYARD TAYLOR","ELEMENTARY","2","0",,,,,,"761","381",
"02M167","02M167 - J.H.S. 167 ROBERT F. WAGNER","JUNIOR HIGH-INTERMEDIATE-MIDDLE","4.8","3.8","3","0.8",,,,"1364","273","341"
"02M177","02M177 - YORKVILLE EAST MIDDLE SCHOOL","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","0",,,,,,"56","56",
"02M183","02M183 - P.S. 183 ROBERT L. STEVENSON","ELEMENTARY","2","1","1",,,,,"595","298","595"
"02M198","02M198 - P.S. 198 ISADOR E. IDA STRAUS","ELEMENTARY","2","1","1",,,,,"462","231","462"
"02M212","02M212 - P.S. 212 MIDTOWN WEST","ELEMENTARY","1.4","0.4",,"0.4",,"0.4",,"361","181","361"
"02M217","02M217 - P.S./I.S. 217 ROOSEVELT ISLAND","K-8","0.6","0.6",,"0.6",,"0.6",,"536","536","536"
"02M225","02M225 - ELLA BAKER SCHOOL","K-8","1","1","1",,,,,"323","323","323"
"02M234","02M234 - P.S. 234 INDEPENDENCE SCHOOL","ELEMENTARY","1","0",,,,,,"729","729",
"02M255","02M255 - M.S. 255 SALK SCHOOL OF SCIENCE","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","1","1",,,,,"365","365","365"
"02M260","02M260 - M.S. 260 CLINTON SCHOOL WRITERS & ARTISTS","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","1","1",,,,,"270","270","270"
"02M267","02M267 - EAST SIDE ELEMENTARY SCHOOL, PS 267","ELEMENTARY","0.8","0.8",,"0.8",,,,"320","320","320"
"02M276","02M276 - BATTERY PARK CITY SCHOOL","K-8","2","1","1",,,,,"857","429","857"
"02M280","02M280 - MANHATTAN EARLY COLLEGE SCHOOL FOR ADVERTISING","HIGH SCHOOL","0","0",,,,,,"97",,
"02M281","02M281 - THE RIVER SCHOOL","ELEMENTARY","0.2","0.2",,"0.2",,"0.2",,"104","104","104"
"02M282","02M282 - URBAN ASSEMBLY MAKER ACADEMY","HIGH SCHOOL","1","0",,,,,,"103","103",
"02M288","02M288 - FOOD AND FINANCE HIGH SCHOOL","HIGH SCHOOL","3","2","2",,,,,"427","143","214"
"02M289","02M289 - I.S. 289","JUNIOR HIGH-INTERMEDIATE-MIDDLE","2","1","1",,,,,"292","146","292"
"02M290","02M290 - P.S. 290 MANHATTAN NEW SCHOOL","ELEMENTARY","2","1","1",,,,,"646","323","646"
"02M294","02M294 - ESSEX STREET ACADEMY","HIGH SCHOOL","2","0",,,,,,"358","179",
"02M296","02M296 - HIGH SCHOOL OF HOSPITALITY MANAGEMENT","HIGH SCHOOL","2","1","1",,,,,"424","212","424"
"02M298","02M298 - PACE HIGH SCHOOL","HIGH SCHOOL","2","1","1",,,,,"423","212","423"
"02M300","02M300 - URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,","HIGH SCHOOL","2","1","1",,,,,"414","207","414"
"02M303","02M303 - FACING HISTORY SCHOOL, THE","HIGH SCHOOL","3","0",,,,,,"406","136",
"02M305","02M305 - URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE","HIGH SCHOOL","1","0",,,,,,"329","329",
"02M308","02M308 - LOWER MANHATTAN ARTS ACADEMY","HIGH SCHOOL","4","2","2",,,,"1","383","77","128"
"02M312","02M312 - NEW YORK CITY LAB MIDDLE SCHOOL FOR COLLABORATIVE","JUNIOR HIGH-INTERMEDIATE-MIDDLE","2","2","2",,,,,"558","279","279"
"02M313","02M313 - JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITION","HIGH SCHOOL","2.2","1.2","1","0.2",,"0.2",,"259","87","130"
"02M316","02M316 - URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,","HIGH SCHOOL","3","3","3",,,,,"405","135","135"
"02M340","02M340 - SIXTH AVENUE ELEMENTARY SCHOOL","ELEMENTARY","0","0",,,,,,"83",,
"02M343","02M343 - THE PECK SLIP SCHOOL","ELEMENTARY","1","1","1",,,,,"161","161","161"
"02M347","02M347 - THE 47 AMERICAN SIGN LANGUAGE & ENGLISH LOWER SCHO","K-8","2","0",,,,,,"196","98",
"02M374","02M374 - GRAMERCY ARTS HIGH SCHOOL","HIGH SCHOOL","2","2","2",,"1",,,"530","265","265"
"02M376","02M376 - NYC ISCHOOL","HIGH SCHOOL","2","2","2",,,,,"442","221","221"
"02M392","02M392 - MANHATTAN BUSINESS ACADEMY","HIGH SCHOOL","3","2","2",,,,,"438","146","219"
"02M393","02M393 - BUSINESS OF SPORTS SCHOOL","HIGH SCHOOL","2","1","1",,,,,"449","225","449"
"02M394","02M394 - EMMA LAZARUS HIGH SCHOOL","HIGH SCHOOL","1","1","1",,"1",,,"228","228","228"
"02M397","02M397 - SPRUCE STREET SCHOOL","EARLY CHILDHOOD","1","1","1",,,,,"430","430","430"
"02M399","02M399 - THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY","HIGH SCHOOL","2.9","2.9","2","0.9",,,,"437","146","146"
"02M400","02M400 - HIGH SCHOOL FOR ENVIRONMENTAL STUDIES","HIGH SCHOOL","6","5","5",,"2",,,"1301","217","261"
"02M407","02M407 - INSTITUTE FOR COLLABORATIVE EDUCATION","SECONDARY SCHOOL","1","0",,,,,,"482","482",
"02M408","02M408 - PROFESSIONAL PERFORMING ARTS HIGH SCHOOL","SECONDARY SCHOOL","1.2","1.2","1","0.2",,"0.2",,"536","268","268"
"02M411","02M411 - BARUCH COLLEGE CAMPUS HIGH SCHOOL","HIGH SCHOOL","3","3","3",,,,,"451","151","151"
"02M412","02M412 - N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES","HIGH SCHOOL","2.6","2.6","2","0.6",,,,"587","196","196"
"02M413","02M413 - SCHOOL OF THE FUTURE HIGH SCHOOL","SECONDARY SCHOOL","3","3","3",,,,,"713","238","238"
"02M414","02M414 - N.Y.C. MUSEUM SCHOOL","HIGH SCHOOL","2","2","2",,,,,"471","236","236"
"02M416","02M416 - ELEANOR ROOSEVELT HIGH SCHOOL","HIGH SCHOOL","2","2","2",,,,,"541","271","271"
"02M418","02M418 - MILLENNIUM HIGH SCHOOL","HIGH SCHOOL","4","4","4",,,,,"659","165","165"
"02M419","02M419 - LANDMARK HIGH SCHOOL","HIGH SCHOOL","2","2","2",,,,,"355","178","178"
"02M420","02M420 - HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVI","HIGH SCHOOL","7.4","6","6",,"1",,,"1664","208","278"
"02M422","02M422 - QUEST TO LEARN","SECONDARY SCHOOL","3","3","3",,,,,"564","188","188"
"02M425","02M425 - LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL","HIGH SCHOOL","4","3","3",,,,"1","699","140","175"
"02M427","02M427 - MANHATTAN ACADEMY FOR ARTS & LANGUAGE","HIGH SCHOOL","2","2","2",,,,,"334","167","167"
"02M429","02M429 - LEGACY SCHOOL FOR INTEGRATED STUDIES","HIGH SCHOOL","1","1","1",,,,,"19","19","19"
"02M432","02M432 - MURRAY HILL ACADEMY","HIGH SCHOOL","4","1","1",,,,,"283","71","283"
"02M437","02M437 - HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES","HIGH SCHOOL","4","2","2",,,,,"483","121","242"
"02M438","02M438 - INTERNATIONAL HIGH SCHOOL AT UNION SQUARE","HIGH SCHOOL","4","2","2",,,,,"353","89","177"
"02M439","02M439 - MANHATTAN VILLAGE ACADEMY","HIGH SCHOOL","1","0",,,,,,"415","415",
"02M442","02M442 - BALLET TECH, NYC PUBLIC SCHOOL FOR DANCE","K-12 ALL GRADES","0","0",,,,,,"150",,
"02M449","02M449 - VANGUARD HIGH SCHOOL","HIGH SCHOOL","2","0",,,,,,"486","243",
"02M459","02M459 - MANHATTAN INTERNATIONAL HIGH SCHOOL","HIGH SCHOOL","1","1","1",,,,,"343","343","343"
"02M460","02M460 - WASHINGTON IRVING HIGH SCHOOL","HIGH SCHOOL","2","1","1",,,,,"99","50","99"
"02M473","02M473 - WASHINGTON IRVING YABC","HIGH SCHOOL","1","1","1",,,,,"254","254","254"
"02M475","02M475 - STUYVESANT HIGH SCHOOL","HIGH SCHOOL","15","13","13",,"1",,,"3296","220","254"
"02M489","02M489 - HIGH SCHOOL OF ECONOMICS AND FINANCE","HIGH SCHOOL","3","2","2",,"1",,,"796","266","398"
"02M500","02M500 - UNITY CENTER FOR URBAN TECHNOLOGIES","HIGH SCHOOL","2","2","2",,"1",,,"284","142","142"
"02M507","02M507 - URBAN ASSEMBLY GATEWAY SCHOOL FOR TECHNOLOGY","HIGH SCHOOL","5","4","4",,,,,"472","95","118"
"02M519","02M519 - TALENT UNLIMITED HIGH SCHOOL","HIGH SCHOOL","0.9","0.9",,"0.9",,,"1","506","253","253"
"02M520","02M520 - MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS","HIGH SCHOOL","10","9","9",,"3",,,"971","98","108"
"02M527","02M527 - PS 527 - EAST SIDE SCHOOL FOR SOCIAL ACTION","ELEMENTARY","1","1","1",,,,,"157","157","157"
"02M529","02M529 - JACQUELINE KENNEDY ONASSIS HIGH SCHOOL","HIGH SCHOOL","4","4","4",,,,,"676","169","169"
"02M531","02M531 - REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS","HIGH SCHOOL","1","1","1",,,,,"246","246","246"
"02M533","02M533 - UNION SQUARE ACADEMY FOR HEALTH SCIENCES","HIGH SCHOOL","2","1","1",,,,,"319","160","319"
"02M534","02M534 - HARVEST COLLEGIATE HIGH SCHOOL","HIGH SCHOOL","2","0",,,,,,"333","167",
"02M542","02M542 - MANHATTAN BRIDGES HIGH SCHOOL","HIGH SCHOOL","3","3","3",,"1",,,"529","177","177"
"02M543","02M543 - NEW DESIGN HIGH SCHOOL","HIGH SCHOOL","1.2","0.2",,"0.2",,"0.2",,"441","221","441"
"02M544","02M544 - INDEPENDENCE HIGH SCHOOL","HIGH SCHOOL","2","2","2",,,,,"317","159","159"
"02M545","02M545 - HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES","HIGH SCHOOL","1.4","1.4","1","0.4","1",,,"416","208","208"
"02M546","02M546 - ACADEMY FOR SOFTWARE ENGINEERING","HIGH SCHOOL","2","1","1",,,,,"344","172","344"
"02M550","02M550 - LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS","HIGH SCHOOL","3","2","2",,"1",,,"407","136","204"
"02M551","02M551 - URBAN ASSEMBLY NEW YORK HARBOR SCHOOL","HIGH SCHOOL","2","1","1",,"1",,,"447","224","447"
"02M560","02M560 - HIGH SCHOOL M560 - CITY AS SCHOOL","HIGH SCHOOL","4","2","2",,"1",,,"658","165","329"
"02M565","02M565 - URBAN ACADEMY LABORATORY HIGH SCHOOL","HIGH SCHOOL","0","0",,,,,,"162",,
"02M570","02M570 - SATELLITE ACADEMY HIGH SCHOOL","HIGH SCHOOL","1","0",,,,,,"266","266",
"02M575","02M575 - MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL","HIGH SCHOOL","3.6","3.6","3","0.6",,,,"733","184","184"
"02M580","02M580 - RICHARD R. GREEN HIGH SCHOOL OF TEACHING","HIGH SCHOOL","2","2","2",,,,,"566","283","283"
"02M586","02M586 - HARVEY MILK HIGH SCHOOL","HIGH SCHOOL","2","1","1",,,,,"64","32","64"
"02M600","02M600 - THE HIGH SCHOOL OF FASHION INDUSTRIES","HIGH SCHOOL","8","7","7",,"1",,,"1770","222","253"
"02M605","02M605 - HUMANITIES PREPARATORY ACADEMY","HIGH SCHOOL","1.2","0.2",,"0.2",,"0.2",,"209","105","209"
"02M615","02M615 - CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL","HIGH SCHOOL","3.1","2.1","2","0.1",,,,"439","110","147"
"02M625","02M625 - HIGH SCHOOL OF GRAPHIC COMMUNICATION ARTS","HIGH SCHOOL","3","2","2",,"2",,,"336","112","168"
"02M630","02M630 - ART AND DESIGN HIGH SCHOOL","HIGH SCHOOL","6.4","5.4","5","0.4",,,"1","1476","185","211"
"02M655","02M655 - LIFE SCIENCES SECONDARY SCHOOL","SECONDARY SCHOOL","4","4","4",,"1",,,"697","175","175"
"02M896","02M896 - LOWER MANHATTAN COMMUNITY MIDDLE SCHOOL","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","1","1",,,,,"366","366","366"
"02M933","02M933 - CITY KNOLL MIDDLE SCHOOL","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","0",,,,,,"79","79",
"03M009","03M009 - P.S. 009 SARAH ANDERSON","ELEMENTARY","2","1","1",,,,,"658","329","658"
"03M054","03M054 - J.H.S. 054 BOOKER T. WASHINGTON","JUNIOR HIGH-INTERMEDIATE-MIDDLE","2.4","2.4","2","0.4",,,,"813","271","271"
"03M075","03M075 - P.S. 075 EMILY DICKINSON","ELEMENTARY","2.4","1.4","1","0.4",,"0.4",,"566","189","283"
"03M076","03M076 - P.S. 076 A. PHILIP RANDOLPH","ELEMENTARY","1","1","1",,,,,"520","520","520"
"03M084","03M084 - P.S. 084 LILLIAN WEBER","ELEMENTARY","1","0",,,,,,"521","521",
"03M087","03M087 - P.S. 087 WILLIAM SHERMAN","ELEMENTARY","2","1","1",,,,,"875","438","875"
"03M145","03M145 - P.S. 145, THE BLOOMINGDALE SCHOOL","ELEMENTARY","1.6","0.6",,"0.6","0.6","0.6",,"391","196","391"
"03M149","03M149 - P.S. 149 SOJOURNER TRUTH","K-8","2","0",,,,,,"287","144",
"03M163","03M163 - P.S. 163 ALFRED E. SMITH","ELEMENTARY","3","1","1",,,,,"599","200","599"
"03M165","03M165 - P.S. 165 ROBERT E. SIMON","K-8","3","2","2",,,,,"831","277","416"
"03M166","03M166 - P.S. 166 THE RICHARD RODGERS SCHOOL OF THE ARTS AN","ELEMENTARY","0.6","0.6",,"0.6",,"0.6",,"615","615","615"
"03M180","03M180 - P.S. 180 HUGO NEWMAN","K-8","3","2","2",,,,,"625","209","313"
"03M185","03M185 - P.S. 185 - THE EARLY CHILDHOOD DISCOVERY AND DESIG","EARLY CHILDHOOD","0.6","0.6",,"0.6",,"0.6",,"251","251","251"
"03M191","03M191 - P.S. 191 AMSTERDAM","ELEMENTARY","4","2","2",,,,,"490","123","245"
"03M199","03M199 - P.S. 199 JESSIE ISADOR STRAUS","ELEMENTARY","2","0",,,,,,"889","445",
"03M208","03M208 - P.S. 208 ALAIN L. LOCKE","ELEMENTARY","0.4","0.4",,"0.4",,"0.4",,"157","157","157"
"03M241","03M241 - STEM INSTITUTE OF MANHATTAN","K-8","2","1","1",,,,,"100","50","100"
"03M242","03M242 - P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY","ELEMENTARY","1","1","1",,,,,"221","221","221"
"03M243","03M243 - M.S. 243 CENTER SCHOOL","JUNIOR HIGH-INTERMEDIATE-MIDDLE","0.4","0",,,,,,"230","230",
"03M245","03M245 - M.S. M245 THE COMPUTER SCHOOL","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1.5","1.5","1","0.5",,,,"412","206","206"
"03M247","03M247 - M.S. M247 DUAL LANGUAGE MIDDLE SCHOOL","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","1","1",,"1",,,"197","197","197"
"03M250","03M250 - M.S. 250 WEST SIDE COLLABORATIVE MIDDLE SCHOOL","JUNIOR HIGH-INTERMEDIATE-MIDDLE","0.8","0.8",,"0.8",,,,"189","189","189"
"03M256","03M256 - M.S. 256 ACADEMIC & ATHLETIC EXCELLENCE","JUNIOR HIGH-INTERMEDIATE-MIDDLE","0.6","0.6",,"0.6",,"0.6",,"142","142","142"
"03M258","03M258 - COMMUNITY ACTION SCHOOL - MS 258","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1","1","1",,"1",,,"255","255","255"
"03M283","03M283 - MANHATTAN THEATRE LAB HIGH SCHOOL","HIGH SCHOOL","1","0",,,,,,"53","53",
"03M299","03M299 - HIGH SCHOOL FOR ARTS, IMAGINATION AND INQUIRY","HIGH SCHOOL","3","2","2",,,,,"447","149","224"
"03M307","03M307 - URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES, THE","HIGH SCHOOL","1.8","1.8","1","0.8",,,,"412","206","206"
"03M333","03M333 - P.S. 333 MANHATTAN SCHOOL FOR CHILDREN","K-8","2.6","0.6",,"0.6",,,,"759","253","759"
"03M334","03M334 - THE ANDERSON SCHOOL","K-8","1","1","1",,,,,"574","574","574"
"03M402","03M402 - THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS","HIGH SCHOOL","2","2","2",,"1",,,"353","177","177"
"03M403","03M403 - THE GLOBAL LEARNING COLLABORATIVE","HIGH SCHOOL","2.9","1.9","1","0.9",,,,"496","166","248"
"03M404","03M404 - INNOVATION DIPLOMA PLUS","HIGH SCHOOL","1","0",,,,,,"202","202",
"03M415","03M415 - WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VIS","SECONDARY SCHOOL","3","3","3",,,,,"445","149","149"
"03M417","03M417 - FRANK MCCOURT HIGH SCHOOL","HIGH SCHOOL","2","2","2",,,,,"387","194","194"
"03M421","03M421 - WEST PREP ACADEMY","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1.4","1.4","1","0.4","0.4","0.4",,"195","98","98"
"03M452","03M452 - P.S. 452","ELEMENTARY","1","0",,,,,,"286","286",
"03M479","03M479 - BEACON HIGH SCHOOL","HIGH SCHOOL","3.8","3.8","3","0.8",,,,"1285","322","322"
"03M485","03M485 - FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART A","HIGH SCHOOL","8.2","7.2","7","0.2",,,,"2635","293","330"
"03M492","03M492 - HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTIC","HIGH SCHOOL","2","2","2",,"1",,,"510","255","255"
"03M494","03M494 - HIGH SCHOOL OF ARTS AND TECHNOLOGY","HIGH SCHOOL","4","3","3",,"1",,,"594","149","198"
"03M505","03M505 - EDWARD A. REYNOLDS WEST SIDE HIGH SCHOOL","HIGH SCHOOL","5","2","2",,,,,"526","106","263"
"03M541","03M541 - MANHATTAN / HUNTER SCIENCE HIGH SCHOOL","HIGH SCHOOL","2.4","1.4","1","0.4",,,,"451","151","226"
"03M859","03M859 - SPECIAL MUSIC SCHOOL","K-8","0.6","0.6",,"0.6",,,,"231","231","231"
"03M860","03M860 - FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL","SECONDARY SCHOOL","4","4","4",,,,,"411","103","103"
"03M862","03M862 - MOTT HALL II","JUNIOR HIGH-INTERMEDIATE-MIDDLE","1.6","1.6","1","0.6",,,,"338","169","169"
"04M007","04M007 - P.S. 007 SAMUEL STERN","K-8","1","0",,,,,,"385","385",
"04M012","04M012 - TAG YOUNG SCHOLARS","K-8","1","1","1",,,,,"538","538","538"
"04M013","04M013 - J.H.S. 013 JACKIE ROBINSON","JUNIOR HIGH-INTERMEDIATE-MIDDLE","0.4","0",,,,,,"37","37",
"04M037","04M037 - RIVER EAST ELEMENTARY","ELEMENTARY","1","1","1",,,,,"221","221","221"
"04M038","04M038 - P.S. 38 ROBERTO CLEMENTE","ELEMENTARY","1","0",,,,,,"265","265",
"04M050","04M050 - P.S. 050 VITO MARCANTONIO","K-8","3","2","2",,,,,"338","113","169"
"04M057","04M057 - JAMES WELDON JOHNSON","K-8","3","1","1",,,,,"856","286","856"
"04M072","04M072 - THE LEXINGTON ACADEMY","ELEMENTARY","1.8","0.8",,"0.8",,"0.8",,"563","282","563"
"04M083","04M083 - P.S. 083 LUIS MUNOZ RIVERA","ELEMENTARY","1","1","1",,,,,"445","445","445"
"04M096","04M096 - P.S. 096 JOSEPH LANZETTA","K-8","3","1","1",,"1",,,"455","152","455"
"04M102","04M102 - P.S. 102 JACQUES CARTIER","ELEMENTARY","2","0",,,,,,"316","158",
"04M108","04M108 - P.S. 108 ASSEMBLYMAN ANGELO DEL TORO EDUCATIONAL C","K-8","3","2","2",,,,,"626","209","313"
"04M112","04M112 - P.S. 112 JOSE CELSO BARBOSA","EARLY CHILDHOOD","2.6","0.2",,"0.2",,"0.2",,"364","122","364"
"04M146","04M146 - P.S. 146 ANN M. SHORT","ELEMENTARY","3","0",,,,,,"416","139",
