"propnum","prop_id","boro","ampsdistrict","prop_name","site_name","prop_location","site_location","acres","category","sub_category","rated","reason_not_rated","council_district","zipcode","communityboard","jurisdiction","nysassembly","nyssenate","uscongress","precinct","comfortstation","sourcefc"
"M104","M104-ZN04o","M","11","Randall's Island Park","DOWNING STADIUM","East River and Harlem River","LITTLE HELL GATE INLET, PARKING LOTS, PERIMETER PATH, TRIBORO BRIDGE RAMP","0.00000000","Large Park","Flagship Park Zone","false","Retired/rezoned",,,,"DPR",,,,,"false","Unmapped"
"M104","M104-ZN05o","M","11","Randall's Island Park","RANDALL'S/WARDS IS. ACCESS","East River and Harlem River","LITTLE HELL GATE INLET/EAST-DEP/NRTH-DSNY LOTS","32.64400101","Large Park","Flagship Park Zone","false","Retired/rezoned",,,,"DPR",,,,,"false","Unmapped"
"M107","M107-ZN06o","M","11","Wards Island Park","WARDS UPPER","East River and Hell Gate","S OF CONRAD TRESTLE-ADJ BLFLD PATHS/N OF SOCCER FLDS FENCE LINE/ODYS HSE LAWN PERIMETER","37.72499847","Large Park","Flagship Park Zone","false","Retired/rezoned",,,,"DPR",,,,,"false","Unmapped"
"M107","M107-ZN07o","M","11","Wards Island Park","Wards Lower","East River and Hell Gate",,,"Large Park","Flagship Park Zone","false","Retired/rezoned",,,,"DPR",,,,,"false","Unmapped"
"M108","M108","M","11","F D ROOSEVELT DR (7.7 MILES)","F D ROOSEVELT DR (7.7 MILES)","SOUTH FERRY TO E 125 ST ALONG EAST RIVER","SOUTH FERRY TO E 125 ST ALONG EAST RIVER","0.00000000","Other","EXWY","false","HWY",,,,"DPR",,,,,"false","Unmapped"
"M108L","M108L","M","08","Greenstreet","Greenstreet","92ND STREET & FDR DRIVE (EAST)","92ND STREET & FDR DRIVE (EAST)","0.03300000","Greenstreet","Type 1","false","Rated as MZ464",,,,"DPR",,,,,"false","Unmapped"
"M208","M208","M","11","HARLEM RIVER DRIVE","HARLEM RIVER DRIVE",,,"0.00000000","Other","EXWY","false",,,,,"DPR",,,,,"false","Unmapped"
"M321A","M321A","M","03","OPEN ROAD GARDEN","OPEN ROAD GARDEN","404-16 E. 12th Street","404-16 E. 12th Street","0.00000000","Small Park","Greenthumb","false",,,,,"DPR",,,,,"false","Unmapped"
"MZ05","MZ05","M","09","RIVERBANK PARK","RIVERBANK PARK","HUDSON RIVER BET. W. 137 ST & W. 145 ST","HUDSON RIVER BET. W. 137 ST & W. 145 ST","0.00000000","Other","State Park","false","State park- remove from property list?",,,,"DPR",,,,,"false","Unmapped"
"MZ187","MZ187","M","12","GREENSTREET","GREENSTREET","RIVERSIDE DRIVE & 156TH ST","RIVERSIDE DRIVE & 156TH ST","0.00000000","Greenstreet","Type 2","false","Just trees (type 2).",,,,"DPR",,,,,"false","Unmapped"
"MZ68","MZ68","M","13","GREENSTREET","GREENSTREET","COLUMBUS CIRCLE (MEDIAN)","COLUMBUS CIRCLE (MEDIAN)","0.00000000","Greenstreet","Type 1","false","no longer exist",,,,"DPR",,,,,"false","Unmapped"
"MZ88","MZ88","M","10","GREENSTREET","GREENSTREET","FREDERICK DOUGLASS BLVD. & 110TH ST. (SE)","FREDERICK DOUGLASS BLVD. & 110TH ST. (SE)","0.00000000","Greenstreet","Type 1","false",,,,,"DPR",,,,,"false","Unmapped"
"MZ90","MZ90","M","10","GREENSTREET","GREENSTREET","FREDERICK DOUGLASS BLVD & 110TH ST (SW)","FREDERICK DOUGLASS BLVD & 110TH ST (SW)","0.00000000","Greenstreet","Type 1","false",,,,,"DPR",,,,,"false","Unmapped"
"MZ91","MZ91","M","10","GREENSTREET","GREENSTREET","FREDERICK DOUGLASS BLVD & 110TH ST (NW)","FREDERICK DOUGLASS BLVD & 110TH ST (NW)","0.00000000","Greenstreet","Type 1","false",,,,,"DPR",,,,,"false","Unmapped"
"MZ92","MZ92","M","10","GREENSTREET","GREENSTREET","FREDERICK DOUGLASS BLVD & 110TH ST (NE)","FREDERICK DOUGLASS BLVD & 110TH ST (NE)","0.00000000","Greenstreet","Type 1","false",,,,,"DPR",,,,,"false","Unmapped"
"Q001D","Q001D","Q","11","BELL FIELD","BELL FIELD",,,"0.00000000","Small Park","Neighborhood Park","false","Alley Park -ball field",,,,"DPR",,,,,"false","Unmapped"
"Q027A","Q027A","Q","13","PLAYGROUND ONE-THIRTY","PLAYGROUND ONE-THIRTY","237 ST, 130 AVE","237 ST, 130 AVE","0.00000000","Small Park","Neighborhood Park","false","RATED AS Q027-01",,,,"DPR",,,,,"false","Unmapped"
"Q040A","Q040A","Q","04","ELMJACK MALL","ELMJACK MALL","75 ST, ROOSEVELT TO WOODSIDE AVE","75 ST, ROOSEVELT TO WOODSIDE AVE","0.50000000","Small Park","Sitting Area/Triangle/Mall","false","Rated with Q040.",,,,"DPR",,,,,"false","Unmapped"
"Q050","Q050-ZN08","Q","14","Rockaway Beach","ROCKAWAY BEACH 8","Ocean Promenade, bet. Beach 126 St. and Beach 110 St.","BTWN 110TH AND 121ST ST","0.00000000","Large Park","Beach Zone","false","Split",,,,"DPR",,,,,"false","Unmapped"
"Q050","Q050-ZN17","Q","14","Rockaway Beach","ROCKAWAY BEACH 17","Ocean Promenade, bet. Beach 126 St. and Beach 110 St.","BTWN 110th ST AND 116th ST","0.00000000","Large Park","Beach Zone","false","Zone 8A now",,,,"DPR",,,,,"false","Unmapped"
"Q066A","Q066A","Q","01","TRIBOROUGH BRIDGE PLAYGROUND A","TRIBOROUGH BRIDGE PLAYGROUND A","HOYT AVE, 19 TO 21 STS","HOYT AVE, 19 TO 21 STS","0.27399999","Small Park","Neighborhood Plgd","false","Has not been a ratable plgd in years, not on GIS map. AB 3/25/13.",,,,"DPR",,,,,"false","Unmapped"
"Q078","Q078","Q","14","ERNIE'S PLACE","ERNIE'S PLACE","BERT RD S/O 2 RD","BERT RD S/O 2 RD","2.77800012","Small Park","Neighborhood Park","false","Land sold to Broad Channel Athletic Club",,,,"DPR",,,,,"false","Unmapped"
"Q162C","Q162C","Q","14","PARKING LOT","PARKING LOT","BOARDWALK & BEACH 64-65 STS","BOARDWALK & BEACH 64-65 STS","1.84300005","Other","Parking Lot","false","Beach",,,,"DPR",,,,,"false","Unmapped"
"Q162I01","Q162I01","Q","14","O'DONOHUE PARK","O'DONOHUE PARK","BOARDWALK BET BEACH 20-17 STS","BOARDWALK BET BEACH 20-17 STS","2.47900009","Small Park","Neighborhood Park","false","consists mainly of parking area (do not rate area)",,,,"DPR",,,,,"false","Unmapped"
"Q162I07","Q162I07","Q","14","PARK STRIP","PARK STRIP","test","test","0.00000000","Small Park","Sitting Area/Triangle/Mall","false","do not rate",,,,"DPR",,,,,"false","Unmapped"
"Q162","Q162-ZN01","Q","14","Rockaway Beach and Boardwalk","ROCKAWAY BEACH 1","Lands underwater bet. B. 2 St. and B. 73 St.","B 3 TO B 20 STS","0.00000000","Large Park","Beach Zone","false","Split",,,,"DPR",,,,,"false","Unmapped"
"Q162","Q162-ZN02","Q","14","Rockaway Beach and Boardwalk","ROCKAWAY BEACH 2","Lands underwater bet. B. 2 St. and B. 73 St.","BTWN 20TH ST AND 44TH ST","0.00000000","Large Park","Beach Zone","false","Split",,,,"DPR",,,,,"false","Unmapped"
"Q162","Q162-ZN03","Q","14","Rockaway Beach and Boardwalk","ROCKAWAY BEACH 3","Lands underwater bet. B. 2 St. and B. 73 St.","BTWN 44TH ST AND 56TH ST","0.00000000","Large Park","Beach Zone","false","Split",,,,"DPR",,,,,"false","Unmapped"
"Q162","Q162-ZN04","Q","14","Rockaway Beach and Boardwalk","ROCKAWAY BEACH 4","Lands underwater bet. B. 2 St. and B. 73 St.","BTWN 56TH ST AND 73RD ST","0.00000000","Large Park","Beach Zone","false","Split",,,,"DPR",,,,,"false","Unmapped"
"Q162","Q162-ZN08","Q","14","Rockaway Beach and Boardwalk","ROCKAWAY BEACH 8","Lands underwater bet. B. 2 St. and B. 73 St.","BTWN 56th PL. AND 62nd  ST","0.00000000","Large Park","Beach Zone","false","Retired. Rated as Q162-ZN04A",,,,"DPR",,,,,"false","Unmapped"
"Q162","Q162-ZN09","Q","14","Rockaway Beach and Boardwalk","ROCKAWAY BEACH 9","Lands underwater bet. B. 2 St. and B. 73 St.","BTWN 62nd AND 67th ST.","0.00000000","Large Park","Beach Zone","false","Retired. Rated as Q162-ZN04B",,,,"DPR",,,,,"false","Unmapped"
"Q162","Q162-ZN10","Q","14","Rockaway Beach and Boardwalk","ROCKAWAY BEACH 10","Lands underwater bet. B. 2 St. and B. 73 St.","BTWN 126TH AND 138TH ST","0.00000000","Large Park","Beach Zone","false","Retired. Rated as Q164-ZN10A, 10B, and 10C",,,,"DPR",,,,,"false","Unmapped"
"Q163","Q163-ZN05","Q","14","Rockaway Beach Boardwalk","ROCKAWAY BEACH 5","Shore Front Pkwy. bet. Beach 109 St. and B. 73 St.","BTWN 73RD ST AND 87TH ST","0.00000000","Large Park","Beach Zone","false","Split",,,,"DPR",,,,,"false","Unmapped"
"Q163","Q163-ZN06","Q","14","Rockaway Beach Boardwalk","ROCKAWAY BEACH 6","Shore Front Pkwy. bet. Beach 109 St. and B. 73 St.","BTWN 87TH ST AND 100TH ST","0.00000000","Large Park","Beach Zone","false","Split",,,,"DPR",,,,,"false","Unmapped"
"Q163","Q163-ZN07","Q","14","Rockaway Beach Boardwalk","ROCKAWAY BEACH 7","Shore Front Pkwy. bet. Beach 109 St. and B. 73 St.","BTWN 100TH ST AND 110TH ST","0.00000000","Large Park","Beach Zone","false","Split",,,,"DPR",,,,,"false","Unmapped"
"Q163","Q163-ZN11","Q","14","Rockaway Beach Boardwalk","ROCKAWAY BEACH 11","Shore Front Pkwy. bet. Beach 109 St. and B. 73 St.","BTWN 73rd ST AND 81 ST","0.00000000","Large Park","Beach Zone","false","Rated as Q163-ZN05A and 5B",,,,"DPR",,,,,"false","Unmapped"
"Q163","Q163-ZN12","Q","14","Rockaway Beach Boardwalk","ROCKAWAY BEACH 12","Shore Front Pkwy. bet. Beach 109 St. and B. 73 St.","Shorefront Parkway Malls between Beach 73rd St and Beach 109th St","0.00000000","Large Park","Beach Zone","false","Rated as Greenstreet.",,,,"DPR",,,,,"false","Unmapped"
"Q164","Q164-ZN10","Q","14","Rockaway Beach","ROCKAWAY BEACH 10","Atlantic Ocean bet. B. 149 St. and B. 126 St.","BTWN 126TH AND 138TH ST","0.00000000","Large Park","Beach Zone","false","Split",,,,"DPR",,,,,"false","Unmapped"
"Q164","Q164-ZN11","Q","14","Rockaway Beach","ROCKAWAY BEACH 11","Atlantic Ocean bet. B. 149 St. and B. 126 St.","BTWN 138TH AND 149TH ST","0.00000000","Large Park","Beach Zone","false","Split",,,,"DPR",,,,,"false","Unmapped"
"Q166","Q166","Q","10","SHORE PARKWAY","SHORE PARKWAY","KINGS CO LINE TO SOUTHERN PKWY","KINGS CO LINE TO SOUTHERN PKWY","50.90000153","Other","EXWY","false","maintained by DOT",,,,"DPR",,,,,"false","Unmapped"
"Q198","Q198","Q","02","WOODSIDE PLAZA","WOODSIDE PLAZA","ROOSEVELT AVE, 60 ST, WOODSIDE AVE","ROOSEVELT AVE, 60 ST, WOODSIDE AVE","0.02000000","Small Park","Sitting Area/Triangle/Mall","false","Rated as QZ118",,,,"DPR",,,,,"false","Unmapped"
"Q220","Q220","Q","12","VAN WYCK EXPRESSWAY","VAN WYCK EXPRESSWAY","QUEENS BLVD TO SHORE PKWY","QUEENS BLVD TO SHORE PKWY","0.00000000","Other","EXWY","false","HWY",,,,"DPR",,,,,"false","Unmapped"
"Q341","Q341","Q","02","BROOKLYN-QUEENS EXPRESSWAY","BROOKLYN-QUEENS EXPRESSWAY","43 AVE, 68 ST, W/S BKLYN-QUEENS EXWY","43 AVE, 68 ST, W/S BKLYN-QUEENS EXWY","0.00000000","Other","EXWY","false","HWY",,,,"DPR",,,,,"false","Unmapped"
"Q357","Q357","Q","99","LONG ISLAND EXPRESSWAY","LONG ISLAND EXPRESSWAY","QUEENS BLVD TO NASSAU COUNTY LINE","QUEENS BLVD TO NASSAU COUNTY LINE","0.00000000","Other","HWYEXWY","false","HWY",,,,"DPR",,,,,"false","Unmapped"
"Q360","Q360","Q","02","LONG ISLAND EXWY (5 MILES)","LONG ISLAND EXWY (5 MILES)","QUEENS MIDTOWN TUNNEL TO QUEENS BLVD","QUEENS MIDTOWN TUNNEL TO QUEENS BLVD","0.00000000","Other","EXWY","false","HWY",,,,"DPR",,,,,"false","Unmapped"
"Q360Y","Q360Y","Q","05","PARK STRIP","PARK STRIP","N/S QUEENS-MIDTOWN EXWY, MAZEAU ST, 57 & 58 RD","N/S QUEENS-MIDTOWN EXWY, MAZEAU ST, 57 & 58 RD","0.00600000","Small Park","Sitting Area/Triangle/Mall","false","TP",,,,"DPR",,,,,"false","Unmapped"
"Q372","Q372","Q","14","JEWISH WAR VETS MEM SQUARE","JEWISH WAR VETS MEM SQUARE",,,"0.00000000","Small Park","Sitting Area/Triangle/Mall","false","Generally rated as part of large park zone",,,,"DPR",,,,,"false","Unmapped"
"Q387","Q387","Q","07","CLEARVIEW EXPWY","CLEARVIEW EXPWY","LITTLE BAY & HILLSIDE AVE","LITTLE BAY & HILLSIDE AVE","0.00000000","Other","EXWY","false","HWY",,,,"DPR",,,,,"false","Unmapped"
"Q393","Q393","Q","03","LA GUARDIA LANDING LIGHTS","LA GUARDIA LANDING LIGHTS","GRAND CENTRAL PKWY & ASTORIA BLVD","GRAND CENTRAL PKWY & ASTORIA BLVD","0.00000000","Other","STRIP","false","EXWY",,,,"DPR",,,,,"false","Unmapped"
"Q418","Q418","Q","10","NASSAU EXPRESSWAY","NASSAU EXPRESSWAY","CROSS BAY BLVD TO 150 ST","CROSS BAY BLVD TO 150 ST","0.00000000","Other","EXWY","false","HWY",,,,"DPR",,,,,"false","Unmapped"
"Q448","Q448-ZN01","Q","12","Roy Wilkins Recreation Center","ROY WILKINS RECREATION CENTER- ZONE 1","Merrick Blvd. bet. 115 Ave., 116 Ave., and Baisley Blvd.","N.W. OF FENCE RUNNING FROM 118TH RD TO HOSPITAL","0.00000000","Large Park","Large Park Zone","false","Retired/rezoned",,,,"DPR",,,,,"false","Unmapped"
"Q448","Q448-ZN02","Q","12","Roy Wilkins Recreation Center","ROY WILKINS RECREATION CENTER - ZONE 2","Merrick Blvd. bet. 115 Ave., 116 Ave., and Baisley Blvd.","S.E. OF FENCE RUNNING FROM 118TH RD TO HOSPITAL","0.00000000","Large Park","Large Park Zone","false","Retired/rezoned",,,,"DPR",,,,,"false","Unmapped"
"Q466","Q466","Q","13","HOOK CREEK MARSH","HOOK CREEK MARSH","ROCKAWAY AND BROOKVILLE BLVDS, HOOK CREEK BASIN","ROCKAWAY AND BROOKVILLE BLVDS, HOOK CREEK BASIN","11.48600006","Large Park","Large Park","false","wildlife preserve",,,,"DPR",,,,,"false","Unmapped"
"QD08","QD08","Q","01","QUEENS WEST COMMUNITY PARK","QUEENS WEST COMMUNITY PARK","5TH STREET & 48TH AVENUE","5TH STREET & 48TH AVENUE","0.00000000","Restrictive Declaration Site",,"false","NOT Restrictive Declaration Site?",,,,"DPR",,,,,"false","Unmapped"
"QZ10","QZ10","Q","06","IAN MACLENNAN GARDEN","IAN MACLENNAN GARDEN","SELFRIDGE, MANSE STS & 68 AVE","SELFRIDGE, MANSE STS & 68 AVE","0.00000000","Greenstreet","Type 1","false","Rated as QT18",,,,"DPR",,,,,"false","Unmapped"
"QZ105","QZ105","Q","13","HOOK CREEK - FIELD OF DREAMS","HOOK CREEK - FIELD OF DREAMS","246 ST, NORTH CONDUIT AVENUE","246 ST, NORTH CONDUIT AVENUE","0.00000000","Small Park","Neighborhood Park","false","Transferred to DOT for use as a ""Safety City"" site.  AB 3/5/13.",,,,"DPR",,,,,"false","Unmapped"
"QZ143","QZ143","Q","04","GREENSTREET","GREENSTREET","111TH ST. & 47TH AVE.","111TH ST. & 47TH AVE.","0.00000000","Greenstreet","Type 1","false",,,,,"DPR",,,,,"false","Unmapped"
"QZ16","QZ16","Q","12","MALLS","MALLS","LIBERTY AVE TO MAYVILLE ST, BRINKERHOFF AND FONDA","LIBERTY AVE TO MAYVILLE ST, BRINKERHOFF AND FONDA","0.00000000","Small Park","Sitting Area/Triangle/Mall","false","Retired per Comm Dockett/Parklands 6/2021",,,,"DPR",,,,,"false","Unmapped"
"QZ166","QZ166","Q","14","GREENSTREET","GREENSTREET","BEACH 11TH STREET & SEAGIRT BOULEVARD & HEYSON RD","BEACH 11TH STREET & SEAGIRT BOULEVARD & HEYSON RD","0.00000000","Greenstreet","Type 1","false","Now rated only as QZ653. Was being rated under both numbers. AB 3/14/13.",,,,"DPR",,,,,"false","Unmapped"
"QZ169","QZ169(2)","Q","14","GREENSTREET","GREENSTREET","(CENTER) SEAGIRT BLVD &    ROCKAWAY FREEWAY (2)","(CENTER) SEAGIRT BLVD &    ROCKAWAY FREEWAY (2)","0.00000000","Greenstreet","Type 1","false","Now rated only as QZ168. AB 3/14/13.",,,,"DPR",,,,,"false","Unmapped"
"QZ18","QZ18","Q","08","MALL SIXTY-NINE","MALL SIXTY-NINE","69 AVE , 188 ST TO 193 LA","69 AVE , 188 ST TO 193 LA","0.00000000","Small Park","Sitting Area/Triangle/Mall","true",,,,,"DPR",,,,,"false","Unmapped"
