"order_number","record_type","order_type","borough","on_street","on_street_suffix","from_street","from_street_suffix","to_street","to_street_suffix","side_of_street","order_completed_on_date","sign_code","sign_description","sign_size","sign_design_voided_on_date","sign_location","distance_from_intersection","arrow_direction","facing_direction","sheeting_type","support","sign_notes","sign_x_coord","sign_y_coord"
"S-01527518","Current","S-","Manhattan","WEST  100 STREET",,"AMSTERDAM AVENUE",,"COLUMBUS AVENUE",,"N","2021-06-22T00:00:00.000","PL","PROPERTY LINE","N/A",,,"819",,,,,,,
"P-01396433","Historical","P-","Manhattan","WALKER STREET",,"BROADWAY",,"CORTLANDT ALLEY",,"N","2019-11-20T00:00:00.000","PS-9A","PAY-BY-CELL LOCATOR NUMBER","018 X 006",,,"190",,,"PNTD","PNTD","102772","983729","201000"
"R-01381197","Historical","R-","Queens","PRINCE STREET",,"LINNEAUS PLACE",,"35 AVENUE",,"W","2019-07-10T00:00:00.000","CL","CURB LINE","N/A",,,"0",,,,,,,
"S-114494","Historical","S-","Brooklyn","EAST   46 STREET",,"AVENUE D",,"FOSTER AVENUE",,"E","2003-06-27T00:00:00.000","CL","CURB LINE","N/A",,,"0",,,,,,,
"S-01531298","Current","S-","Bronx","GRAND CONCOURSE",,"EAST  167 STREET",,"EAST  168 STREET",,"E","2021-06-12T00:00:00.000","SI-1882G","LIMITED MTA BUS ROUTE PANEL (TEXT TO BE MODIFIED AS REQUESTED)","14.12 X 6",,,"129",,,"PNTD","PNTD","BX1 LTD","1007099","243427"
"C-01471127","Current","C-","Queens","JUNIPER BLVD SOUTH",,"71 STREET",,,,"@","2020-09-09T00:00:00.000","W3-3A","SIGNAL AHEAD (SYMBOL) (INSTALL WITH THE W3-3AB RIDER)","036 X 036",,"W SSD","124",,"West","TIII","TIII",,"1016343","200710"
"S-831959","Historical","S-","Bronx","PARK AVENUE",,"EAST  178 STREET",,"EAST TREMONT AVENUE",,"W","1988-09-19T00:00:00.000","CL","CURB LINE","N/A",,,"0",,,,,,,
"P-01426579","Historical","P-","Manhattan","WEST   42 STREET",,"9 AVENUE",,"10 AVENUE",,"N","2020-04-13T00:00:00.000","PS-651E","TRUCK (SYMBOL) TRUCK LOADING ONLY SUNDAY 7PM-MIDNIGHT <->","018 X 018",,,"450",,,"PNTD","PNTD",,"985897","215811"
"P-01531338","Current","P-","Bronx","JEROME AVENUE",,"EAST  193 STREET",,"EAST KINGSBRIDGE ROAD",,"E","2021-06-12T00:00:00.000","PS-9A","PAY-BY-CELL LOCATOR NUMBER","018 X 006",,,"180",,,"PNTD","PNTD","214966","1012594","255214"
"ST01527095","Current","ST","Queens","72 ROAD",,"147 STREET",,,,"@","2021-06-09T00:00:00.000","SI-XXXXACG","STREET NAME SIGN (PROPER NAME TO BE SPECIFIED) THAT IS ALL-CAPS","XXX X 009",,"N/E C","0",,,"TIII","TIII","147 ST","1034297","204044"
"S-980505","Historical","S-","Queens","23 AVENUE",,"SOUND STREET",,"43 STREET",,"S","1999-01-07T00:00:00.000","CL","CURB LINE","N/A",,,"178",,,,,,,
"C-01525550","Current","C-","Brooklyn","FOUNTAIN AVENUE",,"SEAVIEW AVENUE",,,,"@","2021-06-30T00:00:00.000","SI-2268G","BIKE (SYMBOL) JAMAICA BAY GREENWAY VIA ERSKINE ST W/ 3 O'CLOCK ARROW","018 X 030",,"N WSD","20",,"North","TIII","TIII",,"1022281","178142"
"ST01501092","Historical","ST","Queens","MAIN STREET",,"JEWEL AVENUE",,,,"@","2021-01-19T00:00:00.000","SI-XXXXG","STREET NAME SIGN (PROPER NAME TO BE SPECIFIED) (TO BE USED FOR STREET NAME SIGNS WHERE WIDTH IS GREATER THAN 36"" OR UNKNOWN OR FOR LOCAL LAW SNS)","XXX X 009",,"S/W C","0",,,"TIII","TIII","JEWEL AV","1033177","205290"
"R-01580883","Historical","R-","Staten Island","SLOSSON AVENUE",,"VICTORY BOULEVARD",,,,"@","2022-05-31T00:00:00.000","W9-1","SCHOOL CROSSING SYMBOL (ADVANCE WARNING)","030 X 030",,"N WSD","195",,"North","TIII","TIII",,"951778","163015"
"R-516732","Historical","R-","Brooklyn","KOSCIUSKO STREET",,"LEWIS AVENUE",,"STUYVESANT AVENUE",,"S","1994-09-15T00:00:00.000","BL","BUILDING LINE","N/A",,,"12",,,,,,,
"R-01530163","Historical","R-","Manhattan","ST NICHOLAS AVENUE",,"WEST  168 STREET",,"WEST  169 STREET",,"E","2021-06-03T00:00:00.000","PS-9A","PAY-BY-CELL LOCATOR NUMBER","018 X 006",,,"96",,,"PNTD","PNTD","109146","1000998","245665"
"C-01455299","Historical","C-","Brooklyn","AVENUE V",,"WEST    7 STREET",,,,"@","2020-07-13T00:00:00.000","R1-1","STOP","030 X 030",,"S/W C","0",,"South","TIII","TIII",,"990312","155764"
"C-386931","Historical","C-","Staten Island","ST JOHN AVENUE",,"WATERS AVENUE",,,,"@","2016-04-08T00:00:00.000","R6-1","ONE WAY ARROW","036 X 012",,"S/W C","0","West",,"TIII","TIII",,"946710","164119"
"P-01550045","Current","P-","Manhattan","WEST   15 STREET",,"6 AVENUE",,"7 AVENUE",,"S","2021-10-08T00:00:00.000","SI-2091G","NEIGHBORHOOD LOADING ZONE RULES SIGN","09.5 X 014","2023-04-20T00:00:00.000",,"318",,,"PNTD","PNTD",,"984985","208320"
"ST01530243","Current","ST","Queens","159 AVENUE",,"86 STREET",,,,"@","2021-06-09T00:00:00.000","SI-XXXXACG","STREET NAME SIGN (PROPER NAME TO BE SPECIFIED) THAT IS ALL-CAPS","XXX X 009",,"S/W C","0",,,"TIII","TIII","86 ST","1026869","179127"
"R-01530767","Historical","R-","Bronx","EAST  183 STREET",,"WALTON AVENUE",,"JEROME AVENUE",,"N","2021-06-08T00:00:00.000","BL","BUILDING LINE","N/A",,,"12",,,,,,,
"R-01533078","Historical","R-","Bronx","BURKE AVENUE",,"WHITE PLAINS ROAD",,"CRUGER AVENUE",,"S","2021-06-17T00:00:00.000","BL","BUILDING LINE","N/A",,,"20",,,,,,,
"C-01353128","Historical","C-","Brooklyn","WYTHE AVENUE",,"NORTH    1 STREET",,,,"@","2019-02-05T00:00:00.000","R6-1","ONE WAY ARROW","036 X 012",,"S/W C","0","South",,"TIII","TIII",,"994245","200258"
"R-01535726","Historical","R-","Manhattan","ADAM CLAYTON POWELL BOULEVARD",,"WEST  143 STREET",,,,"@","2021-06-30T00:00:00.000","SW-745","SPEED REDUCTION SIGN - 12 O'CLOCK ARROW SCHOOL SPEED LIMIT XX (XX = SPEED TO BE DETERMINED) (SCHOOL SIGN)","036 X 036",,"E SSD","80",,"East","TIII","TIII","20 MPH","1000914","238104"
"ST01499165","Historical","ST","Queens","67 AVENUE",,"164 STREET",,,,"@","2021-01-25T00:00:00.000","SI-XXXXG","STREET NAME SIGN (PROPER NAME TO BE SPECIFIED) (TO BE USED FOR STREET NAME SIGNS WHERE WIDTH IS GREATER THAN 36"" OR UNKNOWN OR FOR LOCAL LAW SNS)","XXX X 009",,"S/W C","0",,,"TIII","TIII","164 ST","1038330","207094"
"B-01531289","Current","B-","Bronx","ALLERTON AVENUE",,"YOUNG AVENUE",,"WILSON AVENUE",,"N","2021-06-15T00:00:00.000","SR-2191","CITY SPEED LIMIT 25 PHOTO ENFORCED (SUPERSEDES SR-2166)","030 X 048",,,"0",,"East","TIII","TIII","CAMERA SITE ID# XFS44PON WP ON NEC OF YOUNG AV @ ALLERTON AV","1025987","254571"
"R-01532087","Historical","R-","Staten Island","STEUBEN STREET",,"WINDEMERE ROAD",,,,"@","2021-06-10T00:00:00.000","R4-6R","KEEP RIGHT SYMBOL (RIGHT REVERSE CURVE ARROW W/MALL TIP)","024 X 030",,"*NOTE","0",,"South","TIII","TIII","INSTALL SIGN AND DR ON NORTH CENTER MALL","962951","158655"
"ST01533397","Current","ST","Queens","DOUGLASTON PARKWAY",,"70 AVENUE",,,,"@","2021-06-21T00:00:00.000","SI-XXXXACG","STREET NAME SIGN (PROPER NAME TO BE SPECIFIED) THAT IS ALL-CAPS","XXX X 009",,"S/E C","0",,,"TIII","TIII","DOUGLASTON PARKWAY","1056759","212355"
"R-01384802","Historical","R-","Brooklyn","FLATBUSH AVENUE",,"CATON AVENUE",,,,"@","2021-06-25T00:00:00.000","SI-139G","N.Y.S. - U.S. ROUTE MARKER (1 OR 2 DIGITS OR LETTER TO BE DETERMINED)","024 X 024",,"S/E C","0",,"South","TIII","TIII","#27 .......","995571","177132"
"S-01416820","Historical","S-","Manhattan","BROADWAY",,"CHAMBERS STREET",,"WARREN STREET",,"W","2020-03-04T00:00:00.000","SI-1878G","LOCAL MTA BUS ROUTE PANEL (TEXT TO BE MODIFIED AS REQUESTED)","14.12 X 6",,,"97",,,"PNTD","PNTD","M55","982448","199384"
"R-799833","Historical","R-","Manhattan","EAST   81 STREET",,"FIRST AVENUE",,"SECOND AVENUE",,"S","2009-10-13T00:00:00.000","CL","CURB LINE","N/A",,,"0",,,,,,,
"S-180198","Historical","S-","Queens","LINDEN BOULEVARD",,"204 STREET",,"205 STREET",,"S","2006-04-29T00:00:00.000","CL","CURB LINE","N/A",,,"0",,,,,,,
"R-01321397","Historical","R-","Bronx","FEATHERBED LANE",,"MACOMBS ROAD",,"SHAKESPEARE AVENUE",,"N","2018-07-30T00:00:00.000","CL","CURB LINE","N/A",,,"633",,,,,,,
"S-01517721","Current","S-","Queens","23 AVENUE",,"101 STREET",,"102 STREET",,"S","2021-06-21T00:00:00.000","PS-38B","NO PARKING (SANITATION BROOM SYMBOL) TUESDAY 11:30AM-1PM <-> (SUPERSEDES SP-385C)","018 X 012",,,"158",,,"PNTD","PNTD",,,
"R-01531494","Historical","R-","Bronx","HEATH AVENUE",,"WEST KINGSBRIDGE ROAD",,,,"@","2021-06-09T00:00:00.000","SW-50","SLIPPERY WHEN WET SYMBOL (DIAMOND)","048 X 048",,"E NSD","815",,"East","TIII","TIII","PLACE SIGN ON NORTH CURB 815' E/O EAST C/L","1010697","256424"
"R-01534595","Historical","R-","Brooklyn","BROADWAY",,"COOK STREET",,,,"@","2021-06-23T00:00:00.000","R1-1","STOP","030 X 030",,"S/E C","0",,"East","TIII","TIII",,"999695","195057"
"S-985705","Historical","S-","Queens","GRASSMERE TERRACE",,"CORNAGA AVENUE",,"OCEANCREST BOULEVARD",,"N","1999-02-27T00:00:00.000","PL","PROPERTY LINE","N/A",,,"453",,,,,,,
"R-01527117","Historical","R-","Staten Island","BRADLEY AVENUE",,"VICTORY BOULEVARD",,"PURDY AVENUE",,"W","2021-06-08T00:00:00.000","SI-1878G","LOCAL MTA BUS ROUTE PANEL (TEXT TO BE MODIFIED AS REQUESTED)","14.12 X 6",,,"735",,,"PNTD","PNTD","S61","947494","161682"
"R-01531428","Historical","R-","Bronx","CASTLE HILL AVENUE",,"WESTCHESTER AVENUE",,"LYON AVENUE",,"E","2021-06-14T00:00:00.000","PS-54C","2 HOUR METERED PARKING 9AM-7PM EXCEPT SUNDAY <-> (SUPERSEDES R7-182RB)","018 X 018",,,"338",,,"PNTD","PNTD",,"1025239","243587"
"R-528920","Historical","R-","Manhattan","PEARL STREET",,"HANOVER SQUARE",,"COENTIES ALLEY",,"W","1995-03-25T00:00:00.000","CL","CURB LINE","N/A",,,"346",,,,,,,
"S-908953","Historical","S-","Queens","149 STREET",,"38 AVENUE",,"ROOSEVELT AVENUE",,"W","1994-01-18T00:00:00.000","CL","CURB LINE","N/A",,,"0",,,,,,,
"S-359210","Historical","S-","Queens","134 STREET",,"HOOVER AVENUE",,"UNION TURNPIKE",,"W","2015-01-22T00:00:00.000","SC-39","HARD HAT (SYMBOL) TEMPORARY CONSTRUCTION REGULATION (RIDER)","018 X 006",,,"857",,,"PNTD","PNTD",,"1032918","200015"
"R-01530228","Historical","R-","Bronx","BAYCHESTER AVENUE",,"CO-OP CITY BOULEVARD",,"NEW ENGLAND THRWY","ENT RAMP","W","2021-06-04T00:00:00.000","PS-2GA","NO PARKING ANYTIME --> (SUPERSEDES SP-854CA)","018 X 012",,,"142","North",,"PNTD","PNTD",,"1030727","259820"
"S-01519032","Historical","S-","Queens","58 STREET",,"55 DRIVE",,"56 DRIVE",,"W","2021-03-31T00:00:00.000","PL","PROPERTY LINE","N/A",,,"718",,,,,,,
"P-310943","Historical","P-","Brooklyn","PROSPECT PARK WEST",,"WINDSOR PLACE",,"PROSPECT AVENUE",,"W","2012-11-02T00:00:00.000","CL","CURB LINE","N/A",,,"0",,,,,,,
"P-594310","Historical","P-","Bronx","WHITE PLAINS ROAD",,"BRADY AVENUE",,"MARAN PLACE",,"E","2018-08-17T00:00:00.000","PS-9A","PAY-BY-CELL LOCATOR NUMBER","018 X 006",,,"112",,,"PNTD","PNTD","213753","1020863","249987"
"S-144191","Historical","S-","Brooklyn","CHURCH AVENUE",,"MARLBOROUGH ROAD",,"BUCKINGHAM ROAD",,"S","2005-05-12T00:00:00.000","SP-339C","NIGHT REGULATION (MOON & STARS SYMBOLS) NO PARKING (SANITATION BROOM SYMBOL) NO PARKING MIDNIGHT TO 3AM TUES THURS SAT <--> (SUPERSEDED BY PS-124B)","018 X 018","2019-05-22T00:00:00.000",,"229",,,"PNTD","PNTD",,"993974","175588"
"S-282175","Historical","S-","Brooklyn","TROY AVENUE",,"PROSPECT PLACE",,"BERGEN STREET",,"E","2011-08-04T00:00:00.000","CL","CURB LINE","N/A",,,"600",,,,,,,
"R-632834","Historical","R-","Manhattan","EAST   56 STREET",,"MADISON AVENUE",,"PARK AVENUE",,"S","2001-11-21T00:00:00.000","CL","CURB LINE","N/A",,,"430",,,,,,,
"P-189309","Historical","P-","Manhattan","MURRAY STREET",,"WEST STREET",,"GREENWICH STREET",,"S","2008-07-18T00:00:00.000","PL","PROPERTY LINE","N/A",,,"19",,,,,,,
"P-830684","Historical","P-","Brooklyn","EAST   14 STREET",,"KINGS HIGHWAY",,"AVENUE R",,"W","1988-12-06T00:00:00.000","CL","CURB LINE","N/A",,,"934",,,,,,,
"R-685193","Historical","R-","Queens","108 STREET",,"NORTHERN BOULEVARD",,"ASTORIA BOULEVARD",,"E","2004-07-21T00:00:00.000","PL","PROPERTY LINE","N/A",,,"836",,,,,,,
