"date","borough","pool","attendance"
"2017-07-03T00:00:00.000","Brooklyn","McCarren Park","2866"
"2017-07-03T00:00:00.000","Brooklyn","Sunset Park","1432"
"2017-07-03T00:00:00.000","Brooklyn","Red Hook","1139"
"2017-07-03T00:00:00.000","Brooklyn","Kosciuszko","1318"
"2017-07-03T00:00:00.000","Brooklyn","Howard","270"
"2017-07-03T00:00:00.000","Brooklyn","Douglas and DeGraw","776"
"2017-07-03T00:00:00.000","Brooklyn","Commodore Barry","374"
"2017-07-03T00:00:00.000","Brooklyn","Bushwick","0"
"2017-07-03T00:00:00.000","Bronx","Claremont","772"
"2017-07-03T00:00:00.000","Bronx","Edenwald Houses","280"
"2017-07-03T00:00:00.000","Bronx","Crotona","3533"
"2017-07-03T00:00:00.000","Bronx","Floating Pool","733"
"2017-07-03T00:00:00.000","Bronx","Haffen","815"
"2017-07-03T00:00:00.000","Bronx","Mapes","935"
"2017-07-03T00:00:00.000","Bronx","Mullaly","747"
"2017-07-03T00:00:00.000","Bronx","Van Cortlandt","2312"
"2017-07-03T00:00:00.000","Bronx","Bronx River Playground","168"
"2017-07-03T00:00:00.000","Manhattan","Asser Levy","943"
"2017-07-03T00:00:00.000","Manhattan","Tony Dapolito","470"
"2017-07-03T00:00:00.000","Manhattan","Dry Dock","456"
"2017-07-03T00:00:00.000","Manhattan","Hamilton Fish","3086"
"2017-07-03T00:00:00.000","Manhattan","Highbridge","3206"
"2017-07-03T00:00:00.000","Manhattan","Jackie Robinson","1332"
"2017-07-03T00:00:00.000","Manhattan","John Jay","910"
"2017-07-03T00:00:00.000","Manhattan","Lasker","1994"
"2017-07-03T00:00:00.000","Manhattan","Marcus Garvey","771"
"2017-07-03T00:00:00.000","Manhattan","Sheltering Arms","515"
"2017-07-03T00:00:00.000","Manhattan","Thomas Jefferson","1577"
"2017-07-03T00:00:00.000","Manhattan","Wagner","464"
"2017-07-03T00:00:00.000","Manhattan","Abe Lincoln","116"
"2017-07-03T00:00:00.000","Manhattan","Frederick Douglass","62"
"2017-07-03T00:00:00.000","Manhattan","Vesuvio","134"
"2017-07-03T00:00:00.000","Manhattan","Tompkins Square","100"
"2017-07-03T00:00:00.000","Queens","Astoria","5050"
"2017-07-03T00:00:00.000","Queens","Fisher","733"
"2017-07-03T00:00:00.000","Queens","Liberty","559"
"2017-07-03T00:00:00.000","Queens","Totten","791"
"2017-07-03T00:00:00.000","Queens","Marie Curie Park","272"
"2017-07-03T00:00:00.000","Queens","Astoria Hts PS 10","0"
"2017-07-03T00:00:00.000","Queens","PS 186 Playground","55"
"2017-07-03T00:00:00.000","Queens","Windmuller","383"
"2017-07-03T00:00:00.000","Staten Island","Faber","610"
"2017-07-03T00:00:00.000","Staten Island","Lyons","1015"
"2017-07-03T00:00:00.000","Staten Island","Tottenville","351"
"2017-07-03T00:00:00.000","Staten Island","West Brighton","329"
"2017-07-03T00:00:00.000","Staten Island","General Douglas","41"
"2017-07-03T00:00:00.000","Staten Island","Mariner's Harbor","0"
"2017-07-03T00:00:00.000","Staten Island","PS 14 Playground","103"
"2017-07-03T00:00:00.000","Staten Island","PS 46 Playground","53"
"2017-07-04T00:00:00.000","Brooklyn","Betsy Head","691"
"2017-07-04T00:00:00.000","Brooklyn","PS 20 Playground","260"
"2017-07-04T00:00:00.000","Brooklyn","Lindower Park","378"
"2017-07-04T00:00:00.000","Brooklyn","JHS 57/HS 26 Pool","0"
"2017-07-04T00:00:00.000","Brooklyn","Glenwood Houses","93"
"2017-07-04T00:00:00.000","Brooklyn","David Fox/PS 251 Pool","115"
"2017-07-04T00:00:00.000","Brooklyn","McCarren Park","3177"
"2017-07-04T00:00:00.000","Brooklyn","Sunset Park","2202"
"2017-07-04T00:00:00.000","Brooklyn","Red Hook","2096"
"2017-07-04T00:00:00.000","Brooklyn","Kosciuszko","910"
"2017-07-04T00:00:00.000","Brooklyn","Howard","392"
"2017-07-04T00:00:00.000","Brooklyn","Douglas and DeGraw","0"
"2017-07-04T00:00:00.000","Brooklyn","Commodore Barry","287"
"2017-07-04T00:00:00.000","Brooklyn","Bushwick","296"
"2017-07-04T00:00:00.000","Bronx","Claremont","807"
"2017-07-04T00:00:00.000","Bronx","Edenwald Houses","90"
"2017-07-04T00:00:00.000","Bronx","Crotona","3935"
"2017-07-04T00:00:00.000","Bronx","Floating Pool","1014"
"2017-07-04T00:00:00.000","Bronx","Haffen","905"
"2017-07-04T00:00:00.000","Bronx","Mapes","754"
"2017-07-04T00:00:00.000","Bronx","Mullaly","620"
"2017-07-04T00:00:00.000","Bronx","Van Cortlandt","2478"
"2017-07-04T00:00:00.000","Bronx","Bronx River Playground","114"
"2017-07-04T00:00:00.000","Manhattan","Asser Levy","577"
"2017-07-04T00:00:00.000","Manhattan","Tony Dapolito","255"
"2017-07-04T00:00:00.000","Manhattan","Dry Dock","343"
"2017-07-04T00:00:00.000","Manhattan","Hamilton Fish","2107"
"2017-07-04T00:00:00.000","Manhattan","Highbridge","2341"
"2017-07-04T00:00:00.000","Manhattan","Jackie Robinson","839"
"2017-07-04T00:00:00.000","Manhattan","John Jay","746"
"2017-07-04T00:00:00.000","Manhattan","Lasker","2649"
"2017-07-04T00:00:00.000","Manhattan","Marcus Garvey","683"
"2017-07-04T00:00:00.000","Manhattan","Sheltering Arms","368"
"2017-07-04T00:00:00.000","Manhattan","Thomas Jefferson","1444"
"2017-07-04T00:00:00.000","Manhattan","Wagner","383"
"2017-07-04T00:00:00.000","Manhattan","Abe Lincoln","92"
"2017-07-04T00:00:00.000","Manhattan","Frederick Douglass","98"
"2017-07-04T00:00:00.000","Manhattan","Vesuvio","149"
"2017-07-04T00:00:00.000","Manhattan","Tompkins Square","107"
"2017-07-04T00:00:00.000","Queens","Astoria","4005"
"2017-07-04T00:00:00.000","Queens","Fisher","1426"
"2017-07-04T00:00:00.000","Queens","Liberty","532"
"2017-07-04T00:00:00.000","Queens","Totten","812"
"2017-07-04T00:00:00.000","Queens","Marie Curie Park","99"
"2017-07-04T00:00:00.000","Queens","Astoria Hts PS 10","0"
"2017-07-04T00:00:00.000","Queens","PS 186 Playground","93"
"2017-07-04T00:00:00.000","Queens","Windmuller","159"
"2017-07-04T00:00:00.000","Staten Island","Faber","452"
"2017-07-04T00:00:00.000","Staten Island","Lyons","469"
"2017-07-04T00:00:00.000","Staten Island","Tottenville","370"
"2017-07-04T00:00:00.000","Staten Island","West Brighton","174"
"2017-07-04T00:00:00.000","Staten Island","General Douglas","42"
"2017-07-04T00:00:00.000","Staten Island","Mariner's Harbor","0"
"2017-07-04T00:00:00.000","Staten Island","PS 14 Playground","58"
"2017-07-04T00:00:00.000","Staten Island","PS 46 Playground","67"
"2017-07-05T00:00:00.000","Brooklyn","Betsy Head","0"
"2017-07-05T00:00:00.000","Brooklyn","PS 20 Playground","0"
"2017-07-05T00:00:00.000","Brooklyn","Lindower Park","180"
"2017-07-05T00:00:00.000","Brooklyn","JHS 57/HS 26 Pool","0"
"2017-07-05T00:00:00.000","Brooklyn","Glenwood Houses","34"
"2017-07-05T00:00:00.000","Brooklyn","David Fox/PS 251 Pool","75"
"2017-07-05T00:00:00.000","Brooklyn","McCarren Park","1868"
"2017-07-05T00:00:00.000","Brooklyn","Sunset Park","1634"
"2017-07-05T00:00:00.000","Brooklyn","Red Hook","1014"
"2017-07-05T00:00:00.000","Brooklyn","Kosciuszko","574"
"2017-07-05T00:00:00.000","Brooklyn","Howard","181"
"2017-07-05T00:00:00.000","Brooklyn","Douglas and DeGraw","383"
"2017-07-05T00:00:00.000","Brooklyn","Commodore Barry","81"
"2017-07-05T00:00:00.000","Brooklyn","Bushwick","60"
"2017-07-05T00:00:00.000","Bronx","Claremont","498"
"2017-07-05T00:00:00.000","Bronx","Edenwald Houses","87"
"2017-07-05T00:00:00.000","Bronx","Crotona","1519"
"2017-07-05T00:00:00.000","Bronx","Floating Pool","437"
"2017-07-05T00:00:00.000","Bronx","Haffen","807"
"2017-07-05T00:00:00.000","Bronx","Mapes","585"
"2017-07-05T00:00:00.000","Bronx","Mullaly","480"
"2017-07-05T00:00:00.000","Bronx","Van Cortlandt","953"
"2017-07-05T00:00:00.000","Bronx","Bronx River Playground","122"
"2017-07-05T00:00:00.000","Manhattan","Asser Levy","305"
"2017-07-05T00:00:00.000","Manhattan","Tony Dapolito","270"
"2017-07-05T00:00:00.000","Manhattan","Dry Dock","204"
"2017-07-05T00:00:00.000","Manhattan","Hamilton Fish","1863"
"2017-07-05T00:00:00.000","Manhattan","Highbridge","2234"
"2017-07-05T00:00:00.000","Manhattan","Jackie Robinson","825"
"2017-07-05T00:00:00.000","Manhattan","John Jay","586"
"2017-07-05T00:00:00.000","Manhattan","Lasker","991"
"2017-07-05T00:00:00.000","Manhattan","Marcus Garvey","343"
"2017-07-05T00:00:00.000","Manhattan","Sheltering Arms","380"
"2017-07-05T00:00:00.000","Manhattan","Thomas Jefferson","1049"
"2017-07-05T00:00:00.000","Manhattan","Wagner","328"
"2017-07-05T00:00:00.000","Manhattan","Abe Lincoln","77"
"2017-07-05T00:00:00.000","Manhattan","Frederick Douglass","99"
"2017-07-05T00:00:00.000","Manhattan","Vesuvio","71"
"2017-07-05T00:00:00.000","Manhattan","Tompkins Square","40"
"2017-07-05T00:00:00.000","Queens","Astoria","4561"
"2017-07-05T00:00:00.000","Queens","Fisher","509"
"2017-07-05T00:00:00.000","Queens","Liberty","440"
"2017-07-05T00:00:00.000","Queens","Totten","383"
"2017-07-05T00:00:00.000","Queens","Marie Curie Park","87"
"2017-07-05T00:00:00.000","Queens","Astoria Hts PS 10","0"
"2017-07-05T00:00:00.000","Queens","PS 186 Playground","46"
"2017-07-05T00:00:00.000","Queens","Windmuller","414"
"2017-07-05T00:00:00.000","Staten Island","Faber","327"
"2017-07-05T00:00:00.000","Staten Island","Lyons","844"
"2017-07-05T00:00:00.000","Staten Island","Tottenville","180"
"2017-07-05T00:00:00.000","Staten Island","West Brighton","178"
"2017-07-05T00:00:00.000","Staten Island","General Douglas","14"
"2017-07-05T00:00:00.000","Staten Island","Mariner's Harbor","0"
"2017-07-05T00:00:00.000","Staten Island","PS 14 Playground","83"
"2017-07-05T00:00:00.000","Staten Island","PS 46 Playground","41"
"2017-07-06T00:00:00.000","Brooklyn","Betsy Head","304"
"2017-07-06T00:00:00.000","Brooklyn","PS 20 Playground","0"
"2017-07-06T00:00:00.000","Brooklyn","Lindower Park","152"
"2017-07-06T00:00:00.000","Brooklyn","JHS 57/HS 26 Pool","0"
"2017-07-06T00:00:00.000","Brooklyn","Glenwood Houses","13"
"2017-07-06T00:00:00.000","Brooklyn","David Fox/PS 251 Pool","55"
"2017-07-06T00:00:00.000","Brooklyn","McCarren Park","887"
"2017-07-06T00:00:00.000","Brooklyn","Sunset Park","445"
"2017-07-06T00:00:00.000","Brooklyn","Red Hook","569"
"2017-07-06T00:00:00.000","Brooklyn","Kosciuszko","276"
"2017-07-06T00:00:00.000","Brooklyn","Howard","0"
"2017-07-06T00:00:00.000","Brooklyn","Douglas and DeGraw","108"
"2017-07-06T00:00:00.000","Brooklyn","Commodore Barry","118"
"2017-07-06T00:00:00.000","Brooklyn","Bushwick","50"
"2017-07-06T00:00:00.000","Bronx","Claremont","263"
"2017-07-06T00:00:00.000","Bronx","Edenwald Houses","53"
"2017-07-06T00:00:00.000","Bronx","Crotona","426"
"2017-07-06T00:00:00.000","Bronx","Floating Pool","87"
"2017-07-06T00:00:00.000","Bronx","Haffen","195"
"2017-07-06T00:00:00.000","Bronx","Mapes","404"
"2017-07-06T00:00:00.000","Bronx","Mullaly","196"
"2017-07-06T00:00:00.000","Bronx","Van Cortlandt","270"
"2017-07-06T00:00:00.000","Bronx","Bronx River Playground","87"
"2017-07-06T00:00:00.000","Manhattan","Asser Levy","400"
"2017-07-06T00:00:00.000","Manhattan","Tony Dapolito","160"
"2017-07-06T00:00:00.000","Manhattan","Dry Dock","86"
"2017-07-06T00:00:00.000","Manhattan","Hamilton Fish","808"
"2017-07-06T00:00:00.000","Manhattan","Highbridge","1227"
"2017-07-06T00:00:00.000","Manhattan","Jackie Robinson","218"
"2017-07-06T00:00:00.000","Manhattan","John Jay","176"
"2017-07-06T00:00:00.000","Manhattan","Lasker","300"
"2017-07-06T00:00:00.000","Manhattan","Marcus Garvey","111"
"2017-07-06T00:00:00.000","Manhattan","Sheltering Arms","300"
"2017-07-06T00:00:00.000","Manhattan","Thomas Jefferson","302"
"2017-07-06T00:00:00.000","Manhattan","Wagner","105"
"2017-07-06T00:00:00.000","Manhattan","Abe Lincoln","54"
"2017-07-06T00:00:00.000","Manhattan","Frederick Douglass","23"
"2017-07-06T00:00:00.000","Manhattan","Vesuvio","42"
"2017-07-06T00:00:00.000","Manhattan","Tompkins Square","24"
"2017-07-06T00:00:00.000","Queens","Astoria","2185"
"2017-07-06T00:00:00.000","Queens","Fisher","376"
"2017-07-06T00:00:00.000","Queens","Liberty","161"
"2017-07-06T00:00:00.000","Queens","Totten","261"
"2017-07-06T00:00:00.000","Queens","Marie Curie Park","63"
"2017-07-06T00:00:00.000","Queens","Astoria Hts PS 10","0"
