"zip_codes","outreach_events","general_outreach","outreach_meetings","educational_trainings","fjc","undesignated","civic_service_agencies","education_agencies","health_agencies","nycha","public_safety_agencies","social_service_agencies","cbos","house_of_worship","consulates","outreach_partner_not_noted","total_population","population_poverty_status","of_residents_living_below","number_residents_foreign","residents_foreign_born","residents_speak_english_less","of_residents_black_or_african","residents_hispanic_or_latino","precinct","dirs_2018","dir_2019","fjc_clients"
"11201","42","9","17","4","4","8","17","4","2","3","4","6","7","3","0","0","62823","59307","0.13","12404","0.1974","6.7","0.1359","0.1157","84","1461","1391","42"
"11203","3","2","0","0","0","1","0","0","0","1","1","0","0","1","0","0","75451","73918","0.1634","38810","0.5144","7.6","0.8903","0.0642","67","7210","7162","86"
"11204","2","1","0","1","0","0","0","0","1","1","1","1","1","1","0","0","76978","76789","0.2276","34695","0.4507","41.7","0.0116","0.1091","62","2679","2773","58"
"11205","15","5","5","4","0","1","5","1","1","2","2","4","3","2","0","0","46064","44380","0.292","9087","0.1973","16.4","0.3181","0.177","88","2022","1978","12"
"11206","67","17","29","5","0","16","29","3","4","3","3","4","6","2","0","16","88349","87950","0.3656","18964","0.2146","22","0.2649","0.3712","90","2880","2797","46"
"11207","23","6","8","3","0","6","8","2","2","4","2","5","3","1","0","0","91972","90991","0.2889","29994","0.3261","13","0.6434","0.3328","75","12020","11556","111"
"11208","5","0","3","1","0","1","3","0","0","0","0","0","1","0","0","0","98660","98268","0.2577","38076","0.3859","16","0.5439","0.4131","75","12020","11556","135"
"11210","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","67040","66700","0.1243","26722","0.3986","12.4","0.5858","0.0703","63","2636","2596","53"
"11211","6","2","1","2","0","1","0","1","1","1","1","2","2","1","0","0","102624","102179","0.2622","21541","0.2099","21","0.0644","0.2432","94","1060","1046","24"
"11212","37","11","18","4","0","4","18","5","1","3","2","4","6","2","0","1","76527","74522","0.3614","26426","0.3453","9.4","0.8157","0.1864","73","8796","8457","96"
"11213","3","2","0","1","0","0","0","0","0","0","0","2","1","0","0","0","66295","65456","0.236","23139","0.349","8.3","0.676","0.1065","77","4266","4159","72"
"11214","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","92946","92331","0.1751","51816","0.5575","48.8","0.0147","0.1643","62","2679","2773","91"
"11215","1","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","70156","69857","0.071","12059","0.1719","6","0.0461","0.1629","78","1029","1139","12"
"11216","8","5","1","0","0","2","1","1","1","1","0","1","1","1","0","0","56308","56062","0.1737","14739","0.2618","6","0.5698","0.108","79","4454","4248","42"
"11217","5","3","1","0","0","1","1","1","1","2","0","1","2","1","0","0","41407","40747","0.1463","7165","0.173","7","0.1971","0.1853","78","1029","1139","18"
"11220","3","3","0","0","0","0","0","2","1","2","0","1","0","0","0","0","95643","95152","0.2938","53009","0.5542","60.2","0.0257","0.4165","72","2289","2243","155"
"11221","10","5","0","0","0","5","2","1","1","3","1","1","2","1","0","0","83835","83193","0.2317","19755","0.2356","15.8","0.49","0.3433","81","3761","3832","58"
"11222","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","36492","36397","0.1058","9384","0.2572","14.1","0.0436","0.1424","94","1060","1046","20"
"11223","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","81789","81617","0.2028","38637","0.4724","40","0.0475","0.1675","62","2679","2773","67"
"11224","2","0","2","0","0","0","2","0","0","0","0","0","0","0","0","0","46707","45892","0.2787","20790","0.4451","39.2","0.2247","0.2037","60","3866","3780","39"
"11225","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","58882","58720","0.1855","22292","0.3786","8.8","0.6388","0.0834","71","3372","3427","49"
"11226","3","2","0","0","0","1","0","0","0","0","0","0","1","1","0","0","100277","99938","0.1741","44726","0.446","16.1","0.6823","0.171","70","4154","4049","166"
"11230","4","2","1","1","0","0","1","1","1","1","0","1","3","0","0","0","89075","88624","0.2288","37068","0.4161","32.2","0.071","0.1024","66","1850","1868","79"
"11231","18","5","7","3","0","3","5","4","2","2","4","6","6","1","0","0","37845","37782","0.1535","6383","0.1687","7.8","0.139","0.1862","76","1358","1373","14"
"11232","2","0","0","1","0","1","1","1","0","0","0","0","0","0","0","0","27602","25379","0.2165","10898","0.3948","36.3","0.0642","0.5063","72","2289","2243","31"
"11233","9","2","4","2","0","1","4","1","0","0","0","1","1","1","0","1","76819","76328","0.2813","18637","0.2426","6.5","0.7879","0.1598","81","3761","3832","58"
"11234","3","2","0","0","0","1","0","0","0","0","0","0","1","0","0","0","95666","95411","0.0801","36005","0.3764","13.7","0.4582","0.1048","63","2636","2596","61"
"11235","2","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","78128","77366","0.1939","49617","0.6351","50.5","0.0257","0.0831","61","3079","3029","106"
"11237","2","1","1","0","0","0","0","1","0","0","0","0","1","0","0","0","49310","49043","0.2993","18151","0.3681","29.3","0.1353","0.6297","83","3957","4065","79"
"11238","5","2","1","0","0","2","1","0","0","3","0","0","0","0","0","0","54540","54004","0.1299","11396","0.2089","5.2","0.3763","0.109","77","4266","4159","24"
"11354","1","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","55200","53377","0.1999","36495","0.6611","63.3","0.0322","0.1595","109","3257","3399","63"
"11355","3","3","0","0","0","0","0","0","0","0","0","2","2","0","0","0","80853","80381","0.2264","57175","0.7071","69.5","0.034","0.1477","109","3257","3399","99"
"11365","2","2","0","0","0","0","0","0","0","0","0","0","2","0","0","0","44983","44889","0.1187","20214","0.4494","30","0.0848","0.1971","111","1147","1216","23"
"11368","2","1","0","1","0","0","1","0","0","0","1","0","0","0","0","0","112425","110934","0.2018","67607","0.6014","54.3","0.105","0.7549","110","3551","3576","291"
"11372","11","8","1","1","0","1","0","2","1","0","0","0","4","2","1","0","61844","61421","0.1206","36108","0.5839","45.3","0.0319","0.5756","115","4267","4077","123"
"11373","3","1","0","1","1","0","0","0","2","0","0","1","0","0","0","1","93967","93386","0.1565","62985","0.6703","52.4","0.0213","0.4139","110","3551","3576","158"
"11375","3","1","2","0","0","0","2","0","0","0","0","0","2","0","0","0","73488","73002","0.0907","32848","0.447","21.8","0.0273","0.1574","112","1381","1403","46"
"11411","4","2","0","1","0","1","0","0","0","0","1","0","1","2","0","0","20759","20706","0.0419","8048","0.3877","5.6","0.9265","0.0659","105","5568","5196","9"
"11412","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","37458","37294","0.0825","13380","0.3572","5.1","0.8997","0.051","113","5477","5366","40"
"11415","53","0","15","7","29","2","3","1","11","0","8","12","13","5","4","0","19372","19341","0.1233","8098","0.418","21.7","0.0536","0.2495","102","4131","4027","30"
"11416","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","27125","27076","0.1523","13792","0.5085","24.8","0.0629","0.4514","102","4131","4027","30"
"11417","3","3","0","0","0","0","0","0","0","0","3","0","0","0","0","0","31927","31856","0.1419","14321","0.4486","21","0.074","0.3853","106","4032","4054","33"
"11418","3","3","0","0","0","0","0","0","0","0","0","0","1","1","0","0","38517","38203","0.1473","19234","0.4994","28.9","0.0734","0.457","102","4131","4027","58"
"11419","2","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","49618","49490","0.1342","31382","0.6325","16.5","0.1641","0.1886","102","4131","4027","52"
"11420","1","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","48489","48303","0.1206","24958","0.5147","11.4","0.2451","0.2405","106","4032","4054","48"
"11423","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","31400","30855","0.0913","16794","0.5348","17","0.3885","0.1419","103","5267","5040","34"
"11424","5","2","2","0","0","1","2","0","0","0","0","2","2","0","0","0","0","0",,"0","0.00","0","0.00","0.00","102","0","0","0"
"11427","1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","24037","23378","0.085","11281","0.4693","23","0.2071","0.1945","111","1147","1216","22"
"11428","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","18929","18914","0.0844","9403","0.4968","22.3","0.2104","0.2533","105","5568","5196","19"
"11432","9","5","2","0","2","0","1","2","2","0","0","0","0","1","0","0","62053","58018","0.1493","35175","0.5669","31.1","0.16","0.2443","107","2765","3116","79"
"11433","2","1","0","1","0","0","0","1","0","0","0","0","0","1","0","0","36489","36390","0.1705","14504","0.3975","15.9","0.6429","0.1889","103","5267","5040","44"
"11434","10","4","5","1","0","0","5","0","1","0","2","2","3","0","0","0","65791","64341","0.112","20570","0.3127","4.4","0.8754","0.0753","113","5477","5366","64"
"11435","3","1","0","0","0","2","0","2","0","0","0","0","1","0","0","0","59296","58495","0.1576","31821","0.5366","29.8","0.2364","0.3108","103","5267","5040","70"
"11437","2","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0.00","0","0.00","0","0.00","0.00","102","0","0","0"
"11451","2","2","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0.00","0","0.00","0","0.00","0.00","103","0","0","0"
"11456","2","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0.00","0","0.00","0","0.00","0.00","102","0","0","0"
"11691","9","3","5","0","0","1","1","0","0","0","3","1","4","0","0","0","67094","64595","0.2144","20440","0.3046","14.3","0.4684","0.2636","101","3991","4109","49"
"11692","2","2","0","0","0","0","0","1","0","0","0","0","1","0","0","0","20991","20191","0.2543","6671","0.3178","12","0.6089","0.244","100","1679","1767","12"
"11693","3","2","0","1","0","0","0","0","1","0","0","1","1","0","0","0","12919","12790","0.1404","3284","0.2542","17.3","0.199","0.2949","100","1679","1767","5"
