"development_name","borough","account_name","location","meter_amr","meter_scope","tds","edp","rc_code","funding_source","amp","vendor_name","umis_bill_id","revenue_month","service_start_date","service_end_date","days","meter_number","estimated","current_charges","rate_class","bill_analyzed","consumption_therms","es_commodity","underlying_utility"
"REHAB PROGRAM (TAFT REHABS)","MANHATTAN","REHAB PROGRAM (TAFT REHABS)","BLD 04","NONE","BLD 04","516","292","M051600","FEDERAL","NY005013170P","CONSOLIDATED EDISON COMPANY OF NY","12140403","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","3319086","N","5922.25","TRMDH","Yes","4529","UTILITY GAS","ConEd"
"VAN DYKE II","BROOKLYN","VAN DYKE I/VAN DYKE II","VAN DYKE I BLD 12","AMR",,"146","257","K014600","FEDERAL","NY005011680P","National Grid NYC","12203302","2023-01","2022-12-27T00:00:00.000","2023-01-26T00:00:00.000","30","00811388-8.3%","N","8977.4","T3 TRAN MULT FAM","Yes","16955.49","UTILITY GAS","NatGrid NYC"
"#N/A","NON DEVELOPMENT FACILITY","NDF - PSA 3, 25 CENTRAL AVE","BLD 03","AMR",,"#N/A","999","1012000","NON-DEVELOPMENT",,"National Grid NYC","12202952","2023-01","2022-12-23T00:00:00.000","2023-01-26T00:00:00.000","34","5237181","N","2252.99","T2-2 TRAN GENERAL","Yes","2860","UTILITY GAS","NatGrid NYC"
"LENOX ROAD-ROCKAWAY PARKWAY","BROOKLYN","LENOX ROAD-ROCKAWAY PARKWAY","BLD 01","AMR",,"348","763","K034800","FEDERAL","NY005011670P","National Grid NYC","12203233","2023-01","2022-12-27T00:00:00.000","2023-01-26T00:00:00.000","30","6481243","N","1160.25","T3 TRAN MULT FAM","Yes","1996.53","UTILITY GAS","NatGrid NYC"
"LAFAYETTE","BROOKLYN","LAFAYETTE","BLD 02","AMR","BLD 1-7","122","247","K012200","FEDERAL","NY005001220P","National Grid NYC","12203120","2023-01","2022-12-27T00:00:00.000","2023-01-26T00:00:00.000","30","54100","N","74374.09","T3 TRAN MULT FAM","Yes","140383","UTILITY GAS","NatGrid NYC"
"STUYVESANT GARDENS I","BROOKLYN","STUYVESANT GARDENS I","BLD 01","AMR","BLD 1-2","221","337","K022100","FEDERAL","NY005012210P","National Grid NYC","12203113","2023-01","2022-12-27T00:00:00.000","2023-01-26T00:00:00.000","30","9840694","N","15837.89","T3 TRAN MULT FAM","Yes","29677","UTILITY GAS","NatGrid NYC"
"STERLING PLACE REHABS (STERLING-BUFFALO)","BROOKLYN","STERLING PLACE REHABS (STERLING-BUFFALO)","BLD 05","AMR",,"368","837","K036800","FEDERAL","NY005013510P","National Grid NYC","12203533","2023-01","2022-12-27T00:00:00.000","2023-01-31T00:00:00.000","35","7350852","Y","1962.48","T3 TRAN MULT FAM","Yes","3339","UTILITY GAS","NatGrid NYC"
"RED HOOK EAST","BROOKLYN","RED HOOK EAST","BLD 07","AMR","BLD 2,4-10","4","202","K000400","FEDERAL","NY005000040P","National Grid NYC","12203099","2023-01","2022-12-27T00:00:00.000","2023-01-26T00:00:00.000","30","6011110","N","50275.66","T3 TRAN MULT FAM","Yes","94825","UTILITY GAS","NatGrid NYC"
"ASTORIA","QUEENS","ASTORIA","BLD 07","NONE","BLD 1-13, 15-23","26","517","Q002600","FEDERAL","NY005000260P","CONSOLIDATED EDISON COMPANY OF NY","12199316","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","3876028","N","5473.01","TRMDHDF","Yes","0","UTILITY GAS","ConEd"
"HOWARD AVENUE-PARK PLACE","BROOKLYN","HOWARD AVENUE-PARK PLACE","BLD 02","AMR",,"365","551","K036500","FEDERAL","NY005013510P","National Grid NYC","12203133","2023-01","2022-12-27T00:00:00.000","2023-01-26T00:00:00.000","30","4774305","N","1129.74","T3 TRAN MULT FAM","Yes","1860","UTILITY GAS","NatGrid NYC"
"BUSHWICK II (GROUPS A & C)","BROOKLYN","BUSHWICK II (GROUPS A & C)","BLD 22","AMR",,"302","565","K030200","FEDERAL","NY005012470P","National Grid NYC","12203008","2023-01","2022-12-27T00:00:00.000","2023-01-26T00:00:00.000","30","6082554","N","565.14","T3 TRAN MULT FAM","Yes","827","UTILITY GAS","NatGrid NYC"
"MARCY","BROOKLYN","MARCY","BLD 09","AMR",,"21","514","K002100","FEDERAL","NY005000210P","National Grid NYC","12203070","2023-01","2022-12-27T00:00:00.000","2023-01-26T00:00:00.000","30","5237453","N","3.29","T3 TRAN MULT FAM","Yes","6.21","UTILITY GAS","NatGrid NYC"
"HERNANDEZ","MANHATTAN","HERNANDEZ","BLD 01","NONE",,"184","286","M018400","FEDERAL","NY005011000P","CONSOLIDATED EDISON COMPANY OF NY","12142054","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2545255","N","28697.64","TRMDH","Yes","24737","UTILITY GAS","ConEd"
"GLEBE AVENUE-WESTCHESTER AVENUE","BRONX","GLEBE AVENUE-WESTCHESTER AVENUE","BLD 01","NONE","BLD 1","225","342","B022500","FEDERAL","NY005010670P","CONSOLIDATED EDISON COMPANY OF NY","12204323","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2544074","Y","16071.32","TRMDH","Yes","13534","UTILITY GAS","ConEd"
"SAMUEL (CITY)","MANHATTAN","SAMUEL (CITY)","BLD 02","NONE",,"377","650","M037700","MIXED FINANCE/LLC1","NY005023770P","CONSOLIDATED EDISON COMPANY OF NY","12142408","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","3231322","N","5216.73","TRMDH","Yes","3903","UTILITY GAS","ConEd"
"SACK WERN","BRONX","SACK WERN","BLD 06","AMR",,"280","506","B028000","FEDERAL","NY005012800P","CONSOLIDATED EDISON COMPANY OF NY","12167263","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","3492113","N","650.1","TR I NR","Yes","890.45","UTILITY GAS","ConEd"
"EAST 173RD STREET-VYSE AVENUE","BRONX","EAST 173RD STREET-VYSE AVENUE","BLD 02","NONE","BLD 1-3","338","778","B033800","FEDERAL","NY005015300P","CONSOLIDATED EDISON COMPANY OF NY","12204368","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","3826077","N","11648.76","TRMDH","Yes","9610","UTILITY GAS","ConEd"
"HOWARD AVENUE-PARK PLACE","BROOKLYN","HOWARD AVENUE-PARK PLACE","BLD 07","AMR",,"365","551","K036500","FEDERAL","NY005013510P","National Grid NYC","12203148","2023-01","2022-12-27T00:00:00.000","2023-01-26T00:00:00.000","30","5151658","N","2027.9","T3 TRAN MULT FAM","Yes","3559","UTILITY GAS","NatGrid NYC"
"RED HOOK WEST","BROOKLYN","RED HOOK WEST","BLD 19","AMR","BLD 19-22","79","230","K007900","FEDERAL","NY005000790P","National Grid NYC","12203103","2023-01","2022-12-27T00:00:00.000","2023-01-26T00:00:00.000","30","17291569","N","24509.45","T3 TRAN MULT FAM","Yes","46077","UTILITY GAS","NatGrid NYC"
"REHAB PROGRAM (DOUGLASS REHABS)","MANHATTAN","REHAB PROGRAM (DOUGLASS REHABS)","BLD 03","NONE","BLD 2-3","515","255","M051500","FEDERAL","NY005013170P","CONSOLIDATED EDISON COMPANY OF NY","12141917","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","3299957","N","4170.46","TRMDH","Yes","3030","UTILITY GAS","ConEd"
"VAN DYKE I","BROOKLYN","VAN DYKE I/VAN DYKE II","VAN DYKE I BLD 12","AMR",,"61","216","K006100","FEDERAL","NY005000610P","National Grid NYC","12203302","2023-01","2022-12-27T00:00:00.000","2023-01-26T00:00:00.000","30","00811388-91.7%","N","99184.05","T3 TRAN MULT FAM","Yes","187327.51","UTILITY GAS","NatGrid NYC"
"CLAREMONT REHAB (GROUP 4)","BRONX","CLAREMONT REHAB (GROUP 4)","BLD 01","NONE",,"335","751","B033500","FEDERAL","NY005013080P","CONSOLIDATED EDISON COMPANY OF NY","12141752","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","3198421","Y","2697.03","TRMDH","Yes","1945","UTILITY GAS","ConEd"
"SAMUEL (CITY)","MANHATTAN","SAMUEL (CITY)","BLD 31","NONE",,"377","650","M037700","MIXED FINANCE/LLC1","NY005023770P","CONSOLIDATED EDISON COMPANY OF NY","12142249","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","6901103","N","28.81","TRMDH","Yes","0","UTILITY GAS","ConEd"
"POMONOK","QUEENS","POMONOK","BLD 21","NONE","BLD 1-35","53","588","Q005300","FEDERAL","NY005000530P","CONSOLIDATED EDISON COMPANY OF NY","12198335","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2948437","N","479869.28","TRMDHDF","Yes","425050","UTILITY GAS","ConEd"
"HAMMEL","QUEENS","HAMMEL","BLD 08 - Community Center","NONE",,"75","226","Q207500","FEDERAL","NY005010750P","National Grid LI","12206491","2023-01","2023-01-09T00:00:00.000","2023-02-07T00:00:00.000","29","5235948","N","41.61","177 Del,Com,Heat","Yes","0","UTILITY GAS","NatGrid LI"
"#N/A","NON DEVELOPMENT FACILITY","NDF - PSA 7, 737 MELROSE AVE","BLD 07","NONE",,"#N/A","999","1011700","NON-DEVELOPMENT",,"CONSOLIDATED EDISON COMPANY OF NY","12202671","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","3267969","N","2692.9","TR II NR","Yes","2434","UTILITY GAS","ConEd"
"LENOX ROAD-ROCKAWAY PARKWAY","BROOKLYN","LENOX ROAD-ROCKAWAY PARKWAY","BLD 03","AMR",,"348","763","K034800","FEDERAL","NY005011670P","National Grid NYC","12202888","2023-01","2022-12-27T00:00:00.000","2023-01-25T00:00:00.000","29","7361457","Y","829.79","T3 TRAN MULT FAM","Yes","1436","UTILITY GAS","NatGrid NYC"
"CLAREMONT REHAB (GROUP 4)","BRONX","CLAREMONT REHAB (GROUP 4)","BLD 03","NONE",,"335","751","B033500","FEDERAL","NY005013080P","CONSOLIDATED EDISON COMPANY OF NY","12141824","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","3792484","N","1899.88","TRMDH","Yes","1358","UTILITY GAS","ConEd"
"HARRISON AVENUE REHAB (GROUP B)","BRONX","HARRISON AVENUE REHAB (GROUP B)","BLD 02","NONE",,"547","773","B054700","FEDERAL","NY005013410P","CONSOLIDATED EDISON COMPANY OF NY","12141279","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","3045205","N","28.81","TRMDH","Yes","0","UTILITY GAS","ConEd"
"EAST NEW YORK CITY LINE","BROOKLYN","EAST NEW YORK CITY LINE","BLD 23","AMR","BLD 18-23","263","378","K026300","FEDERAL","NY005010700P","National Grid NYC","12203366","2023-01","2022-12-27T00:00:00.000","2023-01-26T00:00:00.000","30","5108300","N","829.75","T3 TRAN MULT FAM","Yes","1293","UTILITY GAS","NatGrid NYC"
"STAPLETON","STATEN ISLAND","STAPLETON","BLD 04","AMR","BLD 1-6","114","436","S011400","MIXED FINANCE/LLC1","NY005021140P","National Grid NYC","12203525","2023-01","2022-12-29T00:00:00.000","2023-01-30T00:00:00.000","32","17291561","N","35193.66","T3 TRAN MULT FAM","Yes","63295","UTILITY GAS","NatGrid NYC"
"HARRISON AVENUE REHAB (GROUP B)","BRONX","HARRISON AVENUE REHAB (GROUP B)","BLD 01","NONE",,"547","773","B054700","FEDERAL","NY005013410P","CONSOLIDATED EDISON COMPANY OF NY","12157468","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","3027548","N","28.81","TRMDH","Yes","0","UTILITY GAS","ConEd"
"DOUGLASS ADDITION","MANHATTAN","DOUGLASS ADDITION","BLD 18","NONE",,"148","569","M014800","FEDERAL","NY005010820P","CONSOLIDATED EDISON COMPANY OF NY","12158034","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2545075","N","17534.22","TRMDH","Yes","14832","UTILITY GAS","ConEd"
"BUSHWICK II (GROUPS B & D)","BROOKLYN","BUSHWICK II (GROUPS B & D)","BLD 43","AMR",,"303","566","K030300","FEDERAL","NY005012470P","National Grid NYC","12202959","2023-01","2022-10-25T00:00:00.000","2023-01-26T00:00:00.000","93","6125581","N","130.93","T3 TRAN MULT FAM","Yes","0","UTILITY GAS","NatGrid NYC"
"131 SAINT NICHOLAS AVENUE","MANHATTAN","SAINT NICHOLAS AVENUE","BLD 01","NONE",,"154","264","M015400","FEDERAL","NY005010970P","CONSOLIDATED EDISON COMPANY OF NY","12141305","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","3889014","N","22806.53","TRMDH","Yes","19510","UTILITY GAS","ConEd"
"45 ALLEN STREET","MANHATTAN","ALLEN STREET","BLD 01","NONE",,"265","380","M026500","FEDERAL","NY005011000P","CONSOLIDATED EDISON COMPANY OF NY","12142026","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","3299919","Y","412.44","TR I NR","Yes","462","UTILITY GAS","ConEd"
"ALBANY","BROOKLYN","ALBANY/ALBANY II","ALBANY BLD 04","AMR","BLD 1-6","31","524","K003100","FEDERAL","NY005010310P","National Grid NYC","12203125","2023-01","2022-12-27T00:00:00.000","2023-01-26T00:00:00.000","30","08372362-66.8%","N","54549.8","T3 TRAN MULT FAM","Yes","102982.22","UTILITY GAS","NatGrid NYC"
"CYPRESS HILLS","BROOKLYN","CYPRESS HILLS","Bldg #6- 325 Fountain Avenue",,,"70","536","K007000","FEDERAL",,"National Grid NYC","12203341","2023-01","2022-12-23T00:00:00.000","2023-01-26T00:00:00.000","34","7309630","N","3011.7","T1A TRAN RES N-Ht","Exception","2140","UTILITY GAS",
"LOWER EAST SIDE I INFILL","MANHATTAN","LOWER EAST SIDE I INFILL","BLD 05","NONE",,"326","784","M032600","FEDERAL","NY005011000P","CONSOLIDATED EDISON COMPANY OF NY","12142877","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","3045118","N","4450.2","TRMDH","Yes","3236","UTILITY GAS","ConEd"
"BAY VIEW","BROOKLYN","BAY VIEW","BLD 24","AMR","BLD 1-24","92","670","K009200","MIXED FINANCE/LLC1","NY005020920P","National Grid NYC","12202895","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","8911360","N","189868.82","T3 TRAN MULT FAM","Yes","412275","UTILITY GAS","NatGrid NYC"
"BORINQUEN PLAZA I","BROOKLYN","BORINQUEN PLAZA I","BLD 16","AMR",,"243","353","K024300","FEDERAL","NY005012430P","National Grid NYC","12202950","2023-01","2022-12-27T00:00:00.000","2023-01-26T00:00:00.000","30","1315715","N","23.48","T1B TRAN RES HEAT","Exception","0","UTILITY GAS","NatGrid NYC"
"BUSHWICK II CDA (GROUP E)","BROOKLYN","BUSHWICK II CDA (GROUP E)","BLD 04","AMR",,"324","758","K032400","FEDERAL","NY005012470P","National Grid NYC","12202857","2023-01","2022-12-27T00:00:00.000","2023-01-25T00:00:00.000","29","5304569","Y","3599.8","T3 TRAN MULT FAM","Exception","6520","UTILITY GAS","NatGrid NYC"
"CLAREMONT REHAB (GROUP 2)","BRONX","CLAREMONT REHAB (GROUP 2)","BLD 06","NONE",,"307","330","B030700","FEDERAL","NY005013080P","CONSOLIDATED EDISON COMPANY OF NY","12141431","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","3590094","Y","3386.87","TRMDH","Yes","2453","UTILITY GAS","ConEd"
"BUSHWICK II (GROUPS A & C)","BROOKLYN","BUSHWICK II (GROUPS A & C)","BLD 21","AMR",,"302","565","K030200","FEDERAL","NY005012470P","National Grid NYC","12202989","2023-01","2022-12-27T00:00:00.000","2023-01-26T00:00:00.000","30","1281642","N","610.79","T3 TRAN MULT FAM","Yes","899","UTILITY GAS","NatGrid NYC"
"UNIVERSITY AVENUE REHAB","BRONX","UNIVERSITY AVENUE REHAB","BLD 02","NONE",,"341","762","B034100","FEDERAL","NY005013410P","CONSOLIDATED EDISON COMPANY OF NY","12199318","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","3591800","N","8694.77","TRMDH","Yes","6989","UTILITY GAS","ConEd"
"MOORE","BRONX","MOORE","BLD 01","NONE","BLD 1-2","129","251","B012900","FEDERAL","NY005010930P","CONSOLIDATED EDISON COMPANY OF NY","12141746","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","3876029","N","5538.62","TRMDHDF","Exception","185","UTILITY GAS","ConEd"
"BUSHWICK II CDA (GROUP E)","BROOKLYN","BUSHWICK II CDA (GROUP E)","BLD 05","AMR",,"324","758","K032400","FEDERAL","NY005012470P","National Grid NYC","12203045","2023-01","2022-12-27T00:00:00.000","2023-01-26T00:00:00.000","30","6943631","N","1903.98","T3 TRAN MULT FAM","Exception","3324","UTILITY GAS","NatGrid NYC"
"EAST NEW YORK CITY LINE","BROOKLYN","EAST NEW YORK CITY LINE","BLD 06","AMR","BLD 1-6","263","378","K026300","FEDERAL","NY005010700P","National Grid NYC","12203377","2023-01","2022-12-23T00:00:00.000","2023-01-26T00:00:00.000","34","4953278","N","98.98","T3 TRAN MULT FAM","Exception","89","UTILITY GAS","NatGrid NYC"
"TILDEN","BROOKLYN","TILDEN","BLD 05","AMR","BLD 1-8","96","233","K009600","FEDERAL","NY005000720P","National Grid NYC","12203295","2023-01","2022-12-27T00:00:00.000","2023-01-26T00:00:00.000","30","811380","N","67436.85","T3 TRAN MULT FAM","Yes","127263","UTILITY GAS","NatGrid NYC"
"TWO BRIDGES URA (SITE 7)","MANHATTAN","TWO BRIDGES URA (SITE 7)","BLD 01","NONE",,"266","389","M026600","FEDERAL","NY005010760P","CONSOLIDATED EDISON COMPANY OF NY","12142414","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","3928474","N","43570.15","TRMDHDF","Yes","37933","UTILITY GAS","ConEd"
"EAST 165TH STREET-BRYANT AVENUE","BRONX","EAST 165TH STREET-BRYANT AVENUE","BLD 01","NONE",,"304","552","B030400","FEDERAL","NY005015300P","CONSOLIDATED EDISON COMPANY OF NY","12204351","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","3562546","Y","4090.33","TRMDH","Yes","2971","UTILITY GAS","ConEd"
"HOWARD AVENUE-PARK PLACE","BROOKLYN","HOWARD AVENUE-PARK PLACE","BLD 06","AMR",,"365","551","K036500","FEDERAL","NY005013510P","National Grid NYC","12202874","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","5236555","Y","1992.48","T3 TRAN MULT FAM","Yes","3749","UTILITY GAS","NatGrid NYC"
"BAY VIEW","BROOKLYN","BAY VIEW","BLD 25 - Community Center","AMR",,"92","670","K209200","MIXED FINANCE/LLC1","NY005020920P","National Grid NYC","12203392","2023-01","2022-12-27T00:00:00.000","2023-01-26T00:00:00.000","30","5026022","N","5526.23","T2-2 TRAN GENERAL","Exception","7797","UTILITY GAS","NatGrid NYC"
"CLAREMONT REHAB (GROUP 2)","BRONX","CLAREMONT REHAB (GROUP 2)","BLD 03","NONE","BLD 3-4","307","330","B030700","FEDERAL","NY005013080P","CONSOLIDATED EDISON COMPANY OF NY","12141766","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","3717833","Y","5719.39","TRMDH","Yes","4349","UTILITY GAS","ConEd"
"MARCY","BROOKLYN","MARCY","BLD 09","AMR","BLD 1-8,10-27","21","514","K002100","FEDERAL","NY005000210P","National Grid NYC","12203070","2023-01","2022-12-27T00:00:00.000","2023-01-26T00:00:00.000","30","930","N","175496.82","T3 TRAN MULT FAM","Yes","331566.79","UTILITY GAS","NatGrid NYC"
"MANHATTANVILLE","MANHATTAN","MANHATTANVILLE","BLD 04","NONE","BLD 1-6","81","429","M008100","MIXED FINANCE/LLC1","NY005020810P","CONSOLIDATED EDISON COMPANY OF NY","12145917","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2545240","N","272739.43","TRMDHDF","Yes","241269","UTILITY GAS","ConEd"
"REHAB PROGRAM (DOUGLASS REHABS)","MANHATTAN","REHAB PROGRAM (DOUGLASS REHABS)","BLD 03","NONE","BLD 2-3","515","255","M051500","FEDERAL","NY005013170P","CONSOLIDATED EDISON COMPANY OF NY","12141249","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","3337866","N","1138.73","TR I NR","Yes","1539","UTILITY GAS","ConEd"
"ADAMS","BRONX","ADAMS","BLD 04","NONE","BLD 1-7","118","248","B011800","FEDERAL","NY005001180P","CONSOLIDATED EDISON COMPANY OF NY","12202669","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","3299599","N","184978.49","TRMDHDF","Yes","163401","UTILITY GAS","ConEd"
"BEACH 41ST STREET-BEACH CHANNEL DRIVE","QUEENS","BEACH 41ST STREET-BEACH CHANNEL DRIVE","BLD 01","NONE","BLD 1-4","165","282","Q016500","FEDERAL","NY005001650P","National Grid LI","12206151","2023-01","2022-12-30T00:00:00.000","2023-01-31T00:00:00.000","32","759533","N","55411.64","158 Del,Com,Multidwel,Heat","Yes","106291","UTILITY GAS","NatGrid LI"
"QUEENSBRIDGE SOUTH","QUEENS","QUEENSBRIDGE SOUTH","BLD 05","NONE","BLD 5-8","5","843","Q000500","FEDERAL","NY005000050P","CONSOLIDATED EDISON COMPANY OF NY","12198333","2023-01","2022-12-23T00:00:00.000","2023-01-25T00:00:00.000","33","2935223","N","69396.4","TRMDHDF","Yes","60848","UTILITY GAS","ConEd"
"LONG ISLAND BAPTIST HOUSES","BROOKLYN","UNITY PLAZA (ALL)/LI BAPTIST HOUSES (BLD 2-4)","UNITY PLAZA BLD 03","AMR",,"276","502","K027600","FEDERAL","NY005012610P","National Grid NYC","12203312","2023-01","2022-12-23T00:00:00.000","2023-01-26T00:00:00.000","34","07214873-23.6%","N","13168.27","T3 TRAN MULT FAM","Yes","26874.74","UTILITY GAS","NatGrid NYC"
