"court_index_number","docket_number","eviction_address","eviction_apt_num","executed_date","marshal_first_name","marshal_last_name","residential_commercial_ind","borough","eviction_zip","ejectment","eviction_possession","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"64675/17","067570","59 WEST 73RD STREET","5","2018-08-16T00:00:00.000","Justin","Grossman","Residential","MANHATTAN","10023","Not an Ejectment","Possession","40.777786","-73.977534","7","6","157","1028689","1011260104","Lincoln Square"
"K50486/19","095387","542 GATES AVENUE","1-D","2019-06-17T00:00:00.000","Ileana","Rivera","Residential","BROOKLYN","11221","Not an Ejectment","Possession","40.686995","-73.943772","3","36","265","3051215","3018150015","Bedford"
"307214/21","28320","116-05 FRANCIS LEWIS BOULEVARD",,"2022-11-16T00:00:00.000","Edward","Guida","Residential","QUEENS","11411","Not an Ejectment","Possession","40.697341","-73.746725","13","27","53401","4238694","4110790020","Cambria Heights"
"300860/20","28174","38-06 20TH ROAD","GRND FLOOR","2022-07-14T00:00:00.000","Edward","Guida","Residential","QUEENS","11105","Not an Ejectment","Possession","40.775747","-73.903674","1","22","12301","4016075","4008090008","Steinway"
"20065/19","356756","1647 MACOMBS ROAD","6D","2020-02-19T00:00:00.000","Thomas","Bia","Residential","BRONX","10453","Not an Ejectment","Possession","40.847540","-73.916242","5","14","21502","2008858","2028760194","University Heights-Morris Heights"
"50783/18","076684","58 INNIS ST.",,"2018-12-11T00:00:00.000","Kenneth","Giachetta","Residential","STATEN ISLAND","10302","Not an Ejectment","Possession","40.633876","-74.143175","1","49","213","5026218","5011270162","Port Richmond"
"64251\17","068834","2171 CROPSEY AVENUE","3","2017-10-18T00:00:00.000","Steven","Powell","Residential","BROOKLYN","11214","Not an Ejectment","Possession","40.597597","-73.999078","11","47","292","3168963","3064470006","Bath Beach"
"54821/16","000803","218-26,28A,28B MERRI CK BLVD  IN THE BLDG KNOWN AS 28B MERRICK BLVD AKA",,"2018-07-30T00:00:00.000","Salavatore","Giglio","Commercial","QUEENS","11413","Not an Ejectment","Possession",,,,,,,,
"84445/16","465235","635 RIVERSIDE DRIVE","11F","2017-02-23T00:00:00.000","Danny","Weinheim","Residential","MANHATTAN","10031","Not an Ejectment","Possession","40.824563","-73.954163","9","7","225","1062325","1020880051","Hamilton Heights"
"318852/22","113080","535 SHEFFIELD AVENUE","2","2023-02-01T00:00:00.000","Justin","Grossman","Residential","BROOKLYN","11207","Not an Ejectment","Possession","40.663750","-73.894785","5","42","1126","3085042","3038220008","East New York (Pennsylvania Ave)"
"252214/162","202532","181 EAST 119TH ST","6-E","2017-08-15T00:00:00.000","Richard","Capuano","Residential","MANHATTAN","10035","Not an Ejectment","Possession","40.800153","-73.939201","11","8","196","1054369","1017680033","East Harlem North"
"17740/18","481023","2334 WASHINGTON AVEN UE","31","2018-06-26T00:00:00.000","Danny","Weinheim","Residential","BRONX","10458","Not an Ejectment","Possession","40.856138","-73.892344","6","15","385","2011631","2030530074","Claremont-Bathgate"
"308480/20","106433","995 EAST 173RD STREET","B","2022-09-09T00:00:00.000","Henry","Daley","Residential","BRONX","10460","Not an Ejectment","Possession","40.834588","-73.885441","3","17","161","2010886","2030020047","Crotona Park East"
"73665/18","006777","14 EAST 58TH STREET",,"2018-12-21T00:00:00.000","Frank","Siracusa","Commercial","MANHATTAN","10022","Not an Ejectment","Possession","40.763337","-73.972749","5","4","11202","1036078","1012930064","Midtown-Midtown South"
"900674/18","347403","4336B WHITE PLAINS ROAD",,"2018-09-26T00:00:00.000","Thomas","Bia","Commercial","BRONX","10466","Not an Ejectment","Possession","40.896615","-73.855586","12","11","434",,,"Woodlawn-Wakefield"
"64309/19","24933","161-21 CROCHERON BOULEVARD",,"2020-03-12T00:00:00.000","Edward","Guida","Commercial","QUEENS","11354","Not an Ejectment","Possession",,,,,,,,
"301605/22A","112521","6017 69TH STREET","-","2023-04-03T00:00:00.000","Justin","Grossman","Residential","QUEENS","11378","Not an Ejectment","Possession","40.721034","-73.892411","5","30","66701","4063898","4028360036","Middle Village"
"305943/21","210976","447 WEST 45TH STREET","1B","2023-07-12T00:00:00.000","Richard","Capuano","Residential","MANHATTAN","10036","Not an Ejectment","Possession","40.761191","-73.993185","4","3","121","1070034","1010557501","Clinton"
"64501/17","073963","20 MORNINGSIDE AVE","1F","2017-08-29T00:00:00.000","Henry","Daley","Residential","MANHATTAN","10026","Not an Ejectment","Possession","40.805697","-73.958102","10","9","20102","1081519","1019430001","Central Harlem South"
"69268/18","086614","1499 EAST 46TH ST","1D","2019-05-06T00:00:00.000","Justin","Grossman","Residential","BROOKLYN","11234","Not an Ejectment","Possession","40.624201","-73.931335","18","45","730","3344586","3078260020","Flatlands"
"75244/16","7336","115-50 VAN WYCK EXPRESSWAY",,"2017-03-10T00:00:00.000","Bernard","Blake","Residential","QUEENS","11420","Not an Ejectment","Possession","40.680162","-73.804938","10","28","176","4252560","4116780036","South Ozone Park"
"51630/17","473164","130-136 WEST 142ND S TREET","2-E","2017-12-06T00:00:00.000","Danny","Weinheim","Residential","MANHATTAN","10030","Not an Ejectment","Possession","40.818992","-73.938783","10","9","230","1060095","1020100042","Central Harlem North-Polo Grounds"
"K097621/17","391194","760 ELDERT LANE","9E","2018-05-30T00:00:00.000","Richard","McCoy","Residential","BROOKLYN","11208","Not an Ejectment","Possession","40.671675","-73.863381","5","42","1208","3343250","3042719001","East New York"
"312310/22","107383","79-81 WEST 182 STREET","3E","2023-01-04T00:00:00.000","Henry","Daley","Residential","BRONX","10453","Not an Ejectment","Possession","40.857985","-73.907278","5","14","251","2014505","2032080001","University Heights-Morris Heights"
"K87754/19","102356","115 STANWIX STREET","621","2020-02-26T00:00:00.000","Ileana","Rivera","Residential","BROOKLYN","11206","Not an Ejectment","Possession","40.702229","-73.935313","4","34","391","3426343","3031390021","Bushwick South"
"100991/16","5079","450 KENT AVENUE APT. # 12-D","12-D","2017-04-20T00:00:00.000","Robert","Renzulli","Residential","BROOKLYN","11249","Not an Ejectment","Possession",,,,,,,,
"323412/22","362510","75 WEST 190TH STREET","5A","2023-03-03T00:00:00.000","Thomas","Bia","Residential","BRONX","10468","Not an Ejectment","Possession","40.865049","-73.902822","7","14","265","2014648","2032140001","Kingsbridge Heights"
"50886/17","5143","601 GEORGIA AVENUE APT 2ND FLOOR",,"2017-06-01T00:00:00.000","Robert","Renzulli","Residential","BROOKLYN","11207","Not an Ejectment","Possession",,,,,,,,
"14446/18A","482360","1069 WALTON AVENUE","1F","2018-07-13T00:00:00.000","Danny","Weinheim","Residential","BRONX","10452","Not an Ejectment","Possession","40.831813","-73.921390","4","16","195","2002952","2024780058","West Concourse"
"B49916/16B","100468","1769 VYSE AVENUE","2","2018-07-17T00:00:00.000","Darlene","Barone","Residential","BRONX","10460","Not an Ejectment","Possession","40.837226","-73.885707","3","17","161","2010689","2029910093","Crotona Park East"
"77124/16","057878","3111 GLENWOOD ROAD","F7","2017-04-24T00:00:00.000","Justin","Grossman","Residential","BROOKLYN","11210","Not an Ejectment","Possession","40.634082","-73.946602","17","45","786","3113984","3050060006","Flatbush"
"64421/17","13295","43-40 165TH STREET",,"2018-01-03T00:00:00.000","Edward","Guida","Residential","QUEENS","11358","Not an Ejectment","Possession","40.758116","-73.801468","7","20","1193","4122533","4054220062","East Flushing"
"B57570/16B","075268","2105 CRUGER AVENUE","2D","2017-06-26T00:00:00.000","Ileana","Rivera","Residential","BRONX","10462","Not an Ejectment","Possession","40.853364","-73.866738","11","13","22404","2048792","2042870050","Pelham Parkway"
"40456/17","474791","2845 E. 196TH STREET","*","2018-06-04T00:00:00.000","Danny","Weinheim","Residential","BRONX","10469","Not an Ejectment","Possession","40.853951","-73.832956","10","13","300","2047635","2042430057","Pelham Bay-Country Club-City Island"
"65370/17*","167725","390 NOSTRAND AVENUE","6V","2017-09-26T00:00:00.000","Alfred","Locascio","Residential","BROOKLYN","11216","Not an Ejectment","Possession","40.686092","-73.950725","3","36","243","3051074","3018120042","Bedford"
"75598/18","091585","65-44 SAUNDERS ST LOT G-SPACE #12 OF THE TENNESSEE BUILDING",,"2019-02-21T00:00:00.000","Henry","Daley","Commercial","QUEENS","11374","Not an Ejectment","Possession",,,,,,,,
"57583/17","077920","2326 GRAND AVE","E1","2018-05-10T00:00:00.000","Henry","Daley","Residential","BRONX","10468","Not an Ejectment","Possession","40.860620","-73.904719","7","14","253","2014247","2031980021","Kingsbridge Heights"
"55828/17","066797","338 EAST 22ND STREET","1-B","2017-09-19T00:00:00.000","Justin","Grossman","Residential","MANHATTAN","10010","Not an Ejectment","Possession","40.736791","-73.980388","6","2","64","1020560","1009270034","Gramercy"
"64515/16","053659","201 WEST 121ST ST","6-B","2017-04-11T00:00:00.000","Justin","Grossman","Residential","MANHATTAN","10027","Not an Ejectment","Possession","40.806625","-73.950679","10","9","220","1058513","1019270029","Central Harlem South"
"88858/17","072718","4 PAERDEGAT 12TH ST","2","2018-04-25T00:00:00.000","Justin","Grossman","Residential","BROOKLYN","11236","Not an Ejectment","Possession","40.628054","-73.903927","18","46","998","3227106","3080710002","Canarsie"
"36929/18","486668","4632 CARPENTER AVENU E","4C","2019-04-12T00:00:00.000","Danny","Weinheim","Residential","BRONX","10470","Not an Ejectment","Possession","40.903724","-73.853618","12","11","414","2070973","2050790026","Woodlawn-Wakefield"
"72126/18","015647","33-04 JUNCTION BOULE VARD  THIRD FLOOR","3-S","2019-03-20T00:00:00.000","George","Essock, Jr.","Residential","QUEENS","11372","Not an Ejectment","Possession","40.756491","-73.873497","3","25","273","4431419","4014420001","Jackson Heights"
