"objectid","wotype","wostatus","wopriority","boroughcode","communityboard","buildingnumber","streetname","locationdetails","actualfinishdate","wocontract","parkname","parkzone","cancelreason","wocategory","sanitationassigneddate","sanitationremovaldate","sanitationupdateddate","wowoodremains","woequipment","zipcode","citycouncil","statesenate","stateassembly","congressional","sanitationzone","physicalid","crossstreet1","crossstreet2","plantingspaceglobalid","treepointglobalid","inspectionglobalid","globalid","sidewalkdamage","wowireconflict","crewglobalid","geometry","closeddate","canceldate","createddate","updateddate","woentity","projstartdate","woproject","recommendedspecies","latitude","longitude","census_tract","bin","bbl","nta","location"
"15803953","Block Pruning","Open",,"Brooklyn","318.0","8423","Ave J","1s",,"BP-B22",,,,"Block Pruning",,,,"No Wood Debris",,"11236.0","46.0","19.0","59.0","8.0","3182D","68412","AV J","E 85 ST",,,"03A8080E-D985-4F94-8E67-FBA869CC115B","557C695E-B2FF-4CB9-B973-070709FD3DB9",,"No Util Conflict Present",,"POINT (-73.9081303500463207 40.6364190070909004)",,,"2021-11-11 20:17:24.0000000",,"Expense",,"Block Pruning",,,,,,,,"POINT (-73.90813035004632 40.6364190070909)"
"11886634","Pruning","Open","8","Bronx","204.0",,,,,,"Inwood Park",,,"Risk Mitigation",,,,"No Wood Debris",,"10452.0","14.0","29.0","77.0","15.0","2043A",,"INWOOD AV","W MOUNT EDEN AV",,,"4ADD2655-6BC9-4034-90BF-E29F6B9C02E4","A1558A01-98EA-42A5-B481-06FA67C85419",,"No Util Conflict Present",,"POINT (-73.9155587097731512 40.8449166203118992)",,,"2020-06-29 16:56:37.0000000",,"In-House",,,,,,,,,,"POINT (-73.91555870977315 40.8449166203119)"
"11029164","Block Pruning","Open",,"Bronx","203.0","*","*","NW SECTION",,"BP-X23","El Coqui Community Garden",,,"Block Pruning",,,,"No Wood Debris",,,,,,,"2031B",,,,,,"6753E4D2-2383-475B-9FB7-BFCC9C82BD1E","17D07C75-FF5D-4373-876F-06D6064E0587",,"No Util Conflict Present",,"POINT (-73.9128487315855551 40.8252403224987290)",,,"2020-01-24 15:00:00.0000000",,"Expense",,,,,,,,,,"POINT (-73.91284873158556 40.82524032249873)"
"10677770","Block Pruning","Open",,"Manhattan","103.0",,,"NW CORNER",,"BP-M20","Lower East Side Ecology Center",,,"Block Pruning",,,,"No Wood Debris",,,,,,,"1034A",,,,,,"27BF5FA8-E460-4663-849C-ABE8C8DBE5E2","D61ED568-9AFE-4864-937C-08044EAD6404",,"No Util Conflict Present",,"POINT (-73.9796370344993193 40.7247941185951561)",,,"2019-09-24 11:21:31.0000000","2019-09-24 15:21:32.0000000","Expense",,,,,,,,,,"POINT (-73.97963703449932 40.724794118595156)"
"11160796","Block Pruning","Open",,"Queens","412.0","*","*","SW CORNER OF FORESTED AREA",,"BP-Q20","Hilton Holiday Gardens",,,"Block Pruning",,,,"No Wood Debris",,,,,,,"4126C",,,,,,"1260F728-277D-4E70-946B-8EB50CB17980","B6C01D10-31AB-4F1F-B3C0-0891233E8F3B",,"No Util Conflict Present",,"POINT (-73.7954179327893911 40.6686395640387275)",,,"2020-02-19 15:01:00.0000000",,"Expense",,,,,,,,,,"POINT (-73.79541793278939 40.66863956403873)"
"11332614","Block Pruning","Open",,"Brooklyn","304.0","116","Starr St",,,"BP-B21","Maria Hernandez Park",,,"Block Pruning",,,,"No Wood Debris",,,,,,,"3041B",,,,,,"65FEF181-E044-4D6F-A306-4FCB9E7AC712","2B96DE7B-E663-4A32-B02E-0869F7F1DF58",,"No Util Conflict Present",,"POINT (-73.9249704708161062 40.7029445763705837)",,,"2020-03-16 18:13:00.0000000",,"Expense",,,,,,,,,,"POINT (-73.9249704708161 40.702944576370584)"
"20771479","Pruning","Open","8","Brooklyn","308.0","20","Plaza Street East",,,,"Grand Army Plaza",,,"Risk Mitigation",,,,"No Wood Debris",,,,,,,"3081B",,,,,,"C525988B-B8B9-4298-B4E2-01928D843914","0ACC7144-13CA-4C3E-AA88-08618A3CFD77",,"No Util Conflict Present",,"POINT (-73.9704032833904961 40.6755718377608204)",,,"2023-06-12 15:36:00.0000000","2023-06-12 15:36:05.0000000","Permitted",,,,,,,,,,"POINT (-73.9704032833905 40.67557183776082)"
"10922557","Block Pruning","Open",,"Brooklyn","316.0","*","*","NORTH, EAST PLOT",,"BP-B20","Farmers Garden",,,"Block Pruning",,,,"No Wood Debris",,,,,,,"3161A",,,,,,"954243E1-E4FB-4B05-BAA9-5920DF85D964","4FFC42F3-C298-4BF4-8021-0903ED274671",,"No Util Conflict Present",,"POINT (-73.9180617350102693 40.6747432334930110)",,,"2020-01-06 18:20:00.0000000",,"Expense",,,"Ailanthus altissima - tree of heaven",,,,,,,"POINT (-73.91806173501027 40.67474323349301)"
"3037494","Pruning","Cancel","10","Brooklyn","307.0",,,,,,"Sunset Park",,"BP-17","Risk Mitigation",,,,"No Wood Debris",,,,,,,"3072E",,,,,,"C950F821-2DA5-4F82-95FF-844C944C1697","D574D81C-537A-4411-ACD2-0A205B06473F",,"No Util Conflict Present",,"POINT (-74.0042159292083710 40.6474781216992369)",,"2016-11-18 11:17:09.0000000","2016-03-16 12:22:59.0000000","2016-11-18 11:17:09.0000000","In-House",,,,,,,,,,"POINT (-74.00421592920837 40.64747812169924)"
"12103845","Tree Removal","Open","6","Queens","407.0","00-00","COLLEGE POINT BLVD",,,,,,,"Risk Mitigation",,,,"No Wood Debris",,,,,,,"4075E",,,,,,"FC56614A-379D-4057-AADB-98D89209FA94","42E94330-5387-4DA6-8E07-0B422D1C7670",,"No Util Conflict Present",,"POINT (-73.8436362252522116 40.7713821262892679)",,,"2020-07-29 13:41:00.0000000","2020-07-29 13:41:41.0000000","In-House",,"Survey Central",,,,,,,,"POINT (-73.84363622525221 40.77138212628927)"
"11028030","Block Pruning","Open",,"Bronx","203.0","*","*","CENTRAL",,"BP-X23","El Coqui Community Garden",,,"Block Pruning",,,,"No Wood Debris",,,,,,,"2031B",,,,,,"9A4D1ADB-F067-4052-9EB6-E6F540DD1906","13D9175B-F4AA-4205-A81A-0D585C86F5F9",,"No Util Conflict Present",,"POINT (-73.9127055026242630 40.8251560228260573)",,,"2020-01-24 14:32:00.0000000",,"Expense",,,,,,,,,,"POINT (-73.91270550262426 40.82515602282606)"
"10393697","Block Pruning","Open",,"Manhattan","110.0","*","*","CENTER",,"BP-M19","Joseph Daniel Wilson Garden",,,"Block Pruning",,,,"No Wood Debris",,,,,,,"1101A",,,,,,"12843B1E-D888-4508-9FAF-43DB3FACBCA4","C6C59105-E1FF-4C8B-AA3E-0CF8634B17E8",,"No Util Conflict Present",,"POINT (-73.9506276842879799 40.8076231520938535)",,,"2019-10-24 15:04:00.0000000",,"Expense",,,,,,,,,,"POINT (-73.95062768428798 40.80762315209385)"
"10516885","Tree Plant-Street Tree","Open",,"Staten Island","503.0","11","Wiltshire Lane",,,,,,,"Tree Planting",,,,"No Wood Debris",,,,,,,"5036C",,,,,,"8F8EB3D3-BC38-4053-ACBD-E7489D52612E","C7716939-C864-4DE7-9D51-0CEEF4AB3F50",,"No Util Conflict Present",,"POINT (-74.2218058874295963 40.5447528374635766)",,,"2019-11-11 15:19:00.0000000",,"Permitted",,,,,,,,,,"POINT (-74.2218058874296 40.54475283746358)"
"14965130","Block Pruning","Open",,"Bronx","212.0","3260","CRUGER AVENUE","2f",,"BP-X21",,,,"Block Pruning",,,,"No Wood Debris",,"10467.0","15.0","36.0","80.0","16.0","2121D","41863","CRUGER AV","ROSEWOOD ST",,,"C092F295-5A55-44D3-95A7-BEAFA2A68D47","37F2F4CB-D72C-4D6F-90ED-0CE673D49E9A",,"No Util Conflict Present",,"POINT (-73.8661446215583624 40.8731354547098533)",,,"2021-08-27 20:41:29.0000000",,"Expense",,"Block Pruning",,,,,,,,"POINT (-73.86614462155836 40.87313545470985)"
"16961806","Block Pruning","Open",,"Queens","403.0","105-03","NORTHERN BOULEVARD","1S",,"BP-Q22",,,,"Block Pruning",,,,"No Wood Debris",,"11369.0","21.0","13.0","35.0","14.0","4031C",,"105 ST","NORTHERN BLVD",,,"6406B543-5105-4E4C-A34A-0F523650B1CE","E8CF7798-9AF5-4565-A133-0CE38C2EBB3B",,"No Util Conflict Present",,"POINT (-73.8636935986296663 40.7579716635472309)",,,"2022-03-07 13:20:59.0000000",,"Expense",,"Block Pruning",,,,,,,,"POINT (-73.86369359862967 40.75797166354723)"
"11157757","Block Pruning","Open",,"Queens","412.0","*","*","NE CORNER",,"BP-Q20","Hilton Holiday Gardens",,,"Block Pruning",,,,"No Wood Debris",,,,,,,"4126C",,,,,,"99B3704D-F21A-4613-8AA6-590E0D63A8CA","A7241275-DF51-4737-AAF9-0DD8577757AB",,"No Util Conflict Present",,"POINT (-73.7950414007910780 40.6687729708315473)",,,"2020-02-18 18:43:00.0000000",,"Expense",,,,,,,,,,"POINT (-73.79504140079108 40.66877297083155)"
"15982408","Block Pruning","Open",,"Bronx","211.0","2201","LACONIA AVENUE","1F",,"BP-X22",,,,"Block Pruning",,,,"No Wood Debris",,"10469.0","13.0","34.0","80.0","14.0","2112D",,"ESPLANADE","LACONIA AV",,,"2F68A20E-1E50-4BA3-A889-CD46A9F60B0B","32DF5A5C-8A8B-4707-ABBB-0D9D45E9735F",,"Electric Utility Open",,"POINT (-73.8561180392292158 40.8586282456495695)",,,"2021-12-14 16:54:25.0000000",,"Expense",,"Block Pruning",,,,,,,,"POINT (-73.85611803922922 40.85862824564957)"
"10505232","Block Pruning","Open",,"Bronx","207.0","/","Mosholu Parkway",,,"BP-X23","Mosholu Parkway","X033-ZN03",,"Block Pruning",,,,"No Wood Debris",,,,,,,"2073A",,,,,,"47A0C9B4-B487-47D0-889F-8AF8A7CEB328","32046951-18DA-4905-81E1-0D8C69EA36F2",,"No Util Conflict Present",,"POINT (-73.8817079850167318 40.8753352807619308)",,,"2019-11-06 13:02:00.0000000",,"Expense",,"Block Pruning",,,,,,,,"POINT (-73.88170798501673 40.87533528076193)"
"16146768","Block Pruning","Open",,"Staten Island","501.0","34","FAIRWAY AVENUE","1f  Inspected by ZW",,"BP-S22",,,,"Block Pruning",,,,"No Wood Debris",,"10304.0","49.0","23.0","61.0","11.0","5011C","57139","FAIRWAY AV","KIMBERLY LA",,,"3A0E9017-C08C-4E85-85B8-011081B59421","F4834642-02C5-4701-BDE0-0EC412EC4730",,"No Util Conflict Present",,"POINT (-74.0776381973664826 40.6180975204644596)",,,"2022-01-07 01:09:24.0000000","2022-04-03 20:28:36.0000000","Expense",,"Block Pruning",,,,,,,,"POINT (-74.07763819736648 40.61809752046446)"
"18806038","Pruning","Open","8","Brooklyn","318.0","1529","KIMBALL ST","1f",,,,,,"Risk Mitigation",,,,"No Wood Debris",,"11234.0","45.0","19.0","41.0","9.0","3186C","89369","ALLEY","KIMBALL ST",,,"010378DF-DAE0-4D64-9633-63B4941ED730","3FE4197C-2779-405C-8606-10F6231B6454",,"No Util Conflict Present",,"POINT (-73.9369967629745020 40.6193354843516019)",,,"2022-08-19 15:48:11.0000000",,"In-House",,,,,,,,,,"POINT (-73.9369967629745 40.6193354843516)"
"17335452","Block Pruning","Open",,"Brooklyn","302.0",,,,,"BP-B22","Washington Hall Park",,,"Block Pruning",,,,"No Wood Debris",,"11205.0","35.0","25.0","50.0","8.0","3024E",,"HALL ST","PARK AVE",,,"4DD903B9-6588-460B-96BF-6D5771B3A4E8","11F8308E-474D-47E9-9C49-11BC21BB10F3",,"No Util Conflict Present",,"POINT (-73.9667555394309773 40.6952423054339576)",,,"2022-04-04 11:19:02.0000000",,"Expense",,"Block Pruning",,,,,,,,"POINT (-73.96675553943098 40.69524230543396)"
"12103523","Tree Removal","Open","6","Queens","407.0","00-00","28 AVENUE",,,,,,,"Risk Mitigation",,,,"No Wood Debris",,,,,,,"4075E",,,,,,"59F05C8B-A169-4877-B695-C59951BD2A1B","757CDF75-4B06-4039-BEEE-1211189874EB",,"No Util Conflict Present",,"POINT (-73.8432552530134103 40.7730673475319705)",,,"2020-07-29 14:16:00.0000000","2020-07-29 14:16:48.0000000","In-House",,"Survey Central",,,,,,,,"POINT (-73.84325525301341 40.77306734753197)"
"9112410","Pruning","Open","8","Queens","482.0",,,,,,"Forest Park",,,"Risk Mitigation",,,,"No Wood Debris",,,,,,,,,,,,,"9A328526-F767-4B8A-8C61-37D58F09F656","1BB8671C-E04D-43BD-8C34-130E039A8C16",,"No Util Conflict Present",,"POINT (-73.8688230894606050 40.6980315558103172)",,,"2018-11-02 12:06:30.0000000","2018-11-02 16:06:32.0000000","In-House",,,,,,,,,,"POINT (-73.8688230894606 40.69803155581032)"
"18971250","Pruning","Open","8","Brooklyn","316.0","62","SOMERS ST","1f",,,,,,"Risk Mitigation",,,,"No Wood Debris",,"11233.0","37.0","25.0","55.0","8.0","3162A","99161","FULTON ST","TRUXTON ST",,,"60BA43BC-5F57-4EAD-B134-862A97BB4849","911F69C8-51A7-46B3-885A-12E5C6D006D0",,"No Util Conflict Present",,"POINT (-73.9097363022616918 40.6788593931990334)",,,"2022-09-02 16:11:12.0000000",,"In-House",,,,,,,,,,"POINT (-73.90973630226169 40.67885939319903)"
"10815719","Block Pruning","Open",,"Brooklyn","305.0","*","*","SOUTH",,"BP-B20","Success Garden",,,"Block Pruning",,,,"No Wood Debris",,,,,,,"3054C",,,,,,"A9C9E961-F733-4B63-9860-B0535730A32D","48AF6145-EB15-480E-B92B-137D86A0F049",,"No Util Conflict Present",,"POINT (-73.8971778044391954 40.6644172998770088)",,,"2019-12-16 16:31:00.0000000",,"Expense",,,"Prunus - Cherry",,,,,,,"POINT (-73.8971778044392 40.66441729987701)"
"11069370","Block Pruning","Open",,"Bronx","204.0","*","*","SOUTH CENTER",,"BP-X23","Taqwa Community Farm",,,"Block Pruning",,,,"No Wood Debris",,,,,,,"2041A",,,,,,"4BF82BEF-4BDA-48AE-9465-89533442CF56","902521F4-A496-42C8-8DC0-14524FC0A6C4",,"No Util Conflict Present",,"POINT (-73.9290745501406548 40.8325229466631114)",,,"2020-01-31 15:49:00.0000000",,"Expense",,,,,,,,,,"POINT (-73.92907455014065 40.83252294666311)"
"10704253","Block Pruning","Open",,"Bronx","206.0","/","Quarry Ballfields",,,"BP-X23","Quarry Ballfields",,,"Block Pruning",,,,"No Wood Debris",,,,,,,"2061B",,,,,,"A0AFDD9E-F49A-40A0-BB07-9F1DB0D89A9C","39B969E9-E6C9-48C9-8DBD-14F9BD023D93",,"No Util Conflict Present",,"POINT (-73.8918839936274168 40.8510586366227031)",,,"2019-11-19 18:03:00.0000000","2019-11-19 18:06:00.0000000","Expense",,"Block Pruning",,,,,,,,"POINT (-73.89188399362742 40.8510586366227)"
"10888539","Block Pruning","Open",,"Brooklyn","316.0","*","*","SE CORNER",,"BP-B20","Jes Good Rewards Childeren's Garden",,,"Block Pruning",,,,"No Wood Debris",,,,,,,"3162B",,,,,,"76A38769-7D4D-469A-8DAE-B458349ADEC1","E5A67E40-2600-4991-896A-14D92A52D563",,"No Util Conflict Present",,"POINT (-73.9134927547462155 40.6667873114696121)",,,"2019-12-31 16:30:00.0000000",,"Expense",,,"Morus - mulberry",,,,,,,"POINT (-73.91349275474622 40.66678731146961)"
"4339728","Tree Removal","Open","7","Bronx","212.0","/","/",,,,"Edenwald Playground",,,"Risk Mitigation",,,,"No Wood Debris",,,,,,,"2123E",,,,,,"76F35B24-D366-411A-8C1E-7325D8616601","88C12C26-A1A1-4CBF-86F9-14BFBBA89FC3",,"No Util Conflict Present",,"POINT (-73.8453341788951292 40.8840339616666100)",,,"2016-08-02 09:58:00.0000000","2016-08-03 15:45:00.0000000","In-House",,,,,,,,,,"POINT (-73.84533417889513 40.88403396166661)"
"20742268","Pruning","Open","8","Bronx","209.0",,,,,,"Pugsley Creek Park",,,"Risk Mitigation",,,,"No Wood Debris",,"10473.0","18.0","34.0","85.0","15.0","2094C",,"BARRETT AV","SCREVIN AV",,,"BBF4BA48-A12B-48AC-ADEC-6853C24F11C2","202F3122-8CAF-4584-A636-15DBA8777F5E",,"No Util Conflict Present",,"POINT (-73.8514235232822500 40.8148260680459458)",,,"2023-06-05 17:22:10.0000000",,"In-House",,,,,,,,,,"POINT (-73.85142352328225 40.814826068045946)"
"10516989","Stump Removal","Open",,"Brooklyn","303.0","*","*","WEST, NEAR ENTRANCE",,"TRS-B20","Marge Matthews Garden",,,"Stump Removal",,,,"No Wood Debris",,,,,,,"3035B",,,,,,"62713855-C810-47F8-AE93-2DEC4EAD134F","E27781C2-3F9E-407B-954C-15CA656F4D76",,"No Util Conflict Present",,"POINT (-73.9171993248502588 40.6774373299562200)",,,"2019-11-11 19:29:00.0000000",,"Expense",,,"Unknown - Unknown",,,,,,,"POINT (-73.91719932485026 40.67743732995622)"
"11096534","Tree Removal","Open","5","Bronx","206.0","*","*","SE CORNER",,"TRS-X20","River Garden",,,"Risk Mitigation",,,,"No Wood Debris",,,,,,,"2062A",,,,,,"7AE2CA8E-903B-4EE9-A3D2-54DD2C7B414D","9D4C9D45-1110-4C13-AA68-17054597525A",,"No Util Conflict Present",,"POINT (-73.8764700497814886 40.8417563520757341)",,,"2020-02-05 15:33:00.0000000","2020-02-05 15:33:36.0000000","Expense",,,,,,,,,,"POINT (-73.87647004978149 40.841756352075734)"
"16501748","Block Pruning","Open",,"Brooklyn","311.0",,,,,"BP-B22","Milestone Park",,,"Block Pruning",,,,"No Wood Debris",,"11214.0","47.0","23.0","49.0","11.0","3113D",,"18 AV","82 ST",,,"3902CD9F-8DBB-47D4-A9D7-BFB61D718108","CA74F554-A328-404C-9105-168F24337747",,"No Util Conflict Present",,"POINT (-73.9997026115135412 40.6094833556528911)",,,"2022-02-04 16:35:07.0000000",,"Expense",,"Block Pruning",,,,,,,,"POINT (-73.99970261151354 40.60948335565289)"
"18116127","Tree Removal","Open","9","Bronx","205.0","1620","MACOMBS ROAD",,,,,,,"Risk Mitigation",,,,"No Wood Debris",,"10453.0","14.0","29.0","77.0","15.0","2051B","41940","FEATHERBED LA","GRAND AV",,,"0BC9FB35-18C3-4AFA-A834-5A58FA8FB41D","E3584470-9C2C-4F85-8E0E-17AC73F0AE8A",,"No Util Conflict Present",,"POINT (-73.9165583351156101 40.8466804762824935)",,,"2022-06-21 17:26:27.0000000",,"In-House",,,,,,,,,,"POINT (-73.91655833511561 40.84668047628249)"
"10451100","Block Pruning","Open",,"Manhattan","110.0","*","*","SE CORNER",,"BP-M19","Harlem Grown 134th Street Farm",,,"Block Pruning",,,,"No Wood Debris",,,,,,,"1103B",,,,,,"DB8DDAA8-C45D-4D07-9428-340C59D74BB1","60042D08-7CAF-4EAC-93B9-178AA395F205",,"No Util Conflict Present",,"POINT (-73.9427330510306717 40.8136450926692333)",,,"2019-10-30 16:47:00.0000000",,"Expense",,,,,,,,,,"POINT (-73.94273305103067 40.81364509266923)"
"3364620","Stump Removal","Closed",,"Manhattan","105.0","*","*","F18","2016-04-01 04:00:00.0000000",,"Bryant Park",,,"Stump Removal",,,,"No Wood Debris",,,,,,,,,,,,,"54758A61-7AAE-49C4-ABAC-9CC3266EF803","1870CDF8-5E45-4B26-AB64-173FDF1B0FD5",,"No Util Conflict Present",,"POINT (-73.9844240587619453 40.7537414540702159)","2016-04-19 13:18:00.0000000",,"2016-04-19 13:18:00.0000000",,"Permitted",,,,,,,,,,"POINT (-73.98442405876195 40.753741454070216)"
"20692044","Tree Removal","Open","7","Bronx","208.0","3507","FT INDEPENDENCE STREET",,,,,,,"Risk Mitigation",,,,"No Wood Debris",,"10463.0","11.0","34.0","81.0","13.0","2081A",,"FT INDEPENDENCE ST","ORLOFF AV",,,"E7842A69-F68B-4B56-8D6C-00F321DB17A3","86ED2054-194B-4177-8F25-1976B7C5D92B",,"No Util Conflict Present",,"POINT (-73.8980583747599553 40.8826388741981788)",,,"2023-05-30 14:07:27.0000000",,"In-House",,,,,,,,,,"POINT (-73.89805837475996 40.88263887419818)"
"11070653","Block Pruning","Open",,"Bronx","204.0","*","*","CENTER",,"BP-X23","Las Casitas Community Garden",,,"Block Pruning",,,,"No Wood Debris",,,,,,,"2042A",,,,,,"97331C1B-726A-4361-A7BD-F31379467BD9","E8A91D67-261B-4758-9DC8-193C6D8253B6",,"No Util Conflict Present",,"POINT (-73.9253813339606580 40.8355831105655511)",,,"2020-01-31 16:53:00.0000000",,"Expense",,,,,,,,,,"POINT (-73.92538133396066 40.83558311056555)"
"11051112","Block Pruning","Open",,"Bronx","206.0","*","*","CENTRAL",,"BP-X23","Cook Community Farm",,,"Block Pruning",,,,"No Wood Debris",,,,,,,"2061B",,,,,,"F4630F56-76C8-4D0F-A291-A2F097ECFD3A","64B9ABCF-225D-46A8-8A64-19C78187D044",,"No Util Conflict Present",,"POINT (-73.8938875051087791 40.8525760248029002)",,,"2020-01-28 18:21:00.0000000",,"Expense",,,,,,,,,,"POINT (-73.89388750510878 40.8525760248029)"
"613727","Misc Wood","Closed",,"Staten Island","501.0","0","northerleigh park",,"2015-06-11 04:00:00.0000000",,"Northerleigh Park",,,"Post-Failure Tree/Debris Removal",,,,"All Wood Removed",,,,,,,,,,,,,,"99910B49-7BAD-4362-B411-1AB830ED56C6",,"No Util Conflict Present",,"POINT (-74.1337117527324239 40.6226657264367716)","2015-06-12 11:56:00.0000000",,"2015-06-12 11:56:00.0000000",,"In-House",,,,,,,,,,"POINT (-74.13371175273242 40.62266572643677)"
"20886589","Misc Work","Open",,"Brooklyn","317.0","318","LINDEN BOULEVARD",,,,,,,"Misc Work",,,,"No Wood Debris",,"11226.0","40.0","20.0","43.0","9.0","3174A","46134","LINDEN BLVD","NEW YORK AV",,,"44E722EF-FA13-4FA8-82DB-10D7DA16F8D2","38924C28-52E0-4DCD-99A8-1A6BEABE8B55","1.0","No Util Conflict Present",,"POINT (-73.9475474504466774 40.6526673263990332)",,,"2023-06-20 18:00:09.0000000",,"Permitted",,,,,,,,,,"POINT (-73.94754745044668 40.65266732639903)"
