"school_year","busbreakdown_id","run_type","bus_no","route_number","reason","schools_serviced","occurred_on","created_on","boro","bus_company_name","how_long_delayed","number_of_students_on_the_bus","has_contractor_notified_schools","has_contractor_notified_parents","have_you_alerted_opt","informed_on","incident_number","last_updated_on","breakdown_or_running_late","school_age_or_prek"
"2015-2016","1227582","Special Ed AM Run","2560","L741","Heavy Traffic","14646","2015-11-05T08:44:00.000","2015-11-05T08:46:00.000","Bronx","RELIANT TRANS, INC. (B232",,"0","Yes","Yes","Yes","2015-11-05T08:46:00.000",,"2015-11-05T08:46:31.000","Running Late","School-Age"
"2015-2016","1227583","Special Ed AM Run","10496","M089","Heavy Traffic","03710","2015-11-05T08:43:00.000","2015-11-05T08:48:00.000","Manhattan","BORO TRANSIT, INC.","25 min","0","Yes","Yes","No","2015-11-05T08:48:00.000",,"2015-11-05T08:48:10.000","Running Late","School-Age"
"2015-2016","1227584","Special Ed AM Run","1837","L012","Heavy Traffic","13685","2015-11-05T08:48:00.000","2015-11-05T08:50:00.000","Brooklyn","B & F SKILLED INC.(B2192)","20 mins","2","Yes","Yes","No","2015-11-05T08:50:00.000",,"2015-11-05T08:50:23.000","Running Late","School-Age"
"2015-2016","1227586","Pre-K/EI","GV0955","5","Heavy Traffic","C579","2015-11-05T08:40:00.000","2015-11-05T08:59:00.000","Bronx","G.V.C., LTD.","5MIN","2","Yes","Yes","No","2015-11-05T08:59:00.000",,"2015-11-05T08:59:14.000","Running Late","Pre-K"
"2015-2016","1227587","General Ed Field Trip","966","X2320","Heavy Traffic","07697","2015-11-05T09:11:00.000","2015-11-05T09:13:00.000","Bronx","PIONEER TRANSPORTATION CO","15 minutes","0","Yes","No","No","2015-11-05T09:13:00.000",,"2015-11-05T09:13:41.000","Running Late","School-Age"
"2015-2016","1227588","Special Ed AM Run","5515","Q044","Heavy Traffic","27060","2015-11-05T11:01:00.000","2015-11-05T11:02:00.000","Queens","RELIANT TRANS, INC. (B232","10-15","0","Yes","No","Yes","2015-11-05T11:02:00.000",,"2015-11-05T11:02:33.000","Running Late","School-Age"
"2015-2016","1227589","Special Ed AM Run","2908","Q124","Heavy Traffic","24013","2015-11-05T11:20:00.000","2015-11-05T11:27:00.000","Queens","ALLIED TRANSIT CORP.","20-30 min","0","Yes","Yes","No","2015-11-05T11:27:00.000",,"2015-11-05T11:27:15.000","Running Late","School-Age"
"2017-2018","1399219","Special Ed AM Run","1108","X339","Flat Tire","12084","2018-01-03T07:32:00.000","2018-01-03T07:34:00.000","Bronx","LORINDA ENT. LTD.",,"0","Yes","Yes","No","2018-01-03T07:34:00.000",,"2018-01-03T17:18:54.000","Breakdown","School-Age"
"2015-2016","1225098","Pre-K/EI","9302","1","Heavy Traffic","C814","2015-10-27T07:10:00.000","2015-10-27T07:11:00.000","Bronx","G.V.C., LTD.","25 MINUTES","3","Yes","Yes","No","2015-10-27T07:11:00.000",,"2015-10-27T07:11:22.000","Running Late","Pre-K"
"2015-2016","1227576","Pre-K/EI","9815","3","Heavy Traffic","C329","2015-11-05T08:37:00.000","2015-11-05T08:39:00.000","Bronx","G.V.C., LTD.","15MIN","14","Yes","Yes","Yes","2015-11-05T08:39:00.000",,"2015-11-05T08:39:37.000","Running Late","Pre-K"
"2015-2016","1227590","Special Ed PM Run","VN24641","X185","Heavy Traffic","11003","2015-11-05T11:22:00.000","2015-11-05T11:29:00.000","Bronx","VAN TRANS LLC (B2192)","20mins","0","Yes","Yes","Yes","2015-11-05T11:29:00.000",,"2015-11-05T11:29:34.000","Running Late","School-Age"
"2015-2016","1227591","General Ed PM Run","2333","K9571","Other","15010","2015-11-05T11:27:00.000","2015-11-05T11:30:00.000","Brooklyn","ALL AMERICAN SCHOOL BUS C","30 MINS","0","No","No","No","2015-11-05T11:30:00.000",,"2015-11-05T11:30:49.000","Running Late","School-Age"
"2015-2016","1227592","Special Ed PM Run","11526","M736","Mechanical Problem","02169","2015-11-05T11:20:00.000","2015-11-05T11:32:00.000","Manhattan","CONSOLIDATED BUS TRANS. I","25-30 MIN","0","Yes","No","Yes","2015-11-05T11:32:00.000",,"2015-11-05T11:32:35.000","Running Late","School-Age"
"2015-2016","1227593","Special Ed PM Run","8928D","Q895","Won`t Start","26179","2015-11-05T23:00:00.000","2015-11-05T11:46:00.000","Queens","LORINDA ENT. LTD.",,"0","No","No","No","2015-11-05T11:46:00.000",,"2015-11-05T11:46:38.000","Breakdown","School-Age"
"2015-2016","1227594","Special Ed AM Run","12568","P640","Other","24071","2015-10-19T06:00:00.000","2015-11-05T11:49:00.000",,"ACME BUS CORP. (B2321)","15mins","0","Yes","Yes","Yes","2015-11-05T11:49:00.000",,"2015-11-05T11:49:17.000","Running Late","School-Age"
"2015-2016","1227595","Special Ed PM Run","511D","Q668","Flat Tire","28328","2015-11-05T11:00:00.000","2015-11-05T11:50:00.000","Queens","LITTLE RICHIE BUS SERVICE","45","0","Yes","Yes","No","2015-11-05T11:50:00.000",,"2015-11-05T11:50:00.000","Running Late","School-Age"
"2015-2016","1227596","Pre-K/EI","GV0418","16","Heavy Traffic","C579","2015-11-05T11:47:00.000","2015-11-05T11:50:00.000","Bronx","G.V.C., LTD.","10MIN","1","Yes","Yes","No","2015-11-05T11:50:00.000",,"2015-11-05T11:50:30.000","Running Late","Pre-K"
"2015-2016","1227597","Special Ed AM Run","NI2129","K286","Mechanical Problem","32075","2015-11-05T11:30:00.000","2015-11-05T11:53:00.000","Brooklyn","NEW DAWN TRANSIT, LLC (B2",,"0","Yes","Yes","No","2015-11-05T11:53:00.000",,"2015-11-05T11:53:26.000","Breakdown","School-Age"
"2015-2016","1227598","Special Ed PM Run","50072","X519","Mechanical Problem","09028","2015-11-05T11:45:00.000","2015-11-05T12:08:00.000","Bronx","BORO TRANSIT, INC.",,"2","Yes","Yes","No","2015-11-05T12:08:00.000",,"2015-11-05T12:08:17.000","Breakdown","School-Age"
"2015-2016","1227599","Special Ed AM Run","12541","P260","Heavy Traffic","24432","2015-11-05T07:05:00.000","2015-11-05T12:12:00.000",,"ACME BUS CORP. (B2321)","20Min","3","Yes","Yes","Yes","2015-11-05T12:12:00.000",,"2015-11-05T12:12:47.000","Running Late","School-Age"
"2015-2016","1227600","Special Ed AM Run","1318","P548","Heavy Traffic","24058","2015-11-05T07:05:00.000","2015-11-05T12:14:00.000",,"ACME BUS CORP. (B2321)","10Min","1","Yes","Yes","Yes","2015-11-05T12:14:00.000",,"2015-11-05T12:14:33.000","Running Late","School-Age"
"2015-2016","1227601","Special Ed PM Run","1436","M744","Heavy Traffic","04671","2015-11-05T12:26:00.000","2015-11-05T12:29:00.000","Manhattan","LEESEL TRANSP CORP (B2192","20","0","Yes","No","No","2015-11-05T12:29:00.000",,"2015-11-05T12:29:19.000","Running Late","School-Age"
"2015-2016","1227602","Special Ed AM Run","4516","M261","Mechanical Problem","02414","2015-11-05T12:34:00.000","2015-11-05T12:42:00.000","Manhattan","RELIANT TRANS, INC. (B232",,"1","No","Yes","Yes","2015-11-05T12:42:00.000",,"2015-11-05T12:42:40.000","Breakdown","School-Age"
"2015-2016","1227604","Special Ed PM Run","2506","K053","Heavy Traffic","13008","2015-11-05T13:49:00.000","2015-11-05T13:50:00.000","Brooklyn","ALLIED TRANSIT CORP.","20MINS","0","Yes","Yes","No","2015-11-05T13:50:00.000",,"2015-11-05T13:50:27.000","Running Late","School-Age"
"2015-2016","1227864","Pre-K/EI","0009","1","Heavy Traffic","C037","2015-11-06T08:10:00.000","2015-11-06T08:10:00.000","Bronx","G.V.C., LTD.","30 MINS","3","Yes","Yes","No","2015-11-06T08:10:00.000",,"2015-11-06T08:10:52.000","Running Late","Pre-K"
"2015-2016","1227605","Special Ed PM Run","1319","M992","Heavy Traffic","06326","2015-11-05T13:54:00.000","2015-11-05T13:56:00.000","Manhattan","LEESEL TRANSP CORP (B2192","30-40","0","Yes","No","No","2015-11-05T13:56:00.000",,"2015-11-05T13:56:44.000","Running Late","School-Age"
"2015-2016","1227606","Special Ed PM Run","2031","X906","Flat Tire","11111","2015-11-05T13:45:00.000","2015-11-05T14:01:00.000","Bronx","PRIDE TRANSPORTATION (SCH","15 Mins","0","Yes","Yes","Yes","2015-11-05T14:01:00.000",,"2015-11-05T14:01:20.000","Running Late","School-Age"
"2016-2017","1335086","Pre-K/EI","9347","1","Heavy Traffic","C457","2017-03-28T07:52:00.000","2017-03-28T07:57:00.000","Bronx","G.V.C., LTD.","30 minutes","11","Yes","Yes","No","2017-03-28T07:57:00.000",,"2017-03-28T07:57:09.000","Running Late","Pre-K"
"2017-2018","1386731","Special Ed AM Run","1421","M966","Heavy Traffic","02990","2017-11-16T07:07:00.000","2017-11-16T07:07:00.000","Manhattan","LEESEL TRANSP CORP (B2192)","31-45 Min","0","Yes","Yes","No","2017-11-16T07:07:00.000",,"1900-01-01T00:00:00.000","Running Late","School-Age"
"2015-2016","1215800","Pre-K/EI","358","2","Heavy Traffic","C195","2015-09-18T07:36:00.000","2015-09-18T07:38:00.000","Bronx","G.V.C., LTD.","15 MINUTES","12","Yes","Yes","Yes","2015-09-18T07:38:00.000",,"2015-09-18T07:38:44.000","Running Late","Pre-K"
"2015-2016","1226807","Pre-K/EI","9310","1","Heavy Traffic","C465","2015-11-02T08:07:00.000","2015-11-02T08:10:00.000","Bronx","G.V.C., LTD.","20MIN","14","Yes","Yes","Yes","2015-11-02T08:10:00.000",,"2015-11-02T08:10:07.000","Running Late","Pre-K"
"2015-2016","1227607","Special Ed PM Run","9962","M025","Mechanical Problem","02169","2015-11-05T14:00:00.000","2015-11-05T14:03:00.000","Manhattan","HAPPY CHILD TRANS LLC (B2","90Min","0","Yes","Yes","No","2015-11-05T14:03:00.000",,"2015-11-05T14:03:19.000","Running Late","School-Age"
"2015-2016","1227608","Special Ed PM Run","610","P870","Other","30230","2015-11-05T14:03:00.000","2015-11-05T14:04:00.000","Queens","HAPPY CHILD TRANS LLC (B2","60 min","2","Yes","Yes","No","2015-11-05T14:04:00.000",,"2015-11-05T14:04:53.000","Running Late","School-Age"
"2015-2016","1227610","Special Ed AM Run","1402","M072","Heavy Traffic","01378","2015-11-05T14:10:00.000","2015-11-05T14:11:00.000","Manhattan","LEESEL TRANSP CORP (B2192","10-20mints","0","Yes","No","No","2015-11-05T14:11:00.000",,"2015-11-05T14:11:39.000","Running Late","School-Age"
"2015-2016","1227611","Special Ed PM Run","2902","K053","Heavy Traffic","13008","2015-11-05T14:09:00.000","2015-11-05T14:13:00.000","Brooklyn","ALLIED TRANSIT CORP.","30MINS","0","Yes","Yes","No","2015-11-05T14:13:00.000",,"2015-11-05T14:13:36.000","Running Late","School-Age"
"2015-2016","1227612","Special Ed PM Run","1492D","N915","Flat Tire","75627","2015-11-05T14:07:00.000","2015-11-05T14:18:00.000","Nassau County","LOGAN BUS COMPANY INC.",,"0","Yes","No","No","2015-11-05T14:18:00.000",,"2015-11-05T14:18:25.000","Breakdown","School-Age"
"2015-2016","1227613","Special Ed PM Run","1835","L017","Heavy Traffic","20685,21911","2015-11-05T14:17:00.000","2015-11-05T14:20:00.000","Brooklyn","B & F SKILLED INC.(B2192)","10mins","0","Yes","Yes","No","2015-11-05T14:20:00.000",,"2015-11-05T14:20:24.000","Running Late","School-Age"
"2015-2016","1227614","Special Ed PM Run","578D","Q521","Heavy Traffic","28140","2015-11-05T14:22:00.000","2015-11-05T14:23:00.000","Queens","LITTLE RICHIE BUS SERVICE","30MINS","0","Yes","Yes","No","2015-11-05T14:23:00.000",,"2015-11-05T14:23:31.000","Running Late","School-Age"
"2015-2016","1227615","Pre-K/EI","9307","6","Mechanical Problem","C195","2015-11-05T14:25:00.000","2015-11-05T14:28:00.000","Bronx","G.V.C., LTD.","45MIN","18","Yes","Yes","Yes","2015-11-05T14:28:00.000",,"2015-11-05T14:28:52.000","Running Late","Pre-K"
"2015-2016","1227621","Special Ed PM Run","2102","K293","Other","17403","2015-11-05T14:57:00.000","2015-11-05T14:58:00.000","Brooklyn","EMPIRE STATE BUS CORP.","35MINS","3","Yes","Yes","No","2015-11-05T14:58:00.000",,"2015-11-05T14:58:17.000","Running Late","School-Age"
"2015-2016","1227622","General Ed PM Run","1230","Q9516","Mechanical Problem","26710","2015-11-05T02:44:00.000","2015-11-05T14:58:00.000","Queens","LORISSA BUS SERVICE INC.",,"0","Yes","No","No","2015-11-05T14:58:00.000",,"2015-11-05T14:58:49.000","Breakdown","School-Age"
"2015-2016","1227623","Special Ed PM Run","TN0386","M186","Heavy Traffic","02699","2015-11-05T14:50:00.000","2015-11-05T15:03:00.000","Manhattan","TWENTY FIRST AV TRANSP (B","15-20 min","0","Yes","Yes","No","2015-11-05T15:03:00.000",,"2015-11-05T15:03:05.000","Running Late","School-Age"
"2015-2016","1227633","Special Ed PM Run","420D","L707","Won`t Start","14761","2015-11-05T16:00:00.000","2015-11-05T16:05:00.000",,"LORINDA ENT. LTD.",,"0","Yes","Yes","No","2015-11-05T16:05:00.000",,"2015-11-05T16:05:34.000","Breakdown","School-Age"
"2015-2016","1227634","Special Ed AM Run","36266","X416","Mechanical Problem","12084","2015-11-05T16:03:00.000","2015-11-05T16:06:00.000","Bronx","CONSOLIDATED BUS TRANS. I","30MINS","2","Yes","Yes","No","2015-11-05T16:06:00.000",,"2015-11-05T16:06:50.000","Running Late","School-Age"
"2015-2016","1227635","Project Read PM Run","GC0083","X591","Heavy Traffic","11012","2015-11-05T16:25:00.000","2015-11-05T16:27:00.000","Bronx","G.V.C. LTD. (B2192)","15mins","0","Yes","No","No","2015-11-05T16:27:00.000",,"2015-11-05T16:27:41.000","Running Late","School-Age"
"2015-2016","1227637","Project Read PM Run","GC0113","X507","Heavy Traffic","07497","2015-11-05T16:51:00.000","2015-11-05T16:54:00.000","Bronx","G.V.C. LTD. (B2192)","20mins","0","Yes","No","No","2015-11-05T16:54:00.000",,"2015-11-05T16:54:05.000","Running Late","School-Age"
"2015-2016","1227638","Pre-K/EI","93","7","Other","C353","2015-11-05T17:24:00.000","2015-11-05T17:26:00.000","Bronx","G.V.C., LTD.","10MINUTES","0","Yes","Yes","No","2015-11-05T17:26:00.000",,"2015-11-05T17:26:51.000","Running Late","Pre-K"
"2015-2016","1227639","Project Read PM Run","2033","X901","Mechanical Problem","11455","2015-11-05T18:35:00.000","2015-11-05T18:45:00.000","Bronx","PRIDE TRANSPORTATION (SCH","1HR","0","Yes","Yes","Yes","2015-11-05T18:45:00.000",,"2015-11-05T18:45:40.000","Running Late","School-Age"
"2017-2018","1391536","Pre-K/EI","9302","1","Heavy Traffic","C814","2017-12-04T07:40:00.000","2017-12-04T07:42:00.000","Bronx","G.V.C., LTD.","0-15 Min","8","No","No","No","2017-12-04T07:42:00.000",,"1900-01-01T00:00:00.000","Running Late","Pre-K"
"2018-2019","1456627","General Ed AM Run","1141","R1086","Heavy Traffic","31051","2018-09-05T07:28:00.000","2018-09-05T07:29:00.000","Staten Island","PIONEER TRANSPORTATION CORP","31-45 Min","0","Yes","No","No","2018-09-05T07:29:00.000",,"1900-01-01T00:00:00.000","Running Late","School-Age"
"2015-2016","1215511","Pre-K/EI","331","2","Other","C178","2015-09-17T08:08:00.000","2015-09-17T08:12:00.000","Bronx","G.V.C., LTD.","10 minutes","11","Yes","Yes","Yes","2015-09-17T08:12:00.000",,"2015-09-17T08:12:08.000","Running Late","Pre-K"
"2015-2016","1215828","Pre-K/EI","332","2","Other","S176","2015-09-18T07:39:00.000","2015-09-18T07:45:00.000","Bronx","G.V.C., LTD.","10MINUTES","12","Yes","Yes","No","2015-09-18T07:45:00.000",,"2015-09-18T07:56:40.000","Running Late","Pre-K"
"2015-2016","1225671","Special Ed AM Run","12568","P640","Heavy Traffic","24071","2015-10-16T07:20:00.000","2015-10-28T09:38:00.000",,"ACME BUS CORP. (B2321)","15mins","3","Yes","Yes","Yes","2015-10-28T09:38:00.000",,"2015-10-28T09:38:12.000","Running Late","School-Age"
"2015-2016","1226116","Pre-K/EI","9304","4","Heavy Traffic","C353","2015-10-29T08:09:00.000","2015-10-29T08:11:00.000","Bronx","G.V.C., LTD.","20MIN","3","Yes","Yes","Yes","2015-10-29T08:11:00.000",,"2015-10-29T08:11:28.000","Running Late","Pre-K"
"2015-2016","1227640","Special Ed AM Run","52057","M355","Mechanical Problem","05065","2015-11-06T05:55:00.000","2015-11-06T05:56:00.000","Manhattan","CONSOLIDATED BUS TRANS. I","25/30 MINS","0","Yes","Yes","No","2015-11-06T05:56:00.000",,"2015-11-06T08:33:45.000","Running Late","School-Age"
"2015-2016","1227641","General Ed AM Run","924","R1295","Heavy Traffic","31007","2015-11-06T05:58:00.000","2015-11-06T06:01:00.000","Staten Island","PIONEER TRANSPORTATION CO","20MINS","0","Yes","No","No","2015-11-06T06:01:00.000",,"2015-11-06T06:01:49.000","Running Late","School-Age"
"2015-2016","1227642","Special Ed AM Run","1157","M358","Other","04155","2015-11-06T05:58:00.000","2015-11-06T06:02:00.000","Manhattan","RELIANT TRANS, INC. (B232","15mins","0","Yes","Yes","Yes","2015-11-06T06:02:00.000",,"2015-11-06T06:02:46.000","Running Late","School-Age"
"2015-2016","1227650","General Ed AM Run","955","R1309","Heavy Traffic","31009","2015-11-06T06:04:00.000","2015-11-06T06:13:00.000","Staten Island","PIONEER TRANSPORTATION CO","15-20MINS","0","No","No","No","2015-11-06T06:13:00.000",,"2015-11-06T06:13:01.000","Running Late","School-Age"
"2015-2016","1227652","General Ed AM Run","112","R1006","Heavy Traffic","31030","2015-11-06T06:05:00.000","2015-11-06T06:15:00.000","Staten Island","PIONEER TRANSPORTATION CO","15-20MINS","0","Yes","No","No","2015-11-06T06:15:00.000",,"2015-11-06T06:15:14.000","Running Late","School-Age"
