"bin","borough","zip","house_num","street_name","block","lot","confirmation_num","reporting_year","tank_num","inspection_by_firm","inspection_performed","inspection_date","gi_req_internal_structure","gi_result_internal_structure","gi_req_external_structure","gi_result_external_structure","gi_req_overflow_pipes","gi_result_overflow_pipes","gi_req_access_ladders","gi_result_access_ladders","gi_req_air_vents","gi_result_air_vents","gi_req_roof_access","gi_result_roof_access","si_req_sediment","si_result_sediment","si_req_biological_growth","si_result_biological_growth","si_req_debris_insects","si_result_debris_insects","si_req_rodent_bird","si_result_rodent_bird","sample_collected","lab_name","nys_certified","analytes","coliform","ecoli","meet_standards","deleted","latitude","longitude","community_board","council_district","census_tract","bbl","nta","batch_date"
"1019668","MANHATTAN","10010","205","East 22 Street","00903","7501","WTI0059000911","2018","1","Isseks Bros Inc","Y","11/06/2018","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","enviromental solution","Y","B","A","A",,"No","40.738005","-73.983228","6","2","64","1009037501","Gramercy","2023-08-25T12:15:24.000"
"1016935","MANHATTAN","10016","440","PARK AVENUE SOUTH","00859","0048","WTI0215636171","2020","1","ISSEKS BROS INC","Y","07/25/2020","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","ENVIRONMENTAL BUILDING SOLUTIONS LLC","Y","B","A","A",,"No","40.744471","-73.983251","5","2","74","1008590048","Midtown-Midtown South","2023-08-25T12:15:35.000"
"1076268","MANHATTAN","10172","277","Park Avenue","01302","7501","WTI0386989838","2022","1","Rosenwach Tank Co. LLC","Y","07/09/2022","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","EMSL","Y","B","A","A",,"No","40.755564","-73.975138","5","4","92","1013027501","Turtle Bay-East Midtown","2023-08-25T12:15:43.000"
"1083956","MANHATTAN","10029","420","East 111Street","01701","0001","WTI7276380208","2020","2","American Pipe and Tank","Y","12/10/2020","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","EBS","Y","B","A","A",,"No","40.792277","-73.936532","11","8","162","1017010001","East Harlem South","2023-08-25T12:15:30.000"
"1042829","MANHATTAN","10021","114","East 72nd St","01406","0065","WTI4492865230","2017","1","Isseks Bros. Inc.","Y","02/22/2017","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","Environmental Building Solutions LLC","Y","B","A","A",,"No","40.770808","-73.963143","8","4","128","1014060065","Upper East Side-Carnegie Hill","2023-08-25T12:15:17.000"
"1079986","MANHATTAN","10033","140","Cabrini Boulevard","02179","0010","WTI7632433760","2021","1","Rosenwach Tank Co. LLC","Y","11/09/2021","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","EMSL","Y","B","A","A",,"No","40.852542","-73.939826","12","10","275","1021790010","Washington Heights North","2023-08-25T12:15:10.000"
"1044011","MANHATTAN","10021","200","EAST   74 STREET","1428","45","WTI7444029315","2017","1","Rosenwach Tank Co. LLC","Y","08/16/2017","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","EMSL","Y","B","A","A","Y","No","40.770917","-73.959312","8","4","126","1014280045","Lenox Hill-Roosevelt Island","2023-08-25T12:15:17.000"
"1043366","MANHATTAN","10022","220","EAST   60 STREET","1414","7501","WTI0810957228","2020","1","Rosenwach Tank Co. LLC","Y","04/06/2020","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","EMSL Analytical","Y","B","A","A","Y","No","40.761897","-73.965476","8","4","110","1014147501","Lenox Hill-Roosevelt Island","2023-08-25T12:15:35.000"
"1028714","MANHATTAN","10023","146","Central Park West","01127","0029","WTI2970741413","2017","1","Culligan of Manhattan","Y","10/25/2017","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","A","Y","N","Y","N","Y","N","Y","Certified Laboratories","Y","B","A","A",,"No","40.777915","-73.974729","7","6","161","1011270029","Upper West Side","2023-08-25T12:15:13.000"
"1046848","MANHATTAN","10028","11","EAST 86 STREET","01498","0010","WTI6204872596","2018","1","ISSEKS BROS INC","Y","10/19/2018","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","ENVIRONMENTAL BUILDING SOLUTIONS LLC","Y","B","A","A",,"No","40.781295","-73.95984","8","4","15002","1014980010","Upper East Side-Carnegie Hill","2023-08-25T12:15:21.000"
"1015261","MANHATTAN","10018","1384","Broadway","00813","0050","WTI4602305098","2015","1","Pure H20 Solutions Inc","Y","08/02/2015","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","Laboratory","Y","B","A","A",,"No","40.752577","-73.987378","5","4","109","1008130050","Midtown-Midtown South","2023-08-25T12:15:11.000"
"1034512","MANHATTAN","10019","75","ROCKEFELLER PLAZA","01267","0022","WTI7153158349","2018","3","ISSEKS","Y","12/13/2018","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","ENVIRONMENTAL BUILDING","Y","B","A","A",,"No","40.759764","-73.977901","5","4","104","1012670022","Midtown-Midtown South","2023-08-25T12:15:22.000"
"1037568","MANHATTAN","10017","711","3 AVENUE","1318","1","WTI3026879752","2016","1","Rosenwach Tank Co. LLC","Y","03/20/2016","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","EMSL","Y","B","A","A","Y","No","40.752374","-73.973266","6","4","90","1013180001","Turtle Bay-East Midtown","2023-08-25T12:15:13.000"
"1089438","MANHATTAN","10036","605","WEST   42 STREET","1090","7502","WTI7060037933","2018","1","Rosenwach Tank Co. LLC","Y","05/29/2018","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","EMSL","Y","B","A","A","Y","No","40.76096","-73.998617","4","3","129","1010907502","Clinton","2023-08-25T12:15:23.000"
"1016889","MANHATTAN","10016","27","East 27 Street","00857","0024","WTI9167780478","2015","2","Atlantank","Y","10/26/2015","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","Laboratory","Y","B","A","A",,"No","40.743286","-73.985875","5","2","56","1008570024","Hudson Yards-Chelsea-Flatiron-Union Square","2023-08-25T12:15:18.000"
"4116933","QUEENS","11355","42-22","UNION STREET","5180","7502","WTI4525528544","2016","1","Rosenwach Tank Co. LLC","Y","11/11/2016","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","EMSL","Y","B","A","A","Y","No","40.75722","-73.82468","7","20","857","4051807502","Flushing","2023-08-25T12:15:21.000"
"1048523","MANHATTAN","10075","201","East 80th Street","01526","7501","WTI7175686418","2018","1","Culligan of Manhattan","Y","07/11/2018","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","A","Y","N","Y","N","Y","N","Y","Certified Laboratories","Y","B","A","A",,"No","40.774832","-73.956454","8","5","138","1015267501","Yorkville","2023-08-25T12:15:23.000"
"3054897","BROOKLYN","11205","215","WILLOUGHBY AVENUE","1905","120","WTI1115489522","2020","1","Rosenwach Tank Co. LLC","Y","06/02/2020","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","EMSL Analytical","Y","B","A","A","Y","No","40.692179","-73.96306","2","35","193","3019050120","Clinton Hill","2023-08-25T12:15:28.000"
"1090174","MANHATTAN","10128","205","East 92nd Street","1538","7501","WTI3335176749","2020","2","Rosenwach Tank Co. LLC","Y","05/20/2020","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","EMSL Analytical","Y","B","A","A","Y","No","40.78251","-73.950881","8","5","154","1015387501","Yorkville","2023-08-25T12:15:35.000"
"3392969","BROOKLYN","11201","345","adams street","00140","7503","WTI2042887677","2021","2","dcas","Y","11/28/2021","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","A","Y","N","Y","N","Y","N","N",,,,,,,"No","40.6934","-73.988915","2","33","11","3001407503","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","2023-08-25T12:15:34.000"
"1024843","MANHATTAN","10019","254","WEST   54 STREET","1025","58","WTI5104389762","2017","1","Rosenwach Tank Co. LLC","Y","10/22/2017","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","EMSL","Y","B","A","A","Y","No","40.764338","-73.983217","5","3","131","1010250058","Midtown-Midtown South","2023-08-25T12:15:12.000"
"1014424","MANHATTAN","10001","247","WEST 35 STREET","00785","0015","WTI2060759144","2018","1","American Pipe & Tank","Y","05/12/2018","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","EBS","Y","B","A","A",,"No","40.752237","-73.991489","5","3","109","1007850015","Midtown-Midtown South","2023-08-25T12:15:22.000"
"1056459","MANHATTAN","10025","233","West 99th Street","01871","0020","WTI4168201957","2015","1","Rosenwach Tank Co. LLC","Y","10/28/2015","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","ESML","Y","B","A","A",,"No","40.796397","-73.969886","7","7","187","1018710020","Upper West Side","2023-08-25T12:15:11.000"
"4210100","QUEENS","11432","8815","168th Street","09819","0003","WTI6784722973","2021","1","All Day Plumbing&Heating","Y","01/05/2021","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","EMLS Analytical","Y","B","A","A",,"No","40.709153","-73.794231","12","27","460","4098190003","Jamaica","2023-08-25T12:15:33.000"
"1009584","MANHATTAN","10011","15","West 11th Street","00575","0057","WTI8387833111","2021","1","Rosenwach Tank Co. LLC","Y","06/17/2021","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","EMSL","Y","B","A","A",,"No","40.73438","-73.99585","2","3","63","1005750057","West Village","2023-08-25T12:15:35.000"
"1015231","MANHATTAN","10018","142","W 36 ST","00811","0056","WTI4114281493","2018","1","ISSEKS BROS INC","Y","07/12/2018","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","ENVIRONMENTAL BUILDING SOLUTIONS LLC","Y","B","A","A",,"No","40.751732","-73.988414","5","3","109","1008110056","Midtown-Midtown South","2023-08-25T12:15:26.000"
"1012827","MANHATTAN","10001","436","West 27th Street","00724","0010","WTI1010746368","2019","1","American Pipe & Tank","Y","07/10/2019","Y","N","Y","N","Y","N","Y","N","Y","N","Y","A","Y","N","Y","N","Y","N","Y","N","Y","Atlas Environmental Lab","Y","B","A","A",,"No","40.749773","-74.001252","4","3","97","1007240010","Hudson Yards-Chelsea-Flatiron-Union Square","2023-08-25T12:15:39.000"
"1030011","MANHATTAN","10023","141","WEST   73 STREET","1145","12","WTI8388044439","2016","1","Rosenwach Tank Co. LLC","Y","03/01/2016","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","EMSL","Y","B","A","A","Y","No","40.778624","-73.979527","7","6","157","1011450012","Lincoln Square","2023-08-25T12:15:15.000"
"1001112","MANHATTAN","10038","75","MAIDEN LANE","68","11","WTI8677318784","2016","1","Rosenwach Tank Co. LLC","Y","04/06/2016","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","EMSL","Y","B","A","A","Y","No","40.707657","-74.007758","1","1","1502","1000680011","Battery Park City-Lower Manhattan","2023-08-25T12:15:15.000"
"1009632","MANHATTAN","10011","49","West 12th Street","00576","0066","WTI4676561599","2022","1","isseks bros., inc.","Y","08/22/2022","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","Environmental Building Solutions LLC","Y","B","A","A",,"No","40.735349","-73.996164","2","3","63","1005760066","West Village","2023-08-25T12:15:32.000"
"1083235","MANHATTAN","10013","40","Harrison Street","00142","0025","WTI7462113665","2021","1","Rosenwach Tank Co. LLC","Y","09/28/2021","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","EMSL","Y","B","A","A",,"No","40.718866","-74.010844","1","1","39","1001420025","SoHo-TriBeCa-Civic Center-Little Italy","2023-08-25T12:15:25.000"
"2051264","BRONX","10467","2440","OLINVILLE AVENUE","4426","17","WTI9095103546","2017","1","Rosenwach Tank Co. LLC","Y","12/21/2017","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","EMSL","Y","B","A","A","Y","No","40.862179","-73.868459","11","15","33202","2044260017","Bronxdale","2023-08-25T12:15:21.000"
"1087264","MANHATTAN","10036","350","West 42nd Street","01032","7501","WTI3069143921","2018","1","Isseks","Y","01/12/2018","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","Environmental Building","Y","B","A","A",,"No","40.757834","-73.99124","4","3","115","1010327501","Clinton","2023-08-25T12:15:27.000"
"4079260","QUEENS","11415","83-60","118th Street","03321","0043","WTI3119688640","2023","1","American Pipe and Tank","Y","06/08/2023","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","EBS","Y","B","A","A",,"No","40.705713","-73.834403","9","29","134","4033210043","Kew Gardens","2023-08-25T12:15:31.000"
"1031626","MANHATTAN","10025","320","CENTRAL PARK WEST","01205","0034","WTI7753479662","2021","1","ISSEKS BROS INC","Y","08/03/2021","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","ENVIRONMENTAL BUILDING SOLUTIONS LLC","Y","B","A","A",,"No","40.789015","-73.966632","7","6","177","1012050034","Upper West Side","2023-08-25T12:15:11.000"
"1040722","MANHATTAN","10022","25","SUTTON PLACE SOUTH","01371","0038","WTI6095204603","2019","2","ISSEKS BROS INC","Y","06/26/2019","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","ENVIRONMENTAL BUILDING SOLUTIONS LLC","Y","B","A","A",,"No","40.75648","-73.961299","6","5","10601","1013710038","Turtle Bay-East Midtown","2023-08-25T12:15:38.000"
"1001137","MANHATTAN","10038","175","Water Street","00071","7501","WTI9590527845","2020","2","isseks bros., inc.","Y","08/22/2020","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","Environmental Building Solutions LLC","Y","B","A","A",,"No","40.706699","-74.005208","1","1","1502","1000717501","Battery Park City-Lower Manhattan","2023-08-25T12:15:34.000"
"1006807","MANHATTAN","10003","200","East 11 St","00466","0005","WTI5990556824","2016","1","Isseks Bros Inc","Y","03/30/2016","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","Environmental Building Solutions LLC","Y","B","A","A",,"No","40.731215","-73.988382","3","2","40","1004667502","East Village","2023-08-25T12:15:11.000"
"1082691","MANHATTAN","10025","215","WEST 98 STREET","01870","7502","WTI8975990276","2017","1","ISSEKS BROS INC","Y","10/17/2017","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","ENVIRONMENTAL BUILDING SOLUTIONS LLC","Y","B","A","A",,"No","40.79568","-73.970146","7","7","187","1018707502","Upper West Side","2023-08-25T12:15:17.000"
"1016748","MANHATTAN","10010","360","PARK AVENUE SOUTH","855","24","WTI4200451626","2020","1","Rosenwach Tank Co. LLC","Y","09/26/2020","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","EMSL Analytical","Y","B","A","A","Y","No","40.741955","-73.985089","5","2","56","1008550024","Hudson Yards-Chelsea-Flatiron-Union Square","2023-08-25T12:15:36.000"
"1059519","MANHATTAN","10027","106","Morningside Drive","01963","0019","WTI0265371700","2022","1","Rosenwach Tank Co. LLC","Y","04/19/2022","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","EMSL","Y","B","A","A",,"No","40.809169","-73.957374","9","7","20701","1019630019","Morningside Heights","2023-08-25T12:15:34.000"
"1082185","MANHATTAN","10075","100","EAST   77 STREET","1411","1","WTI2319143152","2017","2","Rosenwach Tank Co. LLC","Y","11/07/2017","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","EMSL","Y","B","A","A","Y","No","40.774178","-73.961148","8","4","128","1014110001","Upper East Side-Carnegie Hill","2023-08-25T12:15:20.000"
"1085803","MANHATTAN","10036","1","River Place","01089","0001","WTI2092365862","2015","1","American Pipe and Tank","Y","08/28/2015","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","New York State Department of Health Environmental Laboratory Approval Program Lab ID#11871","Y","B","A","A",,"No","40.761614","-74.00022","4","3","117","1010890001","Hudson Yards-Chelsea-Flatiron-Union Square","2023-08-25T12:15:16.000"
"1025451","MANHATTAN","10019","300","WEST 57 STREET","01047","7502","WTI0728263566","2018","1","ISSEKS BROS INC","Y","12/04/2018","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","ENVIRONMENTAL BUILDING SOLUTIONS LLC","Y","B","A","A",,"No","40.766446","-73.983325","4","3","139","1010477502","Clinton","2023-08-25T12:15:24.000"
"1027189","MANHATTAN","10023","1841","Broadway","01113","0018","WTI2360846021","2015","1","Rosenwach Tank Co. LLC","Y","05/09/2015","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","ESML","Y","B","A","A",,"No","40.769158","-73.982429","7","3","145","1011130018","Lincoln Square","2023-08-25T12:15:12.000"
"3319418","BROOKLYN","11201","351","jay street","00147","0004","WTI6670062427","2018","2","EBC, LLC","Y","07/23/2018","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","Enviormental Building Solutions, LLC","Y","B","A","A",,"No","40.692882","-73.987256","2","33","11","3001470004","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","2023-08-25T12:15:23.000"
"3000242","BROOKLYN","11201","271","Cadman Plaza East,","00127","0001","WTI7575079158","2015","1","Isseks Brothers, Inc.","Y","02/26/2015","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","NYSDHELAP","Y","B","A","A",,"No","40.695805","-73.990047","2","33","13","3001270001","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","2023-08-25T12:15:20.000"
"1086256","MANHATTAN","10005","10","LIBERTY STREET","00042","0022","WTI8910281411","2015","1","ISSEKS BROS INC","Y","05/29/2015","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","ENVIRONMENTAL BUILDING SOLUTIONS LLC","Y","B","A","A",,"No","40.707641","-74.008155","1","1","7","1000420022","Battery Park City-Lower Manhattan","2023-08-25T12:15:15.000"
"1017122","MANHATTAN","10016","200","Madison avenue","00865","0014","WTI5378609545","2022","2","Atlantank, LLC","Y","12/29/2022","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","Atlas Environmental","Y","B","A","A",,"No","40.748528","-73.982413","5","4","82","1008650014","Murray Hill-Kips Bay","2023-08-25T12:15:43.000"
"2094217","BRONX","10457","4422","3rd Avenue","03064","0001","WTI9346087002","2019","1","Nalco Company","Y","12/17/2019","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","EMSLAnalytical","Y","B","A","A",,"No","40.853346","-73.891611","6","15","37504","2030640001","East Tremont","2023-08-25T12:15:39.000"
"1000005","MANHATTAN","10004","1","water street","00004","7501","WTI7799184958","2018","1","Atlantank","Y","11/17/2018","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","AtlasEnvironmental Lab","Y","B","A","A",,"No","40.702444","-74.012742","1","1","9","1000047501","Battery Park City-Lower Manhattan","2023-08-25T12:15:27.000"
"1015455","MANHATTAN","10011","140","Fifth Ave","00820","7501","WTI9315324073","2022","1","American Pipe and Tank","Y","10/12/2022","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","ebs","Y","B","A","A",,"No","40.739005","-73.991448","5","3","54","1008207501","Hudson Yards-Chelsea-Flatiron-Union Square","2023-08-25T12:15:38.000"
"1003025","MANHATTAN","10013","434","Broadway","00232","0001","WTI5862126129","2015","1","Rosenwach Tank Co. LLC","Y","12/19/2015","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","ESML","Y","B","A","A",,"No","40.720069","-74.001302","2","1","45","1002320001","SoHo-TriBeCa-Civic Center-Little Italy","2023-08-25T12:15:15.000"
"4074666","QUEENS","11374","98-05","67th Avenue","03156","0133","WTI6913406671","2021","1","Rosenwach Tank Co. LLC","Y","10/29/2021","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","EMSL","Y","B","A","A",,"No","40.724241","-73.855552","6","29","71306","4031560133","Forest Hills","2023-08-25T12:15:41.000"
"1009373","MANHATTAN","10003","55","5 AVENUE","570","7501","WTI7733261350","2017","1","Rosenwach Tank Co. LLC","Y","08/20/2017","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","EMSL","Y","B","A","A","Y","No","40.734877","-73.994422","2","2","61","1005707501","West Village","2023-08-25T12:15:16.000"
"1088643","MANHATTAN","10036","620","West 42 Stree","01089","7502","WTI7384966846","2022","3","American Pipe and Tank","Y","09/22/2022","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","ebs","Y","B","A","A",,"No","40.761199","-73.999235","4","3","117","1010897502","Hudson Yards-Chelsea-Flatiron-Union Square","2023-08-25T12:15:32.000"
"1036460","MANHATTAN","10154","345","Park Ave","1306","1","WTI5124532554","2020","1","Rosenwach Tank Co. LLC","Y","12/12/2020","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","EMSL Analytical","Y","B","A","A","Y","No","40.758171","-73.973246","5","4","100","1013060001","Turtle Bay-East Midtown","2023-08-25T12:15:30.000"
"1040014","MANHATTAN","10022","357","East 57 St","01350","7501","WTI4302253296","2015","1","Isseks Bros. Inc.","Y","08/18/2015","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","N","Y","Environmental Building Solutions LLC","Y","B","A","A",,"No","40.758644","-73.963694","6","5","108","1013507501","Turtle Bay-East Midtown","2023-08-25T12:15:12.000"
