"permitno","expiration_date","companyname","city","state","zipcode","issuedate","permitprintdate","permittype","location","validdates","validtimes","platestate","reason","purpose","conditionrestrictions"
"11","2007-10-05T00:00:00.000","DEPARTMENT OF EDUCATION","NEW YORK","NY",,"2007-08-06T00:00:00.000","2007-08-06T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","AUGUST 13, 2007 - OCTOBER 5, 2007","MONDAY - FRIDAY (7:00AM - 7:00PM)","NY","OFFICIAL CITY BUSINESS","SCHOOL ENROLLMENT","MAY PARK IN ALL NO PARKING ZONES; NO STANDING EXCEPT TRUCKS LOADING/UNLOADING;  AND AT METERS"
"12","2007-10-05T00:00:00.000","DEPARTMENT OF EDUCATION","NEW YORK","NY",,"2007-08-06T00:00:00.000","2007-08-06T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","AUGUST 13, 2007 - OCTOBER 5, 2007","MONDAY -  FRIDAY (7:00AM - 7:00PM)","NY","OFFICIAL CITY BUSINESS","SCHOOL ENROLLMENT","MAY PARK IN ALL NO PARKING ZONES:  NO STANDING EXCEPT TRUCKS LOADING/UNLOADING;  AND AT METERS"
"13","2007-08-27T00:00:00.000","NYC ECONOMICS DEVELOPMENT CORP. (AKRF, INC.)","NEW YORK","NY","10016","2007-08-22T00:00:00.000","2007-08-22T00:00:00.000","SPECIAL PARKING PERMIT","E/S OF N/B  FDR, BET. DWTN MANHATTAN HELIPORT & GOVERNORS ISLAND","AUGUST 24, 2007 -   AUGUST 27, 2007","7 DAYS A WEEK 24 HOURS A DAY","NY","OFFICIAL CITY BUSINESS","NOISE MONITORING","MAY PARK IN ALL NO PARKING ZONES, INCLUDING: NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; AND AT METERS."
"14","2008-01-05T00:00:00.000","UNITED STATES MARINES - TOYS FOR TOTS","BROOKLYN","NY","11234","2007-10-16T00:00:00.000","2007-10-16T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","OCTOBER 16, 2007 - JANUARY 5, 2008","7:00AM - 10:00PM SUNDAY - SATURDAY","NY","OFFICIAL BUSINESS","CAMPAIGN - TOYS FOR TOTS","MAY PARK IN ALL SIGNED AREAS; NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; NO PARKING ANYTIME / SPECIFIC HOURS AND AT METERS."
"15","2008-01-05T00:00:00.000","UNITED STATES MARINES - TOYS FOR TOTS","BROOKLYN","NY","11234","2007-10-16T00:00:00.000","2007-10-16T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","OCTOBER 16, 2007 - JANUARY 5, 2008","7:00AM - 10:00PM SUNDAY - SATURDAY","NY","OFFICIAL BUSINESS","CAMPAIGN - TOYS FOR TOTS","MAY PARK IN ALL SIGNED AREAS; NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; NO PARKING ANYTIME / SPECIFIC HOURS  AND AT METERS."
"16","2008-01-05T00:00:00.000","UNITED STATES MARINES - TOYS FOR TOTS","BROOKLYN","NY","11234","2007-10-16T00:00:00.000","2007-10-16T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","OCTOBER 16, 2007 - JANUARY 5, 2008","7:00AM - 10:00PM SUNDAY - SATURDAY","NJ","OFFICIAL BUSINESS","CAMPAIGN - TOYS FOR TOTS","MAY PARK IN ALL SIGNED AREAS: NO STANDING EXCEPT TRUCKS LOADING/UNLOADING;  NO PARKING ANYTIME / SPECIFIC HOURS AND AT METERS."
"17","2007-12-21T00:00:00.000","NYC  DEPARTMENT OF HEALTH BUREAU OF IMMUNIZATION","NEW YORK","NY","10007","2007-10-23T00:00:00.000","2007-10-23T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","OCTOBER 1, 2007 - DECEMBER 21, 2007","MONDAY - FRIDAY  7:00AM - 8:00PM-","NY","OFFICIAL CITY BUSINESS","INFLUENZA OUTREACH VANS CARRY MEDICAL EQUIPMENT","MAY PARK IN ALL SIGNED AREAS: NO STANDING EXCEPT TRUCKS LOADING/UNLOADING;  NO PARKING ANYTIME /  SPECIFIC HOURS AND AT METERS."
"18","2007-12-22T00:00:00.000","NYC DEPARTMENT OF HEALTH BUREAU OF IMMUNIZATION","NEW YORK","NY","10007","2007-10-24T00:00:00.000","2007-10-24T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","OCTOBER 1, 2007 - DECEMBER 22, 2007","MONDAY - FRIDAY  7:00AM - 8:00PM","NY","OFFICIAL CITY BUSINESS","INFLUENZA OUTREACH VANS CARRYING  MEDICAL EQUIP.","MAY PARK IN ALL SIGNED AREAS:  NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; NO PARKING ANYTIME / SPECIFIC HOURS AND AT METERS"
"19","2007-12-22T00:00:00.000","NYC DEPARTMENT OF HEALTH BUREAU OF IMMUNIZATION","NEW YORK","NY","10007","2007-10-24T00:00:00.000","2007-10-24T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","OCTOBER 1, 2007 - DECEMBER 22, 2007","MONDAY - FRIDAY  7:00AM - 8:00PM","VA","OFFICIAL CITY BUSINESS","INFLUENZA OUTREACH VANS CARRYING MEDICAL EUIPMENT","MAY PARK IN ALL SIGNED AREAS;  NO STANDING EXCEPT TRUCKS LOADING/UNLOADING;  NO PARKING ANYTIME / SPECIFIC HOURS AND AT METERS."
"20","2007-12-22T00:00:00.000","NYC DEPARTMENT OF HEALTH BUREAU OF IMMUNIZATION","NEW YORK","NY","10007","2007-10-24T00:00:00.000","2007-10-24T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","OCTOBER 1, 2007 - DECEMBER 22, 2007","MONDAY - FRIDAY 7:00AM - 8:00PM","NY","OFFICIAL CITY BUSINESS","INFLUENZA OUTREACH VANS CARRYING MEDICAL EQUIPMENT","MAY PARK IN ALL SIGNED AREAS; NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; NO PARKING ANYTIME / SPECIFIC HOURS AND AT METERS."
"21","2007-12-22T00:00:00.000","NYC DEPARTMENT OF HEALTH BUREAU OF IMMUNIZATION","NEW YORK","NY","10007","2007-10-24T00:00:00.000","2007-10-24T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","OCTOBER 1, 2007 -  DECEMBER 22, 2007","MONDAY - FRIDAY 7:00AM  - 8:00PM","NY","OFFICIAL CITY BUSINESS","INFLUENZA OUTREACH VAN CARRYING MEDICAL EQUIPMENT","MAY PARK IN ALLSIGNED AREAS; NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; NO PARKING ANYTIME / SPECIFIC HOURS AND AT METERS."
"22","2007-12-22T00:00:00.000","NYC DEPARTMENT OF HEALTH BUREAU OF IMMUNIZATION","NEW YORK","NY","10007","2007-10-29T00:00:00.000","2007-10-29T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","OCTOBER 1, 2007 - DECEMBER 22, 2007","MONDAY - FRIDAY 7:00AM - 8:00PM","NY","SPECIAL REQUEST","INFUENZA OUTREACH VANS CARRYING MEDICAL EQUIPMENT","MAY PARK IN AL SIGNED AREAS; NO STANDING EXCEPT TRUCKS LOADING/UNLOADING;  NO PARKING ANYTIME / SPECIFIC HOURS AND AT METERS"
"23","2007-11-05T00:00:00.000","NYC ECONOMICS DEVELOPMENT CORP. (AKRF, INC.)","NEW YORK","NY","10016","2007-11-01T00:00:00.000","2007-11-01T00:00:00.000","SPECIAL PARKING PERMIT","E/S  OF N/S FDR, BET. DWTN MANHATTAN HELIPORT & GOVERNORS ISLAND","NOVEMBER 2, 2007 - NOVEMBER 5, 2007","4 DAYS A WEEK 24 HOURS A DAY","NY","OFFICIAL CITY BUSINESS","NOISE MONITORING","MAY PARK IN ALL NO PARKING ZONES, INCLUDING: NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; AND AT METERS"
"24","2007-11-27T00:00:00.000","WFUV RADIO/ FORDHAM UNIVERSITY","BRONX","NY","10458","2007-11-16T00:00:00.000","2007-11-16T00:00:00.000","SPECIAL PARKING PERMIT","19 W. 24TH ST BETWEEN 6TH & 5TH AVE","NOVEMBER 27, 2007","12:00 NOON - 12:00 MIDNIGHT","NJ","FUND RAISER NON PROFIT","FUND RAISER (NON PROFIT)","MAY PARK IN AREAS SIGNED: NO STANDING EXCEPT TRUCKS LOADING & UNLOADING; NO PARKING ANYTIME SPECIFIC HOURS AND AT METERS."
"25","2008-12-31T00:00:00.000","NYC DEPARTMENT OF TRANSPORTATION TRAFFIC OPERATIONS","LONG ISLAND CITY","NY","11101","2007-11-27T00:00:00.000","2007-11-27T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","NOVEMBER 28, 2007 - DECEMBER 31. 2008","24 HOURS SEVEN DAYS A WEEK","NJ","OFFICIAL CITY BUSINESS","OFFICIAL CITY BUSINESS","MAY PARK IN ALL NO PARKING ZONES;  NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; AND AT METERS."
"26","2008-12-31T00:00:00.000","NYC DEPARTMENT OF TRANSPORTATION TRAFFIC OPERATIONS","LONG ISLAND CITY","NY","11101","2007-11-27T00:00:00.000","2007-11-27T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","NOVEMBER 28, 2007 - DECEMBER 31, 2008","24 HOURS SEVEN DAYS A WEEK","NY","OFFICIAL CITY BUSINESS","OFFICAL CITY BUSINESS","MAY PARK IN ALL NO PARKING ZONES; NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; AND AT METERS"
"27","2008-12-31T00:00:00.000","NYC DEPARTMENT OF TRANSPORTATION TRAFFIC OPERATIONS","LONG ISLAND CITY","NY","11101","2007-11-27T00:00:00.000","2007-11-27T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","NOVEMBER 28, 2007 - DECEMBER 31, 2008","24 HOURS SEVEN DAYS A WEEK","PA","OFFICIAL CITY BUSINESS","OFFICIAL CITY BUSINESS","MAY PARK IN ALL NO PARKING ZONES; NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; AND AT METERS"
"28","2008-12-31T00:00:00.000","NYC DEPARTMENT OF TRANSPORTATION TRAFFIC OPERATIONS","LONG ISLAND CITY","NY","11101","2007-12-04T00:00:00.000","2007-12-04T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","DECEMBER 4, 2007 - DECEMBER 31, 2008","24 HOURS SEVEN DAYS A WEEK","NY","OFFICIAL CITY BUSINESS","OFFICIAL CITY BUSINESS","MAY PARK IN ALL NO PARKING ZONES; NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; AND AT METERS"
"29","2008-01-05T00:00:00.000","UNITED STATES MARINES - TOYS FOR TOTS","BROOKLYN","NY","11234","2007-12-05T00:00:00.000","2007-12-05T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","DECEMBER 05, 2007 - JANUARY 05, 2008","7:00AM - 10:00PM SUNDAY - SATURDAY","AZ","SPECIAL REQUEST","CAMPAIGN - TOYS FOR TOTS","MAY PARK IN ALL SIGNED AREAS:  NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; NO PARKING ANYTIME/SPECIFIC HOURS AND AT METERS."
"30","2008-01-05T00:00:00.000","UNITED STATES MARINES - TOYS FOR TOTS","BROOKLYN","NY","11234","2007-12-05T00:00:00.000","2007-12-05T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","DECEMBER 05, - JANUARY 05, 2008","7:00AM - 10:00PM SUNDAY - SATURDAY","AZ","SPECIAL REQUEST","CAMPAIGN - TOYS FOR TOTS","MAY PARK IN ALL SIGNED AREAS: NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; NO PARKING ANYTIME /  SPECIFIC HOURS AND AT METERS."
"31","2008-01-05T00:00:00.000","UNITED STATES MARINES - TOYS FOR TOTS","BROOKLYN","NY","11234","2007-12-05T00:00:00.000","2007-12-05T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","DECEMBER 05, 2007 - JANUARY 05, 2008","7:00AM - 10:00PM SUNDAY - SATURDAY","AZ","SPECIAL REQUEST","CAMPAIGN - TOYS FOR TOTS","MAY PARK IN ALL SIGNED AREAS: NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; NO PARKING ANYTIME / SPECIFIC HOURS AND AT METERS"
"32","2008-01-05T00:00:00.000","UNITED STATES MARINES - TOYS FOR TOTS","BROOKLYN","NY","11234","2007-12-05T00:00:00.000","2007-12-05T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","DECEMBER 05, 2007 - JANUARY 05, 2008","7:00AM - 10PM SUNDAY - SATURDAY","AZ","SPECIAL REQUEST","CAMPAIGN - TOYS FOR TOTS","MAY PARK IN ALL SIGNED AREAS:  NO STANDING EXCEPT TRUCKS LOADING/UNLOADING;  NO PARKING ANYTIME / SPECIFIC HOURS AND AT METERS."
"33","2008-01-05T00:00:00.000","UNITED STATES MARINES - TOYS FOR TOTS","BROOKLYN","NY","11234","2007-12-05T00:00:00.000","2007-12-05T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","DECEMBER 05, 2007 - JANUARY 05, 2008","7:00AM - 10:00PM SUNDAY - SATURDAY","AZ","SPECIAL REQUEST","CAMPAIGN - TOYS FOR TOTS","MAY PARK IN ALLSIGNED AREAS:  NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; NO PARKING ANYTIME / SPECIFIC HOURS AND AT METERS"
"34","2008-01-05T00:00:00.000","UNITED STATES MARINES - TOYS FOR TOTS","BROOKLYN","NY","11234","2007-12-05T00:00:00.000","2007-12-05T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","DECEMBER 05, 2007 - JANUARY 05, 2008","7:00AM - 10:00PM SUNDAY - SATURDAY","AZ","SPECIAL REQUEST","CAMPAIGN - TOYS FOR TOTS","MAY PARK IN ALL SIGNED AREAS:  NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; NO PARKING ANYTIME / SPECIFIC HOURS AND AT METERS."
"35","2008-01-05T00:00:00.000","UNITED STATES MARINES - TOYS FOR TOTS","BROOKLYN","NY","11234","2007-12-05T00:00:00.000","2007-12-05T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","DECEMBER 05, 2007 - JANUARY 05, 2008","7:00AM - 10:00PM SUNDAY - SATURDAY","AZ","SPECIAL REQUEST","CAMPAIGN - TOYS FOR TOTS","MAY PARK IN ALL SIGNED AREAS:  NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; NO PARKING ANYTIME / SPECIFIC HOURS AND AT METERS"
"36","2008-01-05T00:00:00.000","UNITED STATES MARINES - TOYS FOR TOTS","BROOKLYN","NY","11234","2007-12-06T00:00:00.000","2007-12-06T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","DECEMBER 05, 2007 - JANUARY 05, 2008","7:00AM - 10:00PM SUNDAY - SATURDAY","AZ","SPECIAL REQUEST","CAMAPIGN - TOYS FOR TOTS","MAY PARK IN ALL SIGNED AREAS: NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; NO PARKING ANYTIME / SPECIFIC HOURS AND AT METERS"
"37","2008-01-05T00:00:00.000","UNITED STATES MARINES - TOYS FOR TOTS","BROOKLYN","NY","11234","2007-12-06T00:00:00.000","2007-12-06T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","DECEMBER 05, 2007 - JANUARY 05, 2008","7:00AM - 10:00PM SUNDAY - SATURDAY","AZ","SPECIAL REQUEST","CAMPAIGN - TOYS FOR TOTS","MAY PARK IN ALL SIGNED AREAS: NO STANDING EXCEPT TRUCKS LOADING/UNLOADING;  NO PARKING ANYTIME / SPECIFIC HOURS AND AT METERS"
"38","2008-01-05T00:00:00.000","UNITED STATES MARINES - TOYS FOR TOTS","BROOKLYN","NY","11234","2007-12-06T00:00:00.000","2007-12-06T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","DECEMBER 05, 2007 - JANUARY 05, 2008","7:00AM - 10:00PM  SUNDAY - SATURDAY","AZ","SPECIAL REQUEST","CAMPAIGN - TOYS FOR TOTS","MAY PARK IN ALL SIGNED AREAS: NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; NO PARKING ANYTIME / SPECIFIC HOURS  AND AT METERS"
"39","2008-01-05T00:00:00.000","UNITED STATES MARINES - TOYS FOR TOTS","BROOKLYN","NY","11234","2007-12-06T00:00:00.000","2007-12-06T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","DECEMBER 05, 2007 - JANUARY 05, 2008","7:00AM - 10:00PM SUNDAY - SATURDAY","NY","SPECIAL REQUEST","CAMPAIGN - TOYS FOR TOTS","MAY PARK IN ALL SIGNED AREAS: NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; NO PARKING ANYTIME / SPECIFIC HOURS AND AT METERS"
"40","2008-01-05T00:00:00.000","UNITED STATES MARINES - TOYS FOR TOTS","BROOKLYN","NY","11234","2007-12-06T00:00:00.000","2007-12-06T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","DECEMBER 05, 2007 - JANUARY 05, 2008","7:00AM - 10:00PM SUNDAY - SATURDAY","NY","SPECIAL REQUEST","CAMPAIGN - TOYS FOR TOTS","MAY PARK IN ALL SIGNED AREAS:  NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; NO PARKING ANYTIME / SPECIFIC HOURS AND AT METERS"
"41","2007-12-10T00:00:00.000","DEPARTMENT OF TRANSPORTATION","NEW YORK","NY","10013","2007-12-06T00:00:00.000","2007-12-06T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","DECEMBER 07, 2007 - DECEMBER 10, 2007","8:00AM - 6:00PM FRIDAY - MONDAY","NY","OFFICIAL CITY BUSINESS","OFFICIAL CITY BUSINESS","MAY PARK IN ALL NO PARKING ZONES: INCLUDING AUTHORIZED VEHICLE; NO STANDING AUTHORIZED VEHICLES; NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; NO PARKING ANYTIME/ SPECIFIC HOURS AND AT METERS."
"42","2008-12-31T00:00:00.000","DEPARTMENT OF TRANSPORTATION","NEW YORK","NY","10013","2007-12-06T00:00:00.000","2007-12-06T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","DECEMBER 06, 2007 - DECEMBER 31, 2008","24 HOURS AS NEEDED","NY","OFFICIAL CITY BUSINESS","OFFICIAL CITY BUSINESS","MAY PARK IN ALL NO PARKING ZONES INCLUDING: AUTHORIZED VEHICLES; NO STANDING AUTHORIZED VEHICLES; NO STANDING EXCEPT TRUCKS LOADING/UNLOADING;  NO PARKING ANYTIME / SPECIFIC HOURS AND AT METERS."
"43","2008-12-31T00:00:00.000","DEPARTMENT OF TRANSPORTATION TRAFFIC OPERATIONS","LONG ISLAND","NY","11101","2007-12-10T00:00:00.000","2007-12-10T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","DECEMBER 10, 2007 - DECEMBER 31, 2008","24 HOURS SEVEN DAYS A WEEK","NJ","OFFICIAL CITY BUSINESS","OFFICAL CITY BUSINESS","MAY PARK IN ALL NO PARKING ZONES: NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; AND AT METERS."
"44","2008-12-31T00:00:00.000","DEPARTMENT OF TRANSPORTATION TRAFFIC OPERATIONS","LONG ISLAND CITY","NY","11101","2007-12-10T00:00:00.000","2007-12-10T00:00:00.000","SPECIAL PARKING PERMIT","VARIOUS; INCLUDING MANHATTAN AND BROOKLYN NO PERMIT AREAS","DECEMBER 10, 2007 - DECEMBER 31, 2008","24 HOURS SEVEN DAYS A WEEK","NY","OFFICIAL CITY BUSINESS","OFFICIAL CITY BUSINESS","MAY PARK IN ALL NO PARKING ZONES:  NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; AND AT METERS."
