"record_id","certificate_number","business_name","violation_date","industry","borough","charge","charge_count","outcome","counts_settled","counts_guilty","counts_not_guilty","building_number","street","street_2","unit_type","unit","description","city","state","zip","longitude","latitude"
"9334-2018-ENFO","70044591","SMOKE MINI MALL INC","2018-02-11T00:00:00.000","Cigarette Retail Dealer - 127","Queens","NYC Admin Code § 17-715(a) - SOLD, OFFERED FOR SALE, OR POSSESSED WITH INTENT TO SELL FLAVORED TOBACCO PRODUCT","1","Settlement (Pre-Hearing)","1",,,"10844","SUTPHIN BLVD",,,,,"JAMAICA","NY","11435","-73.7986712050569","40.692316066637154"
"27246-2019-ENFO","70051214","HERRERA, ALEXIS","2019-05-19T00:00:00.000","Tobacco Retail Dealer","Brooklyn","NY Pub Health § 1399-CC(2) - SOLD TOBACCO PRODUCTS TO PERSON UNDER 18 YEARS OF AGE","1","Default Decision",,"1",,"156","MARCUS GARVEY BLVD",,,,,"BROOKLYN","NY","11206","-73.94006336505433","40.693094135136896"
"4640-2020-ENFO","70055083","BLAK SERVICE STATION INC.","2020-02-01T00:00:00.000","Tobacco Retail Dealer","Brooklyn","NYC Admin Code § 17-706(a) - SOLD CIGARETTES TO A PERSON UNDER 21 YEARS OF AGE","1","Hearing Decision",,"1",,"1022","ROCKAWAY AVE",,,,,"BROOKLYN","NY","11236","-73.9068333150848","40.654400871193175"
"10427-2019-ENFO","05438889","BROOKLYN CAR WASH INC.","2019-02-21T00:00:00.000","Car Wash","Brooklyn","NYC Admin Code § 20-544 - Business failed to: maintain log documenting complaints; or comply with requirements pertaining to log; or make log available upon request","1","Hearing Decision",,"1",,"488","CONEY ISLAND AVE",,,,,"BROOKLYN","NY","11218","-73.97069255063342","40.645802528114054"
"63667-2017-ENFO","70043210","TONIALEE & ASSOCIATES INC","2017-10-15T00:00:00.000","Cigarette Retail Dealer - 127","Bronx","NYC Admin Code § 17-706(a) - SOLD TOBACCO PRODUCTS TO A PERSON UNDER 21 YEARS OF AGE","1","Hearing Decision",,"1",,"3399","BOSTON RD",,,,,"BRONX","NY","10469","-73.85080876494101","40.875417251836325"
"11999-2021-ENFO","21G00063","SUPER PETRO CORP","2021-04-26T00:00:00.000","Gas Station-Retail - 815","Brooklyn","6 RCNY § 4-63(b)(1)(v) - CURB SIGN DOES NOT INCLUDE SEPARATE LINES FOR CASH, DEBIT, CREDIT AND OTHER PRICES FOR EACH GRADE OF PETROLEUM WHERE TOTAL SELLING PRICE FOR NON-CASH PURCHASES ARE HIGHER THAN CASH PURCHASES","1","Default Decision",,"1",,"668","3RD AVE",,,,,"BROOKLYN","NY","11232","-77.51985453368906","40.11248870456231"
"2553-2016-ENFO","05388948","NAGEL DELI SMOKE SHOP & CONVENIENCE STORE LLC","2016-01-07T00:00:00.000","Grocery-Retail - 808","Manhattan","1 NYCRR § 221.13(b)(19) - COMMODITY SOLD BY BULK WGHT W/O DIS OF $","1","Settlement (Pre-Hearing)","1",,,"126","NAGLE AVE",,,,,"NEW YORK","NY","10040","-73.92632976802473","40.86102836819961"
"20614-2018-ENFO","05425919","140 CHARLES OASIS GOURMET INC.","2018-04-12T00:00:00.000","Grocery-Retail - 808","Manhattan","6 RCNY § 5-41 - Business engaged in deceptive trade practice by collecting sales tax on a non-taxable good or service.","1","Default Decision",,"1",,"140","CHARLES ST",,,,,"NEW YORK","NY","10014","-74.00798156190001","40.73416286221032"
"13452-2018-ENFO","06013404","ROBERT A. ZARATE","2018-03-05T00:00:00.000","Tax Preparers - 891","Queens","NYC Admin Code § 20-740.1(b) - BUSINESS FAILS TO PROVIDE CUSTOMERS A CURRENT, LEGIBLE COPY OF NEW YORK CITY'S CONSUMER BILL OF RIGHTS REGARDING TAX PREPARERS","1","Hearing Decision",,"1",,"6910","ROOSEVELT AVE",,,,,"WOODSIDE","NY","11377","-73.89612325285016","40.74634690919477"
"47015-2021-ENFO","21T02612","HABIBI 65 CONVENIENCE CORP","2021-12-16T00:00:00.000","Tobacco Retail Dealer","Queens","24 RCNY § 13-03(b) - SELLING OR OFFERING FOR SALE A CIGAR OR PACKAGE OF CIGARS FOR LESS THAN THE CIGAR PRICE FLOOR OF $8.00 FOR THE FIRST CIGAR, PLUS $1.75 FOR EACH ADDITIONAL CIGAR, EXCLUDING OTP AND SALES TAX","1","Default Decision",,"1",,"6419","ROOSEVELT AVE",,,,,"WOODSIDE","NY","11377","-77.5198541974237","40.112488938948985"
"10106-2019-ENFO","05434099","ALI BABA DELI GROCERY CORP.","2019-02-11T00:00:00.000","Grocery-Retail - 808","Bronx","6 RCNY § 5-37 - REFUND POLICY IS NOT POSTED AT CASH REGISTER/S OR AT THE ENTRANCES.","1","Pleaded","1",,,"3565","BOSTON RD",,,,,"BRONX","NY","10469","-73.84432224767843","40.87827689057935"
"58878-2022-ENFO","22M02035","HILARY GARDENS GARAGE CO., LLC","2022-10-12T00:00:00.000","Garage - 049","Manhattan","NYC Admin Code § 20-327.1(b)(2) - BUSINESS FAILS TO PARK BICYCLE AT LEAST TWO FEET AWAY FROM A MOTOR VEHCILE","1","Pleaded","1",,,"300","MERCER ST",,,,,"NEW YORK","NY","10003","-77.51985453054293","40.11248888602629"
"7814-2015-ENFO","05351655","CASTILLO, JOSE","2015-02-12T00:00:00.000","Grocery-Retail - 808","Staten Island","6 RCNY § 5-37 - REFUND POLICY IS NOT POSTED AT CASH REGISTER/S OR AT THE ENTRANCES.","1","Pleaded","1",,,"1138","CASTLETON AVE",,,,,"STATEN ISLAND","NY","10310","-74.12041256214509","40.6342754976466"
"25347-2022-ENFO","22T02482","BAY PARKWAY MINI MART INC","2022-04-27T00:00:00.000","Tobacco Retail Dealer","Brooklyn","NY Pub Health § 1399-GG(2)(C)  - OFFERING FOR SALE ANY PACKAGE OR OTHER CONTAINER WITH FEWER THAN 20 SHEETS OF CIGARETTE WRAPPING PAPERS, WRAPPING LEAVES, OR TUBES THAT CAN BE USED TO WRAP TOBACCO FOR SMOKING","1","Default Decision",,"1",,"2204","86TH ST",,,,,"BROOKLYN","NY","11214","-77.51985451199842","40.11248853325023"
"66077-2022-ENFO","22Q01192","111 DELI & GRILL CORP","2022-11-09T00:00:00.000","Tobacco Retail Dealer","Queens","24 RCNY § 13-03(b) - SELLING OR OFFERING FOR SALE A CIGAR OR PACKAGE OF CIGARS FOR LESS THAN THE CIGAR PRICE FLOOR OF $8.00 FOR THE FIRST CIGAR, PLUS $1.75 FOR EACH ADDITIONAL CIGAR, EXCLUDING OTP AND SALES TAX","1","Pleaded","1",,,"11052","SUTPHIN BLVD",,,,,"JAMAICA","NY","11435","-77.51985381828754","40.11248879421992"
"23658-2019-ENFO","70050599","DAS, SUKANTA","2019-04-11T00:00:00.000","Tobacco Retail Dealer","Manhattan","NYC Admin Code § 17-706(a) - SOLD TOBACCO PRODUCTS TO A PERSON UNDER 21 YEARS OF AGE","1","Pleaded","1",,,,"DELANCEY STREET","BOWERY",,,"N/E/C","NEW YORK","NY","10012","-73.99404032468442","40.72032117794149"
"14989-2014-ENFO","70021225","RAHUFF HOT SPOT DELI & GROCERY CORP","2014-03-09T00:00:00.000","Cigarette Retail Dealer - 127","Manhattan","NY Pub Health § 1399-CC(2) - FAILURE TO POST REQUIRED TOBACCO SIGN: 'SALE OF CIGARETTES, CIGARS, CHEWING TOBACCO, SHISHA OR OTHER TOBACCO PRODUCTS, HERBAL CIGARETTES, ELECTRONIC CIGARETTES, ROLLING PAPERS OR SMOKING PARAPHERNALIA, TO PERSON UNDER 18 YEARS OF AGE IS PROHIBITED BY LAW'","1","Default Decision",,"1",,"1465","AMSTERDAM AVE",,,,,"NEW YORK","NY","10027","-73.95351049044555","40.81713540218759"
"7024-2021-ENFO","21M00416","DECO FINE JEWELRY LLC","2021-03-18T00:00:00.000","Secondhand Dealer [General] - 006","Manhattan","NYC Admin Code § 20-273(e) - RECORDS ARE NOT AVAILABLE FOR INSPECTION","1","Hearing Decision",,"1",,"501","5TH AVE",,,,"3RD FL. SUITE 427","NEW YORK","NY","10017","-77.51985448861556","40.11248895010954"
"33524-2021-ENFO","21T01920","MORRIS AVE DELI AND GROCERY CORP","2021-09-15T00:00:00.000","Tobacco Retail Dealer","Bronx","NYC Admin Code § 17-176.1(c)(4) - SOLD, OFFERED FOR SALE, OR OTHERWISE PROVIDED TOBACCO PRODUCTS FOR LESS THAN THE LISTED PRICE","1","Default Decision",,"1",,"928","MORRIS AVE",,,,,"BRONX","NY","10451","-77.51985427273748","40.11248915954283"
"57374-2017-ENFO","05418601","E GARDEN NY INC.","2017-09-12T00:00:00.000","Stoop Line Stand - 033","Queens","6 RCNY § 2-70.2(A) - STOOP LINE STAND IS NOT ENCLOSED AT BOTH ENDS and IN FRONT OF A FENCE OE PARTITION CONSTRUCTED OF WOOD OR SOME OTHER RIGHT MATERIAL","1","Pleaded","1",,,"13627","ROOSEVELT AVE",,,,,"FLUSHING","NY","11354","-73.82908097448109","40.759839730334065"
"1222-2018-ENFO","05423184","BLEECKER DELI & GRILL INC","2017-12-27T00:00:00.000","Grocery-Retail - 808","Brooklyn","1 NYCRR § 221.13(b)(18) - DELI ITEMS DO NOT HAVE PRICES DISPLAYED","1","Default Decision",,"1",,"442","BLEECKER ST",,,,,"BROOKLYN","NY","11237","-73.91270456691959","40.703707122105804"
"18069-2023-ENFO","23M00849","MUNCH & OOO'S SHOPPE CORP.","2023-03-31T00:00:00.000","Electronic Cigarette Dealer","Manhattan","NYC Admin Code § 20-561(a)(1) - BUSINESS ENGAGES IN UNLICENSED ELECTRONIC CIGARETTE RETAIL DEALER ACTIVITY","1","Default Decision",,"1",,"200","W END AVE",,,,,"NEW YORK","NY","10023","-77.51985450720129","40.1124890178719"
"6501-2022-ENFO","22T00552","NASSR ALHANSHALI & YASER ALHANSHALI","2022-02-09T00:00:00.000","Tobacco Retail Dealer","Bronx","24 RCNY § 13-03(b) - SELLING OR OFFERING FOR SALE A CIGAR OR PACKAGE OF CIGARS FOR LESS THAN THE CIGAR PRICE FLOOR OF $8.00 FOR THE FIRST CIGAR, PLUS $1.75 FOR EACH ADDITIONAL CIGAR, EXCLUDING OTP AND SALES TAX","1","Default Decision",,"1",,"975","WALTON AVE",,,,,"BRONX","NY","10452","-77.5198542916791","40.11248916519597"
"23396-2020-ENFO","20M00263","53RD STERLING PARKING LLC","2020-09-23T00:00:00.000","Garage - 049","Manhattan","NYC Admin Code § 20-327(a) - BUSINESS EXCEEDS VEHICLE CAPACITY.","22",,,,,"304","E 53RD ST",,,,,"NEW YORK","NY","10022","-77.51985443815187","40.112488960630884"
"49492-2018-ENFO","05430141","FLATBUSH KOSHER INC","2018-10-03T00:00:00.000","Grocery-Retail - 808","Brooklyn","1 NYCRR § 221.4 - LABEL ON COMMODITY DOES NOT CLEARLY STATE THE NAME AND ADDRESS OF MANUFACTURER, PACKER OR DISTRIBUTOR","2","Pleaded","2",,,"1823","CONEY ISLAND AVE",,,,,"BROOKLYN","NY","11230","-73.96297028025586","40.61319494889657"
"30209-2018-ENFO","05428197","DOLLAR TOWER INC.","2018-06-08T00:00:00.000","Misc Non-Food Retail - 817","Manhattan","6 RCNY § 5-41 - Business engaged in deceptive trade practice by collecting sales tax on a non-taxable good or service.","2","Default Decision",,"2",,"600","W 207TH ST",,,,,"NEW YORK","NY","10034","-73.92096101474435","40.86728272765836"
"19353-2021-ENFO","21T01041","LOGAN BEST CONVENIENCE INC.","2021-06-16T00:00:00.000","Tobacco Retail Dealer","Brooklyn","NYC Admin Code § 17-706(a) - SOLD TOBACCO PRODUCTS TO A PERSON UNDER 21 YEARS OF AGE","1","Default Decision",,"1",,"194","LOGAN ST",,,,,"BROOKLYN","NY","11208","-77.51985410982483","40.11248876540019"
"37819-2018-ENFO","05427118","RITE AID OF NEW YORK, INC.","2018-07-24T00:00:00.000","Drug Store Retail - 810",,"NYC Admin Code § 20-822(a) - SALE OF EXPIRED MEDS:  BUSINESS OFFERED FOR SALE OVER-THE COUNTER MEDICATION LATER THAN EXPIRATION DATE ON THE LABEL.","1","Default Decision",,"1",,"960","HALSEY ST",,,,,"BROOKLYN","NY","11233","-73.91590473667237","40.68570656193276"
"48844-2017-ENFO","05414437","ENTERPRISE YORK GARAGE LLC","2017-07-28T00:00:00.000","Garage - 049","Manhattan","NYC Admin Code § 20-327(a) - BUSINESS EXCEEDS VEHICLE CAPACITY.","14","Pleaded","14",,,"1175","YORK AVE",,,,,"NEW YORK","NY","10065","-73.95778007602088","40.76136134990866"
"11434-2020-ENFO","05448657","TASTY PICKS II CORP","2020-03-02T00:00:00.000","Grocery-Retail - 808","Bronx","NYC Admin Code § 20-708 - STORE DID NOT CONSPICUOUSLY DISPLAY THE TOTAL SELLING PRICE, AT POINT OF DISPLAY, FOR ITEM.","1","Pleaded","1",,,"89","E GUN HILL RD",,,,,"BRONX","NY","10467","-73.87964559673972","40.881706083225524"
"53335-2016-ENFO","05400087","IVANKA 99 CENTS & UP INC","2016-08-10T00:00:00.000","Misc Non-Food Retail - 817","Brooklyn","6 RCNY § 5-73(b)(1) - BUSINESS SOLD OR OFFERED TO SELL, OR CAUSED ANY PERSON TO SELL OR OFFER TO SELL, A BOX CUTTER TO ANY INDIVIDUAL UNDER EIGHTEEN YEARS OF AGE","1","Default Decision",,"1",,"314","AVENUE U",,,,,"BROOKLYN","NY","11223","-73.97248198591377","40.59705272878645"
"35250-2019-ENFO","05447070","RICKIE TEMAL","2019-07-01T00:00:00.000","Misc Non-Food Retail - 817","Queens","NYC Admin Code § 20-708 - STORE DID NOT CONSPICUOUSLY DISPLAY THE TOTAL SELLING PRICE, AT POINT OF DISPLAY, FOR ITEM.","2","Default Decision",,"2",,"13207","120TH AVE",,,,,"SOUTH OZONE PARK","NY","11420","-73.80607828908407","40.67486650416698"
"7996-2023-ENFO","23Q00200","K & P ASTORIA INC","2023-02-10T00:00:00.000","Tobacco Retail Dealer","Queens","24 RCNY § 13-03(b) - SELLING OR OFFERING FOR SALE A CIGAR OR PACKAGE OF CIGARS FOR LESS THAN THE CIGAR PRICE FLOOR OF $8.00 FOR THE FIRST CIGAR, PLUS $1.75 FOR EACH ADDITIONAL CIGAR, EXCLUDING OTP AND SALES TAX","1","Hearing Decision",,"1",,"3501","34TH ST",,,,,"ASTORIA","NY","11106","-77.51985429366893","40.112488965612265"
"70927-2022-ENFO","22M02527","I LOVE NEW YORK CONVENIENCE INC","2022-12-01T00:00:00.000","Tobacco Retail Dealer","Staten Island","NY Pub Health § 1399-GG(2)(C)  - OFFERING FOR SALE ANY PACKAGE OR OTHER CONTAINER WITH FEWER THAN 20 SHEETS OF CIGARETTE WRAPPING PAPERS, WRAPPING LEAVES, OR TUBES THAT CAN BE USED TO WRAP TOBACCO FOR SMOKING","1","Default Decision",,,"1","4569","AMBOY RD",,,,,"STATEN ISLAND","NY","10312","-77.51985511608723","40.11248835126014"
"49329-2016-ENFO","70040059","J & A DELI GROCER INC I","2016-07-26T00:00:00.000","Cigarette Retail Dealer - 127","Brooklyn","NYC Admin Code § 17-706(a) - SOLD TOBACCO PRODUCTS TO A PERSON UNDER 21 YEARS OF AGE","1","Pleaded","1",,,"330","LEWIS AVE",,,,,"BROOKLYN","NY","11221","-73.93536216982955","40.684486733737664"
