"vms","main_roadway","direction","cross_street","borough","borocode","borocd","coundist","assemdist","stsendist","congdist","type","owner","femafldz","femafldt","hrcevac","latitude","longitude","the_geom"
"605","West Shore Expwy (440)","SB","Bloomingdale Road","Staten Island","5",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.548798","-74.220757","POINT (-74.220757 40.548798)"
"505","Brooklyn Queens Expressway (I-278)","WB","49th Street","Queens","4",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.737917","-73.903946","POINT (-73.903946 40.737917)"
"114","Major Deegan Expressway (I-87)","NB","E.193rd Street","Bronx","2",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.869262","-73.907604","POINT (-73.907604 40.869262)"
"904","Cross Bronx Extension (I-295)","NB","Hollywood Avenue","Bronx","2",,,,,,"Travel Time","NYS DOT -R11",,,,"40.821766","-73.816152","POINT (-73.816152 40.821766)"
"106","Bruckner Expressway (I-278)","WB","White Plains Rd","Bronx","2",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.826183","-73.859689","POINT (-73.859689 40.826183)"
"601","Dr. Martin Luther King Expy (440)","SB","Watchogue Road","Staten Island","5",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.617536","-74.152318","POINT (-74.152318 40.617536)"
"602","Dr. Martin Luther King Expy (440)","NB","Walker Avenue","Staten Island","5",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.630874","-74.145463","POINT (-74.145463 40.630874)"
"0","Williamsburg Br North Outer Entrance","WB","North Outer Rdwy Entrance","Brooklyn","3","301","34","53","18","7","Gantry","NYC DOT -VMS","X","AREA OF MINIMAL FLOOD HAZARD",,"40.710138","-73.960235","POINT (-73.960235 40.710138)"
"111","Cross Bronx Extension (I-295)","NB","E. Tremont Avenue","Bronx","2",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.822935","-73.819714","POINT (-73.819714 40.822935)"
"407","West Street / West Side Hwy (9A)","SB","54th Street","Manhattan","1",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.769459","-73.99513","POINT (-73.99513 40.769459)"
"0","Hylan Blvd","EB/NB","Lincoln Ave","Staten Island","5","502","50","64","24","11","Portable/Fixed","NYC DOT -VMS","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","2","40.576126","-74.103965","POINT (-74.103965 40.576126)"
"539","Whitestone Expressway (I-678)","SB","14th Avenue","Queens","4",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.786732","-73.82437","POINT (-73.82437 40.786732)"
"0","Cross Bay Blvd","N/B","162 Ave","Queens","4","410","32","23","15","8","Portable/Fixed","NYC DOT -VMS","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","1","40.654243","-73.838759","POINT (-73.838759 40.654243)"
"0","Manhattan Br North Upper Rdwy","WB","Brooklyn Tower North","Manhattan","1","103","1","65","26","7","Gantry","NYC DOT -VMS","AE",,"0","40.705167","-73.989242","POINT (-73.989242 40.705167)"
"0","Long Island Expwy","WB","Little Neck Pkwy","Queens","4",,,,,,"Gantry - VMS","NYS DOT -R10",,,,"40.764431","-73.723419","POINT (-73.723419 40.764431)"
"101","Bronx River Parkway (907H)","SB","Sagamore Street","Bronx","2",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.848757","-73.871566","POINT (-73.871566 40.848757)"
"0","Grand Central Parkway (907M)","WB","Union Tpke/Clearview Expy","Queens","4",,,,,,"Gantry - VMS","NYS DOT -R10",,,,"40.73583","-73.742698","POINT (-73.742698 40.73583)"
"110","Cross Bronx Expressway (I-95)","SB","Olmstead Avenue","Bronx","2",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.83107","-73.854046","POINT (-73.854046 40.83107)"
"0","Manhattan Br Lower Rdwy","WB","Brooklyn Tower Lower","Brooklyn","3","302","33","52","26","7","Gantry","NYC DOT -VMS","AE",,"0","40.705083","-73.98943","POINT (-73.98943 40.705083)"
"520","Long Island Expressway (I-495)","WB","Btwn. BQE/Green Point Avenue","Queens","4",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.736397","-73.925886","POINT (-73.925886 40.736397)"
"604","Korean War Veterans Pkwy (909C)","SB","Notus Avenue","Staten Island","5",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.551211","-74.178293","POINT (-74.178293 40.551211)"
"518","Grand Central Parkway (907M)","NB","Northern Blvd./Connector","Queens","4",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.758343","-73.852608","POINT (-73.852608 40.758343)"
"614","Staten Island Expressway (I-278)","EB","Wooley Avenue","Staten Island","5",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.607453","-74.140892","POINT (-74.140892 40.607453)"
"517","Grand Central Parkway (907M)","SB","Northern Blvd./Connector","Queens","4",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.758278","-73.854647","POINT (-73.854647 40.758278)"
"402","West Street / West Side Hwy (9A)","NB","Hubert Street","Manhattan","1",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.721616","-74.011674","POINT (-74.011674 40.721616)"
"0","Flatbush Ave","N/B","Hendrickson Pl","Brooklyn","3","318","46","59","19","8","Portable/Fixed","NYC DOT -VMS","X","AREA OF MINIMAL FLOOD HAZARD","3","40.610675","-73.923143","POINT (-73.923143 40.610675)"
"108","Cross Bronx Expressway (I-95)","NB","Bathgate Avenue","Bronx","2",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.844333","-73.89842","POINT (-73.89842 40.844333)"
"609","West Shore Expwy (440)","NB","Victory Blvd.","Staten Island","5",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.590297","-74.193141","POINT (-74.193141 40.590297)"
"513","Grand Central Parkway (907M)","WB","at Ramp to LGA","Queens","4",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.771734","-73.871416","POINT (-73.871416 40.771734)"
"201","Brooklyn Queens Expressway (I-278)","WB","Kane Street","Brooklyn","3",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.687147","-73.999615","POINT (-73.999615 40.687147)"
"109","Cross Bronx Expressway (I-95)","SB","Ellis Avenue","Bronx","2",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.831866","-73.85675","POINT (-73.85675 40.831866)"
"104","Bruckner Expressway (I-278)","WB","E. 149th Street","Bronx","2",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.809749","-73.903077","POINT (-73.903077 40.809749)"
"0","West St","S/B","Battery Park Underpass","Manhattan","1","101","1","65","26","10","Fixed","NYC DOT -VMS","AE",,"1","40.705121","-74.016693","POINT (-74.016693 40.705121)"
"525","Long Island Expressway (I-495)","WB","Mazeau Street","Queens","4",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.726283","-73.890299","POINT (-73.890299 40.726283)"
"0","FDR Drive","NB","Old Slip","Manhattan","1","101","1","65","26","10","Gantry","NYC DOT -VMS","AE",,"1","40.703024","-74.007855","POINT (-74.007855 40.703024)"
"906","F.D.R. Drive","SB","E. 105th Street","Manhattan","1",,,,,,"Travel Time","NYS DOT -R11",,,,"40.787999","-73.938246","POINT (-73.938246 40.787999)"
"529","Long Island Expressway (I-495)","WB","112th Street","Queens","4",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.739031","-73.847823","POINT (-73.847823 40.739031)"
"910","Grand Central Parkway (907M)","EB","at Parson Blvd.","Queens","4",,,,,,"Travel Time","NYS DOT -R11",,,,"40.715816","-73.808128","POINT (-73.808128 40.715816)"
"0","I-95 (New England Thruway)","NB","Country Club Rd","Bronx","2","210","13","82","34","14","Gantry","NYC DOT -VMS","X","AREA OF MINIMAL FLOOD HAZARD","5","40.84276","-73.825563","POINT (-73.825563 40.84276)"
"509","Grand Central Parkway (907M)","WB","49th Street","Queens","4",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.767659","-73.901752","POINT (-73.901752 40.767659)"
"0","Cross Bay Blvd","N/B","17 RD","Queens","4","414","32","23","15","5","Portable/Fixed","NYC DOT -VMS","X","AREA OF MINIMAL FLOOD HAZARD","1","40.600963","-73.820491","POINT (-73.820491 40.600963)"
"606","West Shore Expwy (440)","NB","Rossville Avenue","Staten Island","5",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.554537","-74.213033","POINT (-74.213033 40.554537)"
"0","Major Deegan Service Road","SB","138 St","Bronx","2","201","8","84","29","15","Gantry","NYC DOT -VMS","X","AREA OF MINIMAL FLOOD HAZARD","1","40.812536","-73.931918","POINT (-73.931918 40.812536)"
"530","Long Island Expressway (I-495)","WB","138th Street","Queens","4",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.742786","-73.827749","POINT (-73.827749 40.742786)"
"0","Clearview Expwy","SB","53 Ave/Exits 4-5","Queens","4",,,,,,"Gantry - VMS","NYS DOT -R10",,,,"40.75098","-73.775017","POINT (-73.775017 40.75098)"
"534","Van Wyck Expressway (I-678)","SB","Jewel Avenue","Queens","4",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.727799","-73.8332","POINT (-73.8332 40.727799)"
"916","Long Island Expressway (I-495)","EB","at Peck Avenue","Queens","4",,,,,,"Travel Time","NYS DOT -R11",,,,"40.742418","-73.780557","POINT (-73.780557 40.742418)"
"502","Brooklyn Queens Expressway (I-278)","EB","58th Lane","Queens","4",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.736194","-73.909321","POINT (-73.909321 40.736194)"
"507","Brooklyn Queens Expressway (I-278)","WB","GCP/Connector at 30th Avenue","Queens","4",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.759667","-73.901317","POINT (-73.901317 40.759667)"
"405","West Street / West Side Hwy (9A)","SB","Gansevoort Street","Manhattan","1",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.739356","-74.010204","POINT (-74.010204 40.739356)"
"511","Grand Central Parkway (907M)","WB","94th Street","Queens","4",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.771726","-73.876147","POINT (-73.876147 40.771726)"
"524","Long Island Expressway (I-495)","EB","Grand Avenue","Queens","4",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.725332","-73.896409","POINT (-73.896409 40.725332)"
"203","Brooklyn Queens Expressway (I-278)","WB","Sands Street","Brooklyn","3",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.699902","-73.98453","POINT (-73.98453 40.699902)"
"0","Manhattan Br Lower Rdwy","WB","Entrance to Lwr Rdwy - at Nassau St","Brooklyn","3","302","33","52","25","8","Gantry","NYC DOT -VMS","X","AREA OF MINIMAL FLOOD HAZARD",,"40.698198","-73.98555","POINT (-73.98555 40.698198)"
"611","West Shore Expwy (440)","NB","Bloomfield Avenue","Staten Island","5",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.612226","-74.180095","POINT (-74.180095 40.612226)"
"538","Whitestone Expressway (I-678)","NB","25th Road","Queens","4",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.775976","-73.827868","POINT (-73.827868 40.775976)"
"112","Major Deegan Expressway (I-87)","NB","Willis Avenue","Bronx","2",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.807021","-73.92447","POINT (-73.92447 40.807021)"
"220","Gowanus Expressway (I-278)","EB","Fort Hamilton Pkwy","Brooklyn","3",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.622963","-74.02039","POINT (-74.02039 40.622963)"
"613","Staten Island Expressway (I-278)","EB","East of Cooke Street","Staten Island","5",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.616339","-74.159517","POINT (-74.159517 40.616339)"
"618","Staten Island Expressway (I-278)","EB","Lambert St","Staten Island","5",,,,,,"Travel Time","NYS DOT -R11",,,,"40.61736","-74.16095","POINT (-74.16095 40.61736)"
"0","Manhattan Br Lower Rdwy","EB","Bowery St","Manhattan","1","103","1","65","26","7","Gantry","NYC DOT -VMS","X","AREA OF MINIMAL FLOOD HAZARD",,"40.716179","-73.996055","POINT (-73.996055 40.716179)"
"102","Bronx River Parkway (907H)","SB","Alerton Avenue","Bronx","2",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.865416","-73.872263","POINT (-73.872263 40.865416)"
"917","Long Island Expressway (I-495)","WB","at Francis Lewis Blvd.","Queens","4",,,,,,"Travel Time","NYS DOT -R11",,,,"40.743728","-73.773691","POINT (-73.773691 40.743728)"
"615","Staten Island Expressway (I-278)","WB","Bradley Avenue","Staten Island","5",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.608398","-74.13218","POINT (-74.13218 40.608398)"
"222","Gowanus Expressway (I-278)","WB","26th Street","Brooklyn","3",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.661222","-74.000654","POINT (-74.000654 40.661222)"
"404","West Street / West Side Hwy (9A)","NB","Gansevoort Street","Manhattan","1",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.73938","-74.0097","POINT (-74.0097 40.73938)"
"608","West Shore Expwy (440)","NB","Muldoon Avenue","Staten Island","5",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.565924","-74.193603","POINT (-74.193603 40.565924)"
"0","Rockaway Blvd","W/B","5 Town Ceente","Queens","4","413","31","31","10","5","Portable/Fixed","NYC DOT -VMS","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","1","40.63651","-73.740326","POINT (-73.740326 40.63651)"
"915","Long Island Expressway (I-495)","WB","at Kissena Blvd.","Queens","4",,,,,,"Travel Time","NYS DOT -R11",,,,"40.738956","-73.81456","POINT (-73.81456 40.738956)"
"105","Bruckner Expressway (I-278)","EB","White Plains Rd","Bronx","2",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.825712","-73.859496","POINT (-73.859496 40.825712)"
"115","Hutchinson River Parway (908A)","SB","E. Tremont Avenue","Bronx","2",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.840762","-73.838661","POINT (-73.838661 40.840762)"
"0","Grand Central Parkway","EB","37 St","Queens","4","401","22","36","12","12","Gantry","NYC DOT -VMS","X","AREA OF MINIMAL FLOOD HAZARD",,"40.769418","-73.912767","POINT (-73.912767 40.769418)"
"0","Ocean Pkw","N/B","Shore Pwky","Brooklyn","3","313","48","45","23","11","Portable/Fixed","NYC DOT -VMS","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","2","40.58466","-73.966482","POINT (-73.966482 40.58466)"
"0","Long Island Expressway (I-495)","WB","Springfield Boulevard /Exits 29-28","Queens","4",,,,,,"Gantry - VMS","NYS DOT -R10",,,,"40.749682","-73.755851","POINT (-73.755851 40.749682)"
"403","West Street / West Side Hwy (9A)","SB","Hubert Street","Manhattan","1",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.721624","-74.012114","POINT (-74.012114 40.721624)"
"519","Long Island Expressway (I-495)","EB","Van Dam Street","Queens","4",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.737533","-73.935032","POINT (-73.935032 40.737533)"
"512","Grand Central Parkway (907M)","EB","97th Street","Queens","4",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.771401","-73.874055","POINT (-73.874055 40.771401)"
"0","Delancy St","EB","Forsyth St","Manhattan","1","103","1","65","26","7","Gantry","NYC DOT -VMS","X","AREA OF MINIMAL FLOOD HAZARD",,"40.719635","-73.992201","POINT (-73.992201 40.719635)"
"616","Staten Island Expressway (I-278)","EB","Gower Avenue","Staten Island","5",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.608821","-74.124112","POINT (-74.124112 40.608821)"
"914","Grand Central Parkway (907M)","WB","at Hewlett Street","Queens","4",,,,,,"Travel Time","NYS DOT -R11",,,,"40.759927","-73.714355","POINT (-73.714355 40.759927)"
"901","Major Deegan Expressway (I-87)","SB","E.193rd Street","Bronx","2",,,,,,"Travel Time","NYS DOT -R11",,,,"40.869424","-73.908098","POINT (-73.908098 40.869424)"
"913","Grand Central Parkway (907M)","EB","at Littleneck Pkwy","Queens","4",,,,,,"Travel Time","NYS DOT -R11",,,,"40.754587","-73.722506","POINT (-73.722506 40.754587)"
"514","Grand Central Parkway (907M)","SB","55th Avenue","Queens","4",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.743225","-73.846128","POINT (-73.846128 40.743225)"
"515","Grand Central Parkway (907M)","EB","68th Road","Queens","4",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.728291","-73.839433","POINT (-73.839433 40.728291)"
"202","Brooklyn Queens Expressway (I-278)","EB","Congress Street","Brooklyn","3",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.689294","-73.999078","POINT (-73.999078 40.689294)"
"0","FDR Drive","NB","111 st","Manhattan","1","111","8","68","29","13","Gantry","NYC DOT -VMS","AE",,"2","40.791681","-73.935326","POINT (-73.935326 40.791681)"
"902","Bruckner Expressway (I-278)","SB","Buhre Avenue","Bronx","2",,,,,,"Travel Time","NYS DOT -R11",,,,"40.848732","-73.82746","POINT (-73.82746 40.848732)"
"535","Van Wyck Expressway (I-678)","NB","Avery Avenue","Queens","4",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.751955","-73.836054","POINT (-73.836054 40.751955)"
"612","Staten Island Expressway (I-278)","WB","West of Lambert Street","Staten Island","5",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.617666","-74.160515","POINT (-74.160515 40.617666)"
"0","West St Underpass","S/B","Hugh L. Carry Tunnel","Manhattan","1","101","1","65","26","10","Fixed","NYC DOT -VMS","AE",,"1","40.708268","-74.015447","POINT (-74.015447 40.708268)"
"610","West Shore Expwy (440)","SB","Curry Avenue","Staten Island","5",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.609766","-74.182198","POINT (-74.182198 40.609766)"
"103","Bruckner Expressway (I-278)","EB","E. 149th Street","Bronx","2",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.809164","-73.902926","POINT (-73.902926 40.809164)"
"532","Van Wyck Expressway (I-678)","SB","Linden Blvd.","Queens","4",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.682802","-73.806088","POINT (-73.806088 40.682802)"
"506","Brooklyn Queens Expressway (I-278)","EB","GCP/Connector at 30th Avenue","Queens","4",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.760001","-73.898506","POINT (-73.898506 40.760001)"
"508","Grand Central Parkway (907M)","EB","31st Street","Queens","4",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.770503","-73.917577","POINT (-73.917577 40.770503)"
"533","Van Wyck Expressway (I-678)","NB","Jewel Avenue","Queens","4",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.727991","-73.832502","POINT (-73.832502 40.727991)"
"221","Gowanus Expressway (I-278)","EB","54th Street","Brooklyn","3",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.645129","-74.017077","POINT (-74.017077 40.645129)"
"0","Manhattan Br Lower Rdwy","EB","Manhattan Tower Lower","Manhattan","1","103","1","65","26","7","Gantry","NYC DOT -VMS","AE",,"0","40.708822","-73.991533","POINT (-73.991533 40.708822)"
"0","Shore Rd","W/B","City island Rd","Bronx","2","228","13","82","34","14","Portable/Fixed","NYC DOT -VMS","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","1","40.864684","-73.814026","POINT (-73.814026 40.864684)"
"503","Brooklyn Queens Expressway (I-278)","WB","Broadway","Queens","4",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.748655","-73.896039","POINT (-73.896039 40.748655)"
"504","Brooklyn Queens Expressway (I-278)","WB","25th Avenue","Queens","4",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.761512","-73.90166","POINT (-73.90166 40.761512)"
"501","Brooklyn Queens Expressway (I-278)","WB","58th Street","Queens","4",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.736673","-73.909085","POINT (-73.909085 40.736673)"
"0","Manhattan Br Entrance","WB","Tillary St","Brooklyn","3","302","33","52","25","8","Gantry","NYC DOT -VMS","X","AREA OF MINIMAL FLOOD HAZARD",,"40.696465","-73.984659","POINT (-73.984659 40.696465)"
"540","Long Island Expressway (I-495)","WB","Peck Avenue/Ent. Ramp I-495","Queens","4",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.74265","-73.7811","POINT (-73.7811 40.74265)"
"619","Staten Island Expressway (I-278)","WB","Hylan Blvd","Staten Island","5",,,,,,"Travel Time","NYS DOT -R11",,,,"40.606687","-74.07654","POINT (-74.07654 40.606687)"
"523","Long Island Expressway (I-495)","WB","Maurice Avenue","Queens","4",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.727535","-73.907014","POINT (-73.907014 40.727535)"
"911","Grand Central Parkway (907M)","WB","at 164th Street","Queens","4",,,,,,"Travel Time","NYS DOT -R11",,,,"40.71636","-73.802714","POINT (-73.802714 40.71636)"
"603","Korean War Veterans Pkwy (909C)","NB","Tyrellan Avenue","Staten Island","5",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.525462","-74.230392","POINT (-74.230392 40.525462)"
"521","Long Island Expressway (I-495)","EB","48th Street/Lower Lvl","Queens","4",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.731909","-73.919127","POINT (-73.919127 40.731909)"
"401","Harlem River Drive","SB","E. 150th Street","Manhattan","1",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.82421","-73.934652","POINT (-73.934652 40.82421)"
"0","Cross Island Parkway","SB","Exit 30/LIE","Queens","4",,,,,,"Gantry - VMS","NYS DOT -R10",,,,"40.759796","-73.751696","POINT (-73.751696 40.759796)"
"0","3 Avenue","SB","Major Deegan Expwy","Bronx","2","201","8","84","29","15","Gantry","NYC DOT -VMS","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","3","40.809678","-73.929293","POINT (-73.929293 40.809678)"
"0","Ocean Pkwy","N/B","Sea Breeze Ave","Brooklyn","3","313","48","46","23","8","Portable/Fixed","NYC DOT -VMS","AE",,"1","40.575274","-73.968823","POINT (-73.968823 40.575274)"
"536","Van Wyck Expressway (I-678)","SB","Avery Avenue","Queens","4",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.751865","-73.836461","POINT (-73.836461 40.751865)"
"537","Whitestone Expressway (I-678)","SB","25th Avenue","Queens","4",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.776691","-73.828243","POINT (-73.828243 40.776691)"
"0","I-95 (New England Thruway)","SB","Westchester Ave","Bronx","2","228","13","82","34","14","Gantry","NYC DOT -VMS","X","AREA OF MINIMAL FLOOD HAZARD","5","40.852999","-73.826539","POINT (-73.826539 40.852999)"
"903","Cross Bronx Expressway (I-95)","NB","Jerome Avenue","Bronx","2",,,,,,"Travel Time","NYS DOT -R11",,,,"40.845437","-73.914042","POINT (-73.914042 40.845437)"
"617","Staten Island Expressway (I-278)","EB","Renwick Avenue","Staten Island","5",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.610141","-74.106373","POINT (-74.106373 40.610141)"
"526","Long Island Expressway (I-495)","WB","84th Street","Queens","4",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.729552","-73.878744","POINT (-73.878744 40.729552)"
"527","Long Island Expressway (I-495)","EB","Woodhaven Blvd.","Queens","4",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.731454","-73.871641","POINT (-73.871641 40.731454)"
"204","Brooklyn Queens Expressway (I-278)","WB","Leonard Street","Brooklyn","3",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.717957","-73.948374","POINT (-73.948374 40.717957)"
"510","Grand Central Parkway (907M)","WB","76th Street","Queens","4",,,,,,"Gantry - VMS","NYS DOT -R11",,,,"40.766404","-73.89312","POINT (-73.89312 40.766404)"
"0","Williamsburg Br South Inner Rdwy","EB","Manhattan Approach","Manhattan","1","103","1","65","26","7","Gantry","NYC DOT -VMS","X","AREA OF MINIMAL FLOOD HAZARD","4","40.716117","-73.980914","POINT (-73.980914 40.716117)"
