"job_number","filing_type_name","filing_number","filing_status_name","permit_number","filing_date","permit_issued_date","permit_expiration_date","laasign_off_date","work_type_name","location_bin","location_house_no","location_street_name","location_borough_name","proposed_work_summary","building_type_name","inspection_type_name","inspection_date","latitude","longitude","zip_code","community_board","council_district","census_tract","nta"
"Q08041695","New Job Filing","I1","Permitted","Q08041695-I1-LA","2022-11-21T00:00:00.000","2022-11-21T00:00:00.000","2022-12-31T00:00:00.000",,"Gas Plumbing Work","4113236","148-09","NORTHERN BOULEVARD","QUEENS","GAS SHUT OFF BY UTILITY DUE TO LEAK. IN APT 2A (2ND FL) REPLACE APPLIANCE VALVE & GAS FLEX. IN THE CELLAR REPLACE METER BAR WITH CLASS 250 AND APPROX 5FT OF 3/4 inches GAS PIPING. PERFORM GAS TEST FROM METER IN CELLAR TO APPLIANCE TO OBTAIN GAS AUTH FOR COOKING. FIRESTOPS NOT COMPROMISED.","Other",,,"40.765318","-73.817764","11354","7","20","1163","Murray Hill"
"M-08041553","New Job Filing","EWN","Expired",,"2022-11-17T00:00:00.000",,"2022-11-21T00:00:00.000",,,"1013339","202","9 AVENUE","MANHATTAN","RENEWAL OF EWN-M-08039547. DUE TO CON EDISON SHUT DOWN PERFORM EMERGENCY REPAIRS TO RE-ESTABLISH HEAT/COOKING TO 4 RESIDENTIAL APARTMENTS.",,,,"40.746076","-74.001617","10011","4","3","93","Hudson Yards-Chelsea-Flatiron-Union Square"
"Q00798441","New Job Filing","I1","Permitted","Q00798441-I1-LA","2022-08-23T00:00:00.000","2022-08-23T00:00:00.000","2023-08-23T00:00:00.000",,"Gas Plumbing Work","4175492","84-38","250 STREET","QUEENS","Replacing Oil Boiler with new Gas Fired Navien Combo for Heat and DHW.Upgrading Meter Bar Class 500 A and Installing 30 feet Feet 1-1/4 inches Black Piping ;25 feet Feet 1 inches  Black Pipe;15 feet Feet 3/4 inches Black Pipe,To connect dryer in Cellar & 3/4 inches existing gas line to kitchen range stove (existing) on first floor. END USE for COOK HEAT  DRYER OTHER HW COIL COMBO TANKLESS. Navien Boiler is Directly Vented Please see sketch in documents tab.","1 Family",,,"40.734398","-73.71709","11426","13","23","157101","Bellerose"
"M08043469","New Job Filing","I1","Permitted","M08043469-I1-LA","2022-11-21T00:00:00.000","2022-11-21T00:00:00.000","2022-12-31T00:00:00.000",,"Water Plumbing Work","1047418","1140","FIFTH AVENUE","MANHATTAN","To Renew and Supersede our LAA# 140158816 which states: LOCATED ON 15TH/PH FLOOR, TO REPLACE LEAKING GALVANIZED OVERHEAD DOMESTIC WATER PIPING HOT AND COLD , ALL PIPING EXPOSED, USING APPROX 40FT OF 4 inches,100FT OF 21/2 inches AND 70FT OF 11/2 ALL COPPER PIPING AND RECONNECT TO EXISTING.IF ANY FURTHER WORK IS NEEDED TO BE DONE AND WILL EXCEED COSTS VALUE A PLAN WILL BE DRAWN AND SUPERCEDE THIS APPLICATION.  Firestop not to be compromised.","Other",,,"40.787205","-73.95594","10128","8","4","16001","Upper East Side-Carnegie Hill"
"B00744313","New Job Filing","I1","Signed off","B00744313-I1-LA","2022-05-25T00:00:00.000","2022-05-25T00:00:00.000","2023-01-30T00:00:00.000","2022-11-22T00:00:00.000","Water Plumbing Work","3157652","7115","13 AVENUE","BROOKLYN","ON THE 2ND FLOOR, WE WILL REPLACE ONE (1) LAVATORY, ONE (1) WATER CLOSET, ONE (1) TUB AND ONE (1) KITCHEN SINK ON EXISTING ROUGHING. NO CHANGE OF USE, EGRESS OR OCCUPANCY","Other","Pass-Final","2022-11-21T00:00:00.000","40.622437","-74.005194","11228","10","43","196","Dyker Heights"
"Q08043123","New Job Filing","I1","Pre-Filing",,,,"2023-02-20T00:00:00.000",,"Gas Plumbing Work","4253937","130-41","118 STREET","QUEENS","FILE  CONJUCTON WITH EWN#Q08041105,GAS TURN OFF BY UTILITY. LEAK AT HEADER. TASK 87 MADE REPAIRS.  LINE TESTED GAS TURN ON ON 11/21@ 4:00 PM REG/REP. (1) EXISTING FURNACE & (1) HOWWATER HEATER, VENTED THRU EXISTING CHIMNEY IN GOOD WORKING CONDITION. REP. 45 FT OF 11/4 inches & 30 FT OF 3/4 inches GAS PIPE.","1 Family",,,"40.674048","-73.820778","11420","10","32","840","South Ozone Park"
"M00748458","Subsequent Filing","S1","Permitted","M00748458-S1-LA","2022-11-21T00:00:00.000","2022-11-21T00:00:00.000","2023-06-27T00:00:00.000",,"Gas Plumbing Work","1044830","310","EAST   70 STREET","MANHATTAN","IN THE 10TH FLOOR IN APARTMENT 10K EXTEND GAS LINE ABOUT 3 FEET FROM EXISTING GAS VALVE TO INSTALL NEW COOKTOP. ORIGINAL GAS RISER VALVE TO REMAIN.","Other",,,"40.767233","-73.958722","10021","8","5","126","Lenox Hill-Roosevelt Island"
"B-08041516","New Job Filing","EWN","Expired",,"2022-11-17T00:00:00.000",,"2022-11-21T00:00:00.000",,,"3078620","218","WEIRFIELD STREET","BROOKLYN","GAS LEAK & SHUTDOWN. TEST EXISTING GAS LINE FOR HW HEATER & RESIDENTIAL COOKING. MAKE NECESSARY REPAIRS. HEAT IS OIL",,,,"40.691385","-73.910824","11221","4","37","413","Bushwick South"
"M07998682","PAA","P1","Approved",,"2022-11-21T00:00:00.000",,,,"Water Plumbing Work","1000794","88","GREENWICH STREET","MANHATTAN","CAP/REMOVE (1) ONE KITCHEN SINK AND (1) ONE GAS RANGE IN APT. 1020 ON 10th FLOOR. COMBINING TWO APARTMENTS. FILED IN CONJUNCTION WITH GC APPLICATION M08011127-I1.","Other",,,"40.707731","-74.013706","10006","1","1","13","Battery Park City-Lower Manhattan"
"M00398661","New Job Filing","I1","Signed off","M00398661-I1-LA","2020-09-14T00:00:00.000","2020-09-14T00:00:00.000","2023-03-25T00:00:00.000","2022-11-22T00:00:00.000","Oil Work","1062257","551","WEST  152 STREET","MANHATTAN","SUPERSEDE LAA#140433243 (LETTER ATTACHED). IN THE CELLAR WE WILL REGISTER/REPLACE (1) WEIL MCLAIN-BL (MDL#380; 340,000 BTU) & (1)BECKETT BURNER (MDL#CF500-W; 340,000 BTU) VENTED THROUGH THE EXISTING CHIMNEY IN GOOD WORKING CONDITION. THIS IS A OIL TO OIL REPLACEMENT. FIRESTOPS WILL NOT BE COMPROMISED.","Other","Pass-Final","2022-11-18T00:00:00.000","40.830431","-73.946209","10031","9","7","237","Hamilton Heights"
"M00734067","New Job Filing","I1","Signed off","M00734067-I1-LA","2022-05-09T00:00:00.000","2022-05-09T00:00:00.000","2023-02-08T00:00:00.000","2022-11-22T00:00:00.000","Water Plumbing Work","1043038","155","EAST   73 STREET","MANHATTAN","IN UNIT 6B ON THE 6TH FLOOR, IN THE MAIN BATHROOM, REPLACE TOILET, LAV AND TUB W/ NEW SHOWER BODY ALL IN THE SAME LOCATIONS USING APPROX 10 FT OF 2 inches NO HUB PIPE AND 35 FT OF 1/2 inches COPPER PIPE. ALSO REPLACE HOT & COLD WATER VALVES AND BRANCH LINES BACK TO RISERS. FIRESTOPS WILL NOT BE COMPROMISED.","Other","Pass-Final","2022-11-21T00:00:00.000","40.770901","-73.961193","10021","8","4","128","Upper East Side-Carnegie Hill"
"Q00732247","New Job Filing","I1","Permitted","Q00732247-I1-LA","2022-05-05T00:00:00.000","2022-05-05T00:00:00.000","2023-03-25T00:00:00.000",,"Gas Plumbing Work","4166385","222-13","BRADDOCK AVENUE","QUEENS","to remove violation No# 39056419P to remove the tees in line going to the second floor and on the boiler and HWH. and remove the bushing from the boiler gas line and the union on the gas to the boiler need gas test and finish all work done in the cellar existing meters","Other",,,"40.728847","-73.737625","11428","13","23","1301","Bellerose"
"B08043207","New Job Filing","I1","Pre-Filing",,,,"2023-01-30T00:00:00.000",,"Gas Plumbing Work","3157651","7117","13 AVENUE","BROOKLYN","IN CELLAR WE feetLL REGISTER/REPLACE (1) GAS BOIER BURNHAM MODEL 205NIL-GEZ 130,000 BTU feetS, ANSI Z21.13B-2007 AND (1) HWH AO SMITH MODEL XCV40 100 40,000 BTU feetS CSA 4.1B-2006. ADDITIONATLLY WE WILL ISNTALL APPROX 60 feet OF 1 1/4 inches AND 30 feet OF 3/4 inches GAS PIPE IN CELLAR. VENTILATION THRU EXISTING CHIMNEY IN GOOD CONDITION GAS TEST AND GAS AUTHORIZATION REQUIRED. FIRE STOPS WILL NOT BE COMPROMISED.","Other",,,"40.622429","-74.005202","11228","10","43","196","Dyker Heights"
"B00776319","PAA","P1","Approved",,"2022-11-21T00:00:00.000",,,,"Oil Work","3163419","8002","21 AVENUE","BROOKLYN","Installation of a temporary mobile steam trailer outside the building to provide temporary heat and hot water. Mobile boiler is a Best 4B-60 rated at 60 H.P. boiler registration #MD112518-01. In conjunction with electrical application #B00775611.","Other",,,"40.606589","-73.992624","11214","11","47","272","Bensonhurst West"
"Q08043233","New Job Filing","I1","Pre-Filing",,,,"2023-05-01T00:00:00.000",,,"4037053","86-10","ROOSEVELT AVENUE","QUEENS","Office space 2B and 2C.","Other",,,"40.748039","-73.879988","11372","4","21","26901","Elmhurst"
"B08043014","New Job Filing","I1","Pre-Filing - Penalty Review",,,,"2023-03-11T00:00:00.000",,"Gas Plumbing Work","3169978","2014","CROPSEY AVENUE","BROOKLYN","FILING TO PERFORM MINOR GAS REPAIRS ON THE 2 inches EXISTING RISER REMOVE ILLEGAL GAS FITTINGS ON THE RISER AS NECESSARY REPACE APPROX 4FT OF 2 inches GAS PIPE AND PERFORM A GAS PRESSURE TEST AS GAS WAS SHUT BY UTILITY CO. RISER SERVICING 3 EXISTING HVAC UNITS ON THE ROOF INSTALLED AND SIGNED OFF UNDER APPLICATION# 301298708 AND AN EXT HW HEATER IN THE CELLAR. GAS TEST AND AUTHORIZATION REQUIRED. GAS USES ARE HVAC, HW HEATER.","Other",,,"40.599955","-74.002467","11214","11","43","286","Bath Beach"
"M08023068","New Job Filing","I1","Permitted","M08023068-I1-LA","2022-10-19T00:00:00.000","2022-10-19T00:00:00.000","2022-12-31T00:00:00.000",,"Gas Plumbing Work","1089351","115","EAST   97 STREET","MANHATTAN","FILING IN CONJUNCTION W/ APPLICATION #121189864 TO PROVIDE TEMPORARY HEAT FOR THE BOILER ON THE 10TH FL & HVAC UNIT ON THE ROOF.RUN APPROX 200 feet X 6 inches & 40 feet X 4 inches GAS PIPE FOR BOILER & APPROX 130 feet OF 2 inches GAS PIPE FOR HVAC.GAS ROUGH INSPECTION DONE UNDER #121189864.GAS TURRENTS & FLAME HOODS ON 8TH & 9TH FL ALSO CONNECTED TO EXG METER.INSTALL (3)  SPRINKLER HEADS IN CELLAR BOILER ROOM & RUN APPROX 100 feet X 3/4 inches COPPER PIPE. CONNECTING TO EXISTING DOMESTIC WATER SERVICE.FIRESTOPS WILL NOT BE COMPROMISED","Other",,,"40.786874","-73.951206","10029","11","5","15802","East Harlem South"
"B08043625","New Job Filing","I1","Pre-Filing - Penalty Review",,,,"2022-11-26T00:00:00.000",,"Gas Plumbing Work","3080319","37","GRANITE STREET","BROOKLYN","REPLACE THE DEFECTIVE 1/2 inches GAS LINE WITH NEW 3/4 inches SCHEDULE #40 BLACK PIPE AND FITTINGS, BEGINNING FROM THE EXISTING METER BAR IN THE CELLAR, RUN AND CONNECT TO THE EXISITNG STOVE ON THE FIRST FLOOR FOR APARTMENT #1R. FIRE STOPPING WILL BE RESTORED TO PRIOR LEGAL CONDITIONS.","2 Family",,,"40.682714","-73.907641","11207","4","37","403","Bushwick South"
"X08043438","New Job Filing","I1","Permitted","X08043438-I1-LA","2022-11-21T00:00:00.000","2022-11-21T00:00:00.000","2023-01-01T00:00:00.000",,"Gas Plumbing Work","2001630","1088","BROOK AVENUE","BRONX","Need to perform integrity test on existing gas piping for three of the commercial spaces in building to provide Utility Company with blue card to unlock gas service. No firestopping will be compromised. No gas piping will be installed in public hallways.","Other",,,"40.8293","-73.910769","10456","3","16","143","East Concourse-Concourse Village"
"Q00737747","New Job Filing","I1","Signed off","Q00737747-I1-LA","2022-07-20T00:00:00.000","2022-07-20T00:00:00.000","2023-05-31T00:00:00.000","2022-11-22T00:00:00.000","Gas Plumbing Work","4081605","280","ONDERDONK AVENUE","QUEENS","DUE TO LL152 INSPECTION FOR (4) RES.APTS.1L,1R,2L,2R;BSMT-2ND FL.REPL. APPROX. 300FT OF 3/4 inches BLK PIPE FROM BSMT-2ND FL.REPL.5-METER BARS & 1 1/4 inches GAS MANIFOLD HEADER FOR COOKING&HHW.ALL MTRS EXISTING & IN BSMT.PIPING THRU APTS.NOT HALLWAYS.FIRESTOPS TO BE RESTORED.REPL.APPROX. 75 FT OF 1 1/4 inches BLK PIPE & APPROX. 20 FT OF 3/4 inches BLK PIPE FOR (1)BLR&(1)WH.REGISTER EXISTING BURNHAM KIN7 BLR,INPUT:210,000BTUS & REGISTER REPLACE 1-AO SMITH PCG75, INPUT:75,100 WH.CONNECT TO EXISTG.CHMNY IN GOOD CONDITION","Other","Pass-Final","2022-11-21T00:00:00.000","40.709285","-73.916203","11385","5","34","539","Ridgewood"
"X08019699","New Job Filing","I1","Permitted","X08019699-I1-LA","2022-11-21T00:00:00.000","2022-11-21T00:00:00.000","2023-02-19T00:00:00.000",,"Gas Plumbing Work","2013088","1973","SOUTHERN BOULEVARD","BRONX","THE REPAIR OF EXISTING GAS LINE TO THE EXISTING HVAC UNIT ON THE ROOF INSTALL UNDER PERMIT #201132452;REPLACE OLD METER BAR AND INSTALL A NEW CLASS 250 METER BAR REQUIRED BY CON EDISON. USING ABOUT 15 feet OF 1 inches BLACK PIPE .NO FIRE STOP WILL BE COMPROMISE AND NO WORK WILL BE DONE IN PUBLIC HALLWAY","Other",,,"40.843171","-73.885581","10460","6","17","36501","East Tremont"
"B00739670","PAA","P1","Approved",,"2022-11-21T00:00:00.000",,,,"Oil Work","3171510","1012","AVENUE K","BROOKLYN","Installation of a temporary mobile steam trailer outside the building to provide temporary heat and hot water. Mobile boiler is a Best Boiler registration #MD112518-01. In conjunction with electrical application #B00734999-I1-EL.","Other",,,"40.622281","-73.96548","11230","12","44","454","Ocean Parkway South"
"B08043751","New Job Filing","I1","Permitted","B08043751-I1-LA","2022-11-21T00:00:00.000","2022-11-21T00:00:00.000","2023-04-05T00:00:00.000",,"Gas Plumbing Work","3011049","4307","8 AVENUE","BROOKLYN","REPLACE OLD GAS BL WITH A NEW GAS BL & A HWH AT EX BL RM IN CEL. RUN APPROX. 25 feet OF 3/4 inches GAS PIPING FOR BL & HWH. VENT USE EX. CHIMNEY WHICH IS IN GOOD WORKING CONDITION. NO GAS PIPING AT PUBLIC HALLWAY.  FIRE STOP IS NOT COMPROMISED.","Other",,,"40.644928","-73.999741","11232","12","38","92","Sunset Park East"
"Q00774702","PAA","P1","Pre-Filing",,,,,,"Gas Plumbing Work","4187957","7617","101 AVENUE","QUEENS","Gas shut off by utility company due to gas leak. Tighten elbow that is leaking. Perform gas test for 1 ext gas meter in cellar supplying gas usage to 1 hot water heater in cellar, 1 salamander on 1st floor, 1 pizza oven on 1st floor, 1 six burner stove on 1st floor and 1 deep fryer on 1st floor. Firestopping will not be compromised.","Other",,,"40.679945","-73.861226","11416","9","32","42","Woodhaven"
"X-00359015","New Job Filing","EWN","Pre-Filing",,,,,,,"2074206","2866","HARRINGTON AVENUE","BRONX","Gas turned off to three apartments. We will test existing gas lines. Theses are the only gas lines in building . Laa to follow",,,,"40.839759","-73.833353","10461","10","13","264","Schuylerville-Throgs Neck-Edgewater Park"
"M08020605","New Job Filing","I1","Permitted","M08020605-I1-LA","2022-10-13T00:00:00.000","2022-10-13T00:00:00.000","2022-12-06T00:00:00.000",,"Water Plumbing Work","1001988","5","WHITE STREET","MANHATTAN","REPLACE ON EXISTING ROUGHING (1) KITCHEN SINK, (1) TOILET & (1) TUB. RELOCATE (1) LAV & RUN APPROX 2 feet OF 2 inches NO HUB PIPE. RELOCATE (1) STOVE APPROX 10 feet & RUN APPROX 12 feet OF 3/4 inches GAS PIPE. COMMON METER IS EXISTING. FIRESTOPS WILL NOT BE COMPROMISED. ALL WORK DONE IN APT #4A ON THE 4TH FL. LOFT BUILDING PER #120624770","Other",,,"40.719322","-74.005887","10013","1","1","33","SoHo-TriBeCa-Civic Center-Little Italy"
"M00524405","New Job Filing","I1","Signed off","M00524405-I1-LA","2021-05-18T00:00:00.000","2021-05-18T00:00:00.000","2021-11-21T00:00:00.000","2021-10-16T00:00:00.000","Water Plumbing Work","1078988","15","BROAD STREET","MANHATTAN","Location: 36th floor. Apt. 3610: Replace on existing roughing (1) bathtub, (1) lavatory sink, (1) water closet, (1) kitchen sink, (1) dishwasher. No firestopping to be compromised.","Other","Pass-Final","2021-10-15T00:00:00.000","40.706531","-74.011022","10005","1","1","7","Battery Park City-Lower Manhattan"
"Q-00094333","New Job Filing","EWN","Expired",,"2018-10-30T00:00:00.000",,"2018-11-01T00:00:00.000",,,"4084039","59-09","CATALPA AVENUE","QUEENS","DUE TO CRACKED BOILER, TEST EXISTING GAS LINE AND MAKE NECESSARY REPAIRS.",,,,"40.702545","-73.900685","11385","5","30","585","Ridgewood"
"Q00594692","PAA","P1","Pre-Filing",,,,,,"Water Plumbing Work","4207643","139-08","85 DRIVE","QUEENS","CAP/REMOVE ONE (3 )PIECE BATHROOM(TOILET, SHOWER, LAVATORY) AT CELLAR LEVEL, CAP/REMOVE (1) RESIDENTIAL SINK AT CELLAR LEVEL, THERE IS NO CHANGE OF USAGE, EGRESS, OR OCCUPANCY UNDER THIS APPLICATION, THERE IS NO FIRE STOPPING TO BE COMPROMISED.THIS IS ONE FAMILY DWELLING ONLY, WE CAP/REMOVE ONLY 3 PIECE BATHROOM, DIDN feetT TOUCH THE  FIRST FLOOR KITCHEN, SO THERE IS NO CHANGE OF OCCUPANCY. PLEASE SEE THE ATTACHED C OF O.","1 Family",,,"40.70879","-73.816562","11435","8","24","214","Briarwood-Jamaica Hills"
"B00776544","New Job Filing","I1","Signed off","B00776544-I1-LA","2022-07-18T00:00:00.000","2022-07-18T00:00:00.000","2022-12-31T00:00:00.000","2022-12-03T00:00:00.000","Fire Suppression Work","3388854","699","92 STREET","BROOKLYN","Rearrange 10 feet-0 inches of 1 inches piping and replace 1 feet-0 inches of 2 inches piping on the 1st floor.  FDNY notification not required as the system will be down less the 8 hours.  No change to use, occupancy or egress.","Other","Pass-Final","2022-12-02T00:00:00.000","40.614879","-74.023372","11228","10","43","152","Dyker Heights"
"M08048826","New Job Filing","I1","Permitted","M08048826-I1-LA","2022-12-02T00:00:00.000","2022-12-02T00:00:00.000","2023-01-06T00:00:00.000",,"Fire Suppression Work","1087665","333","EAST   91 STREET","MANHATTAN","IN APT #32CD ON THE 32ND FLOOR, WILL REARRANGE/REPLACE (5) SPRINKLER HEADS USING APPROX 30 feet OF 1 inches PIPE. SPRINKLER SYSTEM WILL BE SHUTDOWN FOR LESS THAN 8 HOURS. SPRINKLER SYSTEM IS EXISTING AS PER ALT#104723060. FIRESTOPS WILL NOT BE COMPROMISED.","Other",,,"40.780692","-73.948521","10128","8","5","154","Yorkville"
"M00777523","New Job Filing","I1","Signed off","M00777523-I1-LA","2022-07-19T00:00:00.000","2022-07-19T00:00:00.000","2023-01-24T00:00:00.000","2022-10-26T00:00:00.000","Fire Suppression Work","1081691","423","EAST   23 STREET","MANHATTAN","REARRANGEMENT OF (4) SPRINKLER HEADS WITH 40 feet OF 1 inches PIPING CONNECTED TO THE WET SYSTEM ON THE 6TH FLOOR. THE SYSTEM WILL BE DOWN FOR LESS THAN 6 HOURS.","Other","Pass-Final","2022-10-25T00:00:00.000","40.736492","-73.977787","10010","6","4","62","Murray Hill-Kips Bay"
"B00794401","PAA","P1","Approved",,"2022-09-08T00:00:00.000",,,,"Gas Plumbing Work","3069610","750","GRAND STREET","BROOKLYN","In apts 3C on 3rd floor, and 4E, 4F and 4G on 4th floor, direct replacement of 1 toilet, 1 lav sink, 1 bathtub and 1 kitchen sink on existing roughing in each apt. Cap/remove gas stove in each apt. (Valve to be capped in each individual apt, building is Common/master meter). All stove in all 4 apt to be converted to electric under electrical application B00736418-S1 No firestops compromised.","Other",,,"40.711716","-73.943041","11211","1","34","495","East Williamsburg"
"B00777326","New Job Filing","I1","Signed off","B00777326-I1-LA","2022-07-19T00:00:00.000","2022-07-19T00:00:00.000","2023-07-01T00:00:00.000","2022-10-27T00:00:00.000","Gas Plumbing Work","3244508","212","NEPTUNE AVENUE","BROOKLYN","EWN#B00776338;OIL TO GAS CONV;REPLACE BOILER&INSTALL WATER HTR(WEIL MCLAIN, EG-50, 175,000 BTU, CSA 1052-81 & AO SMITH, XCRL-50, 40,000 BTU INP, CSA 2901-05)CONNECT TO EXIST CHIMN-LINED&IN GOOD COND-INSTALL NEW METER BAR & APP 50 FT OF 1 1/4 inches GAS PIPE FROM NEW METER TO NEW EQUIP IN CEL/BLR RM W/ NEW APPLIANCE VALVE.FIRESTOPS TO BE RESTORED TO CODE COMPLIANT CONDITION;NO PIPE IN HALLWAY.TEST ALL NEW PIPE.275 GAL OIL TANK TO BE REMOVED.REQ 1 ADDTL METER FOR HEAT&WH. EXIST EQUIP S/O ON 320804395.","Other","Pass-Final","2022-10-26T00:00:00.000","40.581665","-73.961274","11235","13","48","364","Brighton Beach"
