"extract_run_date","randomized_id","closed_year","case_type","days_from_received_date_to","re_opened","ever_on_da_hold","outcome_path","case_disposition","borough_of_incident","patrol_borough_of_incident","stop_question_frisk_complaint"
"2018-05-25T00:00:00.000","52","2000","CCRB","112","false","false","Truncated","Complaint Withdrawn","Manhattan","Manhattan South","false"
"2018-05-25T00:00:00.000","53","2000","CCRB","388","false","false","Full Investigation","Unfounded","Brooklyn","Brooklyn South","false"
"2018-05-25T00:00:00.000","54","2000","CCRB","74","false","false","Truncated","Complainant Uncooperative","Bronx","Bronx","false"
"2018-05-25T00:00:00.000","55","2000","CCRB","125","false","false","Full Investigation","Unsubstantiated","Manhattan","Manhattan North","false"
"2018-05-25T00:00:00.000","56","2000","CCRB","367","false","false","Full Investigation","Exonerated","Brooklyn","Brooklyn North","false"
"2018-05-25T00:00:00.000","57","2000","CCRB","57","false","false","Truncated","Complainant Uncooperative","Queens","Queens South","false"
"2018-05-25T00:00:00.000","58","2000","CCRB","66","false","false","Truncated","Complainant Uncooperative","Brooklyn","Brooklyn North","false"
"2018-05-25T00:00:00.000","59","2000","CCRB","76","false","false","Truncated","Alleged Victim Uncooperative","Manhattan","Manhattan South","false"
"2018-05-25T00:00:00.000","60","2000","CCRB","399","false","false","Mediation Attempted","Mediation Attempted","Manhattan","Manhattan North","false"
"2018-05-25T00:00:00.000","61","2000","CCRB","66","false","false","Truncated","Complainant Unavailable","Brooklyn","Brooklyn North","false"
"2018-05-25T00:00:00.000","62","2000","CCRB","84","false","false","Truncated","Complaint Withdrawn","Manhattan","Manhattan South","false"
"2018-05-25T00:00:00.000","63","2000","CCRB","118","false","false","Truncated","Complainant Unavailable","Queens","Queens North","false"
"2018-05-25T00:00:00.000","64","2000","CCRB","116","false","false","Truncated","Complainant Uncooperative","Bronx","Bronx","false"
"2018-05-25T00:00:00.000","65","2000","CCRB","222","false","false","Truncated","Complainant Uncooperative","Brooklyn","Brooklyn North","false"
"2018-05-25T00:00:00.000","66","2000","CCRB","288","false","false","Full Investigation","Unfounded","Bronx","Bronx","true"
"2018-05-25T00:00:00.000","67","2000","CCRB","386","false","false","Full Investigation","Unsubstantiated","Queens","Queens North","false"
"2018-05-25T00:00:00.000","68","2000","CCRB","334","false","false","Full Investigation","Unsubstantiated","Manhattan","Manhattan North","true"
"2018-05-25T00:00:00.000","69","2000","CCRB","98","false","false","Truncated","Complaint Withdrawn","Brooklyn","Other","false"
"2018-05-25T00:00:00.000","70","2000","CCRB","72","false","false","Truncated","Alleged Victim Unavailable","Bronx","Bronx","false"
"2018-05-25T00:00:00.000","71","2000","CCRB","376","false","false","Full Investigation","Unsubstantiated","Manhattan","Other","false"
"2018-05-25T00:00:00.000","72","2000","CCRB","350","false","false","Full Investigation","Unsubstantiated","Queens","Queens South","true"
"2018-05-25T00:00:00.000","73","2000","CCRB","161","false","false","Truncated","Complainant Uncooperative","Queens","Other","true"
"2018-05-25T00:00:00.000","74","2000","CCRB","334","false","false","Full Investigation","Unfounded","Brooklyn","Brooklyn North","false"
"2018-05-25T00:00:00.000","75","2000","CCRB","99","false","false","Truncated","Complainant Unavailable","Brooklyn","Brooklyn North","false"
"2018-05-25T00:00:00.000","76","2000","CCRB","185","false","false","Truncated","Complainant Unavailable","Bronx","Bronx","true"
"2018-05-25T00:00:00.000","77","2000","CCRB","447","false","false","Full Investigation","Unsubstantiated","Brooklyn","Brooklyn South","false"
"2018-05-25T00:00:00.000","78","2000","CCRB","184","false","false","Full Investigation","Exonerated","Queens","Queens North","false"
"2018-05-25T00:00:00.000","79","2000","CCRB","519","false","false","Full Investigation","Exonerated","Manhattan","Manhattan South","false"
"2018-05-25T00:00:00.000","80","2000","CCRB","74","false","false","Truncated","Complainant Uncooperative","Staten Island","Staten Island","false"
"2018-05-25T00:00:00.000","81","2000","CCRB","59","false","false","Truncated","Complaint Withdrawn","Bronx","Bronx","false"
"2018-05-25T00:00:00.000","82","2000","CCRB","131","false","false","Truncated","Complainant Uncooperative","Brooklyn","Brooklyn North","true"
"2018-05-25T00:00:00.000","83","2000","CCRB","144","false","false","Full Investigation","Substantiated (Command Discipline)","Queens","Queens North","true"
"2018-05-25T00:00:00.000","84","2000","CCRB","89","false","false","Truncated","Complainant Uncooperative","Bronx","Bronx","false"
"2018-05-25T00:00:00.000","85","2000","CCRB","262","false","false","Full Investigation","Exonerated","Queens","Queens South","false"
"2018-05-25T00:00:00.000","86","2000","CCRB","223","false","false","Truncated","Complainant Unavailable","Brooklyn","Brooklyn North","false"
"2018-05-25T00:00:00.000","87","2000","CCRB","65","false","false","Truncated","Complainant Unavailable","Brooklyn","Brooklyn North","false"
"2018-05-25T00:00:00.000","88","2000","CCRB","148","false","false","Truncated","Complainant Uncooperative","Staten Island","Staten Island","false"
"2018-05-25T00:00:00.000","89","2000","CCRB","80","false","false","Truncated","Complainant Unavailable","Manhattan","Manhattan South","false"
"2018-05-25T00:00:00.000","90","2000","CCRB","70","false","false","Truncated","Complainant Uncooperative","Manhattan","Manhattan North","false"
"2018-05-25T00:00:00.000","91","2000","CCRB","378","false","false","Full Investigation","Unsubstantiated","Brooklyn","Brooklyn North","false"
"2018-05-25T00:00:00.000","92","2000","CCRB","166","false","false","Full Investigation","Unsubstantiated","Bronx","Other","false"
"2018-05-25T00:00:00.000","93","2000","CCRB","435","false","false","Full Investigation","Unsubstantiated","Manhattan","Manhattan North","false"
"2018-05-25T00:00:00.000","94","2000","CCRB","611","false","false","Full Investigation","Substantiated (Charges)","Manhattan","Manhattan North","false"
"2018-05-25T00:00:00.000","95","2000","CCRB","46","false","false","Truncated","Complainant Unavailable","Manhattan","Manhattan South","false"
"2018-05-25T00:00:00.000","96","2000","CCRB","309","false","false","Full Investigation","Officer(s) Unidentified","Manhattan","Other","false"
"2018-05-25T00:00:00.000","97","2000","CCRB","445","false","false","Full Investigation","Exonerated","Manhattan","Manhattan South","false"
"2018-05-25T00:00:00.000","98","2000","CCRB","78","false","false","Truncated","Complainant Uncooperative","Brooklyn","Brooklyn North","false"
"2018-05-25T00:00:00.000","99","2000","CCRB","338","false","false","Full Investigation","Exonerated","Bronx","Bronx","false"
"2018-05-25T00:00:00.000","100","2000","CCRB","226","false","false","Full Investigation","Exonerated","Brooklyn","Brooklyn South","true"
"2018-05-25T00:00:00.000","101","2000","CCRB","356","false","false","Full Investigation","Exonerated","Manhattan","Manhattan North","false"
"2018-05-25T00:00:00.000","102","2000","CCRB","286","false","false","Full Investigation","Unfounded","Manhattan","Other","false"
"2018-05-25T00:00:00.000","103","2000","CCRB","270","false","false","Full Investigation","Unsubstantiated","Bronx","Bronx","false"
"2018-05-25T00:00:00.000","104","2000","CCRB","349","false","false","Full Investigation","Officer(s) Unidentified","Bronx","Bronx","true"
"2018-05-25T00:00:00.000","105","2000","CCRB","349","false","false","Full Investigation","Unsubstantiated","Bronx","Bronx","false"
"2018-05-25T00:00:00.000","106","2000","CCRB","430","false","false","Full Investigation","Exonerated","Manhattan","Manhattan North","false"
"2018-05-25T00:00:00.000","107","2000","CCRB","440","false","false","Full Investigation","Unfounded","Manhattan","Manhattan North","false"
"2018-05-25T00:00:00.000","108","2000","CCRB","87","false","false","Truncated","Complainant Unavailable","Manhattan","Manhattan North","false"
"2018-05-25T00:00:00.000","109","2000","CCRB","223","false","false","Full Investigation","Unsubstantiated","Brooklyn","Brooklyn South","false"
"2018-05-25T00:00:00.000","110","2000","CCRB","166","false","false","Truncated","Alleged Victim Unavailable","Queens","Queens South","false"
"2018-05-25T00:00:00.000","111","2000","CCRB","73","false","false","Truncated","Complainant Uncooperative","Queens","Queens South","false"
"2018-05-25T00:00:00.000","112","2000","CCRB","165","false","false","Truncated","Complainant Uncooperative","Brooklyn","Brooklyn North","false"
"2018-05-25T00:00:00.000","113","2000","CCRB","101","false","false","Other","Duplicate - CCRB","Manhattan","Other","false"
"2018-05-25T00:00:00.000","676","2000","CCRB","133","false","false","Truncated","Complaint Withdrawn",,"Other","false"
"2018-05-25T00:00:00.000","114","2000","CCRB","247","false","false","Truncated","Complainant Uncooperative","Brooklyn","Brooklyn North","false"
"2018-05-25T00:00:00.000","115","2000","CCRB","179","false","false","Truncated","Alleged Victim Uncooperative","Queens","Queens South","false"
"2018-05-25T00:00:00.000","116","2000","CCRB","94","false","false","Truncated","Complaint Withdrawn","Brooklyn","Brooklyn North","false"
"2018-05-25T00:00:00.000","117","2000","CCRB","376","false","false","Full Investigation","Unfounded","Brooklyn","Brooklyn South","false"
"2018-05-25T00:00:00.000","118","2000","CCRB","539","false","false","Full Investigation","Unfounded","Brooklyn","Brooklyn North","true"
"2018-05-25T00:00:00.000","119","2000","CCRB","483","false","false","Full Investigation","Unsubstantiated","Brooklyn","Brooklyn South","false"
"2018-05-25T00:00:00.000","120","2000","CCRB","334","false","false","Full Investigation","Unsubstantiated","Brooklyn","Brooklyn South","false"
"2018-05-25T00:00:00.000","121","2000","CCRB","87","false","false","Truncated","Complainant Unavailable","Bronx","Bronx","false"
"2018-05-25T00:00:00.000","122","2000","CCRB","480","false","false","Full Investigation","Unfounded","Manhattan","Manhattan North","false"
"2018-05-25T00:00:00.000","123","2000","CCRB","357","false","false","Full Investigation","Unsubstantiated","Queens","Queens South","false"
"2018-05-25T00:00:00.000","124","2000","CCRB","263","false","false","Truncated","Alleged Victim Unavailable","Brooklyn","Brooklyn South","false"
"2018-05-25T00:00:00.000","125","2000","CCRB","131","false","false","Truncated","Complainant Unavailable","Bronx","Bronx","false"
"2018-05-25T00:00:00.000","126","2000","CCRB","201","false","false","Full Investigation","Unfounded","Bronx","Bronx","false"
"2018-05-25T00:00:00.000","127","2000","CCRB","79","false","false","Truncated","Complainant Uncooperative","Brooklyn","Brooklyn South","false"
"2018-05-25T00:00:00.000","128","2000","CCRB","251","false","false","Full Investigation","Unfounded","Queens","Queens North","false"
"2018-05-25T00:00:00.000","129","2000","CCRB","313","false","false","Truncated","Complainant Uncooperative","Bronx","Bronx","false"
"2018-05-25T00:00:00.000","130","2000","CCRB","156","false","false","Truncated","Complainant Uncooperative","Brooklyn","Brooklyn North","false"
"2018-05-25T00:00:00.000","131","2000","CCRB","106","false","false","Truncated","Complaint Withdrawn","Brooklyn","Brooklyn North","false"
"2018-05-25T00:00:00.000","132","2000","CCRB","342","false","false","Full Investigation","Unsubstantiated","Brooklyn","Brooklyn North","true"
"2018-05-25T00:00:00.000","133","2000","CCRB","42","false","false","Truncated","Complaint Withdrawn","Queens","Queens South","false"
"2018-05-25T00:00:00.000","134","2000","CCRB","602","false","false","Full Investigation","Unfounded","Brooklyn","Brooklyn North","false"
"2018-05-25T00:00:00.000","135","2000","CCRB","224","false","false","Truncated","Complainant Uncooperative","Manhattan","Manhattan North","false"
"2018-05-25T00:00:00.000","136","2000","CCRB","132","false","false","Truncated","Complainant Uncooperative","Queens","Queens South","false"
"2018-05-25T00:00:00.000","137","2000","CCRB","340","false","false","Full Investigation","Unfounded","Queens","Queens South","false"
"2018-05-25T00:00:00.000","138","2000","CCRB","454","false","false","Full Investigation","Unsubstantiated","Bronx","Bronx","false"
"2018-05-25T00:00:00.000","139","2000","CCRB","132","false","false","Truncated","Complainant Uncooperative","Queens","Queens North","false"
"2018-05-25T00:00:00.000","140","2000","CCRB","220","false","false","Full Investigation","Exonerated","Manhattan","Manhattan North","false"
"2018-05-25T00:00:00.000","141","2000","CCRB","146","false","false","Truncated","Complainant Unavailable","Brooklyn","Brooklyn North","false"
"2018-05-25T00:00:00.000","142","2000","CCRB","263","false","false","Full Investigation","Unsubstantiated","Brooklyn","Brooklyn South","false"
"2018-05-25T00:00:00.000","143","2000","CCRB","487","false","false","Full Investigation","Exonerated","Bronx","Bronx","false"
"2018-05-25T00:00:00.000","144","2000","CCRB","679","false","false","Full Investigation","Unsubstantiated","Brooklyn","Brooklyn South","false"
"2018-05-25T00:00:00.000","145","2000","CCRB","1488","false","false","Full Investigation","Unsubstantiated","Brooklyn","Brooklyn North","false"
"2018-05-25T00:00:00.000","146","2000","CCRB","106","false","false","Full Investigation","Unsubstantiated","Manhattan","Manhattan North","false"
"2018-05-25T00:00:00.000","147","2000","CCRB","41","false","false","Truncated","Complainant Unavailable","Manhattan","Manhattan South","false"
"2018-05-25T00:00:00.000","148","2000","CCRB","225","false","false","Full Investigation","Unfounded","Brooklyn","Brooklyn South","false"
"2018-05-25T00:00:00.000","149","2000","CCRB","90","false","false","Truncated","Complainant Uncooperative","Queens","Queens North","false"
"2018-05-25T00:00:00.000","150","2000","CCRB","168","false","false","Full Investigation","Unfounded","Bronx","Bronx","false"
"2018-05-25T00:00:00.000","151","2000","CCRB","183","false","false","Truncated","Complainant Uncooperative","Bronx","Bronx","false"
"2018-05-25T00:00:00.000","152","2000","CCRB","77","false","false","Truncated","Complainant Uncooperative","Manhattan","Manhattan North","true"
"2018-05-25T00:00:00.000","153","2000","CCRB","252","false","false","Full Investigation","Unfounded","Bronx","Bronx","false"
"2018-05-25T00:00:00.000","154","2000","CCRB","74","false","false","Truncated","Alleged Victim Uncooperative","Brooklyn","Brooklyn South","false"
"2018-05-25T00:00:00.000","155","2000","CCRB","129","false","false","Truncated","Complainant Unavailable","Bronx","Bronx","false"
"2018-05-25T00:00:00.000","156","2000","CCRB","411","false","false","Full Investigation","Unfounded","Brooklyn","Brooklyn North","true"
"2018-05-25T00:00:00.000","157","2000","CCRB","139","false","false","Truncated","Complainant Uncooperative","Queens","Queens North","false"
"2018-05-25T00:00:00.000","158","2000","CCRB","236","false","false","Full Investigation","Unsubstantiated","Brooklyn","Brooklyn North","false"
"2018-05-25T00:00:00.000","159","2000","CCRB","124","false","false","Truncated","Complaint Withdrawn","Staten Island","Staten Island","false"
"2018-05-25T00:00:00.000","160","2000","CCRB","309","false","false","Full Investigation","Unfounded","Manhattan","Manhattan North","false"
"2018-05-25T00:00:00.000","161","2000","CCRB","79","false","false","Truncated","Complainant Uncooperative","Bronx","Bronx","false"
"2018-05-25T00:00:00.000","162","2000","CCRB","287","false","false","Full Investigation","Exonerated","Manhattan","Manhattan North","true"
"2018-05-25T00:00:00.000","163","2000","CCRB","116","false","false","Truncated","Complainant Uncooperative","Manhattan","Manhattan South","false"
"2018-05-25T00:00:00.000","164","2000","CCRB","114","false","false","Truncated","Complainant Uncooperative","Bronx","Bronx","true"
"2018-05-25T00:00:00.000","165","2000","CCRB","393","false","false","Full Investigation","Exonerated","Manhattan","Manhattan South","false"
"2018-05-25T00:00:00.000","166","2000","CCRB","117","false","false","Truncated","Complainant Unavailable","Manhattan","Manhattan North","false"
"2018-05-25T00:00:00.000","167","2000","CCRB","298","false","false","Truncated","Complainant Uncooperative","Bronx","Bronx","false"
"2018-05-25T00:00:00.000","168","2000","CCRB","62","false","false","Truncated","Complainant Uncooperative","Manhattan","Manhattan North","true"
"2018-05-25T00:00:00.000","169","2000","CCRB","105","false","false","Full Investigation","Exonerated","Manhattan","Manhattan North","false"
"2018-05-25T00:00:00.000","170","2000","CCRB","246","false","false","Truncated","Complainant Unavailable","Bronx","Bronx","false"
"2018-05-25T00:00:00.000","171","2000","CCRB","66","false","false","Truncated","Complainant Unavailable","Queens","Queens South","false"
"2018-05-25T00:00:00.000","172","2000","CCRB","349","false","false","Full Investigation","Unsubstantiated","Bronx","Bronx","false"
"2018-05-25T00:00:00.000","173","2000","CCRB","50","false","false","Truncated","Alleged Victim Unavailable","Staten Island","Manhattan South","false"
"2018-05-25T00:00:00.000","174","2000","CCRB","178","false","false","Truncated","Complainant Unavailable","Manhattan","Other","false"
"2018-05-25T00:00:00.000","175","2000","CCRB","55","false","false","Truncated","Complaint Withdrawn","Queens","Queens North","false"
"2018-05-25T00:00:00.000","176","2000","CCRB","110","false","false","Truncated","Complainant Uncooperative","Queens","Queens South","false"
"2018-05-25T00:00:00.000","177","2000","CCRB","368","false","false","Full Investigation","Unsubstantiated","Manhattan","Manhattan North","false"
"2018-05-25T00:00:00.000","178","2000","CCRB","72","false","false","Truncated","Complainant Unavailable","Manhattan","Manhattan North","true"
"2018-05-25T00:00:00.000","179","2000","CCRB","242","false","false","Truncated","Complainant Unavailable","Manhattan","Manhattan North","false"
"2018-05-25T00:00:00.000","180","2000","CCRB","255","false","false","Full Investigation","Unsubstantiated","Staten Island","Staten Island","false"
"2018-05-25T00:00:00.000","181","2000","CCRB","78","false","false","Truncated","Complaint Withdrawn","Bronx","Bronx","true"
"2018-05-25T00:00:00.000","182","2000","CCRB","111","false","false","Truncated","Complaint Withdrawn","Brooklyn","Brooklyn South","false"
"2018-05-25T00:00:00.000","183","2000","CCRB","93","false","false","Truncated","Complainant Uncooperative","Brooklyn","Brooklyn South","false"
"2018-05-25T00:00:00.000","184","2000","CCRB","421","false","false","Full Investigation","Unsubstantiated","Brooklyn","Brooklyn North","false"
"2018-05-25T00:00:00.000","185","2000","CCRB","426","false","false","Full Investigation","Unfounded","Bronx","Bronx","false"
"2018-05-25T00:00:00.000","186","2000","CCRB","225","false","false","Truncated","Complainant Uncooperative","Brooklyn","Brooklyn South","false"
"2018-05-25T00:00:00.000","187","2000","CCRB","448","false","false","Full Investigation","Unfounded","Brooklyn","Brooklyn South","true"
"2018-05-25T00:00:00.000","188","2000","CCRB","179","false","false","Truncated","Complainant Uncooperative",,"Other","true"
"2018-05-25T00:00:00.000","189","2000","CCRB","134","false","false","Full Investigation","Unsubstantiated","Bronx","Bronx","false"
"2018-05-25T00:00:00.000","190","2000","CCRB","575","false","false","Full Investigation","Unfounded","Brooklyn","Brooklyn North","false"
"2018-05-25T00:00:00.000","191","2000","CCRB","155","false","false","Truncated","Alleged Victim Uncooperative","Brooklyn","Brooklyn South","false"
"2018-05-25T00:00:00.000","192","2000","CCRB","218","false","false","Full Investigation","Unfounded","Staten Island","Staten Island","false"
"2018-05-25T00:00:00.000","193","2000","CCRB","111","false","false","Truncated","Complainant Uncooperative","Manhattan","Other","false"
"2018-05-25T00:00:00.000","194","2000","CCRB","69","false","false","Truncated","Complainant Unavailable","Manhattan","Other","false"
"2018-05-25T00:00:00.000","195","2000","CCRB","127","false","false","Full Investigation","Exonerated","Brooklyn","Brooklyn North","true"
"2018-05-25T00:00:00.000","196","2000","CCRB","128","false","false","Full Investigation","Unsubstantiated","Staten Island","Staten Island","false"
"2018-05-25T00:00:00.000","197","2000","CCRB","60","false","false","Truncated","Complaint Withdrawn","Bronx","Bronx","false"
"2018-05-25T00:00:00.000","198","2000","CCRB","243","false","false","Full Investigation","Unsubstantiated","Manhattan","Manhattan North","false"
"2018-05-25T00:00:00.000","199","2000","CCRB","459","true","false","Full Investigation","Substantiated (Charges)","Queens","Queens South","true"
"2018-05-25T00:00:00.000","200","2000","CCRB","513","false","false","Full Investigation","Unsubstantiated","Bronx","Bronx","false"
"2018-05-25T00:00:00.000","201","2000","CCRB","263","false","false","Truncated","Complaint Withdrawn","Manhattan","Manhattan North","false"
"2018-05-25T00:00:00.000","202","2000","CCRB","140","false","false","Truncated","Complainant Uncooperative","Queens","Queens South","false"
"2018-05-25T00:00:00.000","203","2000","CCRB","552","false","false","Full Investigation","Unfounded","Manhattan","Manhattan North","true"
"2018-05-25T00:00:00.000","204","2000","CCRB","323","false","false","Full Investigation","Unsubstantiated","Brooklyn","Brooklyn South","false"
"2018-05-25T00:00:00.000","205","2000","CCRB","130","false","false","Truncated","Complainant Uncooperative","Staten Island","Staten Island","false"
"2018-05-25T00:00:00.000","206","2000","CCRB","205","false","false","Truncated","Complainant Uncooperative","Manhattan","Manhattan North","true"
"2018-05-25T00:00:00.000","207","2000","CCRB","94","false","false","Truncated","Complainant Uncooperative","Manhattan","Manhattan North","false"
"2018-05-25T00:00:00.000","208","2000","CCRB","197","false","false","Truncated","Complainant Unavailable","Manhattan","Other","false"
"2018-05-25T00:00:00.000","209","2000","CCRB","1630","false","false","Other","Conciliated","Staten Island","Staten Island","false"
"2018-05-25T00:00:00.000","210","2000","CCRB","389","false","false","Full Investigation","Exonerated","Brooklyn","Brooklyn North","false"
"2018-05-25T00:00:00.000","211","2000","CCRB","38","false","false","Truncated","Complainant Unavailable","Brooklyn","Brooklyn South","false"
"2018-05-25T00:00:00.000","212","2000","CCRB","312","false","false","Full Investigation","Unsubstantiated","Manhattan","Manhattan North","false"
"2018-05-25T00:00:00.000","213","2000","CCRB","421","false","false","Full Investigation","Exonerated","Brooklyn","Brooklyn South","true"
"2018-05-25T00:00:00.000","214","2000","CCRB","122","false","false","Truncated","Complainant Uncooperative","Queens","Queens South","false"
"2018-05-25T00:00:00.000","215","2000","CCRB","142","false","false","Truncated","Complainant Uncooperative","Bronx","Bronx","true"
"2018-05-25T00:00:00.000","216","2000","CCRB","303","false","false","Full Investigation","Exonerated","Manhattan","Manhattan North","false"
"2018-05-25T00:00:00.000","217","2000","CCRB","99","false","false","Truncated","Complainant Uncooperative","Brooklyn","Brooklyn North","true"
"2018-05-25T00:00:00.000","218","2000","CCRB","224","false","false","Full Investigation","Exonerated","Bronx","Bronx","false"
"2018-05-25T00:00:00.000","219","2000","CCRB","69","false","false","Truncated","Complainant Uncooperative","Bronx","Bronx","false"
"2018-05-25T00:00:00.000","220","2000","CCRB","248","false","false","Full Investigation","Exonerated","Bronx","Bronx","false"
