"camis","dba","boro","building","street","zipcode","phone","cuisine_description","inspection_date","action","violation_code","violation_description","critical_flag","score","grade","grade_date","record_date","inspection_type","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta","location_point1"
"50128130",,"Brooklyn","2504B","FLATBUSH AVE","11234","3479930857",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,"40.609223163019","-73.921868264959","318","46","066200",,"3","BK45",
"50132133","ELEGANTE","Brooklyn","6922","5 AVENUE","11209","7187459715",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,"40.633261993676","-74.02110542781","310","43","013000","3145761","3058730051","BK31",
"50136088","TINY DANCER","Manhattan","1627","BROADWAY","10019","9172083811",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,"40.761273501664","-73.984167463181","105","03","012500","1024802","1010210045","MN17",
"50130768",,"Queens","903","44TH RD","11101","7869158119",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,"40.74977492901","-73.951853749496","402","26","001900","4005252","4004510001","QN31",
"50138700","LA DOLCE VITO","Manhattan","50","HUDSON YARDS","10001","9178269213",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,"40.754242519519","-73.999390010214","104","03","009900","1000000","1007050039","MN13",
"50110207","LOVEJOYS","Brooklyn","412","TROUTMAN STREET","11237","6462648426",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,"40.706913047496","-73.922499938403","304","34","044700","3072614","3031890005","BK77",
"50115910","HUDSON YARDS CATERING LLC","Manhattan","55","HUDSON YARDS","10001","6467477201",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,"40.755439214916","-74.002219825347","104","03","009900","1089412","1007050001","MN13",
"50119096","CERASELLA","Queens","2361","31ST ST","11105","5165349125",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,"40.772993059771","-73.914508680301","401","22","011500","4017173","4008350014","QN72",
"50141257",,"Manhattan","125","EAST   39 STREET","10016","9184084517",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,"40.749670336248","-73.977742320312","106","04","008000","1019467","1008950018","MN20",
"50092720","Tropical Shack","Brooklyn","3029","STILLWELL AVENUE","11224","3477284781",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,"40.574551384379","-73.981004597151","313","47","035200","3000000","3086950433","BK21",
"41172740","MORGAN LIBRARY","Manhattan","29","EAST   36 STREET","10016","2126850008","American","2019-06-12T00:00:00.000","Violations were cited in the following area(s).","09C","Food contact surface not properly maintained.","Not Critical","7","A","2019-06-12T00:00:00.000","2023-08-27T06:00:08.000","Cycle Inspection / Initial Inspection","40.748927210331","-73.981730644961","106","04","008200","1017181","1008660025","MN20",
"50111354","MR. POLLO #1","Queens","4220","BELL BLVD","11361","7172293064","Latin American","2022-04-26T00:00:00.000","Violations were cited in the following area(s).","09C","Food contact surface not properly maintained.","Not Critical","6","A","2022-04-26T00:00:00.000","2023-08-27T06:00:08.000","Pre-permit (Operational) / Initial Inspection","40.762307428209","-73.770359397646","411","19","146700","4138220","4062840034","QN46",
"50098376","MARKET CAFE","Manhattan","425","LEXINGTON AVENUE","10017","2126816300","American","2019-11-15T00:00:00.000","Violations were cited in the following area(s).","09C","Food contact surface not properly maintained.","Not Critical","46",,,"2023-08-27T06:00:08.000","Pre-permit (Operational) / Initial Inspection","40.75241734621","-73.975319553347","106","04","009200","1036162","1012980023","MN19",
"50126056","EVALYN'S TAP HOUSE","Brooklyn","236","BUTLER STREET","11217","3472629008",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,"40.681513476244","-73.985383483915","306","33","012700","3006603","3004120006","BK38",
"50107404","COFFEE BAR","Queens","3937","43RD AVE","11104","8003115613",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,"40.745626652691","-73.924612875817","402","26","018101","4002418","4001860042","QN31",
"50140956","THE FIFTH AVENUE HOTEL","Manhattan","250","5 AVENUE","10001","2126865252",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,"40.74481355384","-73.987206469973","105","04","007600","1015729","1008300037","MN17",
"50090711","NINJA SUSHI","Brooklyn","2274","86 STREET","11214","9294344361","Japanese","2022-05-09T00:00:00.000","Violations were cited in the following area(s).","02B","Hot food item not held at or above 140º F.","Critical","45",,,"2023-08-27T06:00:08.000","Cycle Inspection / Initial Inspection","40.600817559107","-73.992012802414","311","43","029600","3167176","3063830043","BK28",
"50137981","CENTRAL PARK BOATHOUSE CAFE","Manhattan","000","E 72ND ST",,"9172843261",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,"0","0",,,,,"1",,
"50106495","P.F. CHANG'S","Manhattan","630","3 AVENUE","10017","6026358812",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,"40.74979057691","-73.975165336169","106","04","008000","1036149","1012950040","MN20",
"50043712","EMPANADA LOCA","Brooklyn","606","5 AVENUE","11215","7183692118","Spanish","2022-12-01T00:00:00.000","Violations were cited in the following area(s).","09B","Thawing procedure improper.","Not Critical","25","B","2022-12-01T00:00:00.000","2023-08-27T06:00:08.000","Cycle Inspection / Re-inspection","40.663782791875","-73.990920281379","307","38","014300","3008910","3006280037","BK37",
"41656924","TENZAN","Manhattan","988990","2 AVENUE",,"2129805900","Japanese","2023-03-13T00:00:00.000","Violations were cited in the following area(s).","06F","Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.","Critical","27",,,"2023-08-27T06:00:08.000","Cycle Inspection / Initial Inspection","0","0",,,,,"1",,
"50126797",,"Manhattan","289","MERCER STREET","10003","6177753520",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,"40.730176279961","-73.993902313632","102","01","005900","1008838","1005480040","MN23",
"50105069","CERASELLA","Queens","3627","31ST ST","11106","7184403488","Italian","2022-03-01T00:00:00.000","Violations were cited in the following area(s).","22F","MISBRANDED AND LABELING","Not Critical",,,,"2023-08-27T06:00:08.000","Administrative Miscellaneous / Initial Inspection","40.756030077948","-73.930181351855","401","26","005100","4619351","4006007501","QN68",
"50118870",,"Queens","4014","157TH ST","11354","7187024234",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,"40.763447508404","-73.808284863504","407","20","117100","4119331","4052750036","QN51",
"41191561","GOURMET SWEETS","Brooklyn","1107","CONEY ISLAND AVENUE","11230","7184214100","Pakistani","2021-08-25T00:00:00.000","Establishment re-opened by DOHMH.",,,"Not Applicable","0","P","2021-08-25T00:00:00.000","2023-08-27T06:00:08.000","Cycle Inspection / Reopening Inspection","40.630629489082","-73.966336409798","314","45","052800","3178905","3066860066","BK42",
"50140135","BAR56","Brooklyn","55","WATER STREET","11201","9144711128",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,"40.703293906326","-73.992047363499","302","33","002100","3000019","3000260050","BK38",
"50124690","NO. 1 CHINESE FOOD","Brooklyn","420","DITMAS AVENUE","11218","7184140917",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,"40.635893403945","-73.974761117323","312","40","048400","3127141","3053980008","BK41",
"50140972","BAR AVANT AT OLLY OLLY MARKET","Manhattan","601","WEST   26 STREET","10001","3125437850",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,"40.750926696187","-74.005955224","104","03","009900","1012268","1006720001","MN13",
"50107577","KISSAKI UWS","Manhattan","286","COLUMBUS AVENUE","10023","3477826833",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,"40.778355868701","-73.978111820544","107","06","015700","1030017","1011450033","MN14",
"50120707",,"Manhattan","353","WEST  110 STREET","10026","9143746051",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,"40.801415205665","-73.960217708815","109","07","019701","1000000","1018500001","MN09",
"50131419",,"Bronx","3617","EAST TREMONT AVENUE","10465","718812112",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,"40.828663858902","-73.824331541679","210","13","016200","2076679","2054270045","BX52",
"50106378","SOUL FOOD","Queens","10613","GUY R BREWER BLVD","11433","5165825651",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,"40.699374954985","-73.793290342752","412","27","025400","4216314","4101610065","QN01",
"50071532","KINGS GARDEN","Queens","9606","31ST AVE","11369","9178619922","Chinese","2023-05-22T00:00:00.000","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical","8","A","2023-05-22T00:00:00.000","2023-08-27T06:00:08.000","Cycle Inspection / Initial Inspection","40.760622126443","-73.872723636518","403","21","036100","4034302","4014080003","QN27",
"50100520","AMAZING GRACE RESTAURANT","Queens","6902","ROOSEVELT AVE","11377","7183357036","Filipino","2022-05-12T00:00:00.000","Violations were cited in the following area(s).","02B","Hot food item not held at or above 140º F.","Critical","59",,,"2023-08-27T06:00:08.000","Cycle Inspection / Initial Inspection","40.746334548715","-73.896173318415","402","26","026300","4030347","4013010025","QN63",
"41344869","SANDWICH HOUSE ITALIAN RESTAURANT","Manhattan","17","ANN STREET","10038","2125666886","Sandwiches","2022-06-14T00:00:00.000","Violations were cited in the following area(s).","10C","Lighting Inadequate","Not Critical","0","A","2022-06-14T00:00:00.000","2023-08-27T06:00:08.000","Cycle Inspection / Re-inspection","40.71090241228","-74.007910263138","101","01","001501","1001261","1000900023","MN25",
"50129289",,"Bronx","82","WEST  181 STREET","10453","3473108954",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,"40.856829456297","-73.908555050414","205","14","025100","2014573","2032100092","BX36",
"50134008","EL TURBOUSH","Brooklyn","7311","5 AVENUE","11209","3472497705",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,"40.630829933497","-74.022073783832","310","43","013400","3147924","3059200006","BK31",
"50074303","Julieta Restaurant","Queens","3763","81ST ST","11372","3476478687","Spanish","2018-03-01T00:00:00.000","Violations were cited in the following area(s).","10J","Hand wash sign not posted","Not Critical","14","N",,"2023-08-27T06:00:08.000","Pre-permit (Non-operational) / Initial Inspection","40.749285658502","-73.885164432642","403","21","028300","4030036","4012920149","QN28",
"40996642","RECUERDOS MEXICANOS","Staten Island","232","PORT RICHMOND AVENUE","10302","7188155533","Mexican","2019-08-06T00:00:00.000","No violations were recorded at the time of this inspection.",,,"Not Applicable",,,,"2023-08-27T06:00:08.000","Administrative Miscellaneous / Initial Inspection","40.635783769069","-74.134935074913","501","49","020700","5025513","5010820075","SI28",
"50109182","Mercadito llc.","Queens","16005","46TH AVE","11358","9292174399",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,"40.753901079561","-73.806569105551","407","20","119100","4123149","4054390001","QN52",
"50110556","EVASION BRONX","Bronx","2576","3 AVENUE","10454","2123900806",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,"40.811592345082","-73.926156282019","201","08","003900","2091105","2023140047","BX39",
"50058493","NEW YORK SAL'S PIZZERIA","Manhattan","696","10 AVENUE","10019","2122473628","Pizza","2020-03-12T00:00:00.000","Violations were cited in the following area(s).","02B","Hot food item not held at or above 140º F.","Critical","9","A","2020-03-12T00:00:00.000","2023-08-27T06:00:08.000","Cycle Inspection / Initial Inspection","40.763733649336","-73.992462480043","104","03","012700","1026631","1010580063","MN15",
"50121997","LA PECORA BIANCA","Manhattan","359","COLUMBUS AVENUE","10024","2123333333",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,"40.780534882409","-73.976489835309","107","06","016100","1028823","1011290064","MN12",
"50139187",,"Queens","3812","30TH AVE","11103","3476180399",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,"40.764194226996","-73.915671592103","401","22","015500","4436905","4006600045","QN70",
"50135214","amano","Brooklyn","224","SMITH ST","11231","6507202997",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,"40.684031107948","-73.992298455467","306","39","006900",,"3","BK38",
"50081391","KAIKAGETSU NYC","Manhattan","162","ORCHARD STREET","10002","6465903900","Japanese","2022-03-09T00:00:00.000","Violations were cited in the following area(s).","02B","Hot food item not held at or above 140º F.","Critical","13","A","2022-03-09T00:00:00.000","2023-08-27T06:00:08.000","Cycle Inspection / Initial Inspection","40.721030326765","-73.988729853234","103","01","003001","1005345","1004110009","MN27",
"50133238","REVELIE LUNCHEONETTE","Manhattan","179","PRINCE STREET","10012","2129663518",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,"40.726322773435","-74.001998770505","102","03","004900","1008055","1005170041","MN24",
"50140389","Smoker & Co LLC","Manhattan","163","WEST   22 STREET","10011","7322593179",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,"40.742944973699","-73.994969343106","104","03","009100","1014791","1007980010","MN13",
"50104027","ZHELI SHANGHAI","Manhattan","19","SAINT MARKS PLACE","10003","6468581866",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,"40.7290779884","-73.988793431631","103","02","003800","1006754","1004640048","MN22",
"50107837","TRES LECHES CAFE","Manhattan","160","ORCHARD STREET","10002","3475001572",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,"40.720967200302","-73.988762332332","103","01","003001","1077189","1004110008","MN27",
"50121135","NU-U JUICEBAR","Brooklyn","1030","UNION STREET","11225","3478677904",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,"40.669638178421","-73.957668703373","309","35","032500","3337861","3012730011","BK63",
"50141227","LALA'S PIZZERIA","Queens","21532","HILLSIDE AVE","11427","9292628231",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,"40.7272587289","-73.749056612651","413","23","055200","4228790","4106750016","QN34",
"50053027","CLEMENTINE BAKERY","Brooklyn","395","CLASSON AVENUE","11238","7184838788","Coffee/Tea","2022-03-21T00:00:00.000","Violations were cited in the following area(s).","10J","Hand wash sign not posted","Not Critical","6","A","2022-03-21T00:00:00.000","2023-08-27T06:00:08.000","Cycle Inspection / Initial Inspection","40.687521133476","-73.959723419794","303","35","023300","3055766","3019530001","BK75",
"50134362","VIRGIN HOTEL 39TH FLOOR RESTAURANT AND BAR","Manhattan","1227","BROADWAY","10001","2126259333",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,"40.746627977497","-73.988490921674","105","03","007600","1000000","1008310068","MN17",
"50043058","FULTON THAI RESTAURANT","Brooklyn","848","FULTON STREET","11238","7187895931","Thai","2022-01-20T00:00:00.000","Violations were cited in the following area(s).","02B","Hot food item not held at or above 140º F.","Critical","9","A","2022-01-20T00:00:00.000","2023-08-27T06:00:08.000","Cycle Inspection / Initial Inspection","40.683590319526","-73.967427297211","302","35","019900","3390219","3020100030","BK69",
"50136111","AER LINGUS LOUNGE TERMINAL 7 BUILDING 59","Queens","1","CENTRAL TERMINAL AREA",,"7043285184",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,"0","0",,,,,"4",,
"50141237","SHAHID RASUL","Queens","6530","KISSENA BLVD","11367","9177741787",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,"40.736699315322","-73.814702189285","408","24","080900","4141870","4065170001","QN37",
"40665065","DANIEL","Manhattan","60","EAST   65 STREET","10065","2122880088","French","2022-03-10T00:00:00.000","Violations were cited in the following area(s).","09C","Food contact surface not properly maintained.","Not Critical","10","A","2022-03-10T00:00:00.000","2023-08-27T06:00:08.000","Cycle Inspection / Initial Inspection","40.767028625907","-73.967971168723","108","04","012200","1041086","1013797502","MN40",
"50137101","CAVA","Manhattan","350","HUDSON STREET","10014","6782210550",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,"40.727541236371","-74.007273637731","102","03","003700","1009750","1005800039","MN24",
"50130888","ITTEAST","Manhattan","32","EAST    7 STREET","10003","2013159240",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2023-08-27T06:00:10.000",,"40.728303977094","-73.988923450178","103","02","003800","1006646","1004620015","MN22",
"50053729","TEMPLE COURT","Manhattan","5","BEEKMAN STREET","10038","2124006488","American","2023-04-25T00:00:00.000","Violations were cited in the following area(s).","20-06","Current letter grade or Grade Pending card not posted","Not Critical",,,,"2023-08-27T06:00:08.000","Administrative Miscellaneous / Initial Inspection","40.711385570781","-74.006665878998","101","01","001501","1079072","1000907503","MN25",
"50049997","AAHAR","Manhattan","10","MURRAY STREET","10007","6466493374","Indian","2023-03-13T00:00:00.000","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical","12","A","2023-03-13T00:00:00.000","2023-08-27T06:00:08.000","Cycle Inspection / Initial Inspection","40.713290370843","-74.007773474751","101","01","002100","1001399","1001240004","MN24",
