"id","reservation_date","franchisee","status","installation_date","pole_type","borough","x_coord","y_coord","latitude","longitude","zone","on_street","cross_street_1","cross_street_2","park_advisory","historic_advisory","scenic_landmark_advisory","bid_advisory","school_advisory","zipcode","community_board","council_district"
"27677","2023-03-30T00:00:00.000","Boldyn Infrastructure (ZenFi)","Proposed",,"UTILITY","Bronx","1039734.0000000","252225.0000000","40.8587998","-73.7994217","B","City Island Road","City Island Road","Bridge Street","Pelham Bay Park",,,,,"10464","228","13"
"27676","2023-03-30T00:00:00.000","Boldyn Infrastructure (ZenFi)","Proposed",,"UTILITY","Brooklyn","974375.0000000","167448.0000000","40.6262770","-74.0355744","B","84th Street","Colonial Road","Ridge Boulevard",,,,,,"11209","310","43"
"27661","2023-03-20T00:00:00.000","Crown Castle Fiber","Proposed",,"UTILITY","Brooklyn","999546.5000000","168826.5000000","40.6300530","-73.9448917","B","Flatbush Ave","Aurelia Ct","Ave I",,,,,,"11210","314","45"
"27660","2023-03-16T00:00:00.000","NY SMSA","Proposed",,"UTILITY","Staten_Island","960654.0000000","164474.0000000","40.6180881","-74.0849934","B","TARGEE STREET","WAVERLY PLACE","IRVING PLACE","Bedford Green",,,,,"10304","501","49"
"27659","2023-03-16T00:00:00.000","NY SMSA","Proposed",,"UTILITY","Queens","1016057.9000000","215964.8000000","40.7593927","-73.8851840","B","83 Street","31 Avenue","44 Street",,,,,,"11370","403","22"
"27658","2023-03-16T00:00:00.000","NY SMSA","Approved",,"UTILITY","Queens","1008713.7600000","217057.1400000","40.7624143","-73.9116899","B","30 Ave","44 Street","45 Street",,,,,,"11103","401","22"
"27657","2023-03-15T00:00:00.000","NY SMSA","Proposed",,"UTILITY","Staten_Island","962773.1000000","167137.0000000","40.6254029","-74.0773688","B","WRIGHT STREET","BROAD STREET","THOMPSON STREET",,,,,,"10304","501","49"
"27656","2023-03-15T00:00:00.000","NY SMSA","Proposed",,"UTILITY","Staten_Island","946019.0000000","165469.0000000","40.6207681","-74.1377147","B","LIVERMORE AVENUE","MAINE AVENUE","GARRISON AVENUE",,,,,,"10314","501","50"
"27655","2023-03-15T00:00:00.000","NY SMSA","Proposed",,"UTILITY","Staten_Island","962555.0000000","164429.0000000","40.6179695","-74.0781458","B","FAIRWAY AVENUE","PARK HILL LANE","PARK HILL COURT",,,,,,"10304","501","49"
"27654","2023-03-15T00:00:00.000","NY SMSA","Approved",,"UTILITY","Staten_Island","944680.0000000","163145.0000000","40.6143834","-74.1425243","B","CRYSTAL AVENUE","DORA STREET","CASWELL AVENUE",,,,,,"10314","501","50"
"27653","2023-03-15T00:00:00.000","NY SMSA","Proposed",,"UTILITY","Staten_Island","962109.2600000","168462.0000000","40.6290381","-74.0797646","B","Beach Street","Van Duzer Street","Jackson Street",,,,,,"10304","501","49"
"27652","2023-03-15T00:00:00.000","NY SMSA","Proposed",,"UTILITY","Staten_Island","952498.0000000","168492.0900000","40.6290915","-74.1143904","B","Forest Ave","North Burgher Ave","Broadway",,,,"Forest AvenueÂ BID",,"10310","501","49"
"27651","2023-03-15T00:00:00.000","NY SMSA","Proposed",,"UTILITY","Staten_Island","942270.0000000","163512.0000000","40.6153796","-74.1512070","B","CANTERURY AVENUE","CASWELL AVENUE","WATCHOGUE ROAD",,,,,,"10314","501","50"
"27650","2023-03-15T00:00:00.000","NY SMSA","Proposed",,"UTILITY","Staten_Island","964961.0000000","161380.9200000","40.6096087","-74.0694707","B","Tompkins Ave","St Johns Ave","Belair Road",,,,,,"10305","501","49"
"27649","2023-03-15T00:00:00.000","NY SMSA","Proposed",,"UTILITY","Staten_Island","965631.0100000","161188.5800000","40.6090822","-74.0670571","B","Hope Ave","Egbert Pl","Tompkins Ave",,,,,,"10305","501","49"
"27648","2023-03-15T00:00:00.000","NY SMSA","Proposed",,"UTILITY","Staten_Island","944547.2700000","164513.5400000","40.6181391","-74.1430105","B","Collfield Ave","Waters Ave","Leonard Ave",,,,,,"10302","501","50"
"27647","2023-03-15T00:00:00.000","NY SMSA","Proposed",,"UTILITY","Staten_Island","960847.6100000","173827.6600000","40.6437624","-74.0843285","B","Westervelt Ave","Curtis Place","Crescent Ave",,,,,,"10301","501","49"
"27646","2023-03-15T00:00:00.000","NY SMSA","Proposed",,"UTILITY","Staten_Island","964724.0000000","162696.0000000","40.6132178","-74.0703280","B","Clifton Ave","Vermont Ave","Tompkins Ave",,,,,,"10305","501","49"
"27645","2023-03-15T00:00:00.000","NY SMSA","Proposed",,"UTILITY","Staten_Island","947277.0000000","163124.0000000","40.6143369","-74.1331703","B","Watchogue Rd","Frederick Street","Marble Street",,,,,,"10314","501","50"
"27644","2023-03-15T00:00:00.000","NY SMSA","Proposed",,"UTILITY","Staten_Island","962559.0000000","160868.0000000","40.6081953","-74.0781200","B","Virginia Ave","Donley Ave","Rockwell Ave",,,,,,"10305","501","49"
"27643","2023-03-14T00:00:00.000","NY SMSA","Proposed",,"UTILITY","Staten_Island","946456.0000000","162342.0000000","40.6121870","-74.1361230","B","INGRAM AVENUE","VICTORY BOULEVARD","PURDY AVENUE",,,,,,"10314","501","50"
"27642","2023-03-14T00:00:00.000","NY SMSA","Proposed",,"UTILITY","Staten_Island","965098.0000000","162121.0000000","40.6116403","-74.0689794","B","MARYLAND AVENUE","WINGHAM STREET","TOMPKINS AVENUE",,,,,,"10305","501","49"
"27641","2023-03-14T00:00:00.000","NY SMSA","Proposed",,"UTILITY","Staten_Island","943742.0000000","161704.9000000","40.6104263","-74.1458942","B","VICTORY BOULEVARD","STEWART AVENUE","BRYSON AVENUE",,,,,,"10314","501","50"
"27640","2023-03-14T00:00:00.000","NY SMSA","Proposed",,"UTILITY","Staten_Island","965228.0000000","160935.0000000","40.6083853","-74.0685078","B","TOMPKINS AVENUE","HOPE AVENUE","MEYER LANE",,,,,,"10305","501","49"
"27639","2023-03-14T00:00:00.000","NY SMSA","Proposed",,"UTILITY","Staten_Island","966280.0000000","160823.0000000","40.6080801","-74.0647187","B","FINGERBOARD ROAD","HOME AVENUE","BANG TERRACE",,,,,,"10305","501","49"
"27638","2023-03-14T00:00:00.000","NY SMSA","Proposed",,"UTILITY","Staten_Island","967792.2000000","159568.2000000","40.6046388","-74.0592695","B","NEW YORK AVENUE","DRUM AVENUE","COAST GUARD DRIVE",,,,,,"10305","595","50"
"27637","2023-03-14T00:00:00.000","NY SMSA","Proposed",,"UTILITY","Queens","1015516.4000000","201108.6000000","40.7186181","-73.8872077","B","69 Lane","62 Avenue","Dead End",,,,,,"11379","405","30"
"27632","2023-02-15T00:00:00.000","Crown Castle Fiber","Approved",,"UTILITY","Staten_Island","932137.0000000","128652.0000000","40.5196421","-74.1874361","B","Chester Ave","Cornelia Ave","Dead End",,,,,,"10312","503","51"
"27615","2023-01-09T00:00:00.000","Crown Castle Fiber","Approved",,"UTILITY","Staten_Island","944574.0000000","135194.0000000","40.5376630","-74.1427421","B","Wiman Avenue","Dead End","Tennyson Drive",,,,,,"10308","503","51"
"27608","2022-12-09T00:00:00.000","NY SMSA","Approved",,"UTILITY","Queens","1018899.0000000","216679.0000000","40.7613423","-73.8749249","B","94th Street","30th Avenue","Astoria Blvd",,,,,,"11369","403","21"
"27607","2022-12-09T00:00:00.000","NY SMSA","Approved",,"UTILITY","Queens","1016838.0000000","200981.0000000","40.7182631","-73.8824407","B","Juniper Blvd S","74th Street","75th Street",,,,,,"11379","405","30"
"27606","2022-12-09T00:00:00.000","NY SMSA","Approved",,"UTILITY","Queens","1018992.0000000","215659.0000000","40.7585423","-73.8745945","B","Junction Blvd","32nd Ave","Northern Blvd",,,,,,"11369","403","21"
"27592","2022-10-29T00:00:00.000","Crown Castle NG","Proposed",,"CITY","Manhattan","983990.2000000","201499.3000000","40.7197457","-74.0009372","A","Howard St","Broadway","Crosby St",,"SoHo-Cast Iron Historic District",,"SoHo Broadway BID",,"10013","102","1"
"27591","2022-10-29T00:00:00.000","Crown Castle NG","Proposed",,"CITY","Manhattan","987855.4452186","207625.8984185","40.7365610","-73.9869900","A","Irving Pl","E 18th St","E 19th St",,,,,,"10003","105","2"
"27586","2022-10-29T00:00:00.000","Crown Castle NG","Proposed",,"CITY","Manhattan","986864.7000000","209013.0000000","40.7403686","-73.9905645","A","5 Ave","E 21st St","E 22nd St",,"Ladies' Mile Historic District",,"Flatiron/23rd Street Partnership",,"10010","105","3"
"27585","2022-10-29T00:00:00.000","Crown Castle NG","Approved",,"CITY","Manhattan","985816.2000000","201551.1500000","40.7198879","-73.9943499","A","Bowery","Broome","Delancy",,,,,,"10012","102","1"
"27584","2022-10-27T00:00:00.000","Crown Castle Fiber","Proposed",,"CITY","Manhattan","986936.0000000","209514.0000000","40.7417437","-73.9903070","A","W 23rd St","5th Ave","6th Ave",,"Ladies' Mile Historic District",,"Flatiron/23rd Street Partnership",,"10010","105","3"
"27583","2022-10-31T00:00:00.000","ExteNet I","Proposed",,"CITY","Manhattan","985620.8994714","213532.5831158","40.7527740","-73.9950520","A","W 34 Street","9 Avenue","8 Avenue",,,,"34th Street BID",,"10001","104","3"
"27582","2022-10-31T00:00:00.000","ExteNet I","Proposed",,"CITY","Manhattan","988541.0000000","215836.0000000","40.7590954","-73.9845110","A","W 47 Street","7 Avenue","6 Avenue",,,,"Times Square BID",,"10036","105","4"
"27581","2022-10-31T00:00:00.000","ExteNet I","Proposed",,"CITY","Manhattan","995919.0000000","216866.0000000","40.7619158","-73.9578772","A","E 64 Street","York Avenue","1 Avenue",,,,,,"10065","108","5"
"27580","2022-10-20T00:00:00.000","NY SMSA","Proposed",,"UTILITY","Staten_Island","962451.0000000","171813.0000000","40.6382367","-74.0785443","B","Victory Boulevard","Monroe Avenue","Van Duzer Street",,,,,,"10301","501","49"
"27578","2022-10-29T00:00:00.000","Crown Castle NG","Approved",,"CITY","Manhattan","983358.4116160","205851.7174677","40.7316920","-74.0032170","A","Bleeker St","Jones St","Cornelia St",,"Greenwich Village Historic District Extension II",,,,"10014","102","3"
"27576","2022-10-15T00:00:00.000","NY SMSA","Approved",,"CITY","Manhattan","995545.3540000","223220.3130000","40.7793572","-73.9592153","A","EAST 84 STREET","MADISON AVENUE","PARK AVENUE",,,,,,"10028","108","4"
"27575","2022-10-15T00:00:00.000","NY SMSA","Approved",,"CITY","Manhattan","995256.7800000","223688.0940000","40.7806415","-73.9602565","A","EAST 85 STREET","5 AVENUE","MADISON AVENUE",,"Metropolitan Museum Historic District",,,,"10028","108","4"
"27574","2022-10-15T00:00:00.000","NY SMSA","Approved",,"CITY","Manhattan","994553.6400000","218697.0700000","40.7669433","-73.9628031","A","3 AVENUE","EAST 68 STREET","EAST 67 STREET",,,,,,"10065","108","4"
"27570","2022-10-15T00:00:00.000","NY SMSA","Proposed",,"CITY","Manhattan","994512.2600000","221761.2700000","40.7753538","-73.9629478","A","MADISON AVENUE","EAST 78 STREET","EAST 77 STREET",,"Upper East Side Historic District",,"Madison Avenue BID",,"10075","108","4"
"27568","2022-10-15T00:00:00.000","NY SMSA","Proposed",,"CITY","Manhattan","985606.5850000","205434.9440000","40.7305480","-73.9951053","A","WAVERLY PLACE","GREENE STREET","UNIVERSITY PLACE",,,,,,"10003","102","1"
"27567","2022-10-15T00:00:00.000","NY SMSA","Approved",,"CITY","Manhattan","984725.4420000","206208.3860000","40.7326710","-73.9982845","A","MAC DOUGAL STREET","MACDOUGAL ALLEY","WEST 8 STREET",,"Greenwich Village Historic District",,"Village Alliance BID",,"10011","102","1"
"27563","2022-10-29T00:00:00.000","Crown Castle NG","Approved",,"CITY","Manhattan","992765.0000000","213244.0000000","40.7519779","-73.9692671","A","E 46th St","2nd Ave","1st Ave",,,,,,"10017","106","4"
"27562","2022-10-27T00:00:00.000","Crown Castle Fiber","Proposed",,"CITY","Manhattan","990606.0223755","208401.3960532","40.7386880","-73.9770640","A","1st Ave","E 26th St","E 25th St",,,,,,"10016","106","4"
"27557","2022-10-27T00:00:00.000","Crown Castle Fiber","Approved",,"CITY","Manhattan","989254.1400000","222214.5500000","40.7766024","-73.9819320","A","Broadway","W 69th St","W 70th St",,"Upper West Side/Central Park West Historic District",,"Lincoln Square BID",,"10023","107","6"
"27556","2022-10-27T00:00:00.000","Crown Castle Fiber","Approved",,"CITY","Manhattan","986569.0000000","214851.0000000","40.7563925","-73.9916296","A","W 40 St","8 Ave","9 Ave",,,,"Garment District",,"10018","104","3"
"27555","2022-10-27T00:00:00.000","Crown Castle Fiber","Approved",,"CITY","Manhattan","983871.9300000","214192.9000000","40.7545865","-74.0013646","A","W 33rd St","Hudson Bl E","11th Ave",,,,"Hudson Yards/Hell's Kitchen",,"10001","104","3"
"27554","2022-10-27T00:00:00.000","Crown Castle Fiber","Approved",,"CITY","Manhattan","984260.9000000","213862.9000000","40.7536807","-73.9999607","A","10th Ave","W 33rd St","W 31st St",,,,"Hudson Yards/Hell's Kitchen",,"10001","104","3"
"27544","2022-10-05T00:00:00.000","Crown Castle Fiber","Proposed",,"UTILITY","Staten_Island","931087.0000000","131239.0000000","40.5267367","-74.1912330","B","Eyland St","Luten Ave","Chisholm St",,,,,,"10312","503","51"
"27542","2022-09-22T00:00:00.000","Crown Castle Fiber","Approved",,"UTILITY","Staten_Island","955566.0000000","154324.0000000","40.5902134","-74.1032774","B","E Loop Ave","Eastentry Rd","Flagg Pl",,,,,,"10304","502","50"
"27541","2022-09-22T00:00:00.000","Crown Castle Fiber","Proposed",,"UTILITY","Bronx","1017337.0000000","265343.0000000","40.8949169","-73.8803234","B","Jerome Ave","E 223rd St","Bainbridge St","Van Cortlandt Park",,,,,"10471","226","11"
"27540","2022-09-22T00:00:00.000","Crown Castle Fiber","Proposed",,"UTILITY","Queens","1029954.0000000","214038.0000000","40.7540432","-73.8350369","B","Maple Ave","Sanford Ave","Fuller Pl",,,,,,"11355","407","20"
"27539","2022-09-22T00:00:00.000","Crown Castle Fiber","Proposed",,"UTILITY","Brooklyn","1000679.0000000","149975.0000000","40.5783075","-73.9408576","B","Oriental Blvd","Langham St","Kensington St",,,,,,"11235","315","48"
"27537","2022-08-20T00:00:00.000","Crown Castle NG","Approved",,"CITY","Bronx","1022058.0000000","247405.0000000","40.8456637","-73.8633486","B","Wallace Ave","Morris Park Ave","Van Nest Ave",,,,"Morris Park BID",,"10462","211","13"
"27536","2022-08-20T00:00:00.000","Crown Castle NG","Proposed",,"CITY","Brooklyn","985964.9600000","189511.3500000","40.6868414","-73.9938163","B","Court St","Warren St","Wyckoff St",,"Cobble Hill Historic District",,,,"11201","306","39"
"27535","2022-08-20T00:00:00.000","Crown Castle NG","Approved",,"CITY","Bronx","1009357.0000000","246455.0000000","40.8431015","-73.9092580","C","Mt Eden Pkwy","Morris Ave","Eastburn Ave",,,,,,"10457","204","15"
"27534","2023-02-07T00:00:00.000","Crown Castle Fiber","Approved",,"CITY","Bronx","1011200.0000000","253432.0000000","40.8622458","-73.9025690","C","Davidson Ave","W Fordham Rd","W 184 St",,,,,,"10468","207","14"
"27533","2023-03-23T00:00:00.000","Crown Castle Fiber","Proposed",,"CITY","Bronx","1018547.0000000","257023.0000000","40.8720765","-73.8759894","C","Webster Ave","E 204 St","E 205 St",,,,,"BX SCHL FOR CONTINUOUS LEARNERS","10467","207","11"
"27532","2022-08-17T00:00:00.000","Crown Castle Fiber","Proposed",,"CITY","Manhattan","999727.0000000","240752.0000000","40.8274705","-73.9440760","B","Convent Ave","W 150 St","W 149 St",,,,,,"10031","109","9"
"27531","2022-08-17T00:00:00.000","Crown Castle Fiber","Approved",,"CITY","Manhattan","995690.0000000","234650.0000000","40.8107284","-73.9586735","B","W 122 St","Amsterdam Ave","Broadway",,,,,,"10027","109","7"
"27526","2022-08-17T00:00:00.000","Crown Castle Fiber","Approved",,"CITY","Bronx","1006178.0000000","242094.0000000","40.8311403","-73.9207618","C","E 165th St","Grand Concourse","Walton Ave",,"Grand Concourse Historic District",,,,"10452","204","16"
"27525","2022-08-17T00:00:00.000","Crown Castle Fiber","Approved",,"CITY","Brooklyn","989153.0000000","191375.0000000","40.6919555","-73.9823197","B","Flatbush Ave Ext","Willoughby St","Fleet St",,,,"MetroTechÂ BID",,"11201","302","35"
"27524","2022-08-17T00:00:00.000","Crown Castle Fiber","Proposed",,"CITY","Brooklyn","989634.0000000","185691.0000000","40.6763540","-73.9805897","B","5th Ave","Union St","President Ave",,,,"Park Slope 5th AvenueÂ BID",,"11215","306","39"
"27523","2022-08-17T00:00:00.000","Crown Castle Fiber","Approved",,"CITY","Brooklyn","988644.0000000","184259.0000000","40.6724240","-73.9841598","B","4th Street","5th Ave","Dead End","J.J. Byrne Playground",,,"Park Slope 5th AvenueÂ BID",,"11215","306","39"
"27517","2023-05-09T00:00:00.000","ExteNet I","Proposed",,"CITY","Queens","1006906.5000000","216198.0000000","40.7600610","-73.9182167","B","Steinway Street","Broadway","31st Avenue",,,,"Steinway Street BID",,"11103","401","22"
"27516","2022-08-23T00:00:00.000","ExteNet I","Proposed",,"CITY","Queens","1031850.7500000","199230.6000000","40.7133906","-73.8282956","B","Queens Boulevard","82nd Avenue","Union Turnpike",,,,,,"11415","409","29"
"27515","2022-08-23T00:00:00.000","ExteNet I","Proposed",,"CITY","Queens","1032891.2500000","221946.6800000","40.7757348","-73.8243780","B","Parsons Boulevard","Willets Point Boulevard","25th Drive",,,,,,"11354","407","20"
"27514","2022-08-23T00:00:00.000","ExteNet I","Proposed",,"CITY","Bronx","1009255.5000000","251605.0000000","40.8572370","-73.9096056","C","University Avenue","West 181st Street","West 180th Street",,,,,,"10453","205","14"
"27513","2022-08-23T00:00:00.000","ExteNet I","Approved",,"CITY","Queens","1035393.3758122","196035.8328301","40.7046020","-73.8155410","B","Queens Boulevard","Hillside Avenue","87th Avenue",,,,,,"11435","408","24"
"27512","2022-08-23T00:00:00.000","ExteNet I","Proposed",,"CITY","Queens","1039442.8960039","197332.6077846","40.7081370","-73.8009250","B","Hillside Avenue","161st Street","162nd Street",,,,,,"11432","412","24"
"27511","2022-08-23T00:00:00.000","ExteNet I","Approved",,"CITY","Queens","1024135.2575033","204577.9712815","40.7281060","-73.8560950","B","Queens Boulevard","66th Avenue","65th Road",,,,,,"11374","406","29"
"27510","2022-08-23T00:00:00.000","ExteNet I","Proposed",,"CITY","Bronx","1017184.5000000","251282.3300000","40.8563253","-73.8809441","B","Southern Boulevard","East Fordham Road","East 187th Street",,,,"Belmont BID",,"10458","206","15"
"27509","2022-08-23T00:00:00.000","ExteNet I","Approved",,"CITY","Queens","1008838.2061438","213694.7404741","40.7531850","-73.9112530","B","Northern Boulevard","Newton Road","50th Street",,,,,,"11103","401","26"
"27508","2022-08-23T00:00:00.000","ExteNet I","Proposed",,"CITY","Queens","1001776.1800000","210779.3900000","40.7451999","-73.9367498","B","Thomson Avenue","30th Street","30th Place",,,,,,"11101","402","26"
"27507","2022-08-23T00:00:00.000","ExteNet I","Approved",,"CITY","Bronx","1016393.7168987","254143.3932314","40.8641810","-73.8837890","B","Southern Boulevard","Bedford Park Boulevard","Xavier Way",,,,,,"10458","206","15"
"27506","2022-08-23T00:00:00.000","ExteNet I","Approved",,"CITY","Bronx","1030981.1434731","255915.9676886","40.8689810","-73.8310380","B","Bartow Avenue","Baychester Avenue","Asch Loop",,,,,,"10475","210","12"
"27505","2022-08-23T00:00:00.000","ExteNet I","Proposed",,"CITY","Queens","1044354.2000000","199081.6000000","40.7129056","-73.7831949","B","Hillside Avenue","179th Place","179th Street",,,,,,"11432","408","24"
"27504","2022-08-23T00:00:00.000","ExteNet I","Proposed",,"CITY","Queens","1037293.4000000","195604.1000000","40.7034058","-73.8086916","B","Sutphin Boulevard","89th Avenue","90th Avenue",,,,"Sutphin Boulevard BID",,"11435","412","24"
"27503","2022-08-23T00:00:00.000","ExteNet I","Approved",,"CITY","Queens","1017455.2131864","219038.4727614","40.7678240","-73.8801250","B","23rd Avenue","90th Street","86th Street",,,,,,"11369","403","22"
"27502","2022-08-23T00:00:00.000","ExteNet I","Proposed",,"CITY","Queens","1030599.1827622","213630.3589946","40.7529210","-73.8327110","B","College Point Boulevard","Pople Avenue","Maple Avenue",,,,,,"11355","407","20"
"27501","2022-08-23T00:00:00.000","ExteNet I","Proposed",,"CITY","Queens","1028402.0000000","201734.3900000","40.7202808","-73.8407194","B","Queens Boulevard","72nd Road","72nd Avenue",,,,,,"11375","406","29"
"27500","2022-08-23T00:00:00.000","ExteNet I","Proposed",,"CITY","Queens","1039773.2744592","195314.9674279","40.7025970","-73.7997500","B","Archer Avenue","Parsons Boulevard","160th Street",,,,"Jamaica Center BID",,"11433","412","27"
"27499","2022-08-23T00:00:00.000","ExteNet I","Approved",,"CITY","Queens","1048741.0710411","216486.6296091","40.7606470","-73.7672040","B","Northern Boulevard","215th Street","215th Place",,,,,,"11361","411","19"
"27498","2022-08-23T00:00:00.000","ExteNet I","Approved",,"CITY","Queens","1017017.7282106","217679.2787850","40.7640950","-73.8817110","B","Astoria Boulevard","88th Street","87th Street",,,,,,"11369","403","22"
"27497","2022-08-23T00:00:00.000","ExteNet I","Proposed",,"CITY","Queens","1049751.9200000","216710.2000000","40.7612532","-73.7635529","B","Northern Boulevard","218th Street","219th Street",,,,,,"11361","411","19"
"27496","2022-08-23T00:00:00.000","ExteNet I","Proposed",,"CITY","Queens","1013856.7675528","214231.1765185","40.7546420","-73.8931370","B","Northern Boulevard","74th Street","73rd Street",,,,,,"11372","403","25"
"27495","2022-08-23T00:00:00.000","ExteNet I","Approved",,"CITY","Bronx","1022690.3039297","240297.5133823","40.8261530","-73.8611040","B","Bruckner Boulevard","Underhill Avenue","White Plains Road",,,,,,"10472","209","18"
"27494","2022-08-23T00:00:00.000","ExteNet I","Proposed",,"CITY","Queens","1014492.7656659","211212.3727721","40.7463540","-73.8908550","B","Broadway","75th Street","74th Street",,,,,,"11373","404","25"
"27493","2022-08-23T00:00:00.000","ExteNet I","Approved",,"CITY","Queens","1022173.0311515","215335.3813107","40.7576410","-73.8631140","B","Northern Boulevard","106th Street","105th Street",,,,,,"11368","403","21"
"27492","2022-08-23T00:00:00.000","ExteNet I","Proposed",,"CITY","Bronx","1026893.1127304","249429.0189274","40.8511970","-73.8458600","B","Morris Park Avenue","Eastchester Road","Newport Avenue",,,,,,"10461","211","13"
"27491","2022-08-23T00:00:00.000","ExteNet I","Proposed",,"CITY","Queens","1007441.3792555","217060.1648471","40.7624260","-73.9162830","B","Steinway Street","31st Avenue","30th Avenue",,,,"Steinway Street BID",,"11103","401","22"
