"agency","beginning_of_reporting_period","end_of_reporting_period","people_served","applications_distributed","applications_sent_to_boe","staff_trained","agency_weblink_to_nyc_votes","web_clicks"
"Small Business Services","2017-07-01T00:00:00.000","2017-12-31T00:00:00.000","58940","257","53","43","Y","NA"
"Taxi and Limousine","2017-07-01T00:00:00.000","2017-12-31T00:00:00.000","NA","NA","NA","NA","Y","NA"
"Transportation","2017-07-01T00:00:00.000","2017-12-31T00:00:00.000","27385","9511","0","34","Y","1441"
"Youth and Community Development","2017-07-01T00:00:00.000","2017-12-31T00:00:00.000","30947","11857","807","282","Y","0"
"Aging","2017-01-01T00:00:00.000","2017-06-30T00:00:00.000","30000","73","40","500","Y","NA"
"Business Integrity Commission","2017-01-01T00:00:00.000","2017-06-30T00:00:00.000","1003","0","0","6","Y","23"
"Children's Services","2017-01-01T00:00:00.000","2017-06-30T00:00:00.000","30000","880","16","150","Y","42"
"City Planning","2017-01-01T00:00:00.000","2017-06-30T00:00:00.000","NA","0","0","0","Y","0"
"Citywide Administrative Services","2017-01-01T00:00:00.000","2017-06-30T00:00:00.000","19951","9715","0","18","Y","2543"
"Civilian Complaint Review Board","2017-01-01T00:00:00.000","2017-06-30T00:00:00.000","0","0","0","0","Y","0"
"Consumer Affairs","2017-01-01T00:00:00.000","2017-06-30T00:00:00.000","52217","13152","20","9","Y","69"
"Correction","2017-01-01T00:00:00.000","2017-06-30T00:00:00.000","NA","NA","NA","NA","NA","NA"
"Cultural Affairs","2017-01-01T00:00:00.000","2017-06-30T00:00:00.000","NA","NA","NA","NA","NA","NA"
"DORIS","2017-01-01T00:00:00.000","2017-06-30T00:00:00.000","5","5","0","0","Y","NA"
"Environmental Protection","2017-01-01T00:00:00.000","2017-06-30T00:00:00.000","24","10348","58","2","Y","15"
"Finance","2017-01-01T00:00:00.000","2017-06-30T00:00:00.000","18367","18367","0","0","Y","NA"
"Fire","2017-01-01T00:00:00.000","2017-06-30T00:00:00.000","60","9","2","27","Y","34"
"Health and Mental Hygiene","2017-01-01T00:00:00.000","2017-06-30T00:00:00.000","NA","768","15","0","Y","NA"
"Homeless Services","2017-01-01T00:00:00.000","2017-06-30T00:00:00.000","NA","935","21","NA","Y","35"
"Housing Preservation and Development","2017-01-01T00:00:00.000","2017-06-30T00:00:00.000","31200","NA","0","NA","Y","21"
"Human Resources Administration","2017-01-01T00:00:00.000","2017-06-30T00:00:00.000","2192799","465331","12105","483","N","0"
"Human Rights Commission","2017-01-01T00:00:00.000","2017-06-30T00:00:00.000","734","734","0","0","Y","13"
"Parks and Recreation","2017-01-01T00:00:00.000","2017-06-30T00:00:00.000","1800000","105000","0","0","Y","63"
"Probation","2017-01-01T00:00:00.000","2017-06-30T00:00:00.000","2531","94","0","15","Y","60"
"Small Business Services","2017-01-01T00:00:00.000","2017-06-30T00:00:00.000","61287","310","95","43","N","0"
"Taxi and Limousine","2017-01-01T00:00:00.000","2017-06-30T00:00:00.000","89000","60","0","2","Y","NA"
"Transportation","2017-01-01T00:00:00.000","2017-06-30T00:00:00.000","33813","24481","0","45","Y","1222"
"Youth and Community Development","2017-01-01T00:00:00.000","2017-06-30T00:00:00.000","76993","12280","953","409","Y","20"
"Aging","2016-07-01T00:00:00.000","2016-12-31T00:00:00.000","30000","285","192","500","Y","NA"
"Business Integrity Commission","2016-07-01T00:00:00.000","2016-12-31T00:00:00.000","824","7","0","0","Y","0"
"Children's Services","2016-07-01T00:00:00.000","2016-12-31T00:00:00.000","30000","900","20","150","N","0"
"City Planning","2016-07-01T00:00:00.000","2016-12-31T00:00:00.000","0","10","0","0","N","0"
"Citywide Administrative Services","2016-07-01T00:00:00.000","2016-12-31T00:00:00.000","12725","156","1","18","Y","31000"
"Civilian Complaint Review Board","2016-07-01T00:00:00.000","2016-12-31T00:00:00.000","32","32","0","0","N","NA"
"Consumer Affairs","2016-07-01T00:00:00.000","2016-12-31T00:00:00.000","56083","56500","67","77","Y","146"
"Correction","2016-07-01T00:00:00.000","2016-12-31T00:00:00.000","4955","2700","1106","17","N","0"
"Cultural Affairs","2016-07-01T00:00:00.000","2016-12-31T00:00:00.000","10800","0","0","6","Y","32"
"DORIS","2016-07-01T00:00:00.000","2016-12-31T00:00:00.000","15","15","0","6","Y","NA"
"Environmental Protection","2016-07-01T00:00:00.000","2016-12-31T00:00:00.000","24832","10687","90","3","Y","46"
"Finance","2016-07-01T00:00:00.000","2016-12-31T00:00:00.000","18658","18658","0","0","Y","NA"
"Fire","2016-07-01T00:00:00.000","2016-12-31T00:00:00.000","100000","22","0","7","Y","62"
"Health and Mental Hygiene","2016-07-01T00:00:00.000","2016-12-31T00:00:00.000","NA","1741","41","28","Y","NA"
"Homeless Services","2016-07-01T00:00:00.000","2016-12-31T00:00:00.000","NA","8095","146","NA","Y","74"
"Housing Preservation and Development","2016-07-01T00:00:00.000","2016-12-31T00:00:00.000","28500","NA","NA","NA","Y","NA"
"Human Resources Administration","2016-07-01T00:00:00.000","2016-12-31T00:00:00.000","2192799","465331","12105","483","N","0"
"Human Rights Commission","2016-07-01T00:00:00.000","2016-12-31T00:00:00.000","2148","2148","8","0","Y","NA"
"Parks and Recreation","2016-07-01T00:00:00.000","2016-12-31T00:00:00.000","1800000","57499","0","25","Y","5169"
"Probation","2016-07-01T00:00:00.000","2016-12-31T00:00:00.000","2255","269","0","15","Y","135"
"Small Business Services","2016-07-01T00:00:00.000","2016-12-31T00:00:00.000","57291","424","107","43","N","0"
"Taxi and Limousine","2016-07-01T00:00:00.000","2016-12-31T00:00:00.000","92000","70","0","6","Y","NA"
"Transportation","2016-07-01T00:00:00.000","2016-12-31T00:00:00.000","32673","10085","0","38","Y","2763"
"Youth and Community Development","2016-07-01T00:00:00.000","2016-12-31T00:00:00.000","31064","12035","4210","412","Y","161"
"Aging","2016-01-01T00:00:00.000","2016-06-30T00:00:00.000","30000","159","75","1500","NA","NA"
"Business Integrity Commission","2016-01-01T00:00:00.000","2016-06-30T00:00:00.000","1054","2","1","6","NA","45"
"Children's Services","2016-01-01T00:00:00.000","2016-06-30T00:00:00.000","30000","1200","0","150","NA","48"
"City Planning","2016-01-01T00:00:00.000","2016-06-30T00:00:00.000","NA","0","NA","NA","NA","5"
"Citywide Administrative Services","2016-01-01T00:00:00.000","2016-06-30T00:00:00.000","11500","323","17","18","NA","31000"
"Civilian Complaint Review Board","2016-01-01T00:00:00.000","2016-06-30T00:00:00.000","NA","NA","NA","NA","NA","NA"
"Consumer Affairs","2016-01-01T00:00:00.000","2016-06-30T00:00:00.000","99542","100000","42","15","NA","181"
"Correction","2016-01-01T00:00:00.000","2016-06-30T00:00:00.000","52350","NA","0","10","NA","NA"
"Cultural Affairs","2016-01-01T00:00:00.000","2016-06-30T00:00:00.000","24960","0","0","7","NA","59"
"DORIS","2016-01-01T00:00:00.000","2016-06-30T00:00:00.000","49","30","19","3","NA","0"
"Environmental Protection","2016-01-01T00:00:00.000","2016-06-30T00:00:00.000","25496","11842","101","6","NA","20"
"Finance","2016-01-01T00:00:00.000","2016-06-30T00:00:00.000","21553","21553","0","0","NA","0"
"Fire","2016-01-01T00:00:00.000","2016-06-30T00:00:00.000","74773","49","9","27","NA","25"
"Health and Mental Hygiene","2016-01-01T00:00:00.000","2016-06-30T00:00:00.000","NA","1619","0","0","NA","NA"
"Homeless Services","2016-01-01T00:00:00.000","2016-06-30T00:00:00.000","NA","5991","129","NA","NA","168"
"Housing Preservation and Development","2016-01-01T00:00:00.000","2016-06-30T00:00:00.000","30650","NA","0","NA","NA","275"
"Human Resources Administration","2016-01-01T00:00:00.000","2016-06-30T00:00:00.000","3156318","759978","13222","396","NA","0"
"Human Rights Commission","2016-01-01T00:00:00.000","2016-06-30T00:00:00.000","2068","2068","3","0","NA","353"
"Parks and Recreation","2016-01-01T00:00:00.000","2016-06-30T00:00:00.000","1800000","110000","0","50","NA","38"
"Probation","2016-01-01T00:00:00.000","2016-06-30T00:00:00.000","2436","269","0","0","NA","82"
"Small Business Services","2016-01-01T00:00:00.000","2016-06-30T00:00:00.000","57334","550","81","43","NA","NA"
"Taxi and Limousine","2016-01-01T00:00:00.000","2016-06-30T00:00:00.000","NA","NA","NA","NA","NA","NA"
"Transportation","2016-01-01T00:00:00.000","2016-06-30T00:00:00.000","32937","9727","0","0","NA","1967"
"Youth and Community Development","2016-01-01T00:00:00.000","2016-06-30T00:00:00.000","27194","9368","596","308","NA","503"
"Aging","2015-07-01T00:00:00.000","2015-12-31T00:00:00.000","NA","NA","NA","NA","NA","NA"
"Business Integrity Commission","2015-07-01T00:00:00.000","2015-12-31T00:00:00.000","NA","NA","NA","NA","NA","NA"
"Children's Services","2015-07-01T00:00:00.000","2015-12-31T00:00:00.000","1959","1959","12","1522","N","NA"
"City Planning","2015-07-01T00:00:00.000","2015-12-31T00:00:00.000","NA","NA","NA","NA","NA","NA"
"Citywide Administrative Services","2015-07-01T00:00:00.000","2015-12-31T00:00:00.000","10000","4016","1115","1","Y","1147"
"Civilian Complaint Review Board","2015-07-01T00:00:00.000","2015-12-31T00:00:00.000","NA","NA","NA","NA","Y","NA"
"Consumer Affairs","2015-07-01T00:00:00.000","2015-12-31T00:00:00.000","38766","40000","10","5","Y","65"
"Correction","2015-07-01T00:00:00.000","2015-12-31T00:00:00.000","67000","48325","0","50","Y","NA"
"Cultural Affairs","2015-07-01T00:00:00.000","2015-12-31T00:00:00.000","NA","NA","NA","NA","NA","NA"
"DORIS","2015-07-01T00:00:00.000","2015-12-31T00:00:00.000","NA","NA","NA","NA","NA","NA"
"Environmental Protection","2015-07-01T00:00:00.000","2015-12-31T00:00:00.000","26247","5475","51","5","Y","NA"
"Finance","2015-07-01T00:00:00.000","2015-12-31T00:00:00.000","20483","20471","12","6","Y","NA"
"Fire","2015-07-01T00:00:00.000","2015-12-31T00:00:00.000","NA","NA","NA","NA","NA","NA"
"Health and Mental Hygiene","2015-07-01T00:00:00.000","2015-12-31T00:00:00.000","NA","1090","42","7","Y","NA"
"Homeless Services","2015-07-01T00:00:00.000","2015-12-31T00:00:00.000","NA","5891","2","0","N","NA"
"Housing Preservation and Development","2015-07-01T00:00:00.000","2015-12-31T00:00:00.000","NA","NA","NA","NA","Y","NA"
"Human Resources Administration","2015-07-01T00:00:00.000","2015-12-31T00:00:00.000","NA","NA","NA","NA","NA","NA"
"Human Rights Commission","2015-07-01T00:00:00.000","2015-12-31T00:00:00.000","1747","1447","0","0","Y","85"
"Parks and Recreation","2015-07-01T00:00:00.000","2015-12-31T00:00:00.000","1800000","1650","0","54","Y","23"
"Probation","2015-07-01T00:00:00.000","2015-12-31T00:00:00.000","2493","313","0","15","Y","66"
"Small Business Services","2015-07-01T00:00:00.000","2015-12-31T00:00:00.000","NA","NA","NA","NA","N","NA"
"Taxi and Limousine","2015-07-01T00:00:00.000","2015-12-31T00:00:00.000","124644","0","0","156","Y","0"
"Transportation","2015-07-01T00:00:00.000","2015-12-31T00:00:00.000","32954","7318","0","0","Y","110"
"Youth and Community Development","2015-07-01T00:00:00.000","2015-12-31T00:00:00.000","26536","6267","610","389","Y","43"
"Aging","2015-01-01T00:00:00.000","2015-06-30T00:00:00.000","NA","NA","NA","NA","NA","NA"
"Business Integrity Commission","2015-01-01T00:00:00.000","2015-06-30T00:00:00.000","NA","NA","NA","NA","NA","NA"
"Children's Services","2015-01-01T00:00:00.000","2015-06-30T00:00:00.000","NA","9700","27","2950","N","NA"
"City Planning","2015-01-01T00:00:00.000","2015-06-30T00:00:00.000","NA","NA","NA","NA","NA","NA"
"Citywide Administrative Services","2015-01-01T00:00:00.000","2015-06-30T00:00:00.000","10000","277","25","25","Y","NA"
"Civilian Complaint Review Board","2015-01-01T00:00:00.000","2015-06-30T00:00:00.000","183","183","0","2","N","NA"
"Consumer Affairs","2015-01-01T00:00:00.000","2015-06-30T00:00:00.000","48030","48030","26","66","Y","NA"
"Correction","2015-01-01T00:00:00.000","2015-06-30T00:00:00.000","11000","20000","0","30","N","NA"
"Cultural Affairs","2015-01-01T00:00:00.000","2015-06-30T00:00:00.000","NA","NA","NA","NA","NA","NA"
"DORIS","2015-01-01T00:00:00.000","2015-06-30T00:00:00.000","NA","NA","NA","NA","NA","NA"
"Environmental Protection","2015-01-01T00:00:00.000","2015-06-30T00:00:00.000","5389","4651","30","50","Y","NA"
"Finance","2015-01-01T00:00:00.000","2015-06-30T00:00:00.000","332275","351","0","2","Y","NA"
"Fire","2015-01-01T00:00:00.000","2015-06-30T00:00:00.000","NA","NA","NA","NA","NA","NA"
"Health and Mental Hygiene","2015-01-01T00:00:00.000","2015-06-30T00:00:00.000","NA","133","80","24","N","NA"
"Homeless Services","2015-01-01T00:00:00.000","2015-06-30T00:00:00.000","NA","14483","47","2","N","NA"
"Housing Preservation and Development","2015-01-01T00:00:00.000","2015-06-30T00:00:00.000","34000","8000","0","20","Y","NA"
"Human Resources Administration","2015-01-01T00:00:00.000","2015-06-30T00:00:00.000","NA","NA","NA","NA","NA","NA"
"Human Rights Commission","2015-01-01T00:00:00.000","2015-06-30T00:00:00.000","NA","NA","NA","NA","NA","NA"
"Parks and Recreation","2015-01-01T00:00:00.000","2015-06-30T00:00:00.000","1800000","2000","0","54","Y","NA"
"Probation","2015-01-01T00:00:00.000","2015-06-30T00:00:00.000","1826","1826","0","25","Y","NA"
"Small Business Services","2015-01-01T00:00:00.000","2015-06-30T00:00:00.000","70111","357","10","43","N","NA"
"Taxi and Limousine","2015-01-01T00:00:00.000","2015-06-30T00:00:00.000","37260","26729","0","156","Y","NA"
"Transportation","2015-01-01T00:00:00.000","2015-06-30T00:00:00.000","26853","20120","0","30","Y","NA"
"Youth and Community Development","2015-01-01T00:00:00.000","2015-06-30T00:00:00.000","NA","250000","0","NA","Y","NA"
"Aging","2019-07-01T00:00:00.000","2019-12-31T00:00:00.000","20,000","67","19","0","Y","37"
"Business Integrity Commission","2019-07-01T00:00:00.000","2019-12-31T00:00:00.000","1081","5","0","6","Y","6"
"Children's Services","2019-07-01T00:00:00.000","2019-12-31T00:00:00.000","2800","700","213","32","Y","0"
"City Planning","2019-07-01T00:00:00.000","2019-12-31T00:00:00.000","5","2077","0","5","Y","39"
"Citywide Administrative Services","2019-07-01T00:00:00.000","2019-12-31T00:00:00.000","413","52","0","2","Y","320"
"Civilian Complaint Review Board","2019-07-01T00:00:00.000","2019-12-31T00:00:00.000","301","301","1","4","Y","4"
"Consumer Affairs","2019-07-01T00:00:00.000","2019-12-31T00:00:00.000","40407","23","6","11993","Y","53"
"Correction","2019-07-01T00:00:00.000","2019-12-31T00:00:00.000","632","NA","632","0","Y","69"
"Cultural Affairs","2019-07-01T00:00:00.000","2019-12-31T00:00:00.000","5000","36","0","8","Y","13"
"DORIS","2019-07-01T00:00:00.000","2019-12-31T00:00:00.000","24","12","9","2","Y","4"
"Environmental Protection","2019-07-01T00:00:00.000","2019-12-31T00:00:00.000","8983","8933","50","2","Y","0"
"Finance","2019-07-01T00:00:00.000","2019-12-31T00:00:00.000","20138","20138","0","10","Y","2307"
"Fire","2019-07-01T00:00:00.000","2019-12-31T00:00:00.000","71869","20","6","10","Y","34"
"Health and Mental Hygiene","2019-07-01T00:00:00.000","2019-12-31T00:00:00.000","75","1670","52","26","Y","105"
"Homeless Services","2019-07-01T00:00:00.000","2019-12-31T00:00:00.000","NA","2689","43","80","Y","51"
"Housing Preservation and Development","2019-07-01T00:00:00.000","2019-12-31T00:00:00.000","25000","NA","0","1","Y","268"
"Human Resources Administration","2019-07-01T00:00:00.000","2019-12-31T00:00:00.000","NA","602,890","5125","665","Y","55"
"Human Rights Commission","2019-07-01T00:00:00.000","2019-12-31T00:00:00.000","9605","1206","55","33","Y","0"
"Parks and Recreation","2019-07-01T00:00:00.000","2019-12-31T00:00:00.000","1400000","75753","0","0","Y","76"
"Probation","2019-07-01T00:00:00.000","2019-12-31T00:00:00.000","1904","240","0","15","Y","147"
"Small Business Services","2019-07-01T00:00:00.000","2019-12-31T00:00:00.000","40959","451","113","50","Y","185"
"Taxi and Limousine","2019-07-01T00:00:00.000","2019-12-31T00:00:00.000","68000","300","0","605","Y","135"
"Transportation","2019-07-01T00:00:00.000","2019-12-31T00:00:00.000","6357","NA","NA","16","Y","60"
"Youth and Community Development","2019-07-01T00:00:00.000","2019-12-31T00:00:00.000","45718","13832","1393","289","N","0"
"Aging","2019-01-01T00:00:00.000","2019-06-30T00:00:00.000","20000","57","14","0","Y","44"
"Business Integrity Commission","2019-01-01T00:00:00.000","2019-06-30T00:00:00.000","1104","1","1","6","Y","8"
"Children's Services","2019-01-01T00:00:00.000","2019-06-30T00:00:00.000","43926","4014","62","305","Y","390"
"City Planning","2019-01-01T00:00:00.000","2019-06-30T00:00:00.000","5","5","0","5","Y","22"
"Citywide Administrative Services","2019-01-01T00:00:00.000","2019-06-30T00:00:00.000","413","15","0","2","Y","2829"
"Civilian Complaint Review Board","2019-01-01T00:00:00.000","2019-06-30T00:00:00.000","31","31","0","4","Y","2"
"Consumer Affairs","2019-01-01T00:00:00.000","2019-06-30T00:00:00.000","45995","39000","26","6","Y","56"
"Correction","2019-01-01T00:00:00.000","2019-06-30T00:00:00.000","NA","465","465","120","Y","77"
"Cultural Affairs","2019-01-01T00:00:00.000","2019-06-30T00:00:00.000","5380","26","0","8","Y","21"
"Environmental Protection","2019-01-01T00:00:00.000","2019-06-30T00:00:00.000","7348","7313","37","2","Y","45"
"Finance","2019-01-01T00:00:00.000","2019-06-30T00:00:00.000","14909","15905","0","14","Y","1681"
"Fire","2019-01-01T00:00:00.000","2019-06-30T00:00:00.000","11","13","9","10","Y","37"
"Health and Mental Hygiene","2019-01-01T00:00:00.000","2019-06-30T00:00:00.000","NA","1327","0","5","Y","184"
"Homeless Services","2019-01-01T00:00:00.000","2019-06-30T00:00:00.000","1050","1050","6","0","Y","63"
"Housing Preservation and Development","2019-01-01T00:00:00.000","2019-06-30T00:00:00.000","30000","NA","0","1","Y","200"
"Human Resources Administration","2019-01-01T00:00:00.000","2019-06-30T00:00:00.000","1210180","204234","7184","1705","Y","65"
"Human Rights Commission","2019-01-01T00:00:00.000","2019-06-30T00:00:00.000","4565","713","12","30","Y","24"
"Parks and Recreation","2019-01-01T00:00:00.000","2019-06-30T00:00:00.000","1400000","84500","0","0","Y","76"
"Probation","2019-01-01T00:00:00.000","2019-06-30T00:00:00.000","2279","51","0","15","Y","379"
"DORIS","2019-01-01T00:00:00.000","2019-06-30T00:00:00.000","6","6","3","2","Y","17"
"Small Business Services","2019-01-01T00:00:00.000","2019-06-30T00:00:00.000","60900","338","89","50","Y","58"
"Taxi and Limousine","2019-01-01T00:00:00.000","2019-06-30T00:00:00.000","48000","35000","0","605","Y","325"
"Transportation","2019-01-01T00:00:00.000","2019-06-30T00:00:00.000","22494","7603","0","5","Y","1221"
"Youth and Community Development","2019-01-01T00:00:00.000","2019-06-30T00:00:00.000","34409","16808","1491","158","N","0"
"Aging","2021-01-01T00:00:00.000","2021-06-30T00:00:00.000","24000","12","1","500","Y","24"
"Business Integrity Commission","2021-01-01T00:00:00.000","2021-06-30T00:00:00.000","0","0","0","6","Y","1"
"Children's Services","2021-01-01T00:00:00.000","2021-06-30T00:00:00.000","20151","650","84","99","Y","4,889"
"City Planning","2021-01-01T00:00:00.000","2021-06-30T00:00:00.000","1883","1,873","0","5","Y","10"
"Citywide Administrative Services","2021-01-01T00:00:00.000","2021-06-30T00:00:00.000","N/A","2","0","1","Y","123"
"Civilian Complaint Review Board","2021-01-01T00:00:00.000","2021-06-30T00:00:00.000","81","81","0","0","Y","0"
"Consumer and Worker Protection","2021-01-01T00:00:00.000","2021-06-30T00:00:00.000","3771","11,734","16","0","Y","75"
"Correction","2021-01-01T00:00:00.000","2021-06-30T00:00:00.000","5770","5,700","241","0","Y","17"
"Cultural Affairs","2021-01-01T00:00:00.000","2021-06-30T00:00:00.000","2000","0","0","8","Y","10"
"Environmental Protection","2021-01-01T00:00:00.000","2021-06-30T00:00:00.000","7913","7,826","87","2","Y","N/A"
"Finance","2021-01-01T00:00:00.000","2021-06-30T00:00:00.000","N/A","14,718","N/A","7","Y","N/A"
"Fire","2021-01-01T00:00:00.000","2021-06-30T00:00:00.000","76459","11","11","14","Y","25"
