"incident_type","location","borough","creation_date","closed_date","latitude","longitude"
"Structural-Crane",,"Brooklyn","2016-12-08T21:38:34.000",,,
"Structural-Crane","225 Park Avenue South","Manhattan","2016-12-09T12:20:14.000",,"40.71442154062271","-74.00607638041981"
"Utility-Gas Low Pressure","Noble Avenue & Watson Avenue","Bronx","2017-01-30T21:47:09.000",,"40.82730091310776","-73.86917897682753"
"Structural-Crane",,"Brooklyn","2016-11-18T13:12:51.000",,,
"Fire-2nd Alarm",,"Brooklyn","2016-12-16T04:45:58.000",,,
"Structural-Crane","229 Cherry Street","Manhattan","2016-11-30T16:29:12.000",,"40.71442154062271","-74.00607638041981"
"Administration-Meeting","720 Hunts Point Avenue","Bronx","2016-12-14T14:50:25.000",,"40.81509289332348","-73.88636923265318"
"Utility-Water Main","Watson Avenue  & Colgate Avenue","Bronx","2016-12-17T23:32:26.000",,"40.825653541278996","-73.88134827090516"
"Fire-1st Alarm","126 West 53rd Street","Manhattan","2016-12-25T22:42:56.000",,"40.71442154062271","-74.00607638041981"
"Fire-1st Alarm","151 West 100 Street","Manhattan","2016-12-23T13:36:49.000",,"40.71442154062271","-74.00607638041981"
"Fire-3rd Alarm","75 East 21 Street","Brooklyn","2017-06-02T19:50:53.000",,"40.65296715281295","-73.96044472854061"
"Fire-2nd Alarm","112 Taylor STreet","Staten Island","2016-12-16T04:45:58.000",,"40.63617530834489","-74.12338634300454"
"Transportation-Car","Cross Bronx Expressway & Webster Avenue","Bronx","2016-12-27T06:21:42.000",,"40.84442117829582","-73.90277738766548"
"Administration-Other","188 Street & 75 Avenue","Queens","2017-05-10T13:36:12.000",,"40.71400364095638","-73.82998933154158"
"Administration-Planned Event","1227 Tinton Avenue","Bronx","2016-06-01T14:29:27.000",,"40.83008667276402","-73.9000468719392"
"Transportation-Other",,"Queens","2017-01-19T04:08:25.000",,"40.74419565512141","-73.77154423626095"
"Fire-2nd Alarm","155-26 115 Avenue","Queens","2016-12-17T09:04:03.000",,,
"Administration-Other","188 Street & 75 Avenue","Queens","2017-05-10T13:36:12.000",,"40.71400364095638","-73.82998933154158"
"Structural-Street Collapse","Madison Avenue & East 56 Street","Manhattan","2017-01-26T16:52:25.000",,,
"Fire-5th Alarm",,"Brooklyn","2017-12-28T19:12:14.000",,,
"Utility-Power Outage","107-10 Shore Front Parkway","Queens","2017-01-21T08:59:38.000",,"40.71400364095638","-73.82998933154158"
"Transportation-Train Subway","West 128th Street & St. Nicholas Avenue","Manhattan","2017-06-27T10:05:40.000",,"40.71442154062271","-74.00607638041981"
"Fire-5th Alarm","60 East 9th Street","Manhattan","2017-06-28T18:04:26.000",,"40.73135779349652","-73.99245451693689"
"Fire-3rd Alarm","75 East 21 Street","Brooklyn","2017-06-02T19:50:53.000",,"40.65296715281295","-73.96044472854061"
"Utility-Gas Low Pressure","Noble Avenue & Watson Avenue","Bronx","2017-01-30T21:47:09.000",,"40.82730091310776","-73.86917897682753"
"Utility-Gas Low Pressure","Noble Avenue & Watson Avenue","Bronx","2017-01-30T21:47:09.000",,"40.82730091310776","-73.86917897682753"
"Fire-5th Alarm","72-10 Myrtle ave","Queens","2017-06-24T21:30:28.000",,"40.71400364095638","-73.82998933154158"
"Fire-5th Alarm","72-10 Myrtle ave","Queens","2017-06-24T21:30:28.000",,"40.71400364095638","-73.82998933154158"
"Structural-Crane",,"Brooklyn","2016-11-18T13:12:51.000",,,
"Utility-Power Outage","107-10 Shore Front Parkway","Queens","2017-01-21T08:59:38.000",,"40.71400364095638","-73.82998933154158"
"Utility-Water Service Line","West 167th Street & Edgecombe Avenue","Manhattan","2017-01-23T03:54:00.000",,"40.71442154062271","-74.00607638041981"
"Fire-3rd Alarm","1170 44 Street","Brooklyn","2017-08-28T04:05:15.000",,"40.6396450069249","-73.99227762796457"
"Utility-Water Main",,"Queens","2017-06-21T03:00:54.000",,,
"Fire-4th Alarm","860 Hunts Point Avenue","Bronx","2017-07-04T13:27:14.000",,,
"Structural-Construction Accident","31-25 28 Road","Queens","2017-06-20T15:57:24.000",,"40.71400364095638","-73.82998933154158"
"Fire-1st Alarm","150-05 Cohancy Street","Queens","2016-11-20T13:03:30.000",,"40.71400364095638","-73.82998933154158"
"Rescue-Technical","81-10 134 Street","Queens","2016-11-22T12:24:02.000","2016-11-22T18:27:30.000","40.71400364095638","-73.82998933154158"
"Fire-2nd Alarm","726 East 141 Street","Bronx","2017-06-30T02:01:05.000",,,
"Fire-5th Alarm","60 East 9th Street","Manhattan","2017-06-28T18:04:26.000",,"40.73135779349652","-73.99245451693689"
"Fire-4th Alarm","135-42 Roosevelt Avenue","Queens","2017-01-25T14:20:02.000",,"40.71400364095638","-73.82998933154158"
"Fire-2nd Alarm","447 Wales Avenue","Bronx","2017-07-26T03:06:44.000",,"40.81028097169481","-73.90820617557257"
"Fire-5th Alarm","60 East 9th Street","Manhattan","2017-06-28T18:04:26.000",,"40.73135779349652","-73.99245451693689"
"Law Enforcement-Other",,"Brooklyn","2017-07-05T00:59:11.000",,,
"Fire-3rd Alarm","117 e 179 st","Bronx","2017-07-05T05:23:56.000",,"40.83721305773555","-73.87145922837472"
"Utility-Water Main","West 81st Street & Central Park West","Manhattan","2017-01-14T00:15:09.000",,"40.71442154062271","-74.00607638041981"
"Utility-Water Service Line",,"Bronx","2017-07-11T04:50:50.000",,,
"Fire-2nd Alarm","2350 Beaumont Avenue","Bronx","2017-01-16T06:24:46.000",,"40.853695370346145","-73.88465007064343"
"Fire-1st Alarm","151 West 100 Street","Manhattan","2016-12-23T13:36:49.000",,"40.71442154062271","-74.00607638041981"
"Utility-Manhole","2061 broadway","Manhattan","2017-07-13T18:04:36.000",,"40.77818030835592","-73.98216976868244"
"Fire-2nd Alarm","474 Coney Island Avenue","Brooklyn","2017-07-22T06:20:55.000",,"40.646172258670454","-73.9708338706791"
"Fire-5th Alarm","60 East 9th Street","Manhattan","2017-06-28T18:04:26.000",,"40.73135779349652","-73.99245451693689"
"Fire-5th Alarm","2118 Flatbush Avenue","Brooklyn","2019-04-17T06:47:50.000",,"40.61825505522539","-73.93215402943036"
"Fire-6th Alarm","702 44th street","Brooklyn","2019-04-03T17:10:29.000",,"40.64567498528483","-74.0022560985342"
"Fire-6th Alarm","702 44th street","Brooklyn","2019-04-03T17:10:29.000",,"40.64567498528483","-74.0022560985342"
"Fire-6th Alarm","702 44th street","Brooklyn","2019-04-03T17:10:29.000",,"40.64567498528483","-74.0022560985342"
"Fire-5th Alarm","255 Mill Road","Staten Island","2017-05-21T04:28:08.000",,"40.56272020977093","-74.11140916120303"
"Fire-Haz Mat","41-12 12 Street","Queens","2017-06-12T13:36:36.000",,"40.71400364095638","-73.82998933154158"
"Utility-Water Main","Watson Avenue  & Colgate Avenue","Bronx","2016-12-17T23:32:26.000",,"40.825653541278996","-73.88134827090516"
"Fire-2nd Alarm","152 23 Street","Brooklyn","2016-12-18T03:42:20.000",,"40.66208512363062","-73.99773597963093"
"Structural-Street Collapse","205 East 33 Street","Manhattan","2017-02-14T09:13:41.000",,"40.71442154062271","-74.00607638041981"
"Utility-Power Outage",,"Brooklyn","2017-02-10T02:36:18.000",,,
"Transportation-Other","Van Wyck Expressway North and South Bound","Queens","2017-02-10T05:18:05.000",,,
"Fire-4th Alarm","511 Amsterdam Avenue","Manhattan","2017-02-24T18:21:05.000",,"40.71442154062271","-74.00607638041981"
"Fire-Collapse","3000 Jerome Avenue","Bronx","2017-02-19T06:22:00.000",,"40.874108528386955","-73.88906744340699"
"Utility-Other","434 Beach 54 Street","Queens","2017-01-09T12:54:45.000",,"40.71400364095638","-73.82998933154158"
"Fire-4th Alarm","1342 College Avenue","Bronx","2017-03-01T13:53:39.000",,"40.83625315865743","-73.91128251637423"
"Utility-Steam Main","35 Madison Street","Manhattan","2017-02-15T10:53:15.000",,,
"Fire-1st Alarm","151 West 100 Street","Manhattan","2016-12-23T13:36:49.000",,"40.71442154062271","-74.00607638041981"
"Fire-3rd Alarm","7 East 84 Street","Manhattan","2017-03-14T03:04:32.000",,"40.71442154062271","-74.00607638041981"
"Fire-7th Alarm","110-14 Liberty Avenue","Queens","2017-03-04T23:13:52.000",,"40.71400364095638","-73.82998933154158"
"HazMat-High Carbon Monoxide","30 Cooper Square","Manhattan","2017-01-12T14:30:24.000",,"40.71442154062271","-74.00607638041981"
"Law Enforcement-Other",,"Brooklyn","2017-02-21T15:32:14.000",,,
"Fire-3rd Alarm","64 Driggs Street","Staten Island","2017-03-06T04:10:57.000",,"40.541946569279844","-74.14887190311504"
"Fire-7th Alarm","110-14 Liberty Avenue","Queens","2017-03-04T23:13:52.000",,"40.71400364095638","-73.82998933154158"
"Structural-Street Collapse","205 East 33 Street","Manhattan","2017-02-14T09:13:41.000",,"40.71442154062271","-74.00607638041981"
"Fire-4th Alarm","657 Crotona Park North","Bronx","2017-03-06T18:40:53.000",,"40.84251557063817","-73.89461654911366"
"HazMat-High Carbon Monoxide","1472 Boston Road","Bronx","2017-03-08T18:11:16.000",,"40.83414587353434","-73.89497320315002"
"Fire-3rd Alarm","64 Driggs Street","Staten Island","2017-03-06T04:10:57.000",,"40.541946569279844","-74.14887190311504"
"Fire-7th Alarm","110-14 Liberty Avenue","Queens","2017-03-04T23:13:52.000",,"40.71400364095638","-73.82998933154158"
"Utility-Other","71-17 Roosevelt Avenue","Queens","2017-03-03T10:33:21.000",,,
"Fire-7th Alarm","110-14 Liberty Avenue","Queens","2017-03-04T23:13:52.000",,"40.71400364095638","-73.82998933154158"
"Structural-Collapse","2461 amsterdam","manhattan","2017-08-07T15:31:53.000",,"40.84880706021704","-73.9303471436034"
"Fire-5th Alarm","2118 Flatbush Avenue","Brooklyn","2019-04-17T06:47:50.000",,"40.61825505522539","-73.93215402943036"
"Fire-6th Alarm","702 44th street","Brooklyn","2019-04-03T17:10:29.000",,"40.64567498528483","-74.0022560985342"
"Fire-10-76 (Commercial High Rise Fire)","390 Madison Avenue","Manhattan","2017-03-02T23:41:36.000",,"40.71442154062271","-74.00607638041981"
"Utility-Gas Low Pressure","Noble Avenue & Watson Avenue","Bronx","2017-01-30T21:47:09.000","2017-02-10T19:40:58.000","40.82730091310776","-73.86917897682753"
"Utility-Water Main","156 Montague Street","Brooklyn","2017-03-02T16:00:43.000",,"40.6944042074893","-73.99298759520053"
"Utility-Power Outage","2635 3rd Avenue","Bronx","2017-08-14T03:06:55.000",,,
"Fire-2nd Alarm","447 Wales Avenue","Bronx","2017-07-26T03:06:44.000",,"40.81028097169481","-73.90820617557257"
"Fire-2nd Alarm","447 Wales Avenue","Bronx","2017-07-26T03:06:44.000",,"40.81028097169481","-73.90820617557257"
"Fire-6th Alarm","702 44th street","Brooklyn","2019-04-03T17:10:29.000",,"40.64567498528483","-74.0022560985342"
"Law Enforcement-Explosion","145-23 222 Street","Queens","2017-07-28T17:14:42.000",,"40.66324403329684","-73.75676400678067"
"Fire-5th Alarm","2118 Flatbush Avenue","Brooklyn","2019-04-17T06:47:50.000",,"40.61825505522539","-73.93215402943036"
"Fire-6th Alarm","702 44th street","Brooklyn","2019-04-03T17:10:29.000",,"40.64567498528483","-74.0022560985342"
"Fire-3rd Alarm","2118 Flatbush Avenue","Brooklyn","2019-04-17T06:47:50.000",,"40.61825505522539","-73.93215402943036"
"Structural-Sidewalk Collapse","836 5 Avenue","Brooklyn","2019-04-20T13:52:16.000",,"40.653204201511834","-74.00191389275187"
"Structural-Street Collapse","205 East 33 Street","Manhattan","2017-02-14T09:13:41.000",,"40.71442154062271","-74.00607638041981"
"Structural-Street Collapse","205 East 33 Street","Manhattan","2017-02-14T09:13:41.000",,"40.71442154062271","-74.00607638041981"
"Utility-Gas Low Pressure","Noble Avenue & Watson Avenue","Bronx","2017-01-30T21:47:09.000",,"40.82730091310776","-73.86917897682753"
"Fire-1st Alarm","151 West 100 Street","Manhattan","2016-12-23T13:36:49.000",,"40.71442154062271","-74.00607638041981"
"Fire-2nd Alarm","1580 Edison Avenue","Bronx","2019-04-21T04:03:19.000",,"40.843378089647416","-73.8329157352127"
"Transportation-Train Subway","Hanson Place & Ashland Place","Brooklyn","2017-01-04T08:28:01.000",,"40.685060114733574","-73.97796750329684"
"Fire-1st Alarm","151 West 100 Street","Manhattan","2016-12-23T13:36:49.000",,"40.71442154062271","-74.00607638041981"
"Utility-Other","434 Beach 54 Street","Queens","2017-01-09T12:54:45.000","2017-01-10T04:22:29.000","40.71400364095638","-73.82998933154158"
"Utility-Steam Service Line","5th Avenue  & 57th Street","Manhattan","2017-01-06T11:44:57.000",,,
"Fire-6th Alarm","324 East 93rd","Manhattan","2016-10-27T03:40:16.000",,"40.71442154062271","-74.00607638041981"
"Fire-6th Alarm","24 Murray Street","Manhattan","2017-09-01T19:10:52.000",,"40.71366897945644","-74.00862482959197"
"Fire-3rd Alarm","7 East 84 Street","Manhattan","2017-03-14T03:04:32.000",,"40.71442154062271","-74.00607638041981"
"Structural-Partial Collapse","246 West Fordham Road","Bronx","2017-04-01T09:55:47.000",,"40.861716573861884","-73.91068343209389"
"Structural-Street Collapse","Broad Street & Water Street","Manhattan","2017-03-19T21:03:04.000",,,
"Utility-Water Service Line","West End Avenue & West 95 Street","Manhattan","2017-08-20T04:43:18.000",,"40.794579","-73.9737045"
"Structural-Street Collapse","FDR Drive & East 14th Street","Manhattan","2017-09-28T19:44:57.000",,"40.78499400000001","-73.94091300000001"
"Utility-Other","10 Nathan Perlman Place","Manhattan","2019-05-02T11:30:49.000",,"40.733605005828394","-73.98293627906979"
"Structural-Collapse","496 Avenue P","Brooklyn","2019-05-06T23:43:08.000",,"40.60921162724344","-73.96917757354724"
"Fire-7th Alarm","110-14 Liberty Avenue","Queens","2017-03-04T23:13:52.000",,"40.71400364095638","-73.82998933154158"
"Fire-6th Alarm","702 44th street","Brooklyn","2019-04-03T17:10:29.000",,"40.64567498528483","-74.0022560985342"
"Utility-Water Main","St.Nicholas Avenue c/s West 162 Street","Manhattan","2017-01-19T21:30:45.000",,"40.78997515208777","-74.01747454754952"
"Fire-2nd Alarm","41-45 70 Street","Queens","2017-02-05T06:38:30.000",,"40.71400364095638","-73.82998933154158"
"Utility-Power Outage","2800 W 5 St","Brooklyn","2016-11-18T14:13:08.000","2016-11-18T23:31:39.000","40.57967988661858","-73.97190927609142"
"Administration-Other","Seagirt Blvd & Beach 9 Street","Queens","2016-11-14T15:53:54.000",,"40.71400364095638","-73.82998933154158"
"Administration-Planned Event","1227 Tinton Avenue","Bronx","2016-06-01T14:29:27.000",,"40.83008667276402","-73.9000468719392"
"Law Enforcement-Other",,"Brooklyn","2016-10-29T17:35:28.000",,,
"Structural-Crane",,"Brooklyn","2016-11-18T13:12:51.000",,,
"Utility-Gas Low Pressure","Noble Avenue & Watson Avenue","Bronx","2017-01-30T21:47:09.000",,"40.82730091310776","-73.86917897682753"
"Fire-3rd Alarm","7 East 84 Street","Manhattan","2017-03-14T03:04:32.000",,"40.71442154062271","-74.00607638041981"
"Utility-Water Main","145 Avenue  & 229 Street","Queens","2017-09-26T20:24:46.000",,"40.66173000000001","-73.7506305"
"Fire-6th Alarm","702 44th street","Brooklyn","2019-04-03T17:10:29.000",,"40.64567498528483","-74.0022560985342"
"Structural-Collapse",,"Brooklyn","2016-11-15T21:28:27.000","2016-11-15T21:51:00.000",,
"Utility-Gas Service Line","21-24 31 Street","Queens","2017-03-21T19:39:32.000",,"40.71400364095638","-73.82998933154158"
"Fire-1st Alarm","826 Broadway","Manhattan","2017-03-31T07:57:15.000",,"40.71442154062271","-74.00607638041981"
"Structural-Street Collapse","44 Street & East 4th Street","Brooklyn","2017-03-30T19:58:26.000",,"40.651493140455166","-73.99822557617236"
"Fire-Other","172 wythe ave","Brooklyn","2017-04-01T17:29:36.000",,"40.71935245685148","-73.96067200790606"
"Fire-5th Alarm","56-11 94 Street","Queens","2017-04-11T18:35:24.000",,"40.71400364095638","-73.82998933154158"
"Law Enforcement-Haz Mat","150 dreiser loop","Bronx","2017-04-13T23:22:35.000",,"40.876856856559755","-73.82979888840714"
"Structural-Partial Collapse","246 West Fordham Road","Bronx","2017-04-01T09:55:47.000",,"40.861716573861884","-73.91068343209389"
"Fire-3rd Alarm","6 East 32nd Street","Manhattan","2019-04-24T11:32:39.000",,"40.746822779069795","-73.98478502415024"
"Fire-5th Alarm","60 East 9th Street","Manhattan","2017-06-28T18:04:26.000",,"40.73135779349652","-73.99245451693689"
"Structural-Collapse","496 Avenue P","Brooklyn","2019-05-06T23:43:08.000",,"40.60921162724344","-73.96917757354724"
"Fire-5th Alarm","2118 Flatbush Avenue","Brooklyn","2019-04-17T06:47:50.000",,"40.61825505522539","-73.93215402943036"
"Fire-5th Alarm","2118 Flatbush Avenue","Brooklyn","2019-04-17T06:47:50.000",,"40.61825505522539","-73.93215402943036"
"Fire-2nd Alarm","155-26 115 Avenue","Queens","2016-12-17T09:04:03.000",,,
"HazMat-High Carbon Monoxide","1750 Grand Course","Bronx","2019-05-02T04:39:54.000",,"40.84970163252355","-73.91319386037867"
"Utility-Other","10 Nathan Perlman Place","Manhattan","2019-05-02T11:30:49.000",,"40.733605005828394","-73.98293627906979"
"Fire-5th Alarm","1136 Olmstead Avenue","Bronx","2017-06-22T15:51:02.000",,"40.830418496617426","-73.85380655212987"
"Fire-5th Alarm","2118 Flatbush Avenue","Brooklyn","2019-04-17T06:47:50.000",,"40.61825505522539","-73.93215402943036"
"Fire-5th Alarm","1920 Walton Street","Bronx","2017-09-27T06:44:58.000",,"40.85053252400602","-73.90891950415494"
"Fire-5th Alarm","1920 Walton Street","Bronx","2017-09-27T06:44:58.000",,"40.85053252400602","-73.90891950415494"
"Structural-Collapse","27 West 38 Street","Manhattan","2015-10-30T10:39:24.000",,"40.75142369548083","-73.98379813957992"
"Fire-2nd Alarm","2582 briggs ave","bronx","2017-04-16T15:30:51.000",,"40.863822693463646","-73.8934929748201"
"Transportation-Train Subway","West 31 Street & 7 Avenue","Manhattan","2017-04-03T09:22:36.000",,"40.71442154062271","-74.00607638041981"
"Fire-Sensitive Location","64 Norfolk Street","Manhattan","2017-05-14T19:15:30.000",,"40.71442154062271","-74.00607638041981"
"Fire-4th Alarm","112-23 208 Street","Jamaica","2017-04-23T14:48:20.000",,"40.70178228962209","-73.80841857965294"
"Fire-4th Alarm","112-23 208 Street","Jamaica","2017-04-23T14:48:20.000",,"40.70178228962209","-73.80841857965294"
"Fire-Manhole","Nostrand Avenue & Gates Avenue","Brooklyn","2017-04-24T19:45:14.000",,"40.68618050452773","-73.95073715859218"
"Fire-5th Alarm","56-11 94 Street","Queens","2017-04-11T18:35:24.000",,"40.71400364095638","-73.82998933154158"
"Fire-Sensitive Location","64 Norfolk Street","Manhattan","2017-05-14T19:15:30.000",,"40.71442154062271","-74.00607638041981"
"Utility-Water Service Line","10502 Avenue D","Brooklyn","2017-04-25T06:22:07.000",,,
"Fire-5th Alarm","1920 Walton Street","Bronx","2017-09-27T06:44:58.000",,"40.85053252400602","-73.90891950415494"
"Utility-Other","10 Nathan Perlman Place","Manhattan","2019-05-02T11:30:49.000",,"40.733605005828394","-73.98293627906979"
"Fire-5th Alarm","1920 Walton Street","Bronx","2017-09-27T06:44:58.000",,"40.85053252400602","-73.90891950415494"
"Fire-3rd Alarm","2062 62 Street","Brooklyn","2017-04-28T15:21:31.000","2017-04-29T01:07:02.000","40.61729599351639","-73.9825560692064"
"Administration-Drill","317 East 67 Street","Manhattan","2017-02-23T14:55:01.000",,"40.71442154062271","-74.00607638041981"
"Fire-5th Alarm","56-11 94 Street","Queens","2017-04-11T18:35:24.000",,"40.71400364095638","-73.82998933154158"
"Fire-5th Alarm","56-11 94 Street","Queens","2017-04-11T18:35:24.000",,"40.71400364095638","-73.82998933154158"
"Fire-5th Alarm","56-11 94 Street","Queens","2017-04-11T18:35:24.000",,"40.71400364095638","-73.82998933154158"
"Fire-5th Alarm","56-11 94 Street","Queens","2017-04-11T18:35:24.000",,"40.71400364095638","-73.82998933154158"
"Utility-Gas High Pressure","50-15 Beach Channel Drive","Queens","2016-12-19T11:25:52.000","2016-12-19T14:57:04.000","40.71400364095638","-73.82998933154158"
"Fire-1st Alarm","151 West 100 Street","Manhattan","2016-12-23T13:36:49.000",,"40.71442154062271","-74.00607638041981"
"Fire-6th Alarm","24 Murray Street","Manhattan","2017-09-01T19:10:52.000",,"40.71366897945644","-74.00862482959197"
"Utility-Water Main","5601 16 Avenue","Brooklyn","2016-12-20T07:16:23.000",,"40.62681840384738","-73.98983948870062"
"Fire-Haz Mat","41-12 12 Street","Queens","2017-06-12T13:36:36.000",,"40.71400364095638","-73.82998933154158"
"Structural-Street Collapse","FDR Drive & East 14th Street","Manhattan","2017-09-28T19:44:57.000",,"40.78499400000001","-73.94091300000001"
"Fire-7th Alarm","110-14 Liberty Avenue","Queens","2017-03-04T23:13:52.000",,"40.71400364095638","-73.82998933154158"
"Utility-Water Main","Nugent Avenue & Graham Boulevard","Staten Island","2017-05-08T21:02:06.000",,"40.57830423325487","-74.09107816522436"
"Administration-Other","188 Street & 75 Avenue","Queens","2017-05-10T13:36:12.000",,"40.71400364095638","-73.82998933154158"
"Structural-Street Collapse","FDR Drive & East 14th Street","Manhattan","2017-09-28T19:44:57.000",,"40.78499400000001","-73.94091300000001"
"Fire-6th Alarm","702 44th street","Brooklyn","2019-04-03T17:10:29.000",,"40.64567498528483","-74.0022560985342"
"Fire-Sensitive Location","1315 54 Street","Brooklyn","2019-05-07T02:13:47.000",,"40.631990007501834","-73.99460738314393"
"Structural-Collapse","496 Avenue P","Brooklyn","2019-05-06T23:43:08.000",,"40.60921162724344","-73.96917757354724"
"Fire-3rd Alarm","64 Driggs Street","Staten Island","2017-03-06T04:10:57.000",,"40.541946569279844","-74.14887190311504"
"Fire-2nd Alarm","88 prospect park west","Brooklyn","2017-03-04T21:26:13.000",,"40.66733561934444","-73.97463035030961"
"Fire-7th Alarm","110-14 Liberty Avenue","Queens","2017-03-04T23:13:52.000",,"40.71400364095638","-73.82998933154158"
"Fire-5th Alarm","2118 Flatbush Avenue","Brooklyn","2019-04-17T06:47:50.000",,"40.61825505522539","-73.93215402943036"
"Fire-4th Alarm","653 Crotona Park North","Bronx","2017-03-06T18:40:53.000",,"40.84252576265493","-73.89462388938017"
"Utility-Electric Overhead",,"Brooklyn","2019-05-21T19:37:34.000",,,
"Fire-5th Alarm","72-10 Myrtle ave","Queens","2017-06-24T21:30:28.000",,"40.71400364095638","-73.82998933154158"
"Structural-Demolition","350 West 52nd Street","New York","2019-05-30T12:06:51.000",,"40.764220837353584","-73.98691352415024"
"Fire-2nd Alarm","615 Hudson Street","Manhattan","2017-06-25T16:26:09.000",,"40.71442154062271","-74.00607638041981"
"Structural-Partial Collapse","246 West Fordham Road","Bronx","2017-04-01T09:55:47.000",,"40.861716573861884","-73.91068343209389"
"Administration-Other","188 Street & 75 Avenue","Queens","2017-05-10T13:36:12.000",,"40.71400364095638","-73.82998933154158"
"Utility-Other","12th Road & 152 Street","Queens","2019-05-26T03:14:12.000",,"40.79073599999999","-73.81008"
"Fire-Haz Mat","02 East 61 Street","Manhattan","2019-05-28T07:20:21.000",,"40.76534681181839","-73.97179263350449"
"Fire-Collapse","1406 Prospect Avenue","Bronx","2019-06-01T15:04:29.000",,"40.83226532139767","-73.89658564902774"
"Fire-5th Alarm","2118 Flatbush Avenue","Brooklyn","2019-04-17T06:47:50.000",,"40.61825505522539","-73.93215402943036"
"Fire-4th Alarm","112-23 208 Street","Jamaica","2017-04-23T14:48:20.000",,"40.70178228962209","-73.80841857965294"
"Fire-3rd Alarm","115 East 138 Street","Bronx","2017-04-09T00:53:44.000",,,
"Structural-Collapse","496 Avenue P","Brooklyn","2019-05-06T23:43:08.000",,"40.60921162724344","-73.96917757354724"
"Fire-4th Alarm","112-23 208 Street","Jamaica","2017-04-23T14:48:20.000",,"40.70178228962209","-73.80841857965294"
"Utility-Water Main",,"Brooklyn","2019-11-02T18:22:49.000","2019-11-02T20:28:47.000",,
"Structural-Construction Accident","570 broome street","manhattan","2019-04-13T03:51:16.000",,"40.724526361959875","-74.006652011276"
"Fire-5th Alarm","56-11 94 Street","Queens","2017-04-11T18:35:24.000",,"40.71400364095638","-73.82998933154158"
"Utility-Water Main","East 20 Street & 5th Avenue","New York","2019-05-29T08:12:21.000",,"40.73966100000002","-73.990944"
"Structural-Crane",,"Brooklyn","2016-12-08T21:38:34.000","2016-12-10T12:25:33.000",,
"Transportation-Train Subway","West 31 Street & 7 Avenue","Manhattan","2017-04-03T09:22:36.000",,"40.71442154062271","-74.00607638041981"
"Fire-Collapse","1406 Prospect Avenue","Bronx","2019-06-01T15:04:29.000","2019-06-03T06:49:44.000","40.83226532139767","-73.89658564902774"
"Utility-Manhole","51 Junius Street","Brooklyn","2017-04-27T04:41:08.000",,"40.67366936285191","-73.90398627524559"
"Law Enforcement-Haz Mat","150 dreiser loop","Bronx","2017-04-13T23:22:35.000",,"40.876856856559755","-73.82979888840714"
"Utility-Water Main",,"Queens","2017-04-26T03:23:22.000",,"40.66245165162724","-73.8003999900227"
"Fire-1st Alarm","151 West 100 Street","New York","2016-12-23T13:36:49.000",,"40.71442154062271","-74.00607638041981"
"Structural-Life Safety Violations","2028 East 9 Street","Brooklyn","2016-12-16T12:35:45.000","2016-12-16T15:58:08.000","40.59972440715677","-73.96242613555688"
"Structural-Collapse","1294 Park Pl","Brooklyn","2017-10-17T10:00:47.000",,,
"Utility-Water Main","Rockaway Boulevard   & Brookville Boulevard","Queens","2017-05-17T06:56:05.000",,,
"Structural-Collapse","173-07 Liberty Avenue","Queens","2017-09-29T12:25:04.000",,"40.70468961180166","-73.78479944067074"
