"name","boro","geo_dist","projdesc","award","consttype","buildingid","building_address","city","zip_code","borough","latitude","longitude","community_board","community_council","bin","bbl","census_tract","nta","location_1","data_as_of"
"P.S. 94 - BROOKLYN","K","15","EXTERIOR MASONRY / FLOOD ELIMINATION / WINDOWS","8948571","CIP","K094","5010 6TH AVENUE","Brooklyn","11225","BROOKLYN","40.64366","-74.008252","307","38","3332126","3007920026","98","BK0703","(40.64366, -74.008252)","23-May"
"I.S. 117 - BRONX","X","9","PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL","7414000","CIP","X117","1865 MORRIS AVENUE","Bronx","11225","BRONX","40.848547","-73.908416","205","14","2007902","2028270001","23301","BX0502","(40.848547, -73.908416)","23-May"
"P.S./I.S. 218 - BRONX","X","9","EXTERIOR MASONRY / FLOOD ELIMINATION / PARAPETS / ROOFS","5564000","CIP","X235","1220 GERARD AVENUE","Bronx","11225","BRONX","40.835847","-73.920026","204","16","2097130","2024800008","197","BX0401","(40.835847, -73.920026)","23-May"
"P.S. 123 - QUEENS","Q","27","TCU REMOVAL & PLAYGROUND REDEVELOPMENT","1082000","CIP","Q123","145-01 119 AVENUE","Queens","11225","QUEENS","40.678296","-73.79562","412","28","4260828","4120190010","18402","QN1203","(40.678296, -73.79562)","23-May"
"P.S. 109 - BROOKLYN","K","22","LSP REPLACE LEAKING PVI DOMESTIC WATER HEATER","11119.9","CIP","K395","1001 EAST 45 STREET","Brooklyn","11225","BROOKLYN","40.636455","-73.933582","317","45","3114526","3050220002","836","BK1702","(40.636455, -73.933582)","23-May"
"I.S. 68 - BROOKLYN","K","18","PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL","7795000","CIP","K068","956 EAST 82 STREET","Brooklyn","11225","BROOKLYN","40.635553","-73.91079","318","46","3224947","3080180001","956","BK1803","(40.635553, -73.91079)","23-May"
"EDUCATIONAL CAMPUS @ 500 19TH STREET - BROOKLYN","K","15","Lease","15400000","CAP","K280","500 19TH STREET","Brooklyn","11215","BROOKLYN","40.656944","-73.983115","307","39","3017307","3008890001","1502","BK0701","(40.656944, -73.983115)","23-May"
"THE MAXINE GREEN HIGH SCHOOL FOR  IMAGINATIVE INQU","M","3","FY20 RESO A INTERIOR SPACES","80000","CIP","M490","122 AMSTERDAM AVENUE","Manhattan","11225","MANHATTAN","40.774351","-73.984753","107","6","1030343","1011570025","15101","MN0701","(40.774351, -73.984753)","23-May"
"SUMMIT ACADEMY CHARTER SCHOOL - K","K","15","RPZ BACKFLOW PREVENTION DEVICES","534000","CIP","K027","27 HUNTINGTON STREET","Brooklyn","11225","BROOKLYN","40.677564","-74.005166","306","38","3008342","3005250001","59","BK0601","(40.677564, -74.005166)","23-May"
"P.S. 143 - QUEENS","Q","24","ELECTRICAL WORK FOR A/C INITIATIVE","66467.99","CIP","Q908","98-07 38TH AVENUE","Queens","11225","QUEENS","40.750246","-73.867825","403","21","4043936","4017610035","40902","QN0303","(40.750246, -73.867825)","23-May"
"P.S. 274 - BROOKLYN","K","32","PATH OF TRAVEL BASKETBALL PLAY YARD RENOVATION / PLAYGROUND REDEVELOPMEMT","845480","CIP","K274","800 BUSHWICK AVENUE","Brooklyn","11225","BROOKLYN","40.694921","-73.927931","304","34","3073752","3032410037","393","BK0401","(40.694921, -73.927931)","23-May"
"X012 SPED - BRONX","X","11","IPDVS CAMERA INSTALLATION","204500","CIP","X012","2555 TRATMAN AVENUE","Bronx","11225","BRONX","40.840145","-73.844419","210","18","2041864","2039830001","200","BX1001","(40.840145, -73.844419)","23-May"
"P.S. 181 - QUEENS","Q","29","LSP- DOMESTIC WATER HEATER","11259.93","CIP","Q181","148-15 230 STREET","Queens","11225","QUEENS","40.656126","-73.753207","413","31","4291453","4137180001","694","QN1306","(40.656126, -73.753207)","23-May"
"P.S. 6 - STATEN ISLAND","R","31","EXTERIOR MASONRY","2455056","CIP","R006","555 PAGE AVENUE","Staten Island","11225","STATEN IS","40.510735","-74.231109","503","51","5131697","5077600001","24401","SI0305","(40.510735, -74.231109)","23-May"
"P.S. 155 - QUEENS","Q","27","EXTERIOR MASONRY / FLOOD ELIMINATION / PARAPETS / ROOFS / WINDOWS","9498000","CIP","Q155","130-02 115 AVENUE","Queens","11225","QUEENS","40.67956","-73.8106","410","28","4252357","4116730001","176","QN1001","(40.67956, -73.8106)","23-May"
"P.S. 111 - QUEENS","Q","30","EXTERIOR MASONRY / FLOOD ELIMINATION / ROOFS","7508060","CIP","Q111","37-15 13 STREET","Queens","11225","QUEENS","40.758831","-73.93938","401","26","4004419","4003630001","43","QN0105","(40.758831, -73.93938)","23-May"
"P.S. 279 - BROOKLYN","K","18","BACKFLOW PREVENTION DEVICES","750000","CIP","K279","1070 EAST 104 STREET","Brooklyn","11225","BROOKLYN","40.644203","-73.892264","318","46","3326733","3082300001","986","BK1803","(40.644203, -73.892264)","23-May"
"P.S. 207 - BROOKLYN","K","22","ELECTRICAL WORK FOR A/C INITIATIVE","7216","CIP","K207","4011 FILLMORE AVENUE","Brooklyn","11225","BROOKLYN","40.613353","-73.930129","318","46","3239388","3084840001","652","BK1802","(40.613353, -73.930129)","23-May"
"P.S. 102 - MANHATTAN","M","4","PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL","7500000","CIP","M102","315 EAST 113 STREET","Manhattan","11225","MANHATTAN","40.794869","-73.938711","111","8","1081366","1016840101","180","MN1102","(40.794869, -73.938711)","23-May"
"P.S. 18 - STATEN ISLAND","R","31","EXTERIOR MASONRY / FLOOD ELIMINATION / ROOFS","3442549","CIP","R018","221 BROADWAY","Staten Island","11225","STATEN IS","40.636587","-74.117509","501","49","5004877","5001760010","105","SI0104","(40.636587, -74.117509)","23-May"
"P.S. 63 - QUEENS","Q","27","LSP DOMESTIC WATER HEATER REPLACEMENT","175157.82","CIP","Q063","90-15 SUTTER AVENUE","Queens","11225","QUEENS","40.67641","-73.846773","410","32","4190727","4091550025","54","QN1002","(40.67641, -73.846773)","23-May"
"P.S. 46 - QUEENS","Q","26","PLAYGROUND REDEVELOPMENT PROJECT","389000","CIP","Q046","64-45 218 STREET","Queens","11225","QUEENS","40.746202","-73.758752","411","23","4162449","4076190001","1367","QN1104","(40.746202, -73.758752)","23-May"
"P.S. 160 - QUEENS","Q","28","Addition","55482391","CAP","Q160","109-59 INWOOD STREET","Queens","11435","QUEENS","40.688103","-73.800415","412","28","4258143","4119420302","196","QN1202","(40.688103, -73.800415)","23-May"
"HS FOR VIOLIN AND DANCE - BRONX","X","9","LSP- INTERIOR SPACES","150000","CIP","X400","1110 BOSTON ROAD","Bronx","11225","BRONX","40.827642","-73.904473","203","17","2004526","2026340001","135","BX0301","(40.827642, -73.904473)","23-May"
"P.S. 181 - BROOKLYN","K","17","LOW VOLTAGE ELECTRICAL SYSTEM","1906252","CIP","K181","1023 NEW YORK AVENUE","Brooklyn","11225","BROOKLYN","40.648138","-73.946367","317","45","3327776","3049040010","856","BK1701","(40.648138, -73.946367)","23-May"
"P.S. 66 - BRONX","X","12","ELECTRICAL WORK FOR A/C INITIATIVE","4510","CIP","X066","1001 JENNINGS STREET","Bronx","11225","BRONX","40.831165","-73.887094","203","17","2010916","2030080001","157","BX0303","(40.831165, -73.887094)","23-May"
"P.S. 145 - BROOKLYN","K","32","EXTERIOR MASONRY / ROOFS / WATER INFILTRATION / WINDOWS","4580000","CIP","K145","100 NOLL STREET","Brooklyn","11225","BROOKLYN","40.701621","-73.93241","304","34","3071915","3031530011","425","BK0401","(40.701621, -73.93241)","23-May"
"P.S. 3 - STATEN ISLAND","R","31","PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL","6930000","CIP","R003","80 SOUTH GOFF AVENUE","Staten Island","11225","STATEN IS","40.520699","-74.211264","503","51","5083311","5067960044","198","SI0304","(40.520699, -74.211264)","23-May"
"P.S. 250 - BROOKLYN","K","14","FY19 RESO A MULTIMEDIA CENTER / PATH OF TRAVEL RESO A MULTIMEDIA CENTER","401338","CIP","K250","108 MONTROSE AVENUE","Brooklyn","11225","BROOKLYN","40.707104","-73.945475","301","34","3071199","3030600001","505","BK0104","(40.707104, -73.945475)","23-May"
"I.S. 162 - BROOKLYN","K","32","IPDVS CAMERA INSTALLATION","163300","CIP","K162","1390 WILLOUGHBY AVENUE","Brooklyn","11225","BROOKLYN","40.707229","-73.919805","304","34","3073018","3032120001","445","BK0401","(40.707229, -73.919805)","23-May"
"K396 SPED - BROOKLYN","K","23","FIRE ALARM REPLACEMENT","1553881","CIP","K327","111 BRISTOL STREET","Brooklyn","11225","BROOKLYN","40.668475","-73.912351","316","41","3081032","3035200008","924","BK1602","(40.668475, -73.912351)","23-May"
"CURTIS HS - STATEN ISLAND","R","31","COVID VENTILATION","3628000","CIP","R450","105 HAMILTON AVENUE","Staten Island","11225","STATEN IS","40.644735","-74.081222","501","49","5106483","5000220001","7","SI0101","(40.644735, -74.081222)","23-May"
"P.S. 67 - BRONX","X","12","AUDITORIUM SEATING / PATH OF TRAVEL AUDITORIUM SEATING","684360","CIP","X067","2024 MOHEGAN AVENUE","Bronx","11225","BRONX","40.843945","-73.884788","206","15","2013142","2031230003","363","BX0601","(40.843945, -73.884788)","23-May"
"P.S. 99 - BROOKLYN","K","21","FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEM","12771000","CIP","K099","1120 EAST 10 STREET","Brooklyn","11225","BROOKLYN","40.621565","-73.965595","312","44","3171478","3065350011","454","BK1204","(40.621565, -73.965595)","23-May"
"P.S. 452 - MANHATTAN","M","3","ELECTRICAL WORK FOR A/C INITIATIVE / LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT","9020","CIP","M191","210 WEST 61 STREET","Manhattan","11225","MANHATTAN","40.771966","-73.987429","107","6","1030320","1011520029","147","MN0701","(40.771966, -73.987429)","23-May"
"P.S. 122 - QUEENS","Q","30","AUDITORIUM UPGRADE / PATH OF TRAVEL AUDITORIUM UPGRADE","1163000","CIP","Q122","21-21 DITMARS BOULEVARD","Queens","11225","QUEENS","40.780347","-73.916655","401","22","4019633","4008800001","103","QN0101","(40.780347, -73.916655)","23-May"
"WEST PREP ACADEMY - MANHATTAN","M","3","ENY SUPPLEMENTAL COOLING / FY15 RESO A AUDITORIUM UPGRADE","1277000","CIP","M145","150 WEST 105 STREET","Manhattan","11225","MANHATTAN","40.799376","-73.965308","107","7","1083561","1018590001","189","MN0703","(40.799376, -73.965308)","23-May"
"QUEENS TECH HS - Q","Q","24","LSP DOMESTIC WATER HEATER REPLACEMENT","12902.12","CIP","Q600","37-02 47 AVENUE","Queens","11225","QUEENS","40.742205","-73.928219","402","26","4003259","4002280020","189","QN0202","(40.742205, -73.928219)","23-May"
"P.S. 253 - BROOKLYN","K","21","Addition","53927000","CAP","K253","601 OCEAN VIEW AVENUE","Brooklyn","11235","BROOKLYN","40.579607","-73.962071","313","48","3244470","3086660610","364","BK1303","(40.579607, -73.962071)","23-May"
"P.S. 176 - BROOKLYN","K","20","EXTERIOR MASONRY / FLOOD ELIMINATION / PARAPETS / ROOFS / WINDOWS","20100110","CIP","K176","1225 69 STREET","Brooklyn","11225","BROOKLYN","40.62457","-74.005314","310","43","3143190","3057740001","196","BK1002","(40.62457, -74.005314)","23-May"
"BRONX LAB SCHOOL - BRONX","X","11","INTERIOR SPACES","140000","CIP","X425","800 EAST GUN HILL ROAD","Bronx","11225","BRONX","40.875953","-73.86197","212","12","2057045","2046330040","372","BX1201","(40.875953, -73.86197)","23-May"
"I.S. 119 - QUEENS","Q","24","LSP REPLACEMENT OF GAS FIRED WATER HEATER","89300","CIP","Q119","74-01 78 AVENUE","Queens","11225","QUEENS","40.704406","-73.875183","405","32","4092660","4038120020","63301","QN0503","(40.704406, -73.875183)","23-May"
"P.S. 131 - QUEENS","Q","29","Addition","46468000","CAP","Q131","170-21 84TH AVENUE","Queens","11432","QUEENS","40.716609","-73.794666","408","24","4211112","4098750001","456","QN0805","(40.716609, -73.794666)","23-May"
"P.S. 154 - BRONX","X","7","FIRE ALARM REPLACEMENT / FULL PROGRAM ACCESSIBILITY","8944000","CIP","X154","333 EAST 135 STREET","Bronx","11225","BRONX","40.808039","-73.926219","201","8","2097030","2022980001","23","BX0101","(40.808039, -73.926219)","23-May"
"BAYSIDE HIGH SCHOOL - QUEENS","Q","26","LSP PATH OF TRAVEL RESO A GYMNASIUM","111494.69","CIP","Q405","32-24 CORPORAL KENNEDY STREET","Queens","11225","QUEENS","40.771755","-73.780296","411","19","4134578","4060440001","1097","QN1102","(40.771755, -73.780296)","23-May"
"P.S. 184 - BROOKLYN","K","23","ELECTRICAL WORK FOR A/C INITIATIVE","14432","CIP","K184","273 NEWPORT STREET","Brooklyn","11225","BROOKLYN","40.659966","-73.904901","316","41","3082391","3036060001","918","BK1602","(40.659966, -73.904901)","23-May"
"P.S. 115 - BROOKLYN","K","18","EXTERIOR MASONRY / FLOOD ELIMINATION / PARAPETS / ROOFS","4770899","CIP","K115","1500 EAST 92 STREET","Brooklyn","11225","BROOKLYN","40.635015","-73.897262","318","46","3232559","3082560001","1008","BK1803","(40.635015, -73.897262)","23-May"
"NORTH QUEENS COMMUNITY HS - Q","Q","25","ELECTRICAL WORK FOR A/C INITIATIVE","75000","CIP","Q792","141-25 77TH ROAD","Queens","11225","QUEENS","40.720359","-73.819792","408","24","4438284","4066290035","77903","QN0801","(40.720359, -73.819792)","23-May"
"P.S. 46 - QUEENS","Q","26","Addition","45363000","CAP","Q046","64-45 218 STREET","Queens","11364","QUEENS","40.746202","-73.758752","411","23","4162449","4076190001","1367","QN1104","(40.746202, -73.758752)","23-May"
"P.S. 222 - QUEENS","Q","30","UPE- INTERIOR CONVERSION/ENCLOSED ROOFTOP PLAYGROUND","4054549","CIP","Q222","86-15 37TH AVENUE","Queens","11225","QUEENS","40.750172","-73.880363","403","25","4035854","4014600034","279","QN0301","(40.750172, -73.880363)","23-May"
"I.S. @ 4002 FORT HAMILTON PARKWAY - BROOKLYN","K","15","Demo","7888000","CAP","K004","4002 FORT HAMILTON PARKWAY","Brooklyn","11218","BROOKLYN","40.642614","-73.991338","312","38","3000000","3055870038","110","BK1201","(40.642614, -73.991338)","23-May"
"P.S. 81 - BRONX","X","10","FY20 RESO A IPDVS CAMERA INSTALLATION","700500","CIP","X081","5550 RIVERDALE AVENUE","Bronx","11225","BRONX","40.903553","-73.905229","208","11","2084806","2058501550","337","BX0803","(40.903553, -73.905229)","23-May"
"3K CENTER @ 41-61 KISSENA BOULEVARD - QUEENS","Q","25","Lease","9282360","CAP","Q458","41-61 KISSENA BOULEVARD","Queens","11355","QUEENS","40.757519","-73.827755","407","20","4114293","4050450001","853","QN0707","(40.757519, -73.827755)","23-May"
"P.S. 88 - BRONX","X","9","LSP FY20 RESO A AUDITORIUM UPGRADE","92551.48","CIP","X088","1340 SHERIDAN AVENUE","Bronx","11225","BRONX","40.837275","-73.913574","204","16","2094533","2028300017","17902","BX0403","(40.837275, -73.913574)","23-May"
"WILLIAM E. GRADY VOC HS - K","K","21","EXTERIOR DOORS / EXTERIOR MASONRY / PARAPETS / ROOFS","5730000","CIP","K620","25 BRIGHTON 4 ROAD","Brooklyn","11225","BROOKLYN","40.582585","-73.963477","313","48","3196378","3072610201","366","BK1303","(40.582585, -73.963477)","23-May"
"FAIRMONT NEIGHBORHOOD SCHOOL","X","12","IPDVS CAMERA INSTALLATION","763000","CIP","X050","1550 VYSE AVENUE","Bronx","11225","BRONX","40.834157","-73.887512","203","17","2010786","2029960010","157","BX0303","(40.834157, -73.887512)","23-May"
"I.S. 529 - BRONX","X","11","HEATING PLANT UPGRADE","9558000","CIP","X142","3750 BAYCHESTER AVENUE","Bronx","11225","BRONX","40.884953","-73.840524","212","12","2066190","2049350001","48402","BX1202","(40.884953, -73.840524)","23-May"
"K373 SPED - BROOKLYN","K","17","EXTERIOR MASONRY / FLOOD ELIMINATION / WINDOWS","4759000","CIP","K877","35 SNYDER AVENUE","Brooklyn","11225","BROOKLYN","40.648585","-73.957282","314","40","3338996","3051030093","794","BK1701","(40.648585, -73.957282)","23-May"
"THE URBAN ASSEMBLY BRONX ACADEMY OF LETTERS","X","7","EXTERIOR MASONRY / FLOOD ELIMINATION / PARAPETS / ROOFS","5997000","CIP","X183","339 MORRIS AVENUE","Bronx","11225","BRONX","40.813641","-73.925313","201","8","2000957","2023330070","51","BX0101","(40.813641, -73.925313)","23-May"
"J.H.S. 25 - QUEENS","Q","25","PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL","7975000","CIP","Q025","34-65 192 STREET","Queens","11225","QUEENS","40.765133","-73.790083","411","19","4119139","4052610001","1139","QN1101","(40.765133, -73.790083)","23-May"
"P.S. 195/196 - BRONX","X","12","Demo","2382878","CAP","X077","1250 WARD AVENUE","Bronx","10472","BRONX","40.830499","-73.877704","209","17","2000000","2037750025","54","BX0901","(40.830499, -73.877704)","23-May"
"P.S. 95 - BRONX","X","10","ELECTRICAL WORK FOR A/C INITIATIVE / LSP LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT","76000","CIP","X095","3961 HILLMAN AVENUE","Bronx","11225","BRONX","40.882898","-73.891256","208","11","2015472","2032520182","281","BX0801","(40.882898, -73.891256)","23-May"
"P.S. 186 - QUEENS","Q","26","EXTERIOR DOORS / EXTERIOR MASONRY / PARAPETS / ROOFS / WINDOWS","12200000","CIP","Q186","252-12 72 AVENUE","Queens","11225","QUEENS","40.750007","-73.721607","413","23","4173640","4084010375","155103","QN1301","(40.750007, -73.721607)","23-May"
"3K CENTER @ 1972 BROADWAY - MANHATTAN","M","3","Lease","16555000","CAP","M514","1972 BROADWAY","Manhattan","10023","MANHATTAN","40.774373","-73.9822","107","6","1028840","1011387501","15302","MN0701","(40.774373, -73.9822)","23-May"
"JAMES BALDWIN SCHOOL - MANHATTAN","M","2","EXTERIOR MASONRY / FLOOD ELIMINATION / ROOFS","9700000","CIP","M440","351 WEST 18 STREET","Manhattan","11225","MANHATTAN","40.742867","-74.002136","104","3","1013096","1007420007","89","MN0401","(40.742867, -74.002136)","23-May"
"BRONX LAB SCHOOL - BRONX","X","11","COVID VENTILATION","6420000","CIP","X425","800 EAST GUN HILL ROAD","Bronx","11225","BRONX","40.875953","-73.86197","212","12","2057045","2046330040","372","BX1201","(40.875953, -73.86197)","23-May"
"P.S. 14 - BRONX","X","8","EXTERIOR MASONRY / PARAPETS / ROOFS / WINDOWS","10370000","CIP","X014","3047 BRUCKNER BOULEVARD","Bronx","11225","BRONX","40.83587","-73.825774","210","13","2072754","2053130092","184","BX1002","(40.83587, -73.825774)","23-May"
"M079 SPED - MANHATTAN","M","5","PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL","8351000","CIP","M079","55 EAST 120 STREET","Manhattan","11225","MANHATTAN","40.802419","-73.942634","111","9","1053968","1017470001","198","MN1102","(40.802419, -73.942634)","23-May"
"THE INTERNATIONAL HS - BROOKLYN","K","17","IPDVS CAMERA INSTALLATION","217000","CIP","K440","883 CLASSON AVENUE","Brooklyn","11225","BROOKLYN","40.670349","-73.961695","309","35","3029686","3011870001","213","BK0901","(40.670349, -73.961695)","23-May"
"I.S. 61 - QUEENS","Q","24","LSP DOMESTIC WATER HEATER REPLACEMENT","151778.62","CIP","Q061","98-50 50 AVENUE","Queens","11225","QUEENS","40.742668","-73.863307","404","21","4046834","4018910032","44302","QN0402","(40.742668, -73.863307)","23-May"
"P.S. 10 - BROOKLYN","K","15","EXTERIOR MASONRY / FLOOD ELIMINATION / PARAPETS / ROOFS / WINDOWS","16664000","CIP","K010","511 7TH AVENUE","Brooklyn","11225","BROOKLYN","40.661061","-73.986534","307","39","3016509","3008690001","14902","BK0701","(40.661061, -73.986534)","23-May"
"PRE-K CENTER @ 168 8TH STREET - BROOKLYN","K","15","New","27543000","CAP","K710","168 8TH STREET","Brooklyn","11215","BROOKLYN","40.671728","-73.989838","306","39","3022044","3010030011","121","BK0601","(40.671728, -73.989838)","23-May"
"P.S. 38 - QUEENS","Q","29","EXTERIOR MASONRY / FLOOD ELIMINATION / HVAC / CLASSROOM AIR HANDLING UNITS / PARAPETS / ROOFS / WINDOWS","14293000","CIP","Q038","135-21 241 STREET","Queens","11225","QUEENS","40.671561","-73.734043","413","31","4284236","4132220001","638","QN1307","(40.671561, -73.734043)","23-May"
"NEW BRIDGES","K","17","COVID VENTILATION","5060000","CIP","K167","1025 EASTERN PARKWAY","Brooklyn","11225","BROOKLYN","40.669001","-73.934635","308","35","3037303","3013890035","35301","BK0802","(40.669001, -73.934635)","23-May"
"I.S. 278 - BROOKLYN","K","22","EXTERIOR MASONRY / ROOFS","1868000","CIP","K278","1925 STUART STREET","Brooklyn","11225","BROOKLYN","40.60665","-73.939176","315","46","3239889","3084960100","666","BK1891","(40.60665, -73.939176)","23-May"
"P.S. 52 - STATEN ISLAND","R","31","FY21 RESO A GYMNASIUM UPGRADE","368178.68","CIP","R052","450 BUEL AVENUE","Staten Island","11225","STATEN IS","40.582744","-74.088509","502","50","5053746","5037050001","11201","SI0202","(40.582744, -74.088509)","23-May"
"FOREST AVENUE COMMUNITY EDUCATIONAL COMPLEX - STATEN ISLAND","R","31","Lease","2120000","CAP","R066","1625 FOREST AVENUE","Staten Is","10302","STATEN IS","40.624773","-74.142525","501","49","5025214","5010650007","247","SI0106","(40.624773, -74.142525)","23-May"
"P.S. 20 - BROOKLYN","K","13","PUBLIC ADDRESS SYSTEM","797900","CIP","K020","225 ADELPHI STREET","Brooklyn","11225","BROOKLYN","40.690765","-73.971376","302","35","3058531","3020910003","183","BK0203","(40.690765, -73.971376)","23-May"
"RALPH R. MCKEE CAREER AND TECHNICAL EDUCATION HS -","R","31","IPDVS CAMERA INSTALLATION","526000","CIP","R600","290 ST MARKS PLACE","Staten Island","11225","STATEN IS","40.642793","-74.07873","501","49","5000000","5000190004","9","SI0101","(40.642793, -74.07873)","23-May"
"K721 SPED - BROOKLYN","K","21","FIRE ALARM SYSTEM REPLACEMENT","2268000","CIP","K722","64 AVENUE X","Brooklyn","11225","BROOKLYN","40.589317","-73.98131","313","47","3385667","3071850020","308","BK1301","(40.589317, -73.98131)","23-May"
"P.S. 143 - QUEENS","Q","24","AIR CONDITIONING UNIT (RTU) / EXTERIOR MASONRY / FLOOD ELIMINATION / HEATING SYSTEM UPGRADE / PARAPETS / ROOFS / ROOM CONVERSIONS / WINDOWS","32990000","CIP","Q143","34-55 112 STREET","Queens","11225","QUEENS","40.755535","-73.856362","403","21","4614907","4017560025","381","QN0303","(40.755535, -73.856362)","23-May"
"E NY VOC HS OF TRANSIT TECH.-K","K","19","EXTERIOR MASONRY / FLOOD ELIMINATION / PARAPETS / ROOFS / WINDOWS","27420000","CIP","K615","1 WELLS STREET","Brooklyn","11225","BROOKLYN","40.678276","-73.87596","305","37","3327249","3041550075","1196","BK0505","(40.678276, -73.87596)","23-May"
"P.S. @ 2347 MORRIS AVENUE - BRONX","X","10","New","57302000","CAP","X469","2347 MORRIS AVENUE","Bronx","10468","BRONX","40.859448","-73.901113","205","14","2000000","2031830026","239","BX0503","(40.859448, -73.901113)","23-May"
"P.S. 219 - BROOKLYN","K","18","BOILER REPLACEMENT","3256000","CIP","K860","9517 KINGS HIGHWAY","Brooklyn","11225","BROOKLYN","40.65911","-73.920368","317","41","3101218","3046500015","886","BK1704","(40.65911, -73.920368)","23-May"
"P.S. @ 639 ST ANN'S AVENUE - BRONX","X","7","New","66789000","CAP","X487","639 ST ANN'S AVENUE","Bronx","10455","BRONX","40.816532","-73.911747","201","17","2115801","2023590100","71","BX0102","(40.816532, -73.911747)","23-May"
"P.S. 182 - BRONX","X","8","EXTERIOR MASONRY / ROOFS","2735025","CIP","X182","601 STICKBALL BOULEVARD","Bronx","11225","BRONX","40.818228","-73.856302","209","18","2021923","2035640001","16","BX0902","(40.818228, -73.856302)","23-May"
"P.S. 85 - QUEENS","Q","30","LSP DOMESTIC WATER HEATER REPLACEMENT","139334.92","CIP","Q085","23-70 31 STREET","Queens","11225","QUEENS","40.772932","-73.914625","401","22","4017485","4008420031","115","QN0101","(40.772932, -73.914625)","23-May"
"P.S. 146 - BROOKLYN","K","15","FY21 RESO A GYMNASIUM UPGRADE","80000","CIP","K142","610 HENRY STREET","Brooklyn","11225","BROOKLYN","40.68007","-74.001377","306","39","3336036","3003690001","63","BK0601","(40.68007, -74.001377)","23-May"
"P.S. 76 - BRONX","X","11","COVID VENTILATION","259358","CIP","X076","900 ADEE AVENUE","Bronx","11225","BRONX","40.869593","-73.861282","211","12","2054933","2045520010","342","BX1104","(40.869593, -73.861282)","23-May"
