"vendorid","lpep_pickup_datetime","lpep_dropoff_datetime","store_and_fwd_flag","ratecodeid","pulocationid","dolocationid","passenger_count","trip_distance","fare_amount","extra","mta_tax","tip_amount","tolls_amount","ehail_fee","improvement_surcharge","total_amount","payment_type","trip_type"
"2","2018-01-01T00:26:19.000","2018-01-01T00:36:02.000","N","1","173","56","1","2.45","10.5","0.5","0.5","0","0",,"0.3","11.8","1","1"
"2","2018-01-01T01:01:04.000","2018-01-01T01:41:26.000","N","1","228","127","1","18.54","53","0.5","0.5","8.14","0",,"0.3","64.39","1","1"
"2","2018-01-01T00:27:32.000","2018-01-01T00:40:21.000","N","1","260","70","1","2.51","11.5","0.5","0.5","0","0",,"0.3","12.8","2","1"
"2","2018-01-01T00:59:26.000","2018-01-01T01:15:09.000","N","1","260","25","1","8.01","23.5","0.5","0.5","0","0",,"0.3","24.8","2","1"
"2","2018-01-01T00:46:55.000","2018-01-01T00:53:04.000","N","1","179","223","1","0.92","6","0.5","0.5","1.46","0",,"0.3","8.76","1","1"
"1","2018-01-01T00:12:49.000","2018-01-01T00:49:06.000","N","1","181","130","1","9.20","32","0.5","0.5","0","0",,"0.3","33.3","2","1"
"2","2018-01-01T00:27:52.000","2018-01-01T00:31:58.000","N","1","223","223","1","1.08","5.5","0.5","0.5","1","0",,"0.3","7.8","1","1"
"2","2018-01-01T00:36:54.000","2018-01-01T00:41:32.000","N","1","223","179","1","1.30","6","0.5","0.5","2.19","0",,"0.3","9.49","1","1"
"1","2018-01-01T00:31:57.000","2018-01-01T00:47:01.000","N","1","166","74","2","2.00","11","0.5","0.5","0","0",,"0.3","12.3","2","1"
"2","2018-01-01T00:47:37.000","2018-01-01T00:53:14.000","N","1","95","196","6","1.30","6","0.5","0.5","1.82","0",,"0.3","9.12","1","1"
"2","2018-01-01T00:19:44.000","2018-01-01T00:32:04.000","N","1","242","248","1","2.31","10","0.5","0.5","0","0",,"0.3","11.3","2","1"
"2","2018-01-01T00:46:18.000","2018-01-01T00:55:46.000","N","1","242","32","1","2.35","9.5","0.5","0.5","0","0",,"0.3","10.8","2","1"
"2","2018-01-01T00:21:54.000","2018-01-01T00:41:15.000","N","1","116","31","1","7.63","24","0.5","0.5","0","0",,"0.3","25.3","2","1"
"2","2018-01-01T01:00:05.000","2018-01-01T01:14:51.000","N","1","94","247","1","4.42","16","0.5","0.5","0","0",,"0.3","17.3","2","1"
"2","2018-01-01T00:07:21.000","2018-01-01T00:11:04.000","N","1","181","181","1","0.78","5","0.5","0.5","0","0",,"0.3","6.3","2","1"
"2","2018-01-01T00:28:43.000","2018-01-01T00:30:28.000","N","1","52","52","1","0.33","3.5","0.5","0.5","1.2","0",,"0.3","6","1","1"
"2","2018-01-01T00:40:21.000","2018-01-01T00:47:43.000","N","1","33","189","1","1.55","7.5","0.5","0.5","0","0",,"0.3","8.8","2","1"
"1","2018-01-01T00:20:17.000","2018-01-01T00:48:40.000","N","1","66","48","2","5.30","23","0.5","0.5","4","0",,"0.3","28.3","1","1"
"2","2018-01-01T00:22:40.000","2018-01-01T00:42:37.000","N","1","80","181","1","4.97","18.5","0.5","0.5","3.96","0",,"0.3","23.76","1","1"
"2","2018-01-01T00:43:49.000","2018-01-01T00:49:37.000","N","1","181","40","1","1.21","6.5","0.5","0.5","3","0",,"0.3","10.8","1","1"
"2","2018-01-01T00:52:08.000","2018-01-01T01:09:30.000","N","1","25","107","1","5.82","19.5","0.5","0.5","5.2","0",,"0.3","26","1","1"
"2","2018-01-01T00:07:28.000","2018-01-01T00:13:25.000","N","1","247","235","1","1.26","6","0.5","0.5","0","0",,"0.3","7.3","2","1"
"2","2018-01-01T00:51:23.000","2018-01-01T00:56:13.000","N","1","127","243","1","0.84","5.5","0.5","0.5","0","0",,"0.3","6.8","2","1"
"2","2018-01-01T00:17:03.000","2018-01-01T00:22:57.000","N","1","62","62","1","0.46","5.5","0.5","0.5","0","0",,"0.3","6.8","1","1"
"2","2018-01-01T00:28:00.000","2018-01-01T00:34:15.000","N","1","189","49","1","0.98","6","0.5","0.5","2.19","0",,"0.3","9.49","1","1"
"2","2018-01-01T00:24:04.000","2018-01-01T00:42:52.000","N","1","166","68","1","5.41","19","0.5","0.5","5.08","0",,"0.3","25.38","1","1"
"2","2018-01-01T00:34:22.000","2018-01-01T00:50:29.000","N","1","94","159","1","3.50","14","0.5","0.5","0","0",,"0.3","15.3","2","1"
"2","2018-01-01T00:30:51.000","2018-01-01T00:43:34.000","N","1","116","24","1","2.06","10.5","0.5","0.5","0","0",,"0.3","11.8","2","1"
"2","2018-01-01T00:45:33.000","2018-01-01T00:55:30.000","N","1","41","74","1","1.73","9","0.5","0.5","2.06","0",,"0.3","12.36","1","1"
"2","2018-01-01T00:55:48.000","2018-01-01T01:02:08.000","N","1","82","82","1","1.19","6.5","0.5","0.5","2","0",,"0.3","9.8","1","1"
"2","2018-01-01T00:18:24.000","2018-01-01T00:29:55.000","N","1","7","129","1","2.50","10.5","0.5","0.5","1","0",,"0.3","12.8","1","1"
"2","2018-01-01T00:50:20.000","2018-01-01T01:05:57.000","N","1","7","41","1","5.01","17.5","0.5","0.5","4.91","5.76",,"0.3","29.47","1","1"
"1","2018-01-01T00:23:45.000","2018-01-01T00:23:45.000","N","1","7","264","1","0.00","4.5","0.5","0.5","0","0",,"0.3","5.8","2","1"
"1","2018-01-01T00:52:43.000","2018-01-01T01:22:40.000","N","1","112","143","1","5.60","23.5","0.5","0.5","0","0",,"0.3","24.8","2","1"
"1","2018-01-01T00:43:48.000","2018-01-01T00:47:34.000","N","1","42","42","1","0.70","4.5","0.5","0.5","0","0",,"0.3","5.8","2","1"
"1","2018-01-01T00:55:38.000","2018-01-01T01:01:29.000","N","1","41","42","1","1.40","7","0.5","0.5","0","0",,"0.3","8.3","1","1"
"2","2018-01-01T00:10:46.000","2018-01-01T00:28:49.000","N","1","49","49","1","0.86","11.5","0.5","0.5","0","0",,"0.3","12.8","1","1"
"2","2018-01-01T00:40:52.000","2018-01-01T01:24:42.000","N","1","255","79","1","8.11","32","0.5","0.5","6.66","0",,"0.3","39.96","1","1"
"2","2018-01-01T00:18:46.000","2018-01-01T00:27:01.000","N","1","181","97","1","1.45","7.5","0.5","0.5","2.64","0",,"0.3","11.44","1","1"
"2","2018-01-01T00:40:06.000","2018-01-01T00:47:30.000","N","1","65","97","1","1.16","6.5","0.5","0.5","0","0",,"0.3","7.8","2","1"
"2","2018-01-01T00:52:28.000","2018-01-01T01:55:25.000","N","1","97","116","1","14.92","51.5","0.5","0.5","0","0",,"0.3","52.8","1","1"
"2","2018-01-01T00:58:25.000","2018-01-01T01:24:46.000","N","5","66","237","2","7.95","55","0","0","2","0",,"0","57","1","2"
"2","2018-01-01T00:13:35.000","2018-01-01T00:16:15.000","N","1","197","134","1","0.60","4","0.5","0.5","1.59","0",,"0.3","6.89","1","1"
"2","2018-01-01T00:13:13.000","2018-01-01T00:26:59.000","N","1","226","173","1","3.30","13","0.5","0.5","0","0",,"0.3","14.3","2","1"
"2","2018-01-01T00:47:50.000","2018-01-01T00:52:49.000","N","1","260","260","1","0.72","5.5","0.5","0.5","1.36","0",,"0.3","8.16","1","1"
"2","2018-01-01T00:12:06.000","2018-01-01T00:12:36.000","N","1","36","36","1","0.00","2.5","0.5","0.5","5","0",,"0.3","8.8","1","1"
"2","2018-01-01T00:19:29.000","2018-01-01T00:32:32.000","N","1","36","37","1","2.38","11","0.5","0.5","0","0",,"0.3","12.3","2","1"
"2","2018-01-01T00:45:57.000","2018-01-01T01:33:11.000","N","1","36","238","1","15.97","50.5","0.5","0.5","0","0",,"0.3","51.8","1","1"
"2","2018-01-01T00:14:36.000","2018-01-01T00:22:19.000","N","1","179","223","6","1.98","8","0.5","0.5","1.86","0",,"0.3","13.11","1","1"
"2","2018-01-01T00:57:17.000","2018-01-01T01:10:19.000","N","1","7","56","5","6.36","19","0.5","0.5","0","0",,"0.3","20.3","2","1"
"2","2018-01-01T00:10:14.000","2018-01-01T00:14:58.000","N","1","7","7","1","0.92","5","0.5","0.5","0","0",,"0.3","6.3","2","1"
"2","2018-01-01T00:50:05.000","2018-01-01T00:53:54.000","N","1","7","7","1","0.52","4.5","0.5","0.5","0","0",,"0.3","5.8","2","1"
"2","2018-01-01T00:56:20.000","2018-01-01T01:03:06.000","N","1","7","193","1","1.04","6","0.5","0.5","1.46","0",,"0.3","8.76","1","1"
"2","2018-01-01T00:26:27.000","2018-01-01T00:32:26.000","N","1","82","260","1","1.14","6.5","0.5","0.5","0","0",,"0.3","7.8","1","1"
"2","2018-01-01T00:40:42.000","2018-01-01T00:56:15.000","N","1","61","65","1","2.76","13","0.5","0.5","0","0",,"0.3","14.3","2","1"
"2","2018-01-01T00:18:07.000","2018-01-01T00:31:26.000","N","1","130","258","1","3.47","12.5","0.5","0.5","2.76","0",,"0.3","16.56","1","1"
"2","2018-01-01T00:50:28.000","2018-01-01T00:58:16.000","N","1","7","7","1","1.12","7","0.5","0.5","0","0",,"0.3","8.3","2","1"
"2","2018-01-01T00:13:12.000","2018-01-01T00:18:21.000","N","1","65","65","1","0.72","5.5","0.5","0.5","0","0",,"0.3","6.8","2","1"
"2","2018-01-01T00:50:01.000","2018-01-01T01:10:52.000","N","1","33","56","1","10.10","29.5","0.5","0.5","0","0",,"0.3","30.8","2","1"
"2","2018-01-01T00:51:32.000","2018-01-01T00:55:45.000","N","1","7","179","1","0.72","5","0.5","0.5","0","0",,"0.3","6.3","2","1"
"2","2018-01-01T00:19:17.000","2018-01-01T00:21:18.000","N","1","223","223","5","0.43","3.5","0.5","0.5","0","0",,"0.3","4.8","2","1"
"2","2018-01-01T00:22:19.000","2018-01-01T00:28:53.000","N","1","223","7","5","1.36","6.5","0.5","0.5","1.95","0",,"0.3","9.75","1","1"
"2","2018-01-01T00:32:40.000","2018-01-01T00:37:57.000","N","1","7","260","5","2.10","8","0.5","0.5","0","0",,"0.3","9.3","2","1"
"2","2018-01-01T00:41:06.000","2018-01-01T00:57:35.000","N","1","260","263","5","4.95","17","0.5","0.5","3.66","0",,"0.3","21.96","1","1"
"2","2018-01-01T00:46:47.000","2018-01-01T00:56:32.000","N","1","83","226","1","1.33","8","0.5","0.5","0","0",,"0.3","9.3","2","1"
"2","2018-01-01T00:05:58.000","2018-01-01T00:19:34.000","N","1","33","231","1","2.44","11.5","0.5","0.5","0","0",,"0.3","12.8","2","1"
"2","2018-01-01T00:35:12.000","2018-01-01T00:50:19.000","N","1","66","181","1","2.60","12","0.5","0.5","2","0",,"0.3","17.25","1","1"
