"entity_name","entity_role","street_address","suite_apartment_number","city","state","postcode","country","owner_officer_1_first_name","owner_officer_1_last_name","individual_role_1","individual_title_1","officer_equivalent_1","owner_officer_2_first_name","owner_officer_2_last_name","individual_role_2","individual_title_2","officer_equivalent_2","owner_officer_3_first_name","owner_officer_3_last_name","individual_role_3","individual_title_3","officer_equivalent_3","owner_officer_4_first_name","owner_officer_4_last_name","individual_role_4","individual_title_4","officer_equivalent_4","owner_officer_5_first_name","owner_officer_5_last_name","individual_role_5","individual_title_5","officer_equivalent_5","borough","zipcode","assembly_district","election_district_","bin","bbl","community_board","council_district","census_tract","nta","latitude","longitude"
"A&R ELECTRICAL MAINTENANCE","Sub-Contractor","85-45 Grand Ave",,"Elmhurst","NEW YORK","11373","USA","Robert","Cerrito","Owner","Vice President",,"Anthony","Cerrito","Both","President","Chief Operating Officer","Robert","Cerrito","Officer","President","Chief Executive Officer","Anthony","Cerrito","Officer","PRESIDENT",,"Anthony","Cerrito","Both","PRESIDENT","Chief Executive Officer","Queens","11373","35","002","4057279","4024750057","04","25","479","QN50","40.735609","-73.881017"
"EMPIRE STATE INSTALL","Sub-Contractor","555 State Road","Ste 101","Bensalem","NEW YORK","19020","USA","Michael","Zuidema","Officer","CFO","Chief Financial Officer","Roseann","Sherno","Both","Payroll",,"Michael","Zuidema","Officer","CFO",,,,,,,,,,,,"Out of NYC",,,,,,,,,,,
"EMPIRE STATE INSTALL","Contractor","555 State Road","Ste 101","Bensalem","NEW YORK","19020","USA","Michael","Zuidema","Officer","CFO","Chief Financial Officer","Roseann","Sherno","Both","Payroll",,"Michael","Zuidema","Officer","CFO",,,,,,,,,,,,"Out of NYC",,,,,,,,,,,
"A. SANITA CONCRETE & CONSTRUCTION, INC.","Sub-Contractor","1145 Park Ave","1st Floor","Franklin Square","NEW YORK","11010","USA","Americo P.","Sanita","Both","President","Chief Executive Officer","Adrienne","Smith","Both","Vice President","Chief Financial Officer",,,,,,,,,,,,,,,,"Out of NYC",,,,,,,,,,,
"MAC-TESTA CONTRACTING CORP","Sub-Contractor","2424 Route 52","Ste 2C","Hopewell Junction","NEW YORK","12533","USA","Richard","Mackey","Officer","President",,"DEIRDRE","MACKEY","Officer","VICE PRESIDENT",,"Richard","Mackey","Officer","COO","Chief Operating Officer","Richard","Mackey","Both","PRESIDENT","Chief Executive Officer","Jerry","Buckley","Owner","Vice-President",,"Out of NYC",,,,,,,,,,,
"SOIL SOLUTIONS INC","Sub-Contractor","110 Cherry Valley Ave",,"West Hempstead","NEW YORK","11552","USA","Vincent","Dejana","Officer","COO","Chief Operating Officer","Neha","Shah","Both","Pres",,"VINCENT","DEJANA","Officer","PRESIDENT",,"Vincent","Dejana","Owner","president",,"Vincent","Dejana","Officer","President",,"Out of NYC",,,,,,,,,,,
"GLO ELECTRIC LLC","Sub-Contractor","441 Wild Avenue",,"Staten Island","NEW YORK","10314","USA","Nicole","Randazzo","Both","UNKNOWN",,"Louis","Dionio","Both",,,"Nicole","Randazzo","Officer","Officer",,"Louis","Dionio","Both","pres",,"Peter","Gioelle","Officer","President",,"Staten Island","10314","63","018","5157741","5027050069","02","50","29102","SI05","40.585866","-74.196083"
"4 BROTHERS AND SONS FENCE INC","Contractor","10 Yellow Stone Ave",,"White Plains","NEW YORK","10607","USA","Nick","Berisha","Officer","officer",,"Hysni","Berisha","Owner","President",,"Ardijan","Berisha","Officer","Vice president",,"Nick","Barisha","Both","officer",,"ARDIJAN","BERISHA","Officer","Vice President",,"Out of NYC",,,,,,,,,,,
"4 BROTHERS AND SONS FENCE INC","Sub-Contractor","10 Yellow Stone Ave",,"White Plains","NEW YORK","10607","USA","Nick","Berisha","Officer","officer",,"Hysni","Berisha","Owner","President",,"Ardijan","Berisha","Officer","Vice president",,"Nick","Barisha","Both","officer",,"ARDIJAN","BERISHA","Officer","Vice President",,"Out of NYC",,,,,,,,,,,
"TEMPA GENERAL CONTRACTION CORP.","Sub-Contractor","46-25 54th Ave",,"Maspeth","NEW YORK","11378","USA","Franco","Colarusso","Owner","President",,"Franco","Colarusso","Owner",,,,,,,,,,,,,,,,,,"Queens","11378","37","066","4533731","4025440018","02","30","205","QN31","40.731578","-73.921375"
"QUEUE ELECTRICAL","Sub-Contractor","2244 119th street",,"College Point","NEW YORK","11356","USA","Anthony","Quinones","Owner","PRESIDENT",,"Anthony","Quinones","Owner","Owner",,"Anthony","Quinones","Owner","OWNER",,"Anthony","Quinones","Both","OWNER",,"ANTHONY","QUINONES","Both","OWNER",,"Queens","11356","27","062","4438012","4041940020","07","19","919","QN23","40.779429","-73.848807"
"TECHNOVOLT","Sub-Contractor","28-29 119th Street",,"Flushing","NEW YORK","11354","USA","Kia","Gjini","Both","OWNER",,"Kia","Gjini","Owner","President",,"Kia","Gjini","Owner","president",,"Peter","Ginis","Owner","President",,"Kia","Gjini","Both","Owner",,"Queens","11354","27","060","4100693","4043160004","07","19","907","QN23","40.772680","-73.848800"
"RNC INDUSTRIES, LLC","Contractor","720 Blue Point Road",,"Holtsvile","NEW YORK","11742","USA","Rich","Tonyes","Officer","President",,"Rich","Tonyes","Owner","Preisdent",,"Robert","Dugan","Officer","President","Chief Executive Officer","Joe","Spigonardo","Both","Pres",,"Barbara","Kenny","Both",,,"Out of NYC",,,,,,,,,,,
"RNC INDUSTRIES, LLC","Sub-Contractor","720 Blue Point Road",,"Holtsvile","NEW YORK","11742","USA","Rich","Tonyes","Officer","President",,"Rich","Tonyes","Owner","Preisdent",,"Robert","Dugan","Officer","President","Chief Executive Officer","Joe","Spigonardo","Both","Pres",,"Barbara","Kenny","Both",,,"Out of NYC",,,,,,,,,,,
"MARINE BULKHEADING INC","Sub-Contractor","3512 Bay Ct.",,"Seaford","NEW YORK","11783","USA","Thomas","Desousa","Officer","Vice President",,"Michael","DeSousa","Owner","President",,"Edwin","Torres","Both","President",,"Michael","DeSousa","Owner","Pres",,"Michael","DeSausa","Owner","Owner",,"Out of NYC",,,,,,,,,,,
"ROCKLEDGE SCAFFOLD CORP.","Sub-Contractor","808 Nepperhan Ave.",,"Yonkers","NEW YORK","10703","USA","ana","camacho","Both",,,"ana","camacho","Both","president",,"Jeremiah","Harrington","Officer","PRESIDENT",,"ana","camacho","Both","President",,"Ana","Camacho","Both","pres",,"Out of NYC",,,,,,,,,,,
"ROCKLEDGE SCAFFOLD CORP.","Contractor","808 Nepperhan Ave.",,"Yonkers","NEW YORK","10703","USA","ana","camacho","Both",,,"ana","camacho","Both","president",,"Jeremiah","Harrington","Officer","PRESIDENT",,"ana","camacho","Both","President",,"Ana","Camacho","Both","pres",,"Out of NYC",,,,,,,,,,,
"ACA CONTRACTING INC.","Sub-Contractor","333 Skidmore Road",,"Deer Park","NEW YORK","11729","USA","Cheryl","Zimmerman","Officer","Presiident",,"Diana","Amoroso","Owner","President",,"Diana","Amoroso","Officer","Pres",,"Diana","Amaroso","Owner","President",,"Christina","Dionisiou","Officer","Administrator",,"Out of NYC",,,,,,,,,,,
"ROSAL PLUMBING","Sub-Contractor","9002 91ST AVE",,"Woodhaven","NEW YORK","11421","USA","Mary","Commisso","Both","President",,"Mary","commisso","Officer","Unknown",,"Denise","Fishman","Officer",,,"Jimmy","Salera","Both","President",,"Denise","Fishman","Both","Pres",,"Queens","11421","38","057","4186261","4089840001","09","32","18","QN53","40.688981","-73.853058"
"GMJ CONTRACTING CORP","Sub-Contractor","6 Cedar Road",,"Nanuet","NEW YORK","10954","USA","Victoria","McLoughlin","Both",,,"Gerard","McDonnell","Both",,,"Gerard","McDonnell","Owner","Owner",,"Mickey","Loughran","Officer","Officer",,"Mickey","Loughran","Owner","Owner",,"Out of NYC",,,,,,,,,,,
"CCC RENOVATION","Sub-Contractor","31-07 STARR AVENUE","Suite 1","Long island City","NEW YORK","11101","USA","ingrid","Pulido","Officer","Unknown",,"Robinson","Agudelo","Both","Owner",,"Agudelo","Robinson","Owner","President",,"Robinson","Agudelo","Owner","President",,"Ingrid","Pulido","Officer","unknown",,"Queens","11101","37","025","4003596","4003010005","02","26","199","QN31","40.736834","-73.937448"
"METRO ERECTORS, INC.","Sub-Contractor","4864 Arthur Kill Road","3rd Floor","Staten Island","NEW YORK","10309","USA","John","Russo","Officer","Officer",,"John","Russo","Owner","Owner",,"John","Russo","Owner","PRESIDENT",,"Jacqueline","Russo","Officer","President",,"Jacqueline","Russo","Officer","Principal Officer",,"Staten Island","10309","62","010","5095697","5075840065","03","51","226","SI11","40.523573","-74.239207"
"EARTH CONSTRUCTION","Sub-Contractor","35-39 Kiscona Road",,"Mount Kisco","NEW YORK","10549","USA","Matthew","Cichetti","Owner","Owner",,"Victor","Loiola","Officer","Unknown",,"Ryan","Barrella","Owner","Principal",,"Susan","Slavkin","Officer","Unknown",,"Douglas","Tenenbaum","Officer","Operations Manager",,"Out of NYC",,,,,,,,,,,
"GREY-RUSO CONSTRUCTION CORP.","Sub-Contractor","168-04 12th Road",,"Whitestone","NEW YORK","11357","USA","Gregory","Caruso","Owner","Owner",,,,,,,,,,,,,,,,,,,,,,"Queens","11357","26","016","4104433","4046100053","07","19","991","QN49","40.790356","-73.795417"
"METALPRO CUSTOM CONSTRUCTION AND RAILING LLC","Sub-Contractor","130 Ryerson Avenue",,"Wayne","NEW JERSEY","7470","USA","Osmin","Garrido","Owner",,,,,,,,,,,,,,,,,,,,,,,"Out of NYC",,,,,,,,,,,
"JAMCOB ELECTRIC LLC","Sub-Contractor","1004 Tiffany Street",,"Bronx","NEW YORK","10459","USA","Angel","Beato","Owner",,,,,,,,,,,,,,,,,,,,,,,"Bronx","10459","85","047","2005661","2027140030","02","17","159","BX27","40.822768","-73.894877"
"FORWARD HEATING CORP","Sub-Contractor","55-54 60th Street",,"Maspeth","NEW YORK","11378","USA","Joseph","Milohnic","Owner",,,,,,,,,,,,,,,,,,,,,,,"Queens","11378","30","013","4059950","4026880044","05","30","531","QN30","40.726001","-73.906091"
"MONCON, INC","Sub-Contractor","56-21 Metropolitan Avenue",,"Ridgewood","NEW YORK","11385","USA","Stephen","McKernan","Both","President",,"Stephen","McKernan","Both","President","Chief Executive Officer","Stephen","McKernan","Officer","Principal",,,,,,,,,,,,"Queens","11385","37","042","4059471","4026460011","05","30","595","QN20","40.712950","-73.906784"
"DDS MECHANICAL PLUMBING & HEATING","Sub-Contractor","38-24 54th Street",,"Woodside","NEW YORK","11377","USA","DEIGO","LOMANTO","Officer","PRESIDENT",,"diego","lomanto","Officer","principal",,"Demetrios","Skuludis","Both","Vice President",,"Diego","LoManto","Officer","Principal",,"Diego","Lomanto","Both","President","Chief Executive Officer","Queens","11377","30","076","4027583","4012070057","02","26","255","QN63","40.749588","-73.908566"
"A&S STEEL CONTRACTORS LTD","Sub-Contractor","391 Saw Mill River Drive",,"Yonkers","NEW YORK","10701","USA","Anthony","Russo","Owner","Owner",,"Anthony","Russo","Officer","Vice President",,"Rafi","Syed","Officer","President",,"Anthony","Russo","Both",,,"Anthony","Russo","Owner","President",,"Out of NYC",,,,,,,,,,,
"UNITED CONCRETE, LLC","Sub-Contractor","213 20th Street","Suite 1A","Brooklyn","NEW YORK","11232","USA","Aldo","Malomo","Both",,,"Aldo","Malencio","Officer",,,"Aldo","Malencio","Both","owner","Chief Executive Officer","Amanda","Payne","Officer","Office Administrator",,"Aldo","Malencio","Both","President",,"Brooklyn","11232","51","042","3323812","3006370062","07","38","143","BK37","40.662497","-73.993808"
"CORE SCAFFOLD SYSTEMS INC.","Sub-Contractor","417 Myrtle Avenue","Suite 14","Brooklyn","NEW YORK","11205","USA","Mendim","Dobrova","Owner","President",,"Willy","Pilku","Owner","Owner",,"Willy","Pilku","Both","Pres",,"Al","Skara","Both","President",,"Willy","Pilku","Both","President",,"Brooklyn","11205","50","092","3054291","3018870095","02","35","187","BK68","40.693133","-73.969121"
"NEWBURGH IRON, LLC","Sub-Contractor","2-4 Kieffer Lane",,"Kingston","NEW YORK","12401","USA","Thomas","Auringer","Owner","President",,"DAVID","AURINGER","Both","Pres",,"jamie",,"Both","pres.",,"Thomas","Auringer","Owner","owner",,"Thomas","Auringer","Officer","President",,"Out of NYC",,,,,,,,,,,
"HDK CONSTRUCTION, LLC","Sub-Contractor","35 Lexington Ave","Suite 1701","New York","NEW YORK","10017","USA","Joe","Zerilli","Officer","President",,"Joe","Zerilli","Both","President",,"Joe","Zerilli","Both","Project Executive",,,,,,,,,,,,"Manhattan","10010","75","031","1018041","1008790023","06","02","68","MN21","40.739976","-73.984389"
"ASPRO PLUMBING INC.","Sub-Contractor","127-08 Merrick Blvd",,"Springfield Gardens","NEW YORK","11434","USA","Vincent","Aspromonte Jr","Officer","President",,"Vincent","Aspromonte Jr","Owner","President",,"Nicholas","Covino","Officer","Vice President",,"Nicholas","Covino","Both",,,"Vincent","Aspromode","Both","COO","Chief Operating Officer","Queens","11434","32","072","4270315","4125280105","12","27","33401","QN08","40.681323","-73.764972"
"SUTHERTON CONSTRUCTION CORP.","Sub-Contractor","177 East Main Street","216","New Rochelle","NEW YORK","10801","USA","Tafara","Tigere","Officer","President","Chief Executive Officer",,,,,,,,,,,,,,,,,,,,,"Out of NYC",,,,,,,,,,,
"L & D DRYWALL SERVICES CORP.","Sub-Contractor","4818 66th Street","3rd Floor","Woodside","NEW YORK","11377","USA","Lylian","Denis","Owner","President",,"Christian","Criollo","Officer","Officer",,,,,,,,,,,,,,,,,"Queens","11377","30","036","4538772","4023890032","02","30","243","QN50","40.738220","-73.898914"
"JJ MATTHEWS","Contractor","811 McLean Avenue","Suite 2A","Yonkers","NEW YORK","10704","USA","James","McNabb","Owner","President",,"James","Mc Nabb","Both","President","Chief Executive Officer","James","Mc Nabb","Officer","President",,,,,,,,,,,,"Out of NYC",,,,,,,,,,,
"KISKA SOLUTIONS INC.","Sub-Contractor","28-24 120th Street","Suite 200","Flushing","NEW YORK","11354","USA","Weihua (Richard)","Chen","Officer","President",,"Richard","Chen","Both","OWNER",,"Richard","Chen","Officer","President",,"Richard","Chen","Owner","OWNER",,"Weihua (Richard)","Chen","Both","Owner",,"Queens","11354","27","060","4100705","4043160029","07","19","907","QN23","40.772783","-73.847908"
"FTE BUILDERS LLC","Sub-Contractor","5214 Church Avenue",,"Brooklyn","NEW YORK","11203","USA","Franklyn","Foyle","Both","president","Chief Executive Officer","LISA","JACKSON","Owner","PRESIDENT",,"Lisa","Jackson","Both","President",,"LISA","JACKSON","Owner","President",,"Lisa","Jackson","Owner","President",,"Brooklyn","11203","58","036","3102931","3047000006","17","41","862","BK96","40.652204","-73.928233"
"ALBA SERVICES INC.","Contractor","240 West 52nd Street",,"New York City","NEW YORK","10019","USA","Andrew","Horan","Owner","President",,"Andrew","Horan","Both","President","Chief Executive Officer","Andrew","Horan","Officer","Manager",,"Mario","Procida","Officer","Manager","Chief Executive Officer","Andrew","Horan","Officer","President","Chief Executive Officer","Manhattan","10019","67","009","1080862","1010230053","05","03","131","MN17","40.762999","-73.983922"
"ALBA SERVICES INC.","Sub-Contractor","240 West 52nd Street",,"New York City","NEW YORK","10019","USA","Andrew","Horan","Owner","President",,"Andrew","Horan","Both","President","Chief Executive Officer","Andrew","Horan","Officer","Manager",,"Mario","Procida","Officer","Manager","Chief Executive Officer","Andrew","Horan","Officer","President","Chief Executive Officer","Manhattan","10019","67","009","1080862","1010230053","05","03","131","MN17","40.762999","-73.983922"
"BLETSAS PLUMBING & HEATING CORP","Sub-Contractor","37-20 58th Street",,"Woodside","NEW YORK","11377","USA","Stephanie","Portuguez","Officer","Unknown",,"John","Bletsas","Owner","President",,"John","Bletsas","Officer","President",,"John","Blestas","Owner","President",,"John","Bletsas","Both","President",,"Queens","11377","30","052","4027663","4012120020","02","26","257","QN63","40.749643","-73.904582"
"FIVE BOROUGH NYC, LLC","Sub-Contractor","553 Lincoln Avenue",,"Staten Island","NEW YORK","10306","USA","Gary","Valenti","Officer","Principal",,"Gary","Valenti","Owner","President",,,,,,,,,,,,,,,,,"Staten Island","10306","64","025","5054655","5038040009","02","50","11202","SI45","40.571927","-74.094729"
"MASPETH CONTRACTING CORP.","Sub-Contractor","54-30 44th Street",,"Maspeth","NEW YORK","11378","USA","John","Schrone","Officer","President",,,,,,,,,,,,,,,,,,,,,,"Queens","11378","37","026","4539962","4025230024","02","30","205","QN31","40.731105","-73.923540"
"P-GOOM INC","Sub-Contractor","124 Westervelt Avenue",,"Tenafly","NEW YORK","7670","USA","Daniel","Weissman","Officer","Vice President",,"Daniel","Weissman","Owner","owner",,"Daniel","Weissman","Owner","Owner",,,,,,,,,,,,"Out of NYC",,,,,,,,,,,
"YH DESIGN INC.","Sub-Contractor","78-06 Kneeland Avenue",,"Elmhurst","NEW YORK","11373","USA","Jin Xiang","Chi","Officer","President",,"Jin Xiang","Chi","Owner","Owner",,,,,,,,,,,,,,,,,"Queens","11373","39","035","4056815","4024670092","04","25","479","QN50","40.735163","-73.885464"
"METRO FIRE PROTECTION, INC.","Sub-Contractor","150 Jerusalem Ave",,"Massapequa","NEW YORK","11758","USA","Angela","Stiglianese","Owner","Vice President",,"Karen","Vukovich","Both","President",,"Karen","Vukovich","Both",,,"Karen","Vukovich","Both","pres",,"Robert","Perper","Owner","President",,"Out of NYC",,,,,,,,,,,
"FINE LINE & SONS CORP.","Sub-Contractor","446 MIlford Street",,"Brooklyn","NEW YORK","11208","USA","Marvellous","John","Owner","president",,"Marvellous","John","Owner","owner",,"Marvellous","John","Owner","Owner",,"Marvellus","John","Owner","President",,"Marvellous","John","Both","Na",,"Brooklyn","11208","60","032","3098443","3044560031","05","42","1118","BK82","40.668111","-73.875100"
"VALEX ENTERPRISES","Sub-Contractor","64 South Main Street",,"Marlboro","NEW YORK","7747","USA","Anthony","Sasto","Officer","Unknown",,"Cathy","Sherry","Officer","Unknown",,"Danielle","Agostino","Both","President","Chief Operating Officer",,,,,,,,,,,"Out of NYC",,,,,,,,,,,
"ARDENT CONSTRUCTION & DEVELOPMENT INC.","Sub-Contractor","7014 13th Avenue","STE 202","Brooklyn","NEW YORK","11228","USA","Joanne","Cassidy","Officer","President",,"Joanne","Cassidy","Both",,,"Joanne","Cassidy","Owner","CEO",,"Joanne","Cassidy","Both","President",,"-","-","Owner","-",,"Brooklyn","11228","49","050","3157031","3061660041","10","43","196","BK30","40.623011","-74.004633"
"CONCRETE STRUCTURES, INC.","Sub-Contractor","960 Johnson Ave",,"Ronkonkoma","NEW YORK","11779","USA","Nelson","Mendonco","Officer","President",,"Americo","Magalhaes","Owner","President",,"Debra","Howard","Officer","Manager","Chief Executive Officer","Americo","Magalhaes","Owner","Owner",,"Americo","Magalhaes","Officer","President",,"Out of NYC",,,,,,,,,,,
"SUPERIOR MAINTENANCE SYSTEMS","Sub-Contractor","439 N. Bicycle Path",,"Port Jefferson Station","NEW YORK","11776","USA","Catherine","Gatto","Owner","president",,"Catherine","Gatto","Owner","President",,"CATHERINE","GATTO","Owner","President",,,,,,,,,,,,"Out of NYC",,,,,,,,,,,
"COPPER SERVICES LLC","Sub-Contractor","1001 37th Avenue",,"Long Island City","NEW YORK","11101","USA","Thomas","Andreadakis","Owner","Secretary",,"Thomas","Andreadakis","Owner","owner",,"Thomas","Andreadakis","Officer","Officer",,"Frank","Sbeglia","Owner","Fire Suppression LIcensse",,"Victor","Ramanand","Owner","Master Plumber",,"Queens","11101","37","006","4004306","4003530001","01","26","85","QN68","40.760021","-73.941501"
"MEDCO PLUMBING INC.","Sub-Contractor","65-11 Fresh Meadow Ln",,"Flushing","NEW YORK","11365","USA","Manfred","Demenus","Officer","PRESIDENT",,"Salih","Atli","Officer","Vice President",,"Salih","Atli","Owner","President",,"Manfred","Demenus","Officer","President",,"Manfred","Demenus","Both","President",,"Queens","11365","25","059","4315237","4069160024","08","24","1341","QN41","40.736012","-73.794981"
"URBAN FOUNDATION ENGINEERING LLC","Sub-Contractor","32-33 111th Street",,"East Elmhurst","NEW YORK","11369","USA","Anthony","Mazzo","Owner","Owner",,"Anthony","Mazzo","Officer","MEMBER/MANAGER",,"Tony","Mazzo","Officer","President",,"Anthony","Mazzo","Officer","Owner",,,,,,,"Queens","11369","35","038","4042316","4017050053","03","21","373","QN27","40.759159","-73.859111"
"ARSENAL SCAFFOLD, INC","Contractor","95 Jersey Street",,"West Babylon","NEW YORK","11704","USA","Ed","Davidson","Both","pres",,"Ed","Davidson","Both","President",,"Philip","Susi","Owner","President",,"Philip","Susi","Both","President",,"Philip","Susi","Officer","President","Chief Executive Officer","Out of NYC",,,,,,,,,,,
"ARSENAL SCAFFOLD, INC","Sub-Contractor","95 Jersey Street",,"West Babylon","NEW YORK","11704","USA","Ed","Davidson","Both","pres",,"Ed","Davidson","Both","President",,"Philip","Susi","Owner","President",,"Philip","Susi","Both","President",,"Philip","Susi","Officer","President","Chief Executive Officer","Out of NYC",,,,,,,,,,,
