"siteid","inspectionid","inpectiondate","location","question1","question2","_2_option1","_2_option2","_2_option3","_2_option4","_2_option5","_2_option6","_2_ticketnumber","_2_bikeidnumber","_2_multipleinstances","_2_ticketcomments","question3","_3_option1","_3_option2","_3_option3","_3_option4","_3_ticketnumber","_3_ticketcomments","question4","_4_option1","_4_option2","_4_option3","_4_option4","_4_ticketnumber","_4_ticketcomments","question5","question6","question7","question8","_8_option1","_8_option2","_8_option3","_8_ticketnumber","_8_bikeidnumber","_8_ticketcomments","question9","question10"
"4724.03","72187","2018-07-13T14:37:58.000Z","Washington Avenue and Park Avenue","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"6319.01","100798","2019-12-10T12:59:03.000Z","45th Road and 11th Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6148.02","113029","2020-02-19T12:35:05.000Z","West 17th Street and Eighth Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"4205.06","85179","2019-06-11T13:50:12.000Z","Kingston Avenue and Herkimer Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6278.04","88183","2019-09-18T12:30:32.000Z","44th Drive and 21st Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6926.01","101149","2019-12-19T14:28:04.000Z","West 52nd Street and Eleventh Avenue","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"6726.01","84258","2019-05-20T12:37:12.000Z","Eleventh Avenue and West 41st Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6584.12","83750","2019-05-08T10:39:10.000Z","East 47th Street and Park Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6782.07","82333","2019-03-28T14:44:07.000Z","31st Avenue and Steinway Street","No","No",,,,"Yes",,,,,"No","Bridging connecting last plate misaligned","Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"7611.02","74476","2018-09-10T14:46:28.000Z","East 118th Street and Third Avenue","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"3847.04","86893","2019-08-05T13:51:56.000Z","Carroll Street and Franklin Avenue","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"5406.02","73034","2018-08-06T10:38:24.000Z","Rivington Street and Ridge Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"7610.13","74645","2018-09-13T15:12:16.000Z","West 104 Street and Amsterdam Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6806.06","85871","2019-07-02T12:30:07.000Z","35th Avenue and 10th Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"5137.10","87156","2019-08-15T12:26:03.000Z","Spruce Street and Nassau Street","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"4404.10","82050","2019-03-21T12:53:25.000Z","Bond Street and Bergen Street","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"4193.14","83103","2019-04-22T12:48:49.000Z","1st Place and Clinton Street","No","No",,,,,"Yes",,,,"No","Missing delineator in front of dock 20","Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"6541.03","112004","2020-01-22T13:16:40.000Z","East 48th Street and Third Avenue","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"6310.06","86989","2019-08-07T13:55:24.000Z","27th Street and Hunter Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"4751.01","112872","2020-02-13T10:30:39.000Z","Cedar Street and Myrtle Avenue","No","No",,,,,,"Yes",,,"No","Remove graffiti from kiosk (ad side)",,,,,,,,,,,,,,,,,,,,,,,,,,
"5484.09","88616","2019-10-02T09:25:12.000Z","Allen Street and Stanton Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"3905.15","101305","2020-01-02T13:17:03.000Z","3rd Street and 7th Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"7587.14","87558","2019-08-28T10:41:02.000Z","East 110th Street and Madison Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"7286.02","99722","2019-11-07T10:31:18.000Z","East 93rd Street and Second Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"3704.01","100942","2019-12-16T12:35:17.000Z","Franklin Avenue and Empire Boulevard","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"6682.03","85832","2019-07-02T09:51:40.000Z","East 58th Street and First Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"7524.16","80199","2019-02-05T13:27:55.000Z","Riverside Drive and West 91st Street","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"4488.08","80072","2019-02-01T13:55:54.000Z","Court Street and State Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6969.08","72934","2018-08-02T12:42:02.000Z","East 66th Street and Madison Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"3879.04","84856","2019-06-03T13:30:52.000Z","Union Street and Bedford Avenue","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"5515.02","74737","2018-09-17T13:52:57.000Z","East 2nd Street and Avenue B","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"4546.04","76498","2018-10-29T12:38:49.000Z","DeKalb Avenue and South Portland Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"7018.01","88425","2019-09-24T12:39:58.000Z","31st Street and Hoyt Avenue North","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"5476.03","101824","2020-01-15T13:22:06.000Z","East 2nd Street and Avenue C","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"7685.14","85501","2019-06-20T12:45:10.000Z","Mt Morris Park West and West 120th Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"5329.06","86356","2019-07-17T14:42:33.000Z","Murray Street and West Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"5267.09","83737","2019-05-07T13:34:35.000Z","Roebling Street and North 4th Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"4222.02","85371","2019-06-17T13:24:15.000Z","Lefferts Place and Franklin Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6563.12","78289","2018-12-13T13:41:37.000Z","35th Avenue and 37th Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"7311.02","100385","2019-11-27T13:05:14.000Z","Amsterdam Avenue and West 79th Street","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"5422.04","75238","2018-10-01T10:28:28.000Z","Howard Street and Centre Street","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"5403.05","75400","2018-10-02T14:55:22.000Z","Graham Avenue and Herbert Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"5105.01","77820","2018-12-03T10:36:45.000Z","Liberty Street and Broadway","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"4175.14","113715","2020-03-04T13:14:23.000Z","Douglass Street and Fourth Avenue","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"5187.03","77340","2018-11-20T12:51:18.000Z","Hope Street and Union Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6955.01","98893","2019-10-10T14:48:23.000Z","West 56th Street and Tenth Avenue","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"5785.05","76911","2018-11-09T13:58:32.000Z","Greenpoint Avenue and Manhattan Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"5659.05","74250","2018-09-05T12:51:44.000Z","East 10th Street and Avenue A","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6951.03","112221","2020-01-27T13:15:29.000Z","28th Avenue and 35th Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6072.06","112453","2020-02-05T08:51:57.000Z","Greenwich Avenue and Eighth Avenue","No","No",,,,"Yes",,,,,"No","Last plate misaligned","Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"5400.05","76178","2018-10-22T11:55:14.000Z","Harrison Street and Hudson Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6626.01","100454","2019-12-02T12:37:43.000Z","East 48th Street and Fifth Avenue","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"4413.08","75688","2018-10-11T12:16:23.000Z","Warren Street and Court Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6822.09","82384","2019-04-01T11:47:52.000Z","First Avenue and East 68th Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"5561.08","72559","2018-07-24T12:50:33.000Z","Lafayette Street and Jersey Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"4413.08","88346","2019-09-23T12:10:59.000Z","Warren Street and Court Street","No","No",,,,,,"Yes",,,"No","Graffiti on map side of kiosk","Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"6743.06","80869","2019-02-21T12:46:38.000Z","Newtown Road and 44th Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"4422.05","84146","2019-05-16T13:14:09.000Z","Columbia Street and Kane Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"7499.05","76070","2018-10-17T14:16:34.000Z","Central Park West and West 96th Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"7640.04","88405","2019-09-24T11:25:20.000Z","East 118th Street and Madison Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6743.06","73826","2018-08-23T12:46:15.000Z","Newtown Road and 44th Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"7291.06","80928","2019-02-22T10:34:17.000Z","Ditmars Boulevard and 19th Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"5400.05","79252","2019-01-10T14:35:47.000Z","Harrison Street and Hudson Street","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"3987.06","88500","2019-09-25T14:15:37.000Z","Fifth Avenue and 3rd Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"3696.05","81933","2019-03-19T14:35:24.000Z","Rogers Avenue and Sterling Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6352.01","79466","2019-01-16T14:09:02.000Z","44th Drive and Jackson Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6932.14","75909","2018-10-15T12:33:42.000Z","East 67th Street and Park Avenue","No","No",,,,,"Yes",,,,"No","Missing delineators (striping present)","Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"6926.01","75918","2018-10-15T12:41:20.000Z","West 52nd Street and Eleventh Avenue","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"4413.08","78538","2018-12-20T13:26:39.000Z","Warren Street and Court Street","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"6022.04","77054","2018-11-14T12:52:46.000Z","East 16th Street and Fifth Avenue","No","No",,,,,"Yes",,,,"No","Damaged delineator in front of dock 12","Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"4134.06","111964","2020-01-22T10:09:05.000Z","Berkeley Place and Sixth Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6904.06","101383","2020-01-03T14:30:01.000Z","Fifth Avenue and East 63rd Street","No","No",,,,"Yes",,,,,"No","Bridging misaligned","Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"7149.05","77482","2018-11-21T15:01:35.000Z","Amsterdam Avenue and West 66th Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6529.02","98952","2019-10-15T13:18:37.000Z","37th Avenue and 35th Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"5633.04","85954","2019-07-03T14:34:01.000Z","Banker Street and Meserole Avenue","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"7204.08","88153","2019-09-17T11:44:28.000Z","East 89th Street and York Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"5989.02","81665","2019-03-13T12:35:00.000Z","West 15th Street and 6th Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6004.06","81769","2019-03-15T12:43:23.000Z","East 27th Street and First Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6650.07","111908","2020-01-21T12:32:59.000Z","East 55th Street and Second Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"4422.05","86299","2019-07-16T13:45:14.000Z","Columbia Street and Kane Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"4565.04","82393","2019-04-01T12:02:16.000Z","Schermerhorn Street and Court Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"7323.10","87561","2019-08-28T10:58:00.000Z","Fifth Avenue and East 88th Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6382.08","75610","2018-10-10T11:06:56.000Z","West 27th Drive and Tenth Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"5342.10","86350","2019-07-17T14:21:55.000Z","Allen Street and Hester Street","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"5666.04","74093","2018-08-30T14:14:47.000Z","Meserole Avenue and Manhattan Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6951.03","76609","2018-10-31T12:00:52.000Z","28th Avenue and 35th Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"4184.07","85027","2019-06-06T12:27:51.000Z","Carroll Street and Bond Street","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"6532.06","82853","2019-04-15T10:54:05.000Z","East 51st Street and First Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"5062.01","99135","2019-10-18T13:56:04.000Z","Kent Avenue and South 11th Street","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"7003.03","100960","2019-12-17T12:19:54.000Z","Vernon Boulevard and 30th Road","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"4428.02","82459","2019-04-02T12:14:15.000Z","Cumberland Street and Lafayette Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"5259.06","81139","2019-02-27T13:00:54.000Z","Devoe Street and Lorimer Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"7688.12","74621","2018-09-13T13:25:06.000Z","Frederick Douglass Boulevard and West 117th Street","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"5379.10","83707","2019-05-07T12:20:48.000Z","North 6th Street and Bedford Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6816.07","85116","2019-06-10T12:03:56.000Z","Eighth Avenue and West 52nd Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6656.05","86920","2019-08-06T12:23:21.000Z","21st Street and 38th Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"5626.07","78718","2018-12-28T11:00:22.000Z","East 7th Street and Avenue A","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"5279.03","80878","2019-02-21T12:55:51.000Z","Centre Street and Worth Street","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"5288.12","76255","2018-10-23T14:11:16.000Z","Murray Street and Greenwich Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"7026.08","74292","2018-09-05T14:20:31.000Z","Newtown Avenue and 23rd Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6203.02","78094","2018-12-07T12:33:13.000Z","Jackson Avenue and 46th Road","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"5422.04","100721","2019-12-09T12:29:28.000Z","Howard Street and Centre Street","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"6839.04","100347","2019-11-26T13:41:32.000Z","East 58th Street and Madison Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"7235.13","101092","2019-12-19T11:32:37.000Z","East 88th Street and First Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"5721.01","86428","2019-07-22T10:39:08.000Z","Sullivan Street and Washington Square South","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"5445.02","80015","2019-01-31T13:01:41.000Z","Suffolk Street and Stanton Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"5929.01","77015","2018-11-14T11:53:28.000Z","East 23rd Street Service Road and First Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"7414.17","81262","2019-03-04T10:13:13.000Z","Third Avenue and East 100th Street","No","No",,,,,,"Yes",,,"No","Damaged dock 04","Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"5359.10","87790","2019-09-04T14:56:14.000Z","Hudson Street and Reade Street","No","No",,,,,"Yes",,,,"No","Flattened delineator near dock 25","Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"3928.08","78065","2018-12-06T13:09:05.000Z","Eastern Parkway and Washington Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"5847.01","79991","2019-01-30T14:28:56.000Z","Christopher Street and Hudson Street","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"6726.01","85583","2019-06-24T12:34:51.000Z","Eleventh Avenue and West 41st Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6022.04","113400","2020-02-26T12:31:18.000Z","East 16th Street and Fifth Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"3996.01","78000","2018-12-05T13:22:40.000Z","7th Street and Third Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"7662.13","85491","2019-06-20T12:10:16.000Z","Lexington Avenue and East 127th Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6563.12","73810","2018-08-23T12:13:12.000Z","35th Avenue and 37th Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"4479.06","78483","2018-12-19T13:13:29.000Z","Bond Street and Fulton Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"7141.07","79366","2019-01-15T10:27:45.000Z","Central Park West and West 72nd Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"5838.09","74703","2018-09-17T12:24:18.000Z","West Washington Place and Sixth Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"6816.07","85870","2019-07-02T12:27:50.000Z","Eighth Avenue and West 52nd Street","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"4677.07","87688","2019-09-03T12:25:21.000Z","Cadman Plaza West and Montague Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"4134.06","88505","2019-09-26T11:56:10.000Z","Berkeley Place and Sixth Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"4395.07","78497","2018-12-19T13:38:34.000Z","Hanson Place and Ashland Place","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"7159.08","99004","2019-10-16T12:12:09.000Z","Astoria Park South and Shore Boulevard","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"3972.08","86943","2019-08-06T14:27:42.000Z","Henry Street and Bay Street","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
"7372.10","100272","2019-11-25T13:13:33.000Z","Fifth Avenue and East 93rd Stret","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"5794.03","87379","2019-08-21T14:39:23.000Z","India Street and West Street","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"4054.02","73800","2018-08-22T14:14:44.000Z","Wolcott Street and Dwight Street","No","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,,,"No",,,,,,,,
"6382.05","111870","2020-01-17T13:55:42.000Z","West 26th Street and Tenth Avenue","Yes","Yes",,,,,,,,,,,"Yes",,,,,,,"Yes",,,,,,,,"0",,"No",,,,,,,,
