"the_geom","job_number","job_type","residflag","nonresflag","job_status","compltyear","permityear","classainit","classaprop","classanet","hotelinit","hotelprop","otherbinit","otherbprop","unitsco","boro","bin","bbl","addressnum","addressst","occ_init","occ_prop","job_desc","datefiled","datepermit","datelstupd","datecomplt","zoningdst1","zoningdst2","zoningdst3","specldst1","specldst2","landmark","floorsinit","floorsprop","enlargemnt","ownership","cenblock10","bctcb2010","bct2010","nta2010","ntaname10","commntydst","councildst","schsubdist","schcommnty","schelmntry","schmiddle","firecmpany","firebattln","firedivsn","policepcnt","pl_firm07","pl_pfirm15","latitude","longitude","geomsource","dcpedited","version","location","bldg_class","centract10","cenblock20","centract20","bctcb2020","bct2020","nta2020","ntaname20","cdta2020","cdtaname20"
"POINT (997126.050351426 230345.0465774238)","103554100","Alteration","Residential","Non-Residential","3. Permitted for Construction",,"2004","56.0","46.0","-10.0","0","0","0","0","0.0","1","1054921","1018200017","131","WEST 110 STREET","Residential: 3 or More Units (J-2)","Unknown (E)","To convert existing apartment to a Dental Clinic, placing partitions and new plumbing fixtures.","2003-09-02T00:00:00.000","2004-05-21T00:00:00.000","2010-08-12T00:00:00.000",,"R8",,,,,,"0.0","6.0",,"Private For-Profit: Individual","360610216001004","10216001004","1021600","MN11","Central Harlem South","110","09","3_2","03","548","95","E058","12","03","028",,,"40.798918793","-73.9534955784","BIN DOB buildingfootprints","classa_init","22Q4","POINT (-73.9534955784 40.798918793)","D7","36061021600","360610216001004","36061021600","10216001004","1021600","MN1001","Harlem (South)","MN10","MN10 Harlem (CD 10 Equivalent)"
"POINT (982497.9047390074 212121.21327450871)","103715393","New Building","Residential",,"5. Completed Construction","2016","2004","0.0","6.0","6.0","0","0","0","0","6.0","1","1090389","1006957510","559","WEST 23 STREET","Empty Site","Residential: 3 or More Units (J-2)",,"2004-03-04T00:00:00.000","2004-03-05T00:00:00.000","2017-08-28T00:00:00.000","2016-05-12T00:00:00.000","M1-5","R9A",,,,,"0.0","12.0",,"Private For-Profit: Corporation","360610099001041","10099001041","1009900","MN13","Hudson Yards-Chelsea-Flatiron-Union Square","104","03","2_3","02","517","88","E003","07","01","010","1","1","40.7489083429","-74.0063249368","BIN DOB buildingfootprints",,"22Q4","POINT (-74.0063249368 40.7489083429)","R0","36061009900","360610099011002","36061009900","10099011002","1009901","MN0401","Chelsea-Hudson Yards","MN04","MN04 Chelsea-Hell's Kitchen (CD 4 Approximation)"
"POINT (998717.7039922625 232029.7380899191)","103725505","Alteration","Residential",,"5. Completed Construction","2021","2005","1.0","3.0","2.0","0","0","6","0","3.0","1","1053220","1017170067","80","WEST 119 STREET","Residential: Not Specified (RES)","Residential: Not Specified (RES)","PROPOSE TO CONVERT CLASS 'B' APT TO CLASS 'A' APTS WITH MINOR PARTITONS, INTERIOR FINISHED WORKS, AND PLUMBING WORKS AS PER PLAN. OBTAIN A NEW C OF O.","2004-03-08T00:00:00.000","2005-03-04T00:00:00.000","2021-09-14T00:00:00.000","2021-09-14T00:00:00.000","R7-2",,,,,"Yes","0.0","4.0",,"Private For-Profit: Individual","360610190001000","10190001000","1019000","MN11","Central Harlem South","110","09","3_2","03","547","95","E058","12","03","028",,,"40.8035403474","-73.947743197","BIN DOB buildingfootprints","hotel_prop/otherb_init/classa_init/otherb_prop/hotel_init","22Q4","POINT (-73.947743197 40.8035403474)","C0","36061019000","360610190001001","36061019000","10190001001","1019000","MN1001","Harlem (South)","MN10","MN10 Harlem (CD 10 Equivalent)"
"POINT (985055.8343344182 206652.27506542206)","103921981","Alteration","Residential",,"5. Completed Construction","2010","2005","2.0","3.0","1.0","0","0","4","2","3.0","1","1009471","1005730027","30","WEST 10 STREET","Residential: Not Specified (RES)","Residential: Not Specified (RES)","FILING HEREWITH CONVERSION OF FURNISHED ROOMS TO CLASS 'A' APARTMENT AT THE 4TH FLOORS WORK TO INCLUDE PARTITIONS MODIFICATIONS  AND PLUMBING","2004-09-14T00:00:00.000","2005-01-27T00:00:00.000","2010-12-29T00:00:00.000","2010-12-29T00:00:00.000","R6",,,,,"Yes","5.0","5.0",,"Private For-Profit: Individual","360610063003000","10063003000","1006300","MN23","West Village","102","03","2_2","02","875","94","E033","06","01","006",,,"40.7338976026","-73.9970937658","BIN DOB buildingfootprints","hotel_prop/otherb_prop/otherb_init/hotel_init/classa_init","22Q4","POINT (-73.9970937658 40.7338976026)","C1","36061006300","360610063003001","36061006300","10063003001","1006300","MN0202","Greenwich Village","MN02","MN02 Greenwich Village-SoHo (CD 2 Equivalent)"
"POINT (986961.8406930119 201106.9941612482)","104044883","Alteration","Residential",,"5. Completed Construction","2010","2005","15.0","15.0","0.0","0","0","0","0","15.0","1","1005472","1004140054","101","ORCHARD STREET","Residential: Not Specified (RES)","Residential: Not Specified (RES)",,"2005-02-18T00:00:00.000","2005-04-15T00:00:00.000","2010-09-02T00:00:00.000","2010-04-27T00:00:00.000","C6-1",,,,,,"0.0","5.0",,"Private For-Profit: Corporation","360610018002003","10018002003","1001800","MN27","Chinatown","103","01","2_1","02","509","87","E015","04","01","007",,,"40.7186767738","-73.9902185806","BIN DOB buildingfootprints","otherb_prop/hotel_init/classa_init/hotel_prop/otherb_init","22Q4","POINT (-73.9902185806 40.7186767738)","C7","36061001800","360610018002003","36061001800","10018002003","1001800","MN0302","Lower East Side","MN03","MN03 Lower East Side-Chinatown (CD 3 Equivalent)"
"POINT (982776.9688134193 176606.15635199845)","340794171","Alteration","Residential",,"1. Filed Application",,,"6.0","6.0","0.0","0","0","0","0","0.0","3","3010551","3007090055","453","40 STREET","Residential: Not Specified (RES)","Residential: 3 or More Units (R-2)",,"2020-12-07T00:00:00.000",,"2023-02-07T00:00:00.000",,"R6B",,,,,,"3.0","3.0",,"Private For-Profit: Corporation","360470084002002","30084002002","3008400","BK32","Sunset Park West","307","38","15_1","15","767","275","E228","40","08","072",,,"40.6514278563","-74.0053099927","BIN DOB buildingfootprints",,"22Q4","POINT (-74.0053099927 40.6514278563)","C2","36047008400","360470084002002","36047008400","30084002002","3008400","BK0702","Sunset Park (West)","BK07","BK07 Sunset Park-Windsor Terrace (CD 7 Approximation)"
"POINT (987436.2301641703 217221.35825791955)","104169917","Alteration","Residential","Non-Residential","5. Completed Construction","2018","2005","636.0","636.0","0.0","0","0","0","0","636.0","1","1077841","1010407501","350","WEST 50 STREET","Commercial: Retail (C)","Assembly: Eating & Drinking (F-4)",,"2005-07-15T00:00:00.000","2005-08-12T00:00:00.000","2005-08-12T00:00:00.000","2018-04-03T00:00:00.000","C6-4",,,,,,"0.0","41.0",,"Private For-Profit: Corporation","360610127005000","10127005000","1012700","MN15","Clinton","104","03","2_3","02","521","88","E054","09","03","018",,,"40.7629065446","-73.9884996086","BIN DOB buildingfootprints","otherb_prop/hotel_init/hotel_prop/classa_init/otherb_init","22Q4","POINT (-73.9884996086 40.7629065446)","R0","36061012700","360610127005000","36061012700","10127005000","1012700","MN0402","Hell's Kitchen","MN04","MN04 Chelsea-Hell's Kitchen (CD 4 Approximation)"
"POINT (994053.657874167 219592.29642942548)","104185739","Alteration","Residential","Non-Residential","5. Completed Construction","2019","2005","1.0","0.0","-1.0","0","0","0","0","0.0","1","1042520","1014040071","713","PARK AVENUE","Commercial: Not Specified (COM)","Unknown (E)","General Construction of interior partitions and doors as shown on plans filed herewith.","2005-08-03T00:00:00.000","2005-08-31T00:00:00.000","2006-02-23T00:00:00.000","2019-04-12T00:00:00.000","R10",,,,,"Yes","5.0","5.0",,"Private For-Profit: Individual","360610120004001","10120004001","1012000","MN40","Upper East Side-Carnegie Hill","108","04","2_5","02","522","93","E039","10","03","019",,,"40.769409296","-73.9646081714","BIN DOB buildingfootprints","hotel_prop/otherb_prop/hotel_init/otherb_init","22Q4","POINT (-73.9646081714 40.769409296)","O2","36061012000","360610120004001","36061012000","10120004001","1012000","MN0802","Upper East Side-Carnegie Hill","MN08","MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent)"
"POINT (987721.3204732537 203440.61777484417)","104255342","Alteration","Residential",,"5. Completed Construction","2012","2006","14.0","14.0","0.0","0","0","0","0","14.0","1","1006179","1004450033","57","FIRST AVENUE","Residential: Not Specified (RES)","Residential: Not Specified (RES)",,"2006-08-22T00:00:00.000","2006-08-29T00:00:00.000","2013-02-14T00:00:00.000","2012-02-28T00:00:00.000","R7A",,,,,,"0.0","6.0",,"Private For-Profit: Partnership","360610038004000","10038004000","1003800","MN22","East Village","103","02","1_3","01","502","81","E028","04","01","009",,,"40.7250817431","-73.9874775823","BIN DOB buildingfootprints","otherb_prop/classa_init/otherb_init/hotel_prop/hotel_init","22Q4","POINT (-73.9874775823 40.7250817431)","C7","36061003800","360610038004000","36061003800","10038004000","1003800","MN0303","East Village","MN03","MN03 Lower East Side-Chinatown (CD 3 Equivalent)"
"POINT (1001165.3214723468 232013.89461767673)","104308740","New Building","Residential",,"5. Completed Construction","2010","2007","0.0","50.0","50.0","0","0","0","0","50.0","1","1088783","1017720009","113","EAST 123 STREET","Empty Site","Residential: 3 or More Units (J-2)",,"2005-12-08T00:00:00.000","2007-12-06T00:00:00.000","2012-10-04T00:00:00.000","2010-03-02T00:00:00.000","R7-2",,,,,,"0.0","6.0",,"Government, State: NY State","360610196003003","10196003003","1019600","MN34","East Harlem North","111","09","5_1","05","572","100","L014","12","03","025",,,"40.8034925149","-73.9389022908","BIN DOB buildingfootprints",,"22Q4","POINT (-73.9389022908 40.8034925149)","D1","36061019600","360610196003003","36061019600","10196003003","1019600","MN1102","East Harlem (North)","MN11","MN11 East Harlem (CD 11 Equivalent)"
"POINT (1025030.7235445976 208762.38731500506)","402625209","New Building","Residential",,"5. Completed Construction","2011","2008","0.0","3.0","3.0","0","0","0","0","3.0","4","4539555","4019660080","57-19","108 STREET","Empty Site","Residential: 3 or More Units (J-0)",,"2007-07-02T00:00:00.000","2008-06-17T00:00:00.000","2011-03-28T00:00:00.000","2011-03-28T00:00:00.000","R5",,,,,,"0.0","3.0",,"Private For-Profit: Corporation","360810437012007","40437012007","4043701","QN25","Corona","404","21","24_1","24","746","413","E324","46","14","110",,,"40.7395953604","-73.852840225","BIN DOB buildingfootprints",,"22Q4","POINT (-73.852840225 40.7395953604)","C0","36081043701","360810437012006","36081043701","40437012006","4043701","QN0402","Corona","QN04","QN04 Elmhurst-Corona (CD 4 Approximation)"
"POINT (984040.253360346 197369.81036266685)","104340713","New Building","Residential",,"5. Completed Construction","2012","2008","0.0","40.0","40.0","0","0","0","0","40.0","1","1088490","1001070028","254","FRONT STREET","Empty Site","Residential: 3 or More Units (J-2)",,"2006-01-26T00:00:00.000","2008-06-05T00:00:00.000","2015-03-13T00:00:00.000","2012-06-19T00:00:00.000","C6-2A",,,,,"Yes","0.0","8.0",,"Private For-Profit: Corporation","360610015013013","10015013013","1001501","MN25","Battery Park City-Lower Manhattan","101","01","2_1","02","824","96","E006","01","01","001","1","1","40.7084195069","-74.0007579833","BIN DOB buildingfootprints",,"22Q4","POINT (-74.0007579833 40.7084195069)","D6","36061001501","360610015013008","36061001501","10015013008","1001501","MN0101","Financial District-Battery Park City","MN01","MN01 Financial District-Tribeca (CD 1 Equivalent)"
"POINT (984081.4530810863 211030.77122966945)","104349821","New Building","Residential",,"5. Completed Construction","2010","2006","0.0","14.0","14.0","0","0","0","0","14.0","1","1087987","1007467507","350","WEST 23 STREET","Empty Site","Residential: 3 or More Units (J-2)",,"2006-02-08T00:00:00.000","2006-11-13T00:00:00.000","2011-01-28T00:00:00.000","2010-02-19T00:00:00.000","C1-6",,,,,,"0.0","8.0",,"Private For-Profit: Corporation","360610093002001","10093002001","1009300","MN13","Hudson Yards-Chelsea-Flatiron-Union Square","104","03","2_3","02","516","94","L012","07","01","010",,,"40.7459155244","-74.0006097246","BIN DOB buildingfootprints",,"22Q4","POINT (-74.0006097246 40.7459155244)","R0","36061009300","360610093002001","36061009300","10093002001","1009300","MN0401","Chelsea-Hudson Yards","MN04","MN04 Chelsea-Hell's Kitchen (CD 4 Approximation)"
"POINT (1000313.8809180111 236444.54258050025)","104351096","Alteration","Residential",,"5. Completed Construction","2010","2006","7.0","3.0","-4.0","0","0","0","0","3.0","1","1058314","1019210013","149","WEST 136 STREET","Residential: Not Specified (RES)","Residential: Not Specified (RES)","GUT REHAB AS PER PLAN.","2006-02-08T00:00:00.000","2006-06-15T00:00:00.000","2010-08-12T00:00:00.000","2010-08-12T00:00:00.000","R7-2",,,,,,"0.0","4.0",,"Government, City: Other","360610228001001","10228001001","1022800","MN03","Central Harlem North-Polo Grounds","110","09","5_2","05","571","100","E059","16","06","032",,,"40.8156550045","-73.9419671432","BIN DOB buildingfootprints","classa_init","22Q4","POINT (-73.9419671432 40.8156550045)","C0","36061022800","360610228001001","36061022800","10228001001","1022800","MN1002","Harlem (North)","MN10","MN10 Harlem (CD 10 Equivalent)"
"POINT (990276.0775028467 201965.59611858428)","104365125","Alteration","Residential",,"5. Completed Construction","2016","2008","28.0","35.0","7.0","0","0","0","0","35.0","1","1084874","1003730038","25","AVENUE D","Residential: 3 or More Units (J-2)","Residential: 3 or More Units (J-2)",,"2006-03-01T00:00:00.000","2008-02-25T00:00:00.000","2018-07-19T00:00:00.000","2016-09-26T00:00:00.000","C1-5","R7-2",,,,,"6.0","7.0","Horizontal and Vertical","Private For-Profit: Partnership","360610026011002","10026011002","1002601","MN28","Lower East Side","103","02","1_3","01","502","81","E028","04","01","009",,,"40.7210317941","-73.9782618248","BIN DOB buildingfootprints",,"22Q4","POINT (-73.9782618248 40.7210317941)","N2","36061002601","360610026011002","36061002601","10026011002","1002601","MN0303","East Village","MN03","MN03 Lower East Side-Chinatown (CD 3 Equivalent)"
"POINT (997849.1929340065 234797.4848510027)","104512591","New Building","Residential",,"5. Completed Construction","2010","2007","0.0","8.0","8.0","0","0","0","0","8.0","1","1059340","1019530030","2353","8 AVENUE","Empty Site","Residential: 3 or More Units (J-2)",,"2006-08-08T00:00:00.000","2007-10-12T00:00:00.000","2013-02-21T00:00:00.000","2010-03-29T00:00:00.000","C1-4","R7-2",,,,,"0.0","6.0",,"Private For-Profit: Individual","360610215001002","10215001002","1021500","MN03","Central Harlem North-Polo Grounds","110","09","5_1","05","574","100","E037","11","03","028",,,"40.8111384281","-73.9508747063","BIN DOB buildingfootprints",,"22Q4","POINT (-73.9508747063 40.8111384281)","D6","36061021500","360610215001002","36061021500","10215001002","1021500","MN1002","Harlem (North)","MN10","MN10 Harlem (CD 10 Equivalent)"
"POINT (1002917.4144248366 229848.49704559147)","104619646","New Building","Residential",,"5. Completed Construction","2010","2008","0.0","41.0","41.0","0","0","0","0","41.0","1","1089085","1018070015","435","EAST 119 STREET","Empty Site","Residential: 3 or More Units (J-2)",,"2006-12-19T00:00:00.000","2008-07-01T00:00:00.000","2012-05-18T00:00:00.000","2010-12-01T00:00:00.000","R7-2",,,,,,"0.0","9.0",,"Government, City: Other","360610192001005","10192001005","1019200","MN34","East Harlem North","111","08","4_2","04","555","97","E035","12","03","025",,"1","40.7975455633","-73.9325796479","BIN DOB buildingfootprints",,"22Q4","POINT (-73.9325796479 40.7975455633)","N4","36061019200","360610192001004","36061019200","10192001004","1019200","MN1102","East Harlem (North)","MN11","MN11 East Harlem (CD 11 Equivalent)"
"POINT (999842.6774640977 235178.29740959406)","104627290","New Building","Residential",,"5. Completed Construction","2011","2007","0.0","8.0","8.0","0","0","0","0","8.0","1","1088684","1019167501","123","WEST 131 STREET","Empty Site","Residential: 3 or More Units (J-2)",,"2006-12-13T00:00:00.000","2007-02-05T00:00:00.000","2012-11-15T00:00:00.000","2011-08-26T00:00:00.000","R7-2",,,,,,"0.0","6.0",,"Private For-Profit: Corporation","360610226002000","10226002000","1022600","MN03","Central Harlem North-Polo Grounds","110","09","5_1","05","571","100","E059","16","06","032",,,"40.8121803586","-73.9436724098","BIN DOB buildingfootprints",,"22Q4","POINT (-73.9436724098 40.8121803586)","R0","36061022600","360610226002000","36061022600","10226002000","1022600","MN1002","Harlem (North)","MN10","MN10 Harlem (CD 10 Equivalent)"
"POINT (998033.2808204293 239031.01673825085)","104702788","New Building","Residential",,"3. Permitted for Construction",,"2008","0.0","12.0","12.0","0","0","0","0","0.0","1","1089352","1020720038","504","WEST 141 STREET","Empty Site","Residential: 3 or More Units (J-2)",,"2007-03-12T00:00:00.000","2008-06-26T00:00:00.000","2018-07-23T00:00:00.000",,"R7A",,,,,,"0.0","6.0",,"Private For-Profit: Corporation","360610225004001","10225004001","1022500","MN04","Hamilton Heights","109","07","6_2","06","579","398","E080","16","06","030",,,"40.822758","-73.950201","Lat/Lon geosupport",,"22Q4","POINT (-73.950201 40.822758)","D1","36061022500","360610225004001","36061022500","10225004001","1022500","MN0903","Hamilton Heights-Sugar Hill","MN09","MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent)"
"POINT (986979.4499097615 211460.50888726115)","104731300","New Building","Residential",,"5. Completed Construction","2010","2007","0.0","302.0","302.0","0","0","0","0","302.0","1","1015146","1008057502","839","6 AVENUE","Empty Site","Residential: 3 or More Units (J-2)",,"2007-04-10T00:00:00.000","2007-05-07T00:00:00.000","2011-04-27T00:00:00.000","2010-04-14T00:00:00.000","C6-4X","M1-6",,,,,"0.0","53.0",,"Private For-Profit: Partnership","360610095001000","10095001000","1009500","MN17","Midtown-Midtown South","105","03","2_3","02","517","88","E001","07","01","014",,,"40.7470946274","-73.990150858","BIN DOB buildingfootprints",,"22Q4","POINT (-73.990150858 40.7470946274)","R0","36061009500","360610095001000","36061009500","10095001000","1009500","MN0501","Midtown South-Flatiron-Union Square","MN05","MN05 Midtown-Flatiron-Union Square (CD 5 Approximation)"
"POINT (1043037.4020980895 198465.11099359393)","402527262","New Building","Residential",,"5. Completed Construction","2014","2007","0.0","17.0","17.0","0","0","0","0","17.0","4","4600457","4098307502","87-12","175 STREET","Empty Site","Residential: 3 or More Units (J-2)",,"2007-01-18T00:00:00.000","2007-04-25T00:00:00.000","2014-03-12T00:00:00.000","2014-03-12T00:00:00.000","R6",,,,,,"0.0","7.0",,"Private For-Profit: Corporation","360810462002001","40462002001","4046200","QN61","Jamaica","412","27","29_3","29","459","39","L125","50","13","103",,,"40.7112305556","-73.7879515317","BIN DOB buildingfootprints",,"22Q4","POINT (-73.7879515317 40.7112305556)","R0","36081046200","360810462002002","36081046200","40462002002","4046200","QN1201","Jamaica","QN12","QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation)"
