"vendorid","tpep_pickup_datetime","tpep_dropoff_datetime","passenger_count","trip_distance","pickup_longitude","pickup_latitude","ratecodeid","store_and_fwd_flag","dropoff_longitude","dropoff_latitude","payment_type","fare_amount","extra","mta_tax","tip_amount","tolls_amount","total_amount","pickup_location","dropoff_location"
"CMT","2009-02-23T21:09:20.000","2009-02-23T21:11:59.000","1","0.5","-73.976248999999996","40.751500999999998",,"0","-73.983643999999998","40.75515","Cash","4.2000000000000002","0",,"0","0","4.2000000000000002","POINT (-73.976249 40.751501)","POINT (-73.983644 40.75515)"
"CMT","2009-08-20T22:28:32.000","2009-08-20T22:34:43.000","2","1","-73.982828999999995","40.762833999999998",,"0","-73.989005000000006","40.771769999999997","Cash","5.2999999999999998","0",,"0","0","5.2999999999999998","POINT (-73.982829 40.762834)","POINT (-73.989005 40.77177)"
"CMT","2009-02-28T21:57:14.000","2009-02-28T22:23:16.000","1","4.5","-73.954104999999998","40.773332000000003",,"0","-74.005521999999999","40.741213999999999","Cash","16.600000000000001","0",,"0","0","16.600000000000001","POINT (-73.954105 40.773332)","POINT (-74.005522 40.741214)"
"DDS","2009-03-08T15:18:35.000","2009-03-08T15:27:48.000","1","1.1000000000000001","-73.870818","40.733964999999998",,,"-73.878067000000001","40.744064000000002","CASH","6.5","0",,"0","0","6.5","POINT (-73.870818 40.733965)","POINT (-73.878067 40.744064)"
"CMT","2009-06-20T21:12:03.000","2009-06-20T21:18:22.000","1","1.5","-74.010672","40.708768999999997",,"0","-74.007959999999997","40.717095","Cash","6.0999999999999996","0",,"0","0","6.0999999999999996","POINT (-74.010672 40.708769)","POINT (-74.00796 40.717095)"
"VTS","2009-06-21T16:20:00.000","2009-06-21T16:34:00.000","2","2.6299999999999999","-74.005617999999998","40.741079999999997",,,"-73.981800000000007","40.762844999999999","CASH","9.6999999999999993","0",,"0","0","9.6999999999999993","POINT (-74.005618 40.74108)","POINT (-73.9818 40.762845)"
"VTS","2009-08-06T11:48:00.000","2009-08-06T11:59:00.000","2","1.26","-73.976578000000003","40.780557999999999",,,"-73.980675000000005","40.764977000000002","Credit","7.2999999999999998","0",,"2","0","9.3000000000000007","POINT (-73.976578 40.780558)","POINT (-73.980675 40.764977)"
"VTS","2009-09-09T15:16:00.000","2009-09-09T15:33:00.000","2","2.6600000000000001","-73.997326999999999","40.721437000000002",,,"-74.003765000000001","40.749164999999998","CASH","10.9","0",,"0","0","10.9","POINT (-73.997327 40.721437)","POINT (-74.003765 40.749165)"
"VTS","2009-03-04T10:48:00.000","2009-03-04T10:56:00.000","5","1.0900000000000001","-73.949252999999999","40.776777000000003",,,"-73.962062000000003","40.770859999999999","CASH","6.0999999999999996","0",,"0","0","6.0999999999999996","POINT (-73.949253 40.776777)","POINT (-73.962062 40.77086)"
"CMT","2009-11-15T19:08:14.000","2009-11-15T19:22:02.000","4","2.8999999999999999","-73.976894000000001","40.785023000000002",,"0","-73.964286999999999","40.756027000000003","Cash","10.9","0","0.5","0","0","11.4","POINT (-73.976894 40.785023)","POINT (-73.964287 40.756027)"
"VTS","2009-09-30T15:16:00.000","2009-09-30T15:25:00.000","2","0.88","-73.985815000000002","40.740870000000001",,,"-73.991744999999995","40.749053000000004","Credit","6.0999999999999996","0",,"2","0","8.0999999999999996","POINT (-73.985815 40.74087)","POINT (-73.991745 40.749053)"
"CMT","2009-08-20T13:01:00.000","2009-08-20T13:18:56.000","2","6.9000000000000004","-73.964549000000005","40.794834999999999",,"0","-73.923339999999996","40.865797999999998","Cash","18.5","0",,"0","0","18.5","POINT (-73.964549 40.794835)","POINT (-73.92334 40.865798)"
"CMT","2009-06-06T03:48:11.000","2009-06-06T04:01:22.000","1","3.1000000000000001","-73.835558000000006","40.722231000000001",,"0","-73.835558000000006","40.722231000000001","Credit","10.9","0",,"2.2799999999999998","0","13.18","POINT (-73.835558 40.722231)","POINT (-73.835558 40.722231)"
"VTS","2009-10-14T09:47:00.000","2009-10-14T09:53:00.000","5","0.65000000000000002","-73.990219999999994","40.75647",,,"-73.981735","40.758408000000003","CASH","4.9000000000000004","0",,"0","0","4.9000000000000004","POINT (-73.99022 40.75647)","POINT (-73.981735 40.758408)"
"CMT","2009-03-22T19:42:11.000","2009-03-22T19:52:00.000","1","1.3999999999999999","-73.983757999999995","40.758656999999999",,"0","-73.979077000000004","40.745209000000003","Cash","6.9000000000000004","0",,"0","0","6.9000000000000004","POINT (-73.983758 40.758657)","POINT (-73.979077 40.745209)"
"VTS","2009-10-23T23:43:00.000","2009-10-24T00:07:00.000","5","5.4100000000000001","-73.944692000000003","40.787463000000002",,,"-73.994472999999999","40.722903000000002","CASH","16.5","0.5",,"0","0","17","POINT (-73.944692 40.787463)","POINT (-73.994473 40.722903)"
"CMT","2009-09-21T12:46:49.000","2009-09-21T13:24:16.000","1","11.9","-73.866033000000002","40.770882",,"0","-73.986597000000003","40.758225000000003","Cash","32.5","0",,"0","4.5700000000000003","37.07","POINT (-73.866033 40.770882)","POINT (-73.986597 40.758225)"
"CMT","2009-07-30T12:48:30.000","2009-07-30T13:03:41.000","1","2.2999999999999998","-74.006703000000002","40.744058000000003",,"0","-73.982579000000001","40.767992999999997","Cash","9.6999999999999993","0",,"0","0","9.6999999999999993","POINT (-74.006703 40.744058)","POINT (-73.982579 40.767993)"
"CMT","2009-05-20T12:54:42.000","2009-05-20T13:17:35.000","1","14.5","-73.865899999999996","40.769973",,"0","-73.977368999999996","40.656021000000003","Cash","32.100000000000001","0",,"0","0","32.100000000000001","POINT (-73.8659 40.769973)","POINT (-73.977369 40.656021)"
"VTS","2009-11-16T18:54:00.000","2009-11-16T18:58:00.000","1","0.84999999999999998","-73.970585","40.760153000000003",,,"-73.964467999999997","40.773060000000001","CASH","4.5","1","0.5","0","0","6","POINT (-73.970585 40.760153)","POINT (-73.964468 40.77306)"
"CMT","2009-01-16T14:59:56.000","2009-01-16T15:06:46.000","1","1.2","-73.981523999999993","40.780704",,,"-73.967562999999998","40.787818999999999","Cash","6.0999999999999996","0",,"0","0","6.0999999999999996","POINT (-73.981524 40.780704)","POINT (-73.967563 40.787819)"
"CMT","2009-10-28T22:42:19.000","2009-10-28T22:50:19.000","1","0.10000000000000001","-73.988386000000006","40.718676000000002",,"0","-73.990825000000001","40.719062999999998","Cash","5.7000000000000002","0.5","0","0","0","6.2000000000000002","POINT (-73.988386 40.718676)","POINT (-73.990825 40.719063)"
"VTS","2009-07-28T14:26:00.000","2009-07-28T14:34:00.000","1","0.96999999999999997","-73.975442000000001","40.764904999999999",,,"-73.962879999999998","40.757323","CASH","5.7000000000000002","0",,"0","0","5.7000000000000002","POINT (-73.975442 40.764905)","POINT (-73.96288 40.757323)"
"CMT","2009-02-14T13:02:01.000","2009-02-14T13:10:10.000","1","1.3999999999999999","-73.975680999999994","40.752496000000001",,"0","-73.994350999999995","40.750228","Cash","6.5","0",,"0","0","6.5","POINT (-73.975681 40.752496)","POINT (-73.994351 40.750228)"
"VTS","2009-05-31T00:21:00.000","2009-05-31T00:28:00.000","1","1.29","-74.013332000000005","40.715404999999997",,,"-74.005202999999995","40.729377999999997","CASH","6.0999999999999996","0.5",,"0","0","6.5999999999999996","POINT (-74.013332 40.715405)","POINT (-74.005203 40.729378)"
"CMT","2009-05-26T12:32:58.000","2009-05-26T12:36:36.000","1","0.40000000000000002","-73.950243","40.771332999999998",,"0","-73.957035000000005","40.774107999999998","Cash","4.0999999999999996","0",,"0","0","4.0999999999999996","POINT (-73.950243 40.771333)","POINT (-73.957035 40.774108)"
"CMT","2009-02-14T14:59:57.000","2009-02-14T15:06:46.000","1","1","-74.001322000000002","40.741472999999999",,"0","-73.991283999999993","40.755240999999998","Cash","5.7000000000000002","0",,"0","0","5.7000000000000002","POINT (-74.001322 40.741473)","POINT (-73.991284 40.755241)"
"CMT","2009-11-13T04:22:47.000","2009-11-13T04:24:38.000","1","1.3999999999999999","-74.003586999999996","40.679222000000003",,"0","-74.000832000000003","40.661017000000001","Credit","35","0","0","8.75","0","43.75","POINT (-74.003587 40.679222)","POINT (-74.000832 40.661017)"
"CMT","2009-06-23T23:39:43.000","2009-06-23T23:57:24.000","1","4.4000000000000004","-74.008414000000002","40.707546999999998",,"0","-73.954711000000003","40.692279999999997","Cash","13.699999999999999","0",,"0","0","13.699999999999999","POINT (-74.008414 40.707547)","POINT (-73.954711 40.69228)"
"CMT","2009-09-26T09:39:13.000","2009-09-26T09:54:28.000","4","5.0999999999999996","-74.015997999999996","40.704903000000002",,"0","-73.983721000000003","40.744264999999999","Cash","14.5","0",,"0","0","14.5","POINT (-74.015998 40.704903)","POINT (-73.983721 40.744265)"
"VTS","2009-04-23T13:51:00.000","2009-04-23T13:56:00.000","5","0.81999999999999995","-73.980301999999995","40.778047999999998",,,"-73.979241999999999","40.786926999999999","Credit","4.9000000000000004","0",,"2","0","6.9000000000000004","POINT (-73.980302 40.778048)","POINT (-73.979242 40.786927)"
"CMT","2009-07-17T07:54:23.000","2009-07-17T08:00:01.000","1","1","-73.965165999999996","40.763914999999997",,"0","-73.976916000000003","40.758934000000004","Cash","5.2999999999999998","0",,"0","0","5.2999999999999998","POINT (-73.965166 40.763915)","POINT (-73.976916 40.758934)"
"VTS","2009-10-15T21:21:00.000","2009-10-15T21:29:00.000","1","1.6399999999999999","-73.977577999999994","40.764200000000002",,,"-73.973377999999997","40.748337999999997","Credit","6.5","0.5",,"2","0","9","POINT (-73.977578 40.7642)","POINT (-73.973378 40.748338)"
"CMT","2009-02-26T23:05:35.000","2009-02-26T23:17:28.000","1","1.7","-73.971091999999999","40.755782000000004",,"0","-73.990458000000004","40.756295999999999","Cash","8.1999999999999993","0",,"0","0","8.1999999999999993","POINT (-73.971092 40.755782)","POINT (-73.990458 40.756296)"
"VTS","2009-01-20T20:55:00.000","2009-01-20T21:00:00.000","1","0","-74.003197999999998","40.743988000000002",,,"-74.003197999999998","40.743988000000002","Credit","13.4","0",,"1","0","14.4","POINT (-74.003198 40.743988)","POINT (-74.003198 40.743988)"
"CMT","2009-05-16T03:58:39.000","2009-05-16T04:10:02.000","1","1.8","-73.978132000000002","40.783259000000001",,"0","-73.965745999999996","40.766024999999999","Cash","8.5","0",,"0","0","8.5","POINT (-73.978132 40.783259)","POINT (-73.965746 40.766025)"
"DDS","2009-08-30T18:08:18.000","2009-08-30T18:16:48.000","1","1.3999999999999999","-73.993454999999997","40.752333999999998",,,"-73.977677999999997","40.757714999999997","CASH","6.5","0",,"0","0","6.5","POINT (-73.993455 40.752334)","POINT (-73.977678 40.757715)"
"VTS","2009-02-13T09:23:00.000","2009-02-13T09:36:00.000","4","1.5900000000000001","-74.007360000000006","40.733539999999998",,,"-73.992571999999996","40.753822","CASH","8.0999999999999996","0",,"0","0","8.0999999999999996","POINT (-74.00736 40.73354)","POINT (-73.992572 40.753822)"
"VTS","2009-01-08T23:02:00.000","2009-01-08T23:11:00.000","5","1.5800000000000001","-73.988262000000006","40.757747999999999",,,"-73.990392999999997","40.740532999999999","CASH","6.9000000000000004","0.5",,"0","0","7.4000000000000004","POINT (-73.988262 40.757748)","POINT (-73.990393 40.740533)"
"CMT","2009-02-06T15:30:29.000","2009-02-06T15:43:20.000","1","1","-74.008388999999994","40.736151999999997",,,"-73.995368999999997","40.726269000000002","Credit","8.0999999999999996","0",,"1.6200000000000001","0","9.7199999999999989","POINT (-74.008389 40.736152)","POINT (-73.995369 40.726269)"
"DDS","2009-09-02T20:29:26.000","2009-09-02T20:39:37.000","1","3.2999999999999998","-74.011932000000002","40.710341",,,"-73.984571000000003","40.720243000000004","CASH","9.6999999999999993","0.5",,"0","0","10.199999999999999","POINT (-74.011932 40.710341)","POINT (-73.984571 40.720243)"
"CMT","2009-07-10T08:13:01.000","2009-07-10T08:19:00.000","1","1.5","-73.976906999999997","40.744453",,"0","-73.973228000000006","40.760880999999998","Credit","6.0999999999999996","0",,"0.91000000000000003","0","7.0099999999999998","POINT (-73.976907 40.744453)","POINT (-73.973228 40.760881)"
"VTS","2009-07-02T23:41:00.000","2009-07-02T23:44:00.000","1","0.80000000000000004","-73.979015000000004","40.782592999999999",,,"-73.970647","40.788857999999998","CASH","4.0999999999999996","0.5",,"0","0","4.5999999999999996","POINT (-73.979015 40.782593)","POINT (-73.970647 40.788858)"
"VTS","2009-11-27T23:21:00.000","2009-11-27T23:26:00.000","6","2.0600000000000001","-73.977969999999999","40.763064999999997",,,"-73.954598000000004","40.778055000000002","CASH","6.5","0.5","0.5","0","0","7.5","POINT (-73.97797 40.763065)","POINT (-73.954598 40.778055)"
"CMT","2009-04-09T09:31:11.000","2009-04-09T10:03:10.000","1","7.2999999999999998","-73.992714000000007","40.697660999999997",,"0","-73.981133","40.760534","Credit","23.699999999999999","0",,"4.7400000000000002","0","28.440000000000001","POINT (-73.992714 40.697661)","POINT (-73.981133 40.760534)"
"VTS","2009-03-09T06:21:00.000","2009-03-09T06:30:00.000","1","1.26","-73.975808000000001","40.745002999999997",,,"-73.990651999999997","40.755335000000002","CASH","6.5","0",,"0","0","6.5","POINT (-73.975808 40.745003)","POINT (-73.990652 40.755335)"
"DDS","2009-12-05T12:18:55.000","2009-12-05T12:25:12.000","1","1.6000000000000001","-73.137393000000003","41.366137999999999",,,"-73.137393000000003","41.366137999999999","CASH","6.0999999999999996","0",,"0","0","6.0999999999999996","POINT (-73.137393 41.366138)","POINT (-73.137393 41.366138)"
"VTS","2009-12-12T02:17:00.000","2009-12-12T02:33:00.000","5","3.4399999999999999","-73.993819999999999","40.720618000000002",,,"-73.987487999999999","40.760705000000002","Credit","11.699999999999999","0.5","0.5","1","0","13.699999999999999","POINT (-73.99382 40.720618)","POINT (-73.987488 40.760705)"
"VTS","2009-09-15T20:12:00.000","2009-09-15T20:27:00.000","5","1.99","-73.974753000000007","40.762565000000002",,,"-73.987217000000001","40.744087","CASH","9.3000000000000007","0.5",,"0","0","9.8000000000000007","POINT (-73.974753 40.762565)","POINT (-73.987217 40.744087)"
"VTS","2009-01-25T18:39:00.000","2009-01-25T18:43:00.000","5","0.93999999999999995","-74.008307000000002","40.714542999999999",,,"-74.002622000000002","40.726287999999997","CASH","4.5","0",,"0","0","4.5","POINT (-74.008307 40.714543)","POINT (-74.002622 40.726288)"
"VTS","2009-02-23T07:57:00.000","2009-02-23T08:17:00.000","5","10.42","-73.975989999999996","40.763219999999997",,,"-73.872169999999997","40.774422000000001","Credit","24.5","0",,"2","5","31.5","POINT (-73.97599 40.76322)","POINT (-73.87217 40.774422)"
"VTS","2009-08-18T11:24:00.000","2009-08-18T11:34:00.000","1","1.02","-73.971305000000001","40.760848000000003",,,"-73.979622000000006","40.751897999999997","CASH","6.9000000000000004","0",,"0","0","6.9000000000000004","POINT (-73.971305 40.760848)","POINT (-73.979622 40.751898)"
"CMT","2009-01-11T23:21:18.000","2009-01-11T23:26:14.000","1","0.90000000000000002","0","0",,,"0","0","Cash","5.4000000000000004","0",,"0","0","5.4000000000000004","POINT (0 0)","POINT (0 0)"
"VTS","2009-06-19T21:33:00.000","2009-06-19T21:47:00.000","1","3.6400000000000001","-74.008813000000004","40.718527999999999",,,"-73.996566999999999","40.763379999999998","CASH","11.300000000000001","0.5",,"0","0","11.800000000000001","POINT (-74.008813 40.718528)","POINT (-73.996567 40.76338)"
"VTS","2009-01-05T10:25:00.000","2009-01-05T10:34:00.000","1","0.89000000000000001","-73.976802000000006","40.743628000000001",,,"-73.992312999999996","40.749175000000001","Credit","7.2999999999999998","0",,"1.7","0","9","POINT (-73.976802 40.743628)","POINT (-73.992313 40.749175)"
"VTS","2009-03-26T22:12:00.000","2009-03-26T22:20:00.000","5","0.56000000000000005","-73.96978","40.756348000000003",,,"-73.977317999999997","40.756078000000002","CASH","5.2999999999999998","0.5",,"0","0","5.7999999999999998","POINT (-73.96978 40.756348)","POINT (-73.977318 40.756078)"
"CMT","2009-10-01T09:17:58.000","2009-10-01T09:24:18.000","1","1.6000000000000001","-73.953112000000004","40.786147",,"0","-73.967944000000003","40.765698","Credit","6.5","0",,"0.96999999999999997","0","7.4699999999999998","POINT (-73.953112 40.786147)","POINT (-73.967944 40.765698)"
"CMT","2009-07-06T14:05:45.000","2009-07-06T14:13:46.000","1","1.3999999999999999","-73.984406000000007","40.755299000000001",,"0","-73.96848","40.765731000000002","Cash","6.5","0",,"0","0","6.5","POINT (-73.984406 40.755299)","POINT (-73.96848 40.765731)"
"CMT","2009-11-19T22:44:21.000","2009-11-19T22:51:23.000","1","1.5","-74.006900999999999","40.708624999999998",,"0","-74.014600999999999","40.709826999999997","Cash","6.5","0.5","0.5","0","0","7.5","POINT (-74.006901 40.708625)","POINT (-74.014601 40.709827)"
"VTS","2009-10-23T20:43:00.000","2009-10-23T20:49:00.000","2","0.68999999999999995","-73.976470000000006","40.748334999999997",,,"-73.979887000000005","40.742272","CASH","4.5","0.5",,"0","0","5","POINT (-73.97647 40.748335)","POINT (-73.979887 40.742272)"
"VTS","2009-09-17T19:57:00.000","2009-09-17T20:02:00.000","1","1.1699999999999999","-73.961602999999997","40.777065",,,"-73.955331999999999","40.765922000000003","CASH","5.2999999999999998","1",,"0","0","6.2999999999999998","POINT (-73.961603 40.777065)","POINT (-73.955332 40.765922)"
"CMT","2009-03-11T19:58:14.000","2009-03-11T20:03:42.000","1","1","-73.981787999999995","40.779685999999998",,"0","-73.982038000000003","40.765403999999997","Credit","5.7999999999999998","0",,"0.87","0","6.6699999999999999","POINT (-73.981788 40.779686)","POINT (-73.982038 40.765404)"
"CMT","2009-04-27T09:33:05.000","2009-04-27T09:44:42.000","1","2.3999999999999999","-73.982090999999997","40.762506999999999",,"0","-73.971069","40.789363999999999","Credit","8.9000000000000004","0",,"1.78","0","10.68","POINT (-73.982091 40.762507)","POINT (-73.971069 40.789364)"
"CMT","2009-06-12T11:32:16.000","2009-06-12T11:38:18.000","1","1.1000000000000001","-73.953114999999997","40.781103000000002",,"0","-73.963320999999993","40.772046000000003","Cash","5.7000000000000002","0",,"0","0","5.7000000000000002","POINT (-73.953115 40.781103)","POINT (-73.963321 40.772046)"
"VTS","2009-10-01T08:15:00.000","2009-10-01T08:22:00.000","1","1.4299999999999999","-73.978682000000006","40.762771999999998",,,"-73.963278000000003","40.774447000000002","CASH","6.5","0",,"0","0","6.5","POINT (-73.978682 40.762772)","POINT (-73.963278 40.774447)"
"VTS","2009-10-29T10:52:00.000","2009-10-29T11:23:00.000","1","7.5199999999999996","-73.994084999999998","40.761578",,,"-73.994354999999999","40.700487000000003","Credit","22.5","0",,"4.5","0","27","POINT (-73.994085 40.761578)","POINT (-73.994355 40.700487)"
"VTS","2009-10-14T07:35:00.000","2009-10-14T07:42:00.000","5","1.29","-73.956460000000007","40.766907000000003",,,"-73.969847999999999","40.756712999999998","Credit","5.7000000000000002","0",,"1","0","6.7000000000000002","POINT (-73.95646 40.766907)","POINT (-73.969848 40.756713)"
"CMT","2009-03-03T14:03:24.000","2009-03-03T14:10:04.000","2","0.90000000000000002","-73.974913000000001","40.761485999999998",,,"-73.986508000000001","40.757761000000002","Cash","5.2999999999999998","0",,"0","0","5.2999999999999998","POINT (-73.974913 40.761486)","POINT (-73.986508 40.757761)"
"CMT","2009-07-13T16:11:58.000","2009-07-13T16:28:47.000","1","1.3999999999999999","-73.985609999999994","40.752664000000003",,"0","-73.969629999999995","40.765574999999998","Cash","9.6999999999999993","0",,"0","0","9.6999999999999993","POINT (-73.98561 40.752664)","POINT (-73.96963 40.765575)"
"VTS","2009-02-28T13:10:00.000","2009-02-28T13:17:00.000","1","0.84999999999999998","-73.962462000000002","40.775849999999998",,,"-73.957814999999997","40.768573000000004","CASH","5.2999999999999998","0",,"0","0","5.2999999999999998","POINT (-73.962462 40.77585)","POINT (-73.957815 40.768573)"
"VTS","2009-10-15T13:41:00.000","2009-10-15T13:50:00.000","1","1.0900000000000001","-73.948317000000003","40.785077999999999",,,"-73.964502999999993","40.791980000000002","CASH","6.5","0",,"0","0","6.5","POINT (-73.948317 40.785078)","POINT (-73.964503 40.79198)"
"CMT","2009-02-06T12:10:20.000","2009-02-06T12:19:26.000","1","1.5","-74.002865999999997","40.760480000000001",,,"-73.983414999999994","40.768788999999998","Cash","7.2999999999999998","0",,"0","0","7.2999999999999998","POINT (-74.002866 40.76048)","POINT (-73.983415 40.768789)"
"CMT","2009-08-04T17:59:15.000","2009-08-04T18:02:46.000","2","0.59999999999999998","-73.982276999999996","40.768217",,"0","-73.980960999999994","40.761612","Cash","4.0999999999999996","0",,"0","0","4.0999999999999996","POINT (-73.982277 40.768217)","POINT (-73.980961 40.761612)"
"CMT","2009-04-12T14:43:11.000","2009-04-12T14:46:55.000","1","0.80000000000000004","-73.952211000000005","40.769038000000002",,"0","-73.961403000000004","40.760989000000002","Cash","4.5","0",,"0","0","4.5","POINT (-73.952211 40.769038)","POINT (-73.961403 40.760989)"
"CMT","2009-05-13T01:12:30.000","2009-05-13T01:22:23.000","2","2.2999999999999998","-73.958360999999996","40.719206999999997",,"0","-73.955931000000007","40.692957","Cash","8.5","0",,"0","0","8.5","POINT (-73.958361 40.719207)","POINT (-73.955931 40.692957)"
"CMT","2009-04-16T18:09:40.000","2009-04-16T18:13:39.000","1","1.1000000000000001","-73.998474999999999","40.760705999999999",,"0","-74.003922000000003","40.749406999999998","Cash","4.9000000000000004","0",,"0","0","4.9000000000000004","POINT (-73.998475 40.760706)","POINT (-74.003922 40.749407)"
"CMT","2009-01-03T13:18:59.000","2009-01-03T13:27:39.000","1","1.2","-73.830438000000001","40.759430000000002",,,"-73.812089","40.757840999999999","Cash","6.5","0",,"0","0","6.5","POINT (-73.830438 40.75943)","POINT (-73.812089 40.757841)"
"CMT","2009-07-18T19:54:22.000","2009-07-18T19:58:14.000","2","1.3","-73.962378999999999","40.758868",,"0","-73.953120999999996","40.775824","Credit","5.2999999999999998","0",,"1.0600000000000001","0","6.3600000000000003","POINT (-73.962379 40.758868)","POINT (-73.953121 40.775824)"
"DDS","2009-04-15T12:43:02.000","2009-04-15T13:11:57.000","1","3.8999999999999999","-73.994259999999997","40.719614999999997",,,"-73.982060000000004","40.766092","CASH","16.100000000000001","0",,"0","0","16.100000000000001","POINT (-73.99426 40.719615)","POINT (-73.98206 40.766092)"
"DDS","2009-07-25T20:24:40.000","2009-07-25T20:43:47.000","1","8.9000000000000004","-73.862172000000001","40.769069999999999",,,"-73.956477000000007","40.778253999999997","CASH","20.899999999999999","0.5",,"0","4.5700000000000003","25.969999999999999","POINT (-73.862172 40.76907)","POINT (-73.956477 40.778254)"
"CMT","2009-04-24T15:44:13.000","2009-04-24T15:59:23.000","1","2.7000000000000002","-73.977647000000005","40.758715000000002",,"0","-73.954637000000005","40.783712000000001","Cash","10.5","0",,"0","0","10.5","POINT (-73.977647 40.758715)","POINT (-73.954637 40.783712)"
