"borough","ntaname","zipcode","dropoff_sitename","address","number","dsny_district","dsny_section","dsny_zone","community_district","censustract","councildist","senate_district","congressional_district","assembly_district","policeprec","bin","bbl","latitude","longitude","objectid","point"
"Manhattan","Midtown-Times Square","10019","Staples","1755 Broadway","1755 Broadway","MN05","MN052","MN","105","1013700","3","28","12","75","018","1070014","1010287501","40.766011","-73.98214997","41","POINT (-73.9821514135381 40.7660192673255)"
"Brooklyn","East Flatbush-Remsen Village","11236","Irving Rubber & Metal Co","9525 Ditmas Ave","9525 Ditmas Ave","BKN17","BKN173","BKN","317","3092800","42","19","9","58","067","3228344","3081130001","40.65102651","-73.91076274","79","POINT (-73.9107641547496 40.6510347573772)"
"Manhattan","Chinatown-Two Bridges","10002","DSNY Special Waste Drop-Off Site","74 Pike Slip","74 Pike Slip","MN03","MN031","MN","103","1000800","1","27","10","65","005","1000000","1002490056","40.71066","-73.99288","73","POINT (-73.9928814440143 40.7106682563695)"
"Queens","Elmhurst","11373","Best Buy","8801 Queens Blvd","8801 Queens Blvd","QW04","QW042","QW","404","4047300","25","12","6","30","110","4437281","4018437501","40.7357438","-73.87448827","47","POINT (-73.8744896777094 40.7357520656402)"
"Manhattan","Midtown South-Flatiron-Union Square","10003","Staples","5 Union Square West","5 Union Square West","MN05","MN051","MN","105","1005200","2","28","10","66","013","1016064","1008420023","40.73578828","-73.99179116","36","POINT (-73.9917926051783 40.7357965413643)"
"Manhattan","Upper West Side-Lincoln Square","10023","Goodwill","157 W 72 St","157 W 72 St","MN07","MN072","MN","107","1015700","6","47","12","67","020","1029921","1011440010","40.778473","-73.980571","15","POINT (-73.9805724443064 40.7784812705338)"
"Queens","Astoria (East)-Woodside (North)","11101","Best Buy","5001 Northern Blvd","5001 Northern Blvd","QW01","QW015","QW","401","4016300","26","12","7","34","114","4014093","4007480008","40.75370894","-73.9117397","64","POINT (-73.9117411209089 40.753717207998)"
"Brooklyn","Carroll Gardens-Cobble Hill-Gowanus-Red Hook","11215","Salvation Army","109 2nd Ave","109 2nd Ave","BKS06","BKS065","BKS","306","3012100","39","26","10","51","078","3022410","3010140001","40.67144018","-73.9942085","9","POINT (-73.9942099425397 40.6714484285768)"
"Manhattan","Chelsea-Hudson Yards","10011","Staples","641 6 Ave","641 6 Ave","MN04","MN041","MN","104","1008700","3","28","12","75","013","1014732","1007950044","40.7407266","-73.9948313","32","POINT (-73.9948327467923 40.740734862218)"
"Manhattan","Greenwich Village","10012","Best Buy","622 Broadway","622 Broadway","MN02","MN022","MN","102","1005502","1","27","10","66","009","1080049","1005220005","40.7258471","-73.99621957","4","POINT (-73.9962210156242 40.7258553597139)"
"Manhattan","Washington Heights (North)","10033","Staples","4320 Broadway","4320 Broadway","MN12","MN123","MN","112","1027100","10","31","13","72","034","1081882","1021670001","40.852234","-73.934259","92","POINT (-73.9342604341474 40.8522422863887)"
"Brooklyn","Williamsburg","11211","Apple Store","247 Bedford Ave","247 Bedford Ave","BKN01","BKN012","BKN","301","3055300","34","59","7","50","094","3421593","3023520090","40.71561","-73.959746","19","POINT (-73.9597474340547 40.7156182582226)"
"Brooklyn","Gravesend (East)-Homecrest","11230","Staples","1880 Coney Island Ave","1880 Coney Island Ave","BKS12","BKS126","BKS","312","3042000","44","22","9","45","066","3175203","3066170017","40.6118064","-73.9630824","87","POINT (-73.9630838283837 40.6118146378808)"
"Manhattan","Chelsea-Hudson Yards","10001","Goodwill","103 W 25 St","103 W 25 St","MN04","MN042","MN","104","1009100","3","28","12","75","013","1085978","1008010034","40.7444737","-73.9921732","33","POINT (-73.9921746458823 40.7444819628032)"
"Brooklyn","Fort Greene","11217","Best Buy","625 Atlantic Ave","625 Atlantic Ave","BKN02","BKN023","BKN","302","3003500","35","26","10","57","078","3057470","3020020001","40.6840997","-73.97548098","8","POINT (-73.9754824174639 40.6841079522192)"
"Queens","Astoria (North)-Ditmars-Steinway","11102","Staples","24-41 31 St","24-41 31 St","QW01","QW012","QW","401","4012500","22","59","14","36","114","4017321","4008370027","40.77122118","-73.91629611","65","POINT (-73.9162975332505 40.7712294511132)"
"Queens","College Point","11354","DSNY Special Waste Drop-Off Site","12015 31 Ave","12015 31 Ave","QE07","QE075","QE","407","4090700","19","11","14","27","109","4610396","4043460075","40.77123","-73.84757","55","POINT (-73.8475714013613 40.7712382736239)"
"Staten Island","New Springville-Willowbrook-Bulls Head-Travis","10314","Apple Store","2655 Richmond Ave","2655 Richmond Ave","SI02","SI024","SI","502","5027702","51","24","11","63","121","5039658","5024000180","40.58187","-74.165866","23","POINT (-74.1658674913793 40.5818782248001)"
"Bronx","Hunts Point","10474","DSNY Special Waste Drop-Off Site","2 Farragut St","2 Farragut St","BX02","BX021","BX","202","2009302","17","29","14","84","041","2007028","2027810306","40.801686","-73.87343","72","POINT (-73.8734314117686 40.8016942788159)"
"Brooklyn","East New York (North)","11207","WALTER","138 Hinsdale St","138 Hinsdale St","BKN05","BKN051","BKN","305","3114400","37","19","8","55","075","3326822","3037150021","40.67227998","-73.90107948","60","POINT (-73.9010808921343 40.6722882320084)"
"Manhattan","SoHo-Little Italy-Hudson Square","10012","Apple Store","103 Prince St","103 Prince St","MN02","MN021","MN","102","1004900","1","27","10","66","001","1007985","1005130039","40.725117","-73.998979","1","POINT (-73.9989804467931 40.7251252590536)"
"Staten Island","Grasmere-Arrochar-South Beach-Dongan Hills","10306","Staples","1885 Hylan Blvd","1885 Hylan Blvd","SI02","SI021","SI","502","5011401","50","23","11","64","122","5155776","5035480001","40.5838147","-74.0962032","28","POINT (-74.0962046699852 40.5838229277263)"
"Brooklyn","Bay Ridge","11220","Salvation Army","6822 3 Ave","6822 3 Ave","BKS10","BKS101","BKS","310","3006800","43","26","10","64","068","3145151","3058620050","40.6362001","-74.0260663","84","POINT (-74.0260677507587 40.6362083411)"
"Manhattan","Midtown-Times Square","10153","Apple Store","767 5 Ave","767 5 Ave","MN05","MN052","MN","105","1011202","4","28","12","73","018","1036082","1012940001","40.763609","-73.972435","40","POINT (-73.9724364410914 40.7636172677704)"
"Manhattan","Upper West Side (Central)","10024","Staples","2248 Broadway","2248 Broadway","MN07","MN072","MN","107","1016700","6","47","12","69","020","1070992","1012287501","40.7848159","-73.9788032","16","POINT (-73.9788046447269 40.7848241712118)"
"Bronx","Crotona Park East","10459","Salvation Army","1294 Southern Blvd","1294 Southern Blvd","BX03","BX031","BX","203","2012300","17","32","15","79","042","2010547","2029800006","40.8306088","-73.891455","80","POINT (-73.8914564187488 40.8306170831487)"
"Manhattan","Upper East Side-Lenox Hill-Roosevelt Island","10065","Goodwill","1114 1 Ave","1114 1 Ave","MN08","MN081","MN","108","1010602","5","28","12","76","019","1045279","1014560001","40.760863","-73.960668","52","POINT (-73.9606694369557 40.760871267745)"
"Brooklyn","Greenpoint","11222","DSNY Special Waste Drop-Off Site","459 N Henry St","459 N Henry St","BKN01","BKN011","BKN","301","3057902","33","59","7","50","094","3064006","3025080001","40.73476","-73.94543","20","POINT (-73.9454314307652 40.7347682626162)"
"Brooklyn","Sheepshead Bay-Manhattan Beach-Gerritsen Beach","11235","Staples","2892 Ocean Ave","2892 Ocean Ave","BKS15","BKS153","BKS","315","3059200","48","22","8","41","061","3203148","3074210037","40.5908736","-73.9503307","91","POINT (-73.9503321228174 40.5908818345933)"
"Bronx","Belmont","10458","Best Buy","402 E Fordham Rd","402 E Fordham Rd","BX06","BX061","BX","206","2038304","15","33","15","78","048","2116415","2030337501","40.86087263","-73.89167099","61","POINT (-73.8916724104954 40.8608809192966)"
"Brooklyn","Spring Creek-Starrett City","11239","Staples","409 Gateway Dr","409 Gateway Dr","BKN05","BKN053","BKN","305","3107001","42","19","8","60","075","3348830","3044520490","40.6539242","-73.8732584","59","POINT (-73.8732598030281 40.6539324498908)"
"Queens","Elmhurst","11372","Staples","93-18 Roosevelt Ave","93-18 Roosevelt Ave","QW04","QW042","QW","404","4046700","21","13","6","34","110","4530110","4015620017","40.74868912","-73.87263634","48","POINT (-73.8726377478453 40.7486973882571)"
"Manhattan","Chelsea-Hudson Yards","10014","Apple Store","401 W 14 St","401 W 14 St","MN04","MN041","MN","104","1008300","3","47","10","66","010","1012535","1007120029","40.741335","-74.00555","29","POINT (-74.0055514495212 40.7413432619452)"
"Queens","Woodside","11377","Salvation Army","3911 61 St","3911 61 St","QW02","QW021","QW","402","4026100","26","12","6","30","108","4028367","4012310021","40.746743","-73.9026954","76","POINT (-73.9026968172109 40.7467512662408)"
"Staten Island","Freshkills Park (South)","10312","DSNY Special Waste Drop-Off Site","1000 West Service Rd","1000 West Service Rd","SI03","SI035","SI","503","5022801","51","24","11","62","123","5130986","5059000500","40.56899487","-74.19338812","71","POINT (-74.1933896196464 40.5690030912403)"
"Manhattan","Upper East Side-Carnegie Hill","10021","Apple Store","940 Madison Ave","940 Madison Ave","MN08","MN082","MN","108","1013000","4","28","12","73","019","1041644","1013890017","40.773375","-73.964538","49","POINT (-73.9645394386506 40.773383269568)"
"Manhattan","Midtown South-Flatiron-Union Square","10010","Best Buy","60 W 23 St","60 W 23 St","MN05","MN051","MN","105","1005800","3","28","12","75","013","1086050","1008240011","40.7423606","-73.9923849","34","POINT (-73.9923863462042 40.7423688625894)"
"Queens","Astoria (East)-Woodside (North)","11377","Staples","5110 Broadway","5110 Broadway","QW01","QW015","QW","401","4029500","26","12","7","30","114","4593932","4011530010","40.7538623","-73.9089981","66","POINT (-73.9089995193659 40.7538705679255)"
"Brooklyn","East Williamsburg","11237","Scholes St Recycling Corp","492 Scholes St","492 Scholes St","BKN01","BKN015","BKN","301","3044902","34","18","7","53","090","3070560","3029690014","40.71123455","-73.92767114","22","POINT (-73.9276725635541 40.7112428087227)"
"Manhattan","Murray Hill-Kips Bay","10017","Staples","675 3 Ave","675 3 Ave","MN06","MN062","MN","106","1008800","4","59","12","73","017","1037549","1013160001","40.7509006","-73.973911","81","POINT (-73.9739124403252 40.7509088647498)"
"Manhattan","Hell's Kitchen","10036","Salvation Army","536 W 46 St","536 W 46 St","MN04","MN043","MN","104","1012901","3","47","12","67","018","1026949","1010740049","40.762665","-73.995377","39","POINT (-73.9953784478945 40.7626732663619)"
"Manhattan","Midtown-Times Square","10018","Staples","442 5th Ave","442 5th Ave","MN05","MN052","MN","105","1008400","4","28","12","75","014","1016046","1008410049","40.75198","-73.9824833","44","POINT (-73.982484743555 40.7519882648272)"
"Brooklyn","Fort Greene","11217","Apple Store","123 Flatbush Ave","123 Flatbush Ave","BKN02","BKN023","BKN","302","3003500","35","26","10","57","088","3428715","3021107501","40.686202","-73.978499","7","POINT (-73.9785004386679 40.6862102525733)"
"Brooklyn","Downtown Brooklyn-DUMBO-Boerum Hill","11217","Salvation Army","436 Atlantic Ave","436 Atlantic Ave","BKN02","BKN022","BKN","302","3004100","33","26","10","52","084","3000929","3001840014","40.6863101","-73.9838984","12","POINT (-73.9838998403413 40.6863183515463)"
"Bronx","Co-op City","10475","Apple Store","200 Baychester Avenue","200 Baychester Avenue","BX10",,"BX","210","2046205","12","36","14","82","045","2120098","2051410006","40.8638","-73.8278","17","POINT (-73.8278014011072 40.8638082921733)"
"Manhattan","Harlem (South)","10027","Staples","105 W 125th St","105 W 125th St","MN10","MN101","MN","110","1022200","9","30","13","70","028","1085673","1019107501","40.80827765","-73.94594495","86","POINT (-73.9459463851604 40.8082859271134)"
"Queens","Flushing-Willets Point","11354","Best Buy","13107 40th Rd","13107 40th Rd","QE07","QE071","QE","407","4087100","20","16","6","40","109","4534020","4050667501","40.75636718","-73.83696215","54","POINT (-73.836963547385 40.75637545104)"
"Manhattan","Financial District-Battery Park City","10007","Apple Store","185 Greenwich St","185 Greenwich St","MN01","MN011","MN","101","1001300","1","27","10","61","001","1089309","1000580001","40.711639","-74.012343","2","POINT (-74.0123444501387 40.7116472558049)"
"Staten Island","Grasmere-Arrochar-South Beach-Dongan Hills","10304","Salvation Army","2053 Clove Rd","2053 Clove Rd","SI02","SI021","SI","502","5005000","50","23","11","63","122","5107464","5029210016","40.605057","-74.083695","27","POINT (-74.0836964666613 40.6050652328639)"
"Queens","Bellerose","11426","Staples","251-21 Jericho Turnpike","251-21 Jericho Turnpike","QE13","QE132","QE","413","4161700","23","11","3","33","105","4177200","4086680143","40.72765982","-73.71333697","90","POINT (-73.7133383261119 40.7276680897511)"
"Manhattan","Upper West Side-Lincoln Square","10023","Apple Store","1981 Broadway","1981 Broadway","MN07","MN071","MN","107","1015302","6","47","12","67","020","1028850","1011390014","40.775064","-73.982637","13","POINT (-73.9826384450588 40.775072269502)"
"Brooklyn","Spring Creek-Starrett City","11239","Best Buy","369 Gateway Dr","369 Gateway Dr","BKN05","BKN053","BKN","305","3107001","42","19","8","60","075","3348828","3044520470","40.65154222","-73.87262128","58","POINT (-73.8726226818025 40.651550469335)"
"Manhattan","Midtown-Times Square","10018","Staples","500 8 Ave","500 8 Ave","MN05","MN051","MN","105","1010900","3","28","12","75","014","1014421","1007850001","40.7530426","-73.9924445","45","POINT (-73.992445946516 40.7530508648348)"
"Manhattan","Chelsea-Hudson Yards","10011","Google Retail Store","76 9th ave","76 9th ave","MN04","MN041","MN","104","1008300","3","47","10","66","010","1013043","1007390001","40.74178826","-74.00450479","30","POINT (-74.0045062394906 40.741796522088)"
"Queens","Sunnyside","11101","Goodwill","4747 Van Dam St","4747 Van Dam St","QW02","QW023","QW","402","4019901","26","12","7","37","108","4003448","4002530001","40.7415286","-73.9337864","75","POINT (-73.9337878266541 40.7415368642516)"
"Manhattan","Midtown-Times Square","10017","Best Buy","531 5th Ave","531 5th Ave","MN05","MN052","MN","105","1009400","4","28","12","73","014","1035366","1012790001","40.75483614","-73.97963772","43","POINT (-73.9796391626805 40.7548444056272)"
"Staten Island","Grasmere-Arrochar-South Beach-Dongan Hills","10304","Salvation Army","493 Mosel Ave","493 Mosel Ave","SI02","SI021","SI","502","5005000","50","23","11","63","122","5107464","5029210016","40.60521855","-74.0838506","26","POINT (-74.0838520674232 40.6052267821255)"
"Queens","Woodside","11377","Staples","58-12 Queens Blvd","58-12 Queens Blvd","QW02","QW021","QW","402","4024500","26","12","7","30","108","4454475","4023137501","40.74128698","-73.9070244","77","POINT (-73.9070258183303 40.7412952455574)"
"Bronx","Mount Hope","10457","Salvation Army","4109 Park Ave","4109 Park Ave","BX06","BX062","BX","206","2023100","15","32","15","86","048","2009448","2029000039","40.84559331","-73.90103116","62","POINT (-73.9010325831146 40.8456015961425)"
"Manhattan","East Midtown-Turtle Bay","10022","Staples","800 Third Ave","800 Third Ave","MN06","MN063","MN","106","1010000","4","28","12","73","017","1036446","1013040033","40.75570567","-73.97138626","82","POINT (-73.9713876997849 40.7557139359027)"
"Brooklyn","East Williamsburg","11222","Staples","535 Morgan Ave","535 Morgan Ave","BKN01","BKN013","BKN","301","3044901","34","18","7","50","094","3259425","3028170001","40.72230119","-73.93917165","21","POINT (-73.9391730777684 40.722309450458)"
"Manhattan","Upper East Side-Carnegie Hill","10028","Best Buy","1280 Lexington Ave","1280 Lexington Ave","MN08","MN084","MN","108","1014802","4","28","12","73","019","1047955","1015157502","40.7798872","-73.9557037","50","POINT (-73.9557051369693 40.7798954711018)"
"Manhattan","Greenwich Village","10011","Goodwill","44 W 8 St","44 W 8 St","MN02","MN022","MN","102","1006300","1","27","10","66","006","1008939","1005530019","40.732951","-73.998643","6","POINT (-73.9986444470113 40.7329592606477)"
"Manhattan","Upper East Side-Yorkville","10128","Goodwill","1704 2 Ave","1704 2 Ave","MN08","MN085","MN","108","1014602","5","29","12","76","019","1050067","1015510003","40.7793","-73.950294","53","POINT (-73.9502954345327 40.7793082715182)"
"Brooklyn","Marine Park-Mill Basin-Bergen Beach","11234","Best Buy","5102 Ave U Ste 0171","5102 Ave U Ste 0171","BKS18","BKS184","BKS","318","3069800","46","21","8","59","063",,,"40.60989578","-73.92159858","67","POINT (-73.9215999954237 40.6099040189363)"
"Manhattan","Gramercy","10010","Salvation Army","220 E 23 St","220 E 23 St","MN06","MN061","MN","106","1006400","2","59","12","74","013","1088660","1009030047","40.738365","-73.9824462","38","POINT (-73.9824476421675 40.7383732621381)"
"Brooklyn","Gravesend (West)","11214","Best Buy","8923 Bay Pkwy","8923 Bay Pkwy","BKS11","BKS115","BKS","311","3029400","43","23","11","46","062","3345607","3064910011","40.59360561","-73.99907225","70","POINT (-73.9990736886861 40.5936138431341)"
"Brooklyn","Bay Ridge","11209","Staples","9319 5 Ave","9319 5 Ave","BKS10","BKS103","BKS","310","3016000","43","26","11","46","068","3155319","3061090001","40.6166088","-74.0300263","85","POINT (-74.0300277503456 40.6166170363622)"
"Bronx","Co-op City","10475","Staples","330-340 Baychester Ave","330-340 Baychester Ave","BX10",,"BX","210","2046205","12","36","14","82","045","2102454","2051410035","40.86768776","-73.82893736","18","POINT (-73.8289387611431 40.8676960531569)"
"Manhattan","Midtown South-Flatiron-Union Square","10011","Goodwill","7 W 14 St","7 W 14 St","MN05","MN051","MN","105","1005400","3","28","10","66","013","1078658","1008160031","40.736697","-73.994165","35","POINT (-73.9941664462687 40.7367052615748)"
"Brooklyn","Downtown Brooklyn-DUMBO-Boerum Hill","11201","Goodwill","258 Livingston St","258 Livingston St","BKN02","BKN022","BKN","302","3003700","33","26","10","52","084","3329446","3001650029","40.6887457","-73.9842131","11","POINT (-73.984214539516 40.6887539523984)"
"Bronx","Kingsbridge-Marble Hill","10463","Staples","5680 Broadway","5680 Broadway","BX08","BX082","BX","208","2028300","11","31","13","81","050","2016172","2032680001","40.88108777","-73.90227651","57","POINT (-73.902277935308 40.8810960633023)"
"Bronx","Mount Hope","10457","Salvation Army","4109 Park Ave","4109 Park Ave","BX06","BX062","BX","206","2023100","15","32","15","86","048","2009448","2029000039","40.845553","-73.901079","63","POINT (-73.9010804228019 40.8455612860795)"
"Manhattan","East Midtown-Turtle Bay","10017","Apple Store","45 Grand Central Terminal","45 Grand Central Terminal","MN05","MN052","MN","105","1009200","4","28","12","73","014","1035381","1012800001","40.752642","-73.977279","42","POINT (-73.9772804418636 40.7526502652216)"
"Manhattan","East Harlem (North)","10035","Goodwill","2231 3 Ave","2231 3 Ave","MN11","MN113","MN","111","1019400","8","30","13","68","025","1054603","1017860004","40.801328","-73.937068","74","POINT (-73.9370694313291 40.8013362763034)"
"Queens","Bayside","11361","Staples","209-34 Northern Blvd","209-34 Northern Blvd","QE11","QE116","QE","411","4144700","19","16","6","25","111","4156796","4073090015","40.75909625","-73.77302777","89","POINT (-73.7730291463433 40.759104523294)"
"Manhattan","Upper West Side-Lincoln Square","10023","Best Buy","1880 Broadway","1880 Broadway","MN07","MN071","MN","107","1014500","3","47","12","75","020","1087510","1011147503","40.7700779","-73.981592","14","POINT (-73.981593444063 40.7700861680257)"
"Queens","Elmhurst","11373","Apple Store","90-15 Queens Blvd","90-15 Queens Blvd","QW04","QW042","QW","404","4068300","25","13","6","39","110","4045999","4018600100","40.734566","-73.870652","46","POINT (-73.870653406608 40.7345742656921)"
"Queens","Woodside","11377","Staples","5812 Queens Blvd","5812 Queens Blvd","QW02","QW021","QW","402","4024500","26","12","7","30","108","4454475","4023137501","40.7411879","-73.9070126","78","POINT (-73.9070140188277 40.7411961657684)"
"Staten Island","New Springville-Willowbrook-Bulls Head-Travis","10314","Staples","2535 Richmond Ave","2535 Richmond Ave","SI02","SI024","SI","502","5027702","51","24","11","63","121","5132232","5024000015","40.58605531","-74.16669338","25","POINT (-74.1666948721753 40.5860635359659)"
"Manhattan","Chelsea-Hudson Yards","10011","Salvation Army","208 8 Ave","208 8 Ave","MN04","MN041","MN","104","1008700","3","47","12","75","010","1014059","1007700076","40.743678","-73.999235","31","POINT (-73.9992364482056 40.7436862624973)"
"Manhattan","Greenwich Village","10003","Best Buy","52 E 14th St","52 E 14th St","MN02","MN023","MN","102","1006100","2","27","10","66","009","1009217","1005650021","40.73451587","-73.99052633","3","POINT (-73.9905277742954 40.734524130905)"
"Brooklyn","Carroll Gardens-Cobble Hill-Gowanus-Red Hook","11215","Staples","348 4th Ave","348 4th Ave","BKS06","BKS064","BKS","306","3011901","39","26","10","52","078","3021047","3009800023","40.67418233","-73.98677487","10","POINT (-73.9867763105179 40.6741905796966)"
