"service_id","organization_id","name","status"
"57","12","GENERAL PREVENTIVE CARE (PC)",
"58","12","AIM (Advocate, Intervene, Mentor) Program",
"59","12","Arches: A Transformative Mentoring Intervention",
"60","12","Next STEPS",
"61","12","PREVENTIVE SERVICES",
"62","13","EMERGENCY INTERVENTION SERVICES","HQ-DV SHELTER PROVIDER"
"63","14","EMERGENCY INTERVENTION SERVICES","HQ-DV SHELTER PROVIDER"
"64","14","SUPPORTED SRO",
"65","15","EMERGENCY INTERVENTION SERVICES","HQ-DV SHELTER PROVIDER"
"66","15","HOMEBASE HOMELESSNESS PREVENTION",
"67","16","EMERGENCY INTERVENTION SERVICES","HQ-DV SHELTER PROVIDER"
"68","16","LEGAL SERVICES INITIATIVES",
"69","17","EMERGENCY INTERVENTION SERVICES","HQ-DV SHELTER PROVIDER"
"70","17","LEGAL SERVICES INITIATIVES",
"71","17","FAMILY SUPPORT",
"72","17","ADVOCACY SERVICES",
"73","18","EMERGENCY INTERVENTION SERVICES","HQ-DV SHELTER PROVIDER"
"74","18","TEEN RAPP","SCHOOL BASED NO FIXED LOCATION"
"75","18","GENERAL PREVENTIVE CARE (PC)",
"76","18","PREVENTIVE SERVICES",
"77","18","FOSTER CARE",
"78","19","EMERGENCY INTERVENTION SERVICES","HQ-DV SHELTER PROVIDER"
"79","19","GENERAL PREVENTIVE CARE (PC)",
"80","19","EARLY LEARN NYC: NEW YORK CITY'S EARLY CARE AND EDUCATION SERVICES",
"81","19","FOSTER CARE",
"82","19","PREVENTIVE SERVICES",
"83","20","EMERGENCY INTERVENTION SERVICES","HQ-DV SHELTER PROVIDER"
"84","21","SNAP CENTER","HRA STAFF"
"85","21","JOB CENTER","HRA Staff"
"86","21","HIV/AIDS SERVICES ADMINISTRATION (HASA)","HRA Staff Closed to Public"
"87","22","HOMEBASE HOMELESSNESS PREVENTION",
"88","22","LEGAL SERVICES INITIATIVES",
"89","22","AFTERSCHOOL PROGRAMS",
"90","22","JOBS & INTERNSHIPS",
"91","22","FAMILY SUPPORT",
"92","22","READING & WRITING",
"93","22","SUPPORTED SRO",
"94","22","HIV HOUSING",
"95","22","SUPPORTED HOUSING",
"96","22","NY NY III SUPPORTED HOUSING",
"97","22","FOOD AND NUTRITION","Master Contract with Public Health Solutions"
"98","22","TRANSITIONAL CARE COORDINATION","Master Contract with Public Health Solutions"
"99","22","CONDOM DISTRIBUTION SERVICES","Master Contract with Public Health Solutions"
"100","22","STRUCTURAL-LEVEL CHANGE TO ADDRESS BARRIERS TO HIV PREVENTION AMONG HIGH-RISK/HIGH-PREVALENCE POPULATIONS","Master Contract with Public Health Solutions"
"101","22","SHORT-TERM HOUSING SERVICES","Master Contract with Public Health Solutions"
"102","22","SUPPORTIVE COUNSELING & FAMILY STABILIZATION SERVICES - GENERAL","Master Contract with Public Health Solutions"
"103","22","OUTREACH AND STATUS NEUTRAL PREVENTION AND CARE NAVIGATION IN BROOKLYN","Master Contract with Public Health Solutions"
"104","22","OUTREACH AND EDUCATION IN CBOS","Master Contract with Public Health Solutions"
"105","22","GENERAL PREVENTIVE CARE (PC)",
"106","22","PREVENTIVE SERVICES",
"107","23","HOMEBASE HOMELESSNESS PREVENTION",
"108","23","AFTERSCHOOL PROGRAMS",
"109","23","FAMILY SUPPORT",
"110","23","IMMIGRANT SERVICES",
"111","23","JOBS & INTERNSHIPS",
"112","23","READING & WRITING",
"113","23","SUPPORTED SRO",
"114","23","OUTREACH",
"115","23","NON-MEDICAID CARE COORDINATION (OMH)",
"118","23","ASSISTED COMPETITIVE EMPLOYMENT",
"119","23","SUPPORTED HOUSING",
"120","23","HIV HOUSING",
"121","23","MEDICALLY SUPERVISED OUTPATIENT",
"122","23","OUTPATIENT REHABILITATION SERVICES",
"123","23","SENIOR CENTER",
"124","23","HOME DELIVERED MEALS",
"125","23","CASE MANAGEMENT ONLY",
"126","23","GENERAL PREVENTIVE CARE (PC)",
"127","23","EARLY LEARN NYC: NEW YORK CITY'S EARLY CARE AND EDUCATION SERVICES",
"128","23","PREVENTIVE SERVICES",
"129","24","HOMEBASE HOMELESSNESS PREVENTION",
"130","24","JOBS-PLUS","NYCHA ONLY"
"131","24","LEGAL SERVICES INITIATIVES",
"132","24","RAPID RE-HOUSING",
"133","24","AFTERSCHOOL PROGRAMS",
"134","24","READING & WRITING",
"135","24","JOBS & INTERNSHIPS",
"136","24","IMMIGRANT SERVICES",
"137","24","FAMILY SUPPORT",
"138","24","MICA NETWORK",
"139","24","SUPPORTED SRO",
"140","24","FOOD AND NUTRITION","Master Contract with Public Health Solutions"
"141","24","HARM REDUCTION SERVICES","Master Contract with Public Health Solutions"
"142","24","SENIOR CENTER",
"143","24","GENERAL PREVENTIVE CARE (PC)",
"144","24","EARLY LEARN NYC: NEW YORK CITY'S EARLY CARE AND EDUCATION SERVICES",
"145","24","PREVENTIVE SERVICES",
"146","25","HOMEBASE HOMELESSNESS PREVENTION",
"147","25","LEGAL SERVICES INITIATIVES",
"148","25","AFTERSCHOOL PROGRAMS",
"149","25","FAMILY SUPPORT",
"150","25","JOBS & INTERNSHIPS",
"151","26","HOMEBASE HOMELESSNESS PREVENTION",
"152","27","HOMEBASE HOMELESSNESS PREVENTION",
"153","28","JOBS-PLUS","NYCHA ONLY"
"154","28","WORK PROGRESS PROGRAM","HRA CLIENTS ONLY"
"155","28","AFTERSCHOOL PROGRAMS",
"156","28","FAMILY SUPPORT",
"157","28","JOBS & INTERNSHIPS",
"158","28","READING & WRITING",
"159","28","SENIOR CENTER",
"160","28","SENIOR CENTER AFFILIATED SITE",
"161","28","EARLY LEARN NYC: NEW YORK CITY'S EARLY CARE AND EDUCATION SERVICES",
"162","29","JOBS-PLUS","NYCHA ONLY"
"163","29","WORK PROGRESS PROGRAM","HRA CLIENTS ONLY"
"164","29","AFTERSCHOOL PROGRAMS",
"165","29","JOBS & INTERNSHIPS",
"166","29","READING & WRITING",
"167","29","SUPPORTED SRO",
"168","29","SENIOR CENTER",
"169","29","HOME DELIVERED MEALS",
"170","29","NORC SITES",
"171","29","EARLY LEARN NYC: NEW YORK CITY'S EARLY CARE AND EDUCATION SERVICES",
"172","30","JOBS-PLUS","NYCHA ONLY"
"173","30","WORK PROGRESS PROGRAM","HRA CLIENTS ONLY"
"174","30","JOBS & INTERNSHIPS",
"175","30","FAMILY SUPPORT",
"176","31","JOBS-PLUS","NYCHA ONLY"
"177","31","YOUTHPATHWAYS","HRA CLIENTS ONLY"
"178","32","JOBS-PLUS","NYCHA ONLY"
"179","33","PLACEMENT SERVICES","HRA REFERRAL ONLY"
"180","33","READING & WRITING",
"181","33","IMMIGRANT SERVICES",
"182","33","JOBS & INTERNSHIPS",
"183","33","FAMILY SUPPORT",
"184","33","AFTERSCHOOL PROGRAMS",
"185","33","TRANSPORTATION ONLY",
"186","33","SENIOR CENTER",
"187","33","HOME DELIVERED MEALS",
"188","34","TEEN RAPP","SCHOOL BASED NO FIXED LOCATION"
"189","35","TEEN RAPP","SCHOOL BASED NO FIXED LOCATION"
"190","36","WORK PROGRESS PROGRAM","HRA CLIENTS ONLY"
"191","37","WORK PROGRESS PROGRAM","HRA CLIENTS ONLY"
"192","38","WORK PROGRESS PROGRAM","HRA CLIENTS ONLY"
"193","38","PREVENTIVE SERVICES",
"194","39","WORK PROGRESS PROGRAM","HRA CLIENTS ONLY"
"195","40","WORK PROGRESS PROGRAM","HRA CLIENTS ONLY"
"196","41","WORK PROGRESS PROGRAM","HRA CLIENTS ONLY"
"197","42","WORK PROGRESS PROGRAM","HRA CLIENTS ONLY"
"198","43","WORK PROGRESS PROGRAM","HRA CLIENTS ONLY"
"199","44","WORK PROGRESS PROGRAM","HRA CLIENTS ONLY"
"200","44","FAMILY SUPPORT",
"201","44","GENERAL PREVENTIVE CARE (PC)",
"202","44","PREVENTIVE SERVICES",
"203","44","FOSTER CARE",
"204","45","WORK PROGRESS PROGRAM","HRA CLIENTS ONLY"
"205","46","WORK PROGRESS PROGRAM","HRA CLIENTS ONLY"
"206","46","AFTERSCHOOL PROGRAMS",
"207","46","IMMIGRANT SERVICES",
"208","46","FAMILY SUPPORT",
"209","46","SUPPORTED SRO",
"210","46","GENERAL PREVENTIVE CARE (PC)",
"211","46","AIM (Advocate, Intervene, Mentor) Program",
"212","46","Arches: A Transformative Mentoring Intervention",
"213","46","Next STEPS",
"214","46","Justice Plus/ Job Readiness Program",
"215","46","Parent Support Program",
"216","46","FOSTER CARE",
"217","46","PREVENTIVE SERVICES",
"218","47","WORK PROGRESS PROGRAM","HRA CLIENTS ONLY"
"219","48","WORK PROGRESS PROGRAM","HRA CLIENTS ONLY"
"220","48","AFTERSCHOOL PROGRAMS",
"221","48","GENERAL PREVENTIVE CARE (PC)",
"222","48","FOSTER CARE",
"223","48","PREVENTIVE SERVICES",
"224","49","WORK PROGRESS PROGRAM","HRA CLIENTS ONLY"
"225","49","AFTERSCHOOL PROGRAMS",
"226","49","FOSTER CARE",
"227","49","PREVENTIVE SERVICES",
"228","50","WORK PROGRESS PROGRAM","HRA CLIENTS ONLY"
"229","50","AFTERSCHOOL PROGRAMS",
"230","50","SENIOR CENTER",
"231","50","NORC SITES",
"232","50","EARLY LEARN NYC: NEW YORK CITY'S EARLY CARE AND EDUCATION SERVICES",
"233","51","WORK PROGRESS PROGRAM","HRA CLIENTS ONLY"
"234","52","WORK PROGRESS PROGRAM","HRA CLIENTS ONLY"
"235","52","READING & WRITING",
"236","52","AFTERSCHOOL PROGRAMS",
"237","52","JOBS & INTERNSHIPS",
"238","52","IMMIGRANT SERVICES",
"239","52","FAMILY SUPPORT",
"240","53","WORK PROGRESS PROGRAM","HRA CLIENTS ONLY"
"241","53","FOSTER CARE",
"242","53","PREVENTIVE SERVICES",
"243","54","WORK PROGRESS PROGRAM","HRA CLIENTS ONLY"
"244","55","WORK PROGRESS PROGRAM","HRA CLIENTS ONLY"
"245","56","WORK PROGRESS PROGRAM","HRA CLIENTS ONLY"
"246","56","LEGAL SERVICES INITIATIVES",
"247","56","AFTERSCHOOL PROGRAMS",
"248","56","JOBS & INTERNSHIPS",
"249","56","READING & WRITING",
"250","56","SENIOR CENTER",
"251","56","SENIOR CENTER AFFILIATED SITE",
"252","56","HOME DELIVERED MEALS",
"253","56","CASE MANAGEMENT ONLY",
"254","56","NORC SITES",
"255","57","WORK PROGRESS PROGRAM","HRA CLIENTS ONLY"
"256","58","WORK PROGRESS PROGRAM","HRA CLIENTS ONLY"
"257","58","AFTERSCHOOL PROGRAMS",
"258","59","WORK PROGRESS PROGRAM","HRA CLIENTS ONLY"
"259","59","AFTERSCHOOL PROGRAMS",
"260","60","WORK PROGRESS PROGRAM","HRA CLIENTS ONLY"
"261","60","AFTERSCHOOL PROGRAMS",
"262","60","JOBS & INTERNSHIPS",
"263","60","RECREATION",
"264","60","CLINIC TREATMENT",
"265","60","SENIOR CENTER",
"266","60","GERIATRIC MENTAL HEALTH",
"267","60","NORC SITES",
"268","61","WORK PROGRESS PROGRAM","HRA CLIENTS ONLY"
"269","61","AFTERSCHOOL PROGRAMS",
"270","61","JOBS & INTERNSHIPS",
"271","61","RUNAWAY & HOMELESS YOUTH",
"272","61","GENERAL PREVENTIVE CARE (PC)",
"273","61","EARLY LEARN NYC: NEW YORK CITY'S EARLY CARE AND EDUCATION SERVICES",
"274","61","Arches: A Transformative Mentoring Intervention",
"275","61","FOSTER CARE",
"276","61","PREVENTIVE SERVICES",
"277","62","WORK PROGRESS PROGRAM","HRA CLIENTS ONLY"
"278","63","WORK PROGRESS PROGRAM","HRA CLIENTS ONLY"
"279","63","AFTERSCHOOL PROGRAMS",
"280","63","READING & WRITING",
"281","63","SENIOR CENTER",
"282","63","HOME DELIVERED MEALS",
"283","63","NORC SITES",
"284","64","WORK PROGRESS PROGRAM","HRA CLIENTS ONLY"
"285","65","WORK PROGRESS PROGRAM","HRA CLIENTS ONLY"
"286","65","AFTERSCHOOL PROGRAMS",
"287","65","JOBS & INTERNSHIPS",
"288","65","READING & WRITING",
"289","65","SENIOR CENTER",
"290","65","CAREGIVER",
"291","65","CASE MANAGEMENT ONLY",
"292","66","WORK PROGRESS PROGRAM","HRA CLIENTS ONLY"
"293","66","JOBS & INTERNSHIPS",
"294","66","AFTERSCHOOL PROGRAMS",
"295","66","FAMILY SUPPORT",
"296","66","READING & WRITING",
"297","66","OTHER PREVENTION SERVICES",
"298","66","PRIMARY PREVENTION SERVICES",
"299","66","PREVENTION RESOURCE CENTER",
"300","66","GENERAL PREVENTIVE CARE (PC)",
"301","66","EARLY LEARN NYC: NEW YORK CITY'S EARLY CARE AND EDUCATION SERVICES",
"302","66","HOMEMAKER SERVICES",
"303","66","Every Child Has an Opportunity to Excel and Succeed (ECHOES)",
"304","66","FOSTER CARE",
"305","66","PREVENTIVE SERVICES",
"306","67","WORK PROGRESS PROGRAM","HRA CLIENTS ONLY"
"307","68","WORK PROGRESS PROGRAM","HRA CLIENTS ONLY"
"308","69","WORK PROGRESS PROGRAM","HRA CLIENTS ONLY"
"309","70","WORK PROGRESS PROGRAM","HRA CLIENTS ONLY"
"310","70","AFTERSCHOOL PROGRAMS",
"311","70","READING & WRITING",
"312","70","NON-MEDICAID CARE COORDINATION (OMH)",
"313","70","SENIOR CENTER",
"314","70","NORC SITES",
"315","70","EARLY LEARN NYC: NEW YORK CITY'S EARLY CARE AND EDUCATION SERVICES",
"316","70","AIM (Advocate, Intervene, Mentor) Program",
"317","71","WORK PROGRESS PROGRAM","HRA CLIENTS ONLY"
"318","72","WORK PROGRESS PROGRAM","HRA CLIENTS ONLY"
"319","73","YOUTHPATHWAYS","HRA CLIENTS ONLY"
"320","74","ADULT PROTECTIVE SERVICES",
"321","75","ADULT PROTECTIVE SERVICES",
"322","75","SENIOR CENTER",
"323","75","CASE MANAGEMENT ONLY",
"324","75","NEW YORK CONNECTS",
"325","75","NORC SITES",
"326","75","HOMEMAKER SERVICES",
"327","76","ADULT PROTECTIVE SERVICES",
"328","76","PSYCHOSOCIAL CLUB",
"329","76","CLINIC TREATMENT",
"330","76","SENIOR CENTER",
"331","76","HOME DELIVERED MEALS",
"332","76","ABUSE PREVENTION",
"333","76","SENIOR CENTER AFFILIATED SITE",
"334","76","GERIATRIC MENTAL HEALTH",
"335","76","CASE MANAGEMENT ONLY",
"336","76","HOME DELIVERED MEALS ONLY",
"337","76","NEW YORK CONNECTS",
"338","76","CAREGIVER",
"339","76","SOCIAL SERVICES ONLY",
"340","76","LEGAL SERVICES",
"341","76","NORC SITES",
"342","77","ADULT PROTECTIVE SERVICES",
"343","77","AFFIRMATIVE BUSINESS/INDUSTRY",
"344","77","NON-MEDICAID CARE COORDINATION (OMH)",
"345","77","CRISIS/RESPITE BEDS",
"346","77","ADVOCACY SERVICES",
"347","77","OUTREACH",
"348","77","SUPPORTED HOUSING",
"349","78","ADULT PROTECTIVE SERVICES",
"350","79","LEGAL SERVICES INITIATIVES",
"351","79","IMMIGRANT SERVICES",
"352","79","FAMILY SUPPORT",
"353","79","AFTERSCHOOL PROGRAMS",
"354","80","LEGAL SERVICES INITIATIVES",
"355","80","HIV TESTING SERVICES: PRIORITY POPULATIONS TESTING IN NON-CLINICAL SETTINGS","Master Contract with Public Health Solutions"
"356","80","CONDOM DISTRIBUTION SERVICES","Master Contract with Public Health Solutions"
"357","80","SUPPORTIVE COUNSELING & FAMILY STABILIZATION SERVICES - SEP","Master Contract with Public Health Solutions"
"358","80","CITY COUNCIL INITIATIVES [574]","Master Contract with Public Health Solutions"
"359","80","FAITH-BASED INITIATIVE","Master Contract with Public Health Solutions"
"360","80","CHECK HEP C [574]","Master Contract with Public Health Solutions"
"361","80","OUTREACH AND EDUCATION IN SHELTERS","Master Contract with Public Health Solutions"
"362","80","LEGAL SERVICES NYC","Master Contract with Public Health Solutions"
"363","81","LEGAL SERVICES INITIATIVES",
"364","82","LEGAL SERVICES INITIATIVES",
"365","82","AFTERSCHOOL PROGRAMS",
"366","83","LEGAL SERVICES INITIATIVES",
"367","83","AFTERSCHOOL PROGRAMS",
"368","83","FAMILY SUPPORT",
"369","83","IMMIGRANT SERVICES",
"370","83","READING & WRITING",
"371","83","SENIOR CENTER",
"372","83","EARLY LEARN NYC: NEW YORK CITY'S EARLY CARE AND EDUCATION SERVICES",
"373","84","LEGAL SERVICES INITIATIVES",
"374","85","LEGAL SERVICES INITIATIVES",
"375","86","LEGAL SERVICES INITIATIVES",
"376","87","LEGAL SERVICES INITIATIVES",
"377","87","OUTREACH AND EDUCATION IN CBOS","Master Contract with Public Health Solutions"
"378","87","FAITH-BASED INITIATIVE","Master Contract with Public Health Solutions"
"379","88","LEGAL SERVICES INITIATIVES",
"380","89","LEGAL SERVICES INITIATIVES",
"381","90","LEGAL SERVICES INITIATIVES",
"382","90","JOBS & INTERNSHIPS",
"383","91","LEGAL SERVICES INITIATIVES",
"384","91","READING & WRITING",
"385","91","FAMILY SUPPORT",
"386","91","JOBS & INTERNSHIPS",
"387","91","AFTERSCHOOL PROGRAMS",
"388","92","LEGAL SERVICES INITIATIVES",
"389","92","IMMIGRANT SERVICES",
"390","93","LEGAL SERVICES INITIATIVES",
"391","94","LEGAL SERVICES INITIATIVES",
"392","94","AFTERSCHOOL PROGRAMS",
"393","94","ASSERTIVE COMMUNITY TREATMENT",
"394","94","ASSISTED COMPETITIVE EMPLOYMENT",
"395","94","SUPPORTED SRO",
"396","94","PSYCHOSOCIAL CLUB",
"397","94","SENIOR CENTER",
"398","94","NORC SITES",
"399","94","EARLY LEARN NYC: NEW YORK CITY'S EARLY CARE AND EDUCATION SERVICES",
"400","95","LEGAL SERVICES INITIATIVES",
"401","95","READING & WRITING",
"402","95","AFTERSCHOOL PROGRAMS",
"403","95","TRANSPORTATION ONLY",
"404","95","SENIOR CENTER",
"405","95","SENIOR CENTER AFFILIATED SITE",
"406","95","NORC SITES",
"407","95","GENERAL PREVENTIVE CARE (PC)",
"408","95","PREVENTIVE SERVICES",
"409","96","LEGAL SERVICES INITIATIVES",
"410","97","LEGAL SERVICES INITIATIVES",
"411","97","LEGAL SERVICES",
"412","98","LEGAL SERVICES INITIATIVES",
"413","98","READING & WRITING",
"414","98","IMMIGRANT SERVICES",
"415","98","OUTREACH AND EDUCATION IN CBOS","Master Contract with Public Health Solutions"
"416","99","LEGAL SERVICES INITIATIVES",
"417","99","FAMILY SUPPORT",
"418","99","LEGAL SERVICES NYC","Master Contract with Public Health Solutions"
"419","100","LEGAL SERVICES INITIATIVES",
"420","100","ADVOCACY SERVICES",
"421","101","LEGAL SERVICES INITIATIVES",
"422","102","LEGAL SERVICES INITIATIVES",
"423","102","FAMILY SUPPORT",
"424","103","LEGAL SERVICES INITIATIVES",
"425","104","LEGAL SERVICES INITIATIVES",
"426","104","IMMIGRANT SERVICES",
"427","105","LEGAL SERVICES INITIATIVES",
"428","106","LEGAL SERVICES INITIATIVES",
"429","106","FAMILY SUPPORT",
"430","106","JOBS & INTERNSHIPS",
"431","106","READING & WRITING",
"432","106","IMMIGRANT SERVICES",
"433","107","LEGAL SERVICES INITIATIVES",
"434","107","SENIOR CENTER",
"435","107","SENIOR CENTER AFFILIATED SITE",
"436","108","LEGAL SERVICES INITIATIVES",
"437","109","LEGAL SERVICES INITIATIVES",
"438","109","RAPID RE-HOUSING",
"439","109","JOBS & INTERNSHIPS",
"440","109","SENIOR CENTER",
"441","109","SENIOR CENTER AFFILIATED SITE",
"442","109","HOME DELIVERED MEALS",
"443","109","CASE MANAGEMENT ONLY",
"444","109","Next STEPS",
"445","110","LEGAL SERVICES INITIATIVES",
"446","110","RUNAWAY & HOMELESS YOUTH",
"447","110","COMMUNITY-LEVEL INTERVENTIONS FOR HIV PREVENTION","Master Contract with Public Health Solutions"
"448","110","HEP-C PEER NAVIGATION [574]","Master Contract with Public Health Solutions"
"449","111","LEGAL SERVICES INITIATIVES",
"450","112","LEGAL SERVICES INITIATIVES",
"451","113","LEGAL SERVICES INITIATIVES",
"452","114","LEGAL SERVICES INITIATIVES",
"453","114","JOBS & INTERNSHIPS",
"454","114","READING & WRITING",
"455","114","RUNAWAY & HOMELESS YOUTH",
"456","114","CHLAMYDIA SCREENING PROGRAM",
"457","114","SUPPORTED SRO",
"458","115","LEGAL SERVICES INITIATIVES",
"459","115","AFTERSCHOOL PROGRAMS",
"460","116","LEGAL SERVICES INITIATIVES",
"461","116","FAMILY SUPPORT",
"462","117","LEGAL SERVICES INITIATIVES",
"463","118","LEGAL SERVICES INITIATIVES",
"464","119","LEGAL SERVICES INITIATIVES",
"465","119","FAMILY SUPPORT",
"466","120","LEGAL SERVICES INITIATIVES",
"467","121","AFTERSCHOOL PROGRAMS",
"468","122","AFTERSCHOOL PROGRAMS",
"469","122","EARLY LEARN NYC: NEW YORK CITY'S EARLY CARE AND EDUCATION SERVICES",
"470","123","AFTERSCHOOL PROGRAMS",
"471","124","JOBS & INTERNSHIPS",
"472","124","AFTERSCHOOL PROGRAMS",
"473","125","AFTERSCHOOL PROGRAMS",
"474","126","AFTERSCHOOL PROGRAMS",
"475","126","SENIOR CENTER",
"476","126","NORC SITES",
"477","126","EARLY LEARN NYC: NEW YORK CITY'S EARLY CARE AND EDUCATION SERVICES",
"478","127","AFTERSCHOOL PROGRAMS",
"479","127","FAMILY SUPPORT",
"480","127","HOME BASED CRISIS INTERVENTION",
"481","127","NON-MEDICAID CARE COORDINATION (OMH)",
"482","127","SENIOR CENTER",
"483","127","SENIOR CENTER AFFILIATED SITE",
"484","127","EARLY LEARN NYC: NEW YORK CITY'S EARLY CARE AND EDUCATION SERVICES",
"485","128","AFTERSCHOOL PROGRAMS",
"486","128","IMMIGRANT SERVICES",
"487","128","READING & WRITING",
"488","129","AFTERSCHOOL PROGRAMS",
"489","129","FAMILY SUPPORT",
"490","129","GENERAL PREVENTIVE CARE (PC)",
"491","129","FOSTER CARE",
"492","130","AFTERSCHOOL PROGRAMS",
"493","130","READING & WRITING",
"494","130","SENIOR CENTER",
"495","130","CAREGIVER",
"496","131","AFTERSCHOOL PROGRAMS",
"497","131","JOBS & INTERNSHIPS",
"498","131","EARLY LEARN NYC: NEW YORK CITY'S EARLY CARE AND EDUCATION SERVICES",
"499","132","AFTERSCHOOL PROGRAMS",
"500","133","FAMILY SUPPORT",
"501","134","JOBS & INTERNSHIPS",
"502","134","AFTERSCHOOL PROGRAMS",
"503","134","FAMILY SUPPORT",
"504","134","READING & WRITING",
"505","135","AFTERSCHOOL PROGRAMS",
"506","135","READING & WRITING",
"507","135","JOBS & INTERNSHIPS",
"508","135","FAMILY SUPPORT",
"509","135","SUPPORTED SRO",
"510","136","AFTERSCHOOL PROGRAMS",
"511","137","AFTERSCHOOL PROGRAMS",
"512","137","SENIOR CENTER",
"513","138","AFTERSCHOOL PROGRAMS",
"514","139","AFTERSCHOOL PROGRAMS",
"515","139","JOBS & INTERNSHIPS",
"516","140","AFTERSCHOOL PROGRAMS",
"517","141","AFTERSCHOOL PROGRAMS",
"518","142","AFTERSCHOOL PROGRAMS",
"519","142","READING & WRITING",
"520","143","AFTERSCHOOL PROGRAMS",
"521","143","READING & WRITING",
"522","143","JOBS & INTERNSHIPS",
"523","144","AFTERSCHOOL PROGRAMS",
"524","144","FAMILY SUPPORT",
"525","144","JOBS & INTERNSHIPS",
"526","144","PSYCHOSOCIAL CLUB",
"527","144","ON-SITE REHABILITATION",
"528","144","VOCATIONAL SERVICES",
"529","144","GENERAL PREVENTIVE CARE (PC)",
"530","144","EARLY LEARN NYC: NEW YORK CITY'S EARLY CARE AND EDUCATION SERVICES",
"531","145","AFTERSCHOOL PROGRAMS",
"532","145","JOBS & INTERNSHIPS",
"533","146","AFTERSCHOOL PROGRAMS",
"534","146","JOBS & INTERNSHIPS",
"535","146","EARLY LEARN NYC: NEW YORK CITY'S EARLY CARE AND EDUCATION SERVICES",
"536","146","PREVENTIVE SERVICES",
"537","147","AFTERSCHOOL PROGRAMS",
"538","147","READING & WRITING",
"539","147","Young Adult Justice",
"540","148","JOBS & INTERNSHIPS",
"541","148","AFTERSCHOOL PROGRAMS",
"542","148","FAMILY SUPPORT",
"543","148","IMMIGRANT SERVICES",
"544","148","READING & WRITING",
"545","148","SENIOR CENTER",
"546","149","AFTERSCHOOL PROGRAMS",
"547","150","AFTERSCHOOL PROGRAMS",
"548","150","SENIOR CENTER",
"549","151","AFTERSCHOOL PROGRAMS",
