"project_name","project_address_es","application_year"
"ENY BRP Development","336 New Lots Avenue","2013"
"ENY BRP Development","340 New Lots Avenue","2013"
"ENY BRP Development","342 New Lots Avenue","2013"
"ENY BRP Development","344 New Lots Avenue","2013"
"ENY BRP Development","348 New Lots Avenue","2013"
"ENY BRP Development","518 Pennsylvania Avenue","2013"
"ENY BRP Development","611 Pennsylvania Avenue","2013"
"ENY BRP Development","2297 Pitkin Avenue","2013"
"ENY BRP Development","2299 Pitkin Avenue","2013"
"ENY BRP Development","2307 Pitkin Avenue","2013"
"ENY BRP Development","2445 Pitkin Avenue","2013"
"ENY BRP Development","2447 Pitkin Avenue","2013"
"ENY BRP Development","2449 Pitkin Avenue","2013"
"ENY BRP Development","2451 Pitkin Avenue","2013"
"ENY BRP Development","474-476 Riverdale Avenue","2013"
"ENY BRP Development","520 Riverdale Avenue","2013"
"ENY BRP Development","522 Riverdale Avenue","2013"
"ENY BRP Development","614 Riverdale Avenue","2013"
"ENY BRP Development","620 Riverdale Avenue","2013"
"ENY BRP Development","526 Riverdale Avenue","2013"
"ENY BRP Development","1163-73 Sutter Avenue","2013"
"ENY BRP Development","486 Williams Avenue","2013"
"ENY BRP Development","490 Williams Avenue","2013"
"ENY BRP Development","496 Williams Avenue","2013"
"ENY BRP Development","502 Williams Avenue","2013"
"ENY BRP Development","503 Williams Avenue","2013"
"ENY BRP Development","508 Williams Avenue","2013"
"ENY BRP Development","514 Williams Avenue","2013"
"ENY BRP Development","520 Williams Avenue","2013"
"ENY BRP Development","526 Williams Avenue","2013"
"ENY BRP Development","532 Williams Avenue","2013"
"ENY BRP Development","535 Williams Avenue","2013"
"ENY BRP Development","539 Williams Avenue","2013"
"ENY BRP Development","542 Williams Avenue","2013"
"ENY BRP Development","584-86 Williams Avenue","2013"
"Arthur Avenue Residences","600 East 181st Street","2013"
"Daly IV","908 East 181st Street","2013"
"Daly IV","924 East 181st Street","2013"
"Daly IV","934 East 181st Street","2013"
"Daly IV","966 East 181st Street","2013"
"Daly IV","2103 Vyse Avenue","2013"
"Daly IV","2131 Vyse Avenue","2013"
"Daly IV","2030-2134 Vyse Avenue","2013"
"Prince Hall Plaza","456-460 West 155th Street","2013"
"250 Ashland","590 Fulton Street","2013"
"Compass Residence 1B","1512 Boone Avenue","2013"
"Webster Building E","3556 Webster Avenue","2013"
"Randolph Houses Phase 1 - South Side","204-222 West 114th Street","2013"
"Randolph Houses Phase 1 - South Side","224-242West 114th Street","2013"
"Randolph Houses Phase 1 - South Side","244-246 West 114th Street","2013"
"Albert Goodman Apartments","3250 3rd Avenue","2013"
"Albert Goodman Apartments","665 East 163rd Street","2013"
"Albert Goodman Apartments","970 Boston Road","2013"
"Albert Goodman Apartments","955 Cauldwell Avenue","2013"
"Crossroads II","501 Southern Boulevard","2014"
"Livonia Commons","494 Georgia Avenue","2014"
"Livonia Commons","491 Sheffield Avenue","2014"
"Livonia Commons","494 Sheffield Avenue","2014"
"Livonia Commons","481 Williams Avenue","2014"
"Carnegie Park Apartments","220 East 94th Street","2014"
"810 River","810 River Avenue","2014"
"Plaza Borinquen","405 – 417 East 137th Street","2014"
"Plaza Borinquen","419 – 423 East 137th Street","2014"
"Plaza Borinquen","465 – 471 East 137th Street","2014"
"Plaza Borinquen","477 East 137th Street","2014"
"Plaza Borinquen","473 – 477 East 138th Street","2014"
"Plaza Borinquen","479 – 483 East 138th Street","2014"
"Plaza Borinquen","485 – 491 East 138th Street","2014"
"Plaza Borinquen","470 – 476 East 139th Street","2014"
"Plaza Borinquen","478 – 484 East 139th Street","2014"
"Plover Apartments LLC","108-110 East 176th Street","2014"
"Plover Apartments LLC","1175 Gerard Avenue","2014"
"Plover Apartments LLC","760 Hunts Point Avenue","2014"
"Plover Apartments LLC","2292 Loring Place North","2014"
"261 Hudson Street","261 Hudson Street","2014"
"Mt. Sharon","3058 Bailey Avenue","2014"
"Mt. Sharon","3060 Bailey Avenue","2014"
"Mt. Sharon","2085 Walton Avenue","2014"
"Mt. Sharon","2432 University Avenue","2014"
"Morris Avenue Apartments","655 Morris Avenue","2014"
"Prospect Plaza North","1765 Prospect Place","2014"
"Williamsburg Apartments","356 Bedford Avenue","2014"
"Williamsburg Apartments","37 Maujer Street","2014"
"Williamsburg Apartments","37 Ten Eyck Street","2014"
"Williamsburg Apartments","33 Ten Eyck Street","2014"
"Home for Harlem Dowling","2135 7th Avenue","2014"
"Edgecombe Preservation Portfolio","347 West 141st Street","2014"
"Edgecombe Preservation Portfolio","351 West 141st Street","2014"
"Edgecombe Preservation Portfolio","340 West 145th Street","2014"
"Edgecombe Preservation Portfolio","1702 Amsterdam Avenue","2014"
"Edgecombe Preservation Portfolio","1780-82 Amsterdam Avenue","2014"
"Edgecombe Preservation Portfolio","1784 Amsterdam Avenue","2014"
"Edgecombe Preservation Portfolio","1786 Amsterdam Avenue","2014"
"Edgecombe Preservation Portfolio","115 Edgecombe Avenue","2014"
"Edgecombe Preservation Portfolio","161 Edgecombe Avenue","2014"
"Edgecombe Preservation Portfolio","165-67 Edgecombe Avenue","2014"
"Edgecombe Preservation Portfolio","169-171 Edgecombe Avenue","2014"
"Edgecombe Preservation Portfolio","180-86 Edgecombe Avenue","2014"
"Edgecombe Preservation Portfolio","211 Edgecombe Avenue","2014"
"Edgecombe Preservation Portfolio","219 Edgecombe Avenue","2014"
"Edgecombe Preservation Portfolio","618-20 St. Nicholas Avenue","2014"
"Gateway Elton Phase III","475 Locke Street","2014"
"Gateway Elton Phase III","1062 Elton Street","2014"
"2015 Monterey Avenue","555 East 178th Street","2014"
"2015 Monterey Avenue","547 East 178th Street","2014"
"2015 Monterey Avenue","2005 Monterey Avenue","2014"
"2015 Monterey Avenue","2015 Monterey Avenue","2014"
"2015 Monterey Avenue","2023 Monterey Avenue","2014"
"2015 Monterey Avenue","1665 Vyse Avenue","2014"
"2015 Monterey Avenue","1671 Vyse Avenue","2014"
"2015 Monterey Avenue","1681 Vyse Avenue","2014"
"2015 Monterey Avenue","1687 Vyse Avenue","2014"
"2015 Monterey Avenue","1693 Vyse Avenue","2014"
"2015 Monterey Avenue","1717 Vyse Avenue","2014"
"Greenpoint Landing - G2 Building","21 Commercial Street","2014"
"WFHA King Boulevard, L.P.","1380 University Ave","2014"
"The Henry Apartments","1674 Broadway","2014"
"The Henry Apartments","1696 Broadway","2014"
"Greenpoint Landing - E3 Building","33 Eagle Street","2014"
"North Shore Plaza","35 Holland Avenue","2014"
"North Shore Plaza","55 Holland Avenue","2014"
"North Shore Plaza","65 Holland Avenue","2014"
"North Shore Plaza","85 Holland Avenue","2014"
"Morrisania Preservation Portfolio","210 East 166th Street","2014"
"Morrisania Preservation Portfolio","256 East 169th Street","2014"
"Morrisania Preservation Portfolio","266 East 169th Street","2014"
"Morrisania Preservation Portfolio","1120 Clay Avenue","2014"
"Morrisania Preservation Portfolio","1130 Clay Avenue","2014"
"Morrisania Preservation Portfolio","1140 Clay Avenue","2014"
"Morrisania Preservation Portfolio","1108 Findlay Avenue","2014"
"Morrisania Preservation Portfolio","1041 Findlay Avenue","2014"
"Morrisania Preservation Portfolio","1055 Findlay Avenue","2014"
"Morrisania Preservation Portfolio","1294 Grant Avenue","2014"
"Morrisania Preservation Portfolio","986 Morris Avenue","2014"
"Morrisania Preservation Portfolio","997 Morris Avenue","2014"
"Morrisania Preservation Portfolio","1009 Morris Avenue","2014"
"Morrisania Preservation Portfolio","1295 Morris Avenue","2014"
"Morrisania Preservation Portfolio","1279 Sheridan Avenue","2014"
"Draper Hall Developers","1918 First Avenue","2014"
"Pio Mendez-SEBCO VIP","1876 Belmont Avenue","2014"
"Pio Mendez-SEBCO VIP","1291 Lafayette Avenue","2014"
"Archer Avenue","92-61 165th Street","2014"
"Summit Ridge Apartment","950 Summit Avenue","2014"
"1770 TPT LLC","1409 Prospect Avenue","2014"
"1770 TPT LLC","1770 Townsend Avenue","2014"
"1770 TPT LLC","62 West 176th Street","2014"
"1770 TPT LLC","66 West 176th Street","2014"
"Stanley Commons","910 Hendrix Place","2014"
"Stanley Commons","924 Hendrix Place","2014"
"Stanley Commons","656 Stanley Avenue","2014"
"Stanley Commons","869 Van Siclen Avenue","2014"
"Stanley Commons","879 Van Siclen Avenue","2014"
"Stanley Commons","271 Wortman Avenue","2014"
"535 Carlton Ave at Pacific Park Brooklyn","535 Carlton Avenue","2014"
"Crossroads I aka Crossroads IIIB","848 East 149th Street","2014"
"Triborough Preservation","277 East 4th Street","2014"
"Triborough Preservation","279 East 4th Street","2014"
"Triborough Preservation","631-637 East 13th Street","2014"
"Triborough Preservation","4 East 117th Street","2014"
"Triborough Preservation","438-444 East 120th Street","2014"
"Triborough Preservation","510-522 East 156th Street","2014"
"Triborough Preservation","205-211 Avenue C","2014"
"Triborough Preservation","930 Halsey Street","2014"
"Triborough Preservation","1780 Madison Avenue","2014"
"Triborough Preservation","51 Saratoga Avenue","2014"
"Prospect Plaza South","1760 -1796 Prospect Place","2014"
"Park House","4275 Park Avenue","2014"
"3160 Park Ave","3160 Park Avenue","2014"
"Greenpoint Landing - F2 Building","5 Blue Slip","2015"
"Hunts Point Peninsula Apartments","860 Bryant Avenue","2015"
"Hunts Point Peninsula Apartments","887-897 Bryant Avenue","2015"
"Hunts Point Peninsula Apartments","890 Bryant Avenue","2015"
"Hunts Point Peninsula Apartments","898 Bryant Avenue","2015"
"Hunts Point Peninsula Apartments","1012 Garrison Avenue","2015"
"La Casa Del Mondo","3475 Third Avenue","2015"
"West Farms Longfellow Apartments","1939 West Farms Road","2015"
"West Farms Longfellow Apartments","1926 Longfellow Avenue","2015"
"Creston Burnside Apartments","2030 Creston Avenue","2015"
"Tremont Renaissance","4215 Park Avenue","2015"
"Elton Crossing","432 E. 162nd Street/899 Elton Avenue","2015"
"PRC Andrews Avenue","1710 Andrews Avenue","2015"
"PRC Andrews Avenue","1730 Andrews Avenue","2015"
"PRC Andrews Avenue","955 East 163rd Street","2015"
"PRC Andrews Avenue","970 Kelly Street","2015"
"Landing Road Residence","233 Landing Road","2015"
"38 Sixth Ave at Pacific Park Brooklyn","38 6th Avenue","2015"
"East 138th Street Bronx","255 East 138th Street","2015"
"IMPACCT Preservation","273 Quincy Street","2015"
"IMPACCT Preservation","587 Gates Avenue","2015"
"IMPACCT Preservation","567 Gates Avenue","2015"
"IMPACCT Preservation","468 Gates Avenue","2015"
"IMPACCT Preservation","480 Gates Avenue","2015"
"IMPACCT Preservation","482 Gates Avenue","2015"
"IMPACCT Preservation","486A Gates Avenue","2015"
"IMPACCT Preservation","277 Tompkins Avenue","2015"
"IMPACCT Preservation","450 Lexington Avenue","2015"
"IMPACCT Preservation","460 Lexington Avenue","2015"
"IMPACCT Preservation","617 Gates Avenue","2015"
"IMPACCT Preservation","542 Gates Avenue","2015"
"IMPACCT Preservation","546 Gates Avenue","2015"
"IMPACCT Preservation","848 Greene Avenue","2015"
"IMPACCT Preservation","956 Greene Avenue","2015"
"IMPACCT Preservation","631 Lexington Avenue","2015"
"IMPACCT Preservation","254 Marcus Garvey Boulevard","2015"
"IMPACCT Preservation","175 Saratoga Avenue","2015"
"IMPACCT Preservation","179 Saratoga Avenue","2015"
"IMPACCT Preservation","592 Quincy Street","2015"
"IMPACCT Preservation","601 Quincy Street","2015"
"IMPACCT Preservation","722 Quincy Street","2015"
"IMPACCT Preservation","1 Brevoort Place","2015"
"IMPACCT Preservation","1108-1110 Fulton Street","2015"
"IMPACCT Preservation","1124 Fulton Street","2015"
"IMPACCT Preservation","1154 Fulton Street","2015"
"IMPACCT Preservation","1176 Fulton Street","2015"
"IMPACCT Preservation","48 Hancock Street","2015"
"IMPACCT Preservation","2 Spencer Place","2015"
"IMPACCT Preservation","226 Lefferts Place","2015"
"IMPACCT Preservation","29 Brevoort Place","2015"
"IMPACCT Preservation","35 Brevoort Place","2015"
"IMPACCT Preservation","44 Hancock Street","2015"
"IMPACCT Preservation","53-55 Hancock Street","2015"
"IMPACCT Preservation","25-27 Spencer Place","2015"
"IMPACCT Preservation","1 Spencer Place","2015"
"IMPACCT Preservation","660 Willoughby Avenue","2015"
"IMPACCT Preservation","666 Willoughby Avenue","2015"
"IMPACCT Preservation","689 Dekalb Avenue","2015"
"IMPACCT Preservation","96 Pulaski Street","2015"
"IMPACCT Preservation","721 Dekalb Avenue","2015"
"IMPACCT Preservation","745 Dekalb Avenue","2015"
"IMPACCT Preservation","753 Dekalb Avenue","2015"
"IMPACCT Preservation","126 Pulaski Street","2015"
"IMPACCT Preservation","795 Dekalb Avenue","2015"
"IMPACCT Preservation","801 Dekalb Avenue","2015"
"IMPACCT Preservation","218 St James Place","2015"
"IMPACCT Preservation","236 Greene Avenue","2015"
"IMPACCT Preservation","105 Quincy Street","2015"
"IMPACCT Preservation","165 Quincy Street","2015"
"IMPACCT Preservation","12-16 Pulaski Street","2015"
"IMPACCT Preservation","1077-79 Bedford Avenue","2015"
"IMPACCT Preservation","894 Kent Avenue","2015"
"IMPACCT Preservation","674 Myrtle Avenue","2015"
"IMPACCT Preservation","285 Classon Avenue","2015"
"IMPACCT Preservation","193 Skillman Street","2015"
"Beach Channel Senior Residences","34-11 Beach Channel Drive","2015"
"Genesis Year 15 Apartments","65-69 West 127th Street","2015"
"Genesis Year 15 Apartments","125 West 137th Street","2015"
"Genesis Year 15 Apartments","145-147 West 127th Street","2015"
"Genesis Year 15 Apartments","28-30 West 127th Street","2015"
"Genesis Year 15 Apartments","131 West 137th Street","2015"
"Genesis Year 15 Apartments","104 West 138th Street","2015"
"Genesis Year 15 Apartments","137 West 138th Street","2015"
"Genesis Year 15 Apartments","69 West 130th Street","2015"
"Genesis Year 15 Apartments","4 West 131st Street","2015"
"Genesis Year 15 Apartments","8 West 131st Street","2015"
"Genesis Year 15 Apartments","28-30 West 131st Street","2015"
"Genesis Year 15 Apartments","71 West 131st Street","2015"
"Genesis Year 15 Apartments","72 West 131st Street","2015"
"Genesis Year 15 Apartments","73 West 131st Street","2015"
"Genesis Year 15 Apartments","78 West 131st Street","2015"
"Genesis Year 15 Apartments","2407 Frederick Douglas Blvd.","2015"
"Genesis Year 15 Apartments","2451 Frederick Douglas Blvd.","2015"
"Genesis Year 15 Apartments","2467 Frederick Douglas Blvd.","2015"
"Genesis Year 15 Apartments","418 St. Nicholas Avenue","2015"
"Genesis Year 15 Apartments","424 St. Nicholas Avenue","2015"
"Genesis Year 15 Apartments","20-22 West 129th Street","2015"
"Genesis Year 15 Apartments","24 West 129th Street","2015"
"Genesis Year 15 Apartments","26 West 129th Street","2015"
"Genesis Year 15 Apartments","30 West 129th Street","2015"
"Genesis Year 15 Apartments","2092-2094 5th Avenue","2015"
"Genesis Year 15 Apartments","103 West 137th Street","2015"
"Genesis Year 15 Apartments","105 West 137th Street","2015"
"Genesis Year 15 Apartments","127 West 137th Street","2015"
"Genesis Year 15 Apartments","129 West 137th Street","2015"
"Crotona Terrace Building B","1825 Boston Road","2015"
"Rose Ellen Smith MBD L.P.","1131 West Farms Road","2015"
"Rose Ellen Smith MBD L.P.","1711 Hoe Avenue","2015"
"The Pavilion at Locust Manor","171-04 Baisley Boulevard","2015"
"Affordable and Supportive Family Housing at Van Dyke","603 Mother Gaston Boulevard","2015"
"The Glenmore","91 Junius Street","2015"
"Essex Crossing-Site 2","115 Delancey Street","2015"
"Essex Crossing-Site 5","145 Clinton Street","2015"
"Beach Green North","44-19 Rockaway Beach Blvd.","2015"
"Compass Residences Building 2B","1544 Boone Avenue","2015"
"Compass Residences Building 2A","1524 Boone Avenue","2015"
"MHANY 75","442 Logan Street","2015"
"MHANY 75","436 Logan Street","2015"
"MHANY 75","923 Glenmore Avenue","2015"
"MHANY 75","171 Milford Street","2015"
"MHANY 75","180 Milford Street","2015"
"MHANY 75","271 Milford Street","2015"
"MHANY 75","2482 Pitkin Avenue","2015"
"MHANY 75","113 Montauk Avenue","2015"
"MHANY 75","784 Belmont Avenue","2015"
"MHANY 75","363 Elton Street","2015"
"MHANY 75","743 Cleveland Street","2015"
"MHANY 75","873 Hegeman Avenue","2015"
"MHANY 75","700 Cleveland","2015"
"MHANY 75","2484 Linden Boulevard","2015"
"MHANY 75","2474 Linden Boulevard","2015"
"MHANY 75","325 Ashford Street","2015"
"MHANY 75","424 Ashford Street","2015"
"MHANY 75","493 Ashford Street","2015"
"MHANY 75","209 Bradford Street","2015"
"MHANY 75","301 Bradford Street","2015"
"MHANY 75","306 Bradford Street","2015"
"MHANY 75","276 New Jersey Avenue","2015"
"MHANY 75","375 Bradford Street","2015"
"MHANY 75","459 Wynona Street","2015"
"MHANY 75","462 Wynona Street","2015"
"MHANY 75","465 Wynona Street","2015"
"MHANY 75","629 Miller Avenue","2015"
"MHANY 75","694 Miller Avenue","2015"
"MHANY 75","730 Miller Avenue","2015"
"MHANY 75","752 Miller Avenue","2015"
"MHANY 75","537-539 Sheffield Avenue","2015"
"MHANY 75","556 Georgia Avenue","2015"
"MHANY 75","543 Georgia Avenue","2015"
"MHANY 75","277-279 Hinsdale Street","2015"
"MHANY 75","305 Hinsdale Street","2015"
"MHANY 75","293 Hinsdale Street","2015"
"MHANY 75","311 Hinsdale Street","2015"
"MHANY 75","535 Snediker Avenue","2015"
"MHANY 75","547 Snediker Avenue","2015"
"MHANY 75","607 Snediker Avenue","2015"
"MHANY 75","610 Snediker Avenue","2015"
"MHANY 75","614 Snediker Avenue","2015"
"MHANY 75","550 Snediker Avenue","2015"
"MHANY 75","601 Snediker Avenue","2015"
"MHANY 75","605 Snediker Avenue","2015"
"MHANY 75","573 Van Siclen Avenue","2015"
"MHANY 75","679 Hendrix Street","2015"
"MHANY 75","566 Pennsylvania Avenue","2015"
"MHANY 75","659 Pennsylvania Avenue","2015"
"MHANY 75","549 Alabama Avenue","2015"
"MHANY 75","422 Newport Street","2015"
"MHANY 75","430 Newport Street","2015"
"MHANY 75","514 Chester Street","2015"
"MHANY 75","1342-1344 Bergen Street","2015"
"MHANY 75","869 Eastern Parkway","2015"
"MHANY 75","907 St. John's Place","2015"
"MHANY 75","1600 Pacific Street","2015"
"MHANY 75","1445 Pacific Street","2015"
"MHANY 75","721 Sterling Place","2015"
"MHANY 75","319-321 Albany Avenue","2015"
"MHANY 75","355 Berriman Street","2015"
"MHANY 75","1142 Willoughby Avenue","2015"
"MHANY 75","1414 Dekalb Avenue","2015"
"MHANY 75","142 Palmetto Street","2015"
"MHANY 75","16 Palmetto Street","2015"
"MHANY 75","309 Eldert Street","2015"
"MHANY 75","366 Palmetto Street","2015"
"MHANY 75","811 Knickerbocker Avenue","2015"
"MHANY 75","1141 Bushwick Avenue","2015"
"MHANY 75","180 Cooper Street","2015"
"MHANY 75","182 Cooper Street","2015"
"MHANY 75","23 Moffat Street","2015"
"MHANY 75","988 Hancock Street","2015"
"MHANY 75","110 Cornelia Street","2015"
"MHANY 75","109 Cornelia Street","2015"
"Rogers Avenue","1345-57 Rogers Avenue","2015"
"Serviam Heights","2848 Bainbridge Avenue","2015"
"2605 Grand Concourse","2605 Grand Concourse","2015"
"530 Exterior Street","530 Exterior Street","2015"
"Bensonhurst Housing for the Elderly","2164 78th Street","2015"
"Jarka Hall L.P.","268 Bedford Ave","2016"
"Jarka Hall L.P.","249 Bedford Ave","2016"
"Jarka Hall L.P.","162 North 3rd St","2016"
"Jarka Hall L.P.","180 North 3rd St","2016"
"Acacia Gardens","401-411 East 120th Street","2016"
"Williamsburg Bridgeview Apartments","105 S. 5th Street","2016"
"Elbee Gardens","1950 Clove Road","2016"
"Prospect Plaza - Site 3","1835 Sterling Place","2016"
"Story Avenue East","1530 Story Avenue","2016"
"L2 Sites 6, 7 & 8","453 Hinsdale Street","2016"
"L2 Sites 6, 7 & 8","500 Livonia Ave","2016"
"L2 Sites 6, 7 & 8","481 Livonia Ave","2016"
"Van Sinderen Plaza","679 Van Sinderen Ave","2016"
"Van Sinderen Plaza","180 New Lots Ave","2016"
"Norwood Gardens","400 East 203rd Street","2016"
"Don L.W. LLC","1327 Southern Boulevard","2016"
"Don L.W. LLC","1345 Southern Boulevard","2016"
"Don L.W. LLC","1357 Southern Boulevard","2016"
"Don L.W. LLC","1816 Crotona Park East","2016"
"Don L.W. LLC","1346 Lyman Place","2016"
"Don L.W. LLC","1360 Lyman Place","2016"
"Don L.W. LLC","1365 Lyman Place","2016"
"Don L.W. LLC","1389 Stebbins Avenue","2016"
"Don L.W. LLC","1359 Lyman Place","2016"
"Don L.W. LLC","1366 Lyman Place","2016"
"Don L.W. LLC","1370 Lyman Place","2016"
"Melrose Commons Supportive Housing","425 East 161st Street","2016"
"Tahl Propp AIMCO Cluster","8-14 West 111th Street","2016"
"Tahl Propp AIMCO Cluster","32-38 West 111th Street","2016"
"Tahl Propp AIMCO Cluster","24-30 West 111th Street","2016"
"Tahl Propp AIMCO Cluster","46-50 West 111th Street","2016"
"Tahl Propp AIMCO Cluster","52-56 West 111th Street","2016"
"Tahl Propp AIMCO Cluster","40-44 West 111th Street","2016"
"Tahl Propp AIMCO Cluster","2411 Frederick Douglass Blvd","2016"
"Tahl Propp AIMCO Cluster","602-16 West 135th Street","2016"
"Tahl Propp AIMCO Cluster","618-22 West 135th Street","2016"
"Tahl Propp AIMCO Cluster","16-22 West 111th Street","2016"
"491 Gerard Avenue","491 Gerard Avenue","2016"
"148 Jamaica","147-20 94th Avenue","2016"
"TLK Manor","917 Westchester Ave","2016"
"TLK Manor","944 Rogers Place","2016"
"Seaview C","155-175 Friendship Lane","2016"
"Randolph Houses - Phase 2","251 West 114th Street","2016"
"Randolph Houses - Phase 2","253 West 114th Street","2016"
"Randolph Houses - Phase 2","255 West 114th Street","2016"
"Randolph Houses - Phase 2","257 West 114th Street","2016"
"Randolph Houses - Phase 2","259 West 114th Street","2016"
"Randolph Houses - Phase 2","261 West 114th Street","2016"
"Randolph Houses - Phase 2","263 West 114th Street","2016"
"Randolph Houses - Phase 2","251 West 114th Street","2016"
"Randolph Houses - Phase 2","265 West 114th Street","2016"
"Randolph Houses - Phase 2","267 West 114th Street","2016"
"Randolph Houses - Phase 2","269 West 114th Street","2016"
"Randolph Houses - Phase 2","271 West 114th Street","2016"
"Randolph Houses - Phase 2","273 West 114th Street","2016"
